# File generated on 2024-02-06 23:10:56
# Number of participants: 88
# Number of patients (addiction): 44
# Number of controls: 44
# 1 datasets were included:
# - NKI-Enhanced-all_parts
# P-value.
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.25460803273177973,0.6114829496457967,0.6136456327482125,0.225944994419501,0.6078596179510772,0.8284786134135097,0.11467533658490846,0.13935174470068054,0.7300082232029957,0.9141756862056263,0.5274410514986843,0.5013889805790281,0.4908846456726733,0.31078771284275203,0.4507497770347162,0.4885171556894353,0.4565186784730171,0.02392416783357854,0.32413380713462503,0.730495317011457,0.810891307435948,0.39476642027129316,0.7312249382397987,0.06603434028063858,0.9082015388902013,0.13333362664948317,0.7752157335259784,0.5037097148201335,0.09179846849943693,0.3016748580127863,0.048925130758365416,0.19604083215518014,0.29479906935534284,0.2568562908186885,0.49502173272040106,0.725959098547708,0.5554914654790732,0.20526438167102085,0.2540546982929437,0.40652463882354617,0.8629287135956072,0.1898220341331246,0.6758727260736928,0.013027189474629264,0.546000130642614,0.027962039731876085,0.43253156303629137,0.394825295946569,0.44050019336031077,0.5631841601465862,0.4499598104791618,0.057725740447790816,0.9348403790563521,0.9236086112129955,0.9854813477064773,0.6101495061567084,0.9679630508163302,0.14817920026534248,0.6281665627825905,0.1982786602758254,0.6278417311936908,0.5787224398045745,0.0719285075594811,0.9041509538984587,0.442362804352046,0.15567982175953282,0.13429961757197184,0.4835417515722086,0.2780976801012593,0.4546759831219196,0.8094663351032684,0.9637925511141305,0.7184232002967701,0.7969841731966891,0.9435880949639496,0.42225766194217973,0.5365834484861061,0.13690042596403953,0.22334941567985983,0.1608529001415197,0.22285510183954735
Left-Caudate, nan,nan,0.3425970689041903,0.407217382919999,0.6713785203558569,0.7554642453958146,0.28523596974606824,0.9037260393869518,0.6241923947981662,0.642085038573269,0.03764006112218177,0.641058562900177,0.49038513254707894,0.7040497364393385,0.584717152677461,0.2673568181847516,0.33447654962942086,0.5896219687693565,0.6101121432165257,0.9453428181345742,0.5368220822104721,0.9706543896706337,0.9458295372916732,0.8241410930116659,0.7071939028765202,0.8185606188408283,0.9662123373035951,0.4544712872519864,0.49752291152402384,0.92309962012743,0.4079225992245462,0.43284672203112795,0.5181150393519963,0.5487356290379886,0.9545781151735806,0.45201478573584075,0.520584140376384,0.7518709191878943,0.3173209692090015,0.3463265181582107,0.1075504470461838,0.7250653436317366,0.7406066710583477,0.2952410122484138,0.42059972449813054,0.9059527257501203,0.5784281679300338,0.9356479241303488,0.5873572868351393,0.42870743855620574,0.4358233258995242,0.6106547178797471,0.7457123642534786,0.7908805853424566,0.49162630195528756,0.709520731774979,0.8251433827992003,0.8768313183491281,0.4638140639210061,0.8993948648672896,0.5400205136280827,0.6886907293207079,0.7289866572538319,0.9643671330378432,0.8010874840250014,0.5296093747435677,0.9896375406950946,0.416014422960436,0.653657307860543,0.6505429735182472,0.6556098271423201,0.8925978997867312,0.6592855521268539,0.9328206273584667,0.3867816601840467,0.5456037390404689,0.6980509140792392,0.8843597294805183,0.4750539569705662,0.9305642674158714,0.9786068763932135,0.9615887678302648
Left-Putamen, nan,nan,nan,0.5487491349093183,0.691718362463493,0.5819597001726966,0.49706089283836896,0.5010694574627725,0.5898709047057684,0.11733512733806531,0.9147458280443723,0.5340711143359613,0.7772141379268301,0.16236153343597073,0.3205577406695532,0.12744955338328726,0.7501040804928412,0.8294519519731892,0.39551070695315993,0.8806319009085506,0.2257713749795193,0.6296078854549896,0.3628436925992746,0.4985800505388115,0.041126523418037894,0.714635073265077,0.27495369918870205,0.6573987733107687,0.5837251471387404,0.260022649273351,0.2888861916799113,0.691239564875279,0.5456991827703227,0.39752639717232807,0.4140101443250266,0.19136608947649572,0.24467411000508318,0.4792532295012861,0.19834011281519107,0.2644582861256405,0.12587862857403376,0.10792665616271387,0.8520903079727729,0.35980432871409607,0.2914356939812797,0.19672018401589456,0.6975163112323777,0.5699816075861919,0.40504408621803945,0.4311297379180806,0.23242641219302765,0.7280721659464074,0.22617448521069924,0.5410015828125345,0.265828560065697,0.3136682695501446,0.43688335096285713,0.42714005057835946,0.08043300113747373,0.3886153927075747,0.42291984726413634,0.668464366612576,0.6559358189758082,0.4609042013453202,0.5433277387211998,0.7962307679592635,0.8820642780941768,0.14255718135532153,0.3122567437401743,0.16846143430501404,0.3221730182987587,0.1925112790702945,0.9672717194567186,0.8061352644629766,0.3650593043547743,0.12163874024710315,0.5084936237956585,0.14741063742424584,0.15604092608604528,0.6334190897061311,0.4104432731368851,0.9032667281759195
Left-Pallidum, nan,nan,nan,nan,0.3169775383067486,0.7154776772971352,0.9659402279523496,0.9246284454486664,0.7484770869834514,0.07805496720091439,0.09748149144497792,0.9288138799411132,0.9306194365256244,0.10953993511878912,0.02504625786891369,0.49787223271959913,0.5371198634685743,0.6458810919357215,0.25224482161071526,0.6012610530272586,0.176363524275832,0.41562364372971006,0.21396909588505694,0.7321848786649958,0.384350062923574,0.9144726766113822,0.08571105464772401,0.18590920029927632,0.08809689119607834,0.19830591476930542,0.5855305805639586,0.0022310539743743566,0.13362216596539092,0.8917370465640314,0.4387573327592301,0.5552755525894295,0.5002398134943749,0.24763267466317315,0.12829928911276123,0.3736957295040313,0.5892212173035962,0.7484536631509895,0.23686799733446398,0.8993868836680583,0.7460184818314628,0.1866239315057214,0.6131115811049717,0.9130281845190505,0.16394787287235982,0.8072747280972025,0.4700199792754688,0.9147571906210044,0.9322638168188115,0.23710045480976763,0.1374591275871269,0.9484223364028145,0.2793049215049577,0.8935645610727515,0.44990522852726,0.856087173350097,0.09064055580531159,0.17372312229920192,0.1315027011938367,0.5354871810414127,0.8496501690375969,0.42175440616927173,0.583684173147024,0.5284163712276404,0.7764018651207948,0.8795473749936564,0.2497822159008673,0.35672755546367063,0.9540777049268789,0.9344492857949321,0.968021802418612,0.516351332971738,0.22282403234496975,0.6966680789038615,0.4587682552451381,0.6934543549633373,0.7673627371023481,0.09164355241653509
Left-Hippocampus, nan,nan,nan,nan,nan,0.6091756482153378,0.8004863403461323,0.21394678489299393,0.3184042950014868,0.6498080272357508,0.5566010114525282,0.4546790585341822,0.6483829879925957,0.04944058631458762,0.40126475393123207,0.42071712514383874,0.3347945879734755,0.6572435015120772,0.003354671585215727,0.10734154093717321,0.5468462257446494,0.5533206699887585,0.7141162023417831,0.737806751962075,0.5243899689114305,0.7151968242433115,0.4581301208466134,0.5024774204716692,0.0633079104873817,0.45926186354002074,0.937405072265068,0.5803647960908415,0.8509585613694096,0.32374925547244215,0.21534542600239964,0.9265249993362508,0.35558762262940835,0.6076322660676308,0.8334378074882467,0.6176293958807981,0.7283478915607111,0.6745521662529982,0.9728621440934969,0.9895107887806136,0.9897310877311463,0.2358739884759412,0.5003581964945284,0.9155653955160005,0.4787285042260062,0.8304236906424644,0.31842212947650816,0.5106102044000767,0.0010520835830091768,0.23512764721468304,0.27963722984337724,0.9102581956813072,0.8010906255116097,0.6350831654782317,0.7437349126967681,0.6507367851769192,0.9696091574857162,0.12992886468397252,0.28570582881940754,0.6908174368460376,0.8163367134669635,0.6405400804651304,0.6643319441283753,0.535364812063911,0.305938818803744,0.9959066236211127,0.2485202509843096,0.4995492450372623,0.8636444101198736,0.11905581336195346,0.45328096916071636,0.8120675760049207,0.8713263317716631,0.8588365064542657,0.6864414958256961,0.5800845268873276,0.7776361290531917,0.4874827158673025
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.6615190207339866,0.9405352112452818,0.19393564883458858,0.5177756164975713,0.8963483563384573,0.4811904033214428,0.17486603884518398,0.6018288843060624,0.30621183243506894,0.6259391396760506,0.760954027936343,0.7326718442654911,0.6807925372980721,0.34718272326670685,0.8497475677782276,0.5593892626553616,0.47843229792736397,0.4425560361305074,0.8029906957433699,0.8268511760749795,0.488886136611565,0.5679535230871171,0.32902466239253214,0.7797009114337885,0.649590018744637,0.8028377024044486,0.7358163714405719,0.7328551237294232,0.7598320484480006,0.5338297499104423,0.6866139579778436,0.3148482855761904,0.4105071020337855,0.366739193291408,0.6159735605609666,0.659718410916436,0.7684259148705623,0.5742882925173857,0.07639194404810738,0.21131924107574596,0.19709088261747487,0.8127702731842483,0.09035447667008273,0.2130578078115317,0.06344037772443682,0.7512287564789208,0.16586507566512393,0.7754606448434032,0.10348865530170598,0.9864457092349259,0.6763764760413948,0.6839046898017683,0.5700941795325516,0.5530277473327019,0.3442476618879755,0.2038209672874852,0.4646000188994749,0.6496060473507013,0.514797844009515,0.09317334910696823,0.2597583140297079,0.740500084071354,0.9518743126470344,0.2867041531561193,0.5121906660608467,0.2694126405437338,0.09724054081507809,0.05062475683508226,0.09473380957811525,0.853466617509276,0.5466791670825758,0.4430186350512698,0.980934756537118,0.5098112074462872,0.663745970114903,0.6172393918649464
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.3374989982787737,0.7147149685814166,0.08976157035108974,0.0013080932666241234,0.7878701522748214,0.41556889435408473,0.654085281055094,0.3416982379921465,0.793438026868133,0.45536841475523004,0.10847001257262175,0.20522832874317964,0.7211026657923976,0.2566532368749957,0.6360320689335697,0.19550428048306615,0.11566203649061813,0.8862269907589602,0.4005860705357983,0.7917210733234388,0.0900808249448249,0.813017590720532,0.6087835754320146,0.5889000543507402,0.7308625460303306,0.7118555344541256,0.43089126974067027,0.13943537302383083,0.8794831125707006,0.4752625710857329,0.6293062024616205,0.9859473783140303,0.2514135046872266,0.7167859059373579,0.3602858576224127,0.2655787763607465,0.3665364379298641,0.4483148363089211,0.26855586219405003,0.17247389796062132,0.4810609119337893,0.11560914000612639,0.5650155272375688,0.603780088678493,0.08945650668912931,0.005569235207916755,0.8667009387569546,0.9868201637941298,0.7722837764700801,0.21986101083693751,0.22674473105243712,0.8059383875092837,0.40689791009909926,0.9040236966989992,0.7544593051771852,0.9328215938073416,0.5598970384117711,0.4817425963684555,0.44632549597915616,0.9830848290699554,0.38674651358409995,0.025220261701467985,0.8746945983624725,0.18625888677468852,0.8236408445078891,0.8599566284420675,0.32395185851704444,0.9856641277105912,0.4143146913502813,0.6335056207973049,0.9223193379779571,0.5137873848677261,0.09838099015051417,0.698797071144182,0.2349799651040441
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.2811665670876779,0.7177392797237667,0.9948939960098562,0.9614073858308001,0.9646372770758601,0.8744938050414597,0.7778348895931233,0.43600939139353634,0.6534968253862018,0.7320517102587569,0.3035263778273968,0.8403924150497358,0.5021634643173396,0.8606112575904462,0.25796024139980345,0.5672493128760607,0.19596575116052328,0.9085956564005907,0.19038279248869147,0.6901954560810168,0.9745725043258026,0.0865644862643356,0.16017908753651647,0.07595955952303367,0.1253343880411592,0.250342311075463,0.10215071212478222,0.581624797168663,0.389712732736485,0.8604411610573264,0.3474755275812683,0.5679662912424739,0.4016273098759222,0.8657532101066208,0.7419876710116402,0.7468960291985083,0.0012265324806602024,0.343524210095275,0.11570066436984282,0.7858339825677448,0.3492374238116087,0.4757192261820258,0.5778363017276411,0.7435605291895306,0.24347314267099776,0.8370401586624924,0.8596520158046003,0.2736202103778122,0.5428573923721718,0.6418818444516912,0.30091637241517205,0.8112837871401507,0.3285698697830677,0.8170561850681485,0.9855579860864474,0.1242218348666359,0.5164998940792587,0.646330966078945,0.13224647243584833,0.14303949941848212,0.13564466044187828,0.3081763182775222,0.31863195536559835,0.8947244549554052,0.46754330792653287,0.6788382248089369,0.7686853802154829,0.7855374036295545,0.9148646381362169,0.5425015524424973,0.0860328822259033,0.11465907796110185,0.43661956848954553,0.7298821983769929
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.09459433840292836,0.00997882408842564,0.1658702099845152,0.37450528537218075,0.3236020692282112,0.44673186304295964,0.14665034300935034,0.6255678099897237,0.8370070133615928,0.7559961553349213,0.5230427853864034,0.6694156534462461,0.21678140601516002,0.6985261712691497,0.5748259470234647,0.43463608588306024,0.9908244659587688,0.9249813196494638,0.4216930862170668,0.9836155846775975,0.8098429035362732,0.7442702109597059,0.3700137184521538,0.8504104218488255,0.45649745597047,0.4203139910468603,0.5014591589131939,0.33663297830310124,0.9382072419870887,0.2971069852876412,0.6395417586044765,0.2848847166787396,0.8964535346283069,0.7256374459529698,0.4926192245163451,0.33790362980075106,0.9199009227952302,0.5235501921801868,0.8258333303047308,0.24787961776651093,0.4694374178999515,0.25764331476131414,0.5984424446177714,0.9568325995270216,0.4403984715089908,0.48541291748821436,0.19442734271722464,0.6998193555159284,0.796462741016963,0.37769868266213413,0.97713828747812,0.721420055289087,0.3020980474080205,0.6251209220903955,0.996178556541066,0.8418021207011853,0.8113068664512509,0.9584738691895919,0.567071031743446,0.19477448072589457,0.5085143869718942,0.17942462820238872,0.9251115227811187,0.6479162652856855,0.7023998974781389,0.4929175471770896,0.7985279869280647,0.2845526677712272,0.5615258160700982,0.5251599791508762,0.4873576793308467,0.43007057546551697,0.4739053148195377
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2966448099818206,0.1638008429893124,0.6402521425124392,0.5549323513554965,0.39243023062785265,0.595921383394887,0.7742766343406188,0.5352110852187442,0.9295548135947211,0.7090871366728329,0.6724794693156719,0.5605589530238357,0.8418900453327656,0.6791397269225415,0.23338472219074063,0.9408140849549866,0.30362969639789394,0.5560219237382458,0.9410674466829088,0.6556853397592965,0.13428910603553468,0.318124821502902,0.18456640489160192,0.7984396371753085,0.6888658502105112,0.6492721559900742,0.4361492182483081,0.7563914454846444,0.1846201193105349,0.17387960586142226,0.3560620829695492,0.414239422420146,0.6151622225667828,0.690524645491648,0.5160055587595764,0.6890654659593972,0.8349647177207342,0.37450856331381377,0.7377933325850536,0.4385474181251733,0.5343451965584838,0.8937148655942107,0.6929685893003277,0.6655201579194301,0.8586680412205153,0.36759594727202505,0.9268384973083097,0.6889129295677667,0.2596066635618061,0.737904815293042,0.1990394708854289,0.8784024798643735,0.3444741347133413,0.7468141033212543,0.3461217296195024,0.6481133413940525,0.5695995891300962,0.4753243746948389,0.6418352699605877,0.35994301445597254,0.3604570194133513,0.9141900889048681,0.9650061830796166,0.9826445934494198,0.6745824300092087,0.34428156801882537,0.29728322971311094,0.6228626181738791,0.39908153820819203,0.2479661922976429,0.7528672006554487,0.42212109455775193
