# File generated on 2024-02-03 12:10:55
# Number of participants: 952
# Number of patients (adhd): 476
# Number of controls: 476
# 4 datasets were included:
# - ADHD200
# - CNP
# - HBN
# - NKI-Enhanced-all_parts
# Effect size betas (regression coefficient of the linear model including: dx, age, sex, intercept).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.003931203124826932,0.04022084088158844,0.030300380924387478,0.012095092861046411,0.027295911408912934,-0.008541316562178427,0.014425360814500012,0.00372446938828721,0.030274325104692214,0.02259114254380238,0.013326468245176977,0.010252063215612372,-0.007238584117480757,0.020484286869612473,0.005175933419499494,0.012260506277432092,-0.00598584904773923,0.013010014593768347,0.012086958180430107,0.005309477284807073,0.017209984206896404,0.0026623745674444884,0.019013614720894925,-0.001345093216036512,0.004259926007365539,-0.011352881193990279,0.03012263716737649,0.014974283089633065,0.020231131288758718,0.006459106713941899,0.014817574369701608,0.01141918521020263,-0.00923058616943766,0.012837300878579858,0.021183310923155372,0.020608567346342473,-0.0027617927944096946,-0.012500951939089336,-0.012589126759077165,-0.002963766813262636,0.012954811858612717,0.033730398677141595,0.0034967524689334282,-0.017757861407984722,0.021309954105246397,0.014534746089107625,0.020886284142095077,0.027281882618321082,-0.006557907800179784,0.025996570530064485,0.0005241462233832004,0.001877608689088057,0.007440073596353739,0.029195617967999254,0.014742718955309318,0.01669178548990018,0.019776185381037946,-3.252478815003323e-06,-0.014388953089645759,-0.011765813069493966,0.029532980912944987,0.0069282921972554454,0.016826219686968086,0.019746670773973733,0.017212862777234925,0.009626388172799254,-0.008777364106390712,0.006917255826012165,0.011759223730648683,0.014305064623916283,0.005748928007159855,-0.0030468153171771518,0.008126059485957054,0.00913068009580433,0.023831623465956877,0.018558040539858257,0.011502753600429776,-0.006271465707772364,0.009302109978150862,0.009393381537066472,0.012508854748282698
Left-Caudate, nan,nan,0.02914597024427358,0.0019029308098233466,-0.008333407721329756,0.02623152308031562,0.006833315528019345,0.002451567918112822,0.01569683516516842,0.025969136202646726,0.0091524176479602,0.004768419256044318,0.020238711940162094,0.026090259292210656,0.01037694017829526,0.03321687884928335,0.018481631502185087,-0.009570627438834786,-0.010875838501797833,0.0014681034715647602,-0.004019156244290606,0.010764955945400374,0.0009393504891527853,0.015372040979857853,0.014032428240143313,0.007465768069658075,0.0004390242156291103,0.007977701110410825,0.0018874501961580567,0.009540842755995947,0.028797372995537918,0.019669164427621157,0.02318024258132083,0.0006620836881181851,0.007374040155008397,0.020393937622105736,0.01121107506519955,-0.004452004280159654,0.028284592219604138,0.006315486658545742,0.004721706609520613,-0.002229036233778136,0.024716111980173167,0.0099461207688356,-0.014015510596091194,-0.011811656123408804,0.003000851116856434,0.031307275288516345,0.011682256679227728,0.021323091995707547,0.014788678050110821,0.004657244073459565,0.008793329059544318,0.0024095963986331096,0.016524840377092814,0.00793068720094134,0.007712230890828407,0.01897061933103441,0.021245811408159967,-0.005505786694167652,0.003686681986416767,0.016756362986267023,-0.010689517741778997,0.01102593320975027,0.031661232503045575,0.013155638904026478,0.024570534799089182,0.005277301597471339,0.007925894948701636,0.01644980329046656,0.012769818693649602,0.003083957332957261,0.025427728198921383,0.015146307554834476,0.010263264788539998,0.007899447725802589,0.016148809645809777,0.017874018100320167,0.0015141173882675927,0.005936053603140529,0.0004865461284071085,0.024015018129449315
Left-Putamen, nan,nan,nan,0.03830376321051195,0.0018110909892468095,0.005932542247734357,0.0017668875420687072,0.03942020081460285,0.020162084684220382,0.010067238170374347,0.02944254301355307,0.012175352858600047,0.016839960234791077,-0.0016131201306276873,0.011800624756708662,0.018436649037041782,0.03343382736302821,-0.004332254432606197,-0.003820183459585742,0.012796265198247154,0.018922458416556497,0.01709443639923474,0.01982095348777399,-0.005550707918904304,-0.0014025889840004217,0.0020724936165050713,-0.01590762160115571,0.024066884627530274,0.008335003101571316,0.0011418512820518796,0.029093197817889042,0.024397847466281455,0.020267525973371437,-0.002665149518345811,-0.0047968111085823955,0.015492719916337851,0.00950927375598326,0.017389702260940713,0.010470730492262086,0.00487037966833185,0.012471909347436565,0.015540157896001817,0.026564389481462225,0.01974075134144861,-0.02677799767854285,-0.004382701628616644,0.009575302754620478,0.035305033950091075,0.017895790916836688,0.016144495108072702,0.0308061197659618,0.007806393947653389,0.007812985432967481,0.021372480532293823,0.03634194461887074,0.017269366758752437,0.015505383681176526,0.0030421936458090377,0.0020339637276445325,-0.01118269551526505,-0.00483956154973416,0.033303684159442126,0.004956740614791029,0.0036546046499118063,0.03060915691480555,0.005440290767028766,0.011978824884226077,0.001377661205382445,-0.0029365609000816806,0.01884477743556313,0.004088051817427535,0.02138678576214302,0.017943035590951662,0.012924474445499332,0.01881185501682807,0.016335159870566714,0.02256957709709579,0.015936491669257515,-0.011222968776444681,0.006649005286630223,0.008627522749727808,0.028126584250269534
Left-Pallidum, nan,nan,nan,nan,0.013876139385193232,0.023460594591051227,-0.0011928045207788625,0.019715096121785625,-0.011843637206147135,0.010313282649157943,0.021293472906687993,0.02413105441989596,0.013710216015645448,-0.0015950700112360937,0.005863832714323774,-0.013206205436554552,0.011519488038602898,0.005411885572199624,0.023579110226183277,0.005468236455079446,0.014597247755886732,0.00026529537606686187,0.007449614469650458,0.00683679667824588,0.0010594152640917075,0.004911606587725865,-0.0025104094459486802,0.01672613675193637,0.021140388202065756,-0.011941594695083076,-0.0020051359777346267,0.01897391813563947,0.00810149016711299,0.0015568979648834967,-0.00807082267501128,-0.01184486378871745,-0.012429686752686039,0.009745300596507663,0.0014957912986153605,-0.01482328790685881,-0.010263242728018426,0.009542218414377598,0.016630178976925165,-0.0093729588091695,0.0036640695181151205,0.026951580308640644,0.007401676579308191,0.008873946702963691,0.015957717633666248,-0.027854219787841365,-0.0036336069740809246,0.010457316183623968,0.017040380429204385,0.0077747245146030245,0.013813164875636504,0.013028240112630629,0.007495848377444183,0.008130188166108606,-0.01040498929960372,-0.01136111647298791,0.004095055058562331,0.022435981203199187,0.010549500160183724,0.004968884878648792,-0.0013128473242542214,-0.001942076028594562,0.00026748041719527687,0.001553064625072053,-0.016257393995924744,-0.01448295291129736,-0.006118294705994628,0.012345494496327224,-0.008258537179390278,-0.019158631347327874,-0.012591064239385486,0.01394485568113393,0.013402885359495522,-0.008691441146673251,-0.0073143295848481504,0.042645924440527325,0.00992120782872887,0.007731725134540125
Left-Hippocampus, nan,nan,nan,nan,nan,0.03935927426552511,-0.012423266703866504,0.012238993079774633,-0.015338125680796613,0.014248179031955346,0.0008337037573524704,-0.01206880882653827,0.029002681631178622,-0.016847031814923804,0.012055148709279769,-0.004408799795288706,-0.02039670210485635,-0.0048785373369430625,0.006686772860479722,0.013346292317542969,-0.015343227652842196,0.027408921311418522,-0.024269060188348804,0.007163908538430426,-0.0015152138260667975,-0.016022467908689966,-0.04124700787849564,0.009828912583429274,0.012062057064144678,-0.016205714050840283,0.002458423664608894,-0.004915093356979993,0.0007786101465725718,-0.005009412169616941,-0.010331158521588517,-0.005545789537806266,-0.02110441728730323,-0.00529980570751769,-0.03426904183310756,-0.012911787732960388,-0.03125076289373502,0.007160736518339571,0.009117375594156207,-0.004698595982725689,-0.027092364595297878,0.006887519028152441,-0.011156726604969022,0.01809391542747605,0.02160800237684684,-0.015882185557554145,-0.006163628634290194,-0.0028263343947150807,0.00579201287756898,0.01936405266920363,-0.0075069251750160765,0.013077395029270217,-0.006839763145988725,0.011474272468363142,-0.0071668930855122446,-0.012056980640830866,-0.039808454007828634,0.010000104761964267,0.003828863208632767,-0.00675400124270179,0.005214620759968041,0.0010741182022467697,0.0008676580652986517,-0.008547872495879499,-0.011306010424360097,-0.0009869059291851248,-0.021277029210386527,-0.006016204113077906,-0.033576769359895293,0.001458794279738147,-0.023334072878806632,0.0025041668385553653,0.003043898389539518,0.003750773714042885,-0.02602448684857454,0.004737238184031026,0.007035207429204333,0.014112616885902426
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.01056102794304461,0.018609299943607167,-0.001942762916396348,0.009089136395162624,0.006933465852906084,0.044357093419395574,0.04292245786578783,-0.01885653886559594,0.017544853614516093,0.0019958660809679535,0.0038119556337401286,0.0011582703629738574,0.01355708643710808,0.008651971364947907,-0.004198571147619034,0.003849640705244829,-0.011533786628577295,0.007149337585646367,0.007528678750599754,-0.006880868830362002,-0.008139729594303844,0.016117091476639166,0.0012757100341406588,0.016259822541997784,0.009693737623121547,-0.004156676194580115,-0.0018723568788496887,-0.011207229909592907,0.007852018682741404,0.008174564740125434,0.004522453000435961,0.005513092652802099,-0.010664971636212748,-0.0037511924436659685,-0.0036604837498735937,0.010524880547852729,0.027757269418551545,-0.0034780426041585823,-0.017709226525533896,0.022561968951859492,0.005958613123666385,0.021536074912030294,0.025490455369468607,-0.006085401212672629,0.008201456672624513,0.0027226335731062794,0.02141441742873994,0.024189587390645268,0.00955503961500191,0.008342471494686622,-0.006756226001703594,0.023447247967955137,-0.004259184982382181,-0.006020985466194512,-0.011932749973440753,0.021374134966381096,0.007206236628372882,0.01136231655356012,0.010550692751015243,0.011534275565736255,0.006230314307142576,-0.011000868372578878,0.011954750703149305,0.015188602429170417,0.003537341718650857,0.006038643799898633,-0.008852761759508625,0.010054982788928715,-2.656541127114283e-05,0.01109651039698143,0.02590343731423292,0.008470194845395474,-0.014752889899508157,0.02858009462710314,0.013329184348608138,0.02004475411491142
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,-0.006006158190540674,0.0020261437311064243,0.016108881429136697,-0.015708520616266042,-0.019482193019652407,0.00686396157370381,0.03735709259694211,0.003188644125768751,0.00015909004738145498,0.007668426718263153,-0.011967017861199044,-0.011882682774104095,-0.018960800018261607,-0.006294717272753606,-0.009125414613987559,0.0036216322348320267,-0.0065473869050312675,0.01328811439648591,-0.010474706697787281,0.007529315125572271,-0.007475589947826433,-0.01040366754508157,0.005507536035361182,0.01744919727789266,0.005773620252251208,0.014713233772190845,-0.0034582870773151864,-0.0018174887192574968,0.01453020437698148,0.0017916880598718387,0.011631329987354323,0.012700351307075534,0.014419599603675391,0.004927103855171984,-0.009336311028099923,0.0018203340728154686,0.0005105639392208113,-0.0027440862634539294,-0.02182260548366228,0.004029600009941408,0.0026717250479321056,-0.006790985381356137,-0.0013575673683918308,0.012753220585571658,-0.0033340089453064354,-0.003794597625978352,-0.012521690044354583,0.01576341622812191,-0.019386992579809633,-0.00014247578659677465,0.0031709118617733634,0.0072700917548184025,-0.01210107735570375,0.01852867500529584,0.009798855548698329,-0.010477168955234189,0.0157844478184514,0.0006193381750334719,0.01176111995094026,0.015442355871058864,-0.014513108253961638,0.005740584986212707,0.006246136602783997,0.006516343658231251,0.006407880935572443,0.014019277913948847,0.015763548899684895,0.011846849209317,-0.005131740618101151,0.009882363022597278,0.0029164522927197225,0.006726727195551458,-0.025710348996033125,-0.006223761470466458,0.004968403796499187
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.003072283813389944,0.029038692142509367,0.01790398240392126,0.02804925980061386,0.02010045962674871,-0.004302557355316946,0.02504327051947284,0.012957535619746616,0.020089046317019466,-0.0030201514021788484,0.016823800932119153,0.022662972291423864,0.013158338711966417,0.02991539078618631,0.008340775023424339,0.01894578010532576,0.003211413840718796,0.009080391803645088,-0.016357822500025956,0.030296382634524895,0.014945163850815252,0.013032213433419265,0.02448792491900815,0.02116844325782264,0.027842265886288384,-0.005955151113283349,0.014848942660775868,0.025733345290545637,0.018011053098580757,0.00213565516143287,-0.004886884399607477,0.005359776432933123,0.011688464428310239,0.022039529231047475,0.034801325570868194,0.01466530141052248,-0.007291116179275361,0.02155765694805418,0.014841503784082723,0.02491667917484622,0.024132397526769826,0.006061497195111025,0.03162808741937544,0.002672011807211397,0.005546428865475559,0.02402871185257382,0.030540057619111657,0.032801989122980886,0.016693707066307566,0.023810258873559722,-0.00045332025643659576,-0.00011158524793890836,-0.021398123002353865,0.036721475224679306,0.013055442321524509,0.009051814351693421,0.030279210592260495,0.013092590610419327,0.019503023126403105,-0.007404962679167358,0.014484380294766232,0.023533595584160048,0.021480718143668427,0.008798147386989615,0.0015452377256389535,0.010003626683320898,0.01664335898942257,0.02982712324365226,0.03506523322646345,0.016257336211614872,-0.004697141090046709,0.008464089694607194,0.01837868250216351,0.022083380824450036
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.03283306581727517,-0.0033641561597464904,-0.0022094420790574466,0.006916713248692243,0.024323435140014428,0.011968064811583204,0.03510379012813573,0.018662554559201548,-0.013377898303034604,-0.022399311668794403,0.008371303970962942,0.004882229973792867,0.015749991262886318,-0.005243796646125803,0.020017639428874152,0.014984009291363834,0.013180943310965552,0.003752043056086322,0.01571773590290176,-0.006024473678304765,0.010608745503421512,0.03237196429936554,0.018275123545579076,0.020950958627843786,0.004863027996630159,0.00634228227477229,0.019607596910560843,0.012164742111087893,-0.0013911387780311567,0.0247186488647087,0.01548664152905992,0.017409851787265757,0.012200144662717334,0.01684541499573169,0.019327261247960272,-0.00602340960703971,-0.016916922268108273,-0.002449253400838567,0.02463247379179443,0.007460915767962361,0.02319420196487248,0.01960912777971941,0.0030039122158437063,-0.014721472524894768,0.013299673087194444,0.010632450483490893,0.013265223687033268,-0.00484546124582627,0.023908098459223422,0.017362962325630865,0.0017135033301476509,0.009692906582381207,0.019939732215074165,-0.017285931874754256,0.016742590428922333,0.02891668661711096,0.009825800876351641,0.026099910470080628,0.004745707441316302,0.010318430385779115,0.019927608694498274,0.019296324584684606,0.004700580382006739,0.030932977669436236,0.025944588727728195,0.022167076444035583,0.021342392146949437,0.01614824337756511,0.020847513797105862,-0.004958205982610527,-0.011284983744207326,0.005450840749307573,0.01874785998757816
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.020698507198420646,0.017723182014920312,0.011554907901769444,0.015651652166881504,0.023954279013121298,0.028552904054525437,0.03906490959817024,6.562430472000193e-06,-0.005537123288863434,0.010876666581657219,0.03655980980446866,0.013681527510032376,0.015796036874616032,0.0010284493354469728,0.0068608293720091446,-0.0007610626287536068,0.0010875892472171629,0.037184145882375216,0.01242049703738882,-0.0015185685089976098,0.02708398928316522,0.024882388550876773,0.023152647713775364,-0.0014928896889065994,-0.020708373233071342,0.018285926663059112,-0.004161786785337261,0.016625117918201135,0.020346584233111337,0.016668276510479002,0.021640912788048115,0.012569189916411675,0.02197109477915056,0.020513214302104586,-0.024840696144160467,0.0021402447350334433,0.015263001733682462,0.02461830567749456,0.01976133409782095,0.016079239683972596,0.04047940479452375,0.005661006426742466,-0.005290287464328925,0.01420922273245259,0.04867560173995769,0.008548904487489479,0.01923920860721049,0.005583195659317696,0.0016990909154849625,-0.009753078441065481,0.0004500288268366971,0.03686382728139046,0.010749415680639265,0.0028234894971486046,0.030556588760443548,0.0157529958449479,0.023471050988450655,0.005124460316493052,-0.018711644157111285,0.014882597530269675,5.176754924670262e-05,0.02238366193229228,0.023748030956896114,0.024299757161230076,0.02924942673821143,0.012912712385569666,0.029665962320872537,0.010653228497282275,-0.0034364590508247014,0.0028338612763140385,0.01460441740826236,0.03491792516400083
