# File generated on 2024-02-03 12:11:02
# Number of participants: 70
# Number of patients (adhd): 35
# Number of controls: 35
# 1 datasets were included:
# - CNP
# Effect size betas (regression coefficient of the linear model including: dx, age, sex, intercept).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.05922159464850467,-0.026855076700251005,0.01808871985331089,0.00991878140521922,-0.0076237982066794914,-0.09633023622727778,-0.022995827376325155,-0.05248167897121037,-0.01177389134931421,0.057925682047163245,0.030670474865795296,-0.007028554240704809,-0.052178353823800545,0.016996679934955954,-0.009202112573285641,0.007647630904771295,0.02988812091166122,-0.04081916206712214,0.05180259052808467,0.05706692785223271,0.07601113234142289,0.0027790613577058703,0.02539268443437419,0.01978169714984757,0.04910951434772868,0.003522304434631608,0.034799838638659056,-0.02191465597366876,0.019961656787499178,-0.027067228527915082,0.06716343490450698,0.00394430865231234,0.0009219763647775676,-0.006292113850231627,0.050492789289655095,-0.011878294138867537,0.0018686469358985063,0.01489159966424505,0.018551919996373224,0.013003714059373506,0.03781350805002374,0.01667813759549518,0.024191343518611,-0.03848002901839961,0.009269968895743481,0.014022495736801118,0.012043859994730084,0.02788826853316569,0.01402417544816049,0.039064835337461294,-0.00913259796438719,-0.003403224257619326,0.04686605813545508,0.09526998093813294,0.060254730338566626,0.050833312149005994,0.03095836253675942,0.047199536987953226,-0.008734885810239455,0.0012451757521894295,0.08327751565966772,-0.0332817032677483,0.004068315008311071,0.026397843040082875,0.026750293526963124,0.02884734941441533,-0.016192354199475935,-0.01454876646218357,0.043172102346920975,0.005888776979798145,0.04174269552455269,-0.000479751163848673,0.05421559072046561,0.04676536762861836,0.044102983429848516,0.031232744162486992,0.04643905526394244,-0.013588043728179271,0.0627595117453824,-0.03016524993916259,0.027094727170378034
Left-Caudate, nan,nan,-0.03432769569700864,-0.007261979241314433,0.025905485424091792,0.027210468288759195,-0.026252466797409967,-0.05272916396986321,0.01861949983629827,-0.008637244268631078,0.023942526572487553,0.017343077907498842,0.021946622475451455,-0.012426327177082171,0.046393788230722904,0.012367988256370605,-0.002621503221894083,0.0036343974998278863,-0.06217854492841148,0.04695121188880634,0.011372973858723956,0.05944785124978642,-0.020225269717443827,0.05657382315524506,0.06256265686537817,0.024948210899185086,-0.005703322976304504,0.05344536259568649,-0.03774315923955602,0.031175460645264382,0.036364039875342286,0.04729053224407951,0.05216834655964309,-0.011698341867347244,-0.012770372338429748,0.0510523400287237,0.00357879284638779,-0.027535159011176886,0.05725651768916522,0.00037023532014171686,0.0006204334449814308,-0.007967111933403288,0.015783268992878845,0.03367486829968021,-0.07731347429412197,-0.06828448713693569,-0.019767651404294876,0.01662249114816598,0.013647026279968284,-0.0017073401871827811,-0.007913832396011677,-0.00029490952459964513,-0.0694018580480254,0.027216087475140344,0.017494303479166366,0.047148046661785264,-0.017223118183318863,0.058048549357665485,0.11091444360817065,0.024262314325325496,0.049670315871614024,0.09015155018376676,-0.012910347428101914,0.021571538472658046,0.004410369563997243,0.06426760078718627,0.03847796162175597,-0.03697911415287787,-0.007561756085325802,-0.02105141780600548,-0.005044533466806121,-0.03514238569576613,0.025051283134251704,-2.4809928942063553e-06,0.005797330618581431,0.003734827454104861,0.047154227651247174,0.006120858318417462,-0.017717695754309426,-0.022807625508808924,-0.028833085093031653,0.015516856415755873
Left-Putamen, nan,nan,nan,0.045794876295582536,0.0019684274021610076,-0.026925310863093833,-0.054637021368716364,-0.027779089065018192,-0.060389065102179375,-0.001364348189127097,0.07815801964476868,0.0051871874302474585,-0.035312563207617394,-0.07754129291087876,0.057969085176679945,0.014101817221335345,0.044439989653857,-0.043281615773768475,-0.061642176499537855,0.04983498132242805,0.033670713897058765,0.039901888222339844,0.014759923561066314,0.006154392875487742,-0.0365348989926679,0.008510391850396396,-0.0628147871815912,0.0005276761257189496,-0.028606496514631312,-0.044351122903058454,0.02129317554711128,0.049445802068334405,-0.007493702068890896,-0.06057995649020692,-0.021356331007212914,0.015328180830855954,0.003177220996450218,-0.009999218765106154,-0.0019757235109832696,0.017352997001442057,0.0026401522985695616,-0.002817078200169498,-0.00463499630488399,0.04374704705583193,-0.06233424786835954,-0.0866151963420466,-0.008768429236573136,-0.00406678601782541,-0.005969848393982516,0.004157116755166175,0.0660776876739454,-0.04544553814159197,-0.04704106952525306,0.039362364975875835,0.05513619362467784,0.04796583468997148,0.014365300984106235,-0.003091354052288852,0.037997440656051325,-0.029875975329314516,-0.04427979272065579,0.04378751086214822,-0.025964847087682617,-0.04571061475201253,0.011873878620306626,0.008745885741393494,0.003561573218084609,-0.06685409523606897,-0.03978156657153185,-0.02609350118951687,-0.031392186534236956,0.012783596388544344,-0.020827305119491688,0.0530455768363601,0.01687836656962423,-0.02546051932901181,0.011584589756641039,0.003979415908979869,-0.021924926312034763,-0.11854694144514202,-0.03526875363547319,-0.017735658321224024
Left-Pallidum, nan,nan,nan,nan,0.051438629197037254,0.009139162651555798,-0.01357261508287858,0.021666227862823288,0.015120823306101781,0.028412726945518926,0.04089525043564206,0.05104995447393231,0.01565193485887591,-0.037653164148169896,0.048436234823092915,-0.009048967148128943,0.04876828598694769,-0.021787929818503974,0.05256778249705266,0.01889611556873294,0.046863664206061834,-0.0350205070599189,0.04242719838835939,0.013159687743966631,0.022352495596283193,0.009435491078376768,0.03049522435735468,0.022924865144110008,-0.01892312009105038,-0.03428951555917243,0.00725615268627761,0.05467408970350416,0.03838435967333911,-0.03431229992055613,-0.050577390030605705,-0.041751432993648564,-0.02879752866893012,0.003184790445950111,0.02145097413696311,1.600085005301668e-05,-0.008485758301591241,-0.05612953792527842,0.026804859868997038,-0.034002951463878904,0.08540325677551243,-0.02057295414178043,0.029221519256940817,0.00539237787183915,0.05407445185772441,-0.0075550556777344135,0.056464112582442584,-0.0063478013899972725,-0.034610523037869705,0.016723342031704554,0.06611352394701978,0.01576607096405883,0.04404783875086392,0.02287482677532691,0.028988806719237856,-0.053362793762654674,0.042575803176716005,0.03404399963631,0.038096124758296636,-0.04049683018337867,0.03168748912501406,0.04903449711144664,0.04600187284384796,-0.024367044834780097,-0.042777741999568415,-0.03688379581709136,-0.023786781778064484,0.028452402402748746,-0.009232865775997951,0.02057162471810292,0.012537054973080648,-0.02673734545074526,0.027513414012276135,-0.04229191489023766,0.08849368941730755,0.04302284800062044,-0.0045886477027387625,0.016108731274143192
Left-Hippocampus, nan,nan,nan,nan,nan,-0.014139805759469805,-0.03919214943053783,0.027618267187597457,0.02063370643740512,0.027408896132873277,0.05797730342953507,-0.04422634894016451,0.0077875276717035615,-0.010896879337340633,0.028341983242176617,0.05120609604259193,-0.026646400102611902,0.0903693781160637,-0.007839368294249452,0.06697190709756352,-0.046987553615658394,0.10016131788809986,-0.04844687016694387,0.01833734985679614,-0.028378435772047034,0.0473488359226683,-0.05595978034390853,-0.02788604033131295,-0.019749073396133434,-0.012700225303185469,-0.025886536107177748,-0.0888374064547726,-0.028155553152188574,0.04611404602575452,0.0005013080465390801,0.04292554913136371,-0.023226372941222168,0.04291701588257311,0.03695507903345052,0.02579240269989333,-0.03618546194383642,0.09326799320878347,0.02388654360049394,-0.023484301232479923,-0.03215935401898563,0.00930876414166021,-0.012224877343729453,0.037061016663686726,0.017161337170539616,0.06991068899233142,0.0018040720932616216,0.08589048403668784,-0.01893133706753859,0.04797452724323275,0.0025020525088703775,0.00045184754381200163,0.012962772075213682,0.040404103505115196,0.016733634243793087,0.05522813663031929,-0.04895047808370206,-0.02244343853837788,0.020241483586290812,0.02112382649052745,0.023872573933375666,-0.07323667140143351,-0.005119093489266048,0.05040771586199995,0.008693723825232941,0.05488947936723875,0.006145082923768258,0.05706004919709888,0.0025133626558223794,0.033937015755950706,-0.018896815643628946,0.07515489632520005,0.014889528126516815,0.023071979238056435,-0.06663229262221684,-0.02104144671927602,0.02189133807491156,0.025682449066560652
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.0055321614691610285,0.014553713350892523,-0.015024336033732094,0.013593462054200853,0.035879844719095645,0.03383075019279997,0.056372739467148165,-0.037832398972851754,0.08597093267508665,0.051087301064077426,0.02109707845323973,0.036420365672873274,-0.006460368318855017,0.09543611077117058,-0.014352591481957389,0.0881912555148592,-0.053297842136697714,0.013305911401654335,0.03306719009044688,0.04520503944728498,-0.020149658799481624,-0.02780858756477669,0.02077704283819238,0.0034074920327741205,0.03541029951404989,-0.06431553519802079,0.009714933528736713,-0.001735517828065022,0.024921457462900934,0.05553456285542682,0.008062104515338689,0.03384304218229128,0.013789558338625867,0.03801588242240002,-0.019196913835220094,0.0664101620131047,0.10621207566718008,0.03366032061068814,-0.028990157578792072,0.0141969802909588,0.07319157333003533,0.06471454776891551,0.013133112275990707,0.06114384838499735,0.005343001852451338,0.04075655053232378,-0.02984430642296181,0.07307055413467606,-0.008421354136575172,0.028154380518572757,-0.01342825791771905,0.038171770937385344,0.059302353001466156,0.05178162041611967,-0.0039054844602377315,-0.045243964793000864,-0.0013585258877054623,0.04308184105558199,0.026486235985314854,-0.04065209510060946,0.02542457276875545,0.0079741113313005,0.01737080368653964,0.034392495253893034,0.02500510721223887,0.02002497813914298,-0.022257120958143136,0.033871294091152505,-0.02494290083535295,0.056765540949022926,0.06238696536459427,0.022388432780878854,-0.02987835165206192,0.012481798745390661,0.05832010074379205,0.05884661319622886
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,-0.043008400392857936,-0.023982842735120007,-0.020610874113990037,-0.07762821427666629,-0.04140976051450839,-0.01226926374654709,-0.052136723899588906,7.686264557168499e-05,-0.057845937309423466,-0.0524830256931352,0.007318341868902988,-0.14015769708022485,-0.0029827147992897815,-0.04662162200955627,0.025272208524744016,-0.06795061038178381,0.02226643391939558,-0.01865159888223155,0.01592453766438331,-0.03967294882947327,-0.050168591495777445,-0.11032223730945603,0.005690409203739313,-0.022106391726492158,-0.025494231163115066,-0.011997689845952586,-0.043680754146399214,-0.037948887274910914,-0.0418567742471336,-0.022896200466631465,-0.03851774750292144,-0.08266818309921929,0.0020208840229553695,-0.04011766439133217,-0.008107008500423972,-0.01622508685288395,-0.02284039594268065,-0.06120175436441483,-0.15126799419532375,-0.014488359733434975,-0.054413861257784024,0.01202203091469701,-0.04026909133252202,-0.025174583819829833,0.01226886805989652,-0.07915873705138429,0.004366975835682069,-0.017611434954153394,-0.05709486185109814,-0.0705447907633365,0.008959508676935287,-0.012385882484127387,0.014111313695740606,-0.0485532488404955,0.0049284627728331774,0.023128133208449926,0.007012847542227973,-0.008176310350461674,-0.011404363142520038,-0.004138013242423445,-0.03471419820332219,-0.033029144815348764,-0.035836868915816146,-0.014546244965129575,-0.03438983363568204,-0.08682322527345512,0.004940011223854357,-0.03660046118825985,0.007705275762533455,-0.004131866717796116,-0.018190049260076793,-0.072551668049567,-0.11132004795977055,-0.02408548559940764,-0.050031033310123804
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,-0.030083283795854177,-0.016436971364244903,0.03812902164898969,0.08936239806572002,0.014880467075994178,-0.03433314754727684,0.009181966293839805,-0.018046968449287076,0.008546780162921123,0.04260179420353104,0.007538003312625652,0.04939567168122681,0.0349735735345837,0.07598497417264218,-0.011938874236583172,0.028161139797807072,0.008900774342373855,0.0727065103066691,-0.02692253881827723,0.01084492453906206,-0.017501273656485433,0.04575276173872677,-0.014744462042857146,0.025428482565450158,-0.01527825790572865,0.026875570224601547,0.006678511094042369,0.03625173005137006,0.013413972229788537,-0.011996623414270916,0.02340192498951238,0.008680572465474408,-0.005059985037940773,0.07992253017765305,0.006114371561337047,0.02575576725778672,-0.05933042944111782,0.023875469215643264,0.033576005330933745,0.022982808408521783,0.008240749395303615,0.02179451353163975,0.07909435934560226,0.016050833650437572,-0.001792168582104786,0.05969412760097306,0.11787028016197972,0.0905943103367513,0.053337319845902544,0.022436722049313063,0.05355696988886039,0.04039550000610777,-0.0064614869087873585,0.07369682239109573,-0.006195784550306623,0.01573147598953203,0.04008015393188719,-0.002354591083478489,0.03479413800588359,0.0066427386410370885,0.016110543740036957,0.0655983393722351,0.020262997722780396,0.06897412696075302,0.012679308916778695,0.06053351682737874,0.04536665419862954,0.0795402276030883,0.03986622504407225,0.05282669245533926,-0.03048081203812092,0.06343674238343296,0.004403041828614032,0.035558948349631865
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.04533484031012,0.0185969614646723,-0.011961746586930106,0.02583168176925687,-0.03518791769104132,0.05046596617356058,-0.03597947085547796,0.010829553784802713,0.01824184966069084,-0.07314467214161001,0.04888407055416058,0.01009915925707427,0.04663913539386291,-0.023838946545556808,0.07679559198141767,0.004656024229921439,0.059871480582443654,-0.04139258043203274,0.06857284511120101,-0.05902465441847857,0.032293456959779095,0.043188937684074925,0.0305176050399697,0.047660612231664505,0.018734449915086597,0.014307133177718508,0.037638453664760194,0.026104637439721214,-0.023193604405996895,0.03100512494945845,-0.0028652358295299368,0.020172950570446234,0.010904312561030862,0.008856478911677334,0.05385747277895826,-0.04640923460542054,-0.10295958938182281,-0.006359358662128121,-0.0011670143745387191,0.0046601966130253875,-0.047677700940082786,-0.002805234846175958,0.005150312448168964,-0.06941860621479626,0.018727347499857803,0.03402294890999038,0.018937590831932354,-0.011957137151280441,0.05151977876215222,0.03343106379002405,0.03358775334540605,-0.011060511867304031,0.07842930494020121,-0.056025371776816824,0.04074046654523206,-0.008354538511295896,0.02911194941305004,0.029893424841109857,0.003502444077475187,0.016375849230680733,-0.03446188362920807,0.019555220713805287,-0.020394277175578242,0.02221496442664416,0.011930647192904357,0.002969567288868906,0.02142585023763908,0.03496186996503871,0.006631351017030669,-0.07230640299142549,-0.040818152681645604,-0.03068834583082773,-0.01240351065663644
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05519228726045939,0.023310190213459977,0.003575365613301319,-0.060802707256754546,0.07195720964786376,0.04451739751877628,0.04181155407251329,-0.019681850096729313,-0.04132216378128095,0.048188817014116266,0.019646346291259203,0.01841440640645316,0.00567478776648123,0.002922874460836445,-0.016688797295741433,0.0044390816983944465,-0.05991355527228859,0.020248964964367247,-0.008648194959737104,-0.003224018812878469,0.03595583540542535,0.020570568331991747,0.009982610242249867,-0.03306443800368894,-0.010274060294565731,0.04891774789470019,0.010109029868732309,0.004845978869799721,0.0361653377651268,0.027664077633850585,-0.004152419232288639,0.0066163270140818554,0.029542483753067162,0.043807267410804124,-0.06423038063283804,-0.02332074461870498,0.023765433995532426,0.011393788905840136,0.041258682473161536,0.041333418333639085,0.07192730756847271,-0.014627275675835771,-0.0027452831856217886,0.03196880695468142,0.08054958065723926,0.04406180374054074,0.02235313758173777,0.006284744093282988,0.03533302698049191,-0.0020211234029290127,-0.02855511910850057,0.05012029414316413,-0.02066358577545538,-0.003477460055819094,0.008380303685514073,0.013917389205835164,0.01844205768849076,-0.021782549624323945,-0.027184222695465998,0.027850244993489107,-0.017015624698414326,0.04152755261233686,0.007031297723012449,0.06499477751124338,0.029687396351893918,-0.0130581843960506,0.04950029798133366,0.014449063181571785,-0.02875717553777592,-0.05130074404308369,-0.02500737446688462,-0.0036927618441641814
