# File generated on 2024-02-03 12:11:06
# Number of participants: 224
# Number of patients (adhd): 112
# Number of controls: 112
# 1 datasets were included:
# - HBN
# Effect size betas (regression coefficient of the linear model including: dx, age, sex, intercept).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.022470491436839206,0.055052662669294504,0.04950291250841605,0.022720091173948572,0.03840254329599507,-0.006830522149951407,0.02870752504659579,-0.0074892267552942185,0.03222381310995592,0.008921319406214295,0.029931192300998062,0.039314887011703666,-0.006574917253985135,0.05492540059317838,0.012420070496014948,0.007562001344204214,0.01580217196345092,-0.01289211160216522,0.024683136108595797,0.01477057803871975,0.01800764968084997,0.036574793518465785,0.026739991315552797,0.007108302341969796,0.02226426110064799,0.004376418432625815,0.07145288233387147,0.03914820099886791,0.07800662597247442,0.0218373966036055,-0.005842369349955181,0.029497243669048604,0.024536874463328362,0.05879566184283819,0.0575278958878681,0.03574756008893924,0.0430565542351663,0.01825545265879248,-0.03427884052780202,-0.0021602320768475385,0.017632022975633738,0.07516444334283098,0.03215134458047515,0.011147101579061975,0.03362999358539443,0.05289105970144619,0.05417302993577668,0.05324912823734747,0.006748919922066747,-0.0016162272302891773,0.04262040241518726,-0.013894582384586233,-0.00536800019301754,0.026202219292512936,0.004985812669603858,0.0356102731446565,0.024303634662886767,0.01767162473903783,0.012118751037439833,0.013146734643308601,0.042875507949980844,0.022138323187274125,0.0614780592881539,0.02029356961349135,0.016736301069748705,0.010835180942886298,0.015905221097068087,0.03378226713970162,0.062311467819930286,0.029142835320286484,0.04104371997674379,0.024875470155738044,-0.004472236082319335,0.009886933844039924,0.02483733686925274,0.06895369013689802,0.03906097710029137,0.013523399462933143,0.002798151539852549,0.024000612601463953,0.030213691890506305
Left-Caudate, nan,nan,0.010745005831510715,0.005939812179329816,-0.0011462946834885433,0.06408671555920957,-0.0033918404997970693,-0.026808858836080727,0.026104858902033845,0.014135171124528586,-0.014712570553784174,0.020590892931933332,0.03853349968900647,0.018977145879215597,0.022723432620813323,0.015120637324422445,-0.01927515551635625,-0.010126513875858134,-0.012363817870805073,-0.02238267700528802,-0.040996005935618876,-0.03837044546153121,0.021260328579005873,0.0016691878656152717,0.0002082127065902069,-0.005197500645457568,0.015307580080893397,-0.012413091813238481,-0.006683155400791453,0.024149565191628624,-0.011062600094567145,-0.00151703231917318,0.0032324261394004496,-0.0020565352716764964,-0.010777694602650012,-0.002286086400872363,-0.01039757626020672,-0.017236768006639484,0.03329247733386322,-0.03298910190626993,-0.02863394818755729,-0.03769194834193052,0.036809479429057414,-0.02574060359448255,-0.011394038397849228,0.02950179528045831,0.032135267909491366,0.02654875675293872,-0.006282278049069481,-0.005757538756123249,-0.03305444995927302,0.012861970100162216,-0.010756295154552434,-0.02096410036838854,-0.02965421798610412,-0.03217709970373121,0.012458749644601114,0.011601418825032354,0.019319816926712266,-0.008028632478874516,0.0072757174840575815,-0.016120444572500867,-0.026822971248322752,0.015201158110728015,-0.025170558457885173,0.007575722642465393,0.0009656955046078693,0.00010894334700644715,-0.04280747680310461,0.009283922995147931,-0.03211647398118826,-0.0053619912327656245,0.022874148560985665,-0.020893559282274293,-0.02294415241516277,-0.028494414040388445,0.012375978260129724,-0.03722112791105863,0.035252337505627125,0.01985088198636962,0.005977775469660339,0.009596921446133484
Left-Putamen, nan,nan,nan,0.07096790021385666,0.010712566770884486,0.06518908786326005,0.0022165926512307146,0.04714994861609912,0.02682256178758276,0.039067764772357974,0.04483996510302792,0.0297702332267109,0.0530120321784346,0.009822701792328734,0.027393076420721252,0.0196702157044373,0.0327455268976673,-0.002189823878044858,0.0006577749310872455,-0.007940536063551556,0.00679288944396097,0.011859502526250985,0.055191196544439255,-0.010307959588183962,0.025511345239411936,-0.012449208848479793,0.015300950648135775,0.04887342739571904,0.02352082133551643,0.05158648411599709,0.04001193007160588,0.03403604678260479,0.04057691346958856,-0.02447661002045907,-0.0010589006247599202,0.037988618623039885,0.02193338644414852,0.026336808664142702,0.040920067107096676,-0.0041511411649327035,0.03558448041075173,-0.014991781833665398,0.063143958733206,0.01499524068874973,-0.016540609939926267,0.018068183992729386,0.04184054242799418,0.04985698776215188,0.033936234549417285,0.022436332800237546,0.00031584141420849023,0.008312060673353236,0.0190803815830729,-0.006424511312004477,0.031784984440669115,0.014526551017450897,0.03744498502513629,0.0073234682500773534,0.04169749632645579,-0.012531342305097063,0.015041556094948873,0.032508425599635835,0.04329280707208127,0.022263892391028866,0.023392271931853892,0.02871482370189535,0.022317524387588304,-0.01547247848739506,-0.018568571203864567,0.04859185533429482,0.0032835248689010855,0.02390058385240732,0.03491299603214278,-0.004909905030930255,0.020665202774153152,-0.0003568719846571873,0.052794488523955636,0.015929424800540444,0.017123200646692836,0.03925242749682954,0.008873312990234314,0.054021171065117245
Left-Pallidum, nan,nan,nan,nan,-0.0018781163338161735,0.05264894077426672,-0.014338355915815778,0.030161998187820224,-0.026997265825635875,0.02968876786766675,0.04024325883643056,0.03375465735566623,0.05184364862816377,0.023537800751823372,0.012196170453974878,-0.007441466669463922,0.008522789022272768,0.030641908655736544,0.011812125073477986,-0.013051604234479968,0.0016408722281703156,-0.02661550764511321,0.012496742923163441,-0.004295563033040611,0.01027569741573813,0.008298483625583842,0.03401381297561593,0.02242192792246171,0.03018207639182835,0.02017855983022194,0.010993503841963993,0.026826024903981074,0.026354011178228047,0.006097499472921885,0.006791232345685675,0.0001792938173443337,-0.0031546736871273457,0.008581548333446449,0.017665278315768737,-0.01863304439988088,0.009717433152485872,-0.028856775140992844,0.04775084479161759,-0.0031205797764766482,-0.030637238369045465,0.021702712304786577,0.041913260881929836,0.039635551179168255,0.029986256128234027,-0.0032153586547506783,-0.016522815896395992,0.045916620966959004,0.046294573968587445,-0.01290878832706464,-0.0011660908666383128,-0.012070476955291454,-0.006923254785970131,-0.003832692292455034,0.007310641624654269,0.006194280696513061,0.002561416275676573,0.007379414553277773,0.0055521605786299656,0.014744789608618572,-0.005979291766851114,-0.0010427852669754574,0.004410285442668363,0.020825688417865352,-0.009938095306078889,-0.0040988995278725985,0.012016647812764914,0.007523665387259823,0.005167896692742409,-0.01398611094986577,-0.0035836026458305414,-0.01678469855931055,0.03840320644517293,-0.00904215492568557,-0.012317251281496699,0.0457758217392734,0.04909687880413328,0.04884953536579515
Left-Hippocampus, nan,nan,nan,nan,nan,0.04995608935542144,-0.02719426276487179,0.016230449415361666,0.00014363769868487973,0.019848435933744597,0.014924078370259898,0.0027406833750573604,0.024622455570031697,-0.007108270682143163,0.01660557708298191,0.0009325748798506913,-0.0059692946911512855,0.04930672350929307,-0.03419257371200184,0.023030247371747373,0.02171982696464336,0.030159799693161665,0.028928649262431484,0.029778589532083982,0.002213588213946342,0.0019554436922628853,-0.029390218981366054,0.012118995863168306,0.05696510747211208,0.005659405451144535,0.006995409473693762,0.006658007134135251,0.02373950690074437,0.022959354267051597,-0.051235284809385745,0.017115577827200884,-0.036071859498983935,0.026294318417889703,0.011701853826397848,-0.02428663117013127,-0.01698868954242667,0.016571749104956245,-0.001842252167528429,0.011646609809584372,-0.008645086439567386,-0.03200753472808411,0.006909036718481375,0.010611937549054788,0.014925199110737471,-0.0200077583161209,-0.027972181242328767,0.03139307084502986,-0.01337490337708961,0.009359830863265575,0.0035553222077937506,-0.022039892809098467,0.04734833696816885,0.008256113622014545,-0.0053837635199778435,0.001424813733622946,-0.029776643988904162,0.015218182041806094,0.04953268976013144,-0.011590480113184051,-0.0043931264372507805,0.005399589086121542,-0.004588048897081609,0.028241321753734963,-0.04515570078212008,0.01979710692868063,-0.04454055087607799,0.026044702374424397,-0.01569638540776653,-0.01958253369028768,-0.014049929984249131,0.0014394184731336141,-0.010253076114881958,-0.0020206101179810203,-0.03179337169079561,-0.04764748626376225,-0.008940512828150502,0.011330636759343081
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.0014372508689047222,0.01828150940838544,0.05845055487679949,0.06420543518524255,0.04037727184514411,0.052512010465306624,0.039807468017227496,0.017497113133103724,0.036998930161415845,0.03487464084773513,0.06181514100941883,0.023915647854262565,0.007128650854980866,0.008222230673830265,0.038179377444266804,0.03961217831218061,0.039686086403713135,0.04315795778875539,0.07673229650024943,0.0022689128701424833,0.02536002719095507,0.045090824296396666,0.014391677487528199,0.04145669361757351,0.05232140240368075,0.02532595796221888,0.03771760393534598,0.008210610433437909,0.01548598697354532,0.07692932525349297,0.04091478668853981,0.04293357346374576,0.028310936775899142,0.044525805744879125,0.04648651170590562,0.032506843276801825,0.048895044589506345,0.04799398564319236,0.021948324753753908,0.026706851762027535,0.03890217685845781,0.07038371522942784,0.054382290005201187,0.03153585845692001,0.030484095727520616,0.021252945236123037,0.015236386091038686,0.031539002294257566,0.037592416375431995,0.02598128108542221,0.03894047844167761,0.04169005836614319,0.047757029400111645,0.009556105736659104,0.014557889461705154,0.05244008200122713,0.04336212129307511,0.026118538580572594,0.03414290563528178,0.043613942100410884,0.01742110861973116,0.015150396751944977,0.013085847229438518,0.06836577925100584,0.030628177558607198,0.048184664925862306,0.03940388985199054,0.03485132027504154,0.03842455390555282,0.026419141183676043,0.04776836848976603,0.0442968182856027,0.016498589859972955,0.016030839109876304,0.03244606398735786,0.05707164806607659
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,-0.009138198448605377,0.01068161450319514,0.01700036720697542,-0.037512639999299276,-0.04275913217940369,-0.039484308417266314,0.049423078356793736,-0.016280399503698886,0.0229156052199361,0.014938874895173183,0.0068252538142270485,-0.03420071639438635,-0.02410238397487015,-0.008851929489029896,-0.027125235925569775,0.004867934915044309,-0.0098997610112592,0.012502025116389433,-0.02118080225719031,-0.006131206080225719,-0.024537682562307844,-0.0276422956669748,0.022565962978454798,0.02296857298716037,0.0010120757371641469,0.0071555971319173794,0.012118460628880511,-0.004481900712289154,0.02631548472955495,0.01422456799832496,-0.01911425742270572,0.014015529071453378,0.014539431124339057,0.011534528989263536,-0.00818956780057157,-0.013889364773930138,0.0007842451521941709,-0.010695241934947237,-0.07399915973982031,0.022365544447074094,0.025163714819968812,-0.02275209734045456,0.0009021722914438061,0.0015994016534947408,0.009361243163939758,-0.06797375195103059,-0.022615891933437573,0.0026489785596612225,-0.05217584366889052,0.004681499610247512,0.02506836346937913,0.03233351457614409,-0.006795146338373192,0.028695456306086123,-0.019470264058315645,-0.02593138058960983,0.02706981888182767,0.000224378850182462,0.019776568963902504,0.01152111720571307,0.003405039469639189,0.009782629127096567,-0.003992159412334883,0.009405915148185685,5.916219971004373e-06,0.002896240853544077,0.016357800869395502,0.010953048961350442,0.003893374112824151,-0.014207632088348998,-0.0028879669212771137,0.03931218212230086,-0.07285480112887417,-0.01470573167064684,0.021133448431495852
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,-0.03323739706624634,0.026985711927315678,0.0332871361609481,0.046230404390863566,0.047257475601776434,-0.010192053882250775,0.06276819005320901,0.031284669191260744,0.024236997182790772,0.03827726690225648,-0.016097328730857806,0.03711884293208054,0.006345367153124416,0.021236951348590275,0.05218821845027154,0.02253184565949648,0.030808144760131294,0.04402703003919424,0.0065603864236366384,0.05383816073391215,0.02450335619560122,0.06170600474763226,0.034963238007648986,0.013569077529270179,0.04842448825529483,0.023647219001689566,0.05946993112734186,0.05296947302146618,0.035183416942052445,0.027789540064175583,0.010817145935994279,-0.0005951342606759707,0.022021643761131943,0.02060476653288938,0.07623655583677887,0.04416867040476521,0.004914913660335939,0.024409664560186,0.04273106676846036,0.05425659080713123,0.049666985384555565,0.015070180445947079,-0.003511217112661528,0.04208764046851836,-0.013321356520038167,0.023717061113232896,0.0063707012634271545,0.01815433268329853,0.03769176433240477,0.029356662232312106,0.02309477271927206,0.02917851158030343,-0.008788771722907185,0.030223414178098443,0.03554380415701857,0.04909878713028334,0.016874193090800856,0.017219096542895065,0.009401305315662222,0.01229638105403583,0.04933278182030243,0.0602244439575665,0.03794123787967824,0.020898772507334507,0.014895269792238073,0.004279081222973507,0.011277572751191412,0.024682772397380467,0.09712028927590903,0.0431435602178055,0.003552744425011799,0.005358983289606849,0.027819285565419027,0.022378942462552065
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.02746914377173282,-0.01949923003505806,0.009102677231285862,0.05025477607294057,0.03854767599784348,0.0414901319129797,0.017675565917765042,-0.0020959486658649676,-0.024935067401900213,-0.036756570893749764,-0.028420917267217363,-0.01813164091687748,-0.018822940225559043,0.005756714164733958,0.009184927573441026,0.03705975824733689,-0.0027230511079033566,0.026133359806035743,0.004207396825679224,-0.017039215056768364,0.05065565418813216,0.011194180613426783,0.021400233938524145,0.02295081702620941,-0.0013656403756940052,0.00989638065027765,0.023451450262220452,0.010354451571537074,-0.00853071729694471,0.04344054283340832,0.002162067090877362,0.012693282493123745,-0.008755518864994639,0.0376374212221647,-0.008977485939209804,0.013755601175208607,0.01526715440325684,0.026674848475557324,0.037484706259807876,-0.006723437357165797,0.009261633765881148,-0.024134546009237492,0.0020932952561571374,-0.036007089090553904,-0.011516785126365035,-0.02994976143248829,-0.018581727151647187,-0.011159846529111115,0.03937923964903104,0.01714984972458607,-0.004657193171500942,0.015027441238921222,-0.008932105943735691,-0.01744457395766388,0.02575470481698672,-0.011518180487333036,0.004547934323353759,0.006887066246220227,-0.004540030482606038,-0.017357093186153805,0.00534473554009613,0.001188917032811488,-0.01645097547579864,0.04243731157315085,-0.011775107339132833,0.0060693704360921565,-0.010172749427996433,0.0168198841867251,-0.019731606129082438,0.025279340493541108,-0.026981301680113878,0.0016068270606528015,-0.004058613896371315
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.04077344627243471,0.02452117919101814,0.046013756852304064,0.039581617380243704,0.03376848409066282,0.009382272467850264,0.011285279430095515,-0.016356498456064406,-0.0208083421619172,-0.012308345733116682,0.006876982969341845,0.002449283841189113,0.03801167130088486,-0.017378495778024697,0.03088968074226246,-0.01843964284582098,0.023147117000693405,0.054133456966239425,0.014953991446288721,0.02422683250181855,0.0068377010746913025,0.018699330163107715,0.026476897743322476,-0.02734977402156152,-0.02026137345403146,0.018416457031581235,-0.011014313574582192,0.00737911685479043,0.045947152224996186,-0.017483509505561247,0.019871293822726004,-0.027193645601154465,0.045422723278026406,0.0008418780755413497,-0.014875638672126464,0.008168196838112375,0.05222166972542991,0.043831462548729654,0.013583628582548472,0.008235481995939159,-0.008075379222339227,0.0031330733353048487,-0.013754984851424313,-0.004945224468947119,0.021183243751817078,0.010373299124419663,0.03587372802529437,0.002843338898762305,0.03624542462906277,-0.01080666193769311,0.025462323850105127,0.04838206638198047,0.04399263963104784,0.011916435772672186,0.01630629408955407,0.024208629107458836,0.02514192475089024,-0.02771188290276664,-0.03643162345479869,0.0328580882816458,-0.013057795446203205,0.0040920330146353694,0.044277165788650784,-0.004475562417151129,0.008821526697199189,-0.01766369853921989,0.05396536780279701,-0.005492206330954991,0.0025756127989458523,-0.006630468608533996,0.015107558802929607,0.040804999569641225
