# File generated on 2024-02-03 12:11:09
# Number of participants: 92
# Number of patients (adhd): 46
# Number of controls: 46
# 1 datasets were included:
# - NKI-Enhanced-all_parts
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.02320170490500951,0.036115880261497944,-0.23051042345371225,0.09094125276207272,-0.0241767420602418,0.0303454125427425,-0.03060409640621915,-0.03632339539575879,-0.07915917671493118,-0.12029431200126697,0.010739414919103978,-0.22534210909283872,-0.0680375132839003,-0.06426983192006851,-0.29797420915573447,-0.04738589256752153,-0.23336758180539605,0.11741920877280587,-0.3133435870573452,-0.39571822042055793,0.04874382800396134,-0.3588536845276708,-0.2947481421919564,0.1308814373046576,-0.400761211626709,0.006809122874281892,-0.1761881773489247,-0.21294301431370916,0.04195939528364055,-0.1856797009753901,-0.17986549059907486,-0.14170611593798332,-0.43441819049120994,0.013991063561182331,-0.07674955142493546,0.07777289089895026,-0.3448865124073556,-0.20117690630687057,0.049896482759285085,-0.04834771470045043,-0.25690419966501227,-0.0489598208028114,-0.4160107626145113,-0.412519220313686,-0.09413378434159635,-0.18303168664081818,-0.029517676883220115,-0.12168171142065057,-0.41795976728965845,-0.10982924641032647,-0.264263773181799,-0.11723947013813187,-0.12126988445406764,-0.3478876726122878,-0.157024753719815,-0.04250120360217213,-0.3530363922137813,-0.1694783127335042,-0.5013215856380048,-0.09540006250425855,-0.45328108381099624,-0.06713022252429446,0.11383970550712728,-0.29974965161768163,-0.1573744253549195,-0.176068386202269,-0.49950293610750834,-0.021543313944223257,-0.32132527233227054,0.05076325111736272,-0.2427823410289517,-0.10774812662707788,-0.07738184092904506,-0.19098115130141285,0.1006874199694852,-0.3530187066803415,-0.4078665887917072,-0.07177300116274461,-0.10142828102736476,-0.2098232478634451,-0.21277832661827012
Left-Caudate, nan,nan,0.013791827330447646,-0.2789130511436148,-0.12008104242203672,-0.034409993833587234,0.007247647175873834,0.10045709829477151,0.02585697771411189,-0.006311369213145664,-0.34854177452954666,-0.20328967740651335,-0.025822087702066236,0.33859829375089356,0.1069711023514901,0.03319726710426839,0.16761797032467715,-0.2495780282863197,-0.3551946228067516,-0.2105688096420224,0.004046264059894475,0.2137827452567125,-0.003850428562955804,-0.012092658190813422,0.011708177039632325,0.06589984077494901,0.1283984271576666,0.060220199275945754,0.07364477109073089,-0.01753260777363711,0.04253057209872848,0.06963019787056807,0.04813574692521189,0.03322521257598349,0.02974028281699171,-0.17293561679403685,-0.08783114197995502,0.030508931692023355,0.15377042591019466,0.004163678916357635,0.11767156149191817,-0.07209407499174324,0.02049907292153039,-0.11267401389738516,-0.21384222344181478,-0.37880839561657664,-0.19156759695326403,0.06432152785917071,-0.09185434535854031,-0.05393908175956323,-0.11146184387070454,-0.03878089098294206,-0.30729878272399763,-0.07504474237763277,-0.13722219904943903,0.00648427921941252,0.15643177372052655,0.04841444024547722,-0.08833194211606453,-0.025203395422478868,0.12368470509196533,-0.1941909068448831,-0.2744464128198107,0.06786818126892301,-0.003881209296813793,-0.1633529862009838,0.1047368123789588,-0.03272546119048918,0.20416142631537723,-0.1981353836341618,0.1123551455733044,-0.07194382296559397,0.21234157716411411,-0.21172444185223838,-0.06400506706686934,0.2009308051583454,-0.20375270527051914,-0.008547895116222767,-0.3194937454414172,-0.37583558181102933,-0.356599075327697,-0.07153752513509039
Left-Putamen, nan,nan,nan,-0.09970692798087862,-0.03262584693454369,-0.2786768285491958,-0.031970593490204195,0.14496012757690138,-0.036085054651851745,0.011808539640870332,-0.3906191330052416,0.019434894045303644,-0.24591206972484186,0.0263687304007515,-0.03805573420595475,-0.03690503990507276,-0.023476734991787304,-0.3747253357464731,-0.12241679955302671,-0.0010547538771305141,-0.1431031752917632,0.33654759874962437,-0.14538117796108369,-0.15645196740570874,-0.003995759495252686,0.043660667538591,-0.24632240159533644,-0.13249633274847036,-0.24167249741954303,0.02146146107683319,0.14560610965976808,-0.05573050803320893,0.3425404770087651,-0.21055581703299603,0.007737335508614488,-0.07571461978304392,0.053401316234264806,0.01347130828163405,-0.3005698615602531,0.037092390923899904,-0.2622133520094831,0.2116748012526462,0.0074260048211224755,-0.09105074244230933,-0.4045441867041981,-0.1813470734937104,-0.08945152509565041,0.05353455012318923,0.11701893240037438,-0.05694340379793818,0.09370071984560512,-0.1297863801703262,-0.034432733965716444,0.148233224101914,-0.0909509315663614,0.3126866117661566,-0.07681777156259978,-0.07917460416183335,0.1461316998148322,-0.19842884976782818,0.06352828113694094,0.08122264894613189,-0.17084269146531642,0.029033438184005445,0.2743435410338147,-0.19960735202299462,0.3302077429664004,-0.29625689143129896,0.0025687124404073797,0.06641835090118363,-0.05663902524934716,0.1311970122525465,-0.14502960707177498,0.031868385501072086,-0.16973810567123962,0.23437068756997584,-0.08186860332666564,0.039187355992429375,-0.4266866977325647,-0.042235422673579257,0.021316620759647204,0.01988300241959206
Left-Pallidum, nan,nan,nan,nan,-0.21980963497351164,-0.1905023282614645,0.061404921719896324,-0.11206989842316122,-0.31656923854833846,-0.15652814496668993,-0.43407743267042337,-0.08790941096298582,-0.218057027257046,0.2412832728828236,-0.049864726753660084,-0.37914806784818667,-0.2521614023946383,-0.1962193232159384,0.040582111156867315,0.015301249345513112,-0.27827505175151007,0.08752750062157282,-0.1678828869285172,-0.1485145409721542,-0.11305163125356192,-0.0951489853292126,-0.3866183682482773,-0.2741651947474546,-0.006576075127735534,0.05020281082315076,-0.24848045478258893,-0.27430947804933276,-0.1946172811167239,-0.10095806579653567,-0.19211950308357686,-0.2183882574842828,-0.27281435641818574,-0.03676046046203728,-0.41669128605743755,-0.2405910734767901,-0.4586762398712263,0.10436289724739414,-0.15606245028247884,-0.4448416418403416,-0.13350423669448183,-0.09383651690938077,-0.39242565151062286,-0.248204505317661,0.02614603643104836,-0.29890817830643407,-0.17696853218053468,-0.10247852674618765,0.01994558079364472,0.11300895528399019,-0.20951750801933045,0.2942188932791429,0.10163179552375975,-0.11583870779224013,-0.01438174537389645,-0.28733973157442017,-0.16784451711135256,-0.058088055859098875,0.1098072953983248,0.11781072602694319,-0.09531050614393197,-0.20053687487186703,-0.2604010802346684,-0.3352382117205447,-0.2934679035100278,-0.16418240566567874,-0.21675751235485713,-0.010816089329620268,-0.4417224852616945,-0.25483686651474285,-0.4799403800099211,0.222930970555014,-0.28133338934090096,-0.23454074933780863,-0.15570820449054368,0.24957335601510103,-0.15323757998016865,-0.11545755567105558
Left-Hippocampus, nan,nan,nan,nan,nan,0.1835040988078067,0.028124135463793144,0.14673675019841523,-0.34113896724170933,0.01533473957596854,-0.37416294003130096,-0.32406762916136594,-0.04231580067529406,-0.12748217819307825,-0.11346788695043204,-0.2566032653389149,-0.2509608642136225,-0.36518525803579194,0.08875924415096009,-0.17407091431704028,-0.451362299876203,-0.10194417723817653,-0.16272227957450722,-0.032879684600608784,-0.2441673670723483,-0.263025081958622,-0.25513661449503594,-0.3033879857966221,-0.03468849165748942,0.1551428442964188,-0.4483554442232586,-0.3828251570450048,-0.4801473373294141,-0.15726757641178432,0.16729069445770378,0.116684035813219,-0.1010766782458942,0.023434597106324766,-0.20686316295355903,-0.3719077268277404,-0.3003229545589306,-0.23322050482164075,0.16861322147141328,-0.31873252953643577,-0.3764622041949393,0.008067335643044632,-0.1808814897848455,0.025778581579842738,-0.026604738670796903,-0.2293750116943485,-0.39794838376263614,-0.16484176417905252,0.03481248947099186,-0.053244354198558455,-0.5645193472891002,-0.10296542514983135,-0.1364228306442601,-0.05167435862387549,-0.33661602727573925,-0.09375483315774845,-0.13928540185421462,-0.28956257870105684,-0.13767416492006798,0.10020333534465518,-0.30799774915222183,-0.32556489426399793,-0.3523245066612328,-0.4523041532922338,-0.02671720760540355,-0.013992285699963075,-0.17653405491174315,-0.32171293372551785,-0.14728575093233268,-0.2938458719350251,-0.3352181291975334,-0.24067337986403037,0.02229276744721644,-0.2405167954009884,-0.4612276441545818,-0.002034517762527058,0.33709231964482667,-0.1300385225555486
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.4081377329846898,0.134669047041025,-0.33602185453605604,-0.10174566964614934,-0.0070515945539689736,0.10876904161321337,0.06712624340633984,-0.5833903297166899,-0.11448498004761484,-0.3208865081991258,-0.3965757299520454,-0.5055161223068911,0.18480030497397698,-0.06376362038435049,-0.35444105634283674,-0.296043740626319,-0.2789925776524237,-0.33837044588777193,-0.47296935079222363,-0.31608736759829825,-0.24045940052414386,-0.19438236159455785,-0.23880766236290987,0.033874549337077536,-0.511542003803989,-0.4900014068281294,-0.5730921171225056,-0.41905128086258847,0.12243415127819,-0.1068186067510411,-0.010362399123466523,-0.020608857876882037,-0.4692228435116015,-0.612912401043755,-0.44735865817852194,-0.33898175193016533,0.01026065486969595,-0.39659830357847853,-0.4211106609166786,0.06829174737078701,-0.19678286539053935,-0.18452448377193614,0.05246000911052253,-0.32016434591916915,-0.20710336885192396,-0.3797876123899743,0.3149369314957082,0.06177443109091285,-0.39543168407152585,-0.329180315261879,-0.19796092189617404,-0.3345892517624736,-0.26871534956595444,-0.3180945975795356,-0.14081823216289402,-0.21230542492232435,-0.20980867055622598,0.10016722384426717,-0.062277872913782686,-0.43022389277829465,-0.39905736751188897,-0.501476743899269,0.07744568787949134,-0.031205804741776096,-0.26359860277700026,-0.09734618666337211,-0.43849909431334805,-0.43126491739108913,-0.30638361610274784,-0.29358817273778126,0.006386740914131012,-0.1648463565180416,-0.23843398567805146,0.2526176858145467,-0.048357773274509346,-0.23727294790708658
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.14558924327802045,-0.1785098218096084,0.13698565414234315,0.04509838054876809,0.0462447750789493,0.22796119291350764,0.13988459108879342,0.07285135186407425,-0.16931579099389324,-0.18192148973175493,-0.14331416571220496,-0.1268262480683988,-0.275792018330783,-0.09683409538447296,-0.16084783550940868,-0.009596084207542077,-0.16935254142986236,-0.07204485133318528,0.0022688887805081344,0.10210165390854495,-0.16109293488402976,-0.04784574580576164,-0.00474254662075572,-0.11552076841496828,-0.17252251213209396,-0.18344752521823166,0.0347286062009215,0.15562525786684253,-0.032428656838272174,-0.1748315695436373,0.24720519780267144,0.04539309932814046,-0.33949575455563535,0.004767007751214029,-0.12003602314806149,0.1769751048078932,-0.2910117535078943,0.010920662377590661,-0.09572063595449316,-0.10659231059839029,0.05732793024820397,-0.09050366665603737,-0.13461275177223272,-0.16155117485973766,0.01440383808508575,0.13874260111750691,-0.1452832928056607,-0.14780388815015047,-0.3789949159536117,-0.05664048797955334,-0.15073319469562563,-0.0863223941957528,-0.04953907523666598,0.27182399251781453,0.005562943383932949,-0.16799799270703425,0.12715344794920636,-0.19782930902722373,-0.3418822921982933,-0.1437974666329131,-0.19466725828950007,0.2155941213145959,-0.05201589918930122,0.051218107075568745,0.011210242635964178,0.12919707731130411,-0.2693053479704671,0.0705940559765264,-0.1692857752605253,0.1266991870943703,-0.27556645960569043,0.09684080017478487,0.10393584139469977,-0.06827446299108783,-0.048036954180533636
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,-0.15506690291473924,0.053214249140549445,-0.26238495268739664,0.2974115481073573,-0.10825739341869048,0.03523975056895548,0.10943652438998347,-0.16452243963611338,0.05541307330132045,-0.40768273526460086,0.13490432724707263,-0.08437688419951503,-0.16207085707002009,0.14120336491995095,-0.33693287493798174,-0.13489599080958944,0.20148632326415056,-0.4338780108964635,-0.001171201657719456,-0.10042779566985653,-0.19187666599824604,0.02270465063526635,-0.15024507437886203,-0.014457284399209423,0.0012512656266550472,-0.5314373000555074,0.07833688579372379,0.06049950023759055,0.17375651853250293,-0.23488666403443062,-0.15760362175386505,0.010921575197476623,-0.05070102045243268,-0.10674155851991174,-0.007926819968644175,-0.17904860954231447,-0.20229565988965645,-0.14101080519714784,-0.18675321112255597,0.012350406038483657,0.003399184997050432,-0.3607554430199186,-0.12043453327158651,-0.38434858365713315,-0.040087481645696726,0.047786720018553636,-0.13132403873468204,0.08104907158549525,-0.11869392338470038,-0.027513304091046444,-0.026940281579610655,-0.37045038545701425,-0.09585830947523964,-0.15789809144961184,0.04186484228808429,0.08101727658849596,-0.2584333137106453,-0.1682358242933566,-0.15164716852975585,-0.5772054064526815,0.052685971512283825,-0.21948582730262461,0.1380214967573918,-0.286097319224793,-0.15478760283043655,-0.12621699587640758,-0.1405347221109338,0.1644894353582114,-0.1638459941146836,-0.22445032168200596,0.019214351632427285,-0.17623560220013798,-0.12312263924564967,-0.03907062826953706
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.02804132639099444,-0.4897764034968554,-0.36352317678353774,-0.20745436231921574,0.051432259084582696,0.01732406543757218,0.05946182288447749,0.123933494218512,-0.5119602888100419,-0.4949774280944935,-0.037924367757599046,-0.03732727841052268,0.3021442939259571,-0.16830872377641634,-0.058612264081608405,0.0035951766718635833,0.0117379471525727,0.08007409333794459,0.01424854816944102,-0.22702543287210183,-0.07034065555975062,0.15637874331015375,0.04720757167522589,0.1151765881797139,-0.16486300884359673,0.07454313527196046,-0.2471808075650371,-0.0490797263443218,0.023798799768348797,-0.1192449876877628,0.06112598926172188,0.12442974186912656,-0.023062157424008477,-0.06352415460270018,0.004981740691399769,0.030374393509377085,-0.5002255684192406,-0.2902159618636684,-0.10072071582919592,-0.12027932482780146,-0.07351040168506691,-0.01103633307227778,-0.10992194929803725,-0.2886132987108823,0.040663056248092744,-0.2352693158533093,0.01295009461294489,-0.19855628242967385,0.03560934812279629,0.04501634784048475,-0.03009966529240433,0.1780039892461952,-0.0604600636893597,-0.5379078907080922,-0.025902545501334306,0.09736020788601474,-0.1964706755978364,0.14230027736979362,-0.19108263938309755,0.10296397188328031,-0.08215766500537136,-0.05310606382206143,-0.16259163771807034,-0.044988255644139837,-0.03575974626344436,-0.005092783647810128,0.11106347297021174,-0.10043247129556129,-0.030911627914808237,-0.22259054707063491,-0.38837109319144075,-0.21599578717126308,-0.08878951809263703
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.07477948764133789,-0.12155518353255758,-0.2945253051484491,0.0939897580959827,-0.09119179314230248,0.13838406920110377,0.21233585032720118,-0.16931467744574372,-0.00989363048447583,0.00808332250654574,0.23145593781022492,0.3367809014701462,-0.03518145984926002,-0.06623801465725725,0.19027548994571575,-0.1608938577174678,0.05775702184107227,0.1822025266895605,-0.20116317724323432,0.054302569573507965,0.2004248384085452,0.20199173999856213,0.32205319410350997,-0.3287604020861515,-0.03823252128279141,0.03695499752681394,0.20864966101899154,-0.11375807687829849,-0.11001900820816196,0.22169720388974362,0.029333815744879338,0.11398459311563451,-0.11406853408725963,0.16410472856058317,-0.44891781490641,-0.09182910611874578,-0.08301935234833852,0.06075210582850064,-0.16897050956572696,-0.022319856951998597,0.1438151496460088,-0.23780537037630878,-0.2916751325532048,0.0031820650072238127,0.16236764389890151,-0.022590707134061527,0.10188083401866886,-0.07003486394471577,-0.0030250654737565682,-0.2503265117573061,0.02248286025820065,-0.0996446069428795,-0.03235687224577186,-0.028675089782462443,0.20414343843583108,0.02103790326614613,0.2286978681636544,-0.11733896894375244,-0.10042374595109226,-0.03701865730998452,0.1509630858668781,0.07236643133114329,0.05987274170801949,0.14212228192659973,0.030475141930676106,0.1972857861358454,-0.22072507111797876,0.022117833440230418,0.05717731113865349,-0.132614161603987,-0.15416620245268234,0.13034955498464013
