# File generated on 2024-02-04 11:33:09
# Number of participants: 260
# Number of patients (adhd): 130
# Number of controls: 130
# 1 datasets were included:
# - HBN
# Effect size betas (regression coefficient of the linear model).
region,volume,surface area,thickness
Left-Thalamus-Proper, nan,nan,nan
Left-Caudate, -19.536054476713495,nan,nan
Left-Putamen, -35.15859097413596,nan,nan
Left-Pallidum, -20.576838334650578,nan,nan
Left-Hippocampus, 23.781038695842852,nan,nan
Left-Amygdala, -32.44099804416657,nan,nan
Left-Accumbens-area, -18.578558760080977,nan,nan
Right-Thalamus-Proper, nan,nan,nan
Right-Caudate, -23.342951196406712,nan,nan
Right-Putamen, -12.782961012101985,nan,nan
Right-Pallidum, -34.171873674211,nan,nan
Right-Hippocampus, 69.56577290017235,nan,nan
Right-Amygdala, 9.861788235335586,nan,nan
Right-Accumbens-area, 4.650749192717942,nan,nan
ctx-lh-bankssts, -10.137724217063717,-9.203157171186593,-0.018830885635596966
ctx-lh-caudalanteriorcingulate, -66.75132014540412,-30.66696321149179,0.04743365127111869
ctx-lh-caudalmiddlefrontal, -208.1463570759712,-87.24654019417257,-0.0031978677542753215
ctx-lh-cuneus, 37.324354321401664,-25.1196502621174,0.02471698827557046
ctx-lh-entorhinal, -26.07945943062732,-1.9794990440367646,-0.012366230439229691
ctx-lh-fusiform, -207.704967022692,-69.73568540415566,-0.003731649655038614
ctx-lh-inferiorparietal, -259.62778927900035,-119.10318076617051,-0.0006596200357932053
ctx-lh-inferiortemporal, -330.5166165482283,-67.56685473772237,-0.035382311867350906
ctx-lh-isthmuscingulate, -7.871879132935719,-11.175745661932794,0.012988217106415402
ctx-lh-lateraloccipital, -268.0072663194072,-134.3911808577757,0.01068102494443074
ctx-lh-lateralorbitofrontal, -150.13183982801226,-25.473304624093704,-0.035571617229882724
ctx-lh-lingual, -75.81578377650439,-32.55857980232604,0.000684694790312185
ctx-lh-medialorbitofrontal, -98.66514700823767,-36.16435458652075,-0.01940561582744587
ctx-lh-middletemporal, -44.342848619282094,-27.31635872143323,-0.0022443730171855057
ctx-lh-parahippocampal, -21.904430609412792,-3.0937745422333083,-0.013401134668301937
ctx-lh-paracentral, -73.27724103506972,-43.71633432572883,0.024996902548586816
ctx-lh-parsopercularis, -223.0235069142678,-78.69773962471602,-0.018244886820295105
ctx-lh-parsorbitalis, -75.37534698975196,-9.583078093758537,-0.05640578340341773
ctx-lh-parstriangularis, -174.1353380197284,-61.686530414060954,-0.008462352937742283
ctx-lh-pericalcarine, -0.8870541418248041,-7.974939617612296,0.007617278193155077
ctx-lh-postcentral, -14.454193052600328,-70.7546511034615,0.027249122631325264
ctx-lh-posteriorcingulate, -66.43516535525623,-34.324498782384524,0.007585013513297282
ctx-lh-precentral, -236.55079537056966,-110.27729210950218,0.0030176273522402194
ctx-lh-precuneus, -325.39251946779365,-133.9738548702893,0.0095980326741734
ctx-lh-rostralanteriorcingulate, -134.11240072121248,-27.2533992903403,-0.0558301781225965
ctx-lh-rostralmiddlefrontal, -498.6965511152549,-217.21763294906344,0.0036062559654484174
ctx-lh-superiorfrontal, -493.79283403134167,-192.12401782131937,-0.0008188290039058628
ctx-lh-superiorparietal, -181.12269311297555,-133.93157575247199,0.009623935527294363
ctx-lh-superiortemporal, -239.12413709307958,-41.30425386971626,-0.023888341118517568
ctx-lh-supramarginal, -35.25284285920955,-22.333971751535724,-0.0017253319412853286
ctx-lh-frontalpole, -24.945923066459383,-6.598441579772175,-0.023876276984418746
ctx-lh-temporalpole, -64.43463195029405,-2.8178856647623247,-0.08527431436530641
ctx-lh-transversetemporal, -2.0147005901382298,-6.523563231671485,0.015194146030224877
ctx-lh-insula, -59.12722407821394,-7.314344250894353,-0.003601566521397844
ctx-rh-bankssts, -39.2175112208665,-10.198514380516146,-0.0024715209262538055
ctx-rh-caudalanteriorcingulate, -143.19800384197018,-46.70012954408524,0.019456857878363588
ctx-rh-caudalmiddlefrontal, -189.97612399379832,-69.51427239773376,-0.011997633022817911
ctx-rh-cuneus, 16.14946442734219,-30.781679438169096,0.020630886052947023
ctx-rh-entorhinal, -1.7336742762368087,-4.499934640573565,0.014809969420597115
ctx-rh-fusiform, -269.0758353605251,-72.57272012385215,-0.013780338214760319
ctx-rh-inferiorparietal, -138.37712649377804,-75.06619980495623,-0.004331226346446073
ctx-rh-inferiortemporal, -64.48190998573116,-51.6124804354311,0.0009614826767438289
ctx-rh-isthmuscingulate, -53.68657656347302,-33.14801168830968,0.029192589726042405
ctx-rh-lateraloccipital, -362.9793802367118,-184.28570327540692,0.008079731547227284
ctx-rh-lateralorbitofrontal, -61.060300086453424,-45.949215862690174,-0.0076105290450449335
ctx-rh-lingual, -241.46709248051917,-93.56388665179954,-0.00034975384841477855
ctx-rh-medialorbitofrontal, -116.90737088912051,-40.007306555904805,-0.025024937256154123
ctx-rh-middletemporal, -148.8908558904968,-20.360242605738716,-0.021055198073435807
ctx-rh-parahippocampal, -7.712123678317697,-9.319926303720932,0.007033274788969521
ctx-rh-paracentral, 85.23202205492278,0.3401414779000906,0.023373783028721257
ctx-rh-parsopercularis, -254.05828678695752,-83.84174097589923,-0.004028689863755906
ctx-rh-parsorbitalis, -78.34470885010049,-27.419053338883227,-0.021252638929052
ctx-rh-parstriangularis, -181.75413704492095,-72.37673503443476,0.0001290349118652713
ctx-rh-pericalcarine, -7.333699082758536,-5.525149924912734,0.002768533624404003
ctx-rh-postcentral, -64.47161628710634,-51.753868172120306,0.008151737764941418
ctx-rh-posteriorcingulate, -58.655096402310654,-42.59674021633327,0.01905813234711784
ctx-rh-precentral, -167.24628362960843,-67.56189661148446,-0.004170444467449466
ctx-rh-precuneus, -391.8904637988949,-130.32752426444364,-0.0005511479805785465
ctx-rh-rostralanteriorcingulate, -71.68950271335936,-22.620280221645558,-0.012060727157988149
ctx-rh-rostralmiddlefrontal, -495.11955343921426,-210.36248336217062,-0.002508787055395878
ctx-rh-superiorfrontal, -488.16943208504057,-197.4908408041528,0.0016503895216002202
ctx-rh-superiorparietal, -154.4579966463596,-78.60569902191858,0.0030201359103048677
ctx-rh-superiortemporal, -270.55009582422355,-91.99803127581701,-0.0048621974470108575
ctx-rh-supramarginal, -230.29633264300315,-103.74189837153867,-0.00765577101721124
ctx-rh-frontalpole, -60.8586644619238,-12.086888002647786,-0.06344928515079916
ctx-rh-temporalpole, -1.4523240423831838,2.7382709317915364,-0.0455704755315188
ctx-rh-transversetemporal, -25.9995619741485,-9.596579838929095,0.007493577472141847
ctx-rh-insula, -134.19979907464307,-37.77016217584239,-0.006910403998700741
