# File generated on 2024-02-04 11:33:09
# Number of participants: 260
# Number of patients (adhd): 130
# Number of controls: 130
# 1 datasets were included:
# - HBN
# P-value.
region,volume,surface area,thickness
Left-Thalamus-Proper, nan,nan,nan
Left-Caudate, 0.7353892863478004,nan,nan
Left-Putamen, 0.6039049414896678,nan,nan
Left-Pallidum, 0.46147991968314483,nan,nan
Left-Hippocampus, 0.6241859605598936,nan,nan
Left-Amygdala, 0.2078283002158061,nan,nan
Left-Accumbens-area, 0.14032844082742538,nan,nan
Right-Thalamus-Proper, nan,nan,nan
Right-Caudate, 0.6757457533215653,nan,nan
Right-Putamen, 0.8542520501391487,nan,nan
Right-Pallidum, 0.22084089606329518,nan,nan
Right-Hippocampus, 0.18258400710399286,nan,nan
Right-Amygdala, 0.6876999933235468,nan,nan
Right-Accumbens-area, 0.6779572397841029,nan,nan
ctx-lh-bankssts, 0.8701533016369641,0.6823878028146517,0.31940439415995653
ctx-lh-caudalanteriorcingulate, 0.26626422298836877,0.08203838020455063,0.07225926929182737
ctx-lh-caudalmiddlefrontal, 0.15731765625328348,0.06834138554156453,0.8505157239329777
ctx-lh-cuneus, 0.610212900682259,0.4029752863441002,0.14966009992697557
ctx-lh-entorhinal, 0.6109581708304761,0.8520337436111151,0.7632244329310479
ctx-lh-fusiform, 0.2195049634434845,0.16131762526741486,0.807838852522278
ctx-lh-inferiorparietal, 0.3192653011292086,0.16772846629925964,0.9650110568367576
ctx-lh-inferiortemporal, 0.15156946938475127,0.2701468092265635,0.06428176580119928
ctx-lh-isthmuscingulate, 0.8766464648519594,0.5631672518621208,0.47022379058055885
ctx-lh-lateraloccipital, 0.21512719909660355,0.12105316521621544,0.48400296721503766
ctx-lh-lateralorbitofrontal, 0.2368848794604924,0.5404843943367237,0.030432861436692594
ctx-lh-lingual, 0.5908998030017268,0.5606657683187013,0.9610623206767239
ctx-lh-medialorbitofrontal, 0.2577085058444934,0.18123071421903245,0.2902547678439392
ctx-lh-middletemporal, 0.8331303609522513,0.6069053589159078,0.9054944084552814
ctx-lh-parahippocampal, 0.5892897521717181,0.7693366431516591,0.6846051429003464
ctx-lh-paracentral, 0.2393503510691568,0.046180638263121195,0.19052144913401228
ctx-lh-parsopercularis, 0.03763003794287773,0.02420273322866451,0.27205254623552466
ctx-lh-parsorbitalis, 0.1393098141122543,0.41602153586144586,0.02085164262906814
ctx-lh-parstriangularis, 0.034570655168911155,0.01785144741203334,0.6322588734393828
ctx-lh-pericalcarine, 0.9884984751792574,0.819180730840619,0.6771355752795674
ctx-lh-postcentral, 0.9291940097760776,0.2687024871361537,0.09490553304129921
ctx-lh-posteriorcingulate, 0.3052743507133272,0.13725890298345048,0.6663903879204913
ctx-lh-precentral, 0.24040584648203966,0.10778472866360234,0.8656205260490639
ctx-lh-precuneus, 0.05476371458470049,0.037729141768758925,0.4909540396941866
ctx-lh-rostralanteriorcingulate, 0.05638526225873709,0.17879291074114245,0.03848922229866101
ctx-lh-rostralmiddlefrontal, 0.11378711456705372,0.04501508674894873,0.8157982583248595
ctx-lh-superiorfrontal, 0.1953496740377892,0.0962456279251027,0.9610982914360707
ctx-lh-superiorparietal, 0.47221923004563093,0.16106877827795424,0.511154095010464
ctx-lh-superiortemporal, 0.2612434970197012,0.48791930843986686,0.18314448856915855
ctx-lh-supramarginal, 0.883447082855054,0.7896162485015396,0.9166421033086753
ctx-lh-frontalpole, 0.37477325862496647,0.1691037273539181,0.46330034044427815
ctx-lh-temporalpole, 0.2518722835395404,0.7294664470909384,0.046626477881531236
ctx-lh-transversetemporal, 0.9457319025382244,0.48619817262814635,0.5370598923769323
ctx-lh-insula, 0.5716536427729724,0.8182080301330952,0.8621112742842573
ctx-rh-bankssts, 0.4120653008991163,0.5580972258279662,0.9034895683304649
ctx-rh-caudalanteriorcingulate, 0.013798766321028855,0.011667628169838531,0.4404169673320014
ctx-rh-caudalmiddlefrontal, 0.22430755759732227,0.15087756629977114,0.5222300976733838
ctx-rh-cuneus, 0.836613245811528,0.3324851938379605,0.23463016231346492
ctx-rh-entorhinal, 0.9735059719033277,0.6857122857045124,0.7331411904371616
ctx-rh-fusiform, 0.09587430410711928,0.12549206372872548,0.39806048391795856
ctx-rh-inferiorparietal, 0.6361960096023355,0.44075568926243935,0.7857952715896879
ctx-rh-inferiortemporal, 0.7530619890719275,0.334376339742779,0.9585879341487831
ctx-rh-isthmuscingulate, 0.32428700152732814,0.07553255714338843,0.13187524101653372
ctx-rh-lateraloccipital, 0.11302758332507011,0.03566000489532041,0.5986408809337626
ctx-rh-lateralorbitofrontal, 0.6087713178223346,0.2846275623577888,0.6572963504500924
ctx-rh-lingual, 0.0997029202093929,0.12734051687252904,0.9812877012833121
ctx-rh-medialorbitofrontal, 0.18767330981466077,0.149161615178826,0.1288225212852935
ctx-rh-middletemporal, 0.47850442043177754,0.6968914706969642,0.29206017552744107
ctx-rh-parahippocampal, 0.834299362011161,0.39432288413341454,0.8081894725154342
ctx-rh-paracentral, 0.2300348012762314,0.9890962153925872,0.19536751795055868
ctx-rh-parsopercularis, 0.0028393594423346577,0.0013277829747550545,0.7959792560887479
ctx-rh-parsorbitalis, 0.17914369988860426,0.058422810317618375,0.353512929732233
ctx-rh-parstriangularis, 0.07445459044065311,0.025985464022648536,0.9935928464137507
ctx-rh-pericalcarine, 0.9104892169787595,0.8852265348021927,0.8907264848328855
ctx-rh-postcentral, 0.7047586863201025,0.4495366734457017,0.6075834291757103
ctx-rh-posteriorcingulate, 0.3404532155002651,0.05008024343822893,0.25511272146371206
ctx-rh-precentral, 0.42543396655658483,0.345170399947742,0.8285481588307508
ctx-rh-precuneus, 0.026493522458078466,0.04735369520645552,0.969102842239876
ctx-rh-rostralanteriorcingulate, 0.1978026486415756,0.14503516616281337,0.6622785217543767
ctx-rh-rostralmiddlefrontal, 0.12968218950894397,0.06324828249756206,0.8671643945783929
