# File generated on 2024-02-04 08:54:47
# Number of participants: 390
# Number of patients (adhd): 195
# Number of controls: 195
# 3 datasets were included:
# - CNP
# - HBN
# - NKI-Enhanced-all_parts
# P-value.
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.08467012115601188,0.055393927617598204,0.14997170500241544,0.14648058199799197,0.0923059691560276,0.5578578783817498,0.06455925272902907,0.013914205121772836,0.016995532794920908,0.08630267664765964,0.21876384333985327,0.3640499812720538,0.7966771193568626,0.9222143481962785,0.5803812282982476,0.3777790402439851,0.7228461927178149,0.08727844946032152,0.018859572088316692,0.06468763590043054,0.3376100094106894,0.3863043561377064,0.40401170200057535,0.02282417390049354,0.5413948690924912,0.6909401388189325,0.11359712056697295,0.10308062573148961,0.02793453805527279,0.14677490046953445,0.015532687660970188,0.004155879599512979,0.3790149470926617,0.04673677198340533,0.6346835187328175,0.0547945688502608,0.09777732585068111,0.6481538200443686,0.011876237661913877,0.006107391665156539,0.044903402971827565,0.09176140495842956,0.7760467061881395,0.1173043140326387,0.5079244769411451,0.14796745084128962,0.2714370265709843,nan,0.19322716231394263,0.20673075669967364,0.6737844242631408,0.8336595495478524,0.8050349845545813,0.5946063508363909,0.5466634086509639,0.2739508762643521,0.051256738066769676,0.8083379469332233,0.16647726915288422,0.5023625254329808,0.7872969327242372,0.9418851774652666,0.9094034400947099,0.5571471597101441,0.6032558221369804,0.22835669952603882,0.7890644213787745,0.33755120111505965,0.49519052501933536,0.29545904467928646,0.4373364511390164,nan,0.06956921743300538,0.016065795431059154,0.18134418287120055,0.13661709427519791,nan,0.7876788067503774,0.7572881038441565,0.5248295887841381,0.7267767107913929
Left-Caudate, nan,nan,0.07906954945292204,0.7841548888391766,0.6177616479171342,0.034635756004844184,0.12061164610782128,0.16519985623392278,0.11933409823660296,0.026132276368030557,0.13370836912558204,0.20973431189366756,0.7123500969439034,0.1310887877789687,nan,0.517265004272233,0.4890360467724918,0.6473257704811273,0.11280211570810188,0.8393664887971454,0.3401998822887382,0.7598790357637399,0.8281591581534739,0.35013332861809876,0.9985458676731054,0.021998003042718754,0.12481127011718449,0.942700273906962,nan,0.656730918726911,0.316722441154034,0.9044679042521296,0.025970613740204984,0.6845265166020524,0.15460298011965193,0.786045704347582,0.4880598350946864,0.3898354500666372,0.8186649766685048,0.16327706919060975,0.18512647341238023,0.15694320331608405,0.9126869967403921,0.5629283076126844,0.49982705778446035,0.019153729577845342,nan,0.32103467536362174,nan,0.43210143454897,0.5221443988919617,nan,nan,0.3990169092276725,0.8063883742787866,0.5770047112653642,0.06341476904364796,nan,0.3223850315255373,nan,0.2894126380316402,0.10786540885504599,nan,0.5810788865517111,0.47515665836753673,0.17490021715887516,0.7432202825893955,nan,0.5338421105202773,0.09220330316583905,0.061854980575471834,0.3698906386569847,0.05469925014823135,0.9027282401994496,0.0028290987283271134,0.4567496157421209,0.8088154939476715,0.1602110676149987,0.7248606849201664,0.2004117550024312,nan,0.5201650052286289
Left-Putamen, nan,nan,nan,0.030848815855402025,0.11822211931652675,0.8583865918731581,0.16695310573909183,0.03466592295503973,0.002580211904380291,0.026738282435541386,0.0969349798946637,0.1905080504947263,0.6958310190001776,0.036954679457934236,0.11941431242755003,0.8629589737508092,0.29066342246791765,0.6993193569676799,0.5782565494195309,0.6798543229310563,0.030888847183302696,0.29945702650147055,0.5476510227515083,0.1552735744874123,0.06846544834523502,0.7951825987440887,0.049217956673231186,0.15990607162864773,0.2791418965120248,0.2563963264436097,0.0072933879471707075,0.10081967848778424,0.0005792214796651093,0.6072470873270885,0.13566534096408292,0.4738248771748622,0.3279172041635643,0.8497180076417178,0.5948643311996951,0.07270890239012434,0.015099499626970563,0.1370475314505122,0.11613160766508689,0.18323393025458634,0.35935838956977506,0.10717110644526037,0.3812591800202748,0.07181850468452249,nan,0.7658301845026365,0.057083836538717826,0.3919023007733484,nan,0.33718463529722054,0.6363254984830404,0.21519833634071603,0.756679698589283,0.37426777475422024,0.9210206459825389,0.7709790512648493,0.12116787872109035,0.3885473667823004,nan,0.8117670747097337,0.6786922263259079,0.9619912667507263,0.1482393939129397,0.2374310151204882,0.8233994669101641,0.47419843475171963,0.639739788707327,0.3929200598770628,nan,0.27197190997685267,0.0002669134603105402,0.06848178358872208,0.44351911559970303,nan,0.32198538863035286,0.32606541739651773,0.6129183856283419,0.4173055948949881
Left-Pallidum, nan,nan,nan,nan,0.6997224186700832,0.8086821118198073,0.6045832006264008,0.03510116967951778,0.009062832161874316,0.16670299993976656,0.09803223901923047,0.1432268047841422,0.4728399641780646,0.034923630226200306,0.07331542356112945,0.7796967124081586,0.1663725254991466,0.40179562945807856,0.8398331153704826,0.790249996611165,0.10832182746242683,0.5702151474969575,0.2980368732670926,0.11909332740185821,0.03767674063305392,0.7859008174103674,0.04532148628145882,0.39829958304460367,0.3743293446341509,0.08329914550522434,0.1847488836883723,0.0700853704702379,0.004457256248958148,0.15268039938969047,0.12759559617743305,0.8408072799733254,0.22032506035383548,0.38653557650794446,0.7271261532660467,0.05059493641610018,0.07435398240298484,0.10022037819862187,0.9117486814105706,0.6746958224878241,0.21622309975632967,0.24436359052560097,0.9111463633300628,0.8054500214340582,nan,0.2897433189544228,0.2548514403827959,0.6940033416984025,0.22499555135767493,0.2751014756780025,0.48334678084801463,0.09808148139058315,0.3210944000640097,0.8408021396830103,0.30641174549146744,0.3811390028300412,0.012222588155202805,0.8563106000203888,nan,0.23679165457512283,0.44741879582340516,0.5345646509814351,0.9554362228718516,0.2862256056374015,0.35140140225429817,0.9375535228181255,0.8888552719530138,0.1984022600087593,nan,0.21757739070931764,0.03320050563117643,0.023653394774359234,0.2087543271256776,nan,nan,0.4707810278801037,0.6557524763444342,0.39317845697342046
Left-Hippocampus, nan,nan,nan,nan,nan,0.5343537940098577,0.5486736100130907,0.5006040893318675,0.6784926267024011,0.7886093867096649,0.4086801739985757,0.9632416002802058,0.6006497336022041,nan,nan,0.9835261647227043,nan,0.4585904141394984,0.2298402196962417,0.0341225940308099,0.4172826004965804,0.4449785189918096,0.7989762399396865,0.5264361469820078,0.9543472867434681,0.19905024464798585,0.6525940271934259,0.16263478620287874,0.6268249120284921,nan,0.9083963628422862,0.939297683728392,0.7211798751630426,0.20339258370188795,0.36590934279955944,0.34053379580128706,0.25566412966667773,0.8891399167611413,0.28374712169309224,0.3617328111144763,0.5812155677323194,0.568616436421832,0.00521380133742818,nan,0.5939574376311371,0.5532364764755733,0.07155642837822525,0.059168636739955864,nan,nan,nan,0.43982638708332034,0.7045685214214303,0.8223535975084612,nan,0.886566237892296,0.15822310217587687,0.06675454734270747,0.6627038655181245,0.04875731718674059,0.6752334943065109,nan,0.8748972894818953,nan,nan,0.009969133907935884,0.7600675416754062,0.5917695266316372,nan,0.3230996718231407,nan,0.8461213939522656,nan,0.3371709824302208,0.07260320873589525,0.3496737443185398,0.9153550404167972,nan,nan,nan,nan,0.12394933045520051
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.06075767729216415,0.7730397123584236,0.6087633847478855,0.8841487728242352,0.8670265558338233,nan,nan,nan,nan,nan,nan,0.25621302534248697,0.27866648472800754,0.8381908525752839,0.7409453968656047,0.2767438560004452,0.7388997701370625,0.40754926910510003,0.006068969833027719,0.7221575218083867,0.36026323308557207,0.6752292057190429,0.00011946953252951342,nan,nan,0.286145580581419,0.8306469991541092,0.11887763191822948,0.1584477355846641,nan,0.7983727455233869,0.1143071416263895,0.026732407229869446,0.001239880449838814,0.08654699478050415,0.8194513268457153,0.6592346935658793,0.8384791245149099,0.20442537094502977,0.49126578307389845,0.6682990767299801,0.3117581338036547,nan,nan,nan,nan,nan,nan,nan,nan,0.2507921881252298,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7934389868800196,nan,nan,nan,0.39311774379225506,nan,nan,nan,nan,nan,nan
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.3604918646407179,0.14215405155224706,0.5628750483526723,0.22379510914664044,nan,nan,0.3404646887351148,nan,0.442584188272125,nan,0.6055547274257129,0.10788584030974456,0.09373495551426768,0.7926911384573199,0.29659161768001485,0.0919547337654691,0.31317366103480604,0.8296076007363753,0.7860863471188895,0.18342963738969517,0.7049693721847232,nan,nan,nan,0.024274383060158843,nan,0.363012185104569,0.246914367479346,0.6280565766154735,nan,0.03504020933588928,0.5324247058985133,0.21598137863757047,0.9358244457127636,0.34482442059741436,0.7453783484112457,nan,0.9749891597954781,0.14328867361385886,nan,0.5016144877258931,nan,0.25755937958791725,nan,nan,nan,nan,nan,nan,nan,nan,0.4850115257847951,nan,0.4639638991223535,nan,nan,nan,nan,nan,nan,nan,nan,0.9234227424993712,nan,nan,0.17545248340125347,0.9548752645915619,0.8634372568458892,nan,nan,nan,0.18485533952993813,0.9476448332862024,nan,0.6471070058337186
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.06233973126519576,0.01715083230233708,0.15722489577205692,0.010517108262072921,0.668854368214842,0.5676757558807569,nan,0.9321109438901416,0.8991901846805435,0.38023927752499453,0.0006738336399325235,0.21413020824290646,0.10527925393937604,0.6915886918258001,0.8693818264077872,0.04150275997662099,0.8306973553358654,0.6347064205716123,0.7457525200170284,0.7232786452271446,0.4410108920462117,0.015529202387629832,0.12820652859598508,0.9408701126924743,0.24446974550865186,0.2326747091940963,0.21034254026941482,0.4771602840817494,0.19146292738994095,0.19966184423080238,0.3139821067668684,0.32471724346103226,0.10195132080517634,0.08048322255988714,0.5176351204496359,nan,0.25917816164121527,0.0470691543792011,0.565947259491647,0.1518804754290344,0.5348724331623078,0.07789142668900129,0.006223091838815616,0.7182101947517692,0.234889811231188,0.08604557020147947,0.10274568074707147,0.9540499189198738,0.9094033668965769,0.020209024679659904,0.04422030448463866,0.06324016165698107,0.016244070290775924,0.30680480820988437,0.11782977894667358,0.05351513788314159,0.0682748588234664,0.32948485098889446,0.020562502257613486,0.47141722199019687,0.02185737338563825,0.10861220225488706,0.22789621031467772,0.08407689629079015,0.24807681847420326,0.017612194765860924,0.11112271452799201,0.01841808032909727,0.5934040111647533,0.16256884955524137,0.1352506659790819,0.7470127934516848,0.35841213041907893,0.1484630879368856
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.10851837377460488,0.6053092104557879,0.16687920797471717,0.1764770833549351,0.6152878472629189,nan,0.3955315730894471,0.4826667045319988,nan,nan,0.6251591879964395,0.7158512627053797,0.9953525865954062,0.8618327381184285,0.7256989724984833,0.1312224711915225,nan,0.052441135102162896,0.6419406071903602,nan,0.07546465564720103,0.24253238165037366,0.8620332090380083,0.3589844150858539,nan,0.6090564998907281,0.06703546832195549,0.9749688461542799,0.5868223775113803,0.07684808723940112,0.18292460378872175,0.009098247269309937,0.3873032265022125,0.40742344848668943,nan,0.8025943327502012,0.54478808778058,nan,0.44357914151566147,nan,0.028136966064697348,0.09895784230853176,0.16592297426851585,0.4079737961012825,0.9063764756349411,0.9334636000509673,0.7820214961175074,0.34529402782546015,0.7780048402764215,0.25643359552868655,0.885661505872586,0.22135291951341296,0.3072927554656169,0.933591726160109,0.23247144153623447,0.10361481243726933,0.37528084026970454,0.03329868463809293,0.060007867572031096,0.2270015358849333,0.052386435485150006,0.22800992383115815,0.07371639587660604,0.8729856215719632,0.028842826449975666,0.004428206807450964,0.031612082271422114,0.7657657546578206,0.7440324465764812,0.5842953250477426,0.21703203656496067,nan,0.7223037168457439
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.07038603428846986,0.15051490468826628,0.6993968575918424,0.3148222702251619,nan,0.10220902139739607,0.12268399307396725,0.00028802837337814325,nan,0.7998896876457238,0.4117324982038323,0.9593818262658435,0.9148385349209448,0.13103183760201836,0.0012282137888867028,0.33919015858338963,0.03671864950231792,0.36878001955537376,nan,0.3215550122317017,0.32200463273771174,0.9551728649345204,0.1472541668471982,0.5165717301610224,0.26429113413276684,0.8920954379201437,0.37739657320775943,0.18139212688966216,0.04642637745885212,0.03924136321317767,0.11394245734716654,0.05122098615031396,0.4990678361986396,nan,0.3854652675808684,0.730666602690221,0.8019037461126084,0.002815241265207353,0.43022728502783925,0.4987497234199044,0.023548434816678312,0.6522037972718715,0.4855467676658114,0.7081111163134497,0.07325081944981783,0.4202595785332647,0.7325084992316515,0.0022464014361613487,0.29195982103299817,0.30004337693517075,0.4004035663424861,0.48632807079670115,0.9765197838623365,0.6671828347125432,0.03113734912851671,0.03941027227884154,0.010664021627517686,0.21480448551816445,0.010923894078099714,0.33236065981745455,0.06736670160678748,0.05007123737904989,0.49976338614924865,0.02911336434858885,0.02225213680901028,0.015759719747814694,0.48995353701093336,0.12711274044829243,0.5545839196337335,0.23015984873536166,0.3045885376243651,0.6264380302829022
