# File generated on 2024-02-04 08:54:48
# Number of participants: 66
# Number of patients (adhd): 33
# Number of controls: 33
# 1 datasets were included:
# - CNP
# P-value.
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.6971516011748542,0.6970208576399961,0.08220822706018432,0.7379610104965468,0.2227917700550006,0.2112334150517739,0.80493327781917,0.7610423228154277,0.7904497015426227,0.6150459373216854,0.7447016569839471,0.6270791085550518,nan,nan,nan,0.35896619344088176,0.6580938033793029,0.852041606892329,0.00813127998790936,0.8152568029225651,0.39285084059043884,0.5810151162505874,0.5862826645845332,0.09844384308734264,0.5606596574382607,0.11686385893800218,0.5090705882005837,0.9653604536172649,0.4804120833299337,0.5442559497371625,0.025117718191551227,0.02474396496676319,0.3231046241733476,0.47219490025805955,nan,0.31691394389746114,0.7821174480628201,0.8752320183773422,0.13084760430270823,0.026881804574924468,0.9939291332765224,0.9977201366870827,0.6635413478683159,0.16964023527488883,0.18766913407040337,nan,0.9672055454433106,nan,nan,nan,0.27186199769631403,nan,nan,nan,nan,0.2193210992417786,0.196812829615091,0.8810618734611022,0.8831224494197284,0.7142682409614158,nan,nan,0.42117592507220536,0.6347187574815458,nan,0.2571110629703937,0.4371606041082857,0.9465244313301353,0.8146155900330722,0.6794855554235983,0.5654811913742526,nan,0.23360271568966098,0.1998758885183227,0.5938537326763876,nan,nan,nan,nan,nan,0.5534785652021302
Left-Caudate, nan,nan,0.7924026550268005,0.36041891746579624,0.04173050387570978,0.004350542436876281,0.5145671572275798,0.46637071055447044,0.19875377004870712,0.8907696031225759,0.6227251980589439,0.9364528448425813,nan,0.46182909832670116,nan,0.6874700331242307,nan,nan,0.5289611111238607,0.01454533825452107,0.03630067808009923,0.2278893594466975,nan,0.5366716361178971,0.8362178427220045,0.9052706144570665,0.6946222948227923,nan,nan,0.765266980562364,nan,0.2117378041012132,0.034286493362919314,nan,0.6922912145865632,nan,0.5210251421813146,0.43490961269091133,0.4102919104310361,0.07532096029207379,0.07812403052967101,0.7953834110422245,nan,nan,0.42075056576462444,0.03587625586353096,nan,0.2717310563304421,nan,0.6508855077243236,nan,nan,nan,nan,nan,nan,nan,nan,0.7941627336238178,nan,0.7315599214032049,nan,nan,0.8256449616695187,0.8726960604800029,nan,0.7027502544699412,nan,nan,nan,0.020931490509217405,0.6978271613927389,0.13123002565039807,0.8833642934103692,0.03142033000259952,0.899277034270687,nan,nan,0.4119766262755167,nan,nan,nan
Left-Putamen, nan,nan,nan,0.24990946960901372,0.48449366943417016,0.22077379072834866,0.8686980013964927,0.1513417926359302,0.18463851024517935,0.9186429026712168,0.8106737565649641,0.9170994823399654,nan,nan,0.0689024789420457,nan,0.1095643016627952,0.12404203701316802,0.6633225743565374,0.7413762222301874,0.056567793117090384,0.10020282229468166,0.27221920576345887,0.5678484699120381,0.15981187583254405,0.6857190912830939,0.5972341850558336,0.09612376852119715,0.2802798586375762,0.07052867121240387,0.14560101158057795,0.34440431199905674,0.014059947103558897,0.7974308338840456,0.37869391932256313,nan,0.0618208547512856,0.7280239921170635,0.5949880393270695,0.5499704395098118,0.05893198732584917,0.2109184586517164,0.09374854000263957,0.002948316293534104,0.37940219598908775,0.712683284577664,0.2768027408615925,0.2747864108357659,nan,nan,nan,nan,nan,nan,nan,nan,0.24249276416281748,nan,0.3871022865796473,nan,nan,nan,nan,0.4780840760187832,0.7862375250152502,nan,0.2011556951405586,nan,nan,nan,0.913093870289331,0.7048343942277786,nan,0.8974221237444886,0.009960131512412014,0.7240866167706999,nan,nan,nan,nan,nan,0.03181712463274213
Left-Pallidum, nan,nan,nan,nan,0.737796228307517,0.25387608438904635,0.2545031099273606,0.5234478734567287,0.3103034325913511,0.35002995289253613,0.4929751230859196,nan,nan,nan,0.07723710992138164,nan,0.3235844002676336,0.1284218011284265,0.874813552384571,0.890362136716209,0.07301506526939788,0.4149326095332304,0.5831189771420451,0.3303974649043496,0.09289179345098791,0.9751905905457385,0.7758871624699919,0.17906251581984872,nan,0.1669775348156534,0.5446153153357216,0.20361787984937435,0.06575998398730919,0.3695466771206706,0.6081899037881217,nan,0.1725525765595815,0.33656191536986824,0.5242388212248099,0.33771177703993516,0.13949261481441844,0.4059823354675528,0.7606258068626983,0.23022092341161027,0.10194089452389836,0.24604935724842605,0.5558144879787497,0.3610212352208604,nan,nan,nan,nan,nan,nan,nan,nan,0.12461457471692387,nan,nan,nan,nan,nan,nan,0.9515333037328757,0.9120010040032029,nan,0.4402963162803829,nan,nan,nan,0.6089927686822029,0.5913833583966484,nan,0.45916006412980304,0.13722749860629568,0.7688804402589713,nan,nan,nan,nan,nan,nan
Left-Hippocampus, nan,nan,nan,nan,nan,0.40303323182597084,0.2865970949061696,0.4066894079215979,0.6660074408917365,0.7434116711148633,nan,0.11070365592580929,nan,nan,nan,nan,nan,0.5120100689497423,0.5607843210835863,0.5635360064935898,0.09808779085325486,0.028401330161457343,0.6272768130828814,0.7447157363683539,0.358465726655825,0.34422217253872744,0.8042728491550661,0.9234670254104287,0.08198602851398415,nan,nan,0.8568887833856732,0.9774878124316645,0.6968491447034486,nan,nan,nan,0.9959199458785577,nan,0.058155894073111315,0.11008047109802357,0.3334026271346393,0.00013080398936594643,nan,0.7068522432768025,0.46550369040043893,nan,0.8390069996245989,nan,nan,nan,0.3637646265938066,nan,nan,nan,nan,0.5898336720968187,nan,nan,0.4151146195012754,nan,nan,nan,nan,nan,nan,nan,0.8425027642908387,nan,nan,nan,0.6777769653675465,nan,0.45879880357621994,nan,0.3073022613755902,nan,nan,nan,nan,nan,nan
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.2363705683159183,0.8567470501738821,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8905242825357438,0.8542173909692985,0.5496472946321787,0.30187792260262025,nan,0.1819595475132478,0.039421427235377,0.4844429010795215,0.9866838715247623,0.5487935817324274,0.4657938014162273,nan,nan,nan,nan,0.09054977618208729,0.924446217654638,nan,nan,0.7164396851813835,nan,0.003998654125843816,0.10914314453437,0.5932810466126623,0.471924279789808,nan,nan,0.299041319864248,nan,0.040561081844187094,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,nan,0.1009459628406859,nan,nan,nan,nan,0.1885551556776701,nan,0.30774742822529344,nan,nan,nan,0.3952817172636546,0.8026514191705039,0.7560609327183538,nan,0.8409532244359705,0.5438160907314082,nan,0.38116741507549223,0.10600629691588756,nan,nan,nan,nan,nan,nan,nan,0.8047489313262535,nan,nan,0.002243016968147615,0.8766675022896283,0.8960273280217335,nan,nan,nan,0.7196699389869119,0.20054876145927317,nan,0.8918227836873298,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8769853570090476,nan,0.9463692881145827,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5594846974439261,nan,0.8359863360197993,nan,nan,nan,0.5562724092558572,nan,nan,nan
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.010199441934063136,0.003367148514911602,0.14980593702239203,0.21206515168578932,0.5307057682895205,0.5185784435945062,nan,nan,nan,0.3601755679055909,nan,nan,0.419540447491614,nan,0.8251444465943374,0.7182676755025015,0.8461324439189226,0.11895879105552278,nan,nan,nan,0.17403110262297275,0.46844607121760595,nan,0.6785082122150925,0.5766361581221233,0.41108844914795406,0.28502993782084135,0.34265752906028835,0.37258373551060187,nan,0.6734326477392617,0.19871183091205583,0.2180930718474057,nan,nan,nan,nan,nan,0.5328810901558958,nan,nan,0.08668093864884523,0.9498139698618078,0.2776043228106447,0.3101718794119204,0.04662985213429041,0.2530220513040359,0.493979433539931,0.25212871724989516,0.6396426264803126,0.47932286222081444,0.47145825746088776,0.4985487149751555,0.35166302248550874,0.8567636656395947,0.7200097527216426,0.6463544471113456,0.26426264096472685,0.9777923922472733,0.22023545072336664,0.6341035059038056,0.8851442742435571,0.731812613206107,nan,0.24045919693907344,0.08178051767805439,0.29695295272994654,0.04775389180525335,nan,0.3040317799707972,0.5952015887965106,nan,0.6088701347325407
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.23288690759005579,0.4205420757725926,0.1358230688172116,0.15982335840121864,0.8876416968450238,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6964914370405288,nan,0.8638251002788355,nan,nan,0.24536067508815676,0.3937551691175859,0.710926550754795,0.741407176908957,nan,0.3600470138022014,nan,0.12896797966214085,0.2533038884770531,0.17220920459832278,0.4345047868465881,0.13418448725907167,0.6375711316424393,nan,nan,0.8753658214292684,nan,nan,0.3280824967071413,nan,0.8650614819906672,nan,nan,nan,0.893247289552044,nan,0.8346254734740242,nan,nan,0.6584696121290283,nan,0.2953477431609169,nan,nan,0.9045454568522036,0.9294816213769218,0.850111922168959,0.5464393217405216,nan,0.29195590274381267,nan,0.8087680072086452,0.5911284023496588,0.7685150983536629,0.1416818289827451,0.11818317908672332,0.26383077276483974,nan,nan,0.6351283094932374,0.4901144154778233,nan,0.3108002211765918
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8430408126342148,0.04037964054502683,0.13744207331939198,0.34523582470277947,nan,nan,nan,0.026248375457145322,nan,nan,0.352624144585774,nan,0.7871075522634647,0.2574499100999819,0.8099169262128745,0.9652712999996144,nan,nan,nan,0.7591053103028824,0.5887837554592896,nan,nan,nan,nan,nan,0.587738228538162,0.7042126754896016,nan,0.4130741413052944,0.0842202039066198,0.1492874269027709,nan,nan,nan,nan,nan,0.6990136937254506,0.693419917942067,nan,0.012990333671206748,0.3899049288834543,0.7452112809290551,0.8889636404035904,0.021332499277706408,0.7775435142237233,0.4354861756468935,0.04933338921188,0.8898867747792123,0.14422363561160598,0.5542973313658968,0.3219203667626088,0.2033648057974488,0.07883966614228236,0.1915885766511992,0.17327398893044513,0.0009477373985760642,0.9863877003411713,0.19119581232964009,nan,0.37492207125391286,0.40123148802303277,0.28245656678193115,0.1252817145564698,0.016480092345596695,0.0654862120543556,0.1732317881499265,0.1655284260431072,0.32551753601001143,0.15752569411387743,0.1989025323532682,0.5087608825865861
