# File generated on 2024-02-06 23:10:11
# Number of participants: 354
# Number of patients (alzheimer): 177
# Number of controls: 177
# 2 datasets were included:
# - ADNI_FMRI
# - OASIS3
# Effect size betas (regression coefficient of the linear model including: dx, age, sex, intercept).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.004183006506653013,-0.05666937250251683,-0.06352573929115557,0.015122892067460382,-0.001987673966160427,0.007494769764622854,-0.02475995003817085,-0.00461824444629879,-0.038948069958639746,-0.032220377798214676,0.005135703345869063,0.022255395873397366,0.011804274456910574,0.019529108659900523,0.00998188514762459,0.01967478921293017,0.020223881541211953,-0.018265257323450808,0.0033112402125638853,0.009826164113146824,0.021798888064077558,0.017133262225081682,-0.0022887837092680063,0.017870454914947733,0.016907531336450773,0.04494829639349154,0.04974218838638258,-0.044578427372196874,0.006724242222371343,0.00976704800611528,0.03246003178734233,0.02593391210294586,0.002914202315294115,0.026529927190541897,0.010285510858624265,0.028570107656813094,0.026363882076652793,0.049765834425879764,0.01827410032585554,0.02316045203983143,0.024744947413084913,0.05295013134929404,0.018008015408580217,0.02862565405954315,0.004024605058388942,-0.005200808895765913,-0.00527477330102707,0.023815235089397178,-0.004792775367316308,0.0216122099846643,0.039841778411525246,0.03813492482659483,-0.006002754224951228,0.0027421131185540928,0.008257717354413866,0.0016968538526691552,0.004641292866677504,0.03184729857856683,0.0011090048785823078,0.03846322181099678,0.002269638881306892,-0.0038093121646425535,0.020909289599811674,-0.008100428309273483,0.02214403773925555,0.011538329740014562,0.0156176614735089,0.045059588365338035,0.011077859056463114,0.03717271541499266,0.013761620237345765,0.0496847191008864,0.024999917939950708,0.014166286699113588,0.028702536097910698,0.031875653323923434,0.025655600337321113,-0.028785026665221997,0.028581083980288823,-0.033486161505150304,0.03587885847900047
Left-Caudate, nan,nan,-0.047770779448585945,-0.011990289148268314,0.012216533355621211,-0.01960915657372316,-0.003276063483895211,-0.02332314360097977,-0.05479103292170812,-0.019754983820646964,0.011570541147083894,0.006100325689041825,0.02205616727783336,0.010126439657881577,-0.009471923153642087,-0.0006764665594896574,-0.018302679689193666,0.01781824415121728,0.010481032328713499,0.018627089614006827,0.011375047149984921,0.03118017430006505,-0.0050574493030786805,0.02606316911575979,0.016075382310317722,0.021131603079485247,0.005863349969525253,0.027429163063113684,-0.011945603076344116,0.02836839864586101,-0.03711396644490873,-0.0008584081586099529,0.00806695522594561,0.04162930933005601,0.0011035065311389,0.010011384696726711,-0.004609017670616715,0.011102953171869533,0.0029994673660741398,-0.013342313030195481,0.02272958364657119,0.0018337383103298988,0.017012286082538988,-0.003441027687549788,0.014792000894174364,0.007980839401079645,0.017992357572302185,-0.004966775149829386,-0.013663494699056818,-0.024729968273703856,0.013502765777065953,0.026610922331749668,0.011766440892867743,0.0037974325534498926,-0.013734038264389048,-0.03357022535148706,0.03247427590448685,0.008188306181953035,0.007810737840297865,-0.012322921640381963,-0.02215992162034124,-0.03913267704590113,-0.022282740927374978,0.005724935634280014,-0.01628154326963319,-0.03389897930886308,-0.003329637605915151,0.04755415980177877,0.009813965861682617,0.008428734703701217,0.024758720381432005,0.0040556982817312355,-0.0007188224078059296,0.005804355175100044,0.0022598970352320624,0.012996901353575292,-0.03217233577737824,-0.010519267455403528,-0.04310785477730759,0.029110077861953097,0.011134459375514978,0.014539368291025855
Left-Putamen, nan,nan,nan,0.006604221736244531,-0.00945070062564992,-0.0018162430119284473,0.019841250070208184,-0.03539421947878056,-0.01854790135046606,-0.015671014082501593,-0.0060897963265550015,0.004723363106765391,0.003572466366381698,0.018393636513299148,-0.007086148812910575,-0.006441745702262565,-0.025805125669193667,-0.005765731910612019,-0.0034759045966787777,-0.01628607362399421,-0.02441567363482205,-0.0456017537910376,-0.018764511074854117,-0.023126379109248134,-0.020032655520662215,0.009121040382847763,-0.007919911210917363,-0.027116608513006447,-0.03037760092580796,0.0020693424804790494,-0.026246614297229184,-0.010428947062238571,-0.024517430597264016,-0.00644900118305837,0.002221411313400116,-0.000463450602022705,-0.010463618365316629,-0.006046042492055395,-0.013615314339084965,-0.024018585726045295,-0.018032903777822157,-0.017886873276383834,-0.009238313625521893,-0.017655333606945902,-0.017572601580857355,-0.006395184145273621,0.0011343429219915777,-0.003920822646231926,0.0015243440253563665,0.008242019039463101,-0.021376172109883032,-0.001530281756909293,0.017212616483226594,0.003570784611639604,-0.04015809732912295,-0.016467726307116796,-0.01072105411003488,-0.0057980107252530695,0.014152731462077841,0.011329524008015616,-0.010786681298564546,-0.02459662197478817,-0.016809992693821166,0.0009131677142583286,-0.04033341568660307,-0.013050407811828962,-0.015922752801353038,0.009384752631753422,0.01579409485447873,0.0007745628265371749,0.004087563170440337,-0.0021696225486646592,-0.013290898169741798,-0.007521651301340544,-0.00046895486084955716,-0.005621431407897299,-0.015278003234023719,-0.005900127316389029,-0.003668497312762376,-0.0004344095165703941,-0.0006170277867244164,0.0053660167282284475
Left-Pallidum, nan,nan,nan,nan,-0.058856975415351474,-0.02202349053099911,-0.005200656278814924,-0.05605203342200165,0.013571989505643228,-0.013381172574922105,-0.02484785772817895,-0.03382951751444955,-0.05300875543335954,0.021088372556034143,-0.04477927573769247,-0.05352557365281887,-0.015924930981709516,0.014031370172354443,-0.014757224691482981,-0.023204146274918153,-0.04316841498571342,-0.01709854162890009,-0.039722061031158606,-0.03217547868563211,-0.04488520416480092,-0.010758868907255673,-0.02196560729844639,-0.07447051756705882,-0.006814214027071081,-0.006641316249066061,-0.023067471310078552,-0.02341318931735479,-0.04903718119449714,-0.018781957825334122,-0.008873493290684768,-0.02667005901498898,-0.00953361968456905,-0.0328135125362346,-0.05128068417310336,-0.025078972513100612,-0.022448472033030742,-0.010214840495574038,-0.07126250254519496,-0.04955050991081704,-0.05200797936764414,-0.01230732823527985,-0.01400339896414218,-0.030171880082786776,-0.058441259029384934,-0.03370938345854669,-0.016259386048248566,-0.0008204253711537723,0.01561303086198431,-0.0301683590207682,-0.051760167208243356,-0.013378170398996417,-0.03213866747223644,-0.04171922861281205,-0.018835258389834054,-0.008272616606262268,-0.016748947984869603,-0.06722588445545802,-0.025533015942966246,0.01812148353817703,-0.05665943425806631,-0.03587783404882039,-0.05030818145805606,-0.011898820454276286,-0.0011472176035093428,-0.030719347899643562,-0.009995253036107017,-0.03475180071961717,-0.05132557856094082,-0.01815797364863068,-0.021047273506720126,-0.003994990032042861,-0.07011110337728883,-0.04346805230140771,-0.01629235026539621,-0.037093593383564376,0.014918301639254264,-0.036843585746886946
Left-Hippocampus, nan,nan,nan,nan,nan,-0.016950924794489525,-0.013747731452936854,0.011034190414167647,0.00638217608520536,-0.01134147713026325,-0.03397891298909277,-0.010611169435198473,-0.009526023065943611,-0.028016518774264115,0.013124423577892128,-0.0037270317314345154,-0.026886597179005156,-0.008887015130443895,-0.022855648587704447,-0.004899488240196431,-0.030509510547745197,-0.0011160782644302084,-0.03101786972910624,-0.004599813515597895,-0.015113361136101207,0.014458648309615218,-0.028116055682390697,0.004382274611502837,-0.026306332085734116,-0.033810436351449126,-0.024102588088707112,-0.0031040191289880225,-0.003870772355926545,-0.006011844579357776,-0.009678739196442581,-0.030076232597272632,-0.027448762101545045,-0.036432067299446806,-0.04063471954715525,0.008999391180286184,-0.031877267077579464,-0.008683709814366228,-0.005874255792772536,0.000801382448196602,0.014880270006492934,0.0025021714412215433,0.024963415508220687,-0.02970920326636804,0.007837951222775669,-0.025078881751970653,-0.004071434070372872,-0.009931446232252892,-0.017181817985681486,0.010840843275664298,0.003091338096823948,0.010418933200978465,-0.04827317171868558,-0.0007877510659866474,0.016597147510750084,-0.017932857677319187,-0.025523328815937583,-0.01404535341328079,-0.015954791635949903,-0.029610270554006703,-0.0059455173018284685,0.00937145588060583,0.010292968243564708,-0.008212505305019957,0.0044179221819064625,-0.010470306264106199,-0.0012050085729757574,-0.021262587733903743,-0.016337254587446552,0.011953499399571512,-0.032587838796328254,0.004328907835466176,-0.0034751256672842378,0.015450295416764718,-0.004011002683031875,0.03384847137875412,-0.03408868482742037,-0.015036260334475806
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.0163863522744298,0.011224187830838337,0.006275290843447106,-0.00880023795744345,-0.03310277923817423,-0.027644196071796308,-0.04430216283074034,-0.04023021716749583,0.012353413970110997,0.03079235897621561,0.0026161826914697975,-0.001063262288822157,-0.04008302530151042,-0.018485427560767726,-0.0006805384211516766,-0.03820972629894084,-0.009936354776600776,0.002323080387585481,-0.04535536911054962,0.003989840282556238,-0.031997422691472176,-0.02692982486019983,-0.01911232705332463,0.0017435031859318615,0.00031104935186354723,-0.02277606725187108,-0.023967448082493757,-0.0025292676698999736,0.0019869205982498274,-0.0037802612609216637,0.0028877659698156553,0.0024917354752955387,-0.023403866131700344,0.007389927690747223,-0.016935675905583536,0.014634004704922278,0.005161946868573308,0.010516734312888538,-0.007613715331542452,-0.007825275866020475,0.00866230634872536,-0.013430682249460662,-0.01593760799323909,0.03452030929818982,0.007785994281181238,-0.01168612350447657,-0.03141184965494272,-0.012644052418635556,0.016897025662829,0.0075599598684649594,-0.03819791921673569,0.016377838917266383,-0.010483427784306625,-0.004549501626195259,-0.024071432688811473,-0.01748131398622948,-0.03348461180894989,-0.0012029644915304005,-0.004812159534092159,-0.02357561413396665,-0.008438191071534824,0.01890116540492965,0.021470696675590168,0.0020276635974073504,0.010693986381555888,0.006867745284065141,0.0075553083692462865,0.008065899960527275,-0.010955202832705646,0.023110042520888784,-0.0003945639387968434,0.021374208995955074,-0.04532756667877047,-0.017440766604182183,-0.025029768132937294,0.0024294182273778882
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,-0.005243330020221061,0.006675396063657802,-0.0009015438228350889,0.006009494413757127,-0.014073160895192607,-0.01858370980684304,-0.01788401543581795,-0.019413169701392393,-0.026325953754593217,0.01342170226953715,-0.006723009374225634,9.832656107671221e-05,-0.03689314756275716,0.0037861017724861055,-0.04231837260415158,0.0013701591482899018,-0.04399324527026806,0.007340590619236416,-0.010938217913763613,0.005591866885050695,-0.0276122028123416,0.01422141128119921,-0.004160759620303742,-0.012768074447751226,-0.011858854126103126,-0.00946648223803259,0.013599777392160664,0.006951431481239876,-0.005826365942121958,-0.00034370769359828493,0.009292923850918247,-0.014882251294441819,-0.006452447796161911,0.0006722706808414379,-0.0020705590859555955,-0.02800539272636838,-0.027195774638671216,0.002078806687044354,-0.023261006886453054,-0.00265305776472427,-0.024427028681275217,-0.01567025993471598,-0.027112660663792695,0.004058258356001821,-0.004851159231325792,0.01645226638294215,-0.0173347535679013,-0.003889724693814822,-0.04159024617605295,0.0016755053704815906,-0.049678791076584856,-0.006097340203175433,-0.03070090763360266,0.032568400483190325,-0.018626230118130273,-0.00797472884649795,0.008579064467811853,-0.022068947228166685,-0.016620677490880052,-0.019527377669443326,-0.004108750511326835,0.0026188266604744294,-0.0048723430985414245,-0.001974158270084578,0.014965002883775731,0.000839176905616276,-0.016912761843701874,-0.010168280164599091,-0.0014666581878194846,-0.029781274084813368,-0.023035538598418216,0.019550808695744725,-0.03551493359315235,-0.016735138893513992,-0.04180908481134746
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.01529457291752013,-0.0346746990645776,-0.036328900103071333,0.023281910951034653,0.029488978883033843,-0.0008060932129583434,0.02361385872956001,0.013315054660107637,0.038697291723406024,0.025496446751926145,0.002888371272060132,0.006395921783926969,0.029996815974263135,0.004703455316629344,0.01621830767011242,0.013136390591245934,-0.0053398202002744675,0.021131292076496323,0.02791144309372997,0.04258004252995109,-0.04393859744991057,0.01853381712015845,0.017106344058076553,0.02562403049130294,0.027640377199122806,0.002701704680307058,0.04835548421512482,0.007905936111185494,0.04240499973113253,0.028910694374258757,0.030428747457119588,0.0232547655231434,0.027849953019203483,0.0288823804547759,0.04548749949060773,0.024871241847682638,0.02076369922322722,-0.004242229762756357,0.0029655158976789175,-0.0035502430545777427,0.02554398729535923,0.003785470253126845,0.02346628133747457,0.045312371375776206,0.0285995585892982,0.00309847109617679,0.018019580062526127,0.026017152544899693,-0.005359102281911151,0.03496734067781661,0.011992547914053745,0.019772176382843842,0.03591774547630133,0.022999520543409858,-0.013490006833206898,0.024926858640171447,-0.00862175587956729,0.029332117911326134,0.021022311894358815,0.015869901515900318,0.06095298488814285,0.011525477445387578,0.04889192562951748,0.010845780950135948,0.03920387316002423,0.01628954537934404,0.023823151746631244,0.03411201894843843,0.02849173614971845,0.030829043777243756,-0.02812607786686645,0.03308908518934421,-0.014193757200426784,0.03286100700127147
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.029935589502216822,-0.004318046741301791,0.02428256323302813,0.009360650565855434,-0.011552293177946186,-0.027637746144618478,0.0021382568077250893,-0.02159970098542755,-0.004236559955517419,-0.0032397279908004547,-0.008670453423501099,-0.010887161893443109,-0.026142744695933657,-0.0003739403243558285,-0.005807764104544001,-0.02942679099377366,0.00986470579051697,-0.04365644526172668,-0.03365509395848054,-0.03784326317390951,0.013586112835725174,-0.014134966479473633,-0.021073940429784728,-0.010052251140425218,-0.0015988103286303853,0.01064489525878249,0.016674680531115545,-0.0012325546268512804,-0.008685238133324655,-0.029284949166593903,-0.03575318963694716,0.0008912884888738786,-0.014460467459814146,-0.029826679414102938,-0.02677156369186988,-0.07351335539987244,-0.0066853930822378714,0.004851802968379516,-0.006107973338509911,-0.02468334129211092,0.012380985649093514,-0.003771114606374514,0.017524709113532856,0.011250419456582667,0.01734458640417341,-0.037938334447633795,-0.0013140563630005694,0.02379272102120425,-0.0016544330161248398,-0.0066644384962478605,0.014235037701756229,0.009360502753032546,-0.005365700592575457,-0.02280743900242871,0.01036960389091877,-0.055394018750754365,0.00038082778171518003,-0.01332460891520198,0.028158020494390687,0.022226666984423247,0.018004268133607552,-0.0008126073680410764,-0.009133342805247843,-0.006977818288771634,-0.015897869735001798,0.030356052459403895,-0.016579718322266776,-0.007396605312827064,-0.01380821984511363,-0.015028218899965523,-0.006157221265476944,0.0036754289054546758,0.007564859738983779
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.027913061776827723,-0.00995850119007765,-0.00932066051969922,0.008614078637638576,-0.0037382789195273014,-0.00448084208063296,-0.028239029522803084,-0.0037062558524024016,-0.014491600391648572,-0.009583561319823013,-0.02817447891270878,-0.01657143298174073,-0.0052035498248462,-0.022744940908567872,-0.017481556695063148,0.013764035545230629,-0.00892649241737848,-0.0066957249649202705,-0.014505402804755645,0.004076336835636789,-0.03112865653795802,0.005362340925801858,-0.02165917681789669,0.008970167153738768,-0.005740923346535351,-0.012582630420425026,-0.023301269085873294,0.007259834691419633,-0.014249186100739115,-0.03822801838747508,-0.007683360724368407,-0.03419240178557679,0.009809551355018122,-0.025505783542419173,0.014775551558220907,0.00018471095859774555,-0.0012100282733681423,-0.003954110286137436,-0.009173788487478053,-0.012513166138012798,-0.027069454325256957,-0.005905429708293694,0.004098834611292412,-0.011126475185972186,-0.038631187149821486,-0.030260463493814962,0.012051121391104948,-0.01871685942544364,-0.008360374486300542,0.002578795983222432,-0.0009965175602721726,-0.04287700250421262,0.02674921325073201,-0.0004906855021752386,-0.037619478043350287,-0.046085828989757216,-0.020786830369788085,0.012951468427570976,-0.0008660019341764496,-0.01628408182177815,0.011001277899441218,0.00041756084118552844,-0.03085274924467433,-0.017451664851335622,-0.019391568640604942,-0.015253632322365634,-0.024389576275131126,-0.019411267064253425,-0.012565756461765198,0.00521792251797998,-0.016436325572670614,0.017642201676599252
