# File generated on 2024-02-06 23:10:11
# Number of participants: 354
# Number of patients (alzheimer): 177
# Number of controls: 177
# 2 datasets were included:
# - ADNI_FMRI
# - OASIS3
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.02129982246865028,-0.29940246015555083,-0.33075054305673357,0.08009225909632499,-0.010185236967425541,0.03845358057379848,-0.1711614256956833,-0.02364257081171398,-0.20494679465520035,-0.1703987748683654,0.026030155018640835,0.1138214211256412,0.06267653267192527,0.09148825169083005,0.05413820205573891,0.10073853153249909,0.10224543621445478,-0.09527167988479959,0.016825847605717644,0.04943548417659977,0.11104282653116732,0.096225288006184,-0.01111376284280177,0.08785761199822002,0.08277248039276101,0.23285279122078656,0.2506809982320352,-0.23725978380124588,0.029251554745269557,0.05106659659739093,0.1765711598023325,0.1407095162958004,0.015092822385106624,0.11343935248552878,0.05747423103194982,0.12916715808656182,0.14947061322149824,0.2516067807825882,0.09219586184300882,0.11116241694723407,0.12224766511606189,0.24648801321245517,0.09502469624856841,0.14922918497361762,0.023134700479689994,-0.02680977606929719,-0.02834013495604152,0.11722438899369036,-0.02544057905321568,0.1094434249818568,0.19353804120265392,0.20430409510998288,-0.028874054550163827,0.014419668314430296,0.04205643608182139,0.00973025954379741,0.02282691119065863,0.1629085291421815,0.005355225962456848,0.1959646859543442,0.011824590612510684,-0.019973011567968577,0.09041516673869,-0.04285682212338576,0.12331742947650433,0.05969576165565795,0.08156167060406634,0.19786861638174533,0.05855762165697813,0.17169161012126744,0.07678428861226189,0.2557662476303557,0.12443268171720248,0.06868597691847643,0.14269508846260331,0.14590383224934073,0.13972541727573137,-0.1514549557577882,0.15352947990541985,-0.173403756569643,0.18289033506740757
Left-Caudate, nan,nan,-0.2608999267676534,-0.06161080269549247,0.06340273480210712,-0.09897812811778288,-0.017235930927644215,-0.11833580046786658,-0.32853921186356727,-0.1110646157310644,0.05936650980065716,0.030095843898611366,0.11153507859269364,0.05217224528725054,-0.04979654608661906,-0.0032486075656701034,-0.09336938886367922,0.09540938075387241,0.05221881850937604,0.08889519905204421,0.05652035055111188,0.15911296057749094,-0.028023318985471644,0.1281229858056447,0.08274951689260161,0.10719428436476112,0.02948993799379024,0.14128167995540436,-0.06729212346113318,0.1370926136508808,-0.19342811551669142,-0.004444529432080774,0.040056104670130016,0.2158745360904621,0.004977405346304841,0.05124882657444302,-0.02143720250042595,0.06121692567438722,0.01569966089478682,-0.07030185039848706,0.11558250989738912,0.009456854866416205,0.0803864711700423,-0.016971819346000276,0.07221164256242596,0.04010402643828801,0.09167790464741382,-0.02383401057419304,-0.07430975742918082,-0.12087904453562653,0.07284090147179728,0.1418640247515146,0.061623639644865745,0.01872916548119057,-0.06878829394678548,-0.1687792962210829,0.1770151965617938,0.04085725262669522,0.039596687874106785,-0.06289072754084643,-0.1069074879830874,-0.18872014976536056,-0.1216063110844048,0.027329378708835488,-0.087145572866108,-0.1815648146831441,-0.016816318512431164,0.2555990141029509,0.04347006570181696,0.04199247327662934,0.1152817523650687,0.02165171923952464,-0.0038153776970923743,0.03076922168847738,0.011158605488892845,0.06669665988286035,-0.15080701270329772,-0.05239321830951601,-0.2147105838576409,0.1430316497877368,0.05795285204330513,0.06836509504324427
Left-Putamen, nan,nan,nan,0.03443919906417045,-0.05125997154995481,-0.009265690644876005,0.10132799486529992,-0.18379718074140983,-0.10484269040355451,-0.10530550110382206,-0.031637875119079895,0.024817410791123363,0.018507807364718867,0.10010502650207015,-0.03389819742121122,-0.032653131037040116,-0.11986432221855271,-0.029585842463699205,-0.018917988903411922,-0.08058699313217665,-0.11739966812155028,-0.23851555294958768,-0.09647488786718596,-0.11239966259014307,-0.10325922241396646,0.04493223814958251,-0.040318408310754346,-0.12470690634092152,-0.1569437415396769,0.009938873983615662,-0.12609322989918523,-0.05182244851367547,-0.11441350463250956,-0.032348289412450784,0.009927385397353177,-0.0022569042884012457,-0.04809809885177878,-0.030997362811816604,-0.0659927105733048,-0.11696647522177732,-0.0823885880616078,-0.08975146090334309,-0.04086153300185052,-0.08364381916458567,-0.0904878659662982,-0.03493816623445098,0.005657534684062067,-0.018899096239485512,0.007567149307264905,0.041225008505547875,-0.1025141009292837,-0.007839928625528514,0.0926728816853365,0.018297413318603836,-0.18494351736031747,-0.08661617260487345,-0.05441776840488239,-0.02855717975346144,0.07222208321600594,0.05670797401721226,-0.054683580467319616,-0.11363523476432023,-0.08934786824991503,0.004465232502664955,-0.20518864239174658,-0.06442882833356829,-0.0766046514715229,0.048257899081222376,0.07073208074892136,0.003958597363789708,0.019481440997611794,-0.011354850675771634,-0.06545528628758965,-0.03777406621925759,-0.002186811075138442,-0.028598815484364822,-0.06751626701009869,-0.02848263673942337,-0.01892733614266073,-0.002305125573777741,-0.003147914031666018,0.02550884811477357
Left-Pallidum, nan,nan,nan,nan,-0.30307871507531736,-0.10761069344476566,-0.02583110360684181,-0.2882956859340572,0.072864978139484,-0.06735132262121778,-0.12838046807449713,-0.1758298257147364,-0.270725843835799,0.10460069371467137,-0.2424180313069694,-0.27608689636862305,-0.08541905908471414,0.07990203782387965,-0.07461918013795286,-0.12521844616888886,-0.23785838445154608,-0.09228355072536223,-0.22736697411307213,-0.17615744843646242,-0.22394278713191051,-0.06148699772246998,-0.11911563322778435,-0.38679653745372755,-0.03742880169733309,-0.035761677709023755,-0.12126354824285172,-0.12248439409782964,-0.2553490658331792,-0.10949088533056808,-0.04393281228860579,-0.13839409659492866,-0.04473634485924126,-0.18418733619767827,-0.28206255471019354,-0.12670048322705066,-0.11586800774363128,-0.055477731703695875,-0.35657295952031526,-0.2525136106834622,-0.27386359356821277,-0.06267115635527994,-0.07612843582883043,-0.15270254825399981,-0.33594075684285385,-0.17321507501069416,-0.08682768818517558,-0.004845947483036726,0.08188747170910105,-0.16604076493301226,-0.27462388723987935,-0.07549058000849937,-0.19000853026384992,-0.2281462592367421,-0.09590431048071403,-0.0467174252984972,-0.09251593747473891,-0.35461226817407254,-0.13816179587525387,0.09420585556586357,-0.30378409710119764,-0.18440572409869344,-0.2625720872308215,-0.06985140794602362,-0.005598570509708391,-0.16893042143851658,-0.05073056059225416,-0.20263707652535137,-0.284223788815425,-0.0959855511853855,-0.10958843810057621,-0.02238321819316252,-0.3418575138139893,-0.2238808467073777,-0.08545351092185077,-0.18525389853373264,0.07839783304156388,-0.18906976756353297
Left-Hippocampus, nan,nan,nan,nan,nan,-0.09732960288905279,-0.06849243224631368,0.057330857427127443,0.03368162437076118,-0.05843756042502112,-0.17196438219406796,-0.07122606779240942,-0.04806502494334956,-0.13967512768423232,0.06489362045979795,-0.01876408569895695,-0.13345316784260866,-0.04573758427479992,-0.10518721837576803,-0.02582182526650263,-0.17351427212032433,-0.005888292728312077,-0.17263401220813734,-0.024174407042206615,-0.07931740787963706,0.0759155429078518,-0.14282193681843586,0.023566898702138135,-0.1423349024872377,-0.1658114793778695,-0.11579007043526145,-0.015553950428992167,-0.019260459812602437,-0.03153824678225478,-0.04617324235290341,-0.1582852510556097,-0.12249407414942105,-0.1974930678312079,-0.20494543349474606,0.04420510464045203,-0.1550027574156117,-0.04273677761326393,-0.031072032091818604,0.003935003939224313,0.07100611348246834,0.01241092050329459,0.13072144564225516,-0.14855564677394376,0.03887570350177527,-0.12377588703645215,-0.02020096613987044,-0.05133362644038933,-0.07952723059218042,0.054935186367217156,0.017218918449424123,0.054711675814681025,-0.2669446525713,-0.004147309039680966,0.08723893241237557,-0.09503953261373539,-0.13074534758028256,-0.0757714745894105,-0.08286161594083598,-0.14434624289419448,-0.027977264052049665,0.04704431657146395,0.04727213890351378,-0.0432017136420354,0.02214910422092175,-0.053463555166757395,-0.005466925726522933,-0.11446276836535002,-0.08441299063327745,0.056948324481063226,-0.15508533442905048,0.02206893279761938,-0.018291911719637243,0.07386754180516912,-0.019317697343731736,0.15632956578246837,-0.1813266093722056,-0.07458487279085027
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.07722959096487397,0.05745464666914768,0.0319292833144454,-0.046214076168647054,-0.16369767804216595,-0.1552925477815321,-0.23263634557327645,-0.20221349222844584,0.06728100050875993,0.16140924529486889,0.013365503472529773,-0.0059066721954605175,-0.17614970192334392,-0.09960415311902822,-0.0038144136744279497,-0.2109601359812015,-0.05769546391141313,0.012425785388973891,-0.22113166379189303,0.02143235420930316,-0.15945861951539753,-0.14656552524112118,-0.10189080853660451,0.009164995323168739,0.0015837341246583718,-0.11412600278478853,-0.12517621242712723,-0.014123785574481596,0.010058291948323502,-0.019678661270132684,0.014156597959640946,0.01417799560838779,-0.11917019351312605,0.03676138839614732,-0.08471471053981856,0.07986848140520103,0.027100620843709042,0.0531629212517007,-0.03628959825253943,-0.0393729176803572,0.0460869111170129,-0.06744323410400105,-0.08702901406892834,0.1728626891571026,0.041214866635908155,-0.06334032126543736,-0.13892576827075415,-0.06848042763509479,0.09557445158949791,0.0395042062357929,-0.22335973626806085,0.08620466659831809,-0.051727197691838304,-0.02402071599879357,-0.12125769815993614,-0.08977426809365033,-0.1640001308221795,-0.006395871050502917,-0.024088222358021005,-0.11782640462511838,-0.04192112897619447,0.10511986499815966,0.10900652471309794,0.010785354521827207,0.05354993270569548,0.03921674181189708,0.03743520191413425,0.040091433626793724,-0.05425008447998265,0.12863666433658733,-0.002116042885794297,0.1078907637814327,-0.2070802162351624,-0.08094279289193251,-0.1331020574833667,0.012503651106048688
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,-0.02756033028787183,0.034482916531800675,-0.004721509935985542,0.029444689029317413,-0.06838672089831067,-0.08294119262318053,-0.07735301473213481,-0.10503351907751446,-0.12920947054015217,0.06867143475265801,-0.03821543067174501,0.000467160246906495,-0.20565990920467397,0.02048366382262494,-0.22276921376317677,0.007547707972645697,-0.23544320144843955,0.03306974451996028,-0.060674691010234615,0.02633942697001277,-0.13992211053175907,0.07722437761247591,-0.023774000620436674,-0.06473845764875062,-0.054869859500780466,-0.04760088488733928,0.07759991078635278,0.034926585956171666,-0.029955366254414795,-0.0017352124278200449,0.05023937943630391,-0.07460902097679568,-0.031099742205566546,0.0033436331615691512,-0.010933378493089356,-0.14043355784770586,-0.1367568589358738,0.008864576126424367,-0.10701473737780356,-0.014278618062618794,-0.12198140837652634,-0.08915635903225505,-0.13737413286493033,0.02036112536944615,-0.02703696406699461,0.0772369577497394,-0.0917293584253623,-0.020455253319970255,-0.21503289151983082,0.009464870875155719,-0.2637059043421526,-0.027588582439377594,-0.17008860993161515,0.15297928418399473,-0.0930373882349205,-0.04242095038779623,0.046872626498100166,-0.11538686596373858,-0.07590123623856883,-0.09446354207895498,-0.0235788089614567,0.013322826200920821,-0.025709012414814447,-0.009815287582640385,0.08456218697747102,0.004325744514406009,-0.08307049985836072,-0.05127045094901985,-0.0077375835394388965,-0.15030183486228108,-0.11853599107363298,0.08513456892503678,-0.15709817946680438,-0.08811919439883871,-0.21033152576970152
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.08080001776992919,-0.1817615727287971,-0.18522998935903767,0.11918225270747765,0.14697280867101487,-0.004271050852063873,0.1067897466961359,0.07430794662052032,0.19191006135053668,0.12791172678746804,0.015282808578041478,0.032802327577432344,0.1521316816224023,0.02442774549454316,0.0912430247508008,0.0674541142862309,-0.02646961741014751,0.10418307732565923,0.14433358004717683,0.2098900666129982,-0.2396414078327531,0.08208040135844817,0.0866026925489658,0.1340150305358685,0.1480029719676881,0.014221510927114055,0.21039364437434427,0.04348606608028781,0.18863678616190047,0.16221654429706686,0.15542795897333833,0.11439573640638223,0.13468003609409676,0.14459266003675567,0.21422485851147388,0.12920554921329325,0.10624539316394073,-0.02335980202721206,0.015243759110388205,-0.019854295763834334,0.12522519333758442,0.020716296344151813,0.11452824243474753,0.22418903073463572,0.15021846024742977,0.015171491063517154,0.09073227361848776,0.13493676282047656,-0.03171006546070479,0.1768861151305232,0.06235380126613386,0.09692818013782913,0.17843225881192898,0.11458642428541099,-0.07352125140089286,0.10958928669168345,-0.04649938731783432,0.15821197881060062,0.1107968833448269,0.08277210112093604,0.2647541438111539,0.06271326530221945,0.22110091945726423,0.062193974028853946,0.20681861742774463,0.08076654744718423,0.11739917640976649,0.16797720985828474,0.12612980251705883,0.17154153941931816,-0.14255389002231567,0.17577697022365307,-0.06914230718972614,0.17592155157659858
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.160789735484235,-0.02155325518159526,0.12018620066740475,0.047600513353637686,-0.05952760208971652,-0.1440462506366625,0.010111840661790463,-0.10655327547890585,-0.02205241483240819,-0.01589757219347626,-0.04000210660406098,-0.05283805872743964,-0.1231780663434987,-0.0019962485954194906,-0.027907000324526376,-0.15162905521827802,0.047900070783003866,-0.2206583202174079,-0.16124919941782545,-0.2113950852169567,0.06709195525326617,-0.07201515452746692,-0.103254236217647,-0.0492856321330661,-0.00809332563308651,0.047810157824984885,0.08459404038249714,-0.005695751436985397,-0.04559529182074012,-0.14672819227935363,-0.1752814903300362,0.004215947003892842,-0.07248880335864515,-0.1393132880532191,-0.12499439147535897,-0.3524846084087467,-0.03383737759944284,0.024201266997565817,-0.029692891753961996,-0.12771555701409582,0.06047329804939164,-0.01940231070049239,0.08863811137151444,0.05625790022076541,0.08197951562608788,-0.18862474736701462,-0.006558013073125057,0.12944575815098175,-0.008047337483852642,-0.03368552058860039,0.06820964484338848,0.045074099962442694,-0.026169447950696166,-0.12044292112708523,0.05168502294130153,-0.2738652118047295,0.0020356248401853976,-0.06596247699256595,0.14818057135140913,0.10046824298829198,0.0890725558369804,-0.003716627151945662,-0.04862114361650659,-0.03758344847964116,-0.08293258330659535,0.1572095734084867,-0.08326097953153683,-0.03497151579091687,-0.06643246458893613,-0.0694993413438399,-0.03005559727506388,0.019121100741679713,0.03578394545326886
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.14706387282052816,-0.05050922295421894,-0.048045165308840544,0.044999467377744275,-0.018427026282341784,-0.023501747658001147,-0.13346086110543198,-0.018610806693965327,-0.07545962594475626,-0.04714610224325663,-0.13612334612002708,-0.08499147436800696,-0.026547038152031653,-0.11043444881327329,-0.08670848691514771,0.0689009146035691,-0.04401978031779975,-0.031491997980323115,-0.07383841889069409,0.019377868212318478,-0.1523414189715553,0.026529793837195736,-0.10554255395350771,0.046523891328839,-0.026019134459457714,-0.06341589893187298,-0.10713201152113558,0.03676922319017137,-0.06886991949091534,-0.18919880454047058,-0.03590047792150247,-0.17079346533122508,0.045857662874581984,-0.1231226830753174,0.07728887936474478,0.0009871302155523558,-0.005970610409473368,-0.019112557860215946,-0.04614844651508518,-0.06558758614329573,-0.12969092841022656,-0.029888108144124532,0.021107619509684934,-0.055665080335194114,-0.18239073510590154,-0.15492757511212646,0.06294553174536995,-0.09233890054467525,-0.043274189077686105,0.013146177715697595,-0.004794333452511561,-0.20071719238346905,0.14345033121167886,-0.002347233868695539,-0.19612712397008603,-0.22785007540596217,-0.10364954152225771,0.06995932111715218,-0.003920267360218931,-0.08331515879253187,0.0522995659123196,0.0021831821820322795,-0.15634993440761974,-0.08604346588780791,-0.09129936530065053,-0.07686666931842125,-0.11298297750670301,-0.0962304752071403,-0.06674720066962453,0.027174900585766246,-0.08615285641988533,0.0894088263950471
