# File generated on 2024-02-04 11:32:56
# Number of participants: 128
# Number of patients (alzheimer): 64
# Number of controls: 64
# 1 datasets were included:
# - ADNI-all_parts
# Effect size betas (regression coefficient of the linear model).
region,volume,surface area,thickness
Left-Thalamus-Proper, nan,nan,nan
Left-Caudate, -47.127877897929274,nan,nan
Left-Putamen, -243.72975571066837,nan,nan
Left-Pallidum, 41.04656941953229,nan,nan
Left-Hippocampus, -538.5160914380782,nan,nan
Left-Amygdala, -305.1206994402741,nan,nan
Left-Accumbens-area, -86.58112842259912,nan,nan
Right-Thalamus-Proper, nan,nan,nan
Right-Caudate, -75.36474272514653,nan,nan
Right-Putamen, -274.4202189397498,nan,nan
Right-Pallidum, 4.74886497421936,nan,nan
Right-Hippocampus, -497.40686421944895,nan,nan
Right-Amygdala, -276.81325476533425,nan,nan
Right-Accumbens-area, -76.97859566982221,nan,nan
ctx-lh-bankssts, -363.51745827512167,-136.66309186764647,-0.07997007561908835
ctx-lh-caudalanteriorcingulate, -98.96120345842051,-30.853319125360635,0.02763122802152768
ctx-lh-caudalmiddlefrontal, -476.3578230399933,-133.6341868747336,-0.07402122754615933
ctx-lh-cuneus, -0.11214584399999072,-22.25669853735542,0.007651799735832526
ctx-lh-entorhinal, -390.18202808572585,-25.99738656829082,-0.46071513264931596
ctx-lh-fusiform, -977.2600456564177,-242.8463096547776,-0.08361712430572577
ctx-lh-inferiorparietal, -1626.5911760895435,-473.1803377408091,-0.08057876817551272
ctx-lh-inferiortemporal, -2135.5818705942083,-523.5802876869053,-0.11007340474660524
ctx-lh-isthmuscingulate, -180.33256290305278,-27.781277430290764,-0.06581671345603071
ctx-lh-lateraloccipital, -1052.7945356694067,-387.2822006850296,-0.023580588373347942
ctx-lh-lateralorbitofrontal, -687.1617721434083,-236.30263303812535,-0.028310687881567147
ctx-lh-lingual, -317.36587795819236,-97.46513118640762,-0.04475336708385588
ctx-lh-medialorbitofrontal, -370.7622840170634,-82.10009475432582,-0.048450006461315996
ctx-lh-middletemporal, -1991.2107067981976,-416.0922378497284,-0.1624108816783095
ctx-lh-parahippocampal, -160.63395417592625,-12.300563747243116,-0.16249010707246014
ctx-lh-paracentral, -110.29269685381614,-48.57825370222388,0.009682738331066351
ctx-lh-parsopercularis, -310.2314047593034,-62.95124776941765,-0.06763395359399645
ctx-lh-parsorbitalis, -154.11702847574162,-50.322701486989025,-0.021662491249562963
ctx-lh-parstriangularis, -166.1889979627351,-72.81125303257333,-0.03851122015163072
ctx-lh-pericalcarine, -25.895082763308693,4.949060891289698,-0.01634442637170477
ctx-lh-postcentral, -147.07683887178976,-11.717232258865632,-0.028928147131031222
ctx-lh-posteriorcingulate, -376.33503157985245,-101.08651807897401,-0.046873164859142315
ctx-lh-precentral, -464.07103532918427,-72.93098674956373,-0.04492478952562497
ctx-lh-precuneus, -895.9502928024158,-240.13838228767005,-0.06875675864997163
ctx-lh-rostralanteriorcingulate, -134.08958644287708,-92.12667626245198,0.07432980478276924
ctx-lh-rostralmiddlefrontal, -1634.7148707647375,-542.6211286456934,-0.04249453431334025
ctx-lh-superiorfrontal, -1518.1606428954447,-450.4670935835191,-0.044985846600751306
ctx-lh-superiorparietal, -812.5643855432606,-234.4906309231526,-0.04900012995821545
ctx-lh-superiortemporal, -1320.411330442207,-222.8503372855394,-0.14119792826822852
ctx-lh-supramarginal, -975.1961771621889,-216.39828310258807,-0.08612445204674427
ctx-lh-frontalpole, 32.43126047224828,-2.692126465004535,0.012403744307928736
ctx-lh-temporalpole, -257.1227755183086,-33.662684916497845,-0.2212357076067199
ctx-lh-transversetemporal, -33.66543325277131,-16.555922719448564,-0.0493212966286463
ctx-lh-insula, -448.2821477718951,-98.79941820400376,-0.05228652830359626
ctx-rh-bankssts, -260.4116843400292,-80.42697374269967,-0.12763560466549798
ctx-rh-caudalanteriorcingulate, 7.014627352321294,-11.724053081930581,0.06298721794687642
ctx-rh-caudalmiddlefrontal, -397.6012255836078,-77.76461211323682,-0.08099368422310076
ctx-rh-cuneus, -37.190081217620595,-29.98977589972108,0.01038595362878974
ctx-rh-entorhinal, -406.69230407994894,-23.471795381014836,-0.3794280220212176
ctx-rh-fusiform, -1260.521647902657,-265.81090366264453,-0.13139809997794208
ctx-rh-inferiorparietal, -1746.0717446062372,-452.047145023878,-0.08934578123152433
ctx-rh-inferiortemporal, -2063.845122748467,-477.69399131519185,-0.13800205584829542
ctx-rh-isthmuscingulate, -209.62634049873947,-41.462862319937855,-0.07601079978294643
ctx-rh-lateraloccipital, -866.53293686815,-217.90355049633422,-0.04842590406132512
ctx-rh-lateralorbitofrontal, -547.0811357233245,-143.47208670697214,-0.038539504453470846
ctx-rh-lingual, -313.2314935434685,-129.12930424532857,-0.027344371191404763
ctx-rh-medialorbitofrontal, -503.1525460585052,-157.66126030270246,-0.02815505836774113
ctx-rh-middletemporal, -1749.9895167584386,-345.24502307644013,-0.14888162902387211
ctx-rh-parahippocampal, -136.8653255074287,-12.416351781224547,-0.1285255002475121
ctx-rh-paracentral, -21.23117890702598,-19.354272768590544,-0.010254132863847392
ctx-rh-parsopercularis, -190.25006255925493,-58.74112757173259,-0.06085955439248187
ctx-rh-parsorbitalis, -293.0261404474938,-67.1710324635112,-0.05696879639127447
ctx-rh-parstriangularis, -156.5271669496453,-112.09350433794542,0.013836855337300268
ctx-rh-pericalcarine, -80.22947837858915,-42.361978405839274,-0.02031477419008208
ctx-rh-postcentral, -326.4582340833187,-53.878847919516815,-0.04735666035508023
ctx-rh-posteriorcingulate, -182.05981275938927,-65.31099700021736,-0.00944803385304739
ctx-rh-precentral, -377.9961981461773,-61.21246707129014,-0.03978522031887299
ctx-rh-precuneus, -729.711811838378,-168.66485792593713,-0.07111783041946854
ctx-rh-rostralanteriorcingulate, -83.08943134447384,-40.219052081725174,0.026537347344248886
ctx-rh-rostralmiddlefrontal, -1586.4693037956285,-633.932231383787,0.003448403702330925
ctx-rh-superiorfrontal, -1178.7811837881707,-345.55851826873374,-0.039569826951178035
ctx-rh-superiorparietal, -780.6371232181613,-193.74706353160087,-0.05620035599577575
ctx-rh-superiortemporal, -921.4938395604481,-125.84345287633684,-0.13470755549751887
ctx-rh-supramarginal, -819.589433572751,-159.32743943860902,-0.08987359531104143
ctx-rh-frontalpole, -19.41304160009654,-11.312691736699923,0.0055827560506713555
ctx-rh-temporalpole, -205.43196684847527,-0.15087007263140673,-0.36990954692911465
ctx-rh-transversetemporal, -30.076721236657868,-12.468570119443374,-0.011927646684917612
ctx-rh-insula, -425.52583631584275,-72.05993560619079,-0.08107452274922856
