# File generated on 2024-02-04 11:32:56
# Number of participants: 128
# Number of patients (alzheimer): 64
# Number of controls: 64
# 1 datasets were included:
# - ADNI-all_parts
# Effect size cohen d (regression coefficient normalized by the pooled SD).
region,volume,surface area,thickness
Left-Thalamus-Proper, nan,nan,nan
Left-Caudate, -0.08754993382905052,nan,nan
Left-Putamen, -0.39849522725189307,nan,nan
Left-Pallidum, 0.17422100317849082,nan,nan
Left-Hippocampus, -1.3060114872037252,nan,nan
Left-Amygdala, -1.357110851081618,nan,nan
Left-Accumbens-area, -0.8775164417812278,nan,nan
Right-Thalamus-Proper, nan,nan,nan
Right-Caudate, -0.15379771858015986,nan,nan
Right-Putamen, -0.456094111812553,nan,nan
Right-Pallidum, 0.01933042843677234,nan,nan
Right-Hippocampus, -1.1629272389280496,nan,nan
Right-Amygdala, -1.2065291260497977,nan,nan
Right-Accumbens-area, -0.7059642228800052,nan,nan
ctx-lh-bankssts, -0.7631147825238779,-0.8049788544092382,-0.49164004220158175
ctx-lh-caudalanteriorcingulate, -0.2439777019838325,-0.22408245459723813,0.13476314388178934
ctx-lh-caudalmiddlefrontal, -0.4287037949840771,-0.3830189554509821,-0.4933553439185991
ctx-lh-cuneus, -0.000198350209075221,-0.09472354686657981,0.05351386691925262
ctx-lh-entorhinal, -0.9352121019864852,-0.2674322695188474,-1.5201592472030099
ctx-lh-fusiform, -0.7051718744155965,-0.5474002458073554,-0.6686008982514527
ctx-lh-inferiorparietal, -0.8848147359772016,-0.7593391644787973,-0.6045587162743058
ctx-lh-inferiortemporal, -1.1226394438623326,-0.9529381979164674,-0.7809705294694301
ctx-lh-isthmuscingulate, -0.42724933457906134,-0.19582766688555367,-0.44497964748446434
ctx-lh-lateraloccipital, -0.5901132028793717,-0.5534846549186906,-0.1900433443627952
ctx-lh-lateralorbitofrontal, -0.6904748957590666,-0.6413451153274519,-0.2131879616277073
ctx-lh-lingual, -0.3143778378252752,-0.20928334360384773,-0.37543958616134293
ctx-lh-medialorbitofrontal, -0.49698105815493254,-0.30776054058983654,-0.3081914050662296
ctx-lh-middletemporal, -1.301331071982595,-0.9119896212468388,-1.0731396733276914
ctx-lh-parahippocampal, -0.5398423756793811,-0.13642200564072146,-0.6559154843476537
ctx-lh-paracentral, -0.23613230894597875,-0.322213982042878,0.06501526119887029
ctx-lh-parsopercularis, -0.3658507783473161,-0.23407919476892877,-0.48963867783493015
ctx-lh-parsorbitalis, -0.4276341005333685,-0.47998914869772324,-0.10820762313308543
ctx-lh-parstriangularis, -0.25451875007077585,-0.33513474222567086,-0.2917365423767358
ctx-lh-pericalcarine, -0.0546680077584211,0.017136354634670115,-0.11468586419751697
ctx-lh-postcentral, -0.12327943540853546,-0.024554364484774497,-0.24089950216260872
ctx-lh-posteriorcingulate, -0.8352952045718023,-0.6647734940458335,-0.35012156408347345
ctx-lh-precentral, -0.2827056959034794,-0.13343355492132886,-0.27759025682249466
ctx-lh-precuneus, -0.6767092178791996,-0.46578070492529033,-0.5892534347988412
ctx-lh-rostralanteriorcingulate, -0.24774597806044998,-0.47307698449600044,0.34659886070088947
ctx-lh-rostralmiddlefrontal, -0.6017879032432879,-0.5896723892396946,-0.3411213880954782
ctx-lh-superiorfrontal, -0.5161472960218784,-0.46152482455678207,-0.3366028353578233
ctx-lh-superiorparietal, -0.4032980422584697,-0.32825403800284275,-0.38698035075501924
ctx-lh-superiortemporal, -0.7571208878367583,-0.4430795488741943,-0.8904004211170554
ctx-lh-supramarginal, -0.4726158885784677,-0.28919694929281153,-0.6131077627757275
ctx-lh-frontalpole, 0.15438904021523908,-0.06325276995450745,0.05285320566257213
ctx-lh-temporalpole, -0.47005382235110676,-0.4221747429193924,-0.6900547257942025
ctx-lh-transversetemporal, -0.16430694152520187,-0.23702189689427616,-0.2481704955094775
ctx-lh-insula, -0.5260558970005409,-0.33280504378819986,-0.33100431432872396
ctx-rh-bankssts, -0.6087641028133781,-0.5355150173872734,-0.7217661388650473
ctx-rh-caudalanteriorcingulate, 0.015639618632488757,-0.07477560861463321,0.3288760504001909
ctx-rh-caudalmiddlefrontal, -0.33944010496380356,-0.20983609887856325,-0.5556937101761432
