# File generated on 2024-02-04 11:32:57
# Number of participants: 84
# Number of patients (alzheimer): 42
# Number of controls: 42
# 1 datasets were included:
# - NACC
# Effect size betas (regression coefficient of the linear model).
region,volume,surface area,thickness
Left-Thalamus-Proper, nan,nan,nan
Left-Caudate, -6.5808066514120895,nan,nan
Left-Putamen, -385.8232183791704,nan,nan
Left-Pallidum, 18.10547502030108,nan,nan
Left-Hippocampus, -488.94951053538534,nan,nan
Left-Amygdala, -324.5984648075917,nan,nan
Left-Accumbens-area, -61.77689615625353,nan,nan
Right-Thalamus-Proper, nan,nan,nan
Right-Caudate, -94.63339357208878,nan,nan
Right-Putamen, -297.7520133167377,nan,nan
Right-Pallidum, -25.857321109302518,nan,nan
Right-Hippocampus, -482.3619887704036,nan,nan
Right-Amygdala, -277.1951623426092,nan,nan
Right-Accumbens-area, -71.35829196961946,nan,nan
ctx-lh-bankssts, -477.37592970294946,-154.4156642971275,-0.1288892059795025
ctx-lh-caudalanteriorcingulate, 3.681125682507544,1.4846216533771215,0.01970183288149004
ctx-lh-caudalmiddlefrontal, -137.9016945247939,25.095648094010773,-0.1253158612775044
ctx-lh-cuneus, 7.204136276573179,-11.690110186974822,-0.0062655881888415265
ctx-lh-entorhinal, -346.5208861249893,-40.427544350788494,-0.25125542168965703
ctx-lh-fusiform, -1255.0471623190006,-295.8998938775174,-0.12697386674003266
ctx-lh-inferiorparietal, -2261.594514633379,-540.6747583295213,-0.13557975089542215
ctx-lh-inferiortemporal, -1993.6950024656865,-441.70428131752254,-0.12056045441383303
ctx-lh-isthmuscingulate, -282.74262700621387,-44.26024425054176,-0.10723157670443868
ctx-lh-lateraloccipital, -1017.990364157822,-337.78860250653906,-0.07149698052028677
ctx-lh-lateralorbitofrontal, -457.8069027966582,-125.14621942454606,-0.06364399637784939
ctx-lh-lingual, -445.0232335958062,-119.6568209721996,-0.06711825779196198
ctx-lh-medialorbitofrontal, -363.37832055549234,-86.44997979380841,-0.04120670012155151
ctx-lh-middletemporal, -2181.420809909739,-417.65754534530646,-0.1778162372972145
ctx-lh-parahippocampal, -137.93453529139953,-13.858004322325165,-0.1305961990367007
