# File generated on 2024-02-04 08:53:50
# Number of participants: 38
# Number of patients (alzheimer): 19
# Number of controls: 19
# 1 datasets were included:
# - EU_DTI_Dementia
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.8321011307870605,0.2713461415620149,-0.09209205436447924,-1.0277281132976985,-0.012785434219049855,0.5151452694044488,-0.49370179667667347,-0.028130836253313377,-0.2786006700856437,0.06113092125658615,0.4002248447595347,0.37868156086837845,nan,nan,-0.27720841721002554,nan,-0.9051610780383709,0.06396230512598836,0.7927002000479362,nan,nan,0.3182902401439596,-0.6621756449303787,-0.6126445836519963,-0.4381906288128374,0.13447575846130985,nan,2.0517406483578027,0.3918376609828212,nan,nan,0.8277828851043834,-0.5162148657637187,0.7339338329316398,-0.2682179550818788,0.3047985574209869,0.43642366593190407,0.17556321281048248,0.4664429109324447,0.3566638350162162,0.6348045529390365,-0.6925633173849819,nan,-0.20326350974181076,nan,nan,-0.6593498403405431,nan,nan,nan,nan,nan,nan,nan,nan,-0.22593666714955432,nan,0.28024112590126143,nan,0.4323577380692028,nan,nan,0.0019540312413023116,nan,0.5478534599343451,0.3972223103723028,nan,nan,0.09144589416696167,0.13256977915742932,-0.6661594805111405,nan,0.22241791032412708,-0.07744341495139166,0.4379918638676985,0.9974537108765185,nan,nan,nan,nan,0.037324887381788185
Left-Caudate, nan,nan,0.17721405862879047,0.4856709012189391,0.030530449325721687,2.3812532768374948,0.36069706773021193,0.39856164094358204,-0.5628539249076429,0.29243153586001563,0.3523781045383896,nan,nan,nan,nan,-0.2943645531492251,nan,nan,nan,nan,nan,nan,0.5645398189441306,nan,-0.3952405496228754,nan,-0.47756856682500387,nan,nan,-0.09895243064068347,nan,nan,-0.2816126846801394,nan,-0.6763201690835674,-0.3790252737264668,0.19763854776080858,-0.05112769680523761,0.1501518709623144,-0.6788600941597019,0.020961209305784254,-0.6316466827839792,nan,nan,-0.46877465283674413,nan,nan,-0.591942204171093,nan,0.12338256436752926,nan,nan,nan,nan,nan,nan,nan,nan,0.036449928021834964,nan,-0.749133438798675,nan,nan,nan,nan,nan,nan,nan,nan,-0.10499450772668814,nan,nan,-0.9180149161152549,-0.013095066804449359,-0.48834286638080143,nan,nan,nan,0.04429166748789279,nan,nan,nan
Left-Putamen, nan,nan,nan,0.7489503820716673,0.5114146586256293,-0.03707594767896539,-0.17821325239713762,0.08185884716474014,-0.07812122427547205,-0.25350214782111613,-0.23471127684073329,0.8963012408203431,-1.2701114755591862,nan,1.657178021000649,0.47142344374085204,0.4090420387672878,-0.44053279588310185,1.1930300437087957,-0.3720675283851273,-1.1360086453784146,-0.3418751869723857,0.08847484552587376,-0.5338046393817475,-0.3263729804453973,-0.33125123430759434,-0.37576512989248984,0.12208133139904831,nan,-0.33529116085355026,0.14247870230085385,-0.5129729969511408,-0.3134989303226801,-1.5506836080571793,0.47298711814247923,0.1973405813552272,0.21587226411205782,-0.1211292584863391,1.325748107835411,0.37056744774670924,0.31970924785144167,0.15689014286526023,-0.8045373160674181,-0.24283380838796834,-0.022050369770231205,-0.2211947416373011,-0.5011468462861591,-0.48765864687763233,nan,0.38606018788360086,nan,nan,nan,nan,nan,nan,-0.6791282976977684,nan,-0.11019507160047882,nan,0.441084474028992,2.0437420098522034,nan,0.34990741362740463,nan,-0.22585632064638111,0.18764030880095567,nan,nan,0.7576452208227774,nan,-0.9805311189468487,nan,0.4104512535023181,-0.43774890461072796,0.18253127886950601,0.06886206319515753,nan,nan,nan,nan,-0.6297810665198608
Left-Pallidum, nan,nan,nan,nan,0.39433064706989074,-0.3896241375594777,-0.024394407809209043,0.5327279352313824,0.26348906751280965,0.3971065286914387,0.05252876954429037,1.5014983679229714,-0.6005330782578007,nan,nan,0.006658159410792008,nan,nan,nan,nan,-0.05499129827578319,nan,0.368018560641949,0.32728650986943103,-0.043131627932890985,0.28293940707557713,-0.15162379859085715,nan,nan,-0.029386085907475552,nan,-0.8225402493187615,-0.5094710060167339,nan,0.5654914455399864,-0.19188646745022062,0.1621747022626488,0.13758472254290338,0.2715543866697994,0.41466310433620357,0.28622268438907655,0.36341945941003534,-1.5683163714249984,nan,0.009565836071929915,-1.1838634065574758,nan,-0.06818938017784033,nan,0.6877124201913133,nan,nan,nan,nan,nan,nan,-0.26770209937036643,nan,0.3632763531463179,nan,0.29402991561332903,nan,nan,0.04498484363727945,nan,nan,0.24807035163793945,nan,nan,-0.7316129064729109,nan,-0.015997312906850653,nan,0.00350446231190721,-0.7332709944481682,0.8051866928345923,0.8264936473810945,nan,nan,nan,nan,0.1456712632402331
Left-Hippocampus, nan,nan,nan,nan,nan,-0.18056318729497334,nan,-0.10432565287302076,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.5150142560351522,0.2701768148922175,-0.7106757533793582,nan,-0.14308298739712108,0.08772678712403154,0.07773725200122983,-0.03856155841160285,-0.5419245953269404,nan,-0.38399475616277606,0.07153162386211655,nan,nan,nan,nan,-0.10173658432835199,0.8123222935150396,nan,nan,-0.08737748299787859,nan,nan,-0.5981105844030126,-1.0804977978367756,0.19087664316218436,nan,nan,0.0704406156064958,nan,0.38453004734582347,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Left-Amygdala, nan,nan,nan,nan,nan,nan,-1.0023286631715405,nan,nan,0.3648941868502038,nan,nan,nan,nan,nan,nan,nan,nan,0.08381014598158461,-0.3094244471902516,nan,0.7274458992964209,nan,-0.1145564917467423,-1.2164710805872607,nan,-0.8642173010900709,-0.849282046531242,0.5283958249875386,nan,nan,nan,nan,nan,0.050250082674884566,nan,-0.49640906615247926,-0.4083462378976405,nan,nan,2.0255944738777583,-0.43367350688321016,-0.8626790556103522,nan,nan,-0.6542536043894919,nan,-0.03256288653823682,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2504222498832563,nan,0.021832820116547285,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.9806941553894801,0.08207589382752525,nan,nan,nan,nan,nan,-0.4886820269304247,nan,nan,-0.3123635846204144,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.4253079605783443,0.34487446578915915,0.17174284891284905,-0.4649790114084009,0.04953930881959034,0.3868135629472192,nan,nan,nan,nan,nan,nan,nan,nan,1.1134482980532625,-0.136942549183524,nan,nan,0.40111499130174294,nan,nan,-0.2205095919996858,nan,nan,nan,nan,nan,-0.27471736770422633,-0.38034969244515343,-0.603043162061419,nan,nan,0.44720772448280893,0.014066838341175497,0.9623197710901099,nan,nan,nan,nan,0.10745555218783434,nan,-0.16245603257501282,nan,nan,nan,0.41735928572087255,nan,nan,1.1218516204993865,-0.04428431624421571,0.20116656970048555,-0.28843089853602555,-0.4608237641452029,nan,0.36265439896736723,0.469650793832369,nan,nan,1.8679186036379,-0.018532253129925295,0.6742072724369397,0.372109995879291,0.3379589990699176,-0.2305847502659576,nan,0.7832680064482677,0.6157217127278543,0.6609114430573353,nan,nan,1.0065551566303121,-0.31906751798665084,nan,0.04879235234490424
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.10572859683304123,0.10558447848127694,0.060184670557649075,0.08484754986254532,-0.5624426721423879,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.2054546030661117,nan,nan,0.1409577333840957,nan,nan,0.6118218231745478,nan,nan,-1.9532801102826007,nan,nan,1.550739794949773,nan,0.528183801171892,nan,nan,nan,-0.07614984451036871,nan,nan,nan,nan,-0.017704934085214372,nan,nan,nan,nan,nan,nan,0.3817738954238872,nan,-0.877764548692588,nan,-0.7079750150086005,nan,nan,-0.3192254820257856,nan,nan,0.45086064041005114,nan,0.42081147614942804,-1.230553729910021,-0.6633411591647352,-0.6089088947680107,-0.45665189494091596,-0.7403093061170657,-0.6633857678390458,nan,-0.3523992066890445,nan,-0.2814571863240107,nan,nan,-0.9940078802694939
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9397337283235764,0.6125586748589583,-0.017926323550874056,0.38699989358430625,nan,1.6904571326567674,nan,nan,nan,nan,nan,nan,0.5425066729069009,-0.36836197411574323,1.455045879308603,nan,0.9151598037709094,nan,nan,-0.3671506084528787,nan,nan,0.509932073547068,nan,nan,1.096734732345198,0.052169238766676285,0.33567526836620704,nan,0.6392163874827086,0.19908538291901992,0.9113084951617891,0.28745155521453025,nan,nan,nan,nan,0.2449433901911939,-0.3710075108010803,-0.33917140049949174,1.3538586459747664,0.12129557785389533,nan,-0.3973216821735432,-0.14381809354207514,0.2513304269342806,0.4248199933135688,-0.2829832391521408,-0.350581420253622,-0.3852567063162497,-0.19334532056429785,-0.008673857973293916,nan,1.474112517852293,0.15855028135659324,-0.42447576612542354,-0.16055271916482267,-0.48955725946822876,0.799475685888029,0.09477278663978682,0.960217448547481,0.16999809290383316,-0.31366240253164934,-0.78604649963524,0.8782493021523975,0.4081826697072757,0.2846179093750528,-0.19263626911837228,-0.5667236651100133,-0.7606290359452407,0.1561550314741502,0.4559353882682592
