# File generated on 2024-02-04 08:53:52
# Number of participants: 80
# Number of patients (alzheimer): 40
# Number of controls: 40
# 1 datasets were included:
# - NACC
# Effect size betas (regression coefficient of the linear model including: dx, age, sex, intercept).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.009440603120289187,0.016881910108854332,0.015195036519419496,-0.054257973820039294,0.00580592029521814,0.010234563230292629,-0.0031602719026935515,0.0026455201115215374,0.006569905265359194,0.02412965188027512,-0.011212871586343582,0.03188003748998652,-0.0678489739510917,nan,-0.02108804825431855,nan,0.005519825264741615,-0.021702018607348127,-0.006258240160875058,-0.024949087726580214,0.010690618425056177,0.037824508956668196,-0.015305436032175455,-0.020060782241073622,0.02641391130715806,-0.012464780562916085,0.013328054908266157,-0.026236731462878422,0.009312478986964908,nan,-0.006546370709627432,-0.03483092147695252,-0.007124071112177405,0.0013839292818145208,-0.017515438831671223,0.012063877020362695,0.016072088831144526,-0.027362339753223056,-0.008275725923405114,0.018925873365311506,0.011593019608031769,0.014791202854989704,nan,-0.010872433447117408,-0.01019270213904484,nan,0.017335807657685227,nan,0.020135059524798667,nan,0.004840107775328751,0.03887186571646727,0.03469558420866406,0.0011180308515272065,0.02375295855051055,0.02861167947168936,-0.017748172592181647,0.00020350981137528707,-0.010476113729680922,-0.10052961476125633,0.025049192719551257,0.019787508323309323,0.003185426046239053,nan,-0.01308479153818028,-0.019816940935958916,-0.013116080790320207,0.0077107108234969295,-0.019750703932086264,0.007859413296791407,-0.007717821937920392,-0.023481512737532413,0.0030798465631411364,0.023683336554860226,-0.00629210098058532,0.024696570899153947,nan,-0.021299123492002955,0.027110576202548368,0.11385052939814251,-0.004214420073918356
Left-Caudate, nan,nan,0.006988828595098131,0.013318601988461066,-0.023970292034995466,0.013259823253187213,0.011273818536251078,0.003918975006309605,-0.006059336404730696,0.021388320954311556,0.025838828057428605,-0.029243593981162705,0.04782615677827354,-0.0182144604329465,nan,0.02340085229149424,nan,-0.02181107816219879,-0.04440585314824119,-0.03472127722373375,-0.0159291621322948,0.024838233440289504,0.01793820803674597,-0.016318920992755143,-0.018862198414114146,-0.0038442283926609353,0.013831790802849653,0.04079578759356614,-0.0291601589457007,-0.012352422665835576,nan,-0.028848912159356067,-0.04582186287027289,-0.0319541969588404,0.0003286768140940791,-0.038353175218549064,-0.00404363426837362,-0.014216277267325687,0.03366856416587495,-0.01301476840866544,0.0032829306668296404,-0.006053347132352269,0.005053353295636432,nan,-0.020941205887399034,0.0075640355991154875,nan,0.010963351934043478,nan,0.026026463633349258,nan,nan,nan,-0.0013982714467282364,-0.006376287153335733,0.041080608537104046,-0.001077649223297723,-0.038219183297166254,0.008163031594918279,nan,-0.012184203884493986,0.020523340463039105,nan,0.003745298379912296,nan,-0.014538860101642702,-0.04060195514727469,-0.054233255776752656,0.006119063407378057,-0.0033768413155055074,0.012012333877808595,-0.016212419811079237,-0.012644458614743339,-0.018383504634615737,0.016841799983775815,-0.00790079327400477,0.006124490427430058,nan,-0.017093468648449926,0.01154281969390571,nan,0.004167225384968807
Left-Putamen, nan,nan,nan,0.01787244479396613,0.013992530862235276,-0.046398906164668755,0.00818945471950653,0.009537150757086046,0.009426230818251433,0.014063923248030935,0.022746903221886317,-0.02109546642052442,0.009555875255342655,0.014761557506854362,-4.179211056979708e-05,0.007122205616291421,-0.019823570782904917,-0.012905429156991596,-0.011487484233050512,-0.02789994325374303,-0.0228366430260481,-0.02017978939078788,-0.0018333034060572261,-0.022146183177309244,-0.019635526327075246,-0.015558194743421445,0.005443437080017983,-0.018895736955128372,-0.0006106720735642805,0.010152458191195427,-0.045051926181319604,-0.01856560191037401,-0.034553358403485106,-0.015594964882117283,0.007844043247356613,0.013283942112905912,0.014960155029304575,-0.007255343619603475,0.02079762896002182,-0.014773584682145948,0.0025807098970685276,0.004078435087882432,-0.007724279996721027,0.005537716951764959,-0.015876896888876918,-0.03207533293414699,0.035821473566634954,0.00855904492073915,nan,0.005541130852096503,nan,-0.010148803488365006,nan,nan,0.03684541794118294,0.0053808807502214815,0.032345446559907766,0.011528625314128967,0.03163719407901352,0.02378528706892843,0.0057521959590906965,0.03291168544997836,nan,-0.006040203905273299,0.010588368972193014,-0.0008669236285594527,0.00020360465693591327,0.0031804351378805053,-0.008925929309438498,-0.01767790633671965,0.022040013034223937,-0.014695694545770209,-0.02261210459484855,0.013915184476186912,0.01753331002599168,0.004068425159476003,0.01361688955682199,nan,0.005915296417209819,0.021288434379843353,nan,0.010537036230194608
Left-Pallidum, nan,nan,nan,nan,-0.014736028988941911,-0.03509485580655282,0.0036284005047056956,0.017201765042850363,-0.0031619790150995085,0.024716333464363704,0.03236710499344762,0.0019214541402726528,0.006955432307291347,-0.00157233036775461,-0.036865252508913,-0.02291875861086167,-0.05135779108448457,0.010823560470775118,0.024910108497018326,-0.02496402464432626,-0.012085121305885835,-0.014001546090452196,0.012534161185869282,-0.019814058526447027,-0.017610367362470788,0.036919787368231115,0.003954924119235446,-0.006415732702854547,0.016307564421062008,0.017710856744752018,0.008802835919083773,-0.015162918050577578,-0.06267350922135888,0.01796041739004528,0.0037993766555357122,0.025136164439216818,0.011196357658627955,0.0028756351112621532,0.0019085430947254356,-0.019177684094813862,0.005202511007857371,0.00799385449287784,0.003445800740102553,0.07207299787857192,-0.024363021437409794,-0.010139682864139486,0.09672567229494172,-0.004515000216471924,nan,0.024566104436735375,nan,-0.02022811597464184,nan,-0.011684432236490856,-0.016580796199051045,0.022771765224962767,0.015749870750298024,0.016585415366741012,0.001601720205562396,0.0110635289149611,0.002389767139364297,0.0336326095542891,nan,-0.0184150151163282,0.00889993498704262,-0.01253087547857965,0.004614195545943084,0.02985423553343298,0.026779732201698655,0.017013760376995566,0.014667208151960159,0.00029257581979085054,-0.028907202798221402,0.0013929375854659545,0.01044518478682832,-0.002890336180158927,-0.0033082279708127314,nan,-0.01826283723117341,0.011142290079938985,nan,0.018917718535787904
Left-Hippocampus, nan,nan,nan,nan,nan,-0.04508327543342366,-0.019493695602790243,-0.03983184273290016,-0.01594663316150912,0.030369930231430763,-0.021827629976980976,-0.021065933580811606,0.0005340076113280662,nan,nan,-0.04988497110882451,nan,-0.012806748717357768,-0.06472172716614824,-0.021822732799450982,-0.003385993518603448,0.010461654061026839,0.008150171219186285,-0.006280392458072047,0.02207110722075211,-0.023183855936777454,-0.030963182591351626,0.014904098226629461,-0.05044792714979879,nan,nan,0.014337244503348084,0.026449042582599152,-0.0038457462607527845,0.013300715791718024,0.01671332363265342,-0.0026015272644437384,-0.007753694311845673,-0.054997370443721265,-0.008461691073810229,-0.0004924975570040362,-0.026335221342143514,0.05014807831233473,nan,-0.02376721940890417,-0.03436790574095545,nan,-0.03192006211242574,nan,nan,nan,0.01647643382154532,-0.054291509934246224,0.025578415727758957,nan,0.07465703321143284,0.021747471404842435,-0.019429883870566024,0.043325087154834505,0.01511710223071107,nan,nan,-0.0044092623826662404,nan,nan,nan,nan,0.03304498120500713,nan,nan,nan,0.05592479350332327,nan,-0.006747178445651836,-0.012561353145922076,-0.01384357695229979,0.06947089655174092,nan,0.009771556405645629,-0.0011522318537565545,nan,0.006096385189296482
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.005156874863630634,0.017296100286058703,-0.035507824546409446,0.007251822826782733,-0.0025343727250646156,nan,nan,nan,nan,0.020235092743219184,nan,-0.0008211168577680835,0.0034247051987340974,0.020107513385064456,-0.005352041838381591,0.00480419599498472,0.016187253427280897,-0.018757236420809082,0.0034997463527416516,-0.008968184416168338,-0.01762814975059294,-0.011350060840035982,-0.006891266144677971,nan,nan,nan,nan,0.015992815427779455,0.00248584846783127,nan,0.02183796697012754,-9.661690521421031e-05,-0.03539360217687905,-0.011243366448867117,0.06412407028402367,-0.004861006500146891,0.03491019762058813,nan,-0.012812972575955522,-0.014576867893983611,nan,-0.025097259059091315,nan,nan,nan,nan,nan,nan,nan,nan,0.02708334808986018,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.043019630324624754,nan,nan,0.04911733666076671,0.030801031862939747,0.015991028903015018,nan,nan,nan,nan,0.03000794956375347
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,-0.046629929782039226,0.01784185727775992,-0.021361644249054814,-0.010852009956530349,-0.08732449342856415,nan,0.01640614128228335,nan,nan,nan,nan,-0.02854962137917344,-0.058424699435660934,-0.009913116449013886,-0.0028158954549250535,-0.015373965698057376,-0.02119857965081032,-0.002137898745842023,-0.0020112700332851822,0.023161425415990023,0.02278950864928455,-0.06753253710910663,nan,nan,nan,nan,-0.011505776333022424,0.032911252694539504,nan,-0.017836337696623072,0.009309391148329358,0.022455555198694646,-0.019724920701904212,-0.04092950937884735,0.0036437954827617776,-0.026016451643980948,nan,-0.0076261989328002084,-0.018149373694469898,nan,0.010957372309507529,nan,nan,nan,nan,nan,nan,nan,nan,0.009035013247778357,0.019248149854001678,0.0008670510692954825,nan,0.008847877533226722,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0208738186773327,0.06028041883829234,-0.0020244189771253178,-0.010482129475101673,-0.018827851807571634,0.025983059360492805,nan,-0.017840178677720083,-0.017157921725848173,nan,0.023176826134697234
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.0005856836413065291,0.0048396155837665605,-0.008478632160295409,-0.031894242460927806,-0.01909153667695907,-0.026287849694587476,nan,0.028798779366114132,nan,0.05842052844792909,0.03170166466443048,0.03341254415428446,0.022304679948915256,-8.43419718240884e-05,0.02916492260234555,0.012749386072931293,-0.003772682807493259,-0.0706494283683228,-0.056230476249965966,0.019274073031839666,nan,0.009001191117106332,nan,-0.009761122244187518,-0.018514399958417183,-0.007830731815086735,0.015299729395618572,0.0017032303171452213,0.0006291254458046998,-0.01135140852293639,-0.014588158748782073,-0.01885615218171117,0.010962193696131795,-0.0029958072779789724,-0.0026310314624154807,nan,-0.01400286853305402,0.017601839152084804,-0.0668118175562574,-0.027413306633220648,nan,-0.020600824797491143,nan,-0.023853355394883785,-0.038712692698265466,-0.022433594477788258,0.013493888481377203,-0.009855139487753886,0.03145872008180966,-0.015923690874050735,-0.023358753287710116,-0.04725765711063785,-0.028446738293767482,-0.009448336850610967,-0.023581034608057962,0.010053860396694729,nan,-0.026777844834920406,-0.041977102832718965,-0.02371822190710841,-0.0022917899673544485,0.010149130709509997,0.0093660355014977,0.014823595838896303,-0.024727104806952595,-0.016131636983303683,0.010899228026049985,-0.0015487972466327045,0.016696230076840016,nan,-0.014101006009141178,-0.009718532681104737,nan,0.0071290557210442135
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.007838967436505095,0.018150807837971187,0.00422862968267403,-0.02744899053327784,0.025376805400394428,nan,0.02182265082248912,nan,nan,nan,0.04450903751675044,0.02199348844990699,0.02564581193141971,0.01083148585508485,-0.016371988227863076,0.014520193175999094,-0.0242615125190024,-0.00787249860778756,nan,nan,0.01243181134530186,nan,nan,-0.019543454611491887,0.027020433310288583,0.03200213646598465,-0.018946794551809535,0.004460778643770158,-0.018278925201239228,-0.024399634536666912,-0.014547569752350702,-0.03005182667034128,-0.011008449260014555,0.013914016937144582,nan,-0.014852057671285153,0.02307681623168557,nan,-0.019134687816553236,nan,-0.009685507072876926,nan,0.01925020306176793,0.03349838685515234,-0.003952522191946596,0.04607708767850166,-0.0029799407266009976,-0.010325736373458126,-0.00677097123502266,-0.01796191096852379,-0.03535121017967858,-0.01884844352396586,0.007905000837764603,0.012409164228082307,-0.006821450062877449,nan,-0.019657448338636235,-0.024315435917429736,-0.022059024287124494,-0.029834021454777086,-0.02853170664181072,-0.017075533260870072,-0.001352879336720616,-0.003214818822651482,-0.0163191047170364,-0.02224261738880729,-0.009883480371179679,0.034841206646185216,nan,-0.02388138972895449,0.005202935086826179,nan,0.02455919978011202
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.028293806056875887,0.022069760160117205,-0.0012402658864629852,-2.3835385053726037e-05,nan,0.006951850621755433,nan,0.0067191810645657706,0.011368800881712014,0.05768661642110781,-0.0005287815997876017,0.00649231492700141,0.027360652733028113,0.017176062291072127,0.004594873941640096,0.009809569090834672,0.020193262835723355,0.01977432692136858,nan,-0.005027176415756365,nan,-0.024058720521513356,-0.009975664542759865,0.028502287594811753,0.047917648781966284,0.007656429249445632,0.030395965748754996,-0.0045206739915886,0.01143219021109455,0.0017683144405935226,0.012775721120089498,0.0016708830784549378,0.0016662905339822041,nan,0.006024416379685723,0.0038188777116619633,-0.04259010530751783,0.023216615117917342,-0.008984623675823852,-0.015349924417755173,-0.009814975741266134,-0.0030193140857060295,0.0021850123100614458,-0.0019605108565940448,-0.010689438792810563,-0.014651186002972336,0.012218307865754837,-0.025909878701312852,-0.005366687802814164,-0.030665118790460615,-0.005459087372697623,-0.020431753143037523,-0.007013697288406721,-0.015071370731138662,-0.018550103293522836,-0.017104610369049974,-0.020921258034129895,-0.021334259206756447,0.0034141026927907497,-0.03195392016552083,0.018379061432786493,-0.0008725405717889676,0.022909705348389917,-0.011951045322843893,0.012525820403162595,-0.011103573643768452,0.0049632448886277585,0.0035117446793905415,-0.015196360291785015,-0.034445705137007294,0.009381076601188452,0.01284963558956546
