# File generated on 2024-02-04 08:53:56
# Number of participants: 26
# Number of patients (alzheimer): 13
# Number of controls: 13
# 1 datasets were included:
# - matteo_alzheimer
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.055992678171713196,-0.447988953987893,-0.05848570329728434,-0.2677067890599842,0.4012151280703159,0.15486989547471794,-0.4326150575146792,0.38179067213316903,-0.03501390972943222,-0.33061302752556493,-0.405495003548238,nan,nan,nan,nan,nan,nan,nan,-0.4001852582029192,nan,nan,2.432366354340965,0.15121313890120208,nan,-0.3048825541527113,-0.2037937021700036,nan,nan,0.6932161094748053,nan,nan,nan,0.17402523780280513,0.2734782746351609,nan,0.6332567477921516,0.9987926667717361,nan,-1.0066130104661921,0.20055309705624538,0.8056366852359056,nan,nan,-0.5259667492634964,-1.064582271958745,nan,0.9796095643237616,nan,nan,nan,nan,nan,nan,nan,nan,0.981247505143973,nan,nan,nan,nan,nan,nan,-0.7883690950663221,nan,nan,nan,nan,nan,nan,-0.2777437941623664,-1.3173091973965887,nan,0.3241653413178088,0.2523416361908765,-0.9131671165122827,nan,nan,nan,nan,nan,-0.30630348248940664
Left-Caudate, nan,nan,0.7557242072251396,-0.08284972144070217,-0.4987475927862737,-0.9412293955924563,-0.7509390886652448,0.10127041406625249,-0.48670763811487944,0.36256842852407867,0.07948807972556667,nan,nan,-0.6666451480751735,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0319862812742893,-0.8170747062019669,nan,-1.3954636041901856,nan,nan,0.9107543686490682,nan,nan,nan,nan,nan,nan,0.31036370843020916,1.1950177689882218,-0.4277835490975911,-0.6438675195661007,-0.919870539697482,1.0802986604961302,nan,nan,-0.20384731374419787,nan,nan,0.4268204908129705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0193644747733535,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.526636737948693,nan,nan,nan,0.03925220908046798,nan,nan,nan
Left-Putamen, nan,nan,nan,0.5215091039167992,-0.38658814847987044,0.1013662649772057,-1.0026089903281954,-6.200948134991218e-05,0.6225715425928621,0.1528582620271914,0.23792872629184744,-1.624529518126036,-0.6136676705259198,nan,nan,nan,nan,-0.005830791320753343,nan,-0.09261669825445099,-0.31603517835645406,-0.21079362481176014,1.1298621379805265,-0.7907458221812305,-0.6783757108233038,-1.6569230458568407,-0.11906294800957305,-0.41462383453139434,nan,nan,-0.9715067175285688,-0.7102398593236043,-1.128137926421583,-0.10474487624622274,-0.049075592010775416,nan,0.3625479606330687,0.4484825032299851,-0.061456928396979076,-0.15973800469636754,0.05886667435246606,-0.0406956816093675,-0.20009080974725826,-0.072662924980376,-0.4256148591264224,-0.25002474095824045,0.33683557626077204,-0.48846533069279047,nan,nan,nan,nan,nan,nan,nan,nan,1.1976865709677307,nan,-0.7778005844190389,nan,nan,nan,nan,nan,nan,nan,0.010214606198850514,nan,nan,nan,nan,-0.39744158766197146,nan,-0.2126710137506244,0.2554907278921757,-0.2607625351689893,-0.03883088779893957,nan,nan,nan,0.2784727026681149,-0.8942746321625169
Left-Pallidum, nan,nan,nan,nan,nan,0.11805082740680524,-0.8641909213796275,-0.1668342411030102,0.821899411785335,0.30395482884625924,0.3329728858386555,-0.9175671439080254,-0.5311813463334383,nan,nan,nan,nan,nan,nan,nan,-0.0882858883042238,nan,1.1820011480021047,-0.8381372813569845,-0.6654182263377459,-1.4682657033679472,-0.4925248818180894,nan,nan,-0.29575455037554355,nan,-0.889835596311502,-1.2105138212058129,-0.8963123349216044,0.019806700738010538,nan,0.282328513246942,0.5129170611245729,nan,-0.26282849894560883,0.08658502089234908,0.27750977510709474,-0.3436525745644411,nan,-0.4709605695472541,-1.2060397789007784,nan,-0.1145649975115768,nan,nan,nan,nan,nan,nan,nan,nan,0.9866770169454457,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.7451755173592062,nan,0.18595768999903542,0.3448553571809011,-0.9121458818925141,0.025494208379776315,nan,nan,nan,nan,-0.5253231031858385
Left-Hippocampus, nan,nan,nan,nan,nan,-0.5629446722170502,nan,0.257266312141236,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.11403170569244292,-0.8536913881265347,-0.4136818445319397,nan,-0.7530674465067737,0.36033566543956436,-0.02581743286603875,nan,-1.4182520977683626,nan,nan,0.5332885364512809,nan,nan,nan,nan,-1.1578643500364005,nan,nan,nan,0.07039657519970716,nan,nan,nan,-0.13198445856716426,1.063753270717383,nan,nan,-1.3789636137061576,nan,0.062487911070754756,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Left-Amygdala, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.2838959813597197,0.15599594475081086,nan,0.03257780179917022,nan,-0.46336142058901103,nan,nan,-0.6266137311982476,nan,0.004672568149999244,nan,nan,nan,nan,nan,nan,nan,nan,1.0456103853774674,nan,nan,nan,nan,0.47430894130234225,nan,nan,0.3735475162112921,nan,-0.05943101463034971,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,nan,-0.5173166065742149,nan,nan,nan,nan,nan,nan,-0.3003484396756981,nan,nan,nan,nan,nan,nan,nan,nan,-0.9120325173236109,nan,-0.7229005577778206,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.2980988547008617,nan,-1.505416764543738,nan,nan,nan,-1.5376016180071237,-0.3268553617402031,nan,-0.4025581826920167,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.6920999336561023,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.09879258537899614,0.34437588151412024,-0.3284209286919332,-1.3408157833050334,-0.78623432807606,0.0009430209961275118,nan,nan,nan,nan,nan,nan,nan,nan,0.9887457645001473,nan,nan,nan,nan,nan,nan,-0.32697436702377747,nan,nan,nan,nan,nan,-0.4256838429468462,-0.7742412321592226,-0.29750895271268246,nan,nan,-0.24049322891142474,-0.862194583689024,nan,nan,nan,nan,nan,-0.7117938318140025,nan,nan,nan,nan,nan,nan,nan,-0.29787129370741644,0.822784906763619,0.11427430810419713,nan,0.8650814952906578,-1.1457135536243301,nan,nan,-0.02199228908227237,nan,nan,nan,0.3720112774713847,0.5330856470340932,0.21582617711118116,-0.6024789984664574,0.9080718803689651,nan,0.0720782265212869,0.11937620987965497,0.3935702565398933,nan,nan,nan,nan,nan,-0.055151067711340415
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7919515212908633,0.6767404575853531,-0.344627233787409,-0.3467127036728224,-0.4582311171734316,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0098104717019138,nan,nan,-0.40538744336784094,nan,nan,nan,nan,nan,0.5731153572065024,nan,nan,-0.6879377302505812,-0.488024615621958,-0.47514085869996353,-0.6798765423535272,nan,nan,-0.8573293693045654,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.3128934032974573,-0.7225222285620796,-0.13617255702667364,nan,-1.0703352652526947,nan,nan,-0.061573869490514965,nan,nan,nan,nan,0.6470638720911065,1.1743402855670313,-0.6958994854386833,0.2740800516586009,nan,-0.161395705939646,-0.7499848047873537,-0.19761015441422572,nan,nan,-1.134851762073188,nan,nan,0.29792108476745405
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7495372620535877,-0.8919561610126696,0.5818755257257812,0.43434948523301087,nan,nan,nan,nan,nan,nan,nan,nan,1.4762419211940954,-0.18554606233869267,-0.4811202743688954,nan,nan,nan,nan,nan,nan,nan,nan,0.9091392505924115,nan,nan,nan,-0.6456549201558264,nan,-0.1977452749563389,-0.3959189358731931,-1.735750552194697,-0.31533466767990975,nan,nan,nan,nan,0.1541273452375266,-0.10062935754224246,nan,0.14310484087451114,-0.18465327206116142,nan,-0.10889782623966429,-0.33308662682765516,-0.7300049302647545,1.3800280579981858,-0.7488112397822221,-0.2866491629019769,-0.9691367512394422,-0.02270143184723307,-0.6021919528797663,nan,nan,-1.276208619497985,-1.0323973151814714,-1.0517328427110917,-0.7684476901438854,0.5518684086044263,nan,0.84778345605966,0.27678918600615854,nan,-0.16489314826052456,0.20386159770031545,-0.30871392566399325,0.7553158903852698,0.4200175513764211,-1.032498912469372,-0.0020619735455638995,0.05410475612331943,-0.7045800493865467
