# File generated on 2024-02-03 12:11:29
# Number of participants: 152
# Number of patients (anxiety): 76
# Number of controls: 76
# 2 datasets were included:
# - HBN
# - NKI-Enhanced-all_parts
# Effect size betas (regression coefficient of the linear model including: dx, age, sex, intercept).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.04031567156491838,0.055159131475001476,-0.007143279076521871,0.06604339801621453,0.03909250823601663,-0.0038099304033039462,-0.003937361601349926,0.004406839350042389,0.06523198787118913,-0.00041160848806821463,0.047483061392466545,0.06805406383593114,0.005897640048327705,0.0818814029200701,0.05466701459900881,0.07369758930990372,0.022807286916744236,0.026227341550635802,0.08554287756827975,0.09343196384771937,0.07118414755969425,0.03004753876287972,0.08828647363700005,0.05655396636792619,0.055310919785502004,-0.001681297449830236,0.07745828869817788,0.04582925702147911,0.07855270311906744,0.0944565651604209,0.04908165785324321,0.08588141614375604,0.010844347718892831,0.0814519659411687,0.04604418019649439,0.09983374857075394,0.06069535509959351,0.004006580553793555,0.027173613688607275,0.06986279843860099,0.1114323546601421,0.055027352377358146,0.10235969495680504,0.002960314653971812,0.03099364810762692,0.008630716484283483,0.030924900857547143,0.061204372452244825,0.0027804235353211136,0.042670353578837895,0.06193330916659017,0.027680671673141394,0.0804722444860499,0.07973810332374649,0.11667567895923114,0.018655286567383293,0.08663903805432467,0.056169978409689916,0.03257737537292652,-0.007664386414447079,0.09153982685820487,0.051886519884612126,0.0631458587617176,0.05172122418738649,0.045840420169241995,0.02973099794046448,0.00618297564371264,0.07311503975112349,0.04493619087437381,0.09823099049734255,0.02854438428543813,-0.0030642637923100997,1.186379430984192e-05,0.03499296466790501,0.0890425643106934,0.07540143302043457,0.06580875188314159,0.029310056288516306,0.031010392494302874,-0.023248809770068646,0.03224887449252859
Left-Caudate, nan,nan,0.021835025407543368,-0.014988857866647236,-0.001996192479677463,0.0028918036550576037,0.035206778266819304,0.014981237622323207,-0.0016222868968691696,0.007749328243996135,-0.013447644639764104,-0.009124911183777477,-0.01540261857660496,0.02905707152867454,0.023915549065633864,0.0027841726260888384,-0.0065088711583904625,-0.01944883952081014,-0.011744901015765155,0.007835017167970566,0.012691414527950837,0.013779643194671358,0.004368767143201844,0.05685486233005824,0.02758455246707973,0.004928584954302805,0.001235654455498965,0.016258440723643176,-0.010323720794337988,0.002612847584897969,0.013995816536241532,0.008556431595133434,0.02488254158924815,-0.026023057823769215,-0.0026331268287690473,0.0008522709543992238,-0.004398861665215952,-0.013392720581375,0.014746785735489626,-0.014224917100711013,0.018249714365164243,-0.006469778378298913,0.0037024242031079117,-0.005019397812764869,-0.029881416015187724,0.011022912018485218,0.0049486232003982345,-0.00964924201814565,0.005244756468112038,-0.005468404086087924,-0.025368835358458047,0.01121735011794596,-0.04556992570129356,0.02150033197390095,0.00986010549252407,0.04341950765841216,-0.018053308197784668,0.07451587824722829,-0.01046596703561997,0.0020654831971013425,0.0037224307697910084,0.01176358104955028,-0.01549436731931758,0.010459443832301999,-0.006948370407932221,-0.02526046735135775,-0.009484665262215362,-0.034145241916386695,0.0003893179822426972,-0.005525933520404758,0.007003387835164065,-0.024411378130044875,0.0009321528392943686,-0.027741931138990567,0.0053399949291834895,0.01586608995332307,0.014177691977525752,-0.0007048858110315458,-0.025013716792392907,-0.029084856670469252,0.017452517632386297,-0.007827468131736884
Left-Putamen, nan,nan,nan,-0.056669160897051096,-0.010242590341423706,-0.016593668830135293,0.03176558701806982,0.040034367870538365,-9.55287716325152e-05,0.009168285399807661,-0.01406812270774371,0.008531923248533512,-0.004902298959856682,0.02532635677279351,0.07736844400322085,0.04378734712287834,0.022746150548107462,-0.0016471361593510178,-0.010933929965769537,0.03937502055481803,0.06181548581579232,0.05720419919406702,0.005528812182808672,0.07973471124489401,0.05810851479891446,0.016506968675243615,0.012928670815658115,0.05569819216419104,-0.015395129164354825,0.043024993960580675,0.04386639506247229,0.028448253172761218,0.05815584198760273,0.013207657779727145,0.06345015116175909,0.05898352566781957,0.05263669802328278,0.04775283760377772,-0.0026956920397755886,0.045204801894953475,0.02569123547716385,0.08072499199513825,0.03916000192577958,0.08097534907865589,-0.00908221765766785,0.004969282901011525,0.026063723027595204,0.027249556194926212,0.09353920481520372,0.04639361156347067,0.009459210560213102,0.04413795511354899,-0.006833180349768039,0.04508205357269487,0.0787144476897864,0.07073006254024425,0.01855065579112397,0.10141491517489556,0.06095948566326131,0.028340655151815563,-0.0016695177876062692,0.08875105021682969,-0.006752428345871989,0.08101863774239135,0.05102353497143585,0.013233179342319594,0.05082670221930536,0.02585610597552146,0.04299850921334179,0.08035970672746383,0.06984534107880659,0.04150054181514551,-0.015768587853317848,0.048191669168248054,0.026018349776779977,0.07156052360892845,0.06094166694029082,0.07389320395038816,0.0344263709720124,0.021435673785305094,0.0016305826573442656,0.024600054417724063
Left-Pallidum, nan,nan,nan,nan,0.015055882594365197,-0.017395854658905332,0.011511764230301943,0.005755141098862346,-0.05854036307330103,-0.016301747104530015,-0.013977807736042295,0.00822166344998487,-0.018594090876329676,-0.013084221399955758,0.04265230378652556,0.01924512240021904,0.01146164742616476,0.002574024704579765,-0.00942368854310394,0.042947159820966384,0.06034435784359841,0.04151514696389242,0.023913316628775334,0.0807617871349976,0.04790392585960605,0.022883281417888545,0.023184487242356527,0.05653956209821486,-0.010849006925291624,0.013842080611592037,0.0057951551854149175,0.030096826601093123,0.0026941752994085505,0.018917995366802175,0.02050448858247847,0.0180769040522688,0.0009909593674406205,0.024268205473672644,-0.029443515473276064,-0.013578666184510865,-0.007836003243049453,0.05734346888064672,0.012103742624970049,0.01996761681435964,0.05686339747650174,0.0031819338611771423,-0.006276850759075454,-0.0022538144392046963,0.05652469243214354,-0.006728259934894498,0.007562210916107672,0.03090603153727017,-0.024440364786217885,0.01783707262039617,0.04655293492235998,0.019762759409165498,0.019516537432654663,0.09210658128495779,0.01783532632442636,0.03060166055295954,0.008757146686419403,0.035961770761096995,0.025358190633522057,0.0341693437424504,0.0017146812461705436,0.004689055612454501,0.002019594936462223,0.031994184395272914,-0.011151731598756437,0.01189834716746607,0.009321770402981612,0.013824114661855671,-0.043377851242547796,-0.020924994190605947,-0.02221590401854875,0.04931109561194598,0.013816016285530211,-0.003882448041380966,0.06969934515451905,0.01704944242560058,-0.020578942658491774,0.0008669554897422023
Left-Hippocampus, nan,nan,nan,nan,nan,0.024089257149269315,0.03245757795914913,0.07345102164784634,-0.02766334627229047,-0.0031887590896990665,0.025136274113937127,0.02266350489296815,0.02885500694083285,0.03323109374380613,0.02727423771382614,0.011392003503999657,0.04540206024807793,0.014191113467311408,0.06574683217595514,0.10050883813203529,0.04302422890513657,0.08308615883660046,0.0723774927130755,0.05485444127544359,0.050305005046917185,0.03599751169142516,0.07652151084746116,0.08242386023978159,0.04925417521532249,0.031955345667354536,0.027926994150019535,0.07317640826096147,0.06407498751491923,0.0027057064917729635,0.034136058246083095,0.060700326646951575,0.02436099735405409,0.04420341198686381,0.038054925299657406,0.0341840243922562,0.04636034926760366,0.059278450792310276,0.06487630637954143,0.04727691147829771,0.048020718254690696,0.04704008470012015,0.02137427190003521,-0.010481385106573062,0.05197738989737072,-0.01417895865609349,0.013060990438069381,0.03095408965348254,0.05930053352772021,0.06918589302975776,0.0401279617605791,0.111579729342302,0.06091694281042579,0.0682013154406023,0.066104337723019,0.02111802733119923,0.04613712160729645,0.06395708267119839,0.016978249478412123,0.056484811177860444,0.0015631883155972947,0.07844869923941805,0.04968138057647422,0.015756286533957282,0.06262574937300416,0.05128547503636707,0.03955462393307325,0.01986780920007703,0.025097932084814503,0.005654000354101886,0.04413411780259499,0.05901958049037851,0.05298048923318758,0.04317140799120947,0.04433877770033024,0.05594589220390677,0.05319009751815358,-0.0004973214828223199
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.01991302540752777,0.04161930152853574,-0.03447371035264081,-0.01353909197848022,0.012902420938951628,0.019382272778820674,0.018508507897919448,0.017215362093709295,0.03235650161105366,0.007911066293732873,0.02446966637041758,0.045830521404792574,0.0019771906417484523,0.046790909879937996,0.057964419405325374,0.0690310581709312,0.05941775968709033,0.042625771733404136,0.041303348341710004,0.04271045243444509,0.03707425930745759,0.06343552801272108,0.040321637574945474,0.027466097828836068,0.01950717955651747,0.07473854263462797,0.057242055312758285,0.029209688254543655,0.007935924915849662,0.04391556580143833,0.011735286447720374,0.05271422088411398,0.021796380373916867,0.031547930978962364,0.039672179284535806,0.07010700786636989,0.014719725363326226,0.042050530187777074,0.003941480718870928,0.0015784221315619192,-0.016479079356781234,-0.009919149289158236,0.0223858176100551,-0.004219972729969697,-0.009285352176894088,0.06747159812277148,0.009710344441852604,-0.001545678241732945,0.03687217480457868,0.04264250728267533,0.038940711065719495,0.04986566554887718,0.028640089205698216,0.04241297751994594,0.0022830877438580143,0.040295123245465574,-0.01848467596172649,0.05136270222156675,-0.012304388597777233,0.03020477381157738,0.019508013789229072,0.0355304465218673,0.02843010515554892,0.03834591548306972,0.03821128123867437,0.023677786366072727,0.0012778079655237176,-0.0037518245124639775,0.001653350167567909,0.06703663508972428,0.020546926586570237,0.020173843081665043,0.0003321268572012382,0.02631990330185871,0.008868949629970323,-0.017590052721512473
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,-0.04555037002813148,0.03770039885838021,0.030266402514895395,-0.04528095036227981,0.010068326573512079,-5.539562505312567e-05,-0.0438141911409917,0.0029331613447820715,0.010066442588881732,-0.007740255997730159,0.015864118609689,-0.010143327723191502,-0.004052129096335391,0.006517810451843698,0.005685837638908436,-0.005016383579644801,-0.012625732094445181,-0.04726609609102386,0.001042750209209374,-0.03721929879672684,-0.03868535766321681,0.0017942368132431727,-7.573322047530432e-07,0.031093312115880133,0.006139371784646641,0.012819133541835098,0.00047386728576475045,-0.007153823715069985,-0.0028014848996000194,0.011469771186203213,-0.0038749462377358997,-0.0272605185828738,0.001655048424461531,0.00823590236443256,-0.010691425015120016,-0.006027356115876426,-0.0038174793052805993,0.00035279525245845056,0.01066788711650446,-0.0007068826593788961,-0.02736142827784003,0.015287217761959168,0.019284123583276972,-0.0018077693331203265,0.00768692477527356,0.020104795395922352,0.0025246437983795934,0.00720816450368575,0.011601419547643545,-0.016666543448472345,-0.0018749706347979192,-0.04266233444256192,-0.0313411984934534,-0.0635475380014131,0.0017392225617022992,-0.00024324452114515464,0.011435306990698868,0.01136779453204677,-0.03040036559382397,-0.011745884452384897,-0.023763222243927296,-0.0032567880364527675,-0.013868754361404707,0.032919260784593604,0.0012749333216157126,-0.015210249078254603,-0.03960413693703333,-0.012654724679382499,-0.0005488417885799751,0.007423533089724333,0.007239788749355281,-0.0002255224945902017,0.02038929049590781,0.03131010285288337,-0.028517464983903375
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.011632425981831597,0.04775889643772863,0.0016354321365277095,0.04081757084011858,0.06638423962048295,-0.03455832090686011,0.06823253794637238,0.0053732198951062906,0.035556271336094555,0.0005514205469143346,0.05549858517965737,0.06979091281569837,0.056163149817856375,0.058306254392544415,0.001428246340432792,0.05598652972154411,0.028896337814394702,0.045592587067346035,-0.02179368733010044,0.048495345950095754,0.02779463488042384,0.04472821303948773,0.06151673236368509,0.041166072829858805,0.06218487239986227,0.011259224472677732,0.03884995811575186,0.025233906668114696,0.06902296241275606,0.014230532731589538,-0.015071645761389656,0.01943148851100343,0.041967081080476754,0.06191898338715186,0.04390893221920837,0.06874127032259479,-0.030284632247689784,0.020665474601357085,-0.0018934125017104411,0.017142808567768186,0.04274098797181893,-0.028189902535915863,0.03993270978508462,0.05522964136243019,0.042195060394439605,0.06689438466782337,0.0570868897440042,0.11588087034888885,0.001198323294524152,0.08114149362055553,0.052436242046234774,0.04431287698223969,-0.0203585154913487,0.07599054913089844,0.028062685309019467,0.027862486242053355,0.06371403662587298,0.05854076353602995,0.045762118428496354,0.015795170782008983,0.04419674475169433,0.025379414200530147,0.07628015811167947,0.0007163553372791084,-0.006287009299673963,0.01600111018850729,0.03835916006015797,0.06477752408327682,0.05951362316938472,0.05848063217668004,0.009672302793957343,-0.0197680134565272,-0.009653708809957208,0.035412562086327044
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.009464414358680782,-0.05222579120817795,-0.04393995708969834,-0.042309342832332814,-0.008124515165797498,-0.022255889141275652,-0.024328639356952633,-0.029885730785412647,-0.0165600782199385,-0.017860639383821566,0.007579071097704737,-0.0006058149539372547,-0.007850999469010408,-0.00778738295480447,0.029913521510243183,-0.005800427642592076,0.016211058603144188,-0.030520273446957076,-0.016181508546951696,-0.012864654394447124,-0.034970178145760186,-0.014583065815574241,-0.0207239407722831,-0.017008031619129855,-0.01824034560934489,-0.03266264791364087,-0.026084753061886314,-0.03475615503634225,-0.013628830769667123,-0.0075900179014698164,-0.027617922920897417,-0.02887128003393027,-0.007526396394133999,-0.04494109835993557,-0.04045508922555277,-0.03947019343569211,-0.02888896589038093,-0.028641944137255997,-0.04557567213739867,-0.02346302380442972,-0.014694256833102829,-0.021415250956217838,0.016714292282586623,-0.04027491006590675,0.004810764017568913,0.010307379507931614,0.028054690834111985,-0.01742477188718894,0.044802429860722005,-0.002780578055211496,-0.002195149502317932,-0.01750051730724863,-0.0005077698828105678,-0.03395693752158726,-0.01808026863838923,-0.008579576333244595,-0.01121978884263079,-0.015882514073847807,-0.01703395358407012,-0.014704994324384294,-0.017122015360349838,-0.013112739970557548,-0.007768192387607744,-0.017025055360513824,-0.007794755941632554,-0.0182667396703284,0.011116463147091369,-0.029919417858486633,-0.028158556318649688,-0.014051011271395585,-0.048281760549846724,-8.495001235034544e-05,-0.03074209467264114
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.013631474252474001,0.0024460147403416004,-0.04237091775334231,-0.009831677691413694,0.07507193575951207,0.06291884305801011,0.004955868172552272,0.014654728119081589,0.007349678122595843,0.036488272937517545,0.04165017537305164,0.036374474548713495,0.0029158049861701335,0.06501093260851175,0.03165107792174507,0.034199758420863875,-0.013573739079656272,0.04658758667625685,-0.0023142931471027382,0.02731987766880604,0.05767602429579234,0.014848154903913032,0.05606774010429883,0.011103788782275775,0.05613293507005783,0.04908066306081327,0.05327970134417812,0.030862612382594915,0.01466738952737034,0.02771185471799607,0.018229623986414836,0.06204512176438096,0.03359255584792704,0.06867765090510976,-0.008881886782239388,-0.0096456710174868,0.014567877362004199,0.03448753549495376,0.06951952615504393,0.0593419147689902,-0.015742601356652765,0.050910285170513894,-0.010812580701959501,0.04249230675802646,0.045472785389151206,0.06737918504674563,0.011416727851262926,0.08183812081929796,0.03378606578036259,0.043587449004368534,-0.03660610128451139,0.07303402453273321,-0.011814923662647903,0.05934998162989867,0.04295880486506107,0.0024462825678162907,0.04918836999851282,0.02535916838275698,0.047944161699177645,0.07409303707796713,0.057969454196294345,0.01786504841175129,-0.0028766403073188906,0.026263237087261568,0.01619623096245209,0.06740898527966868,0.05501797827490127,0.0652667380755802,0.020556567487876768,0.011606534580819793,0.033307371779755644,0.028619866408672676
