# File generated on 2024-02-03 12:11:29
# Number of participants: 152
# Number of patients (anxiety): 76
# Number of controls: 76
# 2 datasets were included:
# - HBN
# - NKI-Enhanced-all_parts
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.22071238243502142,0.2925596586349326,-0.03878741792342666,0.38374447122770944,0.2019052827199554,-0.021098434705017762,-0.027794439661037472,0.02188039724447272,0.332184611524278,-0.002307338566085494,0.274170203396703,0.34988254650684164,0.030376617214003844,0.39318804595635615,0.2876823390118078,0.38840478261770545,0.12124117150226915,0.14178664822676107,0.4367309131496198,0.4730664118363735,0.34369775435771965,0.17233183575984393,0.45725945217693004,0.2945386885016627,0.2920550621208848,-0.009146955808268513,0.39082792715791376,0.2552176740505219,0.37582319306776674,0.47212446120802365,0.26267122377555174,0.4504753153003789,0.057607129372784845,0.35634983745945503,0.23413499624098688,0.4462029045373517,0.33157999451176556,0.020557066734806256,0.129930980756949,0.3438518441147341,0.5434508432540779,0.25192736619295336,0.49552753989022574,0.016097575080678172,0.18029922472928037,0.041218283954340226,0.15577701035637365,0.29282661205282356,0.014564355518758782,0.22191743564406752,0.3419017638429142,0.14518677898490168,0.4135882127976276,0.41228165811229617,0.6166937435489606,0.10391628160692593,0.44712696479305897,0.29850209571390884,0.16763944147410825,-0.040311308094607465,0.46268646591164697,0.29118499720218877,0.3092159373005028,0.25614154512202386,0.2503042011866843,0.15369041418605262,0.032590976275556426,0.3324616517042197,0.21066910853225657,0.44540539029065046,0.15338791872443505,-0.016089805052984362,6.00951100430287e-05,0.16750311819297176,0.4613223261923743,0.347602121657537,0.3116656307444653,0.16380756436553262,0.17867050631875903,-0.11767436842387878,0.15582559586662129
Left-Caudate, nan,nan,0.11598727811718972,-0.07361579224511149,-0.011329970589922758,0.016431287997637958,0.18527642015842327,0.07756733839174386,-0.009092979181311377,0.04252714322499465,-0.0755859634108557,-0.049756194824616,-0.09410036169516935,0.15556993377104442,0.12886681951629014,0.01340582102740213,-0.033167353740532333,-0.09763171259425968,-0.06459190980084803,0.04184787978871772,0.07067245270441445,0.06773263367973953,0.02375740109881411,0.2833053397405871,0.1373456790133094,0.025065317051385223,0.006414832498172114,0.08902598181790516,-0.056763933488773836,0.012297360537119014,0.06943103166585783,0.048148228042977914,0.12270643958295181,-0.13610011022964177,-0.012046074987748475,0.004059179391885247,-0.019439443153932087,-0.07033819600448925,0.0825281046413061,-0.07268501038114646,0.09076207352275457,-0.03287135175893441,0.01958740583745614,-0.024095385286851657,-0.16099972009285957,0.06476461903171538,0.025235519858937457,-0.045395594465986074,0.029219031456075895,-0.02526516949535954,-0.12970408928061777,0.05666071239028728,-0.27590782234018124,0.11183393559758567,0.05402595630416963,0.23181254008834418,-0.09443794151736742,0.3874712111998361,-0.05350792975004987,0.01014138814376686,0.019234977938540884,0.062155135847571236,-0.09059642426555775,0.04927262343357549,-0.035573609114609515,-0.13221020174146303,-0.049295087672005224,-0.18421814331421452,0.001796509694031682,-0.024964230926730755,0.032931995739395016,-0.13013061545597,0.004741041250566385,-0.13743608811266358,0.025829477723436436,0.08037401450721587,0.06818575184389242,-0.0032821031133130466,-0.131474367072674,-0.15458090544250988,0.0870261070296187,-0.03648401604481991
Left-Putamen, nan,nan,nan,-0.26925750468388915,-0.05847742550738279,-0.09430649489390189,0.17927480141510502,0.2093894439513897,-0.0005168790236565255,0.07772750911405146,-0.08270386122723399,0.04517417247519788,-0.03092876142053007,0.14567520063448708,0.3794192044974345,0.2295515894504664,0.11292108370811282,-0.009157091697173358,-0.06301760108626471,0.2260492200503406,0.3200312096515388,0.29499149346658793,0.03025405856066592,0.40978772056796,0.2867230602954179,0.08463927947783943,0.0655676611652645,0.29458109074905525,-0.08487587357201827,0.20656625263481979,0.21526033416279133,0.15513089179942702,0.3024833920186771,0.06993879278934283,0.27487421114666294,0.2916367541115917,0.24523731632963905,0.2593720549277856,-0.01425037467689951,0.228986436070617,0.13318074994705176,0.39854802939080125,0.18234493644810185,0.37267267739909465,-0.047323709500721324,0.028434136379386896,0.12670731151219736,0.14014709769888659,0.44690706319361406,0.23515389988263302,0.049732623739390185,0.241065465026083,-0.038815340593957276,0.2632910019557669,0.3895509064541138,0.3848753729753462,0.10194422124276574,0.5079309398108577,0.3256809767802507,0.1480005283207919,-0.008296595637107058,0.42077750285572324,-0.03858625822761784,0.38470422067704707,0.2647892547113039,0.07215731115383733,0.275612792375725,0.14039326662544457,0.1939806658566061,0.3908897777369799,0.32761172215851403,0.23156491609559318,-0.08234057478341249,0.2547732032612177,0.1293227676128286,0.36572718385687036,0.2864354447277647,0.3544091034232921,0.1921493697767275,0.12067751313070507,0.008946918832907736,0.12689077955560138
Left-Pallidum, nan,nan,nan,nan,0.08245326554717265,-0.08973772017948299,0.05642297362299079,0.028131561780662867,-0.2996043861750048,-0.08228153282455472,-0.07989879430838545,0.04253728480559654,-0.09792806157003783,-0.06785380812994107,0.23775950087160724,0.09303503411907417,0.060321219674882146,0.013542490971809854,-0.05296327353514234,0.24940946736642475,0.34630193864518877,0.2270167009191663,0.1455058888990646,0.47706751811515336,0.24722656366996665,0.12796271317815733,0.11810433439866103,0.30848781481837734,-0.05943524843853331,0.07281418747500021,0.028319351387670354,0.15059650052270443,0.013760662058102544,0.10997391402546428,0.09346211259820882,0.09237353108468298,0.004384102456648249,0.136443323881062,-0.15054008694331705,-0.06249447998117355,-0.03968069099038236,0.3125620068417319,0.05810985268375449,0.09779305110411243,0.2875646236686652,0.016908316613050322,-0.03248669044398752,-0.010514630379198985,0.291597855271287,-0.034127498431620315,0.04402857145180103,0.16418778287445226,-0.13219065062724394,0.11228491983168343,0.27018320119933076,0.11780333895656868,0.11626512169983547,0.5363050483564783,0.09635254346657397,0.16602917539621817,0.043101340935676274,0.19030074902347874,0.14951798228337865,0.18843538096488766,0.008799150241486746,0.023919248797414114,0.01033125876396879,0.18176365947565107,-0.05143630370597364,0.05924471880387234,0.04273613308488292,0.07521014420399837,-0.22390868141727607,-0.10760733281756153,-0.11990261305236147,0.28253619905261557,0.06584656074200353,-0.01919359076720878,0.32701388567759027,0.09749066579756803,-0.10360821195920432,0.004178545416125534
Left-Hippocampus, nan,nan,nan,nan,nan,0.13638214897155929,0.15860633656964357,0.40574704556081415,-0.1553772513106242,-0.018280901582006747,0.13397411567443007,0.15521575536383111,0.1563163890270743,0.1596572686035335,0.15048881313979884,0.060228412034148616,0.2284961855737034,0.0766690435377215,0.27305081123886565,0.5496840950580513,0.22683477213419792,0.46146196293365066,0.4270372711527818,0.2767859458633332,0.2584504905448908,0.1949856218845683,0.4018322376310983,0.4508984705774713,0.25999745181311046,0.15636644333744798,0.1426267504347192,0.4041178157489904,0.3358762407309847,0.015204713914921572,0.17531625636870782,0.3029916180846803,0.11683053044842683,0.2392591459944919,0.21160633006025895,0.17222456479266093,0.21934879933053128,0.28715741706844833,0.36426277653003686,0.21306986123995364,0.235757367627618,0.23825452587687845,0.11583079508013522,-0.053800630590200356,0.2691950628543846,-0.07247041893340292,0.06477635075584087,0.16511886425151115,0.2578214166608797,0.3763159871032304,0.21670840573902936,0.6314221596603827,0.3448884426188374,0.3605899933429831,0.33003911965216326,0.11829720847346853,0.2405971175715581,0.3624712396053652,0.08684727982609192,0.2795663302355287,0.007397809108012244,0.4415940534192729,0.2437979809663836,0.09127850637617003,0.31914448631549586,0.2553841323057063,0.19160372713205107,0.10673214810368367,0.13840973058809666,0.030318810520264187,0.2181719616294373,0.3031672807209956,0.29410771710407524,0.1975688036522905,0.21878691644348025,0.2707373567021476,0.3021691405817783,-0.002474186552654356
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.09858695787559137,0.2159312559272072,-0.18959943773049162,-0.07484782816817179,0.07006313198882584,0.10403336246331878,0.10458629181367379,0.08926002471237317,0.19071006464079582,0.04689454611489011,0.1282335409744115,0.2403448241969727,0.008605297535986985,0.2427735068423356,0.3146896667811538,0.3806076376026758,0.30680566298918516,0.20195797791876735,0.20344491925187935,0.23001004699164598,0.1906442879567801,0.3647059221423169,0.2078742161310041,0.15671967889625527,0.09746364975245377,0.4392410304991976,0.2946767923099699,0.15714710320374622,0.043993422382017304,0.21837072538473112,0.06224471767945001,0.29524853893114267,0.10841697037044913,0.1553046260894647,0.19881510005891967,0.3653639996489917,0.08873445227056934,0.2122109816605554,0.02041163694876156,0.007808038607252882,-0.09768152890661637,-0.054081872824997414,0.12428190711745939,-0.023910903485166987,-0.053594556703500836,0.37525562100234877,0.045095610449624846,-0.008208019946697795,0.20968087389630893,0.2381365448245086,0.19897841912057046,0.23652088838334318,0.14461822243636208,0.21591931396033034,0.012049028599452545,0.23158566435693467,-0.09744388139799276,0.2832025484942873,-0.06726320458657968,0.1869238393006022,0.11072188203200858,0.19535100410809478,0.1539767304684195,0.19621904376101593,0.2126573757329693,0.13587567864627273,0.00670903675617098,-0.020096444534954547,0.008719281626263212,0.35803979395014773,0.1212473414933867,0.10659399108396728,0.0016516901607099297,0.12607188262903582,0.052549391320642555,-0.09356630227504666
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,-0.23882753475409996,0.19105717647174505,0.17823123462604812,-0.2527232448902379,0.05062899362055669,-0.00027841095213260587,-0.19881652214632942,0.01812565136822822,0.05994600069646344,-0.042044279285614265,0.09809669246132498,-0.046399507209364046,-0.022867765111291898,0.03456086017969487,0.031509009272681895,-0.032626473703902086,-0.06872079354825225,-0.21914851689116685,0.006433458701334909,-0.1651491107675969,-0.21988404350383864,0.009990376981654718,-4.603506914467972e-06,0.1897181548439399,0.030181117430506596,0.07035134065095638,0.002917420672061675,-0.039007444393002785,-0.01732922085869946,0.0629468539610421,-0.023513579750204953,-0.14359237513245937,0.008804047798378546,0.04294893845436692,-0.060771894571198484,-0.03405038972370824,-0.021906808511244887,0.0015757503250729483,0.04847376800586946,-0.004148393923975887,-0.15508259866717453,0.09487774923017145,0.11083451631286832,-0.00932239232804638,0.04503847106096933,0.09296928725026933,0.014100418286263773,0.03889107896606148,0.06756083350784409,-0.10704692456589658,-0.010480398025969555,-0.1993318323641501,-0.18566095422600498,-0.29716864282077643,0.009566353344094544,-0.0014071221231321744,0.06483431260886727,0.0704718447653177,-0.1482181543299448,-0.06252194246444182,-0.14447617963828957,-0.017190047205847023,-0.08561985239514448,0.18088517623672612,0.0073544206922609425,-0.08147495423804643,-0.19992884613687387,-0.06543273195658311,-0.0029894926137055623,0.03989525674922192,0.040077427803743945,-0.00101600222733419,0.09662036488442279,0.18002915425655214,-0.1609844763446303
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.05708546485437246,0.2580438295294517,0.008494183050391945,0.22297794821919908,0.3574531018059363,-0.17713757338734043,0.3461792651745191,0.029240568042277086,0.1814288944956535,0.0029297328438820662,0.3016069398469808,0.3646058123365919,0.27951947631673363,0.2732132285665124,0.008544984930719859,0.27420307791496534,0.14131990710279532,0.2320348387783904,-0.11314503714476275,0.24745242967730294,0.16000805593600603,0.22330307307551672,0.31183247136770914,0.2160708689277337,0.3327623893661502,0.061529031583145696,0.1799702666752737,0.12155881253661059,0.3254766154357845,0.08084832683362103,-0.07805433192392235,0.09229188908821656,0.21073436488976627,0.30469592863838907,0.21242330250597802,0.34504829375377977,-0.16278404028253285,0.11172631787345351,-0.009559496022810253,0.09549465879488875,0.21270670193509092,-0.14558952867851194,0.19424079891190413,0.2896134726906318,0.21485491412750554,0.3383831256607924,0.2854773726480863,0.5715236148772425,0.007017841041576259,0.4010341397068534,0.25824053543242004,0.22418219034371242,-0.10027506618987016,0.3882119045337947,0.1686746459464107,0.14161838653092335,0.33107157615367355,0.31260915860256927,0.23228967649667998,0.08237414888130046,0.20456848769141414,0.1194795452777896,0.35199625721771866,0.003978682588563454,-0.0326656334458253,0.07698010919200499,0.1953705153884816,0.3198565704860004,0.2883462011484432,0.294910026903736,0.04975942675623983,-0.114253349281102,-0.04862093878465782,0.18891325147246418
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.049069720338807944,-0.2741659890824709,-0.23842740200654058,-0.22970353116019265,-0.04226994582255229,-0.11690260420796156,-0.1091710131060049,-0.15180024983003104,-0.08452212649988305,-0.10415073807094251,0.041095428529143954,-0.0032287183382066387,-0.04099637067027293,-0.04356776980142745,0.15073999991049794,-0.029090307717057583,0.08160305587513994,-0.15265093776087396,-0.08143030872818346,-0.06706788338007423,-0.16088857807619433,-0.07130969628996187,-0.1206692655433233,-0.08825610699504052,-0.0917849257873744,-0.1492935329099611,-0.12477645763275107,-0.1523695501884923,-0.07195106394346307,-0.04215485600565104,-0.14920299493323416,-0.1429235847870051,-0.0357660048778739,-0.22142846857329104,-0.18467277006481436,-0.21266403359282401,-0.1595922178362764,-0.14307476438593464,-0.21461368835360184,-0.12267230672166062,-0.06584289626315357,-0.0993634305548797,0.08390400243884061,-0.2419191171775852,0.024771590343799315,0.05330010163338681,0.15098015468105058,-0.09240437851648242,0.23393788937490753,-0.01449529963165629,-0.011072355678397363,-0.08957008660609674,-0.002611479668956427,-0.18142102276109331,-0.08294373435493578,-0.04015427662896511,-0.06727826900099643,-0.07961061330947097,-0.08820232351305042,-0.06327250899394578,-0.07447671942099342,-0.05548756839244894,-0.038386704004320246,-0.09022905482332234,-0.039382497537360416,-0.08837956172740692,0.05303065948379433,-0.14941366128635208,-0.1219036445854443,-0.07368988275744613,-0.24951617302973578,-0.000425316853481694,-0.14297784871219113
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.07631368671975308,0.013085203667173691,-0.2631802903008111,-0.055695939559139165,0.37642440401417043,0.3404589748063686,0.025989394764172967,0.08570800480966055,0.042300476146257114,0.20555936112182946,0.22663304180499638,0.19079877678143886,0.016532555308785068,0.3479554623886327,0.15818516680975447,0.18067208493208803,-0.06990138030718816,0.24877471604032605,-0.013387721752980145,0.13708485196485062,0.2870039121275546,0.0845216138045998,0.3052238854725896,0.05918168299225979,0.2530839814089586,0.25629562082624824,0.2566670702203839,0.17484478597676126,0.07876563600061365,0.14503387337313106,0.09459052365245567,0.333811000302476,0.16962013984425633,0.3281118783440046,-0.049094868241718576,-0.0572393687476045,0.07294955659176958,0.17185660439037323,0.34321257933883503,0.29962277951129,-0.07948001236423179,0.2821189217961729,-0.059263543659354004,0.24495848079700924,0.24027305633005364,0.3681431866059564,0.06622929031975115,0.4361937359136738,0.17726298889407247,0.2325431445792392,-0.18806881783077647,0.3619951167328991,-0.06607748192011571,0.28349253293836985,0.2212136366764709,0.013076529912171057,0.2542614533423281,0.1437097910392411,0.21192359537974437,0.3570901042869024,0.27593677767478275,0.10249199656406144,-0.015284294198643734,0.1364330424468646,0.07972674117294543,0.3613634257710012,0.25909822436123014,0.3109152803306301,0.11079182108378322,0.06564866354450205,0.18081803127039217,0.14900362051993918
