# File generated on 2024-02-03 12:11:36
# Number of participants: 100
# Number of patients (anxiety): 50
# Number of controls: 50
# 1 datasets were included:
# - NKI-Enhanced-all_parts
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.08011514190725653,0.17560008152567097,-0.1291859522029735,0.3799924175279131,0.22463107296907509,0.020446608160057493,-0.05658365964805702,0.03819518595502465,0.33689383841388887,0.11332169436225516,0.449334006434522,0.483225399047741,0.06538455129793758,0.32355448904581197,0.13211718531743188,0.4940002701252372,0.06815524693051978,0.20151224864172457,0.5179327139591279,0.42708527271094887,0.3458388441142979,0.18449857205133371,0.35845640199437995,0.22212751298428568,0.35109708370538445,0.02619434071786877,0.35371602190229134,0.252302651506607,0.213938992175707,0.4073554571733571,0.24280084154298734,0.3919727272008968,0.08482644624857072,0.20191737082221545,0.17232209600293627,0.33008288429411475,0.37393892780888577,0.020560608515971877,0.1380400294603095,0.3744764695661525,0.4984145363675264,0.1732124536109905,0.440559207054621,0.08168578579937756,0.2361445726384642,-0.06525037476329065,-0.07776150682464338,0.14116321461972073,-0.07219689569825916,0.27226200035606807,0.4101027381118373,0.317852432533397,0.42727666376367157,0.42114279057245896,0.5922481864602416,0.052459759085132125,0.3305469674836679,0.25633446720032904,0.2414342677775733,-0.03898741295974522,0.3093889959384893,0.20033926855440115,0.18742881563075217,0.1735154381895269,0.20475885359816662,0.03979278097050952,0.04832066077837987,0.16850572463397995,0.1465621374708571,0.3791997325627382,0.15556767922194853,-0.0909092214234974,-0.08545709972313463,0.1427720953909394,0.4336527186276774,0.22301050608871453,0.16177800010190624,0.18519687211965138,0.12126073964469217,-0.25938245926187664,-0.006545690224122274
Left-Caudate, nan,nan,-0.11314833377549297,-0.058969982712543036,-0.32965480361645855,-0.13325045511646372,0.08363853578579208,0.0675582932842284,0.09317958828199487,-0.14865813622303184,-0.2039802074735898,-0.24513309174679634,-0.23979551596022514,0.20903710626016125,0.007533085537041323,-0.18419297921308733,-0.18308974011564844,-0.10398377681690464,-0.14595133770256952,0.035301721636363054,0.050186193101645286,-0.016120534848784826,-0.07054751244247653,0.40596778742042355,-0.008808003237743582,0.08667868402856574,-0.09954939966776709,-0.05123725908384958,-0.1483732620354662,-0.11202341426972594,-0.07961527994500467,-0.10465197617445962,0.01695480645345113,-0.04872144911131376,-0.2511905689480677,-0.105199010294314,-0.22833150124237603,-0.13876956439986432,0.016747014829863596,-0.07325343292092203,0.015006599306041679,-0.08097931623974518,-0.2999474078869232,-0.10040799210115141,-0.12285500020753766,-0.08684439090241236,-0.18988019098503237,-0.26314346611573847,-0.09140888071952873,-0.1379652561103622,-0.14978056268842568,0.06772516151954212,-0.4418309535291417,0.14600705408276185,0.05654623853280139,0.17011053937093246,-0.16029180094218953,0.4779087398257499,-0.1764978875396604,0.08540241066482915,-0.12353212743915123,-0.06745245720134374,-0.2673631148333084,-0.009826418141198617,-0.15457813451634794,-0.3246682993864485,-0.10693851052095718,-0.2123121551484043,-0.20269459467933915,-0.06180947532080269,-0.15447556757368208,-0.15780017632265542,-0.048824085198206336,-0.11702512126677328,-0.016441542506777537,0.024270694476199443,-0.2062920028202966,-0.10595269818749738,-0.14889541667511322,-0.445274762390814,-0.1352928476612218,-0.29199883219363454
Left-Putamen, nan,nan,nan,-0.2452108600707124,-0.1704706690777728,-0.20042534241721924,0.32038933768152117,0.25507621867240904,-0.13024817617962084,0.20715697475199565,0.14427477863655214,0.11888943532301698,0.0155281558157285,0.38499594308471846,0.2968339693443284,0.20257836730617465,0.21801906724832001,0.08955671499566552,-0.06917442387339026,0.29348613056376877,0.329894247002192,0.32918409307534163,0.006746558783164396,0.4108045292413444,0.2828626090391573,0.2379800468043886,0.031105147041129936,0.2648072450794857,-0.05548625091355843,0.02155351066824851,0.2714318459936506,0.07847299848064351,0.31639481649103474,0.19497100838200854,0.16420740998354233,0.2860812827088434,0.10437518607615671,0.2733712921449391,0.06321591960891743,0.19865923250823408,0.10900040659358941,0.3451167146420006,0.1670684667416209,0.42989418259331275,-0.030228434975187648,0.025443416646033015,0.26334065130801765,0.16693349875411873,0.4054134602415463,0.2578738165391673,0.04830632023723533,0.3275261383254086,-0.08816682732226808,0.2611294302327533,0.38409946724994737,0.34276122879343157,0.020125305420043194,0.403769430109032,0.3534269897678983,0.18406134023314433,-0.05555299215268433,0.43955636837869644,-0.13588213003591185,0.18844781695565987,0.3268254733459942,-0.016749735348858753,0.3373226788417768,0.14446313068038083,0.12426141100528217,0.31725450392798227,0.2580478099760388,0.2510698201982201,-0.10435749873489374,0.24332470739225362,0.07637158041303523,0.31154967409557305,0.2720361947622116,0.3026153743827784,0.2790498572800197,0.03040232442845629,0.007380605719463,0.16661136624725484
Left-Pallidum, nan,nan,nan,nan,-0.019770498020132705,-0.2822035033957012,0.1939737908972614,0.03474136061561786,-0.2085383399079277,0.006662099245063739,0.1437419991903921,0.06469189659407093,-0.19708275958600796,0.1906183046662479,0.28218807525642375,0.2083320185602918,0.24979953046807046,0.18753736352462327,-0.16660407927643808,0.24890335705647784,0.4590313464755178,0.11744416126642591,0.35784419838183645,0.514086437547273,0.3209008053954384,0.2996203601815574,0.1713739611892456,0.3837018146912456,-0.05750223219675676,-0.059818763022473784,0.029611251916467442,0.06873415077562181,0.004624883956152054,0.2464976291942772,0.007640157706345717,0.13923570622995732,-0.14211873151493915,0.3892072682523941,0.04922508300051703,-0.0290515777596782,0.073096515357233,0.3358087854162955,0.0843161041951975,0.14197581626829367,0.3166233031796831,-0.05164884883545218,0.005648986751739355,0.0701575215656766,0.3334340715036514,0.10009422821253934,0.26796879114456407,0.2659000741996147,-0.1576387101368704,0.04481840830823255,0.5036866053257403,0.08195797296972056,0.24203149199915458,0.5017888165541049,0.2670378125281823,0.28701807527924805,0.19858630345337622,0.2552590559353859,0.2333912863679833,0.0943287108478993,0.014568057987296414,0.048664149145608446,0.04088943973828818,0.2882923413197189,-0.11252696642146852,0.11684698446759328,0.0004555608769804281,0.3448296123914141,-0.02603568385600897,-0.06012534367222975,-0.02097604748371409,0.33270759267376987,0.1326480983948084,-0.0010868458268602469,0.3882896927685338,-0.031493725356342185,-0.10576836053791344,0.09228967788692705
Left-Hippocampus, nan,nan,nan,nan,nan,0.1987910009633174,0.051909014725489824,0.5828179893697376,-0.3845195779081846,-0.11917620645114402,0.2381467421061508,0.31136847281883473,0.12650082694064507,0.15230470025137127,0.17845419379753838,-0.03924099822366958,0.1863261617163611,0.12173247986218737,0.36337456621334285,0.6808134768271431,0.21040388148821723,0.4078665503665981,0.401205321757038,0.2952460765512029,0.19600679966200155,0.26043741094984585,0.32103992497168565,0.3996163632407712,0.28886673802495133,0.15757404776973596,0.09558159159919083,0.38510861704630656,0.2551191193650497,0.06787166067108755,0.27122035829267094,0.2733897313033887,0.13792854960478648,0.22957260572810448,0.044445787098934326,-0.03504366462680256,0.1092905919494525,0.2736826777954541,0.5058993082462455,0.22677647527057154,0.3085870428757194,0.29861988432331216,0.2634428912516536,-0.1147146556814198,0.3558786971413243,-0.18851471502628236,0.0364099824863475,0.17319586245314952,0.32112721683350626,0.4713212304400933,0.1970008235070878,0.5548008203145008,0.41984491472781155,0.31304335239586834,0.23169036506853632,0.13613817001339937,0.228379465249776,0.44285371753635416,0.14687733454636503,0.22008215045103027,0.10386466470191551,0.40486753026827765,0.2352869611870345,0.143995491610081,0.4295376139160046,0.24978913951853185,0.28627643948415965,0.16437396689301687,-0.10342131086598642,-0.17975209341894155,0.10564466734505565,0.2564139311145003,0.4814326201963076,0.2568919908383158,0.24654654722510944,0.24528768171573453,0.41260462436856093,-0.005340882064505029
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.1157393164045219,0.30824045070904393,-0.2467266285502422,-0.07618314147629704,0.0015831460438805558,0.14165935228926044,0.1269947055856169,0.15062552533690868,0.21321047550526856,-0.10512121409051503,0.01736732734746821,0.36642431227411126,0.02833999045362194,0.45396235331450346,0.36527054725937974,0.4529323009819043,0.3329437639029809,0.402879007006347,0.14706751823480754,0.4151344329373864,0.14049734230352373,0.3234184162171239,0.30383130837054856,0.18623273355896977,-0.1124221686558326,0.3967307139646132,0.12653882253894216,0.2674693645450404,0.21299965875765256,0.14565972079974115,0.07964857643003263,0.3212558600945736,-0.03240709269510202,0.057576861193172534,0.07878511951124291,0.5237178913895029,0.016657214680237835,0.18741064047379064,0.054356152250130074,0.021739295495590942,-0.0006943343553063596,-0.17349708200650857,0.12019505225776939,-0.12287554381879366,-0.2009670266816768,0.43586258762264185,0.13350565339359635,0.1179979228895638,0.20506104628882363,0.3000463951122394,0.24204589582370284,0.29322487488593624,0.17537525090760522,0.3993947075202368,-0.009610532000698377,0.30340761185137677,-0.18755166008581012,0.3515868460747487,-0.06623040811197334,0.1412577444614588,0.01786306021958178,0.31868489708047276,0.39361035812744766,0.14695706390700405,0.316832658899817,0.2372419999184033,-0.13458695829226378,-0.07092025934741449,-0.10870760984615975,0.42652744319520725,0.18989302891703802,0.14146652439605306,0.08470005239711907,0.33812928367959344,0.19203967434374652,-0.053727907692993106
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,-0.1691865921284003,0.14051745873252686,0.13092909027790722,-0.308207061829054,0.08723408405525013,-0.041235464043350496,-0.25102323999597353,-0.01084075422497956,0.024100009142316997,-0.0949973473585056,0.16236147741344253,-0.11031465566863774,0.05714729465686774,0.015548818019445588,0.07467880211121412,-0.14318922461875927,-0.04273450333680651,-0.2977484701154434,0.048041470346240546,-0.21142998114050657,-0.32079643679787795,0.0350717382046437,-0.06366391344266717,-0.01288811849579156,-0.014585829252224276,-0.0629844147331099,0.05589484179032709,-0.05815607049940337,-0.21449071651276974,0.05805843987970099,-0.10976792006220981,0.0232577541361171,-0.06225589177182538,0.015105216975778348,-0.07078154228444043,-0.1253130992139007,-0.05915650394771125,0.008027102601333833,-0.050187886631942756,0.06430562469878763,-0.18499939997350376,-0.034354786144104046,0.02787209841279144,0.01685293306077913,0.04052082550268024,0.1393301734273574,0.19390255865532965,0.08089276416279367,0.14084036123267718,-0.23420935828027678,0.04845706184560507,-0.2228595238999435,-0.15839602577214587,-0.3519460923435752,-0.04954325233100785,-0.014123080877692205,0.041780598855049395,0.006033124504747433,-0.18289222410833095,-0.2166262467239472,-0.1384797240742018,0.014427925662166366,-0.2506455621287189,0.18291095129732476,-0.04506121338485472,-0.06620351533520494,-0.24406331092992023,-0.08155762814843749,-0.041602053335166846,0.03478009590170052,0.018486379610004735,0.016022145406077173,0.24123346626013598,0.3867084257518824,-0.21051053522815938
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.11355369901168406,0.36366945838099923,0.14249323296772243,0.4717382332051263,0.47810494252333563,-0.006442942097562114,0.4405587969165424,0.01444323674426411,0.27651366059080135,-0.015757275094146674,0.4097365200867919,0.4628908442018204,0.2663725489711041,0.3025558829025765,0.1020768020749633,0.31504471329286116,0.13572273286672396,0.3868129713607545,-0.08451346983454687,0.3411503773603576,0.21213771720789357,0.2007816822992921,0.348940665857625,0.30198207765278917,0.3558461006304115,0.10485810086740188,0.17855245553220309,0.0901829043047333,0.33047686606373844,0.13008074905619962,-0.06907551568620335,0.1844365951246864,0.2581243205916296,0.345112195256546,0.313465271299967,0.4030693357324769,-0.09968309652620219,0.1500568482078085,0.0555692769191192,0.07846890487912354,0.16117944585459687,-0.19279988798923425,0.2606638461566142,0.35475158038043914,0.3779481856010429,0.526162813422359,0.3338116233209914,0.6487003985572255,0.00783512483617249,0.3830678417133987,0.29554203885983976,0.3096030147331506,-0.09303150786957136,0.3733397114350472,0.10696950585384955,0.17873639938585043,0.35281908111677945,0.3665923761602902,0.21612573488071146,0.13343722358845586,0.1674203252276038,0.18298667948527758,0.3649417692032186,0.0742034708105173,-0.04611800419461355,0.07891988701785889,0.2695627407945162,0.31720432668246945,0.35496644046409714,0.2605616558398087,0.0515871264188111,-0.13134820884555798,-0.08273131424381047,0.15607458312886022
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.15053036833600936,-0.2498830619787536,-0.30180690993900966,-0.2905068838083458,0.04649878597079742,-0.19567177617568768,-0.24524669311458833,-0.2987304213604657,-0.11046042637367809,-0.09855321580744572,0.09359794179453607,-0.030107627535002957,-0.03886507144134656,-0.2394458423513246,0.25340608392570035,-0.13104809940598453,0.11197809744956802,-0.281882646756441,-0.14822615722241234,-0.1672084957577189,-0.31552607329497884,-0.14644713997494313,-0.2604524040179442,-0.1773812621735304,0.018419106091827744,-0.2362746417553804,-0.22870395449828382,-0.27403668594706143,-0.17168327516245616,-0.1761098009814803,-0.16713483381498584,-0.253405860400549,-0.06314933165648974,-0.33093678434639623,-0.20982951710671058,-0.23950209647652088,-0.20184103972817408,-0.1273192791262984,-0.30150217727381284,-0.19950550681852022,-0.11749311896565166,-0.1399357856548226,0.0829894139814988,-0.2887899538541154,0.08780393023864559,0.03198085195553941,0.08373848760347154,-0.17730573548011927,0.2754713551006468,-0.11180683414638784,-0.012468362651873899,-0.2326891120911557,-0.17623139973031227,-0.3357321867180813,-0.1556154025285229,-0.12748665048697783,-0.33060160762046437,-0.1296330330081179,-0.09550434971844987,-0.10577523696317329,-0.08372814902304414,-0.16336291660176727,-0.06442889234304743,-0.21807634140020987,-0.03909863405900694,-0.15730345185852598,0.014762687341000053,-0.34197159740182514,-0.16228376007155626,-0.09722532704836112,-0.3588698564115065,-0.09084040642783599,-0.26178684977412203
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.03225721955671272,0.01763923862814034,-0.2635677017222453,0.037194661105424444,0.3516431246347646,0.290906483741324,0.04196895216996105,0.1404781297138413,0.12229859664004526,0.2137972906085656,0.09952181639890188,0.1784533845952672,-0.13103173379647126,0.42762182503354457,0.12124158699075503,0.27117231360223093,-0.1718559172889275,0.1562000465446831,-0.032957483131661955,-0.00519366422999624,0.3071602256168119,0.03181433036309174,0.2425640534798866,0.14956018425262183,0.18895380616529592,0.2017890838506401,0.1655772440254418,0.12221431883070452,0.06980893810014444,0.0976021191493099,0.0187770250581372,0.24568253264310427,0.16434395216752384,0.3394565861175503,0.01199687362051497,-0.101076984013696,0.19502201343307254,0.2543824788222369,0.2873862720281925,0.34098052942199286,-0.0940465174432781,0.31603672273614,-0.10691746604504296,0.20498884235985618,0.1580838112917811,0.2749431405364455,-0.11322799609469551,0.409136989536716,0.15035868645200684,0.21195501833657773,-0.297528577991409,0.2654397406268249,-0.2583252632832344,0.21751149687338342,0.2893787898380252,-0.06828290341604785,0.26626683679720997,0.13285923641315403,0.13467275033514167,0.33326424576600994,0.20789640023165415,0.0859528225766786,-0.10144701947973839,0.12167649869807495,0.015857933480149564,0.2850533153784331,0.1908286982834296,0.25814154369946746,0.15856568340807775,-0.09714509836406653,0.20398953584238683,0.18942935949238862
