# File generated on 2024-02-04 08:54:56
# Number of participants: 62
# Number of patients (anxiety): 31
# Number of controls: 31
# 1 datasets were included:
# - HBN
# P-value.
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.35551843407970696,0.13100547764866158,0.30740828558684136,0.3183174441058749,0.37487595181882105,0.7481678528118505,0.47306197282192,0.3115551032739022,0.4285821990332943,0.9128325109779797,0.05009838010277408,nan,nan,nan,nan,0.7475036066576196,0.12830114550670846,0.6254708871745969,0.5634576948847987,0.3620337572453872,0.08726252001104595,0.03357184698186948,0.4902598449723361,0.3034527842308527,0.10401724046968443,0.7860783921790168,0.3931075408922642,0.160048421855893,0.7193027106016032,0.3278343062396639,0.6881898358642968,0.3436687215731671,0.516769322085316,0.5785934120694001,0.19327725772730703,0.6316741649926738,0.9269012877847782,nan,0.6887385561568742,0.848077660167291,0.9610373111319686,0.015253454259210316,0.7450015656426413,0.181259387464493,0.9686215995294584,nan,0.37614949023240074,nan,nan,nan,0.4971132226475842,nan,0.4498249769439049,nan,0.06208032221635012,0.5129033494442339,nan,nan,0.8962548334687183,nan,nan,nan,0.030831057756173483,0.6934730394419522,nan,0.9071766518577631,0.8817490060146399,0.3246530274853815,0.859501174488437,0.5699933542073083,0.4916559562553249,nan,0.2702310385433302,0.90191860972649,0.6106355815733915,nan,nan,nan,nan,nan,0.29039777014954093
Left-Caudate, nan,nan,0.9905427519165153,0.2058089975715801,0.6298277678981956,nan,0.5273597831948388,0.4949639081223616,0.6528898534510215,0.3441921256588589,0.44224806241657966,nan,nan,0.45017684975925687,nan,0.38244087126140625,0.4772822493311989,nan,nan,nan,0.06626694756529948,nan,nan,nan,0.3184774484559155,nan,0.5428773079771714,nan,nan,0.8471872987563109,0.019705376668746517,0.9242254837374617,0.54622141308811,nan,0.08648231283878247,0.5177504486062978,0.9699828681337787,0.05230212572010378,0.5213821271901123,0.9192324341629173,0.3829897933664118,0.44901211761134174,0.3698550753958926,nan,0.2775399501521236,0.007008534894011453,nan,0.08336332346633803,nan,0.47647175542732245,nan,nan,nan,nan,nan,nan,nan,nan,0.2861268989556598,nan,0.6799873244947585,nan,nan,nan,0.18166190025008558,nan,nan,nan,nan,nan,0.9833458506496983,nan,0.9968880843193864,0.27056021443539346,0.13783118169729844,0.17260408353049445,nan,nan,0.9150252078257978,nan,nan,0.4319401464326762
Left-Putamen, nan,nan,nan,0.12736996710075527,0.8756229118197969,0.14056225302867079,0.38522758255499345,0.09092655462675495,0.18465296413031113,0.22830496470890696,0.2941894024863834,nan,nan,0.23677341351949643,0.06607450407515021,nan,0.1882369580489736,0.08762002549430413,0.11040443060693751,0.20436552663474022,0.871829768571906,0.05094570759494444,0.7709103440786851,0.40341335827929237,0.7693462598205303,0.9261119469377102,0.2086634464887034,0.6014736317806242,nan,nan,0.1967410230373538,0.9446515933045608,0.7109481603304744,0.3131329838423892,0.917784008089396,nan,0.6915100925513435,0.7696732973103786,0.017993399810516147,0.8332325307103826,0.8348334018410012,0.983838433270018,0.5045899046456781,0.9089356925051869,0.6964708690075349,0.5825393295973258,0.5577007417390505,0.02656993804741337,nan,nan,nan,nan,nan,nan,nan,nan,0.998518781899985,nan,nan,nan,nan,nan,nan,0.16414544229668457,0.6747285271881669,nan,0.2035718360800472,nan,nan,0.409677793352737,0.5793764648290309,0.8499582994051144,nan,0.7038175060663678,0.7474474825864587,0.8757961950759318,nan,nan,nan,nan,nan,0.5574349891104711
Left-Pallidum, nan,nan,nan,nan,0.7712099311194163,0.5416098141922623,0.11341775889090096,0.06950794786588851,0.5707210766220379,0.2635149321888594,0.29870848909378717,nan,nan,nan,0.008801132829574338,nan,0.5435600977401367,0.2802929229959973,0.6704870329619119,0.26200778828069327,0.5923909596434636,0.07936949349878397,0.8882158857692206,0.16897870978751311,0.13547963712285813,0.25035350367210263,0.15768115074353206,0.5068307127197716,nan,0.7870245692788037,0.9387007148909428,0.8665650903871697,0.7609067961114738,0.10763425596339761,0.8189008093309776,nan,0.8394071737699265,0.1783577712975846,nan,0.9298472217943858,0.8484917178817339,0.5917594434981006,0.3373610046734715,0.4036005804200299,0.4044586066896454,0.16990690757506463,0.6593918549800857,0.1533201874937951,nan,nan,nan,nan,nan,nan,nan,nan,0.4590953508341701,nan,nan,nan,nan,nan,nan,0.07756200011532159,nan,nan,nan,nan,nan,nan,0.24792964128479208,0.39486557798515776,nan,0.752154018897324,0.9712485394227832,0.37891244295738935,nan,nan,nan,nan,nan,0.6025503110599992
Left-Hippocampus, nan,nan,nan,nan,nan,0.2032175384913761,0.49149692482849827,0.5538592490589321,nan,0.3779558134781549,nan,0.9082359493572165,nan,nan,nan,nan,nan,0.016860659208274866,0.5695573375438696,0.9245880068444797,nan,0.3349704553574594,0.8260134153065288,0.19465795903669106,nan,0.9591582239393592,nan,0.2736380058611605,0.5686469820491402,nan,nan,nan,nan,0.8716631391139023,nan,nan,nan,0.6149079026644342,nan,0.006952059541284521,0.006348953127509704,0.2676019367013475,0.006281748924814651,nan,nan,0.8170410446404422,nan,0.4247680546262198,nan,nan,nan,0.26848112045999006,nan,nan,nan,nan,0.7871636774647418,nan,nan,0.4762996704754725,nan,nan,nan,nan,nan,nan,nan,0.8733101479502801,nan,nan,nan,0.3261125038279331,nan,nan,nan,0.5974899411513777,nan,nan,nan,nan,nan,nan
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.555526188905324,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7971968686547544,0.5543163613770454,0.8863318724621603,0.5026653935193086,nan,0.9386980745811002,0.7577755525611798,0.8120176195939605,0.838668819250164,0.9224128885346372,0.18019419422989075,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6301485738522857,0.6411676723134676,nan,nan,0.732725685533265,nan,0.11042104881548363,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,nan,0.0696687060967618,nan,nan,nan,nan,0.02700585885305673,nan,0.1884539079710981,nan,nan,0.592668416964707,nan,nan,nan,nan,nan,0.607560330340861,nan,0.4774327988653456,0.4927251051165179,nan,nan,nan,nan,nan,nan,nan,0.482052893888249,nan,0.2507617003699443,0.9439852825179653,0.88323264849653,0.10661215809118528,nan,0.4904893797121005,nan,0.4570264112910287,0.30361541082747934,nan,0.04987069008367945,nan,0.5382327793895951,nan,nan,nan,nan,nan,nan,nan,nan,0.5813974411857139,nan,0.03625604014556339,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.633384156001237,0.7889958817385551,0.126728398436122,nan,nan,nan,0.18009011202886016,nan,nan,nan
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.5366732504024825,0.26686147850689507,0.18310048207821436,0.28952756078771097,0.1605467034066324,0.34753834751709267,nan,nan,nan,0.9061777135899849,nan,nan,0.47832030828340977,nan,0.02990941434384283,0.6289590612578386,nan,0.4312101751277404,nan,nan,nan,0.64113670338351,nan,nan,nan,0.6776874975290839,0.5975541136012412,0.2989819217702775,0.5549931921817295,0.5061049091054075,nan,0.3344806211787781,0.9593245773137923,0.21977653389155527,nan,nan,nan,nan,nan,0.09512406426659416,nan,nan,0.1704233985128738,0.11353214953063957,0.5653683095318899,0.5494798838759376,0.4246396076442339,0.9671345863486951,0.37906760930334815,0.7370761925826632,0.4242191608312127,0.563762874961665,0.8051511050392981,0.989769582965548,0.2839759756752639,0.9614176989040757,0.09782680868237482,0.12363906540908144,0.7670306085071034,0.3984097607786946,0.33585967865420274,0.40049997836634854,0.1836906415010313,0.18104088262266985,nan,0.9081356583246157,0.20630308003918607,0.5229505520663289,0.8347752367007226,0.06314549504132842,0.8316187244842349,0.6409449009895574,nan,0.10784513004934711
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9532218915963118,0.6389763035746747,0.10209548023213233,0.18281728874072525,0.44643679307295436,nan,0.5567487333785224,nan,nan,nan,nan,nan,nan,nan,nan,0.7405220374063267,nan,0.9841569262846708,nan,nan,0.06260725911090596,nan,nan,0.4039348974632163,nan,0.08143180958305783,0.4091071188927269,0.010968433518882041,nan,0.43080489610632955,0.15673880010453212,0.9658943558288344,0.9801078365912353,nan,nan,0.3750229560767818,nan,nan,0.24268352159784515,nan,0.7452925921193303,nan,nan,nan,nan,nan,0.29153856164091074,nan,nan,0.9457078260222525,nan,0.9931645589063756,0.7601216408539976,nan,0.14397235262634736,0.8026621270843746,0.5030119454800096,0.6690108894568019,nan,0.8967754123606355,0.7807980010697546,0.590015028400541,0.48639278208728254,0.13076174909872282,0.22400019594127452,0.5121754044804672,0.9840610909932122,0.9943354690279322,nan,0.43048875923710483,0.29134663767957053,nan,0.29330172314982766
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2985588490954518,0.46337336845044064,0.43032053505084644,0.18048187027219112,nan,nan,nan,nan,nan,nan,nan,nan,0.22368623523976583,0.2805654760697444,nan,nan,nan,nan,nan,0.37943925065323814,nan,nan,nan,nan,nan,0.4908339816800148,0.7913526484471531,0.3442860492241031,nan,0.3932184399641626,0.8006075917481346,0.7091124366202168,nan,nan,nan,nan,nan,0.9857985401995523,0.2476483135058515,nan,0.7391110538163179,0.13429977065457335,0.8241999834107385,0.8934211959582977,0.43300779376031295,0.5198501811933464,0.17811038341422214,0.5640068614794488,0.4197052790191689,0.49197560435851595,0.6082546096392666,0.8396032758855244,nan,0.05060880495502447,0.18263033685931077,0.6042442873394454,0.41453309416692463,0.06629859689917227,0.6663676918301422,nan,0.8962034046698855,0.956966695072816,nan,0.9427362213537231,0.7256376368818007,0.8240822863144925,0.4346483747649834,0.5788940916403071,0.9618747115568325,0.0456439524649083,0.6649946164123014,0.2519988967429222
