# File generated on 2024-02-04 08:54:58
# Number of participants: 120
# Number of patients (anxiety): 60
# Number of controls: 60
# 1 datasets were included:
# - NKI-Enhanced-all_parts
# Effect size betas (regression coefficient of the linear model including: dx, age, sex, intercept).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.000734530189859958,0.021008056542322705,0.0183807070303621,0.02583953155259964,0.017151918752466872,-0.004152168826051648,0.009593119389308508,0.015642219839511754,-0.004247461425908631,0.013777381853326602,0.0012156075587818336,0.028817194651640014,nan,nan,nan,0.0036655770604700367,0.024362335402137645,0.01732315741802583,0.02025426935908537,0.015726920572916542,0.026251140796877147,-0.008783656859899834,0.015015409701256381,0.018514034791953533,0.03525662095779062,0.008498472368301693,0.016879287697276167,0.02367658314246497,0.005159195225264277,0.029238718824728706,0.004939138057943745,0.011965474713886174,0.012397474305527935,0.01942166731909914,0.04148210198519543,0.02339982539170584,0.019604562319168857,-0.0815022751123893,0.005560547019312558,0.018661877672274025,0.019007484248469316,0.009545998062218524,0.025546981006446777,0.009759701297264502,0.010030351208290794,nan,0.02055534095109537,nan,nan,nan,0.01863138252113483,nan,0.028473037851935747,0.02486361053994411,-0.005095269047270231,0.01380469973143825,0.023408939712146633,-0.008844439771060936,0.03400868126906523,-0.015731075260673678,0.02430849270188393,0.13871201889690424,0.01042286701723714,0.020093241827668803,0.016050793962100934,0.05066850688193252,0.025127681816396602,-0.0059595115496760085,-0.04007732821990298,0.018859238096434843,0.015819138447218217,nan,0.0069338845486445954,0.011194882701025935,0.01681563256418724,0.05019660739099571,nan,-0.005467403296237315,0.01247501997140559,0.056147578285845656,0.04651002672901247
Left-Caudate, nan,nan,0.013625847835892931,0.0032239707489327453,0.007578459001589033,0.015609954886926422,0.02564304602578057,0.019358975637743116,0.051622993258821886,0.005235519477333969,0.02204877487828518,0.03307009344942063,nan,0.040298435049975045,nan,0.03505820498712935,nan,0.01588071414432403,0.01562922202129023,-0.005026954148150214,0.025537442058538324,0.006842735934088125,-0.018470397867560308,0.02184172355368124,0.023246434211576673,-0.006320764554621414,0.0384571616335525,0.009242192707396527,nan,0.007687227926568982,-0.013736050547962514,-0.0025104099078043555,-0.02011250055771298,0.033794690402821,0.0014372656159421723,-0.005371859656427971,0.009619898726171094,0.011030252025805019,0.04244074110804699,0.009543951055061305,0.013498296487880307,0.017025317088140385,0.016329288097185823,nan,0.01050730894242772,0.027187651828438294,nan,0.03256741637088346,nan,0.046506648613922966,nan,nan,nan,nan,nan,0.0028853583200776998,nan,nan,0.021422310379363207,nan,0.03133433849047689,nan,nan,0.025868338208449634,-0.008191703077903208,0.06906074937839754,0.028113036325899888,nan,-0.013004984077377562,nan,-0.013857934869201179,0.012615274918966742,0.06808262587864122,0.02777883754167453,0.0217914589708019,0.024137734383185783,nan,nan,0.011448718955525685,-0.029125163366300597,nan,0.0017252475515544326
Left-Putamen, nan,nan,nan,0.022929918846306595,-0.0072399236197252526,0.00569066994606609,0.01123629848362899,0.014632374971779065,0.005103326230708006,0.02205447456417396,0.02175672847382017,-0.004831112922178885,0.0051748717590460605,0.04103264327094688,0.034214107200821076,nan,0.009119402823877742,0.018709208253936578,0.0062921252519502315,0.017032783113632405,0.021346995759127515,0.01503983996197601,0.010704399292196957,0.02766578345165302,0.013254458277905416,0.01414545778592746,0.025227594647995247,-0.005628124453789309,0.0071514696347130926,0.015560404718492675,0.013268789083525178,0.01110976408180686,0.015006367749032195,0.01692054878899242,0.015282361405676763,nan,0.02273329799278746,0.021171149973872646,-0.03185938808571174,0.0013731548386346276,0.010565947593228157,0.018796060167105996,0.02824627890778982,0.017727197607062026,0.012574516981177971,0.010375613460380862,0.015380890197736656,0.02861605621391646,nan,nan,nan,0.005050082124432228,nan,-0.06484442790440001,0.0026269071666079344,-0.040215189146066276,0.031087403149211084,0.01444529708487143,0.050994306686971046,0.03584952206038019,0.08188789987105843,-0.021320396127351895,nan,-0.026109808571602597,0.01656068787942271,0.0017075093490833573,0.034860084260234056,-0.04691647687027799,-0.03299495212183964,nan,0.030207375988039905,0.029329499654485995,nan,0.017200379664149657,0.006194907145125995,0.014446818732421802,-0.004615640541690989,nan,0.013603706505372298,nan,nan,0.010506577888916634
Left-Pallidum, nan,nan,nan,nan,-0.009037971953279017,0.003648255283560951,0.0024755889453675194,0.014590680159972546,0.02359747081381083,0.017717795540593346,0.012039660092648423,0.03712310268196602,-0.03613384783835265,nan,0.045092909750120945,nan,0.003470557594772069,0.030932691814212956,0.0005197928436738533,0.007922997847136596,0.01752208525533483,0.012485129866900986,0.012021579918267905,0.030594360176789702,0.01618113415733645,0.03234406274767788,0.027027483184564854,0.006285845517056708,0.02444737237924369,0.00015323942862952204,0.021162959498685494,0.013634315483640849,0.012949757949022386,0.014149184773360754,0.013526070315640194,nan,0.0189935259789571,0.028931649976802875,0.013122997967442956,0.0055993088607603015,0.01482885190776052,0.018552193740609894,0.020879231695581715,0.01394557464108013,0.009163618129708437,0.012899039220030157,0.055721296928455476,-0.01768965346855554,nan,nan,nan,nan,nan,nan,0.014285823256694901,-0.0382502872120354,0.004050455435505821,-0.002291659619402716,-0.009219335708821146,nan,0.04820726622380809,nan,nan,-0.00024103052285381584,0.016388612541020763,-0.01651707345550039,0.007784238550287826,nan,nan,nan,0.027300328600998798,0.02149689231495672,nan,0.0033406644658227377,-0.0029142247124286503,0.001891107812865311,-0.020044074892116532,nan,0.042952488567418116,nan,nan,0.012135500178292735
Left-Hippocampus, nan,nan,nan,nan,nan,0.006568824297647332,-0.00015516376084816745,0.005057726120505346,0.028738692179562837,-0.00166205656724885,-0.012014480668338705,-0.0010631858962650029,nan,nan,nan,nan,nan,0.018225404214674855,0.027825315422627672,0.025997169851666665,0.009269365620129543,0.0088394016199797,0.03394020413692394,0.018797127364416234,0.03160919977542373,0.021572623037655034,0.005873182933347226,0.005585635499896664,0.020617970837126614,nan,nan,0.012686802109917666,0.025436663900931595,0.012176003165337462,0.03402945771320367,0.034031855146899305,0.043724074801036746,0.008741648784469683,nan,0.012372324599602039,0.03232184303998169,0.017856968780700824,0.025278262074298882,nan,0.03493698782533158,0.005407643854526865,nan,-0.006440443397990184,nan,nan,nan,0.010366835839742978,nan,nan,nan,nan,0.007933832250975485,0.044839239911835235,0.02087478826232992,0.0014889007003038588,nan,nan,nan,nan,nan,nan,nan,0.015461016294019289,nan,nan,nan,0.0047158760469682036,nan,0.03298031911171311,-0.012056645380040951,-0.001587754565385476,nan,nan,nan,nan,nan,nan
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.039387148151046394,nan,nan,0.03606026882355447,nan,nan,nan,nan,nan,nan,nan,0.018893595833997547,0.004484367938898702,0.026753855771573656,0.014698195639911907,0.011236897766626295,-0.019801055404507124,0.01548701106434951,-0.004933033278556786,0.06915407162160343,0.02856299185704141,nan,-0.010013654080028795,nan,nan,nan,nan,-0.008272366770185682,0.0365065502871624,nan,0.014230177984294691,0.0384352966561723,0.014782759061999187,-0.004638173341587555,0.004199304575601804,0.007608739538900292,0.010850372275694542,nan,nan,0.009268970221231071,nan,-0.006202337419802163,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,nan,0.043007981774596575,-0.027453332479999138,nan,nan,nan,0.05532615696201158,nan,0.02334535120189988,nan,nan,0.035370363698329146,0.0022717191681693627,0.015008844586671536,-0.004833865124777422,-0.031316347526251606,0.001936940617662959,0.019235198717539967,-0.007332140204404502,0.02874553261486958,nan,nan,nan,nan,nan,nan,nan,nan,-0.0006721502141373054,nan,0.003094127790249256,0.003607559420900195,-0.008090286575284792,0.027333951655349416,-0.021326405991892092,-0.006369271871486986,nan,0.044427775497089206,0.022129075286705442,nan,0.013656767972578721,nan,-0.01973755548494745,nan,nan,nan,nan,nan,nan,nan,nan,0.03397914810057648,nan,0.025866068331790615,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.08800685656752683,-0.028215346818023908,0.026338178369426084,nan,nan,nan,-0.0004919560428494837,nan,nan,-0.09676055437321728
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.007750024580153464,0.023153424098505758,0.015018530366387933,0.017025351735911277,0.029103843015115503,0.008401705844526259,nan,nan,nan,0.018768386840740572,0.05153327233534982,0.04046401569729744,nan,0.05298400076551529,0.030281690216233833,-0.006363123545287567,-0.0099529660678367,-0.002701376981620099,-0.08765187343565635,nan,0.1258456780064512,0.01846490261589223,0.03722797077357702,0.023821879237880806,0.02566076358355739,-0.015551082446440214,0.006932107091859393,-0.013882504171402717,0.01873984333738464,0.029412374704156696,nan,0.009487056900524517,0.006255350417260343,0.025840149503821526,0.049803490673063514,nan,-0.007901132186547416,0.03554932750183698,nan,0.013475703929954942,nan,0.07898289894149504,0.023042934823962316,0.006905655408348021,0.02720247207549499,0.025263702577395734,0.02007314369574642,0.005091499872434975,-0.04260398511413672,0.027562393644663848,0.016629652830610436,0.025859384293316825,0.006002658946637001,0.024624198941456184,0.03519178891852055,0.020047374715958976,0.024314851897772313,0.006661542879211823,0.01925138207084425,0.03900349102266498,0.015468155994000421,0.0031620936080155966,0.016455492010858472,0.006224914472076228,0.03920854694629058,0.012884027756776354,0.015687733076728723,0.01344566422095926,-0.011489789126036699,0.011408303138493182,0.011460286141832915,0.004252943687358285,nan,-0.03213653555572409
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0012209494704727001,-0.002422981684263962,0.008843560272653919,0.006205910443529367,-0.02184102938138284,nan,-0.0059053467535430445,nan,nan,nan,-0.025887053041083956,nan,-0.036129093703517204,-0.021789138588845788,nan,0.028298782764203417,nan,0.02820189143462752,nan,nan,0.016647825769483374,-0.0070750012157684075,-0.014752662801998032,-0.004737032042156661,nan,-0.004850524355281648,0.05338274997162576,0.004265018551592607,0.01630047034560288,0.0749393400278583,0.022786735975654834,0.016229437423706614,0.030076588494971034,0.01221232576298791,nan,0.017400665460821668,-0.004373960753156278,nan,0.03214921720608524,nan,0.04107067122561741,-0.028961920133305768,nan,0.011574664780748173,-0.0007957488860308804,0.020758750862954558,0.006970035423716381,0.11401434422543075,0.019935875579030014,0.005809906629850484,0.047199334963539466,0.02527845573388602,-0.005589108085086899,nan,0.008734979809179949,0.011696394084054361,0.01252454524636295,0.013826511778433042,0.0507688516659058,0.011530245193656865,0.024830363748560128,0.005509845568694456,0.019380477693498186,0.021326924336361557,0.014332614299707558,0.007971869355082704,0.015495448896441331,0.04998718962580843,nan,0.007761483832403914,-0.00019494395938737048,nan,-0.02116892751744585
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01571488686456554,0.03337270208884203,0.021176164418533452,0.02311709595683406,nan,nan,nan,0.014480127978955608,nan,nan,-0.0076766574880705665,-0.007408913071051661,0.03114275703785737,0.031098415381060503,0.007969861873699594,-0.010468508323443046,-0.01238072136189724,0.010982355366288585,nan,0.0028614747250051476,0.05117731178144804,0.011580741223992818,0.00974935640716412,0.03070755158486262,0.02928141041634644,nan,0.01952186093981898,0.010961338158566666,nan,0.01487557964488925,0.0038772683075040514,0.027669843110258975,0.015214309480258112,nan,-0.0008394479160059975,-0.03667743925242996,nan,0.013932502669882947,0.01141594739459358,nan,0.008217196554698524,0.023268757003604267,-0.0070158791431482095,0.028677657498701156,0.012824201719906751,0.01199043132324267,-0.019120390101950442,0.016477459718998156,0.02065643405467734,0.025238635037345827,0.010004428472042705,0.018788924259055824,-0.02554011915379876,-0.028697432459350795,0.024867248429186566,0.008446803308335686,0.015841043163663908,0.029043793394530084,0.010659748754602847,nan,0.018704488322245888,0.0070244609649645065,-0.08669694599411158,0.01035085528752937,0.007451450617311191,0.016421416190401404,0.0056567805295102275,0.010182285456288498,0.007663281776937808,0.01951279826263791,0.011792530150584214,0.02196662364349662
