# File generated on 2024-02-03 12:10:12
# Number of participants: 1992
# Number of patients (autism): 996
# Number of controls: 996
# 4 datasets were included:
# - SRPBS1600
# - ABIDE
# - ABIDEII
# - HBN
# P-value.
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.6733867120201481,0.050515793320994595,0.18070734308596278,0.0007691668402008144,6.312383068454235e-05,0.26380486143362114,0.0004845225967739874,0.5449486763593958,0.09091444292746723,0.02387316191819023,0.0010263789674288507,6.9939613485092644e-06,0.7843295621399271,4.228765279927801e-06,0.05299069926161914,0.0023207978220294357,0.9518508312585173,0.6955590579612957,0.003447229539435061,0.12348114605441982,0.057928040795839075,0.09284050573860074,0.015489160113865058,0.20137056579704088,0.5088805622461828,0.8421842681713617,3.325135838187423e-05,0.4621226896009084,0.000390726274309345,4.909194672651204e-06,0.005689094794695793,0.022854744651310193,0.006832706805584347,1.9817953435066066e-06,0.7425713437148282,2.9726769684704623e-08,0.5796929410649738,0.12999014723829747,0.7916522912217374,0.015837253715485798,0.03017125016752025,1.050064500763256e-10,0.01423126664069791,0.8305294441603612,0.01741556589136651,0.0008469315502904614,0.0007311679823647869,1.0704100795001041e-05,0.04414133752941961,0.08051727166391585,0.43319528615778147,0.5485718822031966,0.011374704670735787,0.12204057351796517,0.12949161206462614,0.7484005448082195,0.0019183604397138227,0.550229813936195,0.06728998199307076,0.24324085888135322,0.00015371599050626947,0.20544446586891982,6.425868763523496e-06,0.052837042698645253,0.6923158806485611,0.4889930907533535,0.013601991093200582,9.06376858598375e-07,0.9501466173185165,1.435896396240413e-06,0.923361673499679,0.13371434701083892,0.3731766261385231,0.5067267308288061,0.004696358711577866,6.97108969482054e-10,0.012387455905565916,0.30470601170648914,0.613093261056725,0.01744788950013168,0.007703343845254778
Left-Caudate, nan,nan,0.8401067235329969,0.08696354001814867,0.1196497206917108,0.08717618847498568,0.41887154222697953,0.6268912769530933,0.0006320056135163603,0.4496681308553535,0.7326373147109657,0.020958630060489532,0.006195080337620041,0.4913896156775638,0.8710487854846283,0.8700014717736322,0.5135913277254219,0.5147566478229865,0.39380981637807744,0.5834593172346467,0.6401799702117774,0.24657504947917902,0.49940896343299856,0.04037067042119631,0.9948833607188384,0.6052293616216977,0.931542307888641,0.6494693684392332,0.23795855102049826,0.1012697609390904,0.05492778557564903,0.3305545056970546,0.16231450070536865,0.2350238516696202,0.001777609266943398,0.826105214110308,0.0719955788950007,0.4749085342263494,0.009554664773020752,0.4387690767870598,0.1301538785500028,0.37889181471802624,0.01857609412981544,0.7978597522779779,0.8284435231117682,0.5871138168941967,0.477460881267036,0.0002652881003150695,0.11740514299061225,0.8762424470855179,0.8782447647031906,0.2644088343897949,0.45660600164430687,0.4541269527718811,0.7521929217955523,0.14651810914105368,0.6503529487159438,0.1920902342397706,0.8801845125909245,0.4703106700897566,0.7785105468276785,0.906249614859606,0.05941845869826005,0.0035760162547331226,0.09485612266128635,0.9414788114418415,0.2449852630395726,0.14942172696621583,0.009016116796694253,0.5976633405610731,0.021042963316906853,0.24146170192784897,0.08687106924032756,0.9010073555240035,0.632676446810087,0.16109517523703237,0.03500214147104657,0.1763979364884706,0.750271442239388,0.4835506719093532,0.291558499564649,0.005469014851090455
Left-Putamen, nan,nan,nan,0.3748090072554173,0.0026784495547256424,0.006516005218572727,0.5131400492580315,0.14010710160120163,0.960809790211092,5.503615881006117e-06,0.07095629491538516,0.00011510934887558134,0.002212538305636127,0.581645111950616,0.005107793923004217,0.9893023906070496,0.02372107075339967,0.6610182474062152,0.5296693689380136,0.25778118399443095,0.4041632885354772,0.9896169475934882,0.07392293234806713,0.011710691412077485,0.243415422626466,0.5134347341143537,0.16371461836398601,0.004438414791768151,0.8466223607110954,0.04963881476583563,0.005129723276457871,0.0017226926004478573,0.0018563570969188598,0.5992389605299604,0.0008193359978728242,0.7050797227970285,0.01337112905297342,0.24512402088118043,0.07076155037447485,0.6335614432386468,0.009183046963877424,0.25882471515417704,0.0002610105737773444,0.5683108524517886,0.38684445137778367,0.12351825191273248,0.07714924117739891,0.00026477813612157925,0.07664993175136821,0.4033340327117747,0.7323458272752222,0.3043296118540203,0.7761960821161797,0.08519940313966587,0.5608042095248144,0.8480156836618321,0.06894393517953659,0.01108658810124552,0.8325798812830417,0.07984416685809415,0.10048490637522357,0.0003131341452645612,0.194264174097379,0.010702794112330967,0.2692701674709615,0.2915506527939759,0.5819482464890516,0.24174153541940938,0.002749372658308795,0.7443540274405551,0.14345391704903898,0.3758763772134286,0.06408350007468253,0.6270579750506817,0.1930217158823102,0.05309864378349819,6.779300481701359e-05,0.3256360138005532,0.026371717297115405,0.0926992903332245,0.15953454276463097,0.13694011384657748
Left-Pallidum, nan,nan,nan,nan,0.11719327008693957,0.0956404439080535,0.9432100108607228,0.03664489553332873,0.09860056531610964,0.012568093607639117,0.8848749911666447,0.1396975806393712,0.08429095213475923,0.6127963638956149,0.023138711193313788,6.863169945799085e-06,0.6365443058234292,0.8927269770593463,0.5807935484234602,0.5485980082055615,0.9052640782205215,0.6118956810054965,0.15368165315017382,0.023870040055422058,0.5468369695140197,0.19561777474227587,0.8070535138890195,0.027418387349307002,0.7109739971324524,0.09868394820912832,0.3033250774724104,0.16908349027726427,0.7616893936446554,0.9147917100707046,0.43623927848423294,0.02491997769668907,0.8088197939910189,0.4310215244713135,0.02896156786457831,0.03493778107421678,0.37455908993446074,0.3668350504454507,0.020118771303656302,0.04187603155748757,0.20925665805497626,0.05509771421014345,0.5034287576801645,0.2022771079223121,0.3760927248030781,4.8102216484026344e-06,0.4405724988699138,0.310323869698538,0.30542855271369107,0.034544545387949724,0.27866955999137333,0.3876841062968269,0.0793908663796771,0.010139483986828296,0.6152175640628992,0.10897262132587812,0.8061764507502056,0.005830127787250051,0.22105472129057932,0.03563766329325558,0.006480137471323127,0.23957723064194988,0.03766633781628784,0.301728313815298,0.37159285655185736,0.007289310024334109,0.9823735809243591,0.47454058096623486,0.15166627537921448,0.16541704806587018,0.5995665377286076,0.09568299912364821,0.029011307331016395,0.039442300812979204,0.0023856220140089333,0.16992951645839707,0.5894489479086655,0.07162816125747412
Left-Hippocampus, nan,nan,nan,nan,nan,0.24430109991121854,0.0014188432419970712,0.0001646303961739643,0.029338906657795285,0.002810393003478672,0.044944028135305444,0.0005627085516095865,0.6043084514819946,0.008063683908044147,0.2850593985780232,0.11631568839699642,0.2857478944230679,0.8049750960519136,0.2865709649208468,0.0004331152588954111,0.6287423181748673,0.0006175818057119101,0.13218075816887156,0.7304981471375493,0.7088569104642083,0.12024902641445462,0.00026054472269717855,0.005208193337014399,0.05849149918160642,0.00651663822346162,0.00658060225985009,0.3645145812401922,0.17604703103630892,0.44786156364625307,0.3899184800654515,0.17542717440144712,0.5026013921693968,0.0024390517168083317,2.1063043983600978e-08,0.918257537354932,0.01641504238904236,0.914227983086947,0.37264791159085986,0.40400948415616156,0.08190434568220234,0.4445665696255354,0.7855897792541302,0.04172226428766635,0.26073241596863606,0.16601673302363743,0.16057320013920254,0.7184601627049716,0.7684695828434343,0.004019164535145868,0.45715451009757124,0.11056952351797615,0.06290355863137712,0.7216398142039528,0.5443135940358433,0.04377382303522659,0.004370756373826389,0.5385890982619468,0.5517899370942612,0.00497051761528375,0.026859550770899007,0.6503255786592654,0.10127307257586085,0.4073585265925964,0.1938603108698241,0.11315792317395108,0.9885460192066107,0.05191574166473371,1.907866421562179e-05,0.09629279693873626,0.030437595116926234,0.6936817383900984,0.47383544946130074,0.24609081133071262,0.24532256403763378,0.5118335023236694,0.7074196799307705,0.24436140832478165
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.7730725677980763,3.491507174868277e-05,0.009422943800380256,0.0654699972497805,0.051913288016001057,0.5791319108004851,0.33172992967644266,0.5402341811773207,0.9851233677695972,0.9144991391746884,0.3809965213915142,0.024999284615476056,0.051266783678690184,0.0008815320385932781,0.6501470232236086,0.00022308563529895424,0.9962257717976147,0.7486391041428272,0.1833255967533792,0.5844330152040424,0.40897117932010896,0.005270826349428027,0.7661006573645563,0.003633813776090433,0.4682058035833786,0.5853509938775561,0.3904912362212617,0.9411893724460276,0.9546210255847818,0.3762895403569926,0.985016084079239,0.11689723781488019,0.1973087421125393,0.523618298403023,0.29783029985272286,0.48039430026811325,0.7655655487998103,0.6364483937629772,0.9136918334863234,0.004868839949537467,0.11451301342294506,0.07212357249312436,0.6878856892396349,0.6242353740292501,0.025782731641863763,0.016893625024648706,0.13085644376193423,0.0028360463472846126,0.0110095530561479,0.006281324012527646,0.8107261044497442,0.8603905921769227,0.18320308078030384,0.7600812439557755,0.946199814024902,0.012728727170273782,0.5437471168854939,0.00015239156536859706,0.7433601391010742,0.66193208475991,0.8214724201695682,0.3432952412967135,0.5430729586236054,0.7484146387170529,0.3117405544681908,0.7787709862000921,0.5063194161594979,0.108611305859665,0.8891761356363947,0.4743647631838175,0.5561981433704268,0.969484215934665,0.19056854183848018,0.008020218122381845,0.1617231737424199,0.45193028207225017
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.028422288071221602,0.6787797667840894,0.49622183330517056,0.9547191985346222,0.0009111865843593331,0.6992602790433803,0.6038640669989257,0.8940326491789344,0.0635799312246816,0.33673673946265015,0.29256322622042313,0.3236780656732988,0.632760813924184,0.3747792047145909,0.2302041338824419,0.03051577234568419,0.2355867062029118,0.045146426154434975,0.9719253645205779,0.6305870441184752,0.2918754147334773,0.2063266733786847,0.15507087692270466,0.00496656631725822,0.010087972396918854,0.0024895800122637537,0.7320805365416906,0.8565785630571587,0.0016623162971624707,0.5977624370323998,0.00526837877347826,0.9363016711950337,0.2466851435770555,0.6773630868206838,0.5447404137292094,0.7541421582686951,0.5177774330453253,0.9337852642742729,0.09335276377372298,0.5039075166793143,0.11708920124894534,0.21681370883749157,0.3022398769169183,0.37163055744949625,0.33202109923692913,0.1144094648543614,0.9739146473990491,0.2341893361209588,0.08995481993775002,0.014266439040110941,0.5525571809711225,0.09375646532872925,0.873665509689174,0.2276678623139662,0.5516395986529705,0.24501752070135155,0.05954671733662635,0.05216759270440326,0.008494904474115128,0.02503403681954712,0.5894114354461641,0.5142899702451259,0.01144568727201541,0.960710301962006,0.02579859761172169,0.6436309957885804,0.09602363470632105,0.356341203932796,0.5659709869549505,0.43443965901651793,0.47596684832629943,0.5755585094535463,0.16375566832566138,0.07967524578613042,0.26229620218469196
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.3660392055407172,0.13517718712199783,0.0036021372945854646,1.5625388445615957e-06,1.179885651432955e-08,0.5065815085738071,3.326017160997439e-07,0.0033340279314903938,0.00037695117195658053,0.5236775320427114,0.19209443742154605,0.056014958570767576,0.016466884918034524,0.008299584868256339,0.1027733145242271,0.09012314365890273,0.8058467101106186,0.5969002769341627,0.9110407004555257,3.578553495078822e-06,0.34372210932892255,8.343134470063573e-06,0.00031031195290380465,0.006234110452268726,0.005750547856538863,0.001359505123257646,3.2115131064357057e-06,0.5497028293961732,6.065485584094044e-08,0.298299471131218,0.011985426632551819,0.8857195093726308,0.009235254213028201,0.026748761902057987,1.1758792575731148e-09,0.053851038209025336,0.8465129947887114,9.556181169792024e-05,0.0031508396905650573,0.04109405411670589,2.713017931416041e-09,0.0035828446841818943,0.0484935954069117,0.9191163422135209,0.5468576698061498,0.04672887913064418,0.006214592235284465,0.006073685437399657,0.18231650393336563,0.04813893379212903,0.5513952549420315,0.6253388585816002,0.27672232682430814,1.722041428049633e-07,0.06670821555776549,4.007887638702616e-07,0.08817606583686406,0.5043508849043479,0.13257217072104832,0.007925497194597403,4.7178433977517555e-08,0.8845491556680731,1.7641542729163155e-06,0.19139370256687097,0.09072913085971614,0.7768137552725713,0.059980880601828546,0.00449158334176114,1.6825512137624053e-13,0.02837569322684596,0.18199565513029758,0.08315304158222268,6.61577805336846e-05,0.01721292210229492
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1825088742770347,0.2569731981226949,0.000929602885625219,0.0005010253494226381,0.12616997514709602,0.0566910119498615,0.29649562111525324,0.23897943531057841,0.07653163982219059,0.48326594573611525,0.07309247757654998,0.06931984894896592,0.7867625118487798,0.11544389670835395,0.005852599522705541,0.8032052466814156,0.04355279739373331,0.1765462899698179,0.1271472126691337,0.05199472753239297,0.00323922588703469,0.04550307602859538,0.2161333475879439,0.16659325942655834,0.7087353582361657,1.6084193991107863e-05,0.6210778466950635,0.0007471991411074355,0.09441618970703215,0.07680380595070911,0.3841890214392293,0.02862319319470535,0.06159307573548361,0.0006318511605887744,0.27155742503620955,0.7342673743350152,0.6083265365356669,0.014422556227739183,0.001331461055719144,0.0009792528000839382,0.8724310956782108,0.4640115363973085,0.010737434905687787,0.5559408926108109,0.04309632574695768,0.05214234817296698,0.7853231854488966,0.1880131542101296,0.007076125373624036,0.6568721799669843,0.013587959821054086,0.004586558409259023,0.003948963096592172,0.003589893167429126,0.0003156842653560023,0.004897121540113478,0.15213839103060847,0.006020384846898121,0.5894603116399436,5.450161516088897e-06,0.6529325112437588,0.00013382544878658189,0.015849730331149902,0.06324869769866008,0.5864395851353971,0.04678859043930101,0.0111140054467051,3.6464982988798666e-07,0.01730127994854176,0.04324690166450771,0.09093893264799,0.008233164850457556,0.001931938599030661
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.23240011047237003,2.752688193972904e-05,0.0005644050481318361,0.033939634312269554,0.030724652016993394,0.8371049409029424,0.13182346188877872,0.29314327136207524,0.6028429657242129,0.2219101613650795,0.2104946707312056,0.5752700583414896,0.02585454369590582,0.013809350950321262,0.9312951241965689,0.3114773157228669,0.4621342016504957,0.009468852443729827,0.6692451092513281,0.06746791656396867,0.19273406216852548,0.02403271466939895,0.04678154708031521,0.4314265765425971,0.011775891550328524,0.9305871427980363,0.06815280929717875,0.12126664085886599,0.14505622940912877,0.17189828988885542,0.0303169281273262,0.147971368787052,0.023073527181056902,0.5281034708551062,0.9278445177256172,0.062327834530511945,0.21343339017736807,0.09096434622298702,0.11584289061907241,0.11445787062449753,0.584287012068031,0.25125107556634985,0.6673880392259706,0.18350032876023945,0.22570933448011515,0.932817634534993,0.021035107455098557,0.019386781994443943,0.6486686277475568,0.03497484863627102,0.048983245449189285,0.0005087472101356672,0.20833525880994655,0.00830924908307867,0.4974459285971812,0.16150674849643354,0.7619978821382627,0.24298995956776753,0.0004751119258394242,0.5808774568077182,0.08153569250282479,0.2348774009249052,0.028667326270931794,0.48784490011127624,0.39262835378006067,0.061158340857518805,7.876708235516469e-07,0.4313842882831127,0.031793909578745096,0.01252267560680395,0.03519821656219393,0.0019131095996844745
