# File generated on 2024-02-06 23:09:08
# Number of participants: 1020
# Number of patients (autism): 510
# Number of controls: 510
# 1 datasets were included:
# - ABIDE
# Effect size betas (regression coefficient of the linear model including: dx, age, sex, intercept).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.0043536355745277845,0.024931970565391766,0.0005377894681208738,0.039770272191795686,0.03775898098894659,-5.9876540173062896e-05,-0.028006609293303158,0.01145031705409309,0.025376487096961102,-0.00785863299286053,0.03875189246898004,0.04820542771399089,0.0031194495763787137,0.048244778556189194,-0.0051800117682551956,0.021127363016889864,0.021026994876943098,0.0088385886110981,0.033161842429999415,0.011993085739775226,0.020947302215564113,0.012963665437453436,0.030400879535439705,0.004986753351769306,0.0303066470111274,-0.022706739738764088,0.03934835428278024,0.019612377114141162,0.04167060671070559,0.04120132588412939,0.011928757858450576,0.014947365279694735,-0.01473487040324053,0.05370792689476922,0.0016469793853023467,0.06027043364797736,0.01081324185158099,-0.006915893098790941,-0.0009448686496984117,0.018023646986591427,0.024331089327580727,0.07344327635583751,0.03171720158110058,0.00047732594176396945,0.015531871594569598,0.03434308019129744,0.04191406976714704,0.04752192483294468,-0.006054767810324295,-0.0008465396827238486,0.019663086018021674,-0.0021183580133244824,0.027819605651874968,0.006752043059899621,0.007651323597748549,-0.0031208627425520106,0.02846706076109921,-0.01759173603793607,0.0275102741326645,-0.013478792754574042,0.033483772764030646,0.01422366123172516,0.05523435997116943,0.03230775867261903,-0.015523400660201038,0.0013599932465242473,-0.02022963959920727,0.051230186321491164,0.0011369354039881313,0.055763606801674095,0.004109714761151212,-0.009750673011681489,0.0019219304408378084,-0.004398612843548382,0.026407712941331218,0.06705176778045034,0.03638834440116145,0.0005584190285323342,0.005665497644579721,0.02311709614810249,0.0354748520860861
Left-Caudate, nan,nan,0.004915098186261958,0.0030275800540467495,0.02417676998337588,0.020529035450924618,0.007934025148043776,-0.008625634491748472,-0.03897565142962053,0.004878284255687331,0.011253359890783588,0.025037773700584715,0.029274817018500335,0.012291477114976829,-0.006022315687852298,0.01275929150432324,-0.00013813291937161894,-0.0020906964419318093,0.01570629567454641,-0.0029846784675081938,-0.0034352999568043868,-0.008544704944522962,-0.0009990262837684897,0.010490689393368034,-0.0055209277143585395,0.0017566692492297687,-0.017795354890122347,-0.006657472295396243,0.011553390086539772,0.016883734498254966,0.013777670202537142,-0.00838802051873832,0.0058640791555588665,-0.03242393465212991,0.037296198240091796,0.00929956077676614,0.02488345454588469,0.0018239996165744423,0.01983970967025791,-0.006609999524674768,0.016967873876415233,-0.0003110190979324498,0.022626108446921922,0.011136423098582947,-0.007410226752271713,-0.007358638964874437,0.011565968057331134,0.05030760455182973,0.02005841029222473,0.0164619254720792,-0.008448794688603383,0.0033730378641711536,0.012086660414184082,0.0018054260438031154,-0.012419545444736738,-0.02409237667330785,-0.00611576006433139,0.0024681405538440086,-0.009158849866617743,-0.00554929246252251,-0.011458442407993683,-0.0052771172890138576,0.013183409824669944,0.028916675492986085,0.024952109701404716,-0.009073314979068835,0.0035679087452946874,-0.03180256761205696,0.02636223407246625,0.015326232888899461,0.027117671833846828,0.006744851303670711,0.014334495454010634,-0.00014019464942850675,0.0009566508473138219,-0.0022454651818595624,0.02294166429536222,0.017030700906278652,-0.004339977545673274,0.005824829114717845,0.024472301118511494,0.044615056503741875
Left-Putamen, nan,nan,nan,0.009430243048209892,0.03712442932317153,0.0286133066212981,0.004148652570489026,0.010693120151785175,-0.007855461424170512,-0.028582835560583934,0.004501626437750297,0.04158522258544077,0.030084631491412925,0.006747635008399073,0.01569879692648503,-0.004775779535908524,0.014087240796907142,-0.003910575342703257,0.00492160449766654,0.010439253879129926,0.00685490460997748,-0.002609203021929871,0.012818960532258164,0.015781388623799724,0.0018188473509477133,0.007921735845268868,-0.0003261092752231288,0.02723189512755982,0.005177274623792601,0.011117351389858383,0.014413465405345702,0.015235303271749035,0.011340350774536158,-0.0123391973127324,0.029700416830205984,-0.0037850736655398384,0.014218735532198535,0.012792507398313488,0.004663266379163467,-0.013121239250028153,0.010712267784047722,-0.00039089678168720694,0.027485954885629025,-0.005010729324522573,0.00873780866594171,0.012109953409989873,0.01974387733922284,0.03919169282481419,0.005026476978285514,-0.012908568932250642,-0.011525123965124002,0.0007240529806554185,-0.0022846709885061306,0.009325893668560011,-0.0017165969857881424,-0.018375630272827483,0.01054842036879347,0.011005821770382982,-0.006063062196681185,0.008148834960585126,0.003749497314573395,0.025024783552590458,0.01655869529453745,0.02190089580748934,-0.01229634073774689,-0.005606613094185077,-0.009702652626482055,-0.024293828922125855,0.03076471145014346,-0.008213658598626251,0.006866478537310216,0.011483801722495314,0.006685939537246645,-0.0109358143154859,-0.003164935528044711,0.0021580339852708863,0.032889011205430516,-0.019379326102660178,0.013457176013384428,0.010410577481107141,0.011079366963810873,0.019503056588482302
Left-Pallidum, nan,nan,nan,nan,0.016064418770021092,0.022030111963330642,0.002633702142568216,-0.012965394145015368,-0.006128974657074383,-0.002672797015898348,0.022535409804606495,0.010076241808571224,0.018972064306589796,0.008264523483920845,0.030730048231337185,-0.0355844360374227,-0.0068408525568725105,0.019000660933918778,0.004300458213723125,0.01124815097782075,0.008957567290644036,-0.006046398637870673,0.011956891157780291,0.02932735687187223,0.00047802247448286325,0.030846577016434885,-0.0035015755127946638,0.017452454452682446,0.009708664914849528,0.016705910527232443,-0.009354590443239425,0.01371836757562201,-0.0076286796551753334,0.023401288238331763,0.013848771455291536,-0.020616358240682486,0.013185412296757109,0.005908394870836465,-0.01887490143312355,-0.020716626507438385,-0.009554835130046745,0.011783193269037725,0.021619340001793545,-0.009531339297614962,0.017196355128610397,0.015104440846461587,0.011506902834084114,0.0006392180395537042,0.008360988038203595,-0.03847535639060574,-0.018901656920063906,0.02535048276846107,0.008470894295803971,0.02611055837146647,0.0056191278435140084,0.006517678150790726,0.011904816630743557,0.029888466063696297,-0.007371854745860301,0.0283683869025854,-0.0006113212714393407,0.01152820190793073,0.014029103472081441,0.02418530854228749,-0.02124568831808551,-0.0007934599825771679,-0.014931611891392011,0.010326247156431176,0.020190390362551686,-0.025150198629393588,0.019119143983933825,0.006728607615117,-0.01003555299454696,-0.01672028788754898,-0.009923346899775233,0.018784563958966057,0.01716060269650421,-0.013171638752718566,0.019976850989306044,0.0013234248404338563,0.0036994306564491273,-0.006535843123427531
Left-Hippocampus, nan,nan,nan,nan,nan,0.007522216621032554,-0.03649685234376263,0.041691270424357975,0.026724163822200532,0.043759593808933524,0.029481169302494847,-0.016509872766436017,0.008599149222237217,-0.022843609061757485,0.019002919551695883,-0.012374350929705255,0.0035459019655805137,0.01487088432953765,0.014129479103084935,0.04400665586267687,-0.0012848566824749164,0.039822079044207224,-0.007747038176340849,0.008693743717031696,-0.001141929779947581,0.0185405976850255,-0.040070163612783226,0.027517183508372796,0.02631184072545165,-0.025211018978321544,0.03555217127766558,0.023708821148804602,0.029446427712710728,0.009787333101207607,-0.01490860295301244,-0.02180382340339009,-0.002712623567425997,-0.018552028761905467,-0.04090124646591883,0.000757326544107279,-0.030694559506676447,0.01749682307162788,0.01454877460020118,0.009329347415616838,-0.012231737119981082,0.011606993332839242,0.004595212724357769,0.024290952469744206,0.02531676053196558,-0.012467474288697267,0.016621857311040256,0.00745028562020432,0.0032473922988140234,0.035949271886933386,0.012037776181600011,0.016131011615885427,-0.016362239036535567,0.006965662769344216,-0.009877438835701233,0.027260828349646948,-0.03950917418464596,0.008561276797057591,0.0152405554309283,-0.027136733422086397,0.044520889435020576,0.0013233899276961782,0.031629261629132606,0.007530888244166702,-0.00936072243798245,-0.02437476948544605,0.00799237769520353,-0.006535662268040709,-0.042405819862822165,0.010560400669486245,-0.030760023426948255,0.010118622493504224,0.00622598575512015,0.026427075165626087,-0.017180906257462686,0.008858728972884505,0.008641293869494464,0.02281599835121831
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.0005477828949377524,0.03455165435131962,0.02314035972831556,0.021872766531884132,0.030597904424454835,0.011649153930118273,0.009899176913811477,0.003822150481839253,0.015006868336774797,-0.0030703579779508675,0.013528119142782314,-0.014740479462610746,0.026921783813792524,0.04558472134361112,0.01754537358870277,0.047430360415492076,0.016786311828971875,0.013882376560532506,0.01333419624437849,0.0010778259099386803,0.0149442919203112,0.037473790948958044,0.01548726617372218,-0.01928835485787476,0.005602292130899756,0.019209442770684374,0.019417104527073698,-0.0031208094786943563,-0.0066345364892442865,-0.005569823183073696,-0.012765421824882758,0.0039242999376346305,-0.0030408115216847245,-0.004887708439091641,-0.01040552386966018,0.0068820865877142106,-0.001440342359497782,-0.00678582563234182,0.009188470799427436,0.030326630197139597,-0.00790820491400748,0.0061497914944694705,0.005326028975104667,-0.004054427054550522,0.02721067650123515,-0.01582669546786864,0.015101187856991603,0.04414693289811516,0.041828969510923485,0.02235900558871998,0.020096117985788926,0.01605276623372757,0.014836396130533657,0.00884112216290469,0.0015698791981223288,0.03603987987107122,0.02875077624256129,-0.033549180031653025,0.003947843213649105,0.0005337371270491116,0.00461581671189215,-0.013693278092378634,-0.010940653338749804,-0.004982240743336804,-0.015075857026788096,0.013434105452397017,-0.007563471741468426,0.009491389242512081,-0.0006323506940953268,0.0015344780414656676,0.0006838729144852035,-0.0002417822666707765,0.0181590442183387,0.03308212106703732,-0.008232051011147651,0.002919385610678787
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,-0.019937484763196116,0.0033844319459995697,0.006819515114072384,-0.0074245638919615215,-0.03841962895426852,0.0056361221100748446,-0.0013496462937075764,-0.004035400804103654,-0.013135505596405446,0.006356881159845659,-0.01707318165746934,0.008031861721045952,-0.0030614081199154828,-0.01115237237191949,-0.011091044738807855,-0.022857017025172285,0.0055376604784472564,0.017555280529564204,-0.00016264740725864158,-0.009175001800136825,-0.010248872790862165,-0.008352742857371167,-0.01366311017348017,0.02517819471179929,0.01993840823634245,0.023783458128167363,-0.0032341216629749262,-0.007280869790451973,-0.036684649082706564,-0.0031220053588064,-0.0187450785691262,-0.00742771235009797,0.018010228231215408,-0.0035247968924413554,0.0013401195496412345,-0.009898061433143137,0.01114465447768283,-0.014389903079765752,-0.020264408019767127,-0.00984807601665294,0.004066368747357658,-0.02438496603686954,-0.006019164327493315,0.0011417420958146653,-0.012518486656026319,-0.013027566807221677,-0.0038365881229652232,-0.007633547869274881,-0.022961201271501783,-0.02310762957901295,-0.001356335299192857,0.016488416712237584,0.0007568559444160717,-0.010127998424518739,-0.007408392311660313,-0.003520372208447404,-0.014148621854848584,0.021013664130424502,0.019427767938518074,0.018030970691986916,-0.0067052263302575426,-0.012844016014913215,-0.02796967555776053,-0.0049155816807158964,-0.010462014408057834,-0.00914439346150201,0.02233171953097652,-0.010932074465681512,-0.003584729427657414,-0.011559726154087482,0.002660441561187285,-0.01095336782334852,-0.019253784671405712,-0.013328619529999133,0.003258113665903392
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.0025219254273820208,0.014539866418063064,-0.01550380709507314,0.05489864193185081,0.05746918648102517,-0.007403537397073403,0.052640633932162284,-0.021473273816971623,0.02056385786320353,-0.0012119688630733722,0.01236524585137653,0.016258493983647402,0.016571677084617646,0.02263693624335059,0.013421763270698031,0.01050966428065728,-0.008752253814152927,0.006701115462511426,-0.017786063917569324,0.03706747860204257,0.016071781763961162,0.05032139926995345,0.026422484656249724,0.011710281114565783,0.014027053160516707,-0.03162752849252155,0.06064755689565725,-0.0021780769449043827,0.060671508172701095,0.007124692689466481,-0.02475705002706178,-0.007268497782914269,0.016291131290245633,0.01882800833242865,0.05706908758828584,0.021656621501246733,-0.00489446668775826,0.028983293940525363,0.02670201933335582,0.024018232793091794,0.06071931378928212,-0.017397396660718156,-0.001249555231460069,0.0080040621815764,0.005424629888426424,0.018788185836522982,0.02064341524785167,0.020600910037677972,0.0034521351042983424,0.008733711929104812,-0.020251124899826126,0.007331196379576643,-0.006120999496350566,0.04026098915946362,0.019481415476761278,0.060415956115773446,0.02200915910083232,-0.015313008974978979,0.004391854156228199,-0.03233915889582733,0.07215091340647016,-0.0004496352217524515,0.05508470654043671,0.014350425907922062,-0.024819695842797158,-0.009098303652002222,0.004617141808371038,0.019739112645905527,0.07242062368159388,0.035358637083739305,-0.002260497390821729,0.013785583067571505,0.04082197040540032,0.03943501601961195
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.008913999684084406,-0.0028892972897339646,0.029325020747415165,0.03394473760469925,0.01673782818828285,0.012326372681975287,0.020285443122534923,0.0024798415240305407,0.005613538598818996,0.009781824207956187,0.010398107650320867,0.010059712590826397,0.008852117848347498,0.004001471940645137,0.020576775656985236,-0.009374798363581826,0.013151981245668302,-0.0034018427365195983,0.013919840096478188,0.017771390872639056,0.034647341183385305,0.006370318504060731,-0.00847914610972147,-0.003371069925484549,-0.022241205929127587,0.05129073658213809,0.009983964167623493,0.04050407646502718,0.007100254546945085,0.012343650957101063,-0.008132679315408274,0.021041494660213843,0.011293506404395652,0.026899889030432125,0.022500813975341972,-0.003619480183263186,-0.004483510430784129,0.02255400974321387,0.03991925326930495,0.02280514946423946,0.01714867410512145,-0.006890123008377745,0.015593647167384088,0.006182620837385219,0.02124444943643365,0.006463164502842489,-0.0008474246871537129,-0.00022509243172260393,0.016513571467055108,-0.0009002858130319619,0.015748031514733085,0.019494230522393415,0.021062976766105388,0.02496813682448555,0.0470066010509085,0.03558184577851476,-0.006113992265529637,0.014604347072369647,-0.026154011713037845,0.05268124020490274,0.015508393891724629,0.04280355213135555,0.020491537172128017,0.02235673338126069,0.00785207871395589,0.015610605603024885,0.011999372203619487,0.04112737919780335,0.027044557906962554,0.000572345101346256,0.00671034110677477,0.03383441575034627,0.048804445328095046
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.004299269458624382,0.04716281424167463,0.03604339924921273,0.02224112410908144,0.013931466995204948,-0.0019502189357030548,0.017017419833514236,0.003810269672444115,0.008533667774084621,0.011642537302352091,0.011990536346612252,0.00608329396714166,0.02005763654902072,0.020159357105838185,-0.002426088237189524,0.012824617550198173,0.0024655340047208757,0.022076333347016606,0.02408934424607844,0.022851194129355733,0.009804613231226526,0.01349950207440009,0.008456032085114851,-0.012277644068864373,0.043111680784777874,0.0007726744442506778,0.03037454161236824,0.015261337189858372,0.010910401450080237,-0.007616003571351224,0.023868576200460945,0.0028131633648519274,0.018251489274637177,0.0029851064319869197,0.009760384351386382,0.011198057135580858,0.023098375474428726,0.023976013524194904,0.01351033585625021,-0.013228318492941708,-0.003933440149565213,0.011278196357831808,0.0007636974420540776,0.018063593198414867,0.006292033809975352,-0.010959831641465296,0.01884278946908071,0.01481477680625669,-0.0005180627729841795,0.017513266341581023,0.014431432003962937,0.029550406855991484,0.02888293718631916,0.030710409233731268,-0.006734799651638536,0.0026180016956415383,-0.0012510302101672094,-0.020297296237707516,0.04815589438465767,-0.004380503171357072,0.0228947776257473,0.014337024849617738,0.021428851756032888,-0.003912888857093514,0.010120859500140246,-0.0016050131405513518,0.04956062078971337,-0.016037863149469853,0.01955390315526938,0.015648205556636773,0.026069872508212178,0.03644710844904227
