# File generated on 2024-02-03 12:10:24
# Number of participants: 706
# Number of patients (autism): 353
# Number of controls: 353
# 1 datasets were included:
# - ABIDEII
# Effect size betas (regression coefficient of the linear model including: dx, age, sex, intercept).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.004913419830308145,0.01736766874774158,-0.006095643103468835,0.013897472068942771,0.030861338958035986,-0.012003783639595825,-0.002937081657489449,0.009261133438229908,0.007106745668131301,-0.01132122907198907,0.01387727054555441,0.027028499577807237,-0.006958747317367489,0.028295836536532566,-0.01606242942143648,0.030184938601802498,-0.03489736753323809,-0.0024258531331622234,0.012255508017505905,0.0013859242344769652,0.0021343677934516367,0.018869590260798357,-0.0005435600954438532,0.015432235573873443,-0.02648267847988344,0.010713624669090713,0.029930691969578944,-0.012776824273884236,0.02404569275203985,0.03328077211454903,0.03267528886035039,0.014914766112726208,-0.030827639359590313,0.043550552112595516,0.011684849056910782,0.04924476039929446,0.0009464343340420012,-0.007881622640012464,0.007823232037136248,0.02388050135787953,0.006566622780890318,0.04393689029877325,0.010285805118632647,-0.00878406241401093,0.02795542253964788,0.019786628572218714,0.02052648514519666,0.01655007351009385,-0.019410536811574113,0.02870486352749144,-0.016548297367214203,-0.004099928161842981,0.01014883477605121,0.00964365453533338,0.006647711005608653,0.008529011633187249,0.01617416686053064,0.005613661183022935,-0.002853032475400712,0.028590477019762014,0.021819409228962704,0.0069800325967510546,0.023073188395507826,0.004551002411444578,0.025091731054576807,0.004540278024651929,-0.02821662525540368,0.03975979313763806,0.0012903310960015856,0.03448023705044755,-0.009045866033088346,-0.011418281879372492,0.01738795057130535,0.013813112464506836,0.009789284835851886,0.04336092950801448,0.007711269491140065,0.013574584691493963,-0.000551534950578662,0.02399785730758476,0.015197319965709466
Left-Caudate, nan,nan,0.012174469650386202,-0.023770564992408205,0.008082594788191923,0.024240419393709318,0.012875483197316323,0.0017155366421117608,-0.0027926758905440145,0.018053779383918958,-0.009025529416532837,0.012333293158628066,0.026629442283715114,0.008646445014986489,-0.012585098823284483,-4.919979537837902e-05,0.0006248639877449781,0.004302621201462813,-0.005403709193584942,0.011988405794086388,-0.002501705465582894,-0.011076445922637797,0.015654645256434733,0.01769755157808018,0.02101166430105874,-0.004534451255160523,0.04005870928389575,-0.000905030661260087,0.007107657410264338,-0.0028260875054010965,0.020523285969400982,0.0321668555000554,0.022633900149848462,0.006522541681631877,0.009209446773317653,-0.01776144842152091,-0.0003653782521666526,0.002764879055172182,0.0499707974535903,-0.007426406033784998,0.003582666397749852,0.0019563264513474217,0.014932036398615296,-0.028383249922921582,0.0046651082257095355,0.005908780719817808,-0.00984550392783494,0.025699586663678147,0.0018944382666423627,-0.013157138194798875,-0.004907869812400493,0.00392228360710372,-0.0002441163129570833,0.004057278736551263,0.005284442133974063,-0.0037399300475017584,0.013160885994537177,0.011628900110338486,0.01811863363863137,0.00011758734978462546,0.04116359776163017,0.003584617405099236,0.014922701193521076,0.01551318879746535,0.005849771400325797,0.023972694390560746,0.019290439308412267,-0.004293021924680671,0.008322570260361825,-0.008529982838437344,0.0031945510876307285,0.0031947186337617506,0.039267581176927524,-0.005646709440770125,0.0016411383805906262,0.00819987287786341,0.015327764874103656,-0.0006201871244845516,0.01541940665673562,0.0026766965566005015,-0.006766165453187657,0.016357610037259836
Left-Putamen, nan,nan,nan,-0.011250216372584627,0.02051602252678389,0.02066100211164974,0.023797297190538302,0.029499436485023352,0.028590349834234075,-0.012278262214734176,-0.023777190518656243,0.028511413499412806,0.03345663244586165,0.01063026066125078,0.02511140477442649,0.013155646185197862,0.029256222390321437,0.009802628853396708,0.002064179739358787,0.008533446089477889,0.0044973780081385625,-0.003194043025567989,0.02982135624759155,0.020303222242033916,0.030423193408001283,0.0011762898457542,0.03153395489077685,0.023936280651680113,-0.006716491091045293,0.021737523529369005,0.04193253093198722,0.04063206074453828,0.05179772693344732,0.0031459638913317804,0.025669500168953533,0.022259282263408713,0.023096141932618653,0.013714576020691965,0.05056689578138707,0.012322059015261174,0.04428684755081172,0.00998565268167814,0.04328213359397987,-0.0015341267200651646,0.011884348513116373,0.018843712946845052,0.005590620943405,0.033219010271684266,0.019228037256988843,0.007101397057200258,0.013089955362070717,0.014549474566140353,0.013430693496867577,0.015489739786655219,0.011065237380601823,0.010824521766574682,0.02692388070302651,0.024968688326853953,0.013776212009010372,0.016053679376798267,0.03455416826906649,0.04127488371728099,0.013480434082788555,0.021647574443526864,-0.0008975459105352215,0.03550611274186052,0.024301409927837882,-0.0014553247802322417,0.015144847836844414,0.013403955210325596,0.008590641102884006,0.00937728285745949,0.04271918306795953,0.004684911941760864,0.03506945763153267,0.022912423882496778,0.04052957202380597,0.0045723742836015395,0.020987767689273767,0.018569727092231307,0.01623342144340317,0.01866210498093578
Left-Pallidum, nan,nan,nan,nan,0.011251026228988442,0.012432042225113217,0.009194826376808145,-0.0008011376763332754,-0.021246301991963656,-0.02872633137524419,0.008267322200775959,0.02188459577394316,0.02751320973866028,-0.01274980416781061,0.004752734868296361,-0.03747784163148375,-0.005036016428749144,-0.026173339651809662,0.014212729720964965,0.0017321176139049029,-0.009880512990023262,0.0017949715431766296,0.014460767878910877,0.005651527831238472,-0.0018405390445997913,-0.014356057925704924,0.006189548674390899,0.02475994582240526,-0.004522838257717639,0.005880284792390883,-0.006619748521603224,0.019226900524816976,0.009128951669121949,-0.02476865275231567,-0.0007118156558776665,-0.009302036324965436,-0.009272275884574337,0.00333744007235469,-0.0007061977530314067,-0.01581561736847132,-0.011749994288538483,-0.001201156883304546,0.032529479474967656,-0.026745765702526025,-0.0006538538361826171,0.02761158355133467,-0.0024148070046339574,-0.008288211741309066,0.004839542062394112,-0.030951270082579134,-0.005564025808756068,-0.016113754061548285,0.025259355871753323,0.008561185882984483,0.009264614126349501,0.005491509082198241,0.02075650520800069,0.004869175258685978,0.0010413404787466014,-0.0058449572415472965,0.0012015529357651872,0.043150997233254634,0.016386326777567125,0.007636659787290783,-0.019880178418422382,0.027010415326983596,-0.01615198722622168,-0.03219548770314224,-0.005877099314842074,-0.011448359727464536,-0.023161403863111663,0.003266221268011817,-0.00953181483287489,-0.011204927639976202,-0.005355283606318233,0.003792274660770568,0.03325525574310488,-0.01222494463758698,0.020966389828973645,0.022383742273234846,-0.01021967159451936,-0.006338247656633091
Left-Hippocampus, nan,nan,nan,nan,nan,0.01861693171137085,-0.023468216870586662,0.016316965816345553,0.018451067818263712,0.010730875448161026,0.0066655677058910815,-0.018427880708732438,0.007736506459259218,-0.025088377209401817,0.006495404016038384,-0.014080460619698705,0.016598286284176672,-0.009064691642947051,0.016663236429852894,0.033187163832122585,-0.0005245351318950592,0.029491231609595745,-0.015579017492256294,0.006201892348436584,-0.008554332809450725,0.017698055935978802,-0.021215154235512512,0.036130255954035,0.012894498982500195,-0.018671852213920242,0.020065029216924535,-0.0021591058918386257,-0.0026743666266786344,0.012611184059163028,1.753580095901286e-05,0.009289566107747381,0.025639339735670515,-0.044259022368118954,-0.05809580734174991,0.003695956447331714,-0.007088311075499313,-0.02273532850699875,0.009495767704491837,0.004668939925371352,-0.01815708046844121,0.013013547897739263,-0.009521222960019246,0.010823197041612507,-0.006694369038300229,-0.009745407792202187,0.011402326012784047,-0.00650843166115339,0.020456486647055207,0.03437185267854582,-0.0036003516572175333,0.019244798383206054,-0.013532799882621085,0.015031591116087676,0.0028027664633039537,0.02317351210180459,-0.014762820564464482,0.004282648139957145,0.006778591457268009,-0.022298319754292705,0.00155745641718731,-0.0001286296668723552,0.0018640800470103337,0.01390831458264304,-0.017891414994505177,0.002491760672050478,0.001092115236497721,-0.03337024292696326,-0.03796444818934814,0.018238873872719705,-0.009594013264385238,-0.018560060325088105,0.008488574593157053,-0.004925127389357332,0.005484262975350786,0.023766114843353545,0.0022151122440476926,0.0049321405581638856
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.005688442164461931,0.0361704537698163,0.03683456387543121,0.010663152506567438,0.008273961460685634,0.0026860829725266874,0.020268175016680445,-0.022711076210973406,-0.013363853904319647,0.00972686676970929,0.0075884024356931154,-0.01656628277984846,0.028190684648722906,0.008727607452457821,-0.014407464235945742,0.01564833400078127,-0.018979555040158476,-0.013672139792516103,0.002851667566870901,-0.011375267386169967,-0.010058691956678512,0.015048930941253315,-0.001816816508201635,-0.023640883745304764,0.010778576850208357,-0.010820387696520044,-0.0013971377155238506,0.0016182111652726782,0.01836104131967099,-0.0006316571865186385,0.02858916742601824,-0.03604304046725424,-0.020223816645524847,0.0027153902762750886,0.0017129727516928528,-0.025439499101758037,-0.0055357575552755466,-0.00204630697648776,-0.007195130630928538,0.020829441978078227,-0.017497681813201636,0.027658759317233637,-0.00168066142639112,0.018906613882136637,0.01666309497998698,-0.020744305754171938,0.027918447851181857,0.009070028021114682,-0.0035893260631177366,0.02276245957828789,-0.02313457770262037,-0.0021546306937661585,0.009309619463137568,0.0024560484767994334,-0.01351567416633787,0.007876972949651409,-0.00904493039042333,-0.028640515291750875,0.006272491647478227,0.000707820180648567,8.035812393285266e-05,0.00034168149799943773,0.005570753172923971,0.0018789250061943571,0.010047799535227699,-0.02493317147357843,-0.00877053793936601,0.018136141518479906,0.0071619744396241684,-0.02052980889284207,0.00867138432927544,0.00024337854756424542,0.012658343961474488,0.023599607177215168,-0.01392371116404597,0.01875391073869738
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,-0.014525678077845921,0.018432070002152485,0.015510902478635012,0.016220222407637267,-0.027897754952381126,0.0033378701672089526,0.010935594528389794,-0.0037262978516186766,-0.019491935629115095,0.0008780563239711164,0.005881192406932996,0.0019843755889285028,0.0026189914582610903,-0.014739291168236548,-0.011255341510730718,-0.014771444838055177,0.02854460837124679,0.03158243958682007,0.007880596561948141,0.015697666456860392,-0.018665959037286028,-0.01806237511087759,-0.019893906216639796,0.02938587527357393,0.01796988539337157,0.02415549305448487,0.018413578634473286,-0.005215629635888937,-0.0166748642644692,0.011422386253038397,-0.031181264200389094,0.014284582220704476,0.003821654255452854,-0.01807266909450595,-0.010691928489052684,0.010003682366910552,0.0053520575888310285,0.00014912134422302652,-0.01661327054215229,-0.00038727641474517823,0.034465801132461664,-0.003384638665216961,-0.009936530107621473,0.0015149290314819745,0.00017250780907759495,-0.017554409934677242,0.010173304508363932,-0.019784144873520784,-0.006708215376173786,-0.01727956757818275,0.019577755729786876,0.028077743694560425,0.007086964460227503,0.03849646327412829,-0.0058616449364123436,-0.013733347198828584,-0.02235705520451497,0.0114173259488869,0.03453871586636202,0.02038891965930864,0.008084800643544936,-0.013739373996959632,-0.013482754299531613,-0.000758227624761262,-0.028040575440489806,0.0036487195585341195,0.011250190059311143,-0.012092839785517749,-0.005405322461151787,0.006716587077387338,0.013607965599999284,-0.006861659963555654,-0.01616007971587439,-0.01324961200491166,0.026185766102023236
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.017916575999991274,0.016935826311360133,-0.009757715059862943,0.02816257218596684,0.04524145312160387,-0.013221053676845347,0.03413946531850308,-0.02089802773108125,0.03922616348440198,-0.01733676057880249,0.01377434429120859,0.01469339507977265,0.010562993148766322,0.017137448835134204,0.020803641229247747,0.013826403882906254,0.010646078568536648,-0.023122182957865747,0.007539257250232809,0.042022786002275866,-0.006670141113400287,0.03417740721693378,0.03535206100555637,0.030866877463011432,0.0296306250516165,-0.022647433738849577,0.03314461264178317,0.015534101479564796,0.04777281177980901,0.014472906085914497,-0.007555140374175435,0.013848626655135253,0.025498235263317726,0.014949058776306057,0.056749414651889415,0.005714535978383071,-0.00013752952173085752,0.041475926964278445,0.01884590876508413,0.012744681771074665,0.03758207855469971,-0.02511091971253721,0.032739821491440974,-0.007110064603383104,0.011794149473231201,0.015193276389502507,0.019017322276412355,0.01963533616368858,0.02340714868205511,0.023966166997439135,0.010141775026797934,-0.0037383166417622256,0.02361896820316796,0.045109544363211206,0.017864122855911557,0.02690556497905957,0.013686224379515152,0.028012257050888015,0.018205113881537355,-0.016432716626187248,0.03298471749053407,0.005862700177605249,0.03457667876533115,0.004993641966305448,0.0021930256706866632,0.017261331689749856,0.024790528940751316,0.021595227493473583,0.06543781876313433,0.0002142825809420296,0.02106302882417673,0.012558540388090721,0.028335529060745813,0.008076082100744304
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.02821878609905128,-0.004789768315431671,0.03266051620018389,0.03518114979209872,0.015568340842579104,0.005104402304947056,0.011612116138208856,0.013471621296617236,0.02368759712236249,-0.0031689949209369305,0.02113012046972114,0.009465305807661428,-0.00481892691720746,0.02457050139161278,0.02333617632210899,0.030140725234791346,0.016159645047668238,0.04347316472075635,0.010256022376222407,0.017497337825503726,0.018516797932058064,0.037288819554578086,0.0328781941833297,0.03689274045142077,0.015779054224688564,0.020919384148570905,-0.006004175372788418,0.020160968702890907,0.01955696532411662,0.049721468552765956,-0.005621551810261829,0.022328346859253882,0.01235060920908747,0.0342229219870675,-0.01154595065952577,-0.009178257827138617,0.0237343396424507,0.015030161152419218,0.028654032734886238,0.03053494415690072,-0.005311946370687432,0.008232963281818845,0.0240467866455489,0.006128934147324345,0.014796094274266428,0.021225560246503204,0.006261523263517387,0.0225472471818958,0.03080512833582966,0.019447154711821197,0.019104463194808265,0.05147492989436877,0.027681607239700808,0.02466218431714103,0.015001951621841996,0.025286613360417997,0.034577926126753124,0.036979690962657165,0.014964673686103692,0.027600860415051498,-0.008587846183974747,0.03138337824022524,0.017521186506085654,0.03615377376363096,0.002488589949442664,0.021448745313917106,0.025381549291109685,0.05268031358640429,0.01585821667665524,0.03168429233965251,0.021342505071080306,0.004053671307864704,0.019257840020353214
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.012322109740059456,0.020647736841291925,0.028961314277081446,0.02278305727684299,0.0111512544832784,0.009563873627487054,0.012458722970125041,0.012614857319306401,-0.0019903081227165666,0.00589773657707461,0.0026442391158219367,-0.0023093881153921783,0.0267868401164822,0.017632337672180667,0.012166441717815883,0.0010268380304558039,0.017770005073311376,0.02132791158719981,-0.018979628759282996,-0.0015915348695441209,0.023242360811436314,0.0334593344300913,0.03712704513854108,-0.0016596900394680542,-0.007497674034896273,0.0067629761691379,-0.007462467114017806,0.013073607726368926,0.040795257565841514,-0.008034920002887306,0.01902686986232607,0.01116324841842318,0.01966341673762076,-0.017398582973126422,-0.006864860351875043,0.025670337884322568,-0.012377474764973528,0.017506188323601412,0.0036103003678396987,-0.0022891803300021515,0.008449062880564212,0.004691481630300605,0.010128002170003168,-0.0023637700127526902,0.012273454886960869,-0.00663724303179539,0.02691241539707343,0.024216750262335027,0.014434517362904955,0.01269816105722585,0.03058170204713983,0.03308737753363887,-0.0047910808338674,0.009468324816016567,0.002162314253851817,0.034834876179527845,0.013678463166870797,-0.005926817121359378,0.013224837941999672,0.0012043932679685952,0.00037166187020445604,0.0045514440377861275,0.038700741766286406,-0.007530944727214986,0.012075814250535041,0.021169751779868143,0.046542980167758104,0.0069310047056486395,0.014887645663483716,0.024360354937199995,0.010923705291676262,0.026839993499774912
