# File generated on 2024-02-06 23:09:16
# Number of participants: 30
# Number of patients (autism): 15
# Number of controls: 15
# 1 datasets were included:
# - HBN
# P-value.
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.9548108111182867,0.8922517940104213,0.9004449324541826,0.2029025326808709,0.21967871751588797,0.5430041539756199,0.13579945816055541,0.7135469336833413,0.46466903829161554,0.363930900747235,0.6826216329953724,0.10981920783688962,0.8287024431453992,0.3251257121852392,0.7379271597901073,0.30718399969862636,0.09318829295369124,0.22294590499900782,0.726551743103274,0.3856349451383315,0.7148427391383101,0.09279381589920162,0.4806965262641971,0.16535975606007058,0.7165367473310245,0.16197462054878153,0.27628434229892535,0.9115441039515461,0.03740913736019291,0.9051903521689004,0.005091626326467476,0.38786659567703996,0.8273311959827458,0.0939212874517341,0.12502279988488146,0.6263204618459766,0.07509498881663645,0.4129541060140288,0.18575963908877158,0.06499150503651535,0.15415534626936178,0.26989575436502683,0.10194216227894141,0.27843558444643407,0.9803724829305435,0.19459716259125256,0.5330512895860994,0.5758219041098364,0.5978802764230315,0.3730988740492741,0.2639244885881156,0.7314939257704778,0.9212379212944131,0.14750809863249725,0.7599095790549636,0.2522026934480255,0.6073130272837461,0.2327182079363052,0.47548843725491496,0.3208460135882674,0.12125640085904324,0.37940056648049114,0.20998968145221583,0.5230585193583208,0.018910350541704205,0.22243533271055038,0.715051037719169,0.08482918565226051,0.31104278950036873,0.3831574796689816,0.14576855517425288,0.842462716386947,0.444127155661326,0.12087018701065226,0.11475179701141637,0.2853130365063381,0.13082198363281108,0.9730730046519841,0.06943977963507868,0.869540009163805,0.22089697856925142
Left-Caudate, nan,nan,0.1886913247283734,0.9720573629306053,0.632533461345895,0.47717274469098525,0.6330303987945937,0.2880663250799597,0.13320121320031597,0.026290454623803753,0.18059298851145275,0.24675792257382048,0.09222632565212835,0.45336937908272157,0.6195311126896533,0.2857530739988025,0.7350260845901163,0.8837809402449668,0.6370107560389169,0.7644248715921695,0.3007245682917632,0.5174165396249384,0.3633575544425591,0.39959915476966645,0.5423479068521805,0.07620075704568724,0.2409321034129574,0.6775261896298936,0.7885483255040863,0.2460167583611508,0.7955689937257762,0.11191238365134792,0.3999590475450606,0.34556875040097934,0.2558937018372449,0.5997234209135478,0.20983654298669163,0.46242509577455115,0.12884999188293708,0.8287272145027103,0.36632215139799196,0.35465672486243993,0.5536861676115326,0.9950258481927619,0.4472444624224604,0.30639226176471474,0.11174827923071297,0.25178246920493164,0.49072477015737437,0.4500565069052165,0.46883293561053985,0.3400840726826485,0.8145537534736138,0.8750095072598041,0.38264924118268206,0.567476397773768,0.46333909000578777,0.32012340205558953,0.043270933115174166,0.15639066338556337,0.11761629788686452,0.7858062068213176,0.6021965295775715,0.5712906180211932,0.4383670222669048,0.06748071085758504,0.2552868605373797,0.4587344058331556,0.38656244085938574,0.8087768666286661,0.4045643475208036,0.5401281956144062,0.6429153671463959,0.22896997552916498,0.5626327125182445,0.09061167634497441,0.5970990332700531,0.9969974482004951,0.7517635209607328,0.03033721777171825,0.41514936691733817,0.320398400071986
Left-Putamen, nan,nan,nan,0.6261369145556438,0.946553049276216,0.33139480927357556,0.01249554541515457,0.30376909986670714,0.2688300530990477,0.2338098696506362,0.9811210578851766,0.3672438949617526,0.9252837261089905,0.011062892914164691,0.7648484130394544,0.6881891651549201,0.275767366835764,0.924153378697331,0.19370423205574372,0.1121132129598692,0.4267305869955377,0.3014248936715286,0.6987114149841664,0.09897760417544796,0.2552759337263284,0.12548671582203522,0.03674098306897565,0.6492631894955521,0.35415882851610736,0.038827459635358365,0.10249980811151621,0.19127877864476092,0.01028133061677128,0.45975516205978395,0.9858519249797542,0.04068169301685593,0.7782466036630605,0.7581080495477703,0.08612251338384316,0.6784151132401721,0.1960231814553214,0.3001144748466952,0.9117495774865456,0.6700404917246343,0.882510959555534,0.1016663362317836,0.5365314660755758,0.13713625668236762,0.4101205194296167,0.563247542159643,0.6108360849371521,0.22387571026020264,0.22343695481311868,0.5443959814159893,0.79174004917926,0.07074812716965442,0.6189128054565519,0.16040598755885233,0.09979360455919425,0.7703488743126781,0.0077597422978481516,0.8205704284032871,0.7731621173076024,0.654371251690331,0.4490512991154132,0.023162295476781877,0.21294228362727596,0.14623462196897002,0.8857882572393385,0.4716238304726226,0.5951922824974296,0.9772471781517005,0.5891558343570944,0.2956592293130233,0.33992398667388224,0.34781048088529776,0.4283031872490506,0.6696189488347717,0.5965272329974096,0.2334275950856364,0.7249066859895561,0.6055802926244852
Left-Pallidum, nan,nan,nan,nan,0.5905085576778202,0.046937312157969514,0.28287084718147915,0.22029716814004843,0.8804345382017515,0.4563233655260588,0.9089898009713109,0.06884442757092042,0.4389869826315952,0.4988499198761607,0.8841917858602645,0.8405393628109322,0.46830010561320967,0.9302824945916162,0.4201528306599839,0.47759114744196984,0.9249268531607038,0.14873387415975306,0.6725201239678597,0.7535479133489298,0.10686007267600649,0.48641368518720296,0.12337940436122469,0.6520831431775291,0.7425405378318362,0.16230379748421286,0.6036324200727907,0.10958856781060926,0.02214416792026823,0.6291188936228435,0.9537574561534364,0.02311250832640867,0.759247210778809,0.27522843433107175,0.6702857855879635,0.8898501454887326,0.904183744682404,0.9302735042655184,0.8903077863212594,0.19031306241478213,0.5448522920820478,0.05439796711741972,0.625541550298836,0.16863188368202237,0.7714519074819542,0.8941888975984642,0.20965018217538908,0.3160162856727226,0.8233020403688691,0.9448167675550205,0.81760878942235,0.5772134137548137,0.7565257967587217,0.6428885120588125,0.8580183094969921,0.7191275684891276,0.35641881352523463,0.4837736576149825,0.0570836487662676,0.4022429455670282,0.49528977452474676,0.2938299583111392,0.6974151323346917,0.33412446329142653,0.2555820317243705,0.135314078026326,0.22175300227521427,0.5737860485356977,0.5819041658717519,0.39233355310443785,0.5335985138936772,0.9490391463240833,0.22362312906772,0.6755577822485903,0.3226289821886841,0.08283714732071908,0.8674525627184773,0.6799675216822154
Left-Hippocampus, nan,nan,nan,nan,nan,0.6722654143477063,0.39800134136885656,0.1342481759727911,0.9714214617964576,0.27132315414369873,0.9776652618540922,0.572870989879947,0.0497099301201091,0.2199530526197272,0.7860729023491672,0.40968956368688303,0.8067296558505295,0.031942774434766036,0.4405019121642312,0.5374258167180967,0.7577382848493949,0.43437517461275366,0.9073059244542625,0.606023347633883,0.4525934059289326,0.9002329057407918,0.7852487316288971,0.7220563785164895,0.15774225854125604,0.39898797411694054,0.8954090955504468,0.09326616045495117,0.7301878063321355,0.08705743328085179,0.7923260134193153,0.3176411818334981,0.9449956621425154,0.8176191270191148,0.5356916863130348,0.40291603557113065,0.6914321862897186,0.04750528287720737,0.6363097747937041,0.39464946219282193,0.9582713855776386,0.473858735701536,0.5972930880553367,0.8189939137626876,0.6274766638990572,0.12766505191897756,0.7695407279556885,0.2842379923869878,0.16729771118437342,0.510505621417167,0.8142905291375626,0.48184239310423294,0.2255787772117987,0.875130494226916,0.8728126326362857,0.24387403073337743,0.45988052649129507,0.9186221442632205,0.6057638202632902,0.5710564468085413,0.48422773216303217,0.44313177986798846,0.4214570157814109,0.259184553924263,0.9252310243494791,0.40376363821645456,0.7191163340376179,0.8719042737157383,0.8787359852184397,0.9805860284913184,0.8290527425303376,0.08906351145790282,0.5782561354854103,0.32601114922340135,0.7814426167314374,0.9150596030925241,0.9477099857554756,0.3236553128922006
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.1711292550283084,0.055391384170925706,0.061504299779687466,0.3628439079929985,0.24633129810045337,0.45275469796089907,0.5508190836515362,0.10393111927683574,0.6283503812527101,0.23096798627563928,0.3618449891722916,0.10229539062297184,0.5640132543059724,0.981972969771872,0.6526549218034009,0.3717295178963357,0.3248755995304311,0.7736482942095739,0.03166540054854061,0.45884981779975953,0.21953045020904505,0.5269521644974265,0.2758949466104287,0.044313905111176416,0.18833279936349945,0.12316357341293074,0.13939211880048444,0.05035635221087733,0.30117144968861914,0.01633781817027442,0.35737545632420553,0.25971548281847784,0.06579529370720404,0.27921711117779824,0.1646377533373434,0.4690332380011538,0.8138955837843436,0.26419066270962277,0.8963872035475293,0.928515992430903,0.34278284047543617,0.03493655183985258,0.2577949476833502,0.14797020773392972,0.11120230533118532,0.15484637319940978,0.8511278107244344,0.3550362684032403,0.3137320234133086,0.5987857571356041,0.13839840793246844,0.7526501350786599,0.6852392561308798,0.06096684113518433,0.5270483637924791,0.41496238548096187,0.5157836608845485,0.06514506003903311,0.12288364022105625,0.1294753803318117,0.08543907872408414,0.11720336453153148,0.0812732409920986,0.015896339341061543,0.25127571361404033,0.12601435108841555,0.11700177987277628,0.26072368587437844,0.26003171027907107,0.2920569221059212,0.1735995212187672,0.12108544388371208,0.6247482165278881,0.4579358730955251,0.11979160244342721,0.12002044070044919
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.3976836643614874,0.5131617827308721,0.025040716913837132,0.9415939407088918,0.5647213746424589,0.3651525837748171,0.6258741237094265,0.6202448350327892,0.24301625119641032,0.8375740131089849,0.6856102311642218,0.4456481160955167,0.9261589560326932,0.15953491547910054,0.8250067975716041,0.14386160125651398,0.11176252394253024,0.8757950368970022,0.4691669066126053,0.23710236428646772,0.3495278464566458,0.3221987560825484,0.969593925838395,0.21468808906255202,0.5682974057116486,0.679397940118998,0.8794230860469965,0.6843616595234091,0.0401612757118516,0.2395648792539616,0.45488515282724606,0.4601735708531449,0.6618667117267205,0.6111794353658908,0.5674130698963222,0.4720219909859633,0.9578163830588707,0.35360882870921395,0.24425034536974585,0.49658650999617127,0.011959924819530482,0.5300923660230878,0.03278182719060912,0.21906021009007287,0.548124529811568,0.6523272307019385,0.8166311280099809,0.15262424230375646,0.14992771875332483,0.45321053159471236,0.2746520321428621,0.1548929884188799,0.988378237319553,0.5894333362990151,0.8782813532493744,0.9087350066111728,0.4928310420956634,0.08749875298612263,0.24396287885458515,0.21234709799782486,0.7949336349408156,0.5765770979741104,0.16012801458020845,0.17496805663703757,0.60534997292003,0.752232446615513,0.1933237375701852,0.9903530968394156,0.3372923713813901,0.23645724874882504,0.693461044081414,0.28594312974572333,0.707602395042365,0.21421497970330966,0.02187369739078738
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.4985455091767447,0.10014865845820965,0.23634970940127334,0.713835049503489,0.013853091909074416,0.676963323570908,0.22444985420050745,0.09231946590866716,0.08847360041576169,0.1383038018316123,0.5848322333916786,0.9284531875160706,0.5666616978403023,0.9239323390114513,0.267090210314164,0.9494752079521291,0.0028442898567024467,0.9251073668188788,0.011773022051806756,0.6083671272506392,0.4748783942296154,0.02252869786323902,0.1054978321662287,0.004232779466151497,0.013854296559941848,0.646019393848625,0.18257534505227951,0.05812676823922236,0.6671086050869648,0.17922413385858377,0.13955244750887166,0.0007385951053267716,0.001604004598166818,0.20793125374687169,0.13659238505729546,0.02778600908065946,0.18466173705129824,0.22661063439225612,0.14668800488991302,0.1987685073892489,0.43486098179293287,0.5472433408489917,0.8169612232639805,0.6592986868532587,0.6862191525836241,0.9558540479254858,0.49051024185845193,0.6578154344021194,0.5157486696890501,0.7383960514207355,0.01905458398667466,0.8406059640578116,0.11451416938129332,0.41066358616845255,0.4693778974734214,0.2951086086094527,0.35800261216259965,0.017648031416172365,0.19099185092151624,0.7607893818066657,0.07588219241424615,0.46416752148966767,0.7123460603371681,0.4524837564262024,0.3375496965802174,0.2080834283780894,0.0347732555490213,0.3246647966011481,0.18887411823555555,0.11901313729874934,0.6635805365190964,0.12224165287411952,0.20650629194834236,0.18880310921477292
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.07960417711507413,0.06561815677458174,0.221679702812857,0.010218350514643036,0.9215935218502483,0.28671286948703845,0.267517700182734,0.5302228768934498,0.8500917190200865,0.725551714783107,0.6986609740974299,0.4727704274463336,0.5430127954778512,0.4124223843751612,0.18100162142191165,0.34975467605451904,0.09551376437078347,0.18175245898701736,0.5084189971352777,0.8630413872781417,0.3836207500758885,0.24330524274996407,0.0671182774172377,0.0863214007240059,0.47181433370585524,0.3771070186563328,0.23924939096438846,0.19077753467859881,0.6170161778738827,0.4644423857954285,0.5445073540384942,0.13803492938083647,0.8224408096804787,0.5255755755543319,0.46310967555571925,0.8285031238911513,0.12028870748053723,0.10721844951549298,0.3214773195482965,0.6439527920446672,0.5980497343788906,0.8789576767253429,0.8005589861217866,0.8339415557646479,0.6955310337123224,0.3616257658053391,0.8411764920247565,0.2931248830655357,0.2952643474149713,0.23614340382205407,0.31833246437864643,0.16202737504515044,0.8106467227897489,0.7353297707072343,0.7331439479257403,0.651964879022094,0.1320233663693034,0.452786799155123,0.5550876222393648,0.6099443374851679,0.7713617293807675,0.46955404051118443,0.4337839257394265,0.7821219244435973,0.507342966743435,0.210386637073192,0.3446399506645883,0.43614548310721657,0.8428020333108307,0.7718095185358516,0.0744456784734331,0.32242483435969427,0.5247716801687998
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5876413990844507,0.3121446117066425,0.013517207864328255,0.0363817167920614,0.14628231548655388,0.16852251474577523,0.08527133712482561,0.2587345326979235,0.48803089691849166,0.7343448450951244,0.2594854132679336,0.6624512553876365,0.03452249740647924,0.9480795081466755,0.04124166402221788,0.4316323996077849,0.007573636471821288,0.19280551517545114,0.3316540224636929,0.17424361721731882,0.6472743747509615,0.018236795091800942,0.06680944498341372,0.953957999560038,0.8184144424778389,0.12225777577239262,0.956572360111074,0.2429430743527534,0.08558114007757969,0.15873664734861173,0.010701523551570315,0.8009198118794189,0.3727814290912269,0.5629210642807194,0.9971975358289377,0.21193727205808144,0.7140991307572486,0.5407156533697111,0.10029822210963496,0.5503990625083159,0.66673000417345,0.713688903261021,0.5508405260074116,0.7996456180687275,0.23530915594080615,0.8408086507962977,0.15796870523287784,0.7826992192689992,0.04027935241853926,0.8860563898705389,0.01714338958957368,0.21115797053564325,0.22929674189574928,0.5301115634797646,0.8540935650948372,0.002922963669335401,0.2974101658476116,0.44588352029534084,0.6729176394693552,0.983498652772558,0.8263611426904403,0.4590296437770228,0.13114858366402904,0.4204911341737271,0.09358003875643196,0.6471221913872167,0.586172080460365,0.9347204604222912,0.9239920487045898,0.09051239972969012,0.7747652004501452,0.550881271690014
