# File generated on 2024-02-06 23:09:03
# Number of participants: 226
# Number of patients (autism): 113
# Number of controls: 113
# 1 datasets were included:
# - SRPBS1600
# Effect size betas (regression coefficient of the linear model including: dx, age, sex, intercept).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.04577838089720783,-0.016760107038241736,-0.06119607019311122,0.06405460904776124,0.06511092501523295,-0.03830687095972774,-0.04553896404869763,-0.028294269899389067,-0.01086282009460707,-0.0634919917596521,0.06297245440272128,0.054643323195476635,-0.00788168136370053,0.10628081749140551,-0.034193530403101,0.051527900732764705,0.026272485708571318,0.024201623985089276,0.04453745514728501,0.06100780567550899,0.05618496042177413,-0.010719526985616172,0.025860327439129232,0.036862150429936506,-0.008275442027593338,0.02892548335449342,0.07909725830778075,0.026783461966556434,0.06252094712822921,0.055959444545244826,0.04221865338560367,0.07300283297580779,-0.05223700175091627,0.09993100628431052,-0.02558443598122859,0.10069980093073169,0.00452186543652264,-0.04664886900491856,-0.013401790673126177,0.04592650936853569,0.03674851722946499,0.1257537903938966,0.06148453733121697,0.017816635411055007,0.04693697964496148,0.04206815379898504,0.0372135175340183,0.09775191014241671,-0.03837364425405423,0.009640868463176468,0.019299282420441214,0.019181667730824952,0.045747121784214,0.03165835005267038,0.04429586794228587,-0.015490332389330506,0.03142983077186098,-0.003670567343171805,0.008921059025160665,0.020835448021006443,0.05833376932633502,0.02126392250011207,0.0699025317338124,0.008099319177271634,0.003190938815243796,0.029420384212897648,-0.032791467003325026,0.11266919275263798,-0.043961853369974754,0.07359536409352072,0.008823546893713747,-0.03164414874289369,-0.028769203703019268,0.008570698459781879,0.039158916767147896,0.10980988918566914,0.023411702626285405,0.01952099129776288,0.026048460823769985,0.04393089109325681,0.02741041642946382
Left-Caudate, nan,nan,-0.05056173641668148,-0.0602990522290517,0.012555769834221794,-0.016869898817385317,-0.008532773732722926,-0.039710909445636475,-0.029396250696587464,-0.02336152854978472,-0.042162784345968034,0.02726685249169398,-0.022229629807348453,-5.7963316180556726e-05,0.06198876327358333,-0.0361808915684137,0.057524284339631714,0.03443867489201381,-0.0006581114719521978,0.027837709314282217,0.05970224742345942,-0.004975416429601521,-0.015141115974099999,0.06119116248406847,-0.04305887785165051,0.039683079304913785,-0.021899582412733123,0.016566261433978855,0.017575155069869435,0.0538097848235603,0.008833850242738809,0.021769933105351406,0.019963051523067994,0.02494385727950712,0.06899333531003073,-0.00856382250638988,0.06172345762545245,0.020896930529899937,-0.04383378613718986,-0.019289382375324692,0.031028664246561935,0.04935635818087291,0.04515181630325317,0.006101448292247436,0.002967128906265075,-0.02100205587833137,0.0029939092664617354,-0.031239460886626894,0.033980577904243456,-0.04308800726895874,0.047088683538467804,0.035745905225483446,-0.0032251779008485924,0.04201246289740467,0.03388997656461989,0.0062937946138585665,-0.024878532627551186,0.05735278887746963,-0.03753198845259305,0.0701200767376327,-0.03888284936607673,0.004758470619634556,0.018767649395880943,0.05472191526682499,0.004492904107157922,-0.019582250720615983,-0.006211379050425005,0.02312715841487678,0.09401029818560543,-0.032189637351825943,0.06511474491218405,0.006027460164088309,-0.04699048642392877,-0.011273962624277913,0.0017115646199155708,0.06231553271498866,0.02794005037956069,0.006616734078258429,-0.0014434071648259017,-0.023152764310706373,0.011845915248957034,-0.02762260829440261
Left-Putamen, nan,nan,nan,-0.07354660099419978,0.05386263703456412,0.03477215918936001,-0.03502431183139896,-0.004096370412385725,-0.052520819848773555,-0.04026156468722793,-0.05038655642020833,0.07050459313135142,0.03424396603629786,-0.001349094673505602,0.08148233159233338,-0.006185434730837115,0.009259626543641559,0.0382298201136555,0.038397155395127426,0.06650134474266874,0.037353236306555744,0.05728931624737545,-0.00470223315213582,0.07401001447068864,-0.004550445877848939,0.04735808145722289,0.013520752208237013,0.0740229504719901,0.04528125112857467,0.05630659663694308,-0.0217467236622572,0.05170700617818781,0.01853118600256745,0.025199581933994925,0.08824304198052592,-0.02985937152382836,0.06685044214980788,-0.004055580945527863,-0.014591514638814704,-0.04658258193851652,0.02843302639338854,0.043068013997082745,0.0701200869847695,-0.007586928614873908,-0.0006734672145857493,0.025901092242083045,0.01555403177746021,0.007846484613866863,0.07374664135561868,-0.012990607014443139,0.005706580303933184,0.04046598809778942,0.02366657542428833,0.08382837873054985,0.012819631135872906,0.07519227209556319,0.016991062361847654,0.07695433270918402,-0.012145901108605863,0.07240151569126461,0.009776039272846319,0.06265172694748952,0.04577973619052289,0.0382808101639191,-0.020047760202808268,0.0032246555184660772,-0.004850148845992561,0.03025031559603379,0.08395706636665316,-0.027015811926884303,0.050174960786362306,-0.0029723214981051405,-0.0070102445764352005,-0.04047709920492366,0.0018129634209138896,0.037675375175491174,0.05920374503850707,-0.004860274827466291,0.031527644027937216,0.038869127096358556,0.021372422776205397,-0.0061646365833449915
Left-Pallidum, nan,nan,nan,nan,0.033320709530742385,-0.002986447668090353,-0.05156721103929269,-0.04975428551866699,-0.025875866483922327,-0.08182444138811792,-0.06105475132197493,0.022031692326124612,-0.022571177332996226,-0.05392284698281484,0.02320447278841884,-0.07819733983318763,0.008538311608859742,0.004424744845920032,-0.0045653227340866145,0.002225409980281647,0.007689324341791599,0.0025280552248906885,-0.009128798595392682,0.010723186256860515,-0.022249998725462582,0.007875420086130226,-0.01146248165429188,0.03560295022415719,0.020600797962598973,0.02395807557595094,-0.024085983031656037,0.025105836602941117,-0.01557794223210751,-0.013410842279583038,0.016164707593124775,-0.07082268639435844,0.014867119521674289,-0.0035912085477113574,-0.07317485782061316,-0.020175552678403274,0.013299954732737734,0.010045337012676918,0.019240427533555773,-0.03486430901480149,0.06568979095613872,0.015354290478872514,-0.006133950610096701,-0.06213280367410274,0.03346095117521394,-0.061721944958387676,0.009850534632981049,0.0037630011188873485,-0.029505612869143234,0.01956229514961939,0.019324996397599138,0.007099716184342874,-0.007256656281247642,0.03134521869784042,-0.021540186385185678,0.0022287009345389078,-0.031173453706778292,0.01891633814449684,0.007868751494861907,0.01068164494822593,-0.032588358522088676,0.0294582148256705,-0.0344141171234167,-0.022166567114315205,0.025455581087358643,-0.06912114061145282,0.007589454889269111,-0.004817171035747054,-0.05198793208738312,-0.007757101417627064,0.0064255825278038345,0.016108165509171702,0.00436559538052795,-0.032565307891440534,0.0943743983584555,0.02323632217864867,0.001685848911866694,-0.07306284536153952
Left-Hippocampus, nan,nan,nan,nan,nan,-0.010100812643333647,-0.022103251300033634,0.09485273636682977,0.018489170108373365,0.05217291415501603,-0.0006309848134231122,-0.031400450399477524,0.0036987474320800584,-0.011346616253428067,0.004923584980052867,0.0008071197105881182,-0.007266542211242991,-0.03157494410901053,0.002052752494663435,-0.011165927259648484,0.01266116549519208,0.0023382672652034514,-0.01204388292063949,-0.03709872538834903,0.012924464236578616,-0.012832426395778375,-0.03876623578575869,-0.004534049949639882,0.006028102029097632,0.003750857385573763,0.028130057603863494,-0.006615741536807554,-0.005488713228977962,0.006016970693561218,0.03040168400796809,-0.007646056399126932,0.0069986394403041205,-0.009894881715572748,-0.03015789456484187,-0.006044396503164186,-0.017243036518240027,-0.026900190313313546,0.012632946283366725,0.03709374585160464,-0.04445381091107367,0.00011419107131867455,0.006290937169692545,0.05032831022967847,0.0005104337247371106,-0.00787187063198646,-0.011149159772336874,-0.019340802322270353,-0.03190314019996786,-0.023228744869776875,0.0010831638577772078,0.00944160023564752,-0.015611596754188151,-0.04349028247365211,-0.0013040545329063413,-0.02153923741372167,0.0010714211564316384,0.0038908318583284023,-0.028143606079073222,0.008799163942799807,0.01923416873346776,-0.017324953372636013,0.022584520938514045,0.010415026513772458,0.027669991155304944,-0.0019793442359305876,-0.01717070011133074,-0.023417961656987223,0.007774463476843295,0.011896388282344987,0.009112274275492046,-0.036808905206467686,0.035272424277194354,0.031675605496926516,-0.01952419273284636,-0.033196430641245396,0.011323139674939675,0.03621741549160265
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.021204496734963274,0.0883350075527534,-0.0036867621233348394,0.036469490153445604,-0.007284671118956753,-0.0035633176389180342,0.007230438927868114,-0.0041461829991896945,-0.008334645067950282,0.0015831548433628898,-0.024541702184112182,-0.052233563523525456,0.0021769454450017932,0.029738625615916177,-0.0037209225123133417,0.037052114788826654,-0.01476579466164036,-0.03798431380262327,0.03041282392117344,-0.021130393352859912,0.03692777781723119,0.02182738706466585,-0.006013779476016023,-0.024805435430148015,0.011559520519513942,0.0010345214336047932,-0.004271622435555161,-0.014188984262339143,-0.008042137963899881,-0.033525038963964554,-0.031208538362813513,-0.0104950652181249,-0.00189917181971316,-0.02651655597571847,-0.034089187689954115,-0.028401133048467215,0.04157519142252466,0.016410511487334408,-0.033820347277041,0.04746041649593436,-0.008761247491926954,0.052991340153842846,0.00024085423013049038,0.0038520910628652093,-0.046425041437757185,-0.04487499007950075,-0.00593900225390514,0.009929852670324806,-0.010680546663456414,0.03598680986484647,-0.009207389517139966,-0.035491669137731045,0.021072320791964885,-0.03704383762888719,0.028346659086014515,0.01000825663468948,-0.03385446758763686,-0.02804081303243853,-0.007753506702214895,-0.023100263278816136,0.0016643933168596365,-0.006442050182430884,-0.011005132507757082,-0.018228578848175234,-0.06434832677506892,-0.001677637032698176,0.03473210584178694,-0.008083542453385573,-0.012569490105836337,-0.02867612861856629,0.03557386973076713,0.000772580403270935,-0.0076730728524668215,0.016309437843917557,-0.0117409397041342,0.030497876277210383
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,-0.014120014612988284,-0.03768185247982922,-0.024741195712034637,-0.026382881229241352,-0.030259417174787646,-0.06699417819678698,-0.010450488791909476,0.006671901505142626,-0.007820649626490464,0.016987179955443188,-0.02324968680187495,-0.00534507971443465,-0.02721822264708753,-0.010259432223166786,-0.012753068038324818,-0.0063270787966637565,-0.01281232045807259,-0.0061180997320851764,-0.007110071910966603,0.006717204562786251,-0.001471156217209681,-0.01831024237539729,0.019793130850561325,0.0016863727033712245,0.019110555142107872,0.015037407186958776,-0.01842950468131526,0.04014296999391061,-0.012422935311687568,0.03557785345006151,-0.01561333852737149,0.00245703806902815,-0.025521774222930685,0.008025366907677979,-0.004494270128794331,0.0008543398623840196,-0.02634502652058518,0.015380752260348355,-0.017359220280849984,0.0124320684619624,-0.0033396055411594842,0.001978222598553631,-0.01070045184558708,0.02524851257702701,-0.013748934400441577,-0.004740462184347576,-0.012434796439298842,-0.02298643051947955,-0.018078660612965942,-0.01914774011551317,-0.001091388713709582,-0.04554169708347991,-0.0051189582953375294,0.007761502445369762,-0.017127436298245747,-0.03069870852584462,0.012636027313818498,0.013510951168428579,-0.01345571787884875,-0.00327946473066084,-0.016539222025738896,0.057244475317568363,-0.017208659734911452,0.027431674218504128,-0.02528941296733176,0.01160623372873095,-0.025359177287741036,-0.004917812262725553,-0.0025933254501469085,-0.018502279690593836,-0.0034160021686745804,-0.01079684405715744,-0.03058229342674674,-0.01016307845853838,0.0009085085610970045
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,-0.006885436525877471,-0.0036799701779816813,-0.0766101112858606,0.09717135973619363,0.08300361665777299,0.019884266549713283,0.10025015097135179,-0.03831916118453683,0.051072029440978696,0.009271174121493019,0.03795149093733721,0.06553040613463712,0.05313703073719675,0.06471524694285216,-0.020140458338429486,0.025076518858062096,0.032938128690573096,-0.00797551497771661,0.03349319003733635,0.08561274716991743,0.047266567084044316,0.07259544444685682,0.045251778252141245,0.043064738539454334,0.07146580928824735,-0.027164760099751464,0.10281429610201544,-0.018658514347419317,0.10319695710787628,-0.002877787247256508,-0.050724691565052514,-0.0215998154465299,0.05340522376302729,0.02644366900088442,0.13182395567344857,0.06206265652005276,0.025063180747947254,0.05413555918891666,0.051968929010293964,0.044811482462396385,0.10518348159320688,-0.03610992576691564,0.01676928090671072,0.00641718591897829,0.026098950025812563,0.06395819648955414,0.03625866867986244,0.06150129036109282,-0.022345906609411992,0.03681765320623678,-0.0008961008651882486,0.01592769897417181,0.02993020886138682,0.08049664397361352,0.032882846986377445,0.07548260012860955,0.004050338112103529,0.017351380620400182,0.027983389518389627,-0.021021172150978772,0.12114334725072244,-0.03975810430711777,0.08087113476579776,0.012696952853650554,-0.025440293109417866,-0.037479016973928435,0.02803792855698888,0.03699662224919354,0.13144398860380238,0.020196545398181765,0.034680051278956917,0.04735159671830221,0.06738986929387772,0.016770608089904396
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.031710429877700744,-0.05854661837722739,0.03208454800208917,0.0047513420264919315,-0.0005229452222262833,0.07743541102814086,-0.03426025746294389,0.05484995266742254,0.03573946544847773,0.013941400165215551,0.03487097952251398,0.07288665803853836,0.0018548463177778945,0.005000333292851671,0.07092075256815022,-0.0340116450078052,0.044907836452673044,-0.014945817494118219,0.02534305530343123,0.02390001651932283,0.03063786618038594,0.009214420865351982,0.030637269269687968,0.0032210272262968714,0.02943940747275662,0.08151727086648489,0.0074424694250719466,0.05995958031824828,0.03251195163407345,-0.046132575466643566,-0.01551051173789566,0.014913468354012695,0.0449194981684036,0.04564525870301146,0.015084881487245454,0.0038559511870508195,-0.010044066316242906,0.011071992864165242,-0.019450658148401027,0.06926181128751968,-0.030884398628419112,0.05922397143973231,0.053435083434818044,-0.00032806025532042466,0.035086260474278916,0.05236802035348969,0.012254435134715025,0.010313644274667627,0.07387757294680035,-0.02442803573619226,0.07588717367405713,-0.025286770886996605,0.03401150038529494,0.029646549376620698,0.03870439495881901,0.005140028941220264,0.021359958491669672,-0.00022512260549168776,0.029992171784623153,0.08359353396469531,-0.02200578225054787,0.054639336704293225,0.022610317841495312,-0.03548174983304003,-0.015221337027949434,0.006311803627424531,0.04919547696697749,0.07951301399116961,0.0024250615976297075,0.017307005629322213,0.004793665069003812,0.04582784094531264,-0.02153175147980509
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.07709897010873154,0.08331956518611228,0.03114851048602692,0.009398072116742335,0.0885044331321398,-0.004125701390114284,0.02241420306812169,0.04081776165594454,0.032634995105121675,0.0520560249542785,0.05260758893618629,0.06282609423540525,0.002708447964155801,0.04887440463720937,-0.020709388717726117,0.0431111280999716,0.002150920351814751,0.0811264473515206,0.03598962594083158,0.06605128585526003,-0.001216198566159269,0.03593086301764465,0.02488002930575774,0.021778076825986165,0.08996881529330027,-0.01019659350258427,0.08342956779005486,0.015928725855655416,-0.03630940255780047,-0.047735973615623435,0.03398972096302178,0.04360474481724565,0.07840078145166947,0.02175636118124284,-0.01972205066358904,0.029224477003409167,0.035470734679653525,0.005509791242549838,0.0699407713733751,-0.019691604803908892,0.017036566732854787,0.03565862563596507,0.03519865764490223,0.06351498165692637,0.026752463316632044,0.0714424061865604,0.012596222635958538,0.050277218596335424,-0.021949542809008623,0.06459163318628061,0.007585219577715424,0.06702967723624206,0.029420347171517803,0.0599017832031305,-0.01821916907677078,-0.01188894962354762,-0.019853988441880244,0.01951906058074665,0.09480580689407518,-0.01714918501855422,0.057605202654149354,0.011017687412153258,-0.02663394620836576,-0.040813214840254165,-0.0067727558131897925,0.046501083305275616,0.06564370302143417,-0.0007205757732424988,0.014697548739894076,0.05068164342595624,0.02891389469043534,0.0005713602207934969
