# File generated on 2024-02-03 12:10:16
# Number of participants: 222
# Number of patients (autism): 111
# Number of controls: 111
# 1 datasets were included:
# - SRPBS1600
# P-value.
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.20263037280410218,0.41978178308865777,0.011556633595811256,0.06741348204577989,0.09871170649400356,0.09154651648858997,0.011155369352456078,0.3871249754877507,0.8696744688191602,0.005633730602650324,0.06822452108372482,0.21941542277136927,0.8155697351699738,0.0022312374741448354,0.03786808702021389,0.059037563098655606,0.1730334357459555,0.7461127143902968,0.11159188884756487,0.006589808438445822,0.0954948595988981,0.9157382828330367,0.05946142576149369,0.3767573997744974,0.5429496854022684,0.18014626180051788,0.027542425215687484,0.286437445441456,0.01707571692332257,0.05263068229202191,0.46324273055716614,0.059015905754982355,0.34101294384781766,0.005227107544828839,0.6857820077622281,0.004866443886418178,0.7803002771313908,0.047510686186087225,0.6466348524198722,0.04701969302598868,0.057072953848588244,0.0021472146420770375,0.13817569913324318,0.6805218158150039,0.2232764269983239,0.138749523830703,0.7094234035584809,0.0024756426136262792,0.08121349853198241,0.30942824559277743,0.30891423564522846,0.6261088748343973,0.10118938821801596,0.0937719876215356,0.13557828912644548,0.6025109335302907,0.03975175574305243,0.8377387646594954,0.19320234764496552,0.17944666799408646,0.05369379375434657,0.4464293957005674,0.004090564174969763,0.8599365537263991,0.9950828788110279,0.24500920654394226,0.9301441910793051,0.0007425240525754489,0.5598238524090633,0.012083776891889348,0.45010635581067027,0.14062291853406722,0.762448509240153,0.25369158721965623,0.02021054099307848,0.0012160753233165442,0.749946368388168,0.636958517685269,0.9816481651545705,0.256804791866526,0.8866904738257089
Left-Caudate, nan,nan,0.05343054490502727,0.0052649379155600496,0.9106301742484619,0.22431741749416448,0.8962493454950337,0.23906003227609066,0.1720678644617032,0.4350507878098494,0.17741830522354288,0.40544048278194533,0.5158636033521908,0.7848508836925789,0.019525002694086132,0.12483677028389432,0.023309244748483206,0.07730812282632797,0.7460382933583691,0.5562049269073314,0.004406641486535069,0.558522122157654,0.5213857391523358,0.044682478267307334,0.1757473286928835,0.03354084257344732,0.08023523593793046,0.7899366041193421,0.5122066517089843,0.006843189277026578,0.3311499217187426,0.6034351259476388,0.3923727373591478,0.08790860897333411,0.013025739661072696,0.6586425668559273,0.05749276246214311,0.08767948148671083,0.056156412541169605,0.7657494148445874,0.08796552685143484,0.015412713663662038,0.09562541900595764,0.236891564030689,0.9447049647506777,0.30559911919987764,0.49599960094339957,0.3513197820455467,0.32344347847174326,0.19169902518379758,0.02196958698426354,0.06749288512911907,0.6148358881919231,0.09730249338401932,0.04329643691715237,0.8832926418866156,0.5347935368297276,0.03772694171822053,0.15536896502852396,0.00043104163631220975,0.010510441315155218,0.8263652834997977,0.22960056796498254,0.004984669079619907,0.9245831518883882,0.32810906074379476,0.8954664668759456,0.03925346838621737,0.0022432370200678817,0.8301289570543644,0.013449807184070947,0.13849359047047335,0.015455299300488981,0.9913627244744363,0.2794989495374856,0.0007665100125969073,0.20586538861131717,0.25068969711576977,0.6413222984693931,0.8077994141882573,0.8082833923895902,0.33547070106134713
Left-Putamen, nan,nan,nan,0.009554458905148482,0.28980879389574915,0.5233045438993467,0.06767932938314607,0.42652131868969934,0.09804368647406442,0.002044899150289372,0.04574827984196827,0.1482806808857276,0.9522892500354435,0.7433008667685586,0.008974269612904479,0.5799500065059306,0.44699512975334854,0.22358328795171878,0.19983357056228074,0.13166036188607538,0.14827932998354942,0.2430173366983411,0.7588566305894342,0.025017546449031175,0.30765183636640664,0.1784501634467117,0.8728043124348724,0.0827150152421673,0.2978304293299945,0.02366899173792096,0.394249219742395,0.20207144525969947,0.8650071860985442,0.4331544193759126,0.00962696333677668,0.37312665641271636,0.03325086238753535,0.8177199534768711,0.4574471099848749,0.22967006140448876,0.23727933383092603,0.04220167286720678,0.06593088309569485,0.9846751705000847,0.7839780486276893,0.6419927736150675,0.7977887170279699,0.31758014929784373,0.05449034706657796,0.45826379345797164,0.5348386594367978,0.26214939868007997,0.910452565219566,0.02349002473547823,0.6635291894034785,0.010796171092058802,0.2651172495536905,0.019191388450024206,0.5448178239445459,0.01422025459432589,0.9735283931923628,0.13907880845558093,0.6858129902226846,0.03957314614371404,0.2522735888505557,0.9258572100371509,0.6556990011647041,0.22890326085944382,0.006807444213060856,0.46880551162539197,0.04449229627662664,0.906981574707388,0.504953031375931,0.5097192123984327,0.6827306500543483,0.03540780832558699,0.07343706952110139,0.8485809305090454,0.28937834806246093,0.403159175503094,0.9338336971883657,0.358286671328942
Left-Pallidum, nan,nan,nan,nan,0.1958635273975179,0.6541600217626101,0.03413631900763203,0.0037163162993263887,0.2163749163982352,0.00427242488638839,0.0023306380596471252,0.5545563722357147,0.5430634081140102,0.07926336510424095,0.5129570550700344,0.011800107918832901,0.7679868066864575,0.5844567665616383,0.7779883874087488,0.9242317402477802,0.9916027193202379,0.4346092523270151,0.92411924888905,0.6538317914042191,0.12860680301388458,0.5029158437605129,0.6296595048938654,0.6703455787367352,0.6326065852545866,0.20684616031119626,0.2670941540987879,0.5656691172861531,0.2390716967716349,0.7745064296398959,0.45436347524083986,0.03980051416859102,0.6101662791316582,0.7706473252858366,0.021895421881646168,0.2623280792619902,0.5734946264949838,0.542053978422953,0.8019748893966837,0.17627098321284468,0.3026299999405309,0.8270195858838552,0.9581147623267279,0.005838466559930542,0.45908267611320674,0.0306211762951205,0.5343761764404389,0.9798597502592425,0.1825993502292526,0.44126221447948066,0.8043274969886911,0.6619721676718395,0.692773851744154,0.2653456834177835,0.4203767370721351,0.56665688020593,0.5203342851700009,0.4612056680285026,0.7004396342918744,0.1905870813543059,0.15375204921186367,0.6409830503046872,0.06526932588183565,0.8618858628923691,0.401251653149751,0.09646515958877884,0.8764391307115551,0.7109553911949396,0.2306867178764064,0.7049497416641664,0.5430959826469972,0.4957499332225568,0.9637738709455617,0.04167367024055064,0.020757492792199815,0.3061048764342101,0.8860749742661379,0.01300321276491284
Left-Hippocampus, nan,nan,nan,nan,nan,0.6368679494173524,0.558013731693954,0.003545157615443565,0.6940195314065809,0.2533738743411845,0.9390852814061799,0.0037615324640101633,0.4201241213311947,0.3464793252896399,0.7464783630611901,0.7616798145442782,0.6280851359869379,0.16283626973161228,0.9243825332073881,0.7494053455512991,0.24773676737385703,0.8068947613531172,0.4966177449155922,0.18753258262450134,0.7709261776924313,0.4583421592288648,0.16349167805607176,0.3056730245946511,0.9451178701696892,0.7716834545351563,0.8811468216228004,0.5219889063600092,0.6160767514581524,0.7570985178739508,0.5219957771704844,0.7747910869545515,0.8961032705885035,0.8858356165837055,0.11846502491568305,0.8432554534078788,0.5323070268935289,0.7098118571024357,0.5655601536970947,0.4423266769080707,0.12918529781268584,0.5295675398017992,0.6668854786233527,0.19263779949092738,0.9946200724694566,0.6191453129160258,0.8348095558755084,0.20098747549035428,0.2674173896363323,0.24836172826875,0.5445010054547509,0.9548068852012654,0.3979100751715978,0.07045009258325835,0.7548319051054015,0.16848504938441203,0.853331084210814,0.9413626861689252,0.15070950584060877,0.961386149232754,0.9797910927556241,0.464438645429301,0.7070857150907307,0.660381246698271,0.6606413796332313,0.9940279212746357,0.6135041789565597,0.8379917904275073,0.7142451067308759,0.36104531877498325,0.4684783002311461,0.5002344034393948,0.5893961447019067,0.5859185442967465,0.5204420502364506,0.047744473008632535,0.6403897435090273,0.8502420242953921
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.5841052157350126,0.009602441411915871,0.48104947779249485,0.4679356349090116,0.5226496096257647,0.410798483185428,0.39686654174448743,0.7319375722115244,0.5580974321049454,0.741592165645343,0.6094211450311204,0.10460599256105756,0.9108025038696266,0.16473689585654164,0.7539037118142073,0.40233152484799395,0.7427704879208611,0.2937554715477094,0.5116409342428152,0.9505543159285585,0.4802208725746506,0.846623120721447,0.538148196096016,0.534370747499205,0.7025339064757131,0.6401620293182226,0.44590236558815854,0.944627306859751,0.9010835157977676,0.12242335696379374,0.7061365519914478,0.9412729766158482,0.3539935483316775,0.2691087656875127,0.2544013391417199,0.9567163874909209,0.6526017728148268,0.9990062453122173,0.2451707876819463,0.2838586402105283,0.30684009665468637,0.37308440344871174,0.9601305302983851,0.8197495581695776,0.4456074904659587,0.08949087774253554,0.5045960591738412,0.9352708984736211,0.5905284112241338,0.13935687099873684,0.9310265023363289,0.1859086283352358,0.9204416047216344,0.3576230331453919,0.5197655612942004,0.7628672543482535,0.07226045964333568,0.7261181468854635,0.5882340756700151,0.2981266282785059,0.6885745343982046,0.8431501113966011,0.9027553083941078,0.7912309302814013,0.2001768789076941,0.6528467502843083,0.974274547191091,0.7994054459527837,0.8731067142661171,0.94569393084812,0.4222424397907486,0.979382951588873,0.520280865794134,0.8717980327009526,0.3941904322761026,0.8279502000556249
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.15663051705056663,0.13632057119097768,0.22335976818368672,0.5949248235475475,0.5037947463839039,0.017500842514280444,0.15562800283105088,0.4928059667819623,0.6525088443201321,0.25314056329997864,0.2147020642592231,0.44462713851351143,0.3063519298039175,0.7515681277125736,0.5250785346895288,0.7870617668027626,0.6459857377489497,0.9393312198803071,0.5008838906246735,0.4811697124593871,0.8520775965101619,0.8395091129277524,0.22082203724247126,0.7557844786212381,0.09490574042434893,0.10621425971777353,0.4328437936150008,0.11455274510821652,0.6983969636894598,0.45328427988968945,0.4406637549630119,0.9583680619783396,0.8084316895688463,0.22134729418315352,0.8531069764114834,0.7801609960906635,0.479014400413199,0.19529399868730282,0.3857707052135396,0.7797468088199906,0.6598701640911049,0.6154034272085558,0.736365925768325,0.12704069974965942,0.4651290897805589,0.9422131010157183,0.7820229611535583,0.7019770117131675,0.9619730489247093,0.487269405106164,0.8919055048775287,0.3360982402079977,0.7067822243916124,0.5943947658192565,0.7161012336901367,0.30768132696955663,0.6278692284908345,0.7534207137901203,0.698019407735887,0.5930763539182458,0.4467344031046806,0.025164450695291125,0.8954063493514443,0.2291325041511048,0.19804232182352532,0.9017630800606361,0.6114368098798766,0.8347562046867296,0.8367078923709967,0.4413427708225981,0.9777424783385774,0.9564644550535326,0.6297315520283953,0.5101307007832254,0.5008925493624409
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.8468290717666854,0.8084952983543177,0.0008340760634779576,0.004103798908888827,0.049398842461520424,0.5138923292526448,0.002484716905641234,0.05257350796082925,0.04680988382876182,0.4433537853307683,0.32089924734977365,0.028877962575271626,0.005211513798927861,0.022582623857691487,0.9166314630302717,0.06386508214618047,0.5423359359196196,0.41090068445298356,0.1531909435233215,0.007363064194087648,0.056928056449741624,0.018464142743511186,0.2326638015754357,0.25424225525158595,0.10890889530760409,0.7996761668761452,0.009294978117460806,0.9468869824990442,0.013075177474653511,0.7546758162254542,0.03395385406876574,0.4241134928059489,0.054974656442325444,0.11304272235708694,0.0010918688449779491,0.15553567100674393,0.2582437378219261,0.11485744097242309,0.09794746788891093,0.7316059434382336,0.0006424803940563748,0.08058368178894765,0.25616503829720105,0.6873340377682248,0.8258114869741829,0.020680294673927443,0.07581356117337912,0.02471002983956029,0.5571032986060374,0.024552620295018913,0.8311537281691661,0.10281097575585904,0.14253013446451204,0.0033835447575932616,0.2232646791753651,0.0024189068213484504,0.7895976105859338,0.45656278732213906,0.31282207373717563,0.675025092031319,0.0008965876496004675,0.7304453616782705,0.017313389166000292,0.26989220327477403,0.25572634562470803,0.6243340289824864,0.12316066856892847,0.02897952907433709,0.00017688397831837417,0.9184457254520715,0.21810317987304798,0.4623398584030889,0.03289771930808235,0.7785504855205116
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.38495131684403794,0.06062619637658855,0.45557332245192717,0.7556588629972004,0.8975687043456338,0.003251795258588258,0.24151152671855727,0.037475738697645256,0.06410866146380266,0.4763111155660009,0.348481527551202,0.00041134614833453784,0.8859250741200828,0.09571140680459767,0.014437553713282043,0.34044436076562,0.022874749999700513,0.4873810414319475,0.33545170210913766,0.29652421074865565,0.15262809074788672,0.4007024989757779,0.23155949652321423,0.6295867462553859,0.07355783919988242,0.006820257321531683,0.3140619679439854,0.06567308446430513,0.04449654499737063,0.03891385877495136,0.9003677202488382,0.26115642253017834,0.04119996456167448,0.030400489935259466,0.21537258633968734,0.632734688474199,0.565506308745312,0.13321789974834455,0.5772292056611689,0.020462668564946843,0.2442451745283266,0.011752197805907114,0.03818620144243188,0.6647478930337565,0.1458524570324947,0.014427791923387969,0.8422164323453719,0.06805788078039088,0.013530494260403501,0.3533044090791103,0.0007793422993316908,0.22851466600716225,0.1486896338819217,0.13354043940187715,0.05097935532399859,0.9385310687862818,0.380048186193114,0.49700153528049396,0.049073143549655814,0.003940647284745648,0.9386657503220202,0.0531495929859484,0.09776971247833238,0.04586500132579649,0.7879044094066215,0.21266911217636522,0.01286711678296712,0.001976711451588857,0.4050193130320946,0.32439665685502395,0.8610439289888132,0.058369557474006684,0.41838121349779767
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.004188796873207313,0.022144358662403486,0.8463872868060748,0.9059305516895149,0.008356726444141635,0.35740674634352254,0.5733789927690724,0.27541442396247007,0.36248826997898054,0.2305227114534234,0.03743648838355006,0.11197063672364271,0.5844277888752005,0.12996261210034793,0.2830978793297779,0.2707413853153848,0.9324930296519203,0.052995352464347195,0.3931606577519058,0.006173770418616785,0.6668929345378414,0.4698561289789256,0.9469727735770632,0.6231379017081422,0.007492249267153316,0.5395022228558348,0.027234328484199634,0.36458884889447507,0.2131518991937851,0.12650255397428345,0.28892172201344407,0.07354492024592253,0.02226041455509673,0.6099065901622815,0.7302365034731131,0.5611819282719144,0.2956920345341249,0.40406974878678936,0.07620982939838114,0.24692991181730573,0.308120239350279,0.4254858190924079,0.5879879004508243,0.079521635853993,0.18401655046513457,0.013229037322551497,0.2229144691898701,0.1400834066275417,0.5845157870218041,0.037464818001539196,0.8492398935027776,0.05706746204087411,0.9375598377821379,0.005606648916386585,0.1968551168645105,0.9041315699936192,0.18828596645118897,0.3596134698357081,0.009237132431315121,0.8259142571556979,0.07030684328792755,0.29636923538380516,0.21849102924026856,0.628137242011907,0.9891969154833626,0.018739211653998375,0.03590269297958836,0.7277455416862075,0.5286522668663458,0.17943296234475242,0.5119304076413973,0.37796698199059153
