# File generated on 2024-02-04 08:54:41
# Number of participants: 178
# Number of patients (autism): 89
# Number of controls: 89
# 2 datasets were included:
# - ABIDEII
# - HBN
# P-value.
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.8176239036744034,0.48435108382026104,0.5602826462584225,0.06088434285472067,0.5840033197288916,0.0116422423596288,0.40553285120504023,0.08482122301494345,0.049120510650877754,0.018325209454264402,0.9000935980108661,0.8153832666894592,0.39445917798204777,0.2856091957018034,0.5995067067835805,0.42705783211583315,0.8931677167989505,0.6710907173661831,0.37731030957761547,0.8723904135242351,0.9125760163488236,0.5832652055106008,0.16807174375526682,0.9087998312942298,0.5974442744447688,0.04870170372690484,0.9976731572267177,0.5105700456047368,0.5009254330306849,0.43753654209070536,0.6305044180643279,0.7919527750670297,0.18400326681183088,0.5371862792863388,0.5054402252660645,0.9985459357506916,0.6642276771400334,0.8213960944844951,0.7955516166021503,0.8281222924147642,0.994340694999589,0.4909149802538407,0.9206740849258215,0.4673845127172863,0.8592698872517971,0.8976618403513819,0.7378711023542152,nan,nan,nan,0.6652401537228527,nan,0.1084726228792241,0.42239937207484235,0.9358792013940364,0.5166978617447517,0.24508280309609107,0.08420601077346845,0.06436609812931823,0.8011614781891225,0.2969443491763628,0.16635527561361,0.3246685046959995,0.04711287803172973,0.2604619243425807,0.07699400948947809,0.05810255767392372,0.8464552194426996,0.6811983137746365,0.06737138738218479,0.5653468834784444,0.028534516477929123,0.22468739800416154,0.7641742426092287,0.4341395116125103,0.16040524360022615,nan,0.030200332663771833,0.23051033038324953,nan,0.14580887536328477
Left-Caudate, nan,nan,0.7859333459424355,0.4809195006824114,0.27202998479476953,0.3821578981493512,0.8887791284810432,0.41406668713498007,0.6762970597652265,0.013090736159664353,0.07383593785600194,0.5268996971181517,nan,0.16535489399316003,nan,0.19328805237439883,0.4478135991388339,nan,0.043956683211878955,0.07916256164538654,0.8813945895859296,0.09508237001384955,0.08582537830993749,0.787082240491583,0.8308811491089302,0.31864919627499544,0.8200789117110787,0.43935707346681474,0.8831540492199932,0.6390908816703613,0.574016079675308,0.6577375659891695,0.891927932135187,0.32517361147114254,0.38987002501398615,0.6138113937707865,0.0937049708538076,0.9888307398900489,0.6527299865575175,0.8381061269675928,0.7085962437794837,0.7947270938868194,0.25733022010697815,0.2263540460166293,0.529459982622545,0.22828482038554518,nan,0.9054930786972324,nan,0.39895058598891375,nan,nan,nan,nan,nan,nan,nan,nan,0.10498101374722156,nan,0.27623189533707765,nan,nan,0.1951350954008263,0.5507614635151691,0.48298852157588257,0.9564523056077758,nan,0.8342685357016804,0.6691608825177184,0.5637412992379509,0.5383379702659618,0.2827446881336138,0.9550348932752895,0.1969079701072572,0.916239478258358,nan,nan,0.01572606588258523,nan,nan,0.5308079421469832
Left-Putamen, nan,nan,nan,0.8712964162497561,0.10735250458298536,0.03910668122169879,0.7107966358372365,0.3044059925757902,0.02643223427037421,0.007932117044528005,0.017130081184649475,0.5880324319364421,0.03115061244963026,0.02554702388257242,0.9614104343415204,0.5935353493708853,0.8642986128158928,0.8764752047709798,0.7004588260547561,0.8143098346699873,0.6946633956683892,0.8160239459530887,0.10265837464424349,0.34152800485155066,0.368203488102124,0.9058853215092177,0.5546493697245811,0.907092190967266,0.6750325139070779,0.8605244840859796,0.08545634277260719,0.6998432183558725,0.7834959466543027,0.8157782063001697,0.3868642534108869,0.3831332469327817,0.08330506771013138,0.26115564007075504,0.2738745534898584,0.9653230125520553,0.8187657172014797,0.5652037843890445,0.30645974767227985,0.6856820408218258,0.18373983313936498,0.49673805070377786,0.891837502600625,0.1545683684341635,nan,0.20268888550990508,nan,0.002272732147013979,nan,0.813809976644521,0.5688713207730149,0.7961525714429163,0.24485112708539428,0.054071955974867386,0.4211472428590436,0.633510286855796,0.8455933296546596,0.17656650298123566,nan,nan,0.8976761228092087,0.38014997485481095,0.23148860433899493,0.8236897481206793,nan,nan,0.8956623138176805,0.15637590111241909,0.9155354780146683,0.29564496396249634,0.4846997855397791,0.05810731279332203,0.987009753155035,nan,0.1724885710031104,0.8720000393548496,nan,0.006693027025646379
Left-Pallidum, nan,nan,nan,nan,0.6016902789821795,0.8122279511546409,0.13488618974597538,0.5867268962383385,0.013909511229414492,0.05485549150771872,0.08167349454525906,0.5107422093954985,0.08915286627826437,0.0014041745623030136,0.3667750400821722,nan,0.11510550959816145,0.40438638683271166,0.4754166943850796,0.5592611045023992,0.6951050156123784,0.40618239447971816,0.5097579175237708,0.1256257081507215,0.7021248668900626,0.1767944999422849,0.5456604999236074,0.9857581552525123,0.665197446238442,0.14798255980553882,0.4386897953704393,0.552259361863286,0.554760448221639,0.8711612287887118,0.052798615797541505,0.2978384510144296,0.42404335934010906,0.2942832339758677,0.9261506372917776,0.79984343548243,0.14277980095518747,0.4431661511665813,0.5570205623897384,0.4071608543168911,0.5718486661281827,0.5237785173495,0.6535201052059958,0.6474693562627776,nan,0.0963159318298713,nan,0.05631558086991167,nan,0.9119594105947286,nan,0.8596969704764675,0.09288308843998652,0.9974564128833332,0.03751396071964332,nan,0.2568972115988067,nan,nan,0.6152131248599186,0.18800965214240387,0.5480839262952053,0.19271603412573438,nan,nan,0.27647470151570974,0.24634304435158902,0.268569495301752,nan,0.346291337932252,0.45323247607384565,0.5778359761593159,0.8247273038204825,nan,0.1073188401648595,0.453564584199191,nan,0.009790806770027631
Left-Hippocampus, nan,nan,nan,nan,nan,0.5952887015361278,0.08639587705194358,0.2962897650995749,0.5047691887104608,0.04747328701342953,0.5526661496249021,0.04951334863827957,nan,0.1275466291345579,0.34063786754646275,0.6712997985425895,0.44618363328282307,0.15106376210025874,0.19708020320738198,0.8014139234598368,0.1743248109567825,0.313192873008333,0.3542301056449062,0.18527163944240277,0.8731889902722936,0.17129590820131071,0.9574968018570118,0.6628470712700887,0.07558857561572249,nan,0.8186461732532593,0.7061576682599879,0.11018117022534228,0.16234392797041816,0.6522675448911441,0.5315704409179578,0.1582424617651856,0.5337098390338112,0.3446086583499507,0.6966994366008183,0.8666071058783907,0.6687784778164351,0.21401054827209956,0.7780733021172457,0.13820130496310412,0.8763232564567147,0.08806529492524495,0.1482777381584126,nan,nan,nan,0.9297167581148809,0.3598068657625172,0.46574045245086737,nan,0.5380894107051287,0.9115141890786107,0.002595288623581492,nan,0.39783021440514243,nan,0.7906219737911687,0.30953079896387625,nan,nan,0.3864627927751545,nan,0.7821475013806997,nan,nan,nan,0.09890642475463837,nan,0.19807988388980113,0.17491732801548956,0.0190602882749031,nan,nan,nan,0.39919511318986856,nan,nan
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.36878365115901823,0.05517857240214593,0.5776008378230348,0.07107673924144146,0.004637121359814654,0.5998115042881214,0.07802250731565283,nan,nan,nan,nan,0.9711406775947271,0.5255357342285212,0.33471613630127106,0.388623740200829,0.6585678129167509,0.2526843081733781,0.024754269844787145,0.8917237538169511,0.15766123176113386,0.9491189296514858,0.6277634074410454,0.5727181565564212,nan,nan,0.3269596319391771,0.16006895288825873,0.2545493379275062,0.1423427345855205,nan,0.6542011621953487,0.7462981032449435,0.43972471875945185,0.7391864367575943,0.19883659690288047,0.9018768607534181,0.36091220646037603,nan,0.7319373053623756,0.9820784424991355,nan,0.021314908347857188,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5432849527236192,nan,nan,nan,0.5266942711336289,nan,nan,nan,nan,nan,nan
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.21330923991499212,0.7184790597244183,0.687603364366232,0.11493125557631345,nan,nan,0.25533018308703115,nan,0.7962643247929281,nan,nan,0.23229177729793013,0.9373131115874931,0.5315235478159596,0.5410313693952727,0.7039716076086486,0.11524336350214469,0.31168632279697367,0.38286451026900914,0.7813636740728659,0.9255083375813047,nan,nan,nan,0.5575600850220418,nan,0.23960146641757119,0.38592229680571055,0.6328380447748053,0.7104521410750708,0.32601114008765264,0.47342643624837033,0.06957051492873971,0.6409337502948371,0.734360121310658,0.35912315078110146,nan,0.5880923094713731,0.18494778414687313,nan,0.6917133379335201,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.18624204938606556,nan,0.7208749243585648,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7233019398937908,0.8555305443263872,0.9102978925819717,0.5045414449286669,nan,nan,nan,0.23519537860844975,0.926315599347338,nan,0.5022665964107926
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.9926344772842354,0.7459169360080993,0.13583523553030527,0.03586545272015474,0.0728554970716514,0.29653087103528736,nan,0.8543398552641742,nan,0.5007420252396744,0.8983856899611924,0.04773488795200785,0.4593965277580706,0.9323528274733122,0.518382474925954,0.4237820514138606,0.10611675032780643,0.912982801176081,0.32507408316048547,0.45673477616716585,0.520652072051397,0.2758194633707335,0.5934790494537785,nan,0.9039122023441124,0.046867959193998276,0.05867519996708589,0.7644161086171634,0.2110545291764817,0.8626250298730553,0.6748358513980431,0.5989683001983612,0.9730004684776281,0.3436473282671624,0.8708867684001109,nan,0.13854729821576967,0.9952000874030849,nan,0.9627974441706071,0.9062653853519933,nan,0.16745578638870795,0.5172601331437424,0.4708721856475868,0.6434853797828005,0.28926124706924045,0.5612856821911185,0.22627918154444737,0.21552073075837008,0.006791897876072012,0.02778831059025843,0.5936571355400002,0.5752015956066484,0.23479658643916373,0.3015223045721059,0.6609414232724263,0.24682292942785786,0.8309937109683196,0.3214801505867492,0.5361711218792959,0.34354724519442914,0.13627409462633902,0.997184208157461,0.26939708715927924,0.5640499712668856,0.22448309963430182,0.9492082961369837,0.7591422994612799,0.7624307719320734,0.3583343510836767,0.2699501842906596,0.4725420820505154,0.5555699488077759
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5185229719237563,0.5643967799544294,0.5780953363890146,0.21296941532435304,0.4422508745911127,nan,0.30169705948567194,nan,nan,nan,nan,0.9154320469624895,0.4030701989629114,0.961326375358537,0.18181437882495416,0.0663147493356169,nan,0.37991363257767863,nan,nan,0.3784126262946934,0.403641500221386,0.9427737331833272,0.826915335161016,nan,0.1880507677790371,0.9242438686987445,0.2521592293070547,0.28195029790244386,0.8576711923296532,0.6069502359989281,0.23219186064968272,0.47257287709389584,0.7050805241404056,nan,0.9806934219507539,nan,nan,0.9430739831133425,0.5676399068566791,0.32520027586967604,0.5002923515998728,nan,0.6375843486401795,0.35695424528162256,0.16041900933627498,0.8388144333379314,0.32053058576608473,0.08379623349777192,0.3307833248578188,0.4030287720198753,0.1598395630501682,0.5991284281965443,nan,0.9167452023088309,0.6347841013277082,0.12447466504355119,0.17573525504096238,0.9336887860016491,0.32674860177175435,0.5202456700543554,0.7191808520382801,0.09658867387442581,0.5774868590905605,0.39812804724564754,0.9700806399094466,0.22047323146184086,0.5507666044976136,nan,0.2382479884930711,0.9809469590270548,0.2719091032754421,0.5828921470090762
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.576627102115584,0.38691520355015585,0.2029399352277509,0.17162718903501253,nan,nan,nan,0.17968763024962253,nan,0.08012016730709187,0.39855066977564246,0.3775793332056111,0.10147734251255106,0.2638850531180976,0.03902050124817257,0.29423173815195947,0.3024894188443458,0.02261462821980834,nan,0.15672567020466313,0.14370358827822377,nan,0.14114410586749532,0.8817844277671816,0.35654064840727295,0.4677689193469906,0.7290317440816272,0.19489767424569135,0.5753608128672174,0.8047436067367417,0.9331699415145406,0.6333880440553536,0.6646244789464599,nan,0.5728904825443255,0.5444391169725196,nan,0.8748484010870146,0.7007853424372972,nan,0.935103887102409,0.6360251402369292,0.37230776976273916,0.05957956144138357,0.7066740674064731,0.11678480610484332,0.5406762294080039,0.09410601390703287,0.3544860991192954,0.514172994935113,0.823942638004328,0.11089628959940312,0.7131435717900922,0.1650651167489621,0.5017631487759961,0.17220966974983073,0.858010970518498,0.7124668725493759,0.06897804904761304,0.3492253039930642,0.36168380361156627,0.5161276204240398,0.19018809976940862,0.2343055695453521,0.4756865894429031,0.9913259290268399,0.772562510561971,0.7939572516592206,0.5654149163550837,0.38788212543403866,0.7560004750819717,0.96539424989372
