# File generated on 2024-02-04 08:54:43
# Number of participants: 142
# Number of patients (autism): 71
# Number of controls: 71
# 1 datasets were included:
# - ABIDEII
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.09032613557504399,0.12447436341421772,-0.11209553620936423,-0.3504624236297735,-0.14054907746804202,-0.5072427735584089,-0.2228552975206818,-0.3128688886037012,-0.38841751626873605,-0.5981783350293757,0.08614753803272474,-0.08325154112458683,-0.3100455633365143,0.653964416429056,0.06234514195916076,0.1777390891276066,-0.15757403549628504,-0.1150874975369378,-0.20308005473190438,0.08756086570386984,-0.02945697887313292,0.006433263314167511,-0.3765272610662805,0.12768255471605922,-0.1641083829948838,-0.3284634027463075,0.10440509825017134,-0.19044145108175176,-0.30143998704089586,0.2664262695534961,0.284694375078039,0.1302687493317239,0.21600426296591427,-0.15429089916353622,-0.36754915392368476,0.014065146567803392,0.10623133344351482,-0.07909709410622373,-0.030768628226737142,0.06666587993567803,-0.0027804373743470904,0.15425441654997193,0.06815963821569458,-0.22388177872909545,-0.0914461005649101,0.006316584838300828,-0.15341440488889427,nan,nan,nan,-0.3466227080949367,nan,0.5528520651039321,nan,-0.17433482929975214,-0.29171665238517164,-0.3873576764443991,-0.7695078402650197,0.2449556506336406,0.12018637249648169,-0.5648174420632046,0.4079493028219199,-0.250932041922412,-1.2546275276590486,0.35818210585311855,-0.6074887333080871,0.2504811798981527,0.07538876839332471,-0.19624672033326335,-0.5354439123265492,-0.0643626483292533,1.4520623232547643,-0.21925463215459934,0.05691417733583,-0.15774023784839794,-0.7640868275134142,nan,-0.6966098659974316,-0.6714000913889837,nan,-0.5155097029992056
Left-Caudate, nan,nan,0.06581439919076858,-0.07983279878302527,-0.21471210287888295,-0.22778724856153632,-0.0728223306913873,-0.16364465420051938,-0.015305317334224909,-0.5617909188703214,-0.4424095872440922,-0.0954825718659805,nan,-0.13705297947954131,nan,-0.39420509107709406,-0.10159350261306738,nan,-0.4707231618407344,-0.3723683355081941,-0.03223966638482763,-0.48317126234146385,-0.4478594171339551,-0.061817522898298734,-0.011770556118466556,-0.27995097829123317,-0.14847869830833418,-0.24020962439740348,0.09070835246346072,-0.11798756700618634,0.1493633269120347,0.2417052221811451,0.12847292351606077,0.5601520017969617,-0.30293988856116877,-0.2475557467135698,-0.2660825823931149,-0.056587466777714784,0.08912946532082651,0.024020662581919875,-0.06409091562557923,-0.03653473043520639,-0.2984900623377239,-0.8159901698562293,-0.17106733996169046,-0.2648515731751756,nan,0.03162643522711138,nan,-0.17729193312921196,nan,nan,nan,nan,nan,nan,nan,nan,-0.4701718726176298,nan,-0.10067598242485057,nan,nan,-0.3091078570486827,0.6298287560156681,-0.32108337172393375,0.015886205423154415,nan,0.08921684423767347,-0.3710298193487753,0.16022738327701505,-0.2379172967481272,-0.2785667869972495,0.21283208046974392,-0.1654175239918947,-0.02959788014667874,nan,nan,-0.5635676994940164,nan,nan,0.06318466115360166
Left-Putamen, nan,nan,nan,-0.029475403426848363,-0.15387946613714562,0.29544241683374733,-0.03405340486337658,-0.24087755775380992,-0.4728243870505195,-0.6296116628927877,-0.559408102461712,0.10537829152282778,-1.0022695864006186,-0.6888753511171744,0.14720882361122756,0.07704557902531563,-0.024201327981077183,-0.17712315820201946,0.12533961216565406,0.1741767494481518,-0.029820103911629054,-0.05234290483106239,-0.5898749119623334,-0.34337662948158304,-0.13393886508684397,-0.11997072401399259,-0.09279446517078697,0.018574016152113983,0.08544812653271919,0.23534418491159048,-0.20071454620666204,0.031045328879042832,0.05443707526820873,-0.0699571153861333,-0.1407388776443677,0.42786898932506207,0.27196660241657766,-0.3123620042023319,0.21267596403075684,0.07604264048869169,0.027453086552644453,-0.15230924672013652,-0.2623505724734781,-0.14947663270460257,-0.30303389748507437,0.21429498271315922,-0.02387816540095839,0.3202235010058435,nan,1.5438162146734538,nan,-1.602775883454496,nan,-0.5192341391607586,nan,-0.31348368114743275,-0.17923378875297039,-0.8520736232149083,-0.1663068514933211,0.38163549919553763,0.19680652551699068,nan,nan,nan,0.011356128950506148,-0.6364835089413224,-0.6924928591151173,-0.132607077618631,nan,nan,-0.2592226404937388,-0.8108652695409537,-0.05781522483697298,-0.12658097071848556,-0.09681674473381151,-0.632862551104948,-0.32807475371603406,nan,-0.38501175134263455,-0.34659506087807274,nan,-1.182272567812871
Left-Pallidum, nan,nan,nan,nan,-0.09827400838712723,-0.10281603392525597,-0.15444019240034043,-0.1623142856212599,-0.7002613885574859,-0.5613553716930717,-0.5829838217652208,-0.5867204283303843,-0.6580194226448285,-1.3812812537603305,-0.05332435330233106,nan,0.31979129549554863,-0.5132611938957675,-0.09622380575569839,0.03996012289165571,0.16162901061589863,-0.010231930969109954,-0.21856531175137883,-0.5091465009751036,0.27541102199313183,-0.4403957246539271,-0.08661749379363493,0.056054127021806344,0.05452973235058181,0.7618910345073345,-0.13186084711289545,0.10261579454158522,0.28243685774946203,-0.19254546699883443,0.4057759977857202,nan,0.10239116438836184,-0.3920579141084758,0.12116716229483139,0.026315344414591952,0.25331078572736193,0.12622973712877963,-0.0807942859725864,0.09219626772561273,-0.01853958124169362,-0.15189640364900883,-0.2517066115341168,0.021459169103993165,nan,nan,nan,nan,nan,-0.44079972731100114,nan,-0.34590530139469505,-0.637211242044361,-0.0021298953521643234,-1.184362872639949,nan,-0.5812585564830778,nan,nan,0.553776436383007,nan,-0.6046523001349096,-0.7238690928941346,nan,nan,nan,-0.5116086372902712,-0.5925924597146592,nan,-0.1640430011526965,0.09998408477740398,-0.3818391759792525,-0.16420663012836373,nan,-0.7714055324581164,-0.4625412796334256,nan,-1.6519494276916888
Left-Hippocampus, nan,nan,nan,nan,nan,-0.09852263580019516,-0.47953592621682345,-0.2450854919034479,0.26889278769953495,-0.5305967120747858,-0.07235811899401272,-0.39417265251642,nan,-1.0686661993935591,0.29619679515595054,-0.5642633215669975,-0.3756674899173907,-0.35660189353528726,-0.21634742717020605,0.03484358407000138,0.49811661195099277,0.22482292152299035,-0.14906600713644194,-0.39679395409336743,0.12123034367591116,-0.2435879909459947,0.11641440630882659,0.11838969492921918,-0.3239577485402216,nan,0.20728899691010166,-0.0029950753476143694,-0.7352966284949457,-0.3317707090671355,0.16328126609441823,0.14515722293683334,-0.30253095954841613,-0.18507782096197067,0.2827430228787813,-0.14578863993848853,0.022710913182118767,-0.17210234325486223,-0.1893939402260444,-0.10888566331544547,-0.4559590481835558,0.08631020773003976,-0.9244472036795314,-0.32645587517722735,nan,nan,nan,0.04055799017667315,0.8057355970389397,0.3585412335222426,nan,0.33548477553678296,-0.27451140575975824,-1.0833886561702777,nan,-0.333902278908015,nan,0.1740902847002465,0.5050169514782572,nan,nan,nan,nan,-0.12950360192016647,nan,nan,nan,-0.5388781180039448,nan,0.7076551495292984,-0.6633299491068281,-0.5942976783379293,nan,nan,nan,nan,nan,nan
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.1711744997361686,0.7629565608880279,-0.4075609526510314,-0.6327541515370948,-1.1246438183551628,-0.017010017709803343,-0.9834302574497503,nan,nan,nan,nan,-0.08989641735462235,-0.18928897323799201,-0.03761981213471246,0.20359326414934129,0.10656701747681074,0.39826320543347665,-0.5628867925094552,0.020647209422570992,-0.4134108794376182,0.02650186103625152,0.028884242872377265,-0.12452696896025302,nan,nan,-0.632586423122879,-0.9405704537149718,-0.43941087483622315,0.34704618766500367,nan,0.21619288289452587,-0.07173118708879553,0.21562655445276185,0.1292724913706549,0.6024085772364115,-0.031361655261717275,-0.18406749765799482,nan,-0.16133906583199611,0.04169335369389014,nan,-0.3375678378739154,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.47659087953807083,nan,nan,nan,-0.40722702219200896,nan,nan,nan,nan,nan,nan
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,-0.6721092348738588,-0.015556660972984866,-0.23239444125258757,-0.7364109794243886,nan,nan,-0.11930956303117371,nan,-0.19626719921802077,nan,nan,-0.7860056532471955,0.0981171895674121,-0.18223377882273267,-0.1503650379209772,nan,-0.6365104939582178,-0.22723392493665828,-0.28851611504267627,-0.0905963632867092,0.011942891765867486,nan,nan,nan,0.3708394220012884,nan,-0.633587859571363,0.5452277929994763,0.35648533273805005,-0.03239734881431444,0.5669253757086504,0.1423874154188332,0.32782906438117904,-0.25387092178099535,0.10456531607947428,-0.1849913494390286,nan,-0.16180204764017597,-0.3516369380250481,nan,-0.12425668944414212,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.24500850468671234,nan,0.19421449973751742,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2816488839990781,0.1913552029042268,0.03601131025368641,-0.3115059149429913,nan,nan,nan,-0.2594424908124052,-0.1529584971319817,nan,-0.4601191286195408
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.0867060229762068,-0.05835973646241619,0.2829545175904498,-0.2632799231127832,-0.37828076971100294,-0.27703121583801776,nan,0.5257646094196737,nan,-0.4117064936503448,nan,-0.9122813532847673,-0.49076363748692364,0.0958923573309594,0.21581020448677277,-0.174900197157826,-0.769784647921202,-0.12007518388018039,-0.31381994523324946,-0.5399591878380762,-0.15514658560332995,-0.36911023124257797,-0.31253969522126557,nan,-0.26437408278588925,0.6022751163981418,-0.716870880607841,-0.21753858013233676,-0.3288137050842862,-0.0191833882033437,-0.2010689492630747,0.24068076193541743,0.08311665563600157,0.23506946899726439,0.11471352529959973,nan,0.5634035023963245,-0.09812623987171615,nan,-0.0217837375952774,-0.05728230752771074,nan,-0.5537394813455004,-0.20131491332460755,-0.04519769942008966,0.04206380597485954,-0.37962876482415003,-0.01581758008065444,0.2222315129691406,-0.24009065025938797,-0.5044150877289743,-0.5057264871638597,-0.1636744638867502,0.2032600349771029,-0.3489207252901993,0.18786326062135403,0.01544539566844476,-0.3669663927430809,-0.06319683498201506,-0.30809423760444216,-0.061424580159126954,0.3234046426445029,0.32823892535059407,-0.0008462084985710058,-1.013275883694851,-0.10930488996740025,0.24501956074916087,0.03165307319082005,-0.08446298571678713,nan,-0.1400086740678293,-0.06935387112612862,0.16549796292261518,-0.2600120781442035
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.03459315741717362,-0.048750082244837144,-0.12819732817364266,0.3350501098819886,-0.17566871612068333,nan,-0.5559112483114785,nan,nan,nan,nan,-0.06931819102011966,-0.6418015498833725,-0.017935765685982433,-0.5766650681902136,-0.5162230623283215,nan,-0.20903200534641223,nan,nan,-0.2851666914660623,0.10225762580771632,0.4425633656752818,-0.16266265455272658,nan,-0.5966404276914669,-0.2790162439914424,-0.4508006830901442,-0.22917079848785907,-0.11877933161188166,0.4140567770232189,-0.2205768170090153,-0.09610058422888662,-0.5180438404958317,nan,0.0851088250580088,nan,nan,-0.014935737181878775,-0.3127695501298671,0.45413975002561185,0.21327755050072064,nan,0.051062966276901725,-0.11533679155585723,-0.5503490748364346,0.12833903716827466,0.3324899198986713,-0.39375740106238977,-0.12427169778475247,0.3735466737883018,0.3175648486228194,-0.08338799574645477,nan,-0.11196385497210139,0.050086817708862794,-0.1660414682093653,0.466796867403709,0.23700491252900663,-0.0741363312480864,0.032646975921985844,-0.017449372302675983,0.4296160084602096,-0.2605427934643559,-0.08836327973009497,0.07254740936401378,0.2820791767664426,-0.13731005391223128,nan,-0.13159502260163633,0.038230580283949836,0.5223627870846476,-0.1155481342902793
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.11161150242451762,-0.014376055611321702,-0.14810281566378594,-0.14298638813170092,nan,nan,nan,-0.4517253341470849,nan,-0.8346816602933629,-0.2964090219435569,-0.42279494350656377,-0.6406082133804601,-0.32355374381174534,-0.8108506008775926,-0.17078448452505415,-0.3100529126493002,-1.4679587193701753,nan,-0.8042262240111351,-0.5861590062170243,nan,-0.7924018201419847,-0.046240140607225755,-0.6138542252890371,nan,-0.21230062089787818,-0.18118812757190475,-0.13442356872195801,0.31781615457408285,0.07737940839043608,0.07842051929676587,-0.20807059037899,nan,0.5392967438830929,-0.3885847689726209,nan,-0.10859792836104878,-0.06591304190562929,nan,0.008254405276850616,-0.08546727412228404,0.3318664394626805,-0.24962672537299382,0.06813034524089218,-0.15062599692801568,0.14938042166097595,-0.3451533660915347,-0.09389267492856936,-0.08323919587305534,0.10571651314342867,-0.26780901727741624,-0.19056323945888595,-0.34471299749487916,-0.0271566824866595,-0.25215200184305603,0.004363998120326273,-0.058231808156962536,-0.27155486783908966,0.18625452268166043,0.11040384544210662,-0.105526410132005,-0.2600090126354542,-0.10367070457648794,0.15438177955068227,-0.01036913633632976,0.0011397703830125572,0.09059026547485216,-0.07132678284825861,-0.006505042104718999,-0.017273459061909163,0.05355737793628537
