# File generated on 2024-02-03 12:09:34
# Number of participants: 144
# Number of patients (bipolar): 72
# Number of controls: 72
# 1 datasets were included:
# - B-SNIP
# Effect size betas (regression coefficient of the linear model including: dx, age, sex, intercept).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.030049897476573603,-0.03429670355678377,-0.036946371969580366,0.06083644741417489,0.012137251285356981,0.013335752633257309,-0.0030631204207099555,-0.0058839963717074355,-0.0367038003580983,0.004063041128651428,0.01851704635371427,-0.003997912872418652,-0.010073124311332202,0.058090795088444565,0.012244287929483687,0.026963550473573357,0.03461153147472719,0.007538148992318276,0.02822343583942295,0.03347893673052545,-0.000904156851534572,0.043217982453142505,0.05511980225139792,-0.030471001571110636,0.06245010225378036,0.002497487083425915,0.015585723659651607,-0.0008982306880069567,0.0853831929645781,-0.0016736012235331354,-0.013488752922112173,0.0004736871077363671,0.03695477744690699,0.11110267065310049,0.03944691731471806,0.09797811964609679,0.018877979815915588,-0.024776707442685016,-0.009631757565704193,0.039464928717838216,0.12801771355821312,0.01808255911095909,0.060293846831633816,-0.014287157293238302,0.05134992244067132,0.03881725174538244,-0.006813867144296128,0.039234589461422394,0.006874986530915961,0.02027316372309366,0.05289300258533569,0.03269099823899593,0.021258253559751084,0.024369745433678307,0.011382263264145029,0.06663344053623424,0.06330439470673858,-0.06297735386224947,0.04301345871802168,-0.02014802830859803,0.02791131978702972,-0.002206213813345325,0.08434828933259901,0.0061461679240738185,-0.02171746443221026,0.024217523902107504,0.04201397408594406,0.10909126273866224,0.03349679731741887,0.0786575116069252,0.02627464675456357,0.015067838066264086,-0.016670575659177657,0.038379179511140796,0.12350166966093598,0.027932442167725016,0.05130825451600302,0.0448826332462106,0.01746015352244794,0.024491308806810125,0.005960078592860143
Left-Caudate, nan,nan,-0.012465741890077806,0.007030202805128383,0.000968194520763427,-0.0055868829502741055,-0.0009233904010643593,0.011472157670381063,0.017956794704509074,-0.00676787365665659,0.030070731673392127,0.021419946109345025,-0.04917939286587153,0.01640881101065715,0.018220067073281283,0.01756571630421923,-0.03357153560115384,0.01296693798937898,-0.0008990146002202433,0.022526016502996665,0.018887347375253036,-0.0027487888771760096,0.01904693199241457,0.01164121107440898,-0.035697455010662564,0.028301981476901217,0.003008457308903331,-0.047795246954237945,0.036025882822055585,0.015174970471886227,-0.011653020802228237,-0.017192532381116718,-0.024179379939077584,-0.010826450352223951,-0.028749984401725423,0.032474097825785746,-0.018770897658497383,0.010803379398743788,0.04549870842248026,0.019827332106858622,-0.0292694997946287,0.05597369572810377,0.020306277225972374,0.0514216944869911,-0.026584833507897858,-0.03580037519744899,0.008212679209079308,0.05619340836749148,0.025915887828345755,0.00500627842605034,-0.019164224756771563,0.025206862498804567,-0.04171191196906276,0.03864471928618888,0.015490978930769618,0.005476778504769756,0.028803130560466343,0.0020645741944878755,0.0006939336728061665,0.022499227856608232,0.0068587413066606845,0.01445764623744062,0.024223454318367154,-0.010268735105148903,0.019833623914961608,-0.011991492617160981,0.021776666872371418,0.009325322208917282,-0.026639968152218436,0.026237544900026017,-0.04437950221859297,0.011328085735014242,0.03687870409623832,0.01096980115015184,-0.03404962984159477,0.01720534591812909,0.017696141975674408,0.054215882419300365,-0.0011952801815645663,-0.027062321985352487,0.01880971088671472,0.057004497986343404
Left-Putamen, nan,nan,nan,-0.0007374857960344193,0.03708058006584524,0.026800210805113304,0.0008399623479010436,-0.01588786242179244,0.021838137870883026,-0.030460949745624598,0.010531092852050575,0.05585077230075796,-0.003183067119950737,0.018580368559402392,0.03168665214206569,-0.04309172206742726,0.01272341709333785,0.008759083269879273,0.031667346334499816,0.009861790800532151,0.07633580394494288,-0.003895405486298475,0.07781477810849488,0.017851148494539115,0.008717765302654184,0.027520455252241487,0.03190102876690969,0.014635716283170784,0.044461089125111194,-0.057537339136627313,-0.0454398326708529,0.04554425755620753,-0.010785311467665851,0.016061605111404375,-0.017541263032861583,-0.016751717848739956,-0.06128392391386471,0.03736234610332205,0.03633759870682628,0.002260630915454338,0.0010524753222683587,-0.020388583004155938,-0.020795071971620352,-0.024679041563453893,0.010758096457904699,-0.006816115845117297,-0.00454337750141617,-0.02379479390281133,0.01285159488458785,-0.03272988557136732,0.02747939892895665,-0.0032452822012810426,0.02917252326094436,0.015305531996959349,0.03764542390093822,0.015939339975563963,0.0674396350669723,0.017248650769222645,0.001311004963374248,0.002607191667373256,0.02223313063161302,0.026868525852963156,0.027018581502228117,-0.05787209860876953,-0.026681057769807053,0.041145981733228774,0.010405550066407414,0.03153206184364589,-0.015012350655975734,-0.016002448382172223,-0.05948022199691,0.03195403593052409,0.0391281518242706,0.02971324387654126,0.00857287797916024,-0.03786682495368988,-0.010931028527056474,-0.04302383063127483,0.08453867206892125,0.04309530210883643,-0.014347069762284264,-0.030930261055272967
Left-Pallidum, nan,nan,nan,nan,0.0008982239919436674,0.01932328697626528,0.015305345727603559,-0.02310630297958065,-0.010032999082411478,-0.02362011491559013,-0.008959949747723921,-0.03714654766493027,-0.02362520453351589,0.0005921408801396171,0.01584345209611749,-0.06836924009619366,-0.01866587941477009,0.006371813629757466,-0.003321661991843885,0.03135536923413063,0.02977431310034397,2.115024018796115e-05,0.03836739408510717,-0.002393935348814113,-0.030008225512577417,0.03295641591125172,0.015629756035870947,0.007512711647152199,0.03369522610313473,-0.03351244755245253,-0.07126353588277562,-0.03989318047436794,-0.03748791595078849,0.010861824510122551,0.012188817045844734,-0.006595300599638561,-0.029424901446799625,0.019569239609266598,0.04040674750384242,-0.03194817943851317,-0.011574461029466762,0.007666393681429042,-0.0032407403848559372,0.010961764953105054,-0.0343457419276928,0.02750415048942124,0.054547452924253836,-0.02630074451655984,0.008267578281579384,-0.06045886666093185,-0.013768584905158617,0.018622012033877595,0.03771960109970544,0.0074905222313214935,-0.0013319598628097206,-0.002728529224071372,0.030869503457725624,0.0001324602256697391,-0.0236955384645607,0.005814101273579973,0.010401300963071205,-0.008716419680516004,-0.016680708892284905,-0.034647243925407245,-0.047200804295438416,-0.03645569236201163,-0.031174920181825133,0.0081801637767256,-0.01694852916619766,-0.02816360395824999,-0.04032856181177223,0.02566711740319597,0.03329501713263832,-0.05019042763371376,-0.011901812668834015,-0.00988711549943378,-0.021182167672251204,-0.020682025706255335,-0.007415064410277219,0.014005695502459437,-0.007891131331115424,-0.010473857193856597
Left-Hippocampus, nan,nan,nan,nan,nan,0.05483753214148718,0.023197756177973528,0.055059927961501644,0.018543998745061244,0.04766766577214912,0.011603013249666921,-0.0037515241258199573,-0.0018641146573337628,0.03186392144384167,0.0497521980725201,0.002065066055537589,0.023165245993282547,0.0017092999805446891,0.03622339215219159,0.04920686314334041,0.03758883929846703,0.060849072328705206,0.0017978938640485149,0.05379085635980488,0.019943913295801474,0.01257882826449531,-0.02098625863839983,0.07459821038582926,0.0033751478134317406,-0.004854693975240394,0.010811759550993762,0.03773439961765965,-0.008542878688971146,0.0019779681995450303,-0.025063138500463305,-0.042746507105112734,-0.014735510605520105,0.015519610468090734,-0.03925400198524132,0.011940677664358091,0.004097884634224774,0.012698667462191808,0.03608069779038967,-0.017047395432196147,-0.04535455394565791,-0.005829730684169233,0.011321736094910223,0.015536160431263534,-0.007091329933313221,-0.014482605845048381,0.022384919795230076,0.028694460761119065,0.06023476043026447,0.034808196252612764,-0.0034663423058912037,0.050585131754692716,0.016664520148105974,0.07094487868649778,-0.03701235831455908,0.06131944025339264,-0.009672713899976593,0.061088176049127495,0.025889098717401728,-0.017709516857864264,-0.0758256094043884,-0.03326890201852795,-0.03621818881978631,0.042203250171079947,-0.021894604693254997,-0.022928790585904295,-0.031237056052821625,-0.002866103759986811,-0.020357238653386303,-0.022502315707375525,-5.493770369637153e-05,0.02272890977988382,0.00420361047979949,-0.02136166377979361,-0.048428355294325105,-0.04208971956481778,-0.009262100125543531,-0.026205601854495227
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.011106503026325248,0.04380140069281543,0.025630624407808056,0.05492855066100081,0.024874029023846438,0.05548371144832525,0.03536254481383967,0.02437585892958948,0.012744952820245518,0.003637843480083681,-0.0072397475063380725,0.0077767019380804055,0.06210596760987862,0.05021958514674729,0.039692312334531875,0.07411739882090357,0.037012918178142805,0.08285464666117219,0.04646945518721153,0.03595461100310018,0.021616029753007412,0.06183389187950924,0.05131543218918371,-0.01963094452552898,0.004591251447645827,0.056545456469006786,-0.00745610598378463,0.008491470968347932,-0.02471393872990312,-0.03739465067704635,-0.04585810937938398,0.03822470474953416,0.01635603432626142,0.015331974273454415,0.0015508241608111633,-0.015520401625002723,0.053285013726346614,-0.03342514032044846,-0.029550960378775287,0.021110942400787064,0.0381254116512716,0.07833471591340421,0.009660180476055935,0.022676497619382743,0.006530010918637857,0.01911056189463039,0.0964858607449358,0.05537510119316165,0.01373435305567279,0.10205542113194055,0.05491604057943587,0.0905294560894556,0.02026736296040795,0.04168723721869363,0.04383611689647418,0.051928809878498995,0.04372451380829805,-0.01183612959298641,-0.04017087169752215,0.023409826769979592,-0.025340397312651287,0.04612781444827122,0.001980299380853445,-0.015296777581029536,-0.05591237817109675,0.017198246744664428,0.030012338539075097,0.023244147712701578,-0.008934058993149543,-0.008091780668276852,0.03246385522849198,-0.016506776745241147,0.011173321459643577,0.02490268557743692,0.025266846971097014,0.05235200646138927
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.005026061524313798,-0.007162123712028695,0.02540530240144825,0.052830209164466194,0.040547410562286786,0.027827610417220577,0.03805189868495786,0.02707572095227395,-0.02046208194513234,-0.006689265195316007,0.01704739864745316,-0.033671361258977094,-0.006037736193042391,0.003972846737116965,-0.006639573225309372,-0.029012034672513915,0.04099890770488466,0.026882271024152,0.008933080519025293,0.027668216233014933,0.007061721187260514,0.03190204634127271,0.0312627270131532,-0.020449762275753385,0.0009083332402160433,-0.024325586891385722,0.008263317248059286,0.002722620988142591,-0.013798900290750522,-0.028231025768707584,-0.012133716199287707,-0.000961917713415928,-0.0043074520220025255,-0.023989053082573347,0.012156466693889464,0.04129844266492552,0.0035464012762955175,-0.039237824134097904,0.0023836390700416737,0.025623475763270145,0.010155988481029039,0.023518385090643974,-0.03329116160866027,-0.003008734533106868,0.03926207121427018,0.026071588572062262,0.02356071391401943,-0.007221177301261207,-0.010789489914736265,-0.031069530506117094,0.023078277997966867,0.032367344440529563,0.03066331765046108,0.031117835108847924,0.04101626409801669,0.04275022544299648,-0.01783457072144503,-0.009348296736167916,0.03107964073597809,0.006440607002031785,0.027107130955979563,0.011920251889867116,-0.03743144264623249,-0.028824642761376845,0.003085578385528514,0.0023417937460934093,0.01189611279544484,-0.02098786170768024,0.020920204672151964,0.0373640225802822,0.029645526995597905,-0.0009450263374210116,0.010670193447550165,0.030820528607428677,0.019084685345732454
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.022292703120580636,-0.033354857406664946,0.002524794262282945,0.02421117580408573,0.022737658036975302,0.0014531971163899038,0.0609311062336962,0.01973985441943846,0.04698889597402723,0.06485613910403158,0.03938354060552806,0.03993045999092529,0.05177143826063015,-0.0056915605236228795,0.031960158601260155,0.059827267020553035,-0.036134368788091564,0.0727778421377265,0.011307449391822717,0.027907873758143648,0.011808842798583118,0.06542762549841731,0.029860031397760316,0.009952940400932015,0.028125452422259462,0.025627839368631795,0.101170491488843,0.018578023667566723,0.0978023340464235,0.0015888641380974306,0.008251443538766579,0.015855273994848155,0.05779286648733448,0.11918964622071351,0.028353690933271822,0.054826273403169846,-0.021298878251535477,0.060743702747111626,0.012642741699570035,0.028723747599973093,0.020515489715293433,0.021064247163158682,0.030068960896072923,0.06525054018165036,0.03770430973358328,0.03841869826648409,0.011235869840836746,0.02665100442224476,0.05448030058589258,0.06727799011404949,-0.048057218489479574,0.04347060161887743,-0.012260484317422141,0.017169094832549327,0.02588020136220321,0.05640336595369658,0.007953205730571095,-0.0005640883131714034,0.015446951961512783,0.05833152897232456,0.09271620256026496,0.0007477465885892763,0.08591093077134727,-0.00603990796553682,0.022510355374404198,-0.02671150366897772,0.028603874175910513,0.09541678284896658,0.03447200051309602,0.03681493569064772,0.03995577825298963,0.023196228427913926,0.03327756532549467,0.029349251825240213
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01950064458110343,0.026550120476715396,0.038314483005905044,0.004462068891893812,0.008713314823868407,0.03624106920283689,0.04698058250655754,0.016787302286694065,0.03567595002954014,0.03321461706581936,0.04522450930156174,0.03649472707026425,0.006844247585848429,0.04196970500957612,0.020970895352315395,-0.00021183496654769897,0.05660995886889901,0.030015912855078583,-0.022604202286539192,0.06862973852412803,0.02523884873311405,0.03572904639053041,0.010749886167601438,0.012263139004903341,0.004978023455715048,0.00585466019270143,0.04483952589926571,0.025256498094344066,0.024642264861005105,0.07895988372754047,0.05711782867678408,0.03063704978533479,0.07147763664547402,0.024659993724750962,0.06366378521983973,0.004506033113848255,-0.004814751360495557,0.002985637669440395,0.07156252818391677,0.02805431469018719,0.03496263886971283,0.007143419378124822,0.039910348329432604,0.003140295044956783,0.05500298310814431,0.021509318232653434,0.03476005207420587,0.03124611523701089,0.016159426944535395,0.024789438456682595,0.04886667163404627,0.03761624885167687,0.027580361167942834,0.0483607027844122,0.024777985850052687,0.04630866661187731,0.020083044685658306,0.06761632413718761,0.01804728974786533,0.019344763813728127,0.04321660714044048,0.01016182632778976,0.014402846909220671,0.07148376737895215,0.030639289314647534,0.013133970332769569,0.03212530891821774,0.03219884392496491,0.06015149446290855,0.0370352687710251,-0.009295549641130527,0.037629832856002646,0.07423593433184157
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.04870156785176818,0.04900416854170271,0.0027798056353504513,0.026629851582400884,0.020556396135644275,-0.04530971770813854,0.03667949476761078,-0.005057952250304846,0.04324611994403489,0.030202873705642945,0.09056214724913397,0.01797193903048213,0.08304893205787875,0.025352302568821917,0.014785666835268984,0.032431799305246686,0.030638604920845396,0.04350292897709678,0.05354623590706699,-0.04357626717692709,-0.03670614484551963,0.040594100934219286,-0.007923006894559189,0.010487568808736802,-0.021881654582411977,0.0026797136479761816,-0.05698389451903843,0.05335022170157722,0.033137533707456666,0.018098583789224527,0.018397237435002208,0.006912396316997856,-0.024878853383343127,-0.018862008546731777,0.01615049885578911,0.01471694391735874,-0.028227311500561243,-0.008072226868471314,0.01840929289760529,-0.021825870859371325,0.048542639895177056,-0.008911863649504283,0.055465375415139684,0.019448115011243137,0.04446022121906431,0.04558008933933512,0.07332659767537779,0.02973387854356247,0.0030495171858755175,0.01265164824444699,0.03693348123276662,0.057008171358392035,0.04717336352163641,-0.05111391646127469,-0.030572819666660103,0.05325368550640687,0.017922429502789404,0.021584730831247862,-0.008710873160835911,0.009451327982915328,-0.04203036072405364,0.046171724996935296,0.05222509496296429,0.039622749924502036,0.030932208998763165,-0.02142059362256593,0.005619863835745829,-0.028648374433628315,0.06464661719481621,0.05995074283251277,-0.008445904075387605,-0.0022853965321522124
