# File generated on 2024-02-03 12:09:34
# Number of participants: 144
# Number of patients (bipolar): 72
# Number of controls: 72
# 1 datasets were included:
# - B-SNIP
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.16758483853666747,-0.1979492402526875,-0.17995644692480375,0.34072036827348084,0.06293801938249617,0.07208999546187354,-0.022736839006892037,-0.030726102652530736,-0.197684893230305,0.02029131938299728,0.09462003390336791,-0.0199171003555533,-0.054439590064754934,0.28624956096592175,0.07051643247018127,0.13072440080603892,0.17488063561723743,0.039233394067860805,0.1450501552790376,0.17959744381730255,-0.004763534941053876,0.2554032850189147,0.2887893092909975,-0.16302077844825322,0.315789779993534,0.012847442796343068,0.08129080461410437,-0.005081722707755649,0.4476510944308662,-0.008559517804724444,-0.0768180304422608,0.002408308741912997,0.19019164158738172,0.5278481413923023,0.20839412823822456,0.44467569031162657,0.10579985605482534,-0.14358461034633058,-0.052331472578368066,0.19423413194629405,0.6559338396320824,0.08382983388016416,0.3255644701403672,-0.07717379097301759,0.29288047225332964,0.19497486823924282,-0.03434227667632049,0.20076035206380027,0.03628861023642554,0.10870260103386625,0.2640157098183017,0.1707469895939556,0.10507293547784509,0.1372849612253984,0.0623992460922707,0.39334289376894654,0.357482144211286,-0.3511095406859983,0.2126191633975735,-0.11118176775611953,0.1431718527445003,-0.01247112836424053,0.4118282050774194,0.032372494367947605,-0.1126297735442796,0.12560439958637293,0.21576297666550934,0.5148123109277724,0.173998943486773,0.3624904882873767,0.14408164542388016,0.08527870378199749,-0.09143967313654705,0.19434085375052884,0.646834696262918,0.12445702543783949,0.288942745576105,0.24229096518129406,0.09847224623654428,0.12368008688110675,0.031566215675759506
Left-Caudate, nan,nan,-0.07092087017358085,0.035275284028082846,0.005178921398381136,-0.028476735468503274,-0.004542202418264592,0.06140486188129998,0.12505043428988866,-0.03888431687627002,0.16054512491255013,0.11714910744077145,-0.26470563668228136,0.08895168332749469,0.10277922326612039,0.10645167164495606,-0.19372092599402774,0.07249435961236289,-0.004967364542350517,0.11464574085572024,0.11166523537626205,-0.015271652700221149,0.11225371311759427,0.05948253496082379,-0.21449003543083303,0.15420045487920064,0.017627736953389206,-0.2842793549724813,0.22533268003429707,0.08019653562013189,-0.06703471220582918,-0.10194473223581044,-0.15150638546053324,-0.05817615384280865,-0.14050119624738963,0.1735552445775498,-0.09940676570879543,0.06209736416507921,0.2972447748460359,0.12161158859776108,-0.17913485675288907,0.2863233894424678,0.10532810500273879,0.2752050566576068,-0.13720216102053245,-0.20855382826553082,0.04346690890050519,0.3215237828624241,0.14249503576322547,0.027674118917742914,-0.10725990528413593,0.14114390663279971,-0.24745994149356487,0.19883316896977113,0.08875387100150885,0.030454535456793663,0.17422612330484932,0.01083243005978711,0.004052122756882065,0.11868174426168675,0.040506205550057774,0.079244764987344,0.1508323667623579,-0.051278668132027264,0.10915712732500807,-0.07032226628911784,0.11576039216203084,0.05167120994434412,-0.12576543239552443,0.12700245140456448,-0.24291159713184182,0.06497561654298876,0.22592323277460816,0.060458701649349,-0.18568378947879272,0.09180332403107838,0.09615478712519471,0.2828489816286379,-0.0060764192938062055,-0.15775267706782126,0.09985360306745092,0.32283801705157833
Left-Putamen, nan,nan,nan,-0.0037212821408723193,0.19413516836046096,0.14079914786510125,0.0047639962099913615,-0.08810318945596908,0.1327750598914594,-0.2169713436185326,0.05453314546438543,0.30234033179943176,-0.017234245403353943,0.10393367724595164,0.16760312778582734,-0.25533789393985357,0.07028054235422698,0.05336417585071207,0.17983915733547637,0.05492472706586207,0.43747114922152147,-0.021508819501306557,0.46332172765684465,0.09890841533617101,0.046516988753270705,0.16771474086729282,0.16777919409038547,0.07921566695662702,0.28912775016674114,-0.2857317699601067,-0.26651879209263873,0.26596537777522955,-0.0580111594416429,0.10180925468085324,-0.08349190749080292,-0.09696811293818694,-0.3151566604616082,0.21234055320102568,0.2043616049992642,0.012530661855642073,0.0052965882441038115,-0.11528018292960468,-0.10250639873253928,-0.13485695397239564,0.06067003283027059,-0.04092229255467642,-0.02440728181738328,-0.13402869628537886,0.07547486097763433,-0.1891429129387475,0.15263404064584463,-0.01943642534916669,0.1641331174009206,0.08573724092161854,0.2094372854017811,0.09142982646776344,0.4156709039364268,0.10204418138229222,0.007182347933716299,0.015119373665345217,0.12375663079026657,0.14203434915344595,0.15671254845203503,-0.27695475886658194,-0.1514146769267667,0.22246414046851906,0.05740177461971849,0.19299259895347132,-0.06829935347816381,-0.08619261512994472,-0.2982475369911523,0.18758513885135095,0.23011111565846645,0.17853405513444376,0.043919803011976344,-0.21302084874682997,-0.05287678591380527,-0.22690360597779108,0.45406451931138403,0.2638538887521915,-0.07093368790654708,-0.17083907176139396
Left-Pallidum, nan,nan,nan,nan,0.004498420860172248,0.09139820814449041,0.07712151027717236,-0.11738203404584396,-0.054017054902640436,-0.13027054151451006,-0.04908449889652018,-0.18117960383404888,-0.11733827986984599,0.0030539169417182458,0.08887848651945578,-0.3627917507711423,-0.09894546134771304,0.03286860844687896,-0.01876065918482655,0.1639419986261005,0.15001519164951554,0.00010823809157726953,0.22699671375273334,-0.012356609659679725,-0.14361162068734476,0.1691299998839466,0.07982715440853841,0.039741373636705934,0.19064628591889285,-0.17722356014545615,-0.39997874340210066,-0.2063644297345034,-0.20413388365268453,0.056243852074467776,0.06355162797805122,-0.03575635397584336,-0.14484211318486032,0.10833073683232369,0.22245762413391265,-0.15857589672209826,-0.0609775175741115,0.043129902546743995,-0.015327823596487912,0.058937429057771995,-0.17549872261051458,0.1531157540261949,0.2886186379982368,-0.13233214926855766,0.0508975684183305,-0.33474156565724883,-0.07515925035380178,0.09723689877649924,0.19245319550375553,0.03851948811110091,-0.006859219376775994,-0.015068595221442422,0.17510355829530794,0.0007240718219042007,-0.12065376123806376,0.030079037380381084,0.05757291935357872,-0.04633125561794452,-0.10198653786023001,-0.18768904886076845,-0.29120734290960204,-0.18144258629551596,-0.16324879900690786,0.0432479976245086,-0.08646919869869092,-0.16663830773244737,-0.20659612002302397,0.14047315816296366,0.1806571111427344,-0.25771077774735146,-0.0629735634446823,-0.05195354027246161,-0.10666924944702146,-0.1240646751307995,-0.03964897511527538,0.07303925586106189,-0.04359298148176483,-0.05609398275977243
Left-Hippocampus, nan,nan,nan,nan,nan,0.30381522042089065,0.11730648826480825,0.3053431265766825,0.1010570240876998,0.2767955760525129,0.05486327045545674,-0.02431580253962995,-0.00990340044084422,0.17010599737701568,0.2522570645008158,0.010661079457833924,0.11481815611642164,0.008796534272897635,0.1791005019689904,0.2357184120159392,0.20820162132675538,0.2986298329571763,0.01095525053928924,0.2601302423121047,0.09462231154272568,0.06264718849824293,-0.11220024916953608,0.3923191766964926,0.01820433175481564,-0.025911203056665957,0.05298911216086939,0.20769279190485582,-0.04232553697404081,0.010850813326471816,-0.125126854958607,-0.21688937138306957,-0.07040434015330836,0.08608750516769771,-0.24876907429057435,0.062364059761944146,0.021474199430211897,0.06283887628736591,0.18573518644517303,-0.07817565144418324,-0.22762810050984272,-0.029257488780546462,0.06242105220236876,0.08205051750638931,-0.04112183231008747,-0.0731468858168453,0.11465506769823469,0.14512872204961993,0.2844732016743267,0.16935594975036544,-0.017909480954361928,0.24668124613854206,0.09526878390874152,0.35018012514174174,-0.19719416325179545,0.323421462289539,-0.04911401186322464,0.33513849685593655,0.1479289336057812,-0.09742226763714586,-0.36543214657092843,-0.1839888289463183,-0.18396212132615533,0.22454244908755117,-0.11312190774963168,-0.11897135457599489,-0.15491251557584937,-0.0156543885767995,-0.11821529891998243,-0.1155904443128458,-0.00028347739665341196,0.11448740879211285,0.022809802043652194,-0.10566560543649396,-0.26317720650090237,-0.2187426318635398,-0.05447928398664452,-0.1323446251679818
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.05448654043084365,0.21876580421856212,0.14067022870109394,0.305607700478112,0.1274652573244393,0.29556951737406434,0.1952662063010631,0.11822462138828939,0.07561810848602352,0.018617045716486952,-0.03853227837332227,0.039422593659036866,0.26567312131363524,0.2468562543025761,0.22237606409518912,0.34788792524890655,0.21988652256459673,0.42240948216604385,0.2082841401265405,0.19300924486849377,0.10530944716240649,0.3218630000253833,0.2695292287622939,-0.11573089282070095,0.024947194655796093,0.2961805882415274,-0.040517700447264264,0.04848756783699425,-0.12982003320899138,-0.19327895502707554,-0.2397646033801661,0.22142068754160765,0.08353107560514342,0.07818103617697178,0.007664883483045819,-0.07820315905918813,0.2790863783035952,-0.17377561570344943,-0.14271012109358577,0.10932311938860625,0.20625162009605366,0.43807019546595527,0.057142927062251395,0.11272099124926793,0.035669249335934926,0.10464176818377553,0.40346470116400285,0.2703904226223842,0.074631819619539,0.4704096287894916,0.31042937037578755,0.4552270198149749,0.09859759470811717,0.22350148863544883,0.226716982224236,0.2701024905874314,0.2492726386901934,-0.06992146038147933,-0.2009624829286884,0.12009369939523436,-0.13338534307739103,0.2548951964069255,0.010715672787292201,-0.07906539031116216,-0.30780213503687226,0.09758920428492018,0.17129171007708915,0.12265782301474976,-0.04326909875782852,-0.04344289163155079,0.17198479618518145,-0.08416705477947828,0.0523736654592228,0.11731418081241701,0.1481686316853757,0.28422903780067377
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.028588224981011212,-0.03860450996576249,0.1330440744726377,0.25355999160254866,0.2118427750305181,0.1407873958008952,0.18306252684720836,0.15377121208077393,-0.1113248514676361,-0.035477792473224475,0.09970520831744263,-0.1609072476312785,-0.03033575248212165,0.02332517287780256,-0.034905380268115384,-0.1740100457734705,0.2086687358216572,0.12499237262610106,0.04842466539918268,0.12776006848757102,0.03632864542682459,0.18729108544643205,0.1806352260251575,-0.09892909027451878,0.004388902910126407,-0.12580961526638493,0.0503224658596468,0.015629946382525264,-0.07629826516492502,-0.15842556958140305,-0.07357713424135888,-0.0056596579021941235,-0.021564444341906113,-0.12191257088915596,0.06457134734445442,0.23357995841644072,0.01779382906371994,-0.17857320553098516,0.011898138888002327,0.14333708058283148,0.05133141266071603,0.14919972301022666,-0.1787138865525461,-0.016840370756207423,0.22304300748106615,0.1227688011311962,0.12925702213687582,-0.039694188932764586,-0.05653483533821452,-0.1794656178175756,0.12298946732633187,0.14798119430650164,0.1776787193929043,0.15503021453710764,0.2172936199505017,0.25696317676708,-0.10235174892394232,-0.04844917550743537,0.15390725891051898,0.03240871781548753,0.16248979182762768,0.06800934742515516,-0.20842860704118824,-0.15537163390622286,0.01898164601341139,0.012394331716975971,0.061211861707148305,-0.1086001151306207,0.11330419547870071,0.21479535816779402,0.15212688012370368,-0.004710920451224574,0.04973062695150889,0.18510392903196968,0.1056209425483715
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.1164903103095973,-0.17337716728919278,0.012334000941703954,0.1233863021123445,0.11200453058379066,0.007647814200249234,0.29583503975396486,0.11667548986294306,0.2344248542616223,0.3239866861656496,0.21455624513737798,0.21309885665454417,0.27952976314545835,-0.03280750976293983,0.18963433743603444,0.3030767177411307,-0.1991462541590136,0.36976020871688975,0.05923692839072298,0.14375067656297677,0.06750441338469335,0.32398405175058914,0.15359999582345815,0.05591522969256156,0.1506917110950419,0.13145608680713947,0.4838845674175294,0.09930509128946385,0.45356245820948,0.008725062686229591,0.04749491111994199,0.08543737237090836,0.28266461084410593,0.6085487101851861,0.1420407342658767,0.300073721290346,-0.11296373002591574,0.35262987477703955,0.06664455456304723,0.1635249413869111,0.10471941174370157,0.11216406877988891,0.15304346982751987,0.3098095551706379,0.2056781483937207,0.1950481113027967,0.05637433512480847,0.16104676263791176,0.321837181892733,0.34711697379745426,-0.2721690061650371,0.21150597024151901,-0.06765007297502715,0.08847807536372784,0.15650378153889027,0.26621558911528953,0.04060187379544719,-0.002836698661877377,0.07611143747636888,0.2926676564931795,0.4327358371332872,0.0039005361379636627,0.40143276715589077,-0.03266994033210779,0.13178168890890463,-0.133866469814987,0.13776930501631277,0.47858973469707594,0.15406234497296306,0.20033240338214064,0.20380169662242287,0.12473116374198238,0.16757953708007015,0.15679276594519484
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.11221502420596872,0.13887667094115558,0.20761735625233307,0.024126794702311126,0.04846698461469018,0.20061450406924855,0.2677610433318156,0.09344137584918731,0.19931285328391424,0.18308032110996184,0.23839187468984413,0.21646652725662696,0.039787381369047116,0.2515515730775326,0.10910643949186925,-0.001334428170758589,0.32006426907290764,0.17110726956648745,-0.1353137090715117,0.4190906923821921,0.1270090124454774,0.19044856364240886,0.0626993920682779,0.07024889754445993,0.025680690983392547,0.02738143476192242,0.23176622769063057,0.12923567628373173,0.14476896384348265,0.5215270477050225,0.3484210116346387,0.1783872902816123,0.3661382342928066,0.13371879154451488,0.35067712277997876,0.023442535899220265,-0.027767297167865256,0.01592425794770888,0.4041583364086393,0.16539426128709925,0.1957222455932234,0.04083528685402966,0.2176738137621888,0.017171739799431172,0.28908365528014973,0.12208745145667983,0.1933144925608663,0.200205675012716,0.08473238914115437,0.15759173516460345,0.26224127622112586,0.22510476220936132,0.1527978457120616,0.3247785282731776,0.12506500579203134,0.24305775433578047,0.12365205979004268,0.37765956149466734,0.09434904290136982,0.08993234095584549,0.21656676431092522,0.05106572399544956,0.08603889801975242,0.4690183091716293,0.17082451582827357,0.07546417775957888,0.16630932682087854,0.17403701168503882,0.31040418433717315,0.19940503525076678,-0.05605049253703292,0.20684349014467898,0.4230506066245786
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2609051767509324,0.26412310153354457,0.013943850147753666,0.14425117195594148,0.1054784076624937,-0.25235502548009864,0.1952367923321822,-0.0268706685484447,0.25066156697607805,0.17147304353581203,0.5058675323050377,0.10288765292475129,0.47811688085385873,0.13136362753461114,0.07592576934810774,0.1878844559250606,0.1612590699274108,0.24543985091912116,0.3386712189348624,-0.20354439819853487,-0.2054149440005884,0.2222367856738552,-0.04349188992397104,0.05826339520126861,-0.09764327565930085,0.014183785189670738,-0.27258688956026406,0.2871088777988698,0.1828877130710888,0.09617993096464907,0.09455818990446133,0.03807195255755036,-0.1268858643026362,-0.09920570101137659,0.09083981845877208,0.08393033062066,-0.13962904018851297,-0.045027572066248966,0.09988909140254848,-0.11661517415355255,0.266615235602289,-0.047984687320355726,0.31314018029613533,0.10998592713254106,0.23779309427466933,0.2567077765740685,0.4209252395879993,0.16366248438120104,0.01609122158432068,0.06926620352486755,0.20649505996633796,0.29185728643556114,0.27902563033209776,-0.23338111558881136,-0.17087727394349808,0.2898064684923049,0.09471940100505385,0.12126613488289971,-0.038904659481157594,0.04756240514266357,-0.201883721344531,0.25857889585732724,0.2998470723560208,0.22201826443655537,0.15614684652640612,-0.1120671640451276,0.026947004043759736,-0.14361310934156157,0.35028646510756833,0.3500824649505309,-0.04470353834855865,-0.012627554646174684
