# File generated on 2024-02-03 12:09:40
# Number of participants: 72
# Number of patients (bipolar): 36
# Number of controls: 36
# 1 datasets were included:
# - CNP
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.2345750456957346,-0.3282341770367994,0.2398405438355177,-0.010407136788857914,-0.03377848910545167,-0.5181457679601146,0.1072671953079286,-0.4191479968118425,-0.20804994410290478,-0.06317811254387658,0.14725420765072272,-0.07951363487372516,-0.4376546745208831,0.43055647101741357,-0.026914454854948623,-0.23016509700397458,0.08905672770242853,0.2427462785114159,0.22657591379738723,0.01719789206660279,-0.2887053178167076,0.08916255991149019,0.11156166238592333,-0.3320151244583682,-0.009562884206634719,-0.04548090683242658,0.20043410374987244,0.22857829684574285,0.02436612687066027,0.2403343557624611,-0.19198641407313,-0.0960791316230522,-0.45455590470521834,0.37165100513168703,0.2326151515171899,0.2739373860724814,0.11237204314152023,0.03307831620186566,-0.3535360693177076,0.12598087025457763,0.12073981204569455,0.35115589830295635,0.2274423724034064,-0.1262882253181656,0.3606796423048357,0.0332853875491363,0.23107939571748043,0.11935800268447198,-0.006672082829312851,-0.2119401560654498,0.1345991074622372,0.21320278561684583,-0.0566142167928911,0.09109292280914437,-0.06566730598209965,0.13265771935888182,0.01404294812274649,-0.23009802808983462,-0.0881004943663351,0.008436683662840602,0.11553367726985969,0.2347251028153867,0.10039264468725634,-0.16156733469782023,-0.07890262426939956,-0.1637099056782419,-0.5123674285123714,0.5403758681882158,0.3123232955168615,0.28033650383583286,0.22996980260737337,-0.03407036484131625,-0.1853529503401085,0.2056486110271894,0.15272487161946138,0.2896040197417699,0.2314433015982189,-0.15472973426006684,-0.167674868427673,0.17379793076482442,0.0847403750824694
Left-Caudate, nan,nan,-0.2956648713188442,0.24637596561508798,0.17759571349919032,0.29743151791543276,-0.5593832222432227,-0.13411749030937195,-0.5651147857149535,-0.07703090402377061,-0.33410800457592355,0.23968115905056162,-0.11777132345412447,-0.5647447073935009,0.5277885132186567,-0.006240650335967453,-0.10192367650360287,0.055958092578478856,0.4592954531269429,0.186813266806367,0.13589514800986766,-0.03277513458920867,0.04140073931476709,-0.07305784314528196,-0.17404370511222167,0.12229157016150442,-0.12129062942411091,0.38673034447013666,0.08928342783337385,0.3196275250761447,0.25635996207719225,-0.13749089034786185,-0.11162215111134781,-0.3553738445669937,0.5101463521929256,0.02334397624613659,0.35212278332756364,0.3625829463474282,-0.003481086460322089,-0.06607186980168883,0.03852719660247874,0.15680625860911104,0.5096908210365575,0.3149095705666669,0.209691821379529,0.47161186113967185,0.0832829059200515,0.35249795412799145,0.3450589030557838,0.025768558475823166,-0.37482847065528346,0.1868600090510173,0.2400516074129721,0.34142088879815324,0.1356511699909149,0.2447847982268517,0.0771133671568334,-0.22076119154798485,-0.33337453529444905,0.07768424600361934,0.13765716781578616,0.13508087357108856,0.2360424760046636,0.40564013322331244,-0.2603373977911444,-0.3498353521455815,-0.16205884777914045,-0.25000309601048765,0.4801452937497603,0.06908726635673362,0.24193430523137288,0.3369281977048025,-0.1893518614479654,-0.2241303245140748,-0.014642865025006311,0.25331414156224613,0.3352457878490267,0.17395142562164173,0.09447656805284295,0.046132635273796394,0.15597022763666493,0.27348281196244506
Left-Putamen, nan,nan,nan,0.13012893501457606,-0.0656888385770911,0.1473743791864758,-0.29519259304730766,-0.24422810118866103,-0.2424743898757336,-0.5116511890306691,-0.3407762625264223,-0.07864142743089599,-0.1604852449451251,-0.4279589732984402,0.34469821752648405,-0.19078221844289128,-0.46521755477649857,0.039175232754497434,0.2714861989481325,0.01658891606177374,-0.26833789850881895,-0.2877449667565816,-0.16727806970295933,-0.010375563862941466,-0.19534049458654593,0.06403617045251063,-0.22128436388125955,-0.1548559204603389,-0.0972483015882836,0.0834718917353671,-0.08671728988326058,-0.279442655923371,-0.3762412197532199,-0.45273507254628076,0.10128160562269015,-0.13466845162680005,-0.017300641563293705,-0.12019376833245156,-0.11119268272976984,-0.3970394547358993,-0.25142182334081975,-0.06482965914683068,-0.14699164481494884,0.005176164664524489,0.1448611479098554,-0.027995725578161122,-0.3318978350187525,-0.19603123243024137,-0.18961644779468517,-0.27404601003535456,-0.5785782021772007,0.11245244872230975,0.14547632447445982,0.1736551441754515,-0.3394004481753072,-0.05374249095431974,-0.2608667561692408,0.05988793157699836,-0.24521643592019496,-0.012442945296263433,-0.14779616944103402,-0.14236382401373926,-0.06368039111232825,0.19505126416480845,-0.39203622561117657,-0.5169222187157285,-0.5116688984506671,-0.3528990337104581,0.3326063519472841,-0.008944375465005816,0.047470327666977154,-0.08875243125908464,-0.0831123692408111,-0.4068439910170724,-0.27604205482017546,0.012891237976499142,-0.13428328994874378,0.06731551928504965,-0.09423763097855536,-0.19533251579369987,-0.2933788100458195,-0.13812307655016168
Left-Pallidum, nan,nan,nan,nan,0.38998410894227165,0.27252431972541263,-0.3432821657763854,0.3661430672499659,0.11964699363852402,0.1230152436647075,-0.053461624700496944,0.5119000887337457,0.3133630672638739,-0.11841838521392559,0.03173926634059099,0.31597541488713743,-0.2145156258460477,0.08485979440014305,0.10776255718871841,-0.039226115499666155,-0.08731072663575272,-0.03244152790439154,0.2007785530687729,-0.06575283174589859,-0.03613540629587143,-0.07723877602354645,0.03457036082419606,-0.11327231144627001,0.3077998733664718,0.3460751459017423,0.09196957620254573,-0.14339641020386798,0.06570309375727663,-0.2931603333511033,0.49719939830162424,0.33615630783928013,0.39595572333701434,0.026014161711066155,0.21293884275881753,0.08615434717316994,0.061368578661285686,-0.03975258096406422,0.32730224067639924,0.22846149706116853,0.1474642339459238,0.007204765527723231,0.4089177209654478,0.533221592884623,0.1942663762811591,0.21023349900183194,-0.3341340046194296,0.2663411902764422,-0.1493045222078472,0.027505257987625337,-0.12150244965059928,-0.20525595702678806,0.17411497050462932,-0.08661323785784866,-0.10963977186604561,0.053338594909010675,-0.049184578921214445,-0.009611676223992158,-0.0341794628377852,0.17611784374617676,-0.17280773576118172,-0.16042261865635785,-0.3841667622963182,-0.21675120151401353,0.4136295878828313,0.47553935951174164,0.1919719978511207,0.17346574540391593,0.2461657153345776,-0.1317350996509586,0.035468185479205445,0.01619481132012457,0.2452327587368835,0.20177726561457207,-0.10771456491287351,-0.042338878861220286,0.3534575127697162,0.3851185922115461
Left-Hippocampus, nan,nan,nan,nan,nan,0.08551655698809553,-0.44860457434540746,0.05423863042650968,-0.17607812686280222,-0.19882679330418715,-0.07880710439748538,-0.07738854360076965,-0.028276152209274097,-0.31316864122969906,0.0479168353715552,0.24935739348464284,0.31184517447364546,0.26542319332372,0.20724699636670293,-0.04614850826460464,0.33230169247793223,0.1295423109603816,-0.09952324180327425,0.20568526824454725,-0.09114628431903016,-0.034857001847652086,-0.3121166537352727,0.08868135210273169,0.1058946191416954,-0.09484308652742353,0.3342709213399719,-0.07529748437328251,-0.05889170923426906,0.2244927909372652,0.013280555639282236,0.1304905589700223,0.21648057455357309,0.22951141926680083,0.007601531993153263,0.18772350332259694,0.3955825447055152,0.11175141177091923,-0.030560796566193284,0.19768307535059124,-0.02173969994790264,0.2817295865667069,-0.055632409441942615,0.0518781065786937,-0.17070855278125233,0.22112147796407605,0.40023671532621075,0.3609703737729799,0.09384558333075847,0.14616823582828,0.24853824164419325,0.09244502168114613,0.018283035271952484,0.33867504432617623,-0.38611491462481395,0.11406064297237688,-0.20311862927223054,-0.07465581887396829,0.1706524015483535,-0.012043447020751347,-0.08920222804347902,-0.3284591737927871,0.0459068333127287,0.24851082551907827,0.14262267945765933,0.04383739795126561,0.04194795451163502,0.299796361241334,-0.14237611335040204,-0.03336747741807748,0.5275079765907658,0.25973609784274804,0.09254734632502444,0.09406177061691644,0.16604547382784715,0.07992870786513248,0.11567830517638564,-0.040828787726451356
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.17745563071031664,-0.05702263949211897,-0.0072022518773297815,0.11497925849913701,-0.2052760562392052,0.03499174000151336,0.04878480560235785,0.014044187144671863,-0.09072767225940206,0.12975368373675816,0.3659393471168349,0.21144958097727592,0.11094031475928007,-0.2631395486447443,0.5489599834452178,-0.05696392077809346,0.2717519760545064,-0.058016354971061695,-0.07963343810654257,-0.18995205788874395,-0.09006455598453551,-0.08018147274752808,0.3083811646103774,0.1039068779556652,0.2691557779743258,-0.20992834403563215,-0.06416213792347611,0.12565178619922354,0.040065292436239575,0.24373528541710882,0.12838323472979077,0.3857028553017453,0.1414639874248144,0.13526705583218177,0.33523915888536665,0.1726570981499223,-0.022135470967913663,-0.08026274888675856,0.057642318052137945,0.043888228608396196,-0.2410502410662272,-0.1132212555761566,-0.2047489520422043,0.14926569004143111,0.21591420261391744,0.40066971896863773,0.05248057173498468,-0.20870653675570786,0.30187933872929285,0.17082743558968444,0.3401243920516126,0.08952107754198863,-0.2920018671703093,0.06439935437044637,0.08056144636119855,0.02768665741947063,0.14146905327902531,0.3423344226072509,-0.19915565989364423,-0.3450252433348539,-0.04709133999185851,0.17298517953824966,0.28333023962408244,0.099849081874064,0.2410305999391288,0.3780687457727233,0.008716027092753563,-0.11728176144214388,0.3905422497688695,0.22214756322642348,0.29296899721596276,0.009639578545263757,0.10733342835703849,-0.18753886467788253,0.17840971286690982,0.026174808065255784
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,-0.5061999623915171,-0.5172649303096076,-0.2081898551158121,-0.142658841026305,-0.36022466417028937,-0.24518804136607267,-0.16928463671230154,-0.08530188630906768,-0.4113915181538513,-0.502591801189007,0.15668424545545867,-0.18755598403393633,-0.302499532696172,-0.4189595951330765,-0.3941697586671492,-0.0858958837546107,-0.23614609250306873,-0.541901848889183,-0.0072445106988853515,-0.4150505057358862,-0.38434261795389674,-0.24466106804108753,-0.10556188516487405,-0.473920655939626,-0.3678932764071177,-0.7364331870031703,-0.2871531400268457,-0.11656867864948238,-0.46830940337273885,-0.31692797839404285,-0.22095098766930377,-0.23985579767687104,-0.3546461771198259,-0.6835594313362613,-0.2701215266924202,-0.20243929608559752,-0.21680589719680057,-0.428553448087356,-0.44939944708522844,-0.3604870672712396,-0.1764000502355421,-0.06068012138411037,-0.4472846190614228,-0.5566628070393668,0.03747210553716145,-0.4156210906634545,-0.36968346507374783,-0.27472680989535175,-0.15364357971332643,-0.05736278490449605,-0.20824610781536604,-0.545043650479863,0.0036414481321663476,-0.12714294327275438,-0.29107185442323086,-0.01617950135992578,-0.20346863684616665,-0.480762843986949,-0.6249386088773414,-0.5931674613901124,-0.13699014284208777,-0.13395073749019776,-0.21146004450646577,-0.45156468271072153,-0.2029740831311457,-0.22581053853412125,-0.4804078947245815,-0.6922375692623443,-0.30324707258566075,-0.19521984675963275,-0.34259942892616274,-0.16953698253817606,-0.5926751234571283,-0.20453678508409007,-0.3376717803168219
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,-0.30553157836144834,-0.0999278552986444,0.19541413249535228,0.2229184112151045,-0.08583252811419011,-0.3577308656452545,0.445162608994997,0.062447738907459326,-0.19431810511631784,0.18001024715086542,0.32526302422486436,0.14949612020660574,0.041753333545472435,-0.29016895871903353,0.09279100342375518,0.287754344458351,-0.22133337114453247,0.105265190275082,-0.2397664576505961,0.13798702905053448,0.11085537197316495,0.1383491040722422,0.3483508086226228,-0.1464387684479603,-0.0854174117531629,-0.20186365794539649,0.5128003412980445,0.46487841777392414,0.3133857181601187,0.1553748112451005,-0.15361393340189688,-0.12808452178509597,0.10406028785253703,0.12353100298765855,0.43465675911392776,0.34760757779745494,-0.03472676944400923,0.3125451700334438,0.1700394359348475,0.4862120631446203,0.1696939269533352,-0.05962961829341954,-0.10168989066649764,0.1927731071407999,0.2958570580088193,-0.07274434373052417,0.13452754566869482,-0.16943614230084816,0.014746517630576677,0.1911655334842601,-0.11474921773280358,-0.0687834201517387,-0.24563186333729436,0.1091022352278534,0.08649711878296508,0.14428466265373838,-0.12489486960529828,-0.0808538530668714,-0.057421834652258204,-0.290649872206365,0.5821329744779549,0.38709735776649873,0.2068602341636566,0.2998708718833325,-0.029360936757892885,-0.13037946122577887,0.1258943084224978,0.13627335577360375,0.4123747678136342,0.3559663981311993,-0.20301352644317008,-0.17082851598170715,0.33478003292504865,0.21931999351286663
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.24258859899734853,-0.12388596935723167,-0.1066632443275582,-0.371145421933003,-0.4611212371397719,0.6572642196597048,-0.084957427505485,-0.3151009967206436,-0.0034863412818145075,0.10495766363329412,-0.10014379287690013,-0.1821318844929129,-0.327454275393844,-0.003061972415633473,-0.09831234246376375,-0.32413908391426516,0.13012945894652106,-0.22327389221139257,0.21800944259849217,0.09854774349730767,0.19826289518699877,0.241668860886463,-0.2627444046219791,-0.20454351076442298,-0.2583375138671367,0.4341284381610155,0.018857705028252184,0.30856334546505937,0.062194140435891235,-0.08976887335173707,-0.21167934844051758,-0.15431274883061313,-0.058414120711830254,0.4065836826844218,0.08756287736435225,-0.021861399860267052,0.2219274315761187,0.23820368391930266,0.39195014786555815,0.24028305742780365,0.10163865795148082,-0.3760485526673453,0.13125899465050453,0.22756056569388883,0.0969560479904636,-0.014436584993883358,0.1037355060954772,-0.14729151583824818,-0.20976058165450207,-0.13212653736303817,-0.013723794209189871,-0.015728619546512095,0.02765405489958792,0.026268662957233093,0.20389638224346174,-0.03745212820787565,-0.29747696612349495,-0.20356898466411327,-0.19748636041565987,0.4391929754255668,-0.014209425854565978,0.21471957985644333,0.0321035128821046,-0.11074798689388504,-0.307269626969215,-0.0967390488706805,0.04074344498206625,0.23029824781138872,0.21488910557195018,-0.07422292643289538,0.09869312655525923,0.06512273642733948,0.19030999716961816
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.20550018423098157,-0.045934751804627985,-0.12787349541923423,-0.42739085893522527,0.16923708254101852,-0.002688472463507875,-0.49317276910776175,0.1119961094163931,0.2375388706397772,0.03336057359558066,-0.3490465380273975,-0.3576880245366553,-0.13362611040307223,-0.08069570799277043,-0.28437237670669974,0.0681067572390797,-0.3490954378474579,-0.15038218721366314,-0.0944586866112824,0.06329899681531448,-0.20851604910895447,-0.3714540675497591,-0.41144239126465304,-0.33327822279832026,0.3373682393230706,-0.10269591457143161,0.21560020325258475,-0.049222094132764634,-0.029062985359012746,-0.39887192040652736,-0.1981007392222208,0.06851862337097206,-0.019985299450949623,0.03924247378857071,0.04347279439520676,0.15139236674529286,-0.19866337966251835,-0.053059730149582596,0.008895909634421578,-0.20201420851393564,-0.3911342091763683,0.27264360308294966,0.2684810010290744,0.15024743945815416,-0.21750583157381978,-0.21247244717438718,-0.21542573330296755,-0.03391151628590736,-0.24989484039510304,0.11635914950082443,-0.18113220308365222,-0.09102618755468855,0.04633965641847699,0.16289949647985139,-0.37943409304918857,-0.5960097587387169,-0.3938269785192145,-0.235182629565873,0.3115184922645702,-0.03100962163868866,0.10073626129547487,-0.016606211375370907,-0.1307290537881485,-0.3590987206217023,-0.1255231841345227,-0.009685242140562435,-0.0038907898433462,0.11212030635085225,-0.15492173534524512,-0.1189185252251071,0.0044887163555658045,-0.09746120855386255
