# File generated on 2024-02-06 23:08:28
# Number of participants: 126
# Number of patients (bipolar): 63
# Number of controls: 63
# 1 datasets were included:
# - MuensterFOR2017
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.012331454288256622,0.013585342498147236,-0.4692374731925165,0.22294211972524478,0.3280189959981959,0.1271017378691879,-0.22548640445075271,-0.09120073992413612,0.09862804773556078,-0.3720677896641762,0.13997168083952496,0.2678584391844355,0.27233666885470875,0.40139715294389233,0.22136969994098374,-0.023556324267721893,0.3273087568960574,0.044476136570161355,-0.17582811058626788,-0.10736504713423368,-0.2825880820671313,-0.0453168248574917,0.15102790539014838,0.06248246549771773,0.2584423372429777,0.022483766828447074,0.043214459546418706,-0.18693750383049476,0.34493856913543125,0.1449493469821965,-0.036789767079332264,0.19303489120030612,0.05851576313413003,0.36457189870100554,-0.21996484813156833,0.22026127609213114,-0.15931212384869425,0.2701719325926839,-0.1502400482646952,0.01875368578783951,0.15896400537926084,0.4225228898784183,-0.08235112317113123,0.08488833332598757,-0.1279052117796337,0.5694223021033888,0.26481775845901945,0.41241537745783846,-0.052096439011882,-0.17868413056329352,0.5064019211462296,-0.0569910128318019,-0.02260161667942344,-0.1668159129061545,-0.20499543064338485,-0.008087397698541296,0.11109797934665547,-0.21030933406898075,0.32314031317918585,-0.2088294306964308,-0.05531627776533739,-0.09230221504014734,0.30545140501608026,0.23153161023442634,-0.13869113462534602,0.17855468263156626,0.12575588344427643,0.3391534176656728,-0.05014873813029305,0.2726973749579809,-0.2494977330479012,0.04929850017714386,-0.2435170482752888,-0.140325242057498,0.1921312388466096,0.439726993758194,0.1875302216944521,-0.19438844816283313,0.03957372379454454,0.5121742183054905,0.3219747023383489
Left-Caudate, nan,nan,-0.09462437048561628,-0.35739355956176344,0.2687434217724564,0.33454384135757287,-0.03390652808885633,0.028045090743650934,-0.27617081451668674,0.1965347616153108,-0.2108758427622655,0.3330911579361394,0.4791790312223732,0.12136287881740741,0.3999564033538088,0.2380074935350153,-0.17966808853229943,0.2729956510566401,0.12801890377123962,0.0616170832903591,-0.07240355001629994,0.19510061565114425,0.08655258784767607,0.15720546296480017,0.09409666931750259,0.3330795776465972,0.21072268692426038,0.12141468040058016,0.08742233536667346,0.3249207025654295,0.08142219468282845,0.1710177330202665,0.10418044413746952,0.18879517904774953,0.20167499388986884,-0.0036674036649841815,0.06836154498221385,0.07143982544326234,0.4899960872850614,-0.1041324645638059,0.1418675805053549,0.292613903918402,0.3029572430152544,0.13291610194112174,-0.14601121735685463,0.09991284211341538,0.393200326920021,0.2700551279095256,0.32528604743423745,0.0352963701877757,-0.0476559835126512,0.17637270241320377,0.21148817414770613,0.18888292769875303,-0.03691718830984103,0.19757749765751284,0.14169777139073034,0.0665377823913074,0.07229656966790421,0.2893088729940083,-0.023516172023737753,0.1642357754564562,0.06613723135402237,0.1531953063198145,0.31370348048694496,0.19553151064484836,0.22938647880796006,0.22415403669283826,0.2534033193478054,0.1356785482180294,0.19821293638582746,0.059430094213771455,0.24812877255531093,-0.08206575864724533,0.03512488023361964,0.20355841582559123,0.2642060320813771,0.3028517768323046,-0.15553549524000834,0.40812507213494653,0.31690677026589226,0.4640568533526538
Left-Putamen, nan,nan,nan,-0.29205548558165145,0.0679688763914869,0.15943737354261375,0.012169881411288639,-0.025302269919063123,-0.025252962332887437,-0.18921910240700868,-0.22768293209040272,-0.034315842193540676,0.12252719400543621,-0.2315219158183843,0.18649225364221791,-0.05414836357577698,-0.06897218927762327,0.0872122531561707,0.23691455164566788,-0.16412874752524856,-0.04934158844139208,-0.022698321435302378,-0.260443950911344,-0.09775969665169244,-0.18522600802733563,0.18530430221121108,-0.24590412892762767,-0.11116427127503425,0.016137976328607827,0.16198587299331646,0.1988644743682713,-0.08920153995444924,0.02121888848527822,-0.1758494552232436,-0.04307368317221109,-0.15121624294869337,-0.02145423953679544,-0.09626281052559374,0.11609523551264846,-0.20038151435200358,0.022064650181534515,0.01704074251162895,0.0906731432007993,0.1485550932191488,-0.1800047519724927,-0.04805690895666963,0.25477835156114004,0.2001542407394788,0.3054203644865899,0.05721541196209194,0.1614761690913019,0.09400588491756375,0.02484366123065485,-0.13771474543327455,0.049460472320056105,-0.10793381496036192,-0.07464344208630304,-0.1637823753383189,-0.16894917002919743,0.1515310978521065,-0.2501843427322737,0.02638430809299326,0.024567625742570095,0.046749028267811056,0.3509134502498539,-0.1781663601717512,0.04795067867615923,-0.1139407083672279,0.03609101480996498,-0.001120912059747818,0.060581177664696166,-0.005190037331989943,0.17910147310698973,-0.09189360595780025,0.05558254847308139,0.0220519116757702,0.09720426502640478,0.23309036330870542,-0.33095564601651883,0.1717195552603249,0.1448104747858727,0.16277304848044183
Left-Pallidum, nan,nan,nan,nan,-0.008400759138916782,0.20847669773926894,-0.12237438988526345,-0.5264936319446055,-0.24499884244225545,-0.32474483259916737,0.007839367744863459,0.07722807244078815,0.07556271493711339,-0.16359761130669276,-0.27970430381092254,-0.4224407927898599,-0.34843466870183676,0.04920827461193167,-0.24497899021946573,-0.1938593627187844,-0.32535564048863147,-0.3171485691684039,-0.22676836253601554,-0.060758682500757326,-0.17993335778324512,0.11018079095284276,-0.19107127786157158,-0.26583610786567513,-0.21972347315557408,-0.164471154136927,-0.28311197352570977,-0.3325731970107973,-0.19670533285185274,-0.19335208503538265,-0.1133422332981555,-0.43442054257203455,-0.19543359690421797,-0.3233068647568537,-0.04102516222428794,-0.3800411361271424,-0.23673446858378883,-0.12790199077450914,-0.07686501433481199,-0.4067895815282188,0.00882748064156096,0.059458427261593165,-0.14822756474170937,-0.16581273768487303,-0.01710588596909822,-0.46272914933473763,-0.19566193126351542,0.1328123514595479,-0.09118004070255108,-0.10392918381994497,-0.32715529750861855,-0.11901690094000668,-0.18614102980389058,-0.12954268375305775,-0.21357409223226986,0.19841585916346693,-0.2213739399172819,-0.10262893229911704,-0.14047457609997546,0.019048291268416853,-0.18667097260543816,-0.1207026773526736,-0.1094054289171023,-0.15940110840538127,-0.05460961523954347,-0.4370262263647496,-0.09087598331187366,-0.29359093446503287,-0.09343883665167882,-0.3720639257425558,-0.272675358242098,-0.18735073889486134,0.04729255630652235,-0.27351001652952844,-0.2739551233417464,0.213280277169191,-0.1200824385130555,-0.14967360069879618
Left-Hippocampus, nan,nan,nan,nan,nan,0.3398552745840241,0.08522719254810028,0.2258669303903358,0.25323704357977306,-0.11639812945565457,-0.3295277175805613,0.09226340147605144,0.20173766645870797,-0.013915531489861134,0.10598657039293992,0.13663933297711942,0.01748772663184306,0.008604797949991248,0.4319970987464509,0.12729586659789885,-0.07329548012162702,0.2980539591598982,-0.26481721944195474,0.059800029576457595,0.3942843086124005,0.003775267275403461,0.022311777648410018,0.4570084878515419,0.06962068761092109,-0.008520801052438067,0.046145298561067756,0.25669656169440763,0.1780215966242677,-0.16897661388189064,-0.0787876627948528,-0.23278112860895842,-0.1395905725301308,-0.17629481436067956,-0.05911053662947935,0.08456798099746428,-0.15004956945109554,0.004688518505630161,0.1260443577967727,0.04639458421451656,-0.009867735543044378,0.28130660492420223,0.23225168835634194,-0.0019561979564476687,0.010527802935925843,-0.02555147004936064,0.12020446275054134,-0.018378691479293618,0.5287799844094718,0.28543468762402685,-0.03347364602586707,0.42622129566108663,-0.2997410885514046,0.1759663485925278,0.2862368324428489,-0.0591692165429812,-0.018879029699763128,0.4635764415944459,0.0686528373795828,-0.22003799846739983,0.00626614822300211,0.23997280387210093,0.09394585055299878,-0.21826059624549266,-0.09891098560160028,-0.09496783447936753,-0.1144061502641283,-0.129049904991595,-0.23873622925727578,0.1726577185308818,-0.11454691430262186,0.05965979327226772,0.20143957789259961,-0.0670025106501228,0.01684269860660543,0.24866783085000208,0.15372732585358756,0.062490767321679505
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.15967814684204093,0.2953906565049695,0.336307553326676,0.022838787058481212,0.015767282933093374,0.28938347645247037,0.26842613649897745,0.023977519154093477,0.05625881326677251,0.2953383869945035,0.1456890155007631,-0.037203737495004774,0.7042759909709982,0.04728835433282674,0.16084578024136503,0.3904982704945661,-0.05041895640599456,-0.0010012702279988666,0.3102284432061669,-0.05081564337768831,0.11816269822710415,0.533041827700924,0.2678129419813857,-0.06202345750606546,0.12984188689683485,0.19726884632589853,0.20414957737491535,-0.05413581353074858,-0.21517123565356308,0.11448435958171728,-0.24179276967903182,0.08761077984262254,0.21138637971842927,0.1942741991051898,-0.04341853389330257,-0.032991440133274354,0.11538216095239547,0.09515911580123755,0.21158506428280816,0.3209687228306625,0.20317166452618124,0.16783935810602207,0.036227681887584615,0.1415178472709875,0.2556471423351546,-0.06271424977715306,0.6322276807372733,0.1596885681487707,0.23620858205567963,0.568998211236126,-0.07194221244218728,0.07219903167136511,0.2725618743590914,-0.11957627627146933,0.17610993878047826,0.4502791973107579,0.47175638329543484,-0.08186385884567222,0.012928989117529826,0.15858357549797783,0.10909238103213707,-0.08857558713172108,-0.20429244575260117,0.09326032488435393,-0.19420920315495516,0.17072069149663294,0.22926117461146583,0.18929624832359446,0.04465707045051386,0.023623949323813096,0.2169426144380799,-0.09728493168774975,0.08666036748730754,0.5161413178263621,0.06182345896811203,0.14550181893623873
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.12603709224677725,0.17177944252279156,0.008716016090585853,-0.09170515538572438,0.026144037716194543,0.020883326892600765,0.30520746608874716,0.018809904496571776,0.01999471527118444,0.11240239822322401,-0.11864309153495463,0.2327907399137762,0.2114954649842546,-0.04269799610977136,0.34200858392741057,-0.04510838894306873,0.015661931918584043,-0.12056709060907334,-0.04829278942261964,0.0752607758055186,0.3448316050165945,0.06810989758586328,0.23880258043818778,0.015143208684050358,0.35536060682607873,0.09618503289281669,-0.18223206924831,0.2467655916079129,-0.1031242183331629,0.2884191969918073,-0.03410773344048212,-0.06218517723261422,0.08316363180963032,0.00976015094162327,0.022062357509157287,0.024288612088525643,0.10870449485711316,-0.3196421343292682,0.028972716663121248,0.4712312713215848,0.09975722828798761,-0.07928597679061138,0.038225388394516537,0.05308729183065666,-0.1208041598708709,0.1947818970915714,0.291914260353107,-0.004608218114980423,0.3357797723517497,0.03688428694989951,0.06519671259025502,0.15307444252494207,-0.0175688213262557,0.15748124288705856,0.41511048963827124,-0.013417024929356916,0.26357483315462665,-0.07726138563052458,0.31777577336618035,0.03915237770276171,-0.17964996887286444,0.19788626260846995,-0.012666892552747774,0.21975777802146848,-0.04790436989467201,-0.04439441155501465,0.01570440061554795,0.1509457505991201,-0.06523708787434376,0.040667341362695515,0.10200695270028902,-0.009054002843033765,0.07151562039636968,0.33366098872604666,-0.006220233138571257
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.027205812651775227,-0.11426319014855965,-0.4658668237943127,0.1118745338423789,0.18841164342558855,0.13743242862744132,0.4239813636517722,0.023836457444417095,0.14323153309363224,0.26408394947855063,-0.027541460943363707,-0.27740097869307395,0.050829128282208653,-0.3636530608826383,0.10163309161881721,0.09584604544201093,-0.00648424072964398,0.22378330106344546,0.10136700794534687,0.04536430486169825,-0.13213232956492363,0.3152647298271741,0.19189968479682926,-0.06345118687747495,0.2285541163148047,-0.0070192550431784064,0.34746570730157283,-0.11756533271089781,0.26181549639847485,0.007367072781186504,0.30247709812494955,-0.08375578069690828,0.15456049105297426,0.1772216284230146,0.3176801878032926,-0.08987196861903628,0.16037198094942243,-0.14508454266614262,0.5212318271385653,0.1256708409161922,0.3895281842528829,-0.13469238037267378,-0.15010066215126328,0.4651465542960302,-0.07544908199085786,-0.12312940026470179,-0.06875168738048168,-0.30950295002095285,0.07029658507678667,0.10209535810872503,-0.25424623346519837,0.26583413581111265,-0.12912986093240292,-0.024359402076795756,-0.12900231851662441,0.28402614923458097,0.06544258262251529,-0.1436299653009012,0.051487048767473946,0.08608910527084469,0.3298316356157345,-0.07873197768925728,0.2562529268806858,-0.19008442984123916,-0.03429733616683925,-0.288904782728304,-0.1338872217447307,0.18613141627173768,0.41959161350888935,0.1573680394578393,-0.17765430726220346,0.027465861095869706,0.4011725674227654,0.1598175003279704
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.014733285448168622,-0.2968950991928707,0.3842909443706819,0.3697481389799686,0.04552822572550525,0.282582223174835,0.00979555504615927,-0.0035875242300580645,0.11546845884707055,0.1388114647341582,0.005252060084924393,-0.10308013962244424,0.10672979063611977,0.007378645847499764,-0.014500088771973075,0.18709571262341143,0.23218233200279959,0.27231742594871305,-0.047794698689933544,-0.10491028575570518,0.19913494800095194,0.18779684090729884,0.1393139063418104,0.27207906213888805,0.14671183577228372,0.10937476228912085,0.01919461421553458,0.16974948381849062,-0.00456423499967497,0.35143561130811074,-0.014750650663567845,0.1384902063656919,0.1940428703677928,0.18524585653189146,0.04011591508748357,0.06158206342221277,0.14305994153949472,0.30639911828289007,0.29080021669630124,0.25070513102648684,0.22539193369006785,0.007927388808091759,0.20351095505411454,0.22282241603618938,0.21735465009228264,0.017307037193241705,0.25860033897659473,0.06397451370305789,0.0421700379106031,0.24111570365661888,0.2719519372632706,0.24167745513525196,0.2040814303585105,-0.14255074010811722,0.31103117575224354,0.14416486260372308,0.3232892718812805,0.14592171475230306,0.22676885901877677,0.24821425473498226,0.17782739386542248,0.13508396334787157,-0.032346695141966066,0.1911176638101814,-0.043461398718745055,0.2025524911231133,0.18602882346466038,0.33613617481188424,0.3301224591081219,-0.25951447591760096,0.1459870466961919,0.2760526185474146,0.3146722750911105
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.20767292835733378,-0.14218943368539314,0.031441235355865155,-0.1306987014111037,0.33190140936864504,0.07256062674080775,0.11335273337519017,0.07771999713103749,0.01762337806216534,-0.16778828069128146,0.07836073662493344,0.01606039863918975,-0.1264776091251228,-0.0471094529146336,-0.05707703095569282,0.14079030112213062,-0.1310903243112359,0.038981089731521215,0.05560603296219261,0.13077384722622667,0.3058132812303395,0.048663108106535,0.2277475739573587,-0.06984067896606234,0.009379450278790032,-0.07096558796760062,0.024515177886257053,0.04299999625965058,0.13966122931648442,-0.08757647641055721,0.1740688553252369,0.13372683408414046,0.16133078863674946,0.15712894730697385,-0.13654213095847165,-0.17483464615676786,0.20316831176665087,0.01452001496571966,0.3711962523039477,-0.1070422208680019,0.17379430833015647,0.058320791565490616,-0.22175993388934018,-0.16135656218653976,0.07061837772125876,-0.20197140270052402,0.011516407596217849,-0.16862325980508494,-0.1809193553419109,0.17056427620607462,-0.26490441020067845,-0.014908684896664734,0.08279675685810875,-0.07627180745682778,0.32610197870235924,-0.13764640743205683,0.1597104010849996,-0.017159676522685203,0.008948878095126168,-0.11952408755145037,0.04064386950546492,0.03614212699479209,0.07732078778404171,-0.12658205493298816,-0.008803369724302566,0.043001825130561375,0.0659411415933571,0.12288552914536566,-0.1796807669251928,0.06370712726423702,0.12245159957842179,0.06309835504908493
