# File generated on 2024-02-03 12:09:44
# Number of participants: 112
# Number of patients (bipolar): 56
# Number of controls: 56
# 1 datasets were included:
# - MuensterFOR2017
# P-value.
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.7728641266056464,0.8543779804656558,0.0715306869920124,0.4464109436060426,0.08320873693414657,0.5552782198365909,0.06497513754459673,0.9009148689695312,0.8652371893472406,0.11420327160876717,0.6376509831990602,0.14607049507586153,0.409449995871461,0.07859387641255434,0.19146622739419505,0.46642174734225683,0.08773273913764199,0.8131380217571235,0.5705845608679005,0.9216635890356553,0.8008564684140934,0.9110591581492136,0.24562123191472113,0.9486498690538656,0.041981480522411005,0.5036824221040477,0.4832742858331852,0.1556094831400677,0.25601364118571623,0.1483319293767294,0.43362941657566556,0.5150800520930938,0.9126107239075205,0.060449296880689216,0.9864843545603407,0.13465490280560072,0.6652509447222923,0.9586739638921274,0.27768782172468554,0.514573557407825,0.16036919929271556,0.024418979192252603,0.7471811850412472,0.18237998135160566,0.26960855623566676,0.044437152244087334,0.030551331301479953,0.04035864222718731,0.9540778127086569,0.1364502068367134,0.03758710527166227,0.5174854293133764,0.5216566451657394,0.8629914785744753,0.3445671496082996,0.347786940371979,0.025687144543264255,0.6549861903401486,0.00402113981118394,0.19722125465374055,0.2565197600282679,0.2035652777279243,0.43533521253571017,0.09249920536586284,0.3240089390816572,0.2786188900733769,0.5762435960306005,0.10125921049737269,0.854486945655156,0.25172649876609615,0.6961432367828165,0.8716551862919634,0.46142217088707216,0.1433200261513036,0.05917078920248355,0.05436215596771449,0.271050744353109,0.591579838374876,0.5963820441374524,0.05056322805998994,0.009852283427760525
Left-Caudate, nan,nan,0.008998404779712046,0.4421294208765747,0.7002029988429085,0.5692006805255387,0.44614772884505494,0.968339183736763,0.0033443226044398027,0.6782220304794786,0.761307778119538,0.44350952509641095,0.2828784936565002,0.5331364193966477,0.8043317068204612,0.6585069981770255,0.10323884747918957,0.2724551678462105,0.1826352321193043,0.6393398309339523,0.44352670355700885,0.31598622004091714,0.7444102126446266,0.3172243186679765,0.48021119862992867,0.12743236768684885,0.8301682488736466,0.9009759505620967,0.32826244031156904,0.19640092432222117,0.27362431710077534,0.9390527275831316,0.6123679193188076,0.6875143465271393,0.4254342572818711,0.5079058823356843,0.5155408604044276,0.4862063900198197,0.9334197278402034,0.20107221967824593,0.2621619065165728,0.14277745237231412,0.8062036128886676,0.9499094157154842,0.9999165119164357,0.03550639637558881,0.5843669215289363,0.5213112405285768,0.6645012194579001,0.44842043124497666,0.17147802980705412,0.9164944179526872,0.5346469698736557,0.8280072795344712,0.85750156865509,0.18116457767958827,0.8323755819901217,0.3449935979842469,0.4156304019754341,0.10338175155442555,0.45622997522736763,0.9015689487115792,0.6345446295232959,0.7658369732072353,0.29501232354259377,0.5138955881301285,0.685831983788528,0.6224751763986782,0.36937099771407034,0.9857794588813311,0.5667829768334699,0.6995821648618874,0.4785765132592158,0.254355331113108,0.08138169605487754,0.06986659349703414,0.9833858120379956,0.3558997294580645,0.4269221756655779,0.018952784754183643,0.5030024465228735,0.05761831813836863
Left-Putamen, nan,nan,nan,0.48150300315739114,0.620001906762993,0.22643189417472648,0.7720502589407174,0.7381755197795812,0.25903255136042724,0.06115935371734799,0.2927269777911029,0.8677722421174647,0.4941658942128512,0.32529280585256837,0.4993011550584683,0.3773098647792328,0.23898529344415204,0.8366187361660549,0.0377072023987699,0.9640213177803365,0.6853523124969652,0.4643780500408682,0.8990249255093503,0.7856568364646436,0.1688304856950278,0.14300796011860809,0.08230309353064945,0.5296741997340845,0.9726565534454712,0.9402683864148671,0.2946761886350364,0.10670918124688591,0.32478801548159164,0.8665119106447182,0.9799482890512476,0.2840162517902701,0.5482859713424376,0.8444971739710125,0.727077408261124,0.011063634633871288,0.2179994987671096,0.32010300855072327,0.7962984329134075,0.6963427075002184,0.6686714732516486,0.0783119449600405,0.5174362676228386,0.6034450684588186,0.3381803146337181,0.473277426472821,0.1976205230004878,0.9216429775402138,0.8738621350180082,0.988667666141839,0.4116161408160166,0.13004175670386195,0.7885301369680567,0.47433755354902674,0.20095776505602247,0.29402365776064976,0.19758596899525904,0.6048977019422646,0.4611988049671871,0.9142562246001567,0.8725345087176329,0.09270439552901946,0.16568650442476388,0.9454278823937317,0.8883454292083761,0.8325425683901836,0.5212556589807089,0.5648764151084356,0.9774779961501643,0.025560785762222395,0.1514340179061516,0.19880876113289928,0.8222067851239342,0.8238395663015576,0.1859533167937112,0.07467758489563511,0.31701441619538867,0.7150940865152864
Left-Pallidum, nan,nan,nan,nan,0.9313035176089609,0.14802193748597609,0.6603287082817844,0.04321090322249519,0.43213138703141807,0.15899385887812834,0.6984927917921557,0.735929959222286,0.6719742608609417,0.40963552550391225,0.3862738395998845,0.027229184514734127,0.03364018273840218,0.5162885967008799,0.97092639109822,0.46590341017538894,0.06412534021106278,0.8923496133738001,0.10006541112215461,0.44484742405142097,0.5714982527332608,0.9555988843663086,0.024868661889922844,0.055349889880636945,0.3634825929208756,0.041096853591515,0.4008841340183251,0.5722670724155421,0.34880080439425354,0.1854130976288984,0.11004182337792415,0.00680856562757248,0.0846963331878004,0.014298540238483674,0.3822820086350469,0.0035580362026141413,0.009060520062567553,0.3978542543057628,0.139614161009346,0.029571123817213024,0.348804707335441,0.40470889729388504,0.15552033096576837,0.29074304545095825,0.5349376509415693,0.003528225454806027,0.11906488170852836,0.4980512492936182,0.3532342978886942,0.6215442759431518,0.06148628662160338,0.3842083865086191,0.08887490135086096,0.7330566563732281,0.9121930455571797,0.38844791294759895,0.09902582972103394,0.3135361910459933,0.24453858873208872,0.20922758862395985,0.33166938990288397,0.5887359324473159,0.14356934431108206,0.3027545551813083,0.13499443682886536,0.024487979231872004,0.03872005599901845,0.015577381929028801,0.202018243148804,0.004423310253333568,0.006507038875555333,0.2913914495217328,0.09960163500046977,0.022536165769205703,0.08173956161619289,0.09135120614607713,0.34347545869578877,0.27033232075621005
Left-Hippocampus, nan,nan,nan,nan,nan,0.11477988200098253,0.8281873347607297,0.4380907646108273,0.9293227200120071,0.7124769240987656,0.09948295730014757,0.09314468199659871,0.18520363901123346,0.9872386753733431,0.36939761157154183,0.5703731058147039,0.3060107846886188,0.599248870542568,0.04239989502622176,0.10463764876742793,0.12740852269514355,0.03559742044344778,0.15210902144837649,0.4668258712526624,0.10976553199462451,0.24891889369429648,0.7494057607180487,0.004418913618562988,0.5073581006353218,0.8576374473649679,0.5750583183879032,0.6607777420112513,0.8479641471566559,0.7005833544596782,0.7737734397216737,0.01796096392690914,0.2698038159885964,0.09686820458279854,0.24864715907277002,0.2124168103410619,0.20557103992070633,0.8762614092476838,0.12087377439743505,0.8681295911406222,0.8786533374787804,0.07078215096913477,0.7543902378619465,0.9644146228191475,0.4816756428290918,0.7685642137175774,0.7702095023446677,0.8176612295095924,0.19500644861180036,0.040375376176345734,0.12741792242870278,0.05478166650604998,0.20972392952216729,0.09795701546026522,0.41108660156223253,0.16716757733654025,0.834791013034699,0.08442650786085704,0.4865912312976314,0.13026772602494896,0.7488166862999192,0.7310160389548281,0.4697981996855136,0.8113549594179562,0.8356109291121758,0.3108219567168409,0.5056531739488845,0.37100087611554666,0.15926961310318022,0.6311005312502058,0.24906110132201226,0.618500199531935,0.3790212117481293,0.8802516342843466,0.3801841318344331,0.1562905026836824,0.272599217404561,0.16632342579862028
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.7569489145958959,0.0319295969723053,0.6029048851682275,0.38533313818051895,0.21775076680875383,0.35961269947659913,0.2891022793277405,0.806810466296533,0.7514243043910787,0.4719920866269173,0.5674478714486053,0.2186089453471421,0.004257669076698861,0.6387859366219468,0.8177512539617905,0.0155283991577211,0.42942812905470384,0.5310002223904704,0.06343036233443469,0.37063197892793553,0.2026343165299742,0.0043023865866735934,0.3250006980083512,0.9354200295537981,0.9826413557505963,0.14767707000535232,0.40304059798140723,0.5818661196562052,0.9548730268428709,0.666308061759962,0.6669545523628517,0.5199633723293162,0.9814903540062729,0.8447429159663413,0.874226312939628,0.9263778212497957,0.2229308810857776,0.20556737351450158,0.7461410478634307,0.09996439855428349,0.35711241609216504,0.6629426079371938,0.892513108821464,0.4516697058093271,0.5068976853205589,0.20631611762547697,0.15564946493236614,0.6239266933272242,0.47118967375505283,0.07195202531412309,0.5583437788568855,0.8159393262152064,0.15294468189046667,0.15245583635890153,0.29680301696123274,0.03719205215292933,0.28929129923676056,0.5593501634871251,0.7524074842847612,0.1724253144875537,0.25061719097025487,0.6139969784865655,0.6555067691448839,0.4810093771269003,0.5704567226537065,0.7963408486229582,0.6809879420922751,0.6118703697087802,0.9646014177964264,0.548260631057768,0.39267529388478095,0.5057550262337388,0.6041693753089555,0.038227533415639295,0.3508723098513268,0.05200837007689446
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.535071058684565,0.474345321877811,0.8039090902453876,0.9768130682060969,0.7394306664976529,0.8483829267940683,0.8095077687876756,0.6948672459350352,0.15490636313596085,0.5972681291350579,0.5725826605670323,0.4109751690639033,0.9175519459184561,0.6064010896350691,0.38004784198903596,0.7257691233942627,0.5132103914406378,0.11522926549103484,0.5041387507264624,0.8876584542695637,0.3350107947181936,0.9912110247875033,0.9603425833301722,0.371592164394666,0.37761771659764787,0.4426842932280557,0.6152607992238126,0.5463119771395217,0.1475802979745291,0.6687328869007996,0.431557144205167,0.30594590967178087,0.8726595903666748,0.4166922439390498,0.8131558500862605,0.38616137535579353,0.7611224828327735,0.6397007330214011,0.6308657849403005,0.23667422540422772,0.6128816879510522,0.22851894901606623,0.7272257098690607,0.6777190792696519,0.4115390635593976,0.6692095335990856,0.3949289484144549,0.7566514097221542,0.3747293718513943,0.8883854950602437,0.3928771021885896,0.6868731529569312,0.8264701077211424,0.4843411348590958,0.2887381747159074,0.5874166097307991,0.8126616575135144,0.1648751616168121,0.6964758610468309,0.46753095471995676,0.10143155269696746,0.9971244511012756,0.9219444639153347,0.9958166743971164,0.7009941336528721,0.48765817661110866,0.7284230441787314,0.72860497565592,0.8857225579956807,0.37492945326540505,0.7840134161982079,0.8125219162490498,0.6862675126882041,0.46075597083821784,0.644135649746044
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.13358708269900751,0.5532968798142563,0.05084595849595968,0.7458760406227789,0.15364538886898874,0.4443135061204243,0.024160000457911644,0.5002413903768028,0.6405434083585628,0.2048865695080219,0.7803654335155957,0.9198024780493956,0.5250802099383398,0.7550419842375587,0.8435810111657597,0.3494382297312121,0.5138288956473489,0.07755044367580843,0.8790350881314634,0.24489620972276382,0.2589049052203441,0.2850410756774383,0.07807770176701599,0.598445178062391,0.33486813825807205,0.7502719135577115,0.08498993494643332,0.6111448374145005,0.15062974211253688,0.6766517745722387,0.6664265635935271,0.8994548312013968,0.8322512384932921,0.204441479486017,0.050513928240572395,0.8759379104062259,0.13244716049405958,0.19574957898785966,0.22093739664952244,0.23546078888562985,0.03614147405182772,0.9093217705947487,0.4097971845335683,0.04999238570275836,0.6657331495582904,0.7918584476165653,0.5457530131783992,0.3779542049349345,0.3821098542883886,0.02165560031427212,0.896343029885964,0.01678574788103945,0.8718656495380286,0.04753951031679732,0.13636966001696327,0.5857885218786465,0.27532802304416665,0.9627860580555402,0.3909954589811502,0.8900445540845134,0.10932832738711971,0.969839176185777,0.34189095328934505,0.986979762984914,0.7662227352840117,0.649284211265927,0.3680547432869663,0.10901280580782612,0.039900989956982345,0.2920092124354693,0.7985832780138592,0.5476470583460145,0.08734851735309347,0.09834277944586689
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.13042764231087167,0.13156319682879275,0.30080950074037494,0.7553342315612693,0.9503683884497931,0.9591263350325694,0.4934155095265377,0.85922081473921,0.8032646495361432,0.38396352672313716,0.9386344288167159,0.42407101389652757,0.9879838743482674,0.5416934091778307,0.905403961832937,0.4981702550809446,0.5375179664278888,0.8885101271101101,0.29204800701467354,0.14997764931901175,0.2994594092483651,0.5191110736322393,0.8742710470391275,0.3792930807025674,0.7552914378531643,0.3224297113935124,0.6750522699604484,0.3779956131583925,0.33727830048688245,0.7454047990980778,0.7906531526454519,0.6462458485902934,0.17061651576765996,0.7280528918264177,0.8150533382178161,0.5723156926258475,0.014577052553323063,0.5996370682330195,0.3848688458883336,0.5407917704141232,0.4558660923126099,0.9282026223174891,0.7593904144170216,0.313609763472857,0.43971339400689535,0.8950197049555741,0.0037723462949522213,0.7981777408445222,0.4169540837915372,0.982617898348473,0.19710887929318152,0.45703879729496144,0.08145071578408561,0.1784222702813756,0.09063534913702698,0.7577990153334637,0.16323238095949646,0.4909022348801215,0.9760401359695738,0.12509728331221476,0.7429053938163893,0.6654854061060298,0.5060137913602567,0.83729032407261,0.9152326323999438,0.957364810783377,0.11392025534637487,0.1622566290812709,0.03663271569394236,0.9648558347611558,0.21278278203905504,0.24698459591838196,0.2433300160647134
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.31864551307262184,0.7617950064793578,0.5427238349389074,0.747852303824228,0.25597312935827593,0.7744737050504,0.9072970701114056,0.6336624086732559,0.17786806281465642,0.6070590463787101,0.5043399742069973,0.09179285359681359,0.9343741085155517,0.38484132390301395,0.7559315700993151,0.15922205949988716,0.40471112655086616,0.5895379482929453,0.9818066064350363,0.9176609392884997,0.5004348477951243,0.8068279786054646,0.8149955827243437,0.5757465040675096,0.8766478126711881,0.5574874926406688,0.5270766795343398,0.7060313220853771,0.9818324764417337,0.08049753710611594,0.613505422294375,0.2855267320051204,0.33089331772829966,0.6355589795434874,0.8554031083438112,0.19660015062206915,0.8755197203539721,0.7107506543335476,0.2607644194366248,0.09227847643441997,0.3120092041538737,0.9870221795551348,0.6769145478884421,0.8545907594304709,0.5545587163496408,0.4094769204702857,0.651456022092558,0.4629718407823481,0.3810006837353571,0.24234241943414825,0.14318436110093724,0.8602974768272665,0.3034809698051189,0.499371781620393,0.5109462565549736,0.2384183757865751,0.4684780557778424,0.6002226253819081,0.9660078702880004,0.5704034998287626,0.4502955016983903,0.6829499741960368,0.970987473780758,0.04025069165835812,0.09057352221099489,0.25194562919547914,0.9857102630730349,0.5840595026905064,0.7264854767423423,0.03752049983786222,0.44714550027214206,0.8412979372084954
