# File generated on 2024-02-06 23:08:31
# Number of participants: 76
# Number of patients (bipolar): 38
# Number of controls: 38
# 1 datasets were included:
# - PSY_ROPHOFF_BP
# P-value.
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.477623311862022,0.8364272851619299,0.06704340879938779,0.29900574861197154,0.49144468421907106,0.822759518005223,0.830282203616441,0.8377059429738725,0.6758236608157685,0.4176122034510289,0.05220308599936394,0.21878510807644347,0.30188274935909504,0.7887839081854211,0.2788298406903295,0.3443317496218118,0.25234786711636964,0.06488072874068297,0.5809236136364981,0.6820780819946527,0.8281264237635793,0.6715232757640758,0.42008071576852823,0.5607081347283764,0.8210678909047545,0.9141914319486737,0.49334428442115286,0.16322629930406413,0.8391800977841894,0.6488234575987029,0.9318775768230361,0.8859001440358794,0.8251043638920876,0.26695252379937334,0.0987721428630604,0.43122686719396963,0.9030735566296553,0.8410099350706599,0.6724326639522089,0.20337477344411972,0.5841395923673419,0.6747507948784971,0.6576612069179403,0.34084554597445726,0.585576325581679,0.6219205543636357,0.6120710267879258,0.5934150839601715,0.4432904324320037,0.1692753298234911,0.8245878043374332,0.7136251058253205,0.33441536715341813,0.03835596717037403,0.01737474342496409,0.6116957936483356,0.33041542201748475,0.6264848337600453,0.5009321752626803,0.14164313532301626,0.21655602341688235,0.09950072705325635,0.2290004959257218,0.9502624842273534,0.4995602174981393,0.2487424890234528,0.3841955791562408,0.1508263258540106,0.4272848932099472,0.11897384368272454,0.7722969247084301,0.24506713569290584,0.989572355684895,0.813969652389494,0.974220177429171,0.0831678452297688,0.9857788674830195,0.7873450549494604,0.2141486314587233,0.031982424284021704,0.9337587596608949
Left-Caudate, nan,nan,0.4150956436647657,0.4905321600374529,0.3510944431244948,0.665020126665044,0.9026546851551185,0.5316428909982563,0.30873792801695543,0.09677402433666463,0.2418833781790408,0.8609867371011318,0.11153149831791724,0.7314677751783893,0.2405142462849029,0.0050376545603673245,0.6736733079082605,0.538237906231017,0.5510096313135427,0.2254880514160279,0.005361598487023363,0.1763958839500362,0.2802376324111046,0.05319251927217485,0.2155505320651132,0.30644544975314525,0.4394421837216348,0.4643206984922429,0.3556754202941914,0.4299141168736521,0.5167262469403854,0.9458875614237336,0.601069561195068,0.8140750810683879,0.0195749399983875,0.12049364850406018,0.1509409487961163,0.23964691741976127,0.23093150987066643,0.5451179471693721,0.012915519609129273,0.6403818996214887,0.6609711615218894,0.05347710475714557,0.1172714274860197,0.16994227870778675,0.7095588982845675,0.9941498165587355,0.04839773488254415,0.11991222871257573,0.2619566643955021,0.4527799987941644,0.810947957836249,0.17861472111001506,0.18799096195207282,0.5319236161653341,0.18471334608719353,0.12506949136342901,0.8489074026581868,0.013617027980380983,0.32976364638602673,0.7670532678181957,0.0672426988462684,0.2832676112741717,0.8928859106265666,0.7766209305114513,0.7053650928573358,0.1669413166671043,0.3657542019674648,0.11823431884975161,0.6695934018954464,0.02453796189332032,0.9915842375131012,0.365059277543343,0.6299662191831406,0.04407208942732738,0.2265372627427358,0.04238583100913704,0.4944845650076751,0.2255246077963371,0.7845357389009289,0.12574444969570897
Left-Putamen, nan,nan,nan,0.5065690840586909,0.27060088443672803,0.4910677338640159,0.6785377764101613,0.26237703960553904,0.6365813786481704,0.5525886977025805,0.9851021083315057,0.7315865449414988,0.9785302871848909,0.19070970285499084,0.0885337752932132,0.3382010358154913,0.7053729996024662,0.6361366385150156,0.14450631853714022,0.4003815845533222,0.35313758043959265,0.17767857296426126,0.1693855461994946,0.32068931084475083,0.47230615240309126,0.5782730044724176,0.8442867126710368,0.17053196324008513,0.6581502783430877,0.9172238524799006,0.20178863672302458,0.2727592198180148,0.8735816981940809,0.9847484526944239,0.994256212781107,0.6136097072348565,0.6505824441184107,0.9783312920579518,0.4966327090428104,0.6287649082130708,0.9101361078332274,0.8470809517266535,0.15993543607156277,0.6108212608162399,0.12748421574288926,0.34554633010024305,0.7834403980902298,0.7116382628215934,0.7938289299367389,0.6925030749416687,0.40581597954568804,0.6979088501550355,0.8011708442011269,0.7410676906326421,0.43850612267772915,0.02563728770207571,0.2084152669469346,0.28769225973822155,0.6193488457650295,0.9944034082538316,0.13179616309743072,0.6197762874922632,0.1851669535458071,0.4051611214992249,0.5675691719893106,0.5223404500930795,0.7744380894220795,0.7695274316458663,0.5501163081542613,0.8569870630908236,0.16097013055091913,0.5274777157529689,0.2473820583030494,0.7702451069934337,0.5446341365059354,0.6572970270194975,0.507222733137537,0.6641163771306619,0.5504707095101851,0.6976239125802512,0.911162280515217,0.6590934579966676
Left-Pallidum, nan,nan,nan,nan,0.9509352450127758,0.7690514018492491,0.6004354257821004,0.8122118185254898,0.4908961327783996,0.8977775265100635,0.73397902180472,0.5477888222358118,0.7492401591157773,0.8541864566821178,0.5845584321865165,0.671343502405241,0.3740642571834448,0.7351587023100004,0.9181156224957658,0.6989429048413466,0.9435180756890893,0.24411115583964604,0.28934900235488525,0.15088486397766557,0.37619456660425565,0.6627168149042229,0.7636921515058971,0.8267228376561903,0.626292671530041,0.905004076935546,0.648571533181442,0.848942410457683,0.8408078755504604,0.4712412199153917,0.44594381984807685,0.525515321134131,0.9320166318290206,0.42114194440159536,0.42516913073446194,0.4654025942242628,0.5125138802032874,0.2798827028061482,0.9814193772355675,0.8504276741164405,0.8216098690109894,0.3167848474631931,0.8206067894423045,0.84071973294363,0.17706512057617496,0.4304529854586401,0.6408790172022282,0.46501154201115213,0.34550826202196405,0.9124928252716538,0.661756546585026,0.9626670516124616,0.5397261082718261,0.09167804206647165,0.5078686843363374,0.07117148132458541,0.5320636816170421,0.7918951885875387,0.047493157055051784,0.6329667056477519,0.16057798776237842,0.4813503816671755,0.21156266821952488,0.7753817227796191,0.9127395955122863,0.8928436091240061,0.4300225981767114,0.8048686781854286,0.8479193075964416,0.22178343797206615,0.9627922879237809,0.2050963473546548,0.33829467541947256,0.9050164954677445,0.6114944258132425,0.3093623059215814,0.2181083119229921,0.8903977395021911
Left-Hippocampus, nan,nan,nan,nan,nan,0.26593719513794345,0.3674326501215244,0.6172245728161534,0.6323310731613868,0.1387769841931579,0.6395179163196592,0.3001827824574317,0.4969398823276554,0.6007632079688048,0.21125484377671738,0.024626900062977023,0.285881053166606,0.8304517286802935,0.2576707138802409,0.2141352321435258,0.18184254987247409,0.7004870598192781,0.3300526643851691,0.43482596240801663,0.5844678984531875,0.988847030958161,0.41608125725747946,0.3107540386705787,0.9838130747321088,0.9235362606792291,0.5103751869704746,0.748079671528819,0.22197664936269101,0.9508865282323278,0.35913650141061537,0.025305903531931507,0.8550177743946724,0.7973677040911129,0.5103243449507685,0.4861850622061128,0.4889417885327433,0.4958452815004021,0.3049948334446325,0.40526036714506775,0.5471124925991815,0.48100757309979914,0.7328650168847348,0.7790834129417415,0.6612232815787725,0.042365234656185045,0.8634851330122634,0.4704645164603546,0.5263397398978754,0.32603820600625444,0.7913115547727989,0.6630613959424401,0.6478234487640975,0.746017941318599,0.3199500180375111,0.95174645360135,0.43900808204008235,0.3853745118619657,0.08300468150151737,0.6218439591457905,0.4095876393231609,0.2325449952348663,0.10062314977085238,0.5016610018146468,0.4681740403257324,0.4694695227584612,0.24425209328582173,0.8084746716508083,0.5411889613871588,0.50178360401041,0.19085582225124031,0.6782267363053449,0.26749237488413474,0.31825826528984913,0.8770244423655191,0.5182996888721575,0.22660074460120502,0.40873402684688187
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.795903413885996,0.490767095957371,0.775600391992697,0.39669700600433455,0.42602916370072696,0.13396337577834505,0.8639261576792783,0.5996837901347369,0.7174223242243305,0.5307064853706918,0.05255612762385191,0.2198702221251523,0.5643468599446027,0.8682784972854569,0.08392944302552555,0.434808946088176,0.7118680550237386,0.7906083541889999,0.9602331887311563,0.21314166224953993,0.5123437626493161,0.8738559320420088,0.24990836947258147,0.7725460262444597,0.15791630227814274,0.3087263723614571,0.13530827122639857,0.7026270034570683,0.6658624258412593,0.9153537599545761,0.7668975999099028,0.6428196396552324,0.6598814184000145,0.035609556115985076,0.13317421873537474,0.8196807537273505,0.6088190433176213,0.9097361014527532,0.3139310529575372,0.39399104542724706,0.31185171850238674,0.5139510549760147,0.7539069886697751,0.5028926346639713,0.10914342212292953,0.44955742720993364,0.14407455488404106,0.24567769053144378,0.017198078108284266,0.14556945536289212,0.6525102963409171,0.407977018244307,0.43512902915016427,0.8027667798694724,0.3075509093085766,0.7705579412849349,0.3013096438944814,0.6176306575328858,0.4802753798788929,0.8781619718287358,0.9572663716334724,0.3878195677219245,0.962622748948609,0.6193834835083593,0.6941866050347323,0.046285980274193846,0.6611267341242644,0.12111676965116813,0.28487685120689227,0.27555618602595416,0.872880462507802,0.12427815034056856,0.03558750643597525,0.16884011486337147,0.5503875158376502,0.24154469522687094
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.09860218300642593,0.6548189523254949,0.4283168778259454,0.48835329664508853,0.40501825687460535,0.3134417698930239,0.4597233390129325,0.4274678270843718,0.020861809890590978,0.6247883514616501,0.6982863595489559,0.3076035052087543,0.5182139812248951,0.24749956836598885,0.11616364273693039,0.9656808126726564,0.6898087744344514,0.2865725133123889,0.9441661253228391,0.15686988204611865,0.12544315160224143,0.933832335388452,0.7346899948849541,0.22461413125078794,0.9132623915194217,0.75957529949275,0.8616809746029046,0.6347481406376994,0.3238969735527041,0.8007183948651426,0.33190272145533095,0.16169112543940728,0.2699760734461794,0.06012276887733983,0.8104725395618336,0.8429256570957964,0.8191465735708807,0.7425629178244009,0.17199470516511808,0.5839738225859672,0.8230248228770517,0.5838224259489195,0.10221760902394944,0.17673213668966317,0.6286096512097531,0.21589919953897446,0.7883431304793329,0.03666806949046438,0.885304052917451,0.6555177868641888,0.5460846486613375,0.5802848201409843,0.3961850844244562,0.9542119037904186,0.47614140376303193,0.15017355330597473,0.4340499191723691,0.36518462599823476,0.8036400225223106,0.29849314448943265,0.35806050495640096,0.5111431798267076,0.9300366233580037,0.40723105646172264,0.2782803756607514,0.9832276582321438,0.026829840310692007,0.3187555753336535,0.3526912896228991,0.6924620115647464,0.8786211677286824,0.8881044021178456,0.45039736745678394,0.39963946250355176,0.32240783999069433
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.40214306883516027,0.5077075344995372,0.43340953598993825,0.14607121047349925,0.7094513873461,0.7232125250953461,0.9725468066238235,0.10368731847471246,0.9856042980603821,0.050832531101133095,0.1941192706340599,0.6239930263387721,0.631778792467004,0.7472376974841847,0.6372557643821664,0.1776724096712893,0.6976490337373662,0.8167084493268004,0.2616814954733789,0.22538545724540815,0.8540302956238781,0.16181623094247158,0.6916943076449656,0.8126369056001976,0.6991134850525911,0.8732219686675352,0.017108338701593423,0.7697048707496121,0.1038708928953269,0.6294584509186467,0.8041179762229426,0.677908605302271,0.3645984424492771,0.4162491438569931,0.7006699805541869,0.4193916322946398,0.3871229029908303,0.9878502960756009,0.09852589969736443,0.8567579798805528,0.23610950217259785,0.46782378276486547,0.9219621624318182,0.12630263075326187,0.7688227612686606,0.08042988715793954,0.20125803257326774,0.471037363269339,0.09319978370464291,0.37813205230276725,0.6809538584601889,0.2828498989969984,0.7776528497600013,0.6256462933589306,0.22949382497390206,0.11373510889643375,0.6689339984309393,0.7417082121459544,0.40521409189025603,0.24060931472773722,0.0019536578800272673,0.4183871525320766,0.015063913748253296,0.6088624582894824,0.8152680214308324,0.5193395671402019,0.5237613393984142,0.9182910381682764,0.07708152486944501,0.7212419621780675,0.37435232599002577,0.4885487047100283,0.03705436946082106,0.039939195120089935
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.33687168184178196,0.25328011800591654,0.31796120543496487,0.23040645133496604,0.11432160901637965,0.42033178173301633,0.612478082421862,0.8826267527296839,0.3217119375975933,0.6796219039491049,0.8447268997463294,0.9434575251340755,0.8469961073373021,0.7495858544116831,0.8050250688195404,0.77048376742002,0.5569829096385135,0.4377214781046487,0.2361198944473108,0.8882588379904378,0.6203859494266932,0.9212495030792577,0.630287381548676,0.6644028474593886,0.2650690842541851,0.9914021429043411,0.3455710633105752,0.9953759285889361,0.6555669282620775,0.27946302736349155,0.941732517613358,0.20606297071558302,0.45081322812875135,0.4993388128517665,0.36208126397014306,0.5572396427615813,0.11467328635517246,0.5479846059333353,0.9922517522196037,0.9787173156850912,0.8238099949396359,0.1590391391825593,0.8022600813132365,0.7329205150382865,0.29626000912541134,0.14613681559667427,0.6001348537664513,0.4764561614423193,0.739152109122186,0.570947252691665,0.755919592139576,0.1391403872748395,0.9820679051106793,0.8260988306235131,0.6199183247564264,0.9954743167807365,0.34114842550644797,0.3044970518464672,0.19577470005368852,0.33388208931105945,0.7960615679135208,0.6301904577663417,0.7339470497998979,0.3099909979731734,0.661989201609894,0.5326672079910733,0.6402813758974275,0.5490109888067721,0.532904410256781,0.125018803980254,0.4609476568478321,0.7700249341438254,0.36691769206556357
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.21527740839068119,0.6831792490058066,0.2332366148963005,0.6936015354320582,0.8144834540774767,0.08542029470138147,0.15984809007648262,0.3346494987189499,0.10226374655178759,0.7064266395314521,0.043074813202621444,0.38301043971647164,0.33235401216978766,0.7309183566109448,0.6045855715511179,0.7150723080677484,0.6014234333232615,0.2719026542450127,0.9414748453182045,0.2616450177897681,0.0601197369071173,0.7969013420316597,0.8608457325583163,0.9647226768532223,0.2752580504703244,0.662716390165736,0.0988765647149298,0.18645655972105032,0.29596637529610154,0.9125716748775219,0.12863460724981052,0.052514077238494085,0.37338506982567266,0.6775296285748139,0.7631241333865284,0.491018043348179,0.4153648574189258,0.8777156983109963,0.7331469727610602,0.4366462023113834,0.4516568965400908,0.23206325342176828,0.3755622419107385,0.03319533279386654,0.9333477261578426,0.26972621568305655,0.7824690033894377,0.9696117883768618,0.3959177254474592,0.42555754451146444,0.16494337930830955,0.49679114911106914,0.4093720866588395,0.6130900847585088,0.6916495635937392,0.5915215606118364,0.6215171375326951,0.5573264789275632,0.09105957778157349,0.6708135813368481,0.06971879944678816,0.0496736049491484,0.5965727040138762,0.6238560454023097,0.9273135559910644,0.04716570590667982,0.6369243492378265,0.5182231048580899,0.5194821143554489,0.7881203885038791,0.5656986004766971,0.07798344686144101
