# File generated on 2024-02-04 11:33:02
# Number of participants: 78
# Number of patients (bipolar): 39
# Number of controls: 39
# 1 datasets were included:
# - SRPBS1600
# Effect size cohen d (regression coefficient normalized by the pooled SD).
region,volume,surface area,thickness
Left-Thalamus-Proper, nan,nan,nan
Left-Caudate, 0.20966492920984736,nan,nan
Left-Putamen, 0.10659795982144504,nan,nan
Left-Pallidum, -0.18411501983858988,nan,nan
Left-Hippocampus, -0.19932615069945345,nan,nan
Left-Amygdala, -0.3091288141146387,nan,nan
Left-Accumbens-area, -0.5184537777756049,nan,nan
Right-Thalamus-Proper, nan,nan,nan
Right-Caudate, 0.11707750913814385,nan,nan
Right-Putamen, 0.05042881990877292,nan,nan
Right-Pallidum, -0.008898797121925688,nan,nan
Right-Hippocampus, -0.2039069457356319,nan,nan
Right-Amygdala, -0.11736261400208117,nan,nan
Right-Accumbens-area, -0.6884848770177404,nan,nan
ctx-lh-bankssts, -0.19328733004729776,-0.04441450593370967,-0.12392832533666379
ctx-lh-caudalanteriorcingulate, -0.10572948094925552,-0.10994149727664639,-0.04488563675905502
ctx-lh-caudalmiddlefrontal, -0.06256809113903275,0.06283740125810089,-0.48585344053171275
ctx-lh-cuneus, -0.26060841890078373,-0.05076900766433783,-0.3642551960779325
ctx-lh-entorhinal, -0.17519845286889849,0.16864094097166393,-0.4541108906320187
ctx-lh-fusiform, -0.006423748390561593,0.08496480471790493,-0.4245155405220338
ctx-lh-inferiorparietal, -0.4772723361944771,-0.24472191798569157,-0.5783731254331415
ctx-lh-inferiortemporal, -0.20803131520254353,-0.07748073232893234,-0.3521496081692113
ctx-lh-isthmuscingulate, -0.31038674171751923,-0.24320766385445325,0.06356081109326522
ctx-lh-lateraloccipital, -0.26264325011171513,-0.06383356464855959,-0.29652687875796135
ctx-lh-lateralorbitofrontal, -0.5151502135211405,-0.37183207434178894,-0.4432132912658446
ctx-lh-lingual, -0.36680464050047373,-0.1637430260785811,-0.39050135459184204
ctx-lh-medialorbitofrontal, -0.2086285410368415,-0.22065543186626327,-0.005518336331222382
ctx-lh-middletemporal, -0.27481640552708586,-0.08387825977859606,-0.3459522922046208
ctx-lh-parahippocampal, -0.03139940568847994,-0.058052852710452935,0.0347518022982769
ctx-lh-paracentral, -0.12893626731160424,-0.046556929561070576,-0.2794699832711865
ctx-lh-parsopercularis, -0.16893598648747052,0.034646985699885766,-0.5659912129839542
ctx-lh-parsorbitalis, -0.5699543426241921,-0.1439943747367411,-0.7910721582108956
ctx-lh-parstriangularis, -0.08243079678214926,-0.01187670075030569,-0.2190204272904807
ctx-lh-pericalcarine, -0.18622634372579283,-0.041476131244266266,-0.4079453669330737
ctx-lh-postcentral, -0.21738569478128517,-0.1645496864940006,-0.08468299042056138
ctx-lh-posteriorcingulate, -0.2945004698968795,-0.15774312030461496,-0.3870749293083601
ctx-lh-precentral, -0.49429321598516884,-0.10853192487405765,-0.6425258464370911
ctx-lh-precuneus, -0.29335133200456165,0.04036104933388945,-0.5010962955633125
ctx-lh-rostralanteriorcingulate, -0.29301853832533736,-0.2467257249154785,-0.18190367885325667
ctx-lh-rostralmiddlefrontal, -0.4652383923052176,-0.20198575792003093,-0.48870474836007416
ctx-lh-superiorfrontal, -0.4942118668688535,-0.2793321694509494,-0.5277530259908003
ctx-lh-superiorparietal, -0.2631102189902276,-0.2049149709096668,-0.32289018515877843
ctx-lh-superiortemporal, -0.35101592543287746,-0.1481280216534317,-0.44888416337163095
ctx-lh-supramarginal, -0.29846990157540687,-0.11014862357226689,-0.5596268658142255
ctx-lh-frontalpole, -0.4100510347401928,0.02904631197611416,-0.3971931362013761
ctx-lh-temporalpole, 0.30589266507405677,0.09725940146609699,0.20118350595900197
ctx-lh-transversetemporal, 0.002939995561652963,0.17093801947151308,-0.3232420481158657
ctx-lh-insula, -0.33073395955604695,-0.2370664380164986,-0.14665940202690586
ctx-rh-bankssts, -0.002234319939929057,0.07970640169831025,-0.20337110290609065
ctx-rh-caudalanteriorcingulate, -0.06535996652003802,-0.12505599008826954,0.18523043945154255
ctx-rh-caudalmiddlefrontal, -0.18352065415945912,-0.10620994723222847,-0.36373687133180155
ctx-rh-cuneus, -0.20498019753965724,-0.14341826397786486,-0.10977117504100253
ctx-rh-entorhinal, -0.0031595928055172247,0.07482385943241755,-0.19705878259063683
ctx-rh-fusiform, -0.201293373863721,-0.2031052530782246,-0.20540898062811117
ctx-rh-inferiorparietal, -0.3831285207398269,-0.13503994147546194,-0.7210680726279428
ctx-rh-inferiortemporal, -0.25152483199486997,-0.04763175768346978,-0.4932927863003812
