# File generated on 2024-02-04 08:54:30
# Number of participants: 90
# Number of patients (bipolar): 45
# Number of controls: 45
# 1 datasets were included:
# - B-SNIP
# Effect size betas (regression coefficient of the linear model including: dx, age, sex, intercept).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.014387023161468449,0.0177977045882877,0.00821314430438214,-0.019660719751001414,0.007450044937591202,0.022268093727472092,-0.024666104323646087,-0.01990314098214377,0.0101806745509669,0.03916607613324764,0.01581860698140229,nan,nan,nan,0.012670888892631542,-0.033767394737104994,0.056335008094173564,0.059657274107540965,0.0014108319481139111,-0.006685878955602571,-0.036589829146299414,0.040999783467525884,-0.020502030715872893,-0.00012194513426586421,0.016734613497735768,0.0020743694685820906,nan,-0.005947044223212309,0.019975448814426283,-0.004080454504261481,0.003021776821604068,0.009072634050612271,0.002000414900090309,0.01126525070844424,-0.009206466021531228,0.012718777103342722,0.010995723586147532,0.00010519258282719089,0.0003146658501023621,0.0012276042199633646,0.0006458697557247188,-0.03763037156974214,nan,0.021094974940461482,-0.04362263006103303,nan,-0.008440251187448544,nan,nan,nan,0.018126475883201786,nan,nan,nan,nan,0.0414988679727895,nan,nan,0.022934951417408683,-0.04114266171869894,nan,nan,0.00012080738868475684,-0.013816427448631678,nan,0.05859106315342467,0.07291260683465894,0.008958390282490512,0.030085728262383694,-0.014669849530709841,0.0013365020551800897,nan,-0.030884154373744675,-0.01232348813993967,-0.01255982939661776,nan,nan,nan,nan,nan,nan
Left-Caudate, nan,nan,0.02193945094340035,0.014929511341108283,-0.0012485163905618152,0.017026715576831705,0.023932989946679726,-0.002570901039838188,-0.03754150143783359,-0.018978972956682855,0.009204676485449417,nan,nan,-0.08283944010067876,nan,-0.049957359915806694,0.011873091666809648,nan,nan,-0.00046817113550447225,-0.005450378413857865,nan,nan,0.016564945445931012,0.000587807810861131,0.021349279190989612,-0.011619520497222946,nan,0.001911444819157897,0.004466482520355147,0.05068141394934557,0.014911747360717634,0.011767398056577628,0.027552250895615627,0.001321987691973789,-0.01602744157920245,-0.008870795802888543,0.0001392811606873643,-0.007879681010968953,0.0015169786534590403,-0.013878412812802481,-0.0067449458844152784,nan,nan,-0.0062728922577837045,nan,nan,-0.016577260793278304,nan,-0.07276796445425379,nan,nan,nan,nan,nan,nan,nan,nan,-0.024298945239509633,nan,-0.039162311376206106,nan,nan,nan,-0.07106602724595222,nan,-0.021208125574107527,nan,nan,nan,-0.02589398782952812,nan,-0.14545305351244786,-0.011882702409822142,-0.018905605365137263,-0.02027259433607363,nan,nan,0.002408177359999143,nan,nan,nan
Left-Putamen, nan,nan,nan,0.022199342609759132,-0.0011070570823418372,0.015896396098661336,0.004037336032975982,-0.012853121638741026,-0.04452732374284538,-0.04146800734546619,-0.003324381125020192,0.009688906683235299,nan,nan,0.005140911740354009,-0.06048408246030217,-0.0021789608473594822,0.011284256657446846,0.013318727893332584,-0.007504440999814607,-0.006410944637610064,-0.0007654939914019052,-0.007621312699117186,-0.007923120162165868,-0.0005047351763033065,0.005962352434260234,0.0014204447375718598,-0.011152017217495348,0.06600185503541793,0.01727430208234366,-0.0046365391225934634,0.00314228143706316,0.0019901971323162564,0.018053974868614875,0.006271511400308284,0.02361509572462318,0.00912682239819494,-0.0164616435379417,-0.030041694221576334,0.011762588598605265,0.008447876505812303,-0.002171170534290072,0.016949200512510063,0.0032033650956066902,0.01182701629126559,0.022133529806102215,0.019692655886690322,0.019582087982065004,nan,nan,nan,0.04303331471953932,nan,nan,nan,nan,-0.003842740060443637,nan,nan,nan,0.045926688565145445,nan,nan,-0.018160122159100206,-0.02864656138582847,nan,nan,nan,nan,0.0044681227202002256,0.011907013686104428,-0.024896689547415935,nan,-0.021474334902581403,-0.0002714985408777926,0.024933926025246637,nan,nan,nan,nan,nan,-0.01708970308410606
Left-Pallidum, nan,nan,nan,nan,0.010962168842107161,0.0039296949301783545,0.008417404847689857,0.010340341200513994,-0.017036104528751855,-0.0023589887605447286,0.010475479692705687,nan,-0.01663802387887368,nan,-0.02087206855658629,nan,-0.03226390040665256,0.038579459478573726,nan,-0.004547233655523247,-0.012245666331408321,-0.002067654647724592,0.010550664836184796,0.014464553549575914,-0.0007504579621933671,0.024610116770751877,-0.01025235737605812,-0.03242689847693385,0.052281711363849154,0.026797723327429364,-0.030037050316140297,-0.01063317110105866,0.002331536029606107,0.007450613994887295,0.0008276907964999485,0.04266465465911983,0.009996751899756774,-0.014618006999023556,-0.004952949893503685,-0.002096057052899446,0.015435131382046635,-0.010564223969386461,0.030249991298464732,-0.016582368235993083,0.003430422048179683,0.01347487484710466,0.03473455120092685,0.02237180221193071,nan,nan,nan,nan,nan,nan,nan,nan,0.053190817720514476,nan,nan,nan,nan,nan,nan,0.018835277009070065,nan,nan,nan,nan,nan,0.06928765586981152,-0.0029081785902142555,-0.017742348201296446,nan,nan,-0.0039959799749749135,0.016902123345064333,nan,nan,nan,nan,nan,nan
Left-Hippocampus, nan,nan,nan,nan,nan,-0.001644440730402245,-0.011000270823993429,0.0013936332569367167,nan,nan,nan,-0.009180145596491524,nan,nan,nan,nan,0.03849350394329107,0.002359736975413536,-0.025226379587052827,-0.015647110139381575,-0.007920920206048525,0.0014115349905415506,0.026749106144245027,0.0057642779669178105,0.014357092870334702,0.005971566400700032,0.014020982335327637,-0.036351742069245956,-0.013178863697892304,nan,nan,nan,nan,-0.0225587160240598,0.033434080483005134,nan,0.03504445218542078,0.007474547232073834,nan,0.030299938875556667,0.05380689786554801,0.0037581658102704375,-0.009752608654300825,nan,nan,0.007442621516475186,-0.029279138871696753,0.0042736607601178405,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.07140784096046622,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.059537383636262244,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.008063795176285861,0.0016378351274451376,-0.019217317731536693,-0.007222410829552658,0.016131158521968655,nan,-0.0069620295322037696,0.11144176156340241,0.04644482991191302,0.051117776836691456,-0.008680467840862552,-0.020924131540744725,nan,nan,nan,nan,0.01464063918867097,0.016269927086913237,nan,0.05846921788317944,0.009888316508037122,nan,nan,nan,0.0024089137391455667,0.003941189744153758,nan,nan,0.005675636705942581,nan,-0.005717380505264863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,nan,-0.061693364602506816,nan,-0.01512905905908228,nan,nan,-0.0764805760641673,nan,-0.047594177500309975,nan,nan,nan,nan,nan,nan,nan,nan,-0.006985169970632085,nan,-0.010696615324052177,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0012851879123870196,0.04350463790167699,-0.023648138045233285,nan,0.025671348455885663,nan,0.015329928331182935,0.034532211330461596,nan,0.021321280590963304,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.07287394981083317,nan,-0.02684097380851427,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.08632327892537132,nan,nan,nan,nan,nan,nan,nan,nan,nan
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.001221183009184645,0.007587632780759818,0.0011356251785242073,-0.002581243297221211,0.01724092409846272,0.009101303585694076,nan,nan,nan,-0.01512410309037196,nan,nan,nan,nan,0.012296618877740422,nan,nan,nan,-0.058116735720821384,nan,nan,-0.006564141687256537,nan,nan,nan,-0.010550415028314544,nan,-0.020799113519618006,0.0005428068914755302,-0.01582785006945483,nan,0.0012909204008399173,-0.001836924446218276,-0.022761322121896046,nan,nan,nan,nan,nan,-0.008590288001322414,nan,-0.00042357606816830515,-0.014644587534604856,-0.031262802302387496,0.026905554003330702,-0.0071780780648579715,-0.022530521327558204,-0.023371891512759577,0.048551262742007474,0.023722553145860335,0.005878397535573608,0.0008193874336151014,-0.01695761223684586,-0.07404554642564332,0.005996140074019404,0.012042349801650705,0.039791221532327656,-0.005030986173332928,0.006501641221356946,-0.03155122171584972,0.013977274942726317,0.0030072970485839176,0.022432915810677866,-0.0015034802864421627,-0.024763342819955767,0.0006711957873269562,0.004339300176918705,-0.014806144446296592,0.017407544081316135,0.024670561901497978,0.0006426770923396297,-0.009700982240440512,nan,0.02095531061883161
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.024517088129860972,0.02953528421312614,0.02086388637921273,0.0069522951561017295,-0.00010784348731457781,nan,-0.05898644411566109,nan,nan,nan,nan,nan,nan,nan,nan,-0.03456816909253405,nan,-0.037479333653161924,nan,nan,-0.003368393291341705,-0.045745098795156446,0.0592540575913769,-0.013257358841661399,nan,nan,-0.026618022465324614,-0.024667976647102265,0.0007279192782743744,0.015603410086872646,-0.005019845071069032,-0.03245048263591256,nan,nan,nan,-0.026762289906582894,nan,nan,-0.051758507186687404,nan,-0.02636982066974827,-0.01638956231452147,nan,nan,0.05830174883466218,nan,nan,nan,nan,-0.0009821368755432833,0.014512546572376828,0.001320286445754123,nan,nan,0.008445335536917559,-0.027810475187057766,-0.004387302850852066,-0.00022885218524539724,0.087163905569543,0.018107597330395273,-0.04613093030075946,0.01942725328892064,-0.00837509204611877,0.0041219635251192495,0.004576544540707679,-0.0062760814025736075,0.004265030068653397,nan,nan,-0.00038863661676767224,nan,nan,0.035179928027366074
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.004462103222889214,-0.016542732133152417,0.01622836768494943,-0.005740094970964673,nan,nan,nan,nan,nan,nan,nan,nan,0.0037429622291795537,nan,nan,nan,0.011576480807735249,nan,nan,0.02306067752206507,nan,nan,nan,-0.007800417367872062,nan,nan,0.029668846482189974,-0.02623299471127199,0.04297138036100855,0.028727962505209953,-0.010719929402995234,-0.027749897620375875,-0.05017275927421348,nan,nan,nan,nan,0.005111627899582113,0.00972111065917235,0.060960564618681067,-0.0035981606510855574,0.02677426090741571,-0.0028608513640489257,-0.021718241329664618,0.004792240734252761,0.00647664007853133,0.0479681199387116,-0.0031886168088181696,0.010685349097484382,0.010813480357399428,-0.019836932774881758,0.002531528174235381,-0.005970173900776241,0.0014755170167743482,0.02651826426093521,-0.0002446851916078272,-0.0040383562087905655,-0.0037922453318370536,0.009803440238770559,-0.04185829408178967,0.0030641617595960706,0.009032293751019202,0.015853377788149957,0.0008737309789397912,0.005917450096069123,-0.015426759546164358,0.007119493159813306,-0.001726440662403462,0.0006749891917341516,-0.004671495802215785,0.02047397587955492,0.004363303056637803
