# File generated on 2024-02-04 08:54:35
# Number of participants: 80
# Number of patients (bipolar): 40
# Number of controls: 40
# 1 datasets were included:
# - PSY_ROPHOFF_BP
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.173597585626947,-0.08673900063441312,0.142021827754434,0.22053841662031773,-0.26764531370287903,0.05976073456691106,0.011319515064324702,0.0393183177230983,0.2771086879906504,-0.11285925627575082,-0.05330878197602327,-0.5755768278818156,nan,nan,nan,0.21941985534679748,-0.30153599881847193,-0.0647902255313655,-0.25601050587610197,-0.19736736096137084,0.17693445254482895,0.02061428914915933,0.07330402491535089,0.16124478845904988,-0.28539618291396446,-0.878079377473788,0.23183412855495633,-0.18211380068625113,-0.4136357913524147,0.5256918372136767,-0.004495259724324906,0.07172011946827792,0.12941386093954738,-0.5590077059047724,-0.08353273123940395,-0.5249779802924167,0.04556674684404687,0.1271899984724034,0.009980733855236453,0.10806077135765647,-0.320091757130904,0.30449952461602714,nan,-0.07742841032609549,-0.49716437983797523,nan,-0.12491289971481656,nan,nan,nan,-0.25601674714695183,nan,nan,nan,nan,-0.1522967714785567,-0.17966184455261688,nan,0.15316853260337032,nan,-0.2925208286359912,nan,-0.28448707235017584,-0.22136571071518724,0.725733754527728,-0.009584751036620152,-1.2869233531001814,0.0568930497398145,0.062180602165497534,-0.6413031808570938,-0.22105840121114204,nan,0.27049342784579644,-0.31590727191370915,-0.3492235197292003,-0.5443431949005154,nan,0.21744275804825353,nan,nan,-0.07083434681293761
Left-Caudate, nan,nan,0.10467118394388959,0.14743258557895822,0.06759465611352031,0.27303634384725056,0.02261786920126099,0.024217340898299473,0.16115687338806756,0.1237906806621138,0.21930415732984787,0.011070948404178098,nan,0.2749486622634216,nan,nan,nan,nan,0.14945353260255806,-0.21144017396836204,-0.41578227115080424,0.016104933850426495,nan,-0.10830125512790081,-0.33044943003035054,-0.01571999603234798,0.11121120702532718,-0.12446030516033718,nan,-0.05030906854187887,-0.8051830631973657,-0.24477603628106195,0.2058530859203158,0.12599327597619928,-0.4737010357061313,0.7464074669248836,-0.30146153365858924,-0.11527033882846449,0.5599907839790423,-0.22480116630258934,-0.11584636149444881,-0.24614647999720637,0.03882719251665879,nan,0.19860240338661067,0.37040809333340546,nan,-0.6801582360305167,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.20686104159430063,nan,0.20292765640421298,nan,nan,-0.38316519460837734,nan,-0.22223124080746656,-0.8917569772433164,nan,nan,nan,-0.28241556918451566,0.13185628569171562,-0.4026224985382466,0.32147478642581,0.029400597314787846,0.19812144669326834,nan,nan,-0.08586660075931889,nan,nan,nan
Left-Putamen, nan,nan,nan,0.22551990548335846,0.20095918935282056,0.12018471889057471,0.30449132179079635,0.09924247896708874,-0.03440885559158483,0.044078807335478316,-0.1109082238169454,0.2526345761012312,0.34715145321555635,nan,-0.24365605366261128,nan,0.09684972342076963,-0.5076804046458975,-0.6654816440610182,-0.32801991581802353,-0.11607033990129827,0.20425449407664278,0.17429651800488682,-0.04716973169035022,0.12648865268055984,-0.11087394125017655,0.046585180175529296,-0.13738451630342255,-0.02478775303414574,0.027034277785927794,0.15983956336374094,0.1253525069469124,0.3663887445742607,-0.27033587330633047,-0.19859618632057338,nan,-0.36926422489860966,-0.12300481829817306,-0.3611589723287883,-0.04443766445636508,-0.08570908809207883,0.038333979128070246,-0.002160977814874469,0.1549971568373966,-0.0872478626774467,-0.0580214482943578,0.23990232462371,0.2594727787984505,nan,1.172168478030498,nan,nan,nan,nan,nan,nan,0.29294368806917265,nan,-0.42191033417192353,nan,nan,nan,nan,0.2833930823787081,-0.6012041730989259,0.38163027186763665,0.7701696885654415,nan,nan,nan,0.535899630074134,0.37571982861956493,nan,0.5120881178717552,-0.05131667710418068,0.362701340425112,0.14008899412778356,nan,-0.47848544865807136,nan,nan,-0.07391137099322968
Left-Pallidum, nan,nan,nan,nan,-0.20764467143880205,0.008936383027785266,0.15598986271382195,0.0823496944700938,0.3964061986747879,0.20971454689847552,-0.0994682492780989,-0.8924372207035846,-0.24977474298875174,nan,-0.27521328222677216,nan,0.2500609964657275,-0.5508057931020895,0.043394689662767626,-0.2758261311830079,-0.1746682573384668,-0.04044291931895011,-0.5014991533275428,0.0077218098552080585,0.033974387350385306,-0.16663999198806836,-0.011155194952962818,-0.20579525705708748,0.5214858773075084,-0.25832303738220647,0.29825907441249055,-0.10798255658424999,-0.08348577753844988,-0.5676379205180092,-0.20963957450231424,nan,-0.49169022661210404,-0.1761333905428569,nan,-0.032721516023210766,-0.10436834081126693,-0.0435720883536597,0.10715391441092503,0.44123767396535846,0.09778986706523249,0.2707048670992492,nan,0.5592237430315333,nan,nan,nan,nan,nan,nan,nan,nan,-0.10952261980670752,nan,nan,nan,nan,nan,nan,0.3823665147127697,-0.3461184701898618,1.290993560533466,0.9277388217806901,nan,nan,nan,-0.15571952858797747,0.26404882592442325,nan,0.5307460537940035,-0.004655187885681559,0.2695670177954768,-0.14849274752999841,nan,nan,nan,nan,0.4851469810372459
Left-Hippocampus, nan,nan,nan,nan,nan,0.13027261110356403,0.21459522222318442,0.12715079120751532,0.5616347726597003,-0.07874296265744456,-0.15438356097431616,0.08921538591105348,nan,nan,nan,nan,nan,-0.8608933388745427,0.27246099180692235,0.11495728004490208,0.08805791346039618,0.2523792481037752,0.14657934144471624,-0.09741669660177756,0.7584149405507644,0.0306350378950741,0.5625376586584429,0.027968501066871876,0.12826200752652747,nan,nan,-0.1623648118522304,0.0613318010717389,-0.5135943017638521,nan,nan,nan,0.014176401480672141,0.26739410700603583,0.1866264853138237,0.13615254983001934,-0.17421505046089825,-0.2878639708831525,nan,-0.366809813559376,-0.07682962195140548,nan,0.558592212170416,nan,nan,nan,0.5762967934024512,nan,nan,nan,nan,1.1039114599958715,0.2541970843147066,nan,0.39598515663020617,nan,nan,nan,nan,nan,nan,nan,0.37941117048321416,nan,nan,nan,-0.12769904907456536,nan,nan,-1.0337859922147883,0.1761241541631655,nan,nan,nan,nan,nan,nan
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.4505935900268936,0.4108889910070671,nan,0.6053583906035362,0.7238358792636671,nan,nan,nan,nan,nan,nan,nan,-0.46837197908583095,-0.10014119144344935,-0.02713043494058775,-0.49704463022447676,-0.46299145373198425,-0.12430150934751263,0.11750308683211617,-0.7214524124770261,0.14331330844243537,-0.6082329790641201,-0.2803350774294899,nan,nan,nan,nan,-0.9234323611347501,0.15449433621322442,nan,0.4899964035766359,0.05696529051031091,nan,0.1250049843201935,0.8934454539123425,0.12576381143435653,-0.07452795664973966,nan,-0.5411207131320059,0.11505281121874393,nan,-0.10552261846902497,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.18691922934122257,nan,nan,nan,0.31799782452679753,nan,nan,nan,nan,nan,nan
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,nan,0.25760249441674005,0.38812773559423225,nan,nan,nan,0.0916370074812199,nan,-1.6727652009362588,nan,nan,-0.036375959411132926,-0.6436342911362587,0.40752892543586655,nan,nan,0.7533846385673567,0.045394581218818154,-1.1428298941077546,0.14011641411008688,0.0779078276957099,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.030374336168911192,0.47977629966683727,-0.67855667689197,-0.33613526619300904,0.23230673998332996,0.0965889555684926,nan,0.019188671323491543,0.3043166959959914,nan,-0.004210821131195841,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.1784195227512528,nan,0.03456230856903196,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.06520373236864936,nan,1.1526715975615665,nan,nan,nan,0.6212941834111081,nan,nan,0.2648892368544015
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.250665546067997,0.39806211653650514,-0.13475053691440775,-0.15097763806271206,-0.20007673304053986,-0.13673206593159382,nan,nan,nan,-0.08143524429732193,nan,0.8055375645988392,nan,-0.04799387148849847,0.016429457297744015,-0.5542642261336503,nan,-0.1733346264593696,0.03344026478431027,-0.1755935710253234,nan,-0.26577265792913324,0.1999163101369095,0.15475214638066595,0.26388142725212727,-0.7380807010019648,-0.5022578665579996,0.4732308210120148,-0.4778519861718637,-0.04381068581716661,nan,-0.9714795730573101,-0.3711698923539198,-0.27933488766004716,-0.5663673013155364,nan,nan,-0.4557151047316468,nan,0.10075305612032551,nan,nan,nan,-0.6601776110328569,-0.2415252205905021,0.23519381093494865,-0.30773147148767854,0.18014261657392652,-0.4618834673780873,-0.15495771433130887,0.3115829929871847,0.24661305904022446,0.012386169991928549,-0.03965507188938242,-0.911267828229183,-0.376333032019536,-0.5859419452238168,0.32348664381199477,0.3412520176671656,-0.5067044292798863,-0.2544956174867358,nan,-0.6352852496284266,-0.38329193860415023,nan,0.04588035828038225,-0.24793868175910275,-0.43629997698661543,0.37928725371552147,nan,0.20904787802579713,-0.21548370452153354,nan,-0.10881342871198568
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.2789145284067334,-0.09228530528630265,0.22537775169508809,1.3139119646171882,-0.35840559866918786,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.5200416525606352,nan,0.2107744653793061,nan,nan,0.11052756999059236,nan,nan,nan,nan,-0.017368379429140546,nan,-0.41002039668031504,0.30978594587851394,0.10150220991272564,0.10452330738508149,-0.09158010607210847,-0.278277246396454,nan,nan,0.42158503325777735,nan,nan,-0.10249618640688826,nan,nan,nan,nan,nan,0.86441610597877,-0.67936757069209,0.01819288514670664,nan,0.4871136412173132,-0.261529471418617,0.3883433142377098,-0.46237781539523926,-0.18570555531117666,nan,-0.3877001714004527,nan,0.2868396054142548,0.3823066628424543,nan,0.19579017003396157,nan,-0.31264753806180173,-0.3397725898609342,-0.15029280603807296,-0.06500028664950443,-0.13705306621928107,-0.14623267063198858,0.6388691839586348,nan,-0.0811776095621962,0.3780872329502584,nan,0.24641179117568324
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.06693081299959089,-0.0874918241126668,0.2566240936520159,-0.36284239111381567,nan,nan,nan,nan,nan,nan,nan,nan,-0.31992482429805336,-0.36815480688731145,1.21191266370307,0.10323066688657777,0.7145829941137072,-0.42778157239626957,nan,-1.1311213091130927,0.023976131284190075,0.40191503164654585,0.3688346723900158,-0.7654319568044398,nan,nan,-0.21636873957751016,-0.3732129651794441,nan,-0.9754382503365046,-0.3269120140596886,0.2902446906536723,0.14559498308829058,nan,nan,nan,nan,0.39376826293739847,-0.1386085789369242,nan,-0.23864855109456304,-0.3510824434565396,0.0696126084790396,0.09664637053653259,0.01766329178069759,-0.4475620625689052,0.24084449135449684,-0.32281694158259544,-0.3564949519302945,-0.3857018710768383,-0.10512029745748186,-0.23796834637078262,-0.440683467785574,-0.47670455094933833,0.10360281000337673,-0.012517547521738934,-0.13342840614452836,-0.569983735253735,-0.3740914850491559,nan,-0.24751380560749947,0.09133004554845951,-1.1534623246200284,0.03359026526432231,-0.12735410076612913,-0.22878879592667234,-0.1311982417961599,-0.5233756911587996,-0.14092511632507032,0.018837350066700592,-0.3264277498051731,0.08742840124039193
