# File generated on 2024-02-06 23:10:46
# Number of participants: 58
# Number of patients (dementia_other): 29
# Number of controls: 29
# 1 datasets were included:
# - OASIS3
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.04563907162281917,0.11535641949435198,-0.18507263726118933,0.35069270511519157,0.19375024729899493,0.43423277091525586,-0.0607546413321064,-0.06802298119742337,0.05633618352271049,-0.06893954734034749,0.2528547356018704,0.3566538241794114,0.07909847981223442,0.07511708338472149,0.0912798807421611,-0.1630660782190956,0.09009466419726503,-0.14438969826524273,-0.04545863319671964,0.03431936893760098,0.05522575982450441,0.3257614256945212,0.007575126502159181,0.09981145657272153,0.11434435001406065,-0.18057782515486281,0.220820637687881,0.1083171895069491,0.3146392186536784,0.28995955324531236,0.29043279151086615,0.3605638479289717,0.0664947107290127,0.285733605571317,-0.11315612717633089,0.21022969331570876,0.06652678420739652,-0.07826848008420112,-0.01565228608541021,0.03674508729440333,0.09894345398905725,0.21234923300551942,-0.0832440934422608,0.28004027873062,-0.06577865865165791,-0.061054135465937305,-0.06252036403716306,0.07985361745574909,-0.12147276005704069,-0.26718571829367305,0.42117884183661564,0.12691196598488488,-0.08465814165887724,-0.17302794657608161,-0.08611865629766362,0.03152907235250963,-0.14280960683534819,0.07340954491470746,-0.04898409477732617,0.004776821590648805,-0.08065884029348189,-0.2910169205311172,0.22118313172435328,-0.21110262944565586,-0.4041051540007157,-0.21909561589929544,0.0739307737237349,0.3886504091609416,-0.170107586625059,0.22756656396318567,-0.01837099603737649,0.08893054135069162,-0.27931684774267856,-0.09439082049105313,0.19128670099129816,0.26779255251364287,-0.16359442396022936,-0.09311503167742849,0.11052228398417743,0.4890240244755047,0.03986119929559598
Left-Caudate, nan,nan,-0.1687212752646067,0.3304928580913781,0.3823568211027472,-0.054304845383805894,-0.06670875212768852,-0.05991324033310784,-0.31094242744442013,-0.12065182314745183,0.15294366541311036,0.24401009157375858,0.08448036510087711,0.0012963037087233406,0.12172481756329125,0.32413753364319214,-0.0861821859533733,0.036538634868110764,-0.12922234644024697,-0.08242683780836205,0.2785650043264101,0.25381421050895425,-0.1074094419598397,0.06586278652701816,0.07354628214866367,-0.1326613167390077,0.009213710792686038,0.14771302379684817,0.11636019241594643,0.27849188014590415,-0.40206888555371006,-0.28724579189410643,0.16129754178258207,-0.05431195930836097,0.07296591486132868,0.17008411218487873,-0.22870661683390905,0.19722778807255884,0.24539617395564087,-0.23723473975767195,-0.19784459551469027,0.005288758647767898,-0.0916604443012696,-0.04027015170464745,0.15714742542481988,0.07457472362152372,-0.4474792382669937,-0.009922924631764477,0.07445658085850529,-0.19929622554477275,-0.07129515746774305,0.21675986280063989,-0.09803635742334721,-0.04841822737795345,0.19363947133472548,-0.16429942600883243,0.12456063309734938,0.09380443739127743,0.2008344327422817,-0.09193088542743075,-0.17050923560642442,-0.07558834355562057,0.08160960219295388,-0.06987008655090972,-0.2442127504175774,-0.28248047590723313,-0.11004848683273932,0.19859717801038074,-0.09117427353482542,-0.1234661367863401,-0.15541522023342894,0.25456817288975175,0.18350621626311944,-0.27342611805515443,-0.3386596918486219,0.15707010398213817,-0.3759377370494403,-0.3610738980786881,-0.14021511208799667,-0.07490637688211993,-0.14029492455854223,0.020386948702998595
Left-Putamen, nan,nan,nan,-0.468205412310337,0.10592730002112133,0.14532955790990254,0.5037922812367769,0.140829099144286,-0.22546874569189673,-0.4510672607876387,-0.3539621490813854,0.13947716158677775,0.14007611981795753,0.4270332901786722,-0.115189595550198,-0.22451627517463513,-0.07961747808280503,-0.009798512687715678,-0.10910764634896306,0.06194847466488392,-0.015970056262510815,-0.10707220623668814,0.13537946292196976,0.09935051558921625,0.282623666827929,0.05923784793608381,0.05328234592707774,-0.06074037393519104,-0.09534210721759274,0.01012921855341289,-0.1611104226058938,-0.16854164038317332,0.09357982056516251,-0.12434090211416099,-0.07947874209067252,-0.04785821924888951,-0.24537692014387774,-0.06282250301074416,0.2624548392698206,-0.1426413331835521,-0.08426952212888904,-0.22715197247678834,-0.1361952970808784,-0.2536249130135838,-0.019491205483875115,-0.4045425958354108,-0.12823787222498428,-0.07213998624291014,-0.06556014637639637,-0.15312703097510427,-0.1945711213682608,0.0336198531978155,-0.10164938917685196,0.0030643489726527315,-0.07303930381631336,-0.34076986283397964,0.3882795891441918,-0.0065935672947863575,-0.1694987852284375,0.06434532360249458,-0.48855133212661395,-0.33754515392035694,-0.08697851036425541,-0.1318506821844049,-0.1902839940083987,-0.6547395933942364,-0.23465723953702436,0.19755198118872866,-0.1364241055201889,-0.07843564997105619,-0.1273779397371873,0.03922520518142007,0.2633219303821573,-0.31185689317592563,-0.2132581352407703,0.1271792449191304,-0.13582093824308883,-0.13841831040726912,-0.30870103855582937,-0.05374088449072079,-0.27100441990843355,-0.026243948141915968
Left-Pallidum, nan,nan,nan,nan,-0.40689275534471187,-0.15090060568135902,0.34908127386075766,-0.4020594406730971,0.045433125830335194,-0.15802639313477276,-0.13642025850701547,-0.04751972065828588,-0.010767052101842737,0.34364286446376224,0.037365098103378076,-0.3938687747745698,-0.13010180485237893,-0.25849294896005226,-0.26985130424563175,-0.2287468401451482,-0.15134630343846767,0.08993812975109432,-0.16581744995298733,-0.2722838266368207,0.22962014810092818,-0.38749689510243157,0.5691885581586726,0.04443885152023796,-0.5310065608701644,-0.22432167154237787,-0.15218586091304748,-0.156856460153235,-0.16690286194539533,-0.42362656517434744,-0.10153580840710844,-0.21541157107180733,-0.10527921585961776,-0.35276112438375723,-0.17828092416040042,-0.3185255218433196,-0.22873795884862286,-0.37510602246905084,-0.09036955965715679,-0.25560150246510216,0.22408030263746834,-0.31885062422027,-0.18996568009173134,-0.5745811377089266,-0.009628183470712853,-0.3318666298208785,-0.20492854677097624,-0.26172874315959715,-0.0011098585831708268,-0.311348883059515,-0.37595936906693694,-0.4351908310761218,0.04900576771748627,-0.43976257960912124,0.029766149202274866,-0.32333405300950446,0.06353475686946564,-0.1154488177665035,-0.3117026726163687,-0.2786407649310168,-0.10439852825733999,-0.6426016516264101,-0.39087496893173934,-0.2214215404049368,-0.12126931303043191,-0.03379177657805321,-0.11742516748903224,-0.23045518377651106,-0.24367453185962698,-0.26988488179893333,-0.36826721866221035,-0.40142172501267653,-0.09012697814471243,-0.13664819111576884,-0.062215895175970606,0.009496144051118796,-0.281198711368045,-0.40138911111329456
Left-Hippocampus, nan,nan,nan,nan,nan,-0.0017071247254988318,-0.022928276052103017,0.461295396983336,0.2583784659350961,0.2712676434152717,0.019125405352418613,-0.6863718661148087,-0.4526942064702767,0.01556473355419151,-0.3352819892814036,0.14695236847399962,-0.01209582107724,-0.31658178589492963,0.1417447242507628,-0.45021191810752614,-0.12435439952284578,-0.2248773003354352,0.12518718217952424,-0.16808712588797642,0.2963035144459465,-0.3393387374401233,0.16201816393709956,-0.08302290030820167,-0.19736830220781798,0.002234085811863802,0.08602055283806817,0.2579493797390703,0.14062316660446048,-0.23718610529840223,0.10541765129938356,0.03693303486422145,0.03299140328291287,0.040026761624079206,0.17124574416659452,0.09003773820590841,-0.06286901442371234,-0.23275220387631443,-0.08871531375144097,-0.13825346680314407,-0.36553342165402936,-0.561545105890698,-0.039634484999153424,-0.24100077255777788,0.01527676240607599,0.0898871251909175,-0.05006579562076284,-0.14556151853059987,0.14090730185594358,-0.3793448346843342,-0.03634127723858802,-0.475934956246872,-0.09607306874734628,-0.22793357322051733,-0.012180251828334886,-0.48623297618634614,0.2698761562174555,-0.17945890340800824,-0.43108574198289695,0.26002213417445325,0.03645976491446965,-0.18043026114681693,0.05403484557171938,-0.25176375755406993,0.053430017538021714,0.10204983303747558,0.004150375161814891,0.07560137295387062,-0.027896504403267238,-0.006808496631840444,0.09232954731434209,-0.12161802386156263,-0.023167448903990927,0.035583294528378995,-0.28733733937723305,0.011656313068529291,-0.04928241759571683,-0.15030617329218568
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.2074400239831124,0.30735453109478633,0.09554826516536066,0.11198552398284936,0.09846639757534861,-0.18467793913929126,-0.2961504999182553,0.0034417426463552586,-0.3779484830995416,-0.14281339487756303,-0.29146925287090336,-0.43009766942737016,0.25255264442881475,-0.24329518723939075,-0.5020993454938708,-0.2357814077267504,-0.06308665122813573,-0.22553651220530044,-0.1742906444288603,-0.39064923916828787,-0.061846400970471734,-0.2891236047426747,0.014973881018047662,-0.1235494451992162,-0.11505322123552893,-0.007345100756717496,-0.12727357087520966,-0.15662657878840477,-0.20689267749949314,-0.17351885121525593,-0.1650973363083512,-0.11947676746539647,0.05448757393230418,-0.22825822195768591,-0.25595714261032376,-0.5491982368597689,0.005106075464244455,-0.3775502593895324,-0.2972747515963017,-0.3603025510230985,0.04023984652303379,0.0932454329180455,0.002458753443752556,0.10948353581588216,-0.026133634826080682,-0.355018447816864,0.23800326920380574,-0.019146330391312093,-0.25736507216003046,-0.11120606159854454,-0.17708447678827405,-0.2782055068827021,-0.35459817919508096,-0.3753397016609196,0.1645956630380543,0.005139477189304142,-0.009765231893788612,0.01802064053135113,-0.17614050673840712,-0.3070750333334294,0.04840906928764308,-0.1032296622154372,-0.13229742136152928,-0.029101724624196034,-0.21813614761751904,-0.12403222590678907,-0.19810579385310806,-0.050339832399039205,-0.018226380733963238,-0.2816167162970052,0.16829363374364625,0.025311921935172586,-0.5715478549986978,0.15676274389028186,0.030705205515456784,0.31337765950194213
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.5205563398583736,0.10778081387985541,0.6941227698482295,0.03224238079186079,0.16664405266971413,-0.15274512152695535,-0.5092189913082485,0.1292213964051585,0.20825832160273866,0.10212767625141655,0.014969652711762822,-0.08558281153457026,0.10058360948955448,-0.015150447736704861,-0.2832055759949968,-0.04593564101643563,-0.07151540682642402,-0.27332407820138754,-0.12466312763540158,-0.3801907134184089,-0.05131419582368886,0.09391290837418585,-0.21708865187826243,0.7513861510839175,-0.3050451758919993,0.47180096039798175,-0.20004811521743207,0.02017567674649058,-0.027926878670026047,0.19247670396516273,0.10097278566379629,-0.43704037530286005,0.2491601863775265,0.10470079000342762,-0.1306145336241731,0.17654653737430756,0.11906323466010417,-0.33488090395491527,0.1816455515619254,0.3434935828848254,0.20123661562434025,0.5369008802186654,0.3472214756678886,0.08910828909272785,-0.18710142935387825,0.4201044492826784,-0.14399909172317213,0.12908445229654614,0.1015377440362766,0.020102682960883647,-0.12604368277227754,-0.43144555389190153,-0.22532866510592586,-0.033210176962468904,-0.19329999861400063,0.1003984719879528,-0.29073293883920837,0.49126467306200666,-0.12386349228623626,0.25021106372573093,-0.04672333988878253,0.026874554883480246,0.04331250812582897,-0.0056881907004174975,0.04367194390802096,0.046520523139157464,0.3290331047884193,0.20778596495111643,-0.15162379045951585,0.15837454750153268,0.23957492295590588,-0.01661937336160007,0.2665316184851052,0.7672519226068344,-0.01568600539911717
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,-0.029639565674071087,0.16224750740314234,-0.027251400889911046,0.5492728632719628,0.46596125611585243,0.1668748647923033,0.21084272222940484,0.04554961972976902,-0.17631086659829223,0.3086479427423886,0.05533544795751615,0.10061564420229147,0.1785891055062168,0.25401903682000454,0.3759822516460083,0.38155349950236367,0.17246913417079954,0.2615571772918605,-0.17490309093615214,0.3292217796786725,0.08175031181697844,0.42913983929880806,0.31923178940507696,0.24834562825981427,0.3836693103800875,0.23883703039009083,0.4318729476122286,-0.019675161470499417,0.28984714020634783,0.24211728420296308,0.1193865809587213,-0.09072818394224304,0.08355931325301881,0.23622311372066493,0.21410790587883013,-0.056472316940189934,0.17498165035621005,0.15774094659670115,0.0073173635927377195,0.08975689506369039,0.2087211352304058,0.04190309412960748,-0.3196297278642995,0.6137649274097837,0.18697525215242303,0.11299539572513519,-0.03285262200540507,0.18701147269518076,0.24120632690454266,0.16258204200762275,0.034133835700715286,0.1674298944735481,0.04476369600566841,-0.13217448565958723,-0.034702341593565146,0.38812799683444155,-0.25342566790828114,-0.44627976936957003,-0.23240787242516384,0.26628810383580376,0.48618366019601467,-0.07021286176187368,0.2788296922377641,0.1809685559773183,0.3099132380469507,-0.3712260993951746,-0.03727537358703982,0.32466298973065444,0.36654016235983705,-0.12464428844067964,-0.16066509216297012,0.16118984272438858,0.586081619956897,0.17261590992873618
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.45442762503772566,-0.23788839359990316,0.2456394336410854,0.053458248733118725,-0.1168919511432578,0.14057761195165336,-0.09973179228011361,-0.14170788464803125,-0.13084938594787895,-0.06246366273150871,-0.14171990112653587,0.0007296501925140787,-0.019333061569926396,-0.011402716440410599,-0.04320863574834032,0.16480966842639277,-0.11461148916166011,0.23880645426301894,-0.13260367140135246,0.057923479382571814,-0.14522285119311212,-0.1274666554982617,-0.081507111733296,0.4097628804861265,-0.12130167949264758,0.00346306143964724,-0.019311579297650146,-0.02364763373547142,-0.19581326740061025,0.29050187026292223,-0.11788870244109145,-0.21460474424595113,-0.2396378688318428,0.006041579686881055,-0.01946899678673784,-0.49665205504443205,-0.026294368702112957,0.05512998721416171,0.2643780509765055,-0.028980183578122196,0.024980105052978478,-0.032965620490176775,-0.009220789035950515,-0.003126285831015382,0.09815907266486995,0.024846028480868327,-0.06343543870702242,-0.025524747698919586,-0.05074723564471399,0.02841041824643829,0.08271367947808173,-0.4217767618707287,0.19311071924262418,-0.30471981671144777,0.017202705864279962,0.06033438408796741,0.24015951253683393,0.44538296883289125,0.028897787077595882,-0.06949124033906261,0.09971568877527685,-0.08720408035266052,-0.036493101218654685,0.6767141808763523,-0.030902050224619348,-0.0013489140231311228,-0.020891810254239796,0.15292129151071993,0.06634443881297573,-0.3039003158801294,0.20730585613548072,0.14437286835752597,0.426276109521792
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.12879137213677827,0.36183807699000575,0.4253708650093748,0.5485849216896396,0.004801138263895223,-0.19687959876334482,-0.18961854082173427,0.09963828102995528,-0.08995307089403878,0.15919353256536553,0.09755940786875006,-0.11953383261165285,0.14442466723661418,0.1236346163014086,0.05365037293818696,0.2545139311356613,0.05357009334746749,0.09473106644341296,0.09903333975110655,-0.006270940687879613,-0.09088765452122133,-0.41388377514371255,0.02862528615411384,0.006568247903355592,0.048560707616252266,-0.12667847823554249,-0.2438643284398825,0.08147542248549243,0.07687327907546983,-0.35212754883835407,-0.16787956922715633,-0.09045751899752043,-0.13779642959625,-0.25243533864865164,0.48059983799816325,0.15344066628702285,-0.39658516689195733,-0.1804529929500274,0.15116321041330005,-0.2209540507985952,-0.12784838540651772,0.2058077673252043,0.030154023775703687,0.1871888525252217,0.1689168825711993,-0.35676429639891005,0.3876072228778728,0.014486854766076484,0.11511438024755802,0.1902066003865637,-0.33149693019752613,-0.2820188606951504,0.11421029172205077,-0.22322446693936748,-0.14152039052812898,-0.5524563290462525,-0.26315265751766004,0.3973128194034083,-0.11343103941757275,-0.057047162240428086,-0.20631779725776234,0.17381843716876533,0.15020402302789918,-0.36065886848795486,-0.3194425596301306,0.17258605992331022,-0.16504746414438257,-0.11495823436759578,0.11243900296177609,0.1736893299635822,-0.24914407725363172,-0.16902333742935138
