# File generated on 2024-02-04 08:55:17
# Number of participants: 74
# Number of patients (dementia_other): 37
# Number of controls: 37
# 3 datasets were included:
# - NACC
# - NIFD
# - OASIS3
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.4919478245455659,0.4527687779162694,0.27155072066739955,-0.0912615488023587,0.19698383840690248,0.3647996115282205,-0.47804858147072166,0.1090064998896291,0.35909613379295957,0.4005039374490704,-0.22415346359808203,-0.03125184993800655,0.5650897991745985,nan,0.44664250815667844,nan,-0.17471125969902443,-0.3070830997146549,0.2186801065329506,0.5230723290581853,0.13864367356849547,0.2556995760334452,-0.129692453970562,0.3278845329385438,0.20401329585437902,0.42989466962952594,0.10607338558418762,-0.47727200095873645,0.11916796323600613,nan,0.5945588149564695,0.4355991969749369,-0.19794141474513646,0.14238081050607823,0.05860002774044887,0.11418702939036011,0.08523095257644568,0.429343162626242,0.3687295907068323,0.27529406558418135,-0.017659044626211276,-0.2232887146196129,nan,-0.152036621631368,0.17805819520215163,nan,0.11527407976570601,nan,-0.07295129161836877,nan,-0.09777637696000917,nan,nan,nan,0.26463668257978024,-0.05303976680185192,-0.15350154359630475,-0.09212691889553432,nan,-0.07578040632492578,0.20825284045972559,nan,-0.1940837556469859,0.43248162341793184,-0.40691429173556826,-0.28691143257655916,0.45991083162654883,-0.1115074811256395,-0.24763190356590115,-0.2337062471790761,-0.2416674283087874,nan,-0.32011916444223765,-0.24422577577300134,-0.4786095605910982,-0.24543208443686168,-0.40527199904205524,-0.6708985367036349,nan,-0.517582477600521,-0.18111745994818906
Left-Caudate, nan,nan,0.03366595270129716,0.1041864024907964,0.4400250254493875,-0.45662105252700985,-0.014976185515042895,-0.37115318771798944,-0.1444143381669353,-0.05139484267346291,-0.0982059388052891,0.43843642037728586,nan,0.1990610406005227,nan,0.17311230171525072,nan,nan,nan,0.8624886546663874,0.14539448373290478,1.3118136457104632,0.36279182555343775,0.5920709749046793,-0.3697037634578632,0.09698999641976405,-0.3030768934940324,0.2349714136405536,nan,-0.14682759923433866,nan,0.5281827913512703,0.3784528990240407,nan,-0.23290198359490888,0.5596087328774221,-0.008059699592445894,0.4981488395854699,0.318469881206393,0.06083514274807036,0.22710500329755964,-0.03366585999462198,-0.9850547988975444,nan,-0.007780689987075052,0.06210957857431473,nan,0.11685090128638533,nan,0.1783231217825232,nan,nan,nan,nan,nan,nan,-0.5096906701776786,nan,-0.3577418395841711,nan,0.047829024704960976,nan,nan,-0.3720321270446285,0.050824597600559816,nan,-0.23441831422661788,nan,nan,-0.22227444082972028,-0.06678450331363033,-0.15743160160699005,0.18766297603809481,-0.4990774547001448,-0.12122057686127402,0.6497752712055613,0.46358210931739535,nan,-0.13896776870379499,nan,-0.40912371148323984,-0.20072742686924958
Left-Putamen, nan,nan,nan,0.3616153761173394,-0.1864892840090545,-0.0558536826723702,-0.07629454751146927,-0.007014738927106918,-0.36234002241054636,0.021068437385626613,0.009668343060138862,-0.2102824869538588,0.18030451632102823,-0.3852522602593568,-0.21287432085405125,0.3512079507340711,-0.07580933357800813,0.26605541200155347,-0.3906649128994143,0.26807562951221353,-0.10101897983858571,0.07970124160780018,0.13868863371088427,-0.18084262123123565,0.0010575246025929363,-0.08696506413246967,0.10319074679458376,0.009190003927345848,0.6517032938439715,-0.5459982591308292,0.03515865761701399,-0.36819585584614895,-0.09234516749110998,0.0794911622697312,0.37410372195538283,-0.0697618440019132,0.01730815179437509,-0.02151683187356572,0.03621702362526247,0.10424446123844203,-0.05108611251703437,-0.01836071283095175,0.22465019272321346,-0.042842980531716195,-0.03969156319929724,-0.11943747048408769,0.28381031489912806,-0.13560194225045918,nan,0.15302337101045999,nan,-0.29384824646283847,nan,nan,nan,0.3041049256013344,-0.005844544153120428,0.18772072568041154,-0.4863110505704025,nan,-0.8141627867392368,-0.27977978771650447,nan,-0.46506981239129774,0.1443623898359174,-0.6533979484503593,-0.5408349986858985,0.22570718131342632,nan,-0.4194672372962188,-0.23040649916410247,-0.24056417371299685,nan,-0.606818614784222,-0.28449083591351787,-0.3079642312481655,-0.5607806007015655,1.2433404676876831,-0.7720195481393777,nan,-0.41269051247831046,-0.33253946079791075
Left-Pallidum, nan,nan,nan,nan,-0.15939096067289935,-0.091527922387547,0.13954553279350376,-0.015076975219008531,-0.13737725333706063,0.009002735655481079,0.034278688967857886,0.01684466345420701,0.5676568933949074,0.3216092583543325,0.3026482592367002,0.4464543171747026,-0.6005604796450926,-0.12807974230785255,-0.3274986895989397,0.7709087554830034,-0.07127792165868763,0.657048703299754,0.10862568304597145,0.3522108940024656,0.3449415339005222,-0.3219603975200397,-0.037956738492361565,-0.0780886948384249,-0.32188761104322844,0.08868127929717005,0.21369917342117115,0.3576763587152293,-0.20786090695146883,nan,0.1556244499421603,0.03944950948058516,0.08911835523282467,0.13806044471745005,-0.09657612640243897,0.24032172353710476,0.0475131349841277,0.01985078966665772,-0.2991098648655414,0.02854464526498804,-0.2822722916525515,-0.17939737730014474,0.6030243676408187,0.012126568856660282,nan,0.19505399341397905,nan,nan,nan,nan,nan,0.11613566760080525,0.0579354465446413,-0.39414931279507254,-0.11844544373273039,nan,-0.7331215608693216,-0.20454706646414147,nan,-0.5568628373767839,0.33078203378467985,-0.5173369607798346,-0.8947089408094988,nan,nan,-0.8009246522850846,0.011241638228092694,-0.20999480954046185,nan,-0.6129970395266918,-0.20564359423012044,-0.47955768635643214,-0.3587185962673594,-0.07427738109924603,-1.06981749715071,nan,-0.21031575445638795,-0.26662113676279126
Left-Hippocampus, nan,nan,nan,nan,nan,-0.3429681441083961,0.6376382000226287,0.02058475652574539,0.44767182286659457,-0.45349512890153765,-0.5668641730616397,0.8281646811651512,nan,nan,nan,nan,nan,0.365183154766384,-0.1563597737039655,0.14110114792692383,0.29326181944914886,-0.1029364588783605,0.1305308639681157,-0.16108742403777454,-0.5650092029397147,0.030295109773442977,-0.03758029708620589,-0.6417043602260024,0.10255874484741968,nan,nan,nan,nan,0.28278563583978267,-1.3558598385939036,-0.059996319228429025,0.19521793111743657,0.21841349582892944,nan,0.2436751226611332,0.3497729224242705,0.04100126448100443,-0.6041489137350775,nan,0.23236991829565604,-0.2496155024426301,nan,-0.5197807019020171,nan,nan,nan,0.566396298062554,nan,nan,nan,0.721843487001861,0.7588980417684122,nan,-0.6366542545164366,nan,nan,nan,nan,nan,nan,nan,nan,0.12213343146863478,nan,nan,nan,0.07545687101692519,nan,-0.45143471296892307,-0.4448664205542924,-2.1804305812471,0.05974593311876419,nan,nan,nan,nan,-0.350106903916468
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.23263626823060743,0.6050646982130145,nan,0.031169805686730216,0.27806675885877374,nan,nan,nan,nan,nan,nan,nan,-0.10014509313507314,0.3060260749124689,-0.015390578528093207,0.009993810488434535,0.29969670092956113,-0.19798661287216204,0.10772854357859117,0.34214127886295137,-0.38528025180606873,0.5749848259685221,0.06959591900312638,nan,nan,nan,nan,nan,0.31596737714791573,nan,-0.07313388571466645,0.48912990964554637,nan,0.05357232067563569,-0.7336634472078447,0.4082576462080221,0.5011165055353903,nan,nan,-0.03475614547870061,nan,-0.2781429078705304,nan,nan,nan,nan,nan,nan,nan,nan,0.32033227539349146,nan,-0.08315711394854755,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.303046989090512,nan,nan,nan,-2.1011246182045342,-0.15844085600268418,nan,nan,nan,nan,-0.44159299823076686
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.5443017758247487,0.28007193842850314,0.05873250726949581,-0.1650978899569001,nan,nan,0.1048847306267402,nan,0.2510722147846564,nan,nan,0.6383004657254915,0.3206462342996497,-0.05239618131927534,1.025503427081308,2.1870259373329386,0.8126246803935147,-0.1220427822281622,nan,-0.05370682638582575,nan,nan,nan,nan,nan,nan,nan,-0.12244603552748266,1.5471480826133888,nan,0.6931433302786995,0.44659649081698505,0.9973865801930066,0.5230425393158187,0.604414703138061,0.744361698734315,nan,-0.13386974938874066,-0.32609726210199086,nan,0.28870660505830503,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.20114181097712447,nan,0.1372058953163329,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.21837445533585645,nan,nan,nan,nan,nan,nan,-0.2055438025687588
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.5388171096203814,0.38015725356064,0.35705978142331646,-0.23433021037236398,0.448656950979377,0.04653114954004906,nan,-0.039169038583809726,nan,0.06532482692849657,nan,0.2607504475390115,nan,0.5936165729662018,-0.20510933746576326,-0.7358480464389429,-0.3724547824902634,0.720959765673637,-0.535159502760352,-0.38902097417328907,nan,0.06273269968519163,-0.5240225437017594,nan,-0.14414695713697132,0.09013090351541994,-0.734566435083542,0.04295854433303908,-0.29258040899082843,-0.03074109300566263,-0.6672100196955113,0.5049548158169915,-0.31881418275085927,-0.19307534383675096,0.07571473347451727,nan,-0.7239041511556336,0.6149113251443669,nan,-0.004188030071921841,nan,0.15670181060567454,nan,-0.45555406965696243,-0.6632385658980435,0.10267305116751177,0.5407403306686658,-0.31915868279391424,0.11643183970028922,-0.17199363119220368,0.0025486608520851857,-0.21599912145239533,-0.25665655577642493,-0.0207707585018343,-0.057698509871408635,0.35099653313810125,nan,-0.18179876862857758,-0.34552297565206885,0.17643576295382396,0.3134897685942215,-0.2536003783473197,-0.05963811662934544,-0.17039996386955095,-0.20302936004271455,0.026741020907736043,0.14009366745623897,0.11975883399582607,0.7115276302180431,nan,0.2826593727195154,-0.22256277171682198,nan,0.44246225793571525
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.253046811922776,0.3643809160326822,0.10384044336521052,-0.1764989764936977,-0.25824978258975145,nan,-0.49160002607813946,nan,nan,nan,nan,nan,nan,-0.35706833866412524,-0.22145065717318735,-0.602029920825162,nan,-0.33906339293914284,nan,nan,0.19617092272500247,nan,-0.5655196410917251,-0.5362728111367001,nan,nan,-0.5159689040547013,-0.0588271708186701,-0.037765848529607585,-0.36468251825206216,-0.38664390796488957,-0.4243239336780238,-0.0704561224954932,0.15270513337204095,nan,-0.3225095096573923,nan,nan,-0.5440390192711698,nan,-0.06204878263406915,nan,nan,nan,0.4272742245919071,nan,0.6281269644449828,0.01747596452665442,0.5021354122547717,0.0994972621006945,nan,-0.10263521376013726,-0.2641871850034659,nan,-0.10780138261386718,nan,-0.7365861881594546,-0.36720217726062554,0.9614147142724668,0.9618983887872369,-0.1839618919544367,-0.1885763789102575,0.4678169856790557,0.21884271960330867,-0.1934232727364585,-0.10791770694377122,0.5048206261960856,-0.06527094711901922,nan,-0.24102461324873628,-0.7364838644051193,nan,0.17560760590634264
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.29613138002953127,-0.6665203250219496,0.4138946264239096,-0.1294816295466023,nan,-0.24697904163768494,nan,0.7989671120408477,nan,-0.46322743540138106,nan,0.03345526340065184,0.1952476920034121,0.07812247017227014,-0.6911033500522917,-0.041786967690317596,-0.32732528787466375,-0.005775217196551397,nan,0.4974695298436103,-0.6337567963783897,nan,-0.911274327960147,0.2693677395404993,-0.23840545366445884,0.17457316185667723,-0.3079398244435465,0.06949573821655236,-0.492886978137213,-0.3396575707177267,-0.4356616682085856,-0.27088818113128227,0.39931436902314166,nan,-1.294568504886782,0.15023721856378086,0.3235052870175464,-0.11523440255959183,-0.29562510219853677,0.2314575112565023,-0.15578105661084246,-1.0131266292152163,-0.6434340274079794,-0.4202303437029979,-0.021265741771022605,-0.13556599805460692,0.14019006411053211,-0.09131743270559056,-0.10385636801971668,-0.5297342513202832,0.21218911828876366,-0.5399847752425614,0.021487541018707573,0.12856689321686107,0.27467139994315937,-0.03479551552468975,-0.08219814965740135,-0.232631730721904,-0.1073240982264469,-0.26562856618356684,0.02537631508183619,-0.0053922228358658725,0.010643434877221934,0.02344732659299999,-0.09787052407302001,0.02715222506386068,-0.12187747677012492,-0.0970420014193623,-0.05389224669831848,-0.19616822896882763,-0.10617944918664994,-0.027461274436912396
