# File generated on 2024-02-04 08:55:19
# Number of participants: 10
# Number of patients (dementia_other): 5
# Number of controls: 5
# 1 datasets were included:
# - NIFD
# Effect size betas (regression coefficient of the linear model including: dx, age, sex, intercept).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.04133773781427938,0.008489501301160917,-0.0415653740087491,-0.0013957406090190157,nan,nan,0.009947817643225595,0.0062525205211671295,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.023959911213490333,nan,nan,nan,nan,0.02654406838727934,nan,0.04238248921236466,0.040281440261401395,nan,0.003697003367699101,0.03156591459409531,0.04615780554389831,nan,nan,0.0124171873546425,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.018636734128403026,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0147463214529659,nan,nan,nan,nan,nan,nan,nan
Left-Caudate, nan,nan,0.09281389581422957,0.0703702466772967,nan,nan,-0.036418777160946776,0.003331222157392446,-0.030613067869667852,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0167474713382273,nan,0.006972386292588789,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0032055040489882935,nan,nan,nan,nan,0.030961306990616267,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00920776527501448,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0031721955009594315,nan,nan,nan,0.02207047937609866,nan,nan,nan
Left-Putamen, nan,nan,nan,-0.005417682097511583,nan,0.039817314803798784,0.0021620935637514686,nan,nan,0.003374324666443595,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.011639552406764246,0.005390974115543265,0.004844328037169291,0.01821572536199707,nan,nan,nan,nan,-0.0068992237269910155,-0.011620000782134153,0.011291166381215141,0.06721378701864934,nan,0.03174066600089651,-0.006931271924460433,nan,0.02198665162041288,0.02434583067912207,0.026013170056331705,0.03737882290837613,nan,0.026841221978407326,0.0014802081459560116,nan,-0.054080423441907895,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.013687449845706292,nan,nan,nan,nan,nan,nan,nan
Left-Pallidum, nan,nan,nan,nan,nan,0.051824531070254524,nan,nan,nan,0.014877776163930462,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.03671034330749981,0.03948654197847967,nan,0.054869105764725076,nan,nan,nan,nan,nan,nan,nan,0.05968569199247484,nan,0.032547693822270365,0.0064537413194936995,nan,-0.0004952227311529818,0.035569642134042616,0.037970743137687626,nan,nan,0.0051585170440375805,-0.035382244536816695,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.01733904413364758,nan,nan,nan,nan,nan,nan,nan
Left-Hippocampus, nan,nan,nan,nan,nan,0.04651797859610909,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.011912124059540043,0.00842310701027187,nan,nan,-0.0275313610567137,nan,nan,-0.0018488440477712658,nan,nan,-0.023049854799484994,nan,nan,nan,nan,nan,nan,nan,nan,0.050482165591620366,nan,nan,nan,nan,nan,nan,nan,-0.019627802905400088,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Left-Amygdala, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0022069811316289966,-0.019445164893621945,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.042851983684365866,nan,0.01765436872065434,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.028226020204534876,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.021597447339281265,nan,nan,nan,nan,nan,nan,nan,nan,0.023232301408238225,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.01143511675432371,0.03522044510562537,0.05630183165340296,0.03671715333626195,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.04705241379825192,nan,0.025014406180450817,0.0400210139819774,nan,nan,0.017817481483968486,nan,nan,nan,0.021101131298858915,nan,nan,nan
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.055323030750411215,0.0016414092676734408,0.021148203926673714,nan,-0.05386717251843981,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0013562890884721785,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.03991861710724413,nan,0.028604142079395812,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.030019020067103358,nan,nan,nan
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.06460661876716153,nan,0.02644427121965803,-0.004901389361032348,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.03133450344678462,nan,0.02385405004960125,0.027009438990404144,-0.011576769395726305,0.031909100182670375,-0.045230540957023134,nan,nan,-0.04990370893227837,0.010270688639401618,-0.008248243474811715,-0.0023841163806133363,-0.007227085232389213,nan,-0.032096798851749736,nan,nan,0.02423452996658786,0.005904785152248472,0.016156979483871303,-0.0417646921166275,-0.011945084794131118,0.03409098622795512,-0.020123412887582962,nan,-0.026465663926327675
Right-Pallidum, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.01821097538172354,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05325385466471857,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.03420663589178224,nan,0.0009146547543806426,nan,nan,0.021502565054027048,0.01946863168203766,0.017840745188952206,nan,nan,0.03275716214595336,nan,nan,nan
Right-Hippocampus, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.006330796659066939,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.040158217541588326,-0.0007343915692684438,nan,-0.05272606975889794,-0.027807510445654115,nan,nan,0.020399226590274502,nan,nan,0.019896151753365995,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0033451043791947765,nan,nan
