# File generated on 2024-02-04 08:55:20
# Number of participants: 52
# Number of patients (dementia_other): 26
# Number of controls: 26
# 1 datasets were included:
# - OASIS3
# P-value.
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.059987701816226535,0.023384231127135346,0.06251542115556602,0.504742855766418,0.9588720433252971,0.3334287566348102,0.036233813762234515,0.3474906406340593,0.9970835565797039,0.8426140075194953,0.9052748470999142,0.9476950320556028,nan,nan,0.24214492240057606,nan,0.4888245668037756,0.8583207821961364,0.6835070768002187,0.17075051816129475,0.9528399088224211,0.39337666288696493,0.4953928742503575,0.20546874224998804,0.23399956777101105,0.40185920740719594,0.8829130590773213,nan,0.3639358753286247,nan,nan,0.12316975369288692,0.4348750062451209,0.5118259934797527,0.24305360216759922,0.9984467363675262,0.7176329092043952,0.8324852224314088,0.28633467437044274,0.4483423828161448,0.45577908767934006,0.6003382820331828,nan,nan,0.7008212968629215,nan,0.8924547636691575,nan,0.4007717315397825,nan,0.6217883153738762,nan,nan,nan,nan,0.5019023830702953,0.4198450468935395,0.5123012256857173,nan,0.9358360734928937,0.9003524218054357,nan,0.24040709664996837,0.28516515201583686,0.9190286482021127,0.20744099238967778,nan,0.6763564823877632,0.42733573928416124,0.725351209003237,0.26398739914516517,nan,0.9936024673143342,0.5873436424659187,0.22942294951788664,0.14793583710643401,0.41845132889535386,nan,nan,0.13375336077893155,0.1650734978224259
Left-Caudate, nan,nan,0.8068188439513944,0.5947885907054813,0.24920539182554588,0.013705037942788802,0.6898346430537665,0.06479715728241175,0.5742199658676593,0.4548494653503994,0.15007222390919633,nan,nan,0.2665557444382742,nan,0.9079076999351062,nan,nan,nan,0.558349137102299,0.7965144280828982,0.04488245419864241,0.6413006222593385,0.8291994958006121,0.028121081914338663,nan,0.057752369149792634,0.9527735036749267,nan,0.3723138587397785,nan,nan,0.9773027918993582,nan,0.2994487505007009,0.42202447550196986,0.7605764266853018,0.4272792539417617,0.47693744043502384,0.7840237803504824,0.26046108206935,0.2639416169888151,nan,nan,0.742911867560902,0.9975248409198376,nan,0.7947973866799136,nan,0.6716395089627998,nan,nan,nan,nan,nan,nan,nan,nan,0.4855746894339207,nan,0.5403490340157692,nan,nan,0.3466036564163431,nan,nan,nan,nan,nan,0.2586313984936034,nan,0.9844373371789203,0.8354195868278101,0.13840770918911377,0.880402540570771,nan,0.7051140199953014,nan,0.6871528154817799,nan,0.5891086705804649,0.16607272847847904
Left-Putamen, nan,nan,nan,0.1448986145716438,0.18744383466700448,0.3271227473541095,0.3841640941989094,0.7156058616742476,0.006178248768729949,0.9883024507769366,0.6781633446478201,0.8669996895652621,0.1645769215307057,0.5100196190233597,0.42021013783876016,0.9561609565863117,0.7853308697429113,0.842473463109267,0.20191824090639796,0.7243281402574772,0.5143861880076167,0.5771841653148932,0.8438282192951833,0.10505886462786433,0.7455622973754434,0.2993774334445239,0.9081513086964388,0.37222527114146253,nan,0.5606062479285358,0.711295994448813,0.01314558785528557,0.1829870292955701,0.6226240429612837,0.5942218081716975,0.3507743631785398,0.9956679086780377,0.7963948873868638,0.4604798246076187,0.5616250069081331,0.5035143794423114,0.3146895117234132,0.6175332184760582,0.7020139154415421,0.49472369402220984,0.6884126295783539,0.13064780738356513,0.7555568767817835,nan,0.6142267285603151,nan,0.27854003489596835,nan,nan,nan,nan,0.5166633668237448,0.806634405798859,0.7767142282364543,nan,0.44224233543422664,0.7774014427404986,nan,0.998027045782359,nan,0.37844807123435464,0.12484092835465245,nan,nan,0.4075119100643274,0.5895641408349616,0.5234094453011604,nan,0.09864817274257105,0.47071062118515994,0.20663851659706356,0.03389654525659873,0.15615031127664128,nan,nan,0.4919646967959548,0.08487013072173863
Left-Pallidum, nan,nan,nan,nan,0.9171163185101631,0.16224359357500942,0.7403006813499609,0.8588554147025769,0.05102702285273411,0.7159232567015228,0.7995962908027329,0.8701914960803332,nan,nan,nan,0.9440027362624008,0.18678438314018447,0.7082856487383338,nan,0.3078756030026048,0.5155861965504485,0.2534265354207381,0.9699066886315804,0.3204498685456183,0.8203773355358156,nan,0.23133496291873334,0.43423729022418023,nan,0.27143608663131935,0.7649407457098415,0.7128734337515825,0.15141407783138758,nan,0.9629380348938841,0.4438081481374333,0.7379268887580674,0.9212064396850148,0.17467861792604497,0.7861725091414404,0.6974783513915214,0.4303235515468459,0.257358548756159,0.5418032566794206,0.27400459701840896,0.8109575581972617,0.10513703747888833,0.5774159995885549,nan,0.8524242574305619,nan,nan,nan,nan,nan,nan,0.8385917385043234,nan,0.826003177601045,nan,0.09152511821865277,0.6858780695326643,nan,0.2524254666287556,nan,0.3121918358326944,0.06069709306856859,nan,nan,0.023003363301563735,0.4593617875757654,0.6155771392517406,nan,nan,0.5476349240541057,0.14091458319715974,0.1723248234419453,0.712581724129892,nan,nan,0.7964553577801994,0.10551043445865797
Left-Hippocampus, nan,nan,nan,nan,nan,0.04599579717315798,nan,0.6432437761118124,0.41846232460350763,0.5414650029978376,0.6310056972474857,0.4121979564165049,nan,nan,nan,nan,nan,0.7320182458514026,0.6924083281749873,0.5876736506078324,0.9271452401564332,0.7059414592110711,0.17333587785247334,0.2985031602277714,0.03057038029173743,0.6134266253199775,0.20381527310637046,0.16337972291570704,0.5845286117745825,nan,nan,nan,nan,0.592035322611195,nan,nan,nan,0.8120519997868199,nan,nan,nan,0.29402025641284923,0.42055053193270064,nan,nan,0.4286565412295126,nan,0.20058289573072072,nan,nan,nan,0.6808764069406007,nan,nan,nan,nan,nan,nan,0.9058250024489813,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8775078027940738,nan,nan,nan,0.0010453060732107103,0.9040364501300473,nan,nan,nan,nan,0.8277839068486947
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.04701385670754201,0.6172279805155254,nan,0.5512023211262317,0.2652769393926411,nan,nan,nan,nan,nan,nan,nan,0.8976664611189276,0.38740112923563685,0.8090465085079579,0.7184041484810368,0.9415619170769576,0.3048354241742765,0.5901442499008576,0.4956803120536313,0.12141755851673361,nan,0.7983569543101485,nan,nan,nan,nan,nan,0.9078976669839603,nan,0.19854371593386524,0.21109337735898073,nan,nan,0.07792507479669665,0.5247209749823091,0.20607757157191112,nan,nan,0.49458298852526295,nan,0.1992247809483904,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.010695776581526092,nan,nan,nan,0.005740013054741574,0.7562680015329984,nan,nan,nan,nan,0.675124295890739
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,nan,0.39030600931183956,0.3992523409797465,nan,nan,nan,0.6711226887983346,nan,0.6469913365107898,nan,nan,nan,nan,nan,nan,nan,nan,0.6643375166854594,nan,0.9864242057074581,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1366295051864115,nan,0.9073933962268403,nan,nan,nan,nan,0.11225363508960969,nan,0.37272411567689945,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6028170599167828,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.24444958129397346,nan,nan,nan,nan,nan,nan,nan
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.04462954731570595,0.26786161430971617,0.33127337437806637,0.16151824229725467,0.18189952635221562,0.6830394646782896,nan,0.7451471303310082,nan,nan,nan,nan,nan,nan,0.9359979671363216,0.08966409675994864,0.8443785436149263,0.5675635329774966,0.11165000754423395,nan,nan,0.9607474470161999,nan,nan,0.976759409314582,nan,0.502302466852135,0.8735403562697833,0.2381037420952665,0.9419503938499421,0.6583554329376586,nan,0.16219412859009869,0.5914718517874031,0.736250829556635,nan,nan,nan,nan,0.6348237887627255,nan,0.4491312093981945,nan,0.35787716204384346,nan,0.8533175964365078,nan,0.46559638790649416,0.9858677453780555,0.14407545082067197,0.44503905366594365,0.8138712100122871,0.4786466810753742,0.54279007028014,0.6677432907028136,0.6158982098491214,nan,0.060457073247482195,0.3051746139705853,0.6314940878425621,0.5864718119899763,0.12241343166887293,0.6097551516422759,0.2750760387361203,0.3440004839359795,0.32641156951653294,0.8673288814486646,0.920237312204516,0.5414011943902008,nan,0.9608110633323291,0.4487159100901168,nan,0.5005310615462275
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8324512200160303,0.25490052451947676,0.8659737657363966,0.15177544183899014,0.5668533713399518,nan,0.19525509904078847,nan,nan,nan,nan,nan,nan,nan,nan,0.7912601985496304,nan,0.3046702762156694,nan,nan,nan,nan,nan,0.17970476124727464,nan,nan,0.2363095300461375,0.8588625489200562,0.8173942387757069,0.6463964849144992,0.03241012382030623,0.05789520568033331,nan,nan,nan,nan,nan,nan,nan,nan,0.6870129178130467,nan,nan,nan,nan,nan,0.224792059067614,nan,nan,0.8950991668560984,nan,0.1307874340156414,0.16163895350447405,nan,0.49917429593668905,nan,0.01041733616785434,0.21720989419691206,nan,nan,0.05580914075081165,0.8709591719570741,0.3030107265004697,0.40664143567720346,0.058375725196737914,0.846133729021276,0.4714823687418941,nan,nan,0.028540019250820572,0.06347603017782825,nan,0.8144995568061111
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5694448635701084,0.013822567681207721,0.4647670099275355,0.6687780759453994,nan,0.3383724899122694,nan,0.11656073498129206,nan,nan,nan,0.7483509071014125,0.5477107544917329,0.7745690691754188,0.8881913894478676,nan,0.9906044377090542,0.4752993215290512,nan,0.3782764698255974,nan,nan,0.08050535167576876,0.9657676196779978,0.5573250535253236,0.41163951760598927,0.5430370178098757,0.8712754156461144,0.8658670011836613,0.26860784933761445,0.054193418401438466,0.5121762119465048,0.3552663707199947,nan,nan,0.660750432621108,0.6037304443835985,0.7043543324485393,0.1933790834110192,0.7460623321224722,0.17528672671367576,0.016006824454171738,nan,0.34320887593097793,0.7619482203736421,0.6161000659923863,0.6953037283922711,0.3285986761541482,0.19575722624084227,0.1911542371979046,0.9361563891407995,0.10270012534650198,0.9185886396154974,0.6576635552853513,0.25797736789027903,0.29999018860934396,0.45801392244924777,0.6311028831184337,0.6018164077834672,0.4882210827339626,0.5406716769410185,0.5115178109840982,0.75281893722592,0.20518274928241761,0.5215688699658201,0.9155832621349369,0.8340187088661861,0.9578338017886951,0.07525326938266527,0.9750374729940562,0.8245906410081517,0.4459422880924815
Right-Pallidum, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8071475296944223,0.9763130662997392,0.90011235275544,nan,0.3776594176879844,nan,nan,nan,nan,nan,nan,0.5544219248122622,0.8345467492632002,0.7962199041565265,nan,0.8994277644942231,nan,nan,0.8674215513766558,0.5875570945108234,nan,nan,nan,0.7706967223035344,0.9381756490860418,0.5154623472317235,0.9623832139951922,nan,nan,0.12351117844781064,0.457030920526897,0.3185798557419373,nan,nan,nan,0.3617498264559635,0.3951331024958541,nan,0.24732296771871082,0.8683761910561922,0.17538753935476753,nan,0.9089932494033188,0.8079916927711229,0.546338959634634,0.4761737450725827,0.052846412218802825,0.7360201813209226,nan,0.9338139492247753,0.22911010693723102,nan,0.9151016713475548,0.39302481296394043,0.5203228081909879,0.9788140719022104,nan,0.4551592210262725,0.15955334666564766,0.7786283569658048,0.4724210078287935,0.867968916277797,0.1451927636862748,0.5393333296496599,0.9950222158655777,0.9074224157987595,0.8528798877753833,0.10061508098058211,0.2119496254234267,nan,0.941543933574423
Right-Hippocampus, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7386019092615488,nan,nan,nan,nan,0.4818864637616094,nan,nan,nan,nan,0.20321607188400562,0.05208325561715202,nan,0.34722650214514095,nan,nan,nan,nan,nan,nan,nan,0.2959803321535764,nan,nan,nan,0.9774918499635696,nan,nan,nan,0.11743358864198031,nan,nan,nan,nan,nan,nan,nan,0.6075658349750763,nan,0.12156513003297643,0.7654902323662663,0.6327926848365846,nan,0.17863430253209328,0.31045748726076955,0.8864124889732953,0.008017330930081976,0.24493586092471484,nan,0.5555447112371711,0.9545926216347538,nan,nan,nan,0.9716200034881775,0.24631227117355797,nan,0.5026362599894734,0.007256558828773564,0.7990806979316591,nan,nan,0.8208743822237815,0.7048167105215553,0.49750004484756283,nan,nan,0.6168131303880422,nan,0.7311386305135046
Right-Amygdala, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4206063734420252,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5478129304733407,0.735424707097985,nan,0.20098695698733038,0.6303393900413459,nan,0.7261145245418728,0.014485277184861069,0.8868504299028803,0.4167764467526104,0.15921847733792038,nan,nan,0.05545841485930773,0.24613451903449263,nan,0.2906767251397998,nan,0.3871414779169551,0.02554435277500655,nan,0.0763361054114401,0.9474887647674145,0.8677603474428099,0.3763821161557316,nan,nan,0.42243598248298897,nan,0.12511525171660948
Right-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8858354152752498,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3359670664849649,nan,0.927563865882495,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.39001744538356475,nan,nan,0.955285958348056,nan,0.44633478950218,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3380444059851909,0.48357084049236687,0.6821165877438748,nan,nan,nan,0.9183754181038828,0.8814711404833786,nan,0.7571785387323638
ctx-lh-bankssts, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9994353154856416,0.6882544665376611,nan,nan,nan,nan,nan,0.3035057545898282,nan,nan,0.34778722911525595,nan,nan,nan,0.033983424376588627,nan,0.07929796047538158,nan,nan,nan,nan,nan,0.1712465142791352,0.39548158123780197,nan,0.25561554120487257,nan,0.448295653299713,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ctx-lh-caudalanteriorcingulate, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.23326673972782272,nan,nan,nan,0.29693282729255055,nan,nan,0.44077031189195504,nan,nan,nan,nan,nan,0.1375832204214624,nan,0.09835319654874237,0.6383632781787811,nan,0.29837595497124747,0.9613759740232022,nan,nan,nan,nan,nan,nan,nan,0.12818920841335574,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.33637959708429455,nan,nan,nan,nan,0.8080269822898752,nan,nan,nan,nan,nan,nan,nan
ctx-lh-caudalmiddlefrontal, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7353123341991341,0.4146482605676106,nan,nan,nan,nan,nan,0.818223024520988,nan,nan,0.17572184084589867,nan,0.16842431805398647,nan,0.2689895581474964,nan,0.07554516438881405,nan,nan,0.33098602642415453,0.5089224503560771,0.8610449506739455,0.024600305799073935,0.5803766963879617,nan,nan,nan,0.7154109431795304,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ctx-lh-cuneus, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4985723794538981,nan,nan,0.5080083615751274,0.04693302107314037,0.1880817090184432,0.6569903137643516,nan,nan,0.5218486669740925,nan,nan,nan,nan,0.9316002239385677,nan,nan,nan,0.4414568826518842,nan,nan,nan,0.63324805398974,0.023102115626229037,nan,nan,nan,nan,0.044776149483710934,nan,nan,nan,0.7959503726578958,nan,nan,nan,nan,0.8077931470497557,0.6437861489085348,nan,0.25729270407083926,nan,nan,nan,nan,nan,nan,nan,0.19042736177325528,nan,nan,nan,0.591281980772556,nan,nan,nan,0.17956865211349277,0.6780021752972445,nan,nan,nan,nan,0.7661382888887619
ctx-lh-entorhinal, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.025592299402695307,nan,0.1559392956376827,0.639488646548434,0.03848289589528279,0.4313306063355986,0.827428833220396,nan,0.08672875151311644,0.7856761401745298,nan,nan,nan,nan,nan,nan,nan,nan,0.9068503900189199,nan,nan,nan,0.5788737315580368,nan,nan,nan,0.40007837040357774,nan,0.26395957692205996,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ctx-lh-fusiform, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6427473553586097,0.44677123686952147,nan,0.8423462897815727,0.6398146475994415,0.9197989191156735,nan,0.9097795057436062,0.99057028663559,nan,0.6826160885136898,nan,nan,0.16893862370598953,0.978452917544555,nan,0.3918481711243248,0.3354549426324922,nan,nan,nan,0.19226626137305639,0.4423291727866072,0.6699737295938171,nan,0.43953362971484955,nan,0.21037358969752107,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
