# File generated on 2024-02-06 23:09:21
# Number of participants: 1732
# Number of patients (depression): 866
# Number of controls: 866
# 5 datasets were included:
# - SRPBS1600
# - Depression_Bezmaternykh
# - HBN
# - MuensterFOR2017
# - NKI-Enhanced-all_parts
# Effect size betas (regression coefficient of the linear model including: dx, age, sex, intercept).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.0358299667937964,-0.015556369908353506,-0.028554120319466945,0.010796990684398527,0.008486516290847328,-0.011438105949930489,-0.02128384116826385,-0.019699071214185186,-0.016979132541574272,-0.025391815226500983,0.0043437136701821805,0.01963633767342164,0.0015110617396735763,0.016302247372773908,-0.014723279669661606,-0.007333637827278697,0.010993356853942317,-0.005524671027098516,-0.0033162779778725428,-0.005075095315252359,-0.0024161792307863614,-0.003935551936487355,0.01888490591966016,-0.015900528942932163,0.001985006104024598,-0.01023651081901429,0.0009059832030015902,-0.014992520166599207,0.03532301795911221,-0.005570759548414132,-0.004303105747228967,-0.011545703736609618,-0.018328936334879087,0.04523728754112004,-0.010347191341145501,0.027961632018822673,0.0010909460727279493,-0.019549608199687103,-0.01425564658504712,-0.004624195021891694,0.012472503673813995,0.02390282210567361,-0.005248505769106086,-0.01262821220847864,0.007535652839989475,0.020947849197591083,0.003665196083619143,0.01447198632551969,-0.016362786956126647,-0.01143515279094241,0.016868906925653872,-0.01903068223158244,0.0027042087685566272,-0.004187902535309062,0.0029134269772130737,-0.0018549905593860077,0.013207191034974912,8.514794767054115e-05,0.012897133908626983,-0.010221347429940767,0.004491724248196018,0.00040570527257412936,0.033604864981198045,-0.0037681571586756606,-0.0048779738355745755,-0.006233135953084955,-0.020088299818873865,0.04671517398845247,-0.014410724159202868,0.027567240817299683,-0.0023267486813686195,-0.022573529901499058,-0.012751038516184449,-0.011277940042129637,0.0205336562755766,0.033664485082492805,-0.007150631904046717,-0.012427511800846919,0.006795298794846451,0.014158954749305484,0.006860540163102464
Left-Caudate, nan,nan,-0.02770170577972317,-0.025557743377723232,0.012749934067187912,-0.004238926980240531,-0.013611705605613582,-0.03353014683050171,-0.0114955979512698,-0.028522252624676094,-0.021683369952984817,0.009368104399284169,0.0005139413870586811,-0.004103057368454403,-0.004479118181877029,-0.008066572880101602,-0.00503784408219006,-0.004329994896184841,0.012418357862939986,0.00592331132556726,-0.002217844266680091,0.0005529006703922147,0.005796872264595008,0.021690272975554252,-0.018438545898539473,0.008299472922579773,-0.0012009851575534745,0.003990741950617261,-0.0006236004654844374,-0.003588374291340191,-0.016026860798033827,0.0022393635125720944,-0.005766769725388431,-0.00482787812622914,0.01147763112913948,-0.010789132004857954,-0.011100628042690956,0.010393840343628755,-0.0014470643695820747,-0.011708940147860553,-0.008065988851819823,-0.0024321282449051495,0.008909093319146166,-0.011491178742285734,-0.004585010624457434,0.004741822183016238,0.0021375520916769647,-0.005709670475774207,-0.004507384902124211,-0.01402550976947947,-0.011404418586122657,-0.004726581338875325,-0.003915920803385179,0.006215811813631829,-0.004044644289271282,0.0005600784625217014,0.005109756295116297,0.017049322623684176,-0.005868541005860034,0.004546182569936547,-0.005379456654653771,-0.0067505641682626535,0.007638364038445264,-0.001513356115912351,-0.01610683388035199,-0.0011624421782538143,-0.01924157888482881,-0.009804398403996193,0.013641412385743975,-0.010268205917865005,-0.0027464695767795626,-0.0004051852717533902,-0.012439886662817277,-0.014709317958194516,-0.01665098444626204,0.0011947592545610496,0.008422520490599099,-0.015734324420561198,-0.006206340224627363,0.004116658421327979,-0.0016270510389395608,-0.01378221445672245
Left-Putamen, nan,nan,nan,-0.02682114851911279,-0.01134627045593746,-0.015538871877682846,-0.01185728265840108,-0.015214211153410923,-0.017349683240318162,-0.01487247129718061,-0.021373956782936687,-0.011488248893348964,-0.004141288477757522,0.0048913964459959556,-0.0059160158144540035,0.00801262360077658,-0.02555791518568472,-0.0008518957977700775,0.01130025304089664,0.010592639571649088,-0.019903344154390153,0.00575109393433804,-0.009929785662912567,0.02542043401089101,-0.0212596582346063,0.010495219341616315,-0.023815558838658664,-0.013305401173710292,-0.013445316079829264,0.009618741019321241,-0.03280388344321085,-0.012835188390336502,-0.024003835768395397,-0.002941270516213451,0.01983929116042881,-0.014356726823391775,0.006098973697859263,-0.0005124498067203974,-0.02155697998117675,-0.016353759914773638,-0.024778263818487502,0.017260700903156657,-0.0011762056488994817,-0.01231873388060596,-0.01253757777002253,0.003586439604122475,0.0036134768960758177,-0.004503919121712865,-0.004693518949335175,0.0036943406307431248,-0.017223201707758127,0.004383175183766341,-0.007410743509258971,0.013460450290912295,-0.009565982699371488,0.011766163289250627,-0.006152242856077312,0.02959622144976503,-0.006190893152117515,0.012867989368502355,-0.02235661437810554,-0.004594052100615693,-0.005022696167320089,0.015745278885685658,-0.007565748227075025,-0.0045391217336186954,-0.009087048275794402,-0.011853217778660025,0.02807801905244463,-0.0013019703430067401,0.013407782829163982,0.003979155249117757,-0.016859112697145264,-0.008516754432735987,-0.018948144963288643,0.02609874272277713,0.006673365764981493,0.003456640856568825,-0.0014954144999648877,0.015036976390771378,0.0015029369796208563,-0.005740943612635313
Left-Pallidum, nan,nan,nan,nan,-0.02131754073829605,-0.004494409424802872,-0.022442163767620208,-0.02944110781256819,-0.024284671175119524,-0.028798521989075933,-0.020492672611987495,-0.01935616325239599,-0.0030169799252924034,-0.013086221150868169,-0.006380258285575501,-0.025513191245715352,-0.021531896856765504,-0.002154501203790968,-0.0065794534170530265,-0.006296145963937923,-0.019210191239155607,-0.010727286633658272,-0.013155415589581033,0.001703878684579946,-0.027709132910913512,-0.006792318247326372,-0.030241274554634767,-0.008339956935962756,-0.014986464458777738,0.01690522170991354,-0.01936421310869663,-0.01227333148462231,-0.01539321276495898,-0.011702222915762261,0.013655601390800317,-0.015055613678791864,0.0019843045624953594,-0.006500342877039775,-0.020330296409392185,-0.02206816501025981,-0.018245148650852753,0.00014999220734171988,-0.008906603441842261,-0.024459264815962767,-0.0031856339668957794,-0.0036919599103498097,-0.0018544609289961914,-0.012514486999668735,-0.006365967510461002,-0.026260106650010877,-0.018675567831314705,0.0041423098614266065,-0.0055587257284753526,-0.008589919596065587,-0.015145554126444895,-0.0032239549468697803,-0.013743080810007066,0.005747450699185349,-0.02106742456082537,-0.0004815209044393984,-0.02549569516301742,-0.010774954516588263,-0.012869608790081298,0.020433458409498086,-0.01946849295810504,-0.021284002063902845,-0.018533464799570177,-0.014346357497055493,0.01682075114836603,-0.008646637141395914,0.003292468246740296,-0.005741303515025726,-0.030220271018255758,-0.02846147737298362,-0.022017046169565617,0.004805293618616162,-0.007699231433623316,-0.01415188965772883,-0.008275664905687263,-0.01141016896537053,0.001222847710856295,-0.014720324833402323
Left-Hippocampus, nan,nan,nan,nan,nan,0.001842467923149669,-0.005611691403218456,0.010263883215182476,0.013892750245025476,-0.016622424105740337,-0.01657743867001687,-0.004572874710814404,0.004865041698555666,-0.008992783246309298,-0.0053695606235557155,-0.024048369434388636,0.00886910415238796,-0.0073422287219025596,-0.013475307258909216,-0.0015479759846323941,0.01322022608557836,0.01263129182420837,0.0019073298666736171,0.012043448911191934,-0.0014413985807272662,0.006377710779777113,0.01131166507611251,0.012081340696443208,-0.009739207039416227,-0.017134945362036795,-0.013422039056103814,0.01374799702112626,-0.009602502034093272,0.002582016309159502,-0.0172945738088312,-0.019132700969523506,-0.025773290585060265,-0.001509299469245023,-0.014153741143449661,0.01063303051942622,-0.015145965661526739,-0.0040174653988734885,-0.011732623474683294,-0.0095526957111599,-0.0023581971810494574,-0.0031250727775841334,-0.019602497922161913,-0.027906024119822813,-0.017541835732719602,-0.030432558971767096,0.0029265475912509855,-0.0015684274128617737,-0.0012764989692094684,0.00025232077306504676,0.014599528308304192,0.012863489899395604,-0.002965197629678569,0.006184849914903546,0.005294489917436007,0.012209288749532187,7.641324388662054e-05,0.016929435941077882,0.0019027828263928528,-0.02758758517933575,-0.01562524291900162,0.015494324539278608,-0.005481269542527846,0.0019336561698589775,-0.014434900701219527,-0.026974446000430433,-0.02557966878225724,-0.00554327964306938,-0.01914361938066753,0.008348454868584263,-0.012287723007567784,-0.010263128686695143,-0.018214443085545703,-0.019879640438795077,-0.004700467032280675,0.01208264288182064,-0.025255930151528036,-0.032320731436802384
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.013377044263018329,0.009181034607920366,-0.0004652784437329092,-0.013358095643843266,-0.002921919575493527,0.0062592149745102355,-0.006231023754584149,-0.014537864943198059,-0.01770522049762475,-0.014477530149980024,-0.004206426283917682,-0.013707762668154962,-0.0019335373983554117,-0.004283669635808004,0.00016169736275443406,0.014112463912839261,-0.0159693301084963,-0.0006310359388069801,-0.00015924031194153402,-0.004449288974876845,-0.0020158775644001908,-0.006197682884486872,-0.0010392552166855714,-0.015409816744145622,-0.01845203960777022,-0.006638761112029433,-0.019872813999354585,-0.0018098884508141726,-0.01182766611968119,-0.019639438958337987,-0.01567883588830049,-0.007725152976899801,-0.025546309559004818,-0.007474544349660353,-0.02822447156007531,-0.00036931713291331406,-0.01913573272990388,-0.006174049390594119,-0.007739557799893076,-0.0040302769961260655,-0.018863822468506136,-0.01100762598014507,-0.01389768572508328,-0.01402156359150951,0.006314912348551363,-0.01584598164311751,0.010889569915421273,-0.004702828740715647,0.009197576502006366,0.012101127850855735,-0.014003221297354058,-0.00849376118124302,0.0021829585455341717,-0.0063160639350789225,0.00041784755505290246,0.005510591200055069,-0.0033881420764161445,-0.019976627197920357,-0.007444830517193182,0.004982034533550287,-0.004906138760571018,-0.005076595602843125,-0.012740416545422722,-0.011779234824800614,-0.01793311312541681,0.000522485565780441,-0.020878949931569798,0.00812314627575182,-0.014006956396016111,-0.007049510008909611,-0.01950240323824343,-0.0055894172100019925,0.0005745595282323077,0.005414499385884664,-0.015680496446236224,-0.008806466239573159
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,-0.008624711285520595,-0.008494270524043846,-0.015293788375814394,-0.010524680564957874,-0.011711314247029881,-0.016784926832267247,-0.00715012208225162,-0.003074510884806626,-0.0009393125013479437,-0.009890115565459474,-0.008038754824297141,-0.008892389424631471,-0.0075126885537280625,-0.009970920616016574,-0.006865341736380843,-0.012182064718297693,0.004443128307319338,-0.02046803580801331,0.004832568060169216,-0.021906031722548923,-0.013221769469460682,-0.012782089054891557,0.006919655588121168,-0.012545360578188657,0.001037897661680918,-0.019148141713551132,0.00892934170873963,0.011854956438156778,-0.0031188806612595142,-0.0005518898068720471,-0.0009290475733987946,-0.011865403991464333,-0.0009074560201955658,-0.016739586617437678,-0.00023753878313163485,-0.011670451731824629,-0.003296781637994845,-0.0024744620363188075,-0.025760405057741808,-0.004180081967146697,-0.01107762260685833,-0.01273316867841499,-0.006014224167746665,-0.011477206791185149,-0.0024620018134232685,-0.006784993428211139,-0.01143017479712204,-0.009309090760372908,-0.001844760649681865,-0.016421234620762386,-0.001305546317528991,-0.013086590896934525,0.00018191845589810097,-0.018435276964183515,-0.004559986660463677,0.007366487352544302,0.0022704539278104565,-0.00793928448758131,-0.0027827245220845313,-0.013509423592359378,0.001492533519686918,0.006362940916544394,0.004131683561576477,-0.0017247888271019226,-0.006831435537657219,-0.027579891293352015,-0.0036761585874901417,-0.01563841328591358,-0.0005360246070865894,-0.015506480952630717,-0.010340751669601845,0.007048544773458731,-0.01209642506791491,-0.008047821452198567,-0.013755085708132626
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,-0.0223170960909156,-0.018871823350068425,-0.03305749788364477,0.007814037706030374,0.021878414334823577,-0.001549592236525137,0.017117805605825074,-0.01505072630903306,-0.008329142711251711,0.012070991514901498,-0.003312715615422619,-0.0035944403142454573,-0.005831659904095785,-0.004492377906180131,0.005429315137538901,0.013981297547150127,-0.019741099537041708,0.011365652656864879,-0.009414721277710168,0.0012427909033306808,-0.012937634077891804,0.0328017999890879,-0.011145357367270257,-0.007988099828297384,-0.01697373567866063,-0.012308940591141843,0.043588077376560404,-0.01413063955159887,0.023743628226728482,0.005260518477473958,-0.024735805008625447,-0.020198494885299966,-0.01193228286123155,0.010717609597199796,0.023848501548282587,-0.005843119391662654,-0.01918852780136995,0.012143105284953132,0.023567653514988855,0.004080730215636487,0.01523835171942864,-0.01696048629743417,-0.011898413331203232,0.012291649686770096,-0.014897058579717449,0.00647064206948485,-0.0057540316164150715,0.0018339087165337921,0.005566455504572293,0.016396832889209182,0.0013444667340311342,0.013939214954215823,-0.004383955667960997,0.003993616831545218,-0.001284773501383635,0.029918598648477783,-0.005758792581350549,-0.005128249580184393,-0.007063330199965042,-0.01496592751822451,0.04417057697596044,-0.017317904867114462,0.024293966084875863,0.0020077751161270527,-0.028013395351169992,-0.017109522343591158,-0.017690491768196766,0.01530798834076936,0.03679599720174796,-0.008421093094630069,-0.012136361186337473,0.008342839521165536,0.020509515065973837,0.007217144850748757
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.02091802632733263,-0.025338766433440414,0.009093772858271043,0.0004597636201901958,0.0018298942942444579,0.005504026991535759,0.004226919789573575,0.0003073648939703326,-0.0015359582064491163,0.007363614812184068,0.0014453759554606135,0.0027541498147598373,0.00640452359421289,0.015058957373458364,0.024363922126842158,-0.007365167414332895,0.008456401363688571,0.004904806398095163,0.004184812020028514,-0.0078046165011616455,0.010012882397273321,-0.01080813600194297,0.0009094729894005687,-0.004598829389627195,0.0012267719272576235,0.02219142902264483,-0.004323692089138158,0.0008241062206464469,0.015864740716350394,0.006727847864857971,-0.0037469230756732703,-0.00031443984644965675,0.004905542655846524,0.010373828330902201,-0.006016603103640978,-0.009107866028808765,0.0022273868140019084,0.0055265482455675525,-0.006049939358902151,0.005410255522779507,-0.00815753183264769,0.00047625993801579447,0.0019072108733432648,-4.262003292726678e-06,0.006173660610341197,-0.0010055065538413228,0.01031271811955132,0.00621709620683012,0.02264284162837425,0.004964226359246506,0.007892871237995614,0.007999870006833784,0.008171701857634207,-0.0014109431187546606,0.005997923124401397,-0.01240438926835866,0.00472681903115742,-0.011957297313535507,-0.006553958185635823,0.027112969729064244,-0.004114433949515721,0.0023539273222532987,0.0032733291093711963,-0.0008167887812852342,-0.004748337798854135,-0.0037775316790393744,0.005565219889602454,0.015259318900742978,-0.01059918726225884,-0.007781234159840277,0.001000277264112015,0.004570230920658986,-0.014618797391988039
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0200166843901455,-0.01992259208100441,-0.008531847150116763,0.0013126046713610852,-0.011543638464076455,0.004086126672182364,-0.02509253402487549,0.0027429993254876623,0.015947459341021087,0.004713842361666886,-0.02134438578224709,0.0006634513829038958,-0.011628387750924419,0.02072275625802842,-0.02592284649835101,0.008728592949547698,-0.027188183853088004,-0.01205528743098587,-0.011943203076311821,0.0071991648666407376,-0.027455333548076714,-0.014621403335737701,-0.018693139977892577,-0.007070090585117944,0.015879269599050828,-0.015654793002471475,0.005716401377743648,-0.01072587416210257,-0.02299026864114155,-0.022683541876465298,-0.026259372229212843,0.006426122179774158,-0.004072029006532023,-0.017465456646623655,-0.012873806251696799,0.0013146221566959803,0.004035622919188023,-0.003496601964707212,-0.00756426372906559,-0.0018229014147995968,-0.02428427620657437,0.0011961557839645746,-0.013570543957980009,0.008582842137761396,-0.018754174632696078,0.0016352446079429283,-0.009526954768710055,0.0211713712842095,-0.015662683451259513,0.007718386158426616,-0.029143711305676882,-0.010346632336401634,-0.015712427144871914,0.014311334053831982,-0.007859971801811421,-0.005454204330428281,-0.009876814175157591,-0.010409886531908356,0.02027532616003348,-0.0069963377085407695,0.010473174038788448,-0.007056634757666236,-0.021844623330752225,-0.0163356662144344,-0.02549545772913442,0.01218129887292141,0.005123672767659803,-0.007346264040335483,-8.815037487143386e-05,0.013020328972194177,-0.005496949518015304,-0.004257244559655556
