# File generated on 2024-02-06 23:09:29
# Number of participants: 40
# Number of patients (depression): 20
# Number of controls: 20
# 1 datasets were included:
# - Depression_Bezmaternykh
# P-value.
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.6153887970844496,0.017403113626053866,0.3231702803019425,0.6369370242307033,0.3612421528643366,0.9401218939873852,0.973440116974509,0.7281993961136424,0.13693905454205493,0.7845652901800194,0.3743693177249081,0.7839728412984748,0.6332347642693985,0.39312086963692816,0.9673042277198518,0.6122179167965734,0.003662126650127259,0.5634212622088817,0.0011986646375482634,0.6445888429849675,0.7006342640928243,0.6388213934045297,0.3213497195088012,0.9218202098734587,0.020901901033749747,0.6892098097213614,0.14005335500376878,0.6845738919499764,1.2346553709739448e-05,0.20904569245543048,0.4372709923667035,0.08713399892351037,0.03664842044476444,0.008183529069546789,0.04678966713126017,0.01975016113930721,0.7814009387488722,0.6886731837316071,0.2585788277557409,0.2542841840664631,0.024287834391577674,0.05266052007629333,0.2213376097737917,0.15645557164455556,0.07468557765102879,0.6556709665177993,0.10287257597654526,0.03118441044494308,0.9429909934144162,0.04501281928006526,0.011620802547117838,0.8680569993528148,0.012802597741253788,0.8593572605981694,0.8591681245223317,0.6444922114138819,0.26079584526670685,0.9067743145960871,0.03200433261663367,0.4654897132649567,0.46844589837324935,0.550901163818062,0.0014826910435493004,0.5504659216223805,0.7159435756812178,0.7537684086207086,0.03175295006729838,0.0035630733293919516,0.2864455106174065,0.00024897251208237073,0.7076888235485459,0.2913285413265733,0.17250481434364373,0.3686166416566201,0.018836675100354177,0.06577517352788648,0.019587920439874073,0.25350457964106565,0.056556339188530834,0.7106669503273786,0.1912203787147941
Left-Caudate, nan,nan,0.6631255803835645,0.15941642807322717,0.26961612849700095,0.7085086067434714,0.5219462982489891,0.8697344747365034,0.8612553004853436,0.9901138200572166,0.9323445606296521,0.5935153694967463,0.8312523931868887,0.2848357115790173,0.43029448843178353,0.9224672422806071,0.37924207491794404,0.40983466557734394,0.5356545401721233,0.4646077817088571,0.6293846792155535,0.8845466290393179,0.9195451851749856,0.3197189853347294,0.04988897732936197,0.8645364850807349,0.6745790899587873,0.2911124771710227,0.4262022432875887,0.18280775805065444,0.6858439577073312,0.15023224013558636,0.465189565119025,0.3895057978191623,0.08692167924488343,0.7484301674321823,0.19957744854679388,0.9299964389204451,0.8447115245849095,0.7250754331277742,0.061590522830052376,0.5323466987039208,0.7958748702092857,0.1693642231520321,0.10226534002611366,0.46901579619669276,0.11217060635034927,0.5929887189115852,0.7423655669071412,0.8515674443684589,0.22202229450585176,0.6092497546617737,0.9251566746707072,0.6875327227491764,0.4870437311960536,0.9635447400022037,0.4111276013127799,0.2860260076531105,0.08964183090897634,0.43432846808348424,0.23797541817207984,0.10907397054271536,0.11811491220698475,0.1489558980249858,0.5234035474477838,0.030901395926063117,0.37751477334892114,0.23108105210548477,0.010818923003514625,0.795528122700173,0.048152277414162004,0.5256933145714966,0.33927040597676295,0.2968443525720843,0.010832257044220472,0.39992566596608436,0.17635745340178716,0.11249976042952135,0.30631713486448847,0.5933341474139868,0.5925149580215394,0.7084668304808318
Left-Putamen, nan,nan,nan,0.9721254359477831,0.8551392712247293,0.37656474630411374,0.9810454825380991,0.01003562214206966,0.3122193723525699,0.7379004084375185,0.5549524499196898,0.6333396308075521,0.923573718416213,0.9041987068674238,0.8475634874166911,0.8191720431205909,0.8843121238536423,0.23400549233416912,0.2258721168017346,0.029704451378099468,0.18555557541173706,0.19177584568129213,0.2795026701809361,0.15479693554279975,0.5343184349260088,0.4091733033567144,0.29632139095005855,0.10036994168573386,0.6867677577661373,0.06351625096582245,0.2840496332518868,0.31805958493707237,0.7658517150946794,0.10853985917127802,0.11446112585323354,0.9617609004017745,0.36017797037650656,0.4185299159907183,0.8206759868117516,0.3375057471095625,0.6137197001912733,0.6388711755872769,0.6206071393725319,0.45582199993637573,0.22554463344524103,0.1843353540953391,0.2469680560803232,0.5219259749672872,0.9999669027521789,0.8829961223395855,0.6731057925645887,0.2946702757199569,0.6480069788780871,0.41220140624604307,0.9329507270067443,0.6811596126137534,0.5406470634267839,0.29593994502103865,0.6683840739054987,0.19267450189109145,0.8759750051859301,0.5527760016073027,0.9753181559017368,0.06675848095717526,0.02916104189762732,0.714927336358021,0.10575888679005412,0.01779463856042108,0.04776254470783859,0.6714664972067008,0.03736623170404297,0.6932802745262804,0.5976217420282508,0.3679350163088929,0.5148388555435609,0.2489686595720566,0.4517883782175226,0.7818063730980277,0.8475789688513429,0.6289775801475134,0.7845090767001293,0.7945500723290752
Left-Pallidum, nan,nan,nan,nan,0.9237046273357412,0.9018147770970408,0.4930295276165073,0.2571750416881499,0.01828023548095113,0.8819545669828958,0.027613952815653358,0.8772670078129248,0.3151935458799869,0.5898439301291651,0.7608441011761726,0.5595174148313758,0.358535482078814,0.9801605523682637,0.2204050176065889,0.256704022489969,0.8228901612617223,0.009596865244853682,0.7835889085602252,0.3608200521851537,0.08945696556891547,0.6521701739954798,0.41282460638745844,0.03735574134211013,0.16764371332046565,0.20006223597226916,0.6434825844085275,0.009023755647902112,0.27038411555095093,0.5498074400086336,0.11964806135863465,0.444181276116277,0.6196469491900558,0.7467328641903789,0.5279242437193647,0.5549087510976347,0.45048912217722215,0.7030924827624371,0.9197084513817151,0.6478600010543691,0.6104169869787643,0.5910146026101407,0.7949267731763887,0.7431934586149754,0.7924608494818437,0.5393579674510021,0.9587892223040703,0.35856710067041664,0.06646849271027279,0.26870603236403706,0.5334894950279103,0.008802038076494583,0.5214625509603343,0.7842442371157272,0.11493612518272436,0.5723596198420241,0.3146036751385891,0.31283489523390523,0.2956410425393386,0.027660116532819266,0.9500571609883373,0.13153576737971867,0.45709348031378816,0.158024206588034,0.11290293489459226,0.190177600631725,0.045011966690816155,0.3964657325233987,0.49493764370720994,0.8878984170751993,0.9389010079956688,0.7453238943163838,0.7670014495980808,0.2705693285899314,0.4758754855177829,0.4288392104919905,0.8102677047433097,0.5758242975068398
Left-Hippocampus, nan,nan,nan,nan,nan,0.7151211020505926,0.7882276506290371,0.8788622560608279,0.20388725015147086,0.5753736431048266,0.22109117063982286,0.37367839444241846,0.41911053406623144,0.8458899599619643,0.0493213226795966,0.2947404367053078,0.6208339281018378,0.5185547950351419,0.894374061701889,0.6829196152391146,0.43519669856556986,0.7150078097777355,0.6179574230488327,0.46516637509334324,0.4573492121484024,0.9923423460840339,0.3569806074474229,0.4274457774610173,0.6322633251221091,0.6677636236477817,0.9939682168666928,0.7148863658073061,0.5232408716785024,0.6101566568636563,0.1254735866517115,0.45983530566305353,0.4304442646740848,0.786160663122411,0.21428717399678446,0.917399991610206,0.9169659041553939,0.8326365095045134,0.7327469258517745,0.38695322304576596,0.8448911133246881,0.13758686056803346,0.6395652685368313,0.8899130649993522,0.11746676888593259,0.4182127576220076,0.9968110068340683,0.6155314625732315,0.5692144168378539,0.263992378676151,0.9093409768279104,0.40834773753815523,0.9452815055914698,0.6806153659389969,0.9461659220604984,0.8459129522016713,0.10332589397340745,0.8963098981683673,0.7863233283033302,0.6489671707954405,0.43019116315909045,0.43153031218469573,0.574356486995647,0.22655896156057406,0.8111178894109862,0.7886042822012248,0.41130787395087987,0.9702950496373788,0.819121578906204,0.9214308899209332,0.4000749585648119,0.8085048149870279,0.8542945628585693,0.6488041233246412,0.27457578044748254,0.375768674189625,0.7313495835170326,0.3227934525985845
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.5219679101002854,0.5275796286900172,0.7387501301356196,0.12889439383886203,0.12980037831880042,0.45630220762236773,0.29386391435230286,0.25574226477968776,0.4721961497889636,0.9719602905520189,0.7563229392482137,0.4033184477312596,0.48852472653084156,0.3377951801121013,0.1358806969091015,0.7979163796293043,0.2506559568580872,0.2896075102067652,0.4934704760051777,0.4367513174494173,0.2198608825874946,0.013749084651995373,0.07457151065001164,0.4532582590857549,0.8621798328981174,0.7119069488261509,0.3947012261320738,0.6309245783638944,0.28166534528788145,0.06637910016985919,0.7536437943485589,0.8163095484366341,0.5074209639182772,0.22041578673358664,0.6806865567848673,0.6473625346194792,0.11700578498566092,0.27618526149644157,0.28339571061895186,0.22049045377866008,0.379701768572142,0.15800433107505893,0.9948578545851362,0.4519326252100051,0.7831096490123741,0.9488664736444834,0.7156753062519032,0.22275713278292686,0.5278541297512911,0.3748186211781275,0.29470846668608713,0.21436010939132308,0.753052600612665,0.7682659363120257,0.702421626652316,0.535718251323844,0.7330422413244047,0.20810941972569283,0.8342117719220237,0.37320859414313146,0.6262732505257964,0.4182814857812136,0.7131071458195581,0.06942445683297468,0.9379071712836016,0.4175779086151882,0.52159777563823,0.9726243903906249,0.7284406977578171,0.32984254198639673,0.3194002339308167,0.9991157431589159,0.782004834612735,0.45142605939769886,0.3459052388687378,0.514311277045173
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.521178845065817,0.48802121430021583,0.7394549183623265,0.7566959295342253,0.49765094062249626,0.5475432679962993,0.740201752094956,0.6208751763572898,0.061123945769617764,0.41158453242046844,0.012587073749634668,0.12801330184434598,0.553800926080628,0.7756228828023239,0.5195348662960246,0.668675499632207,0.22320331961726594,0.12044686738811132,0.2141466350217639,0.7652448957846701,0.04439284447625896,0.08701253207797789,0.9576810711172195,0.29836831216943666,0.11066850075540738,0.07984474570979823,0.09416461619445643,0.12980455007663555,0.32399569678854,0.007587079096239208,0.3679330344938555,0.9590810828241092,0.7043103315319381,0.5765816810294346,0.007199109730977942,0.47233587921270914,0.41236331440222795,0.9455828285290303,0.05471529370428409,0.5610010176800033,0.8789604099155923,0.7714902448805954,0.2078884658748207,0.486028422730866,0.06696571231834507,0.8229900804750705,0.3548453431156636,0.934251240826512,0.35009093369104205,0.6617662363075594,0.11750004069180445,0.27167735290320244,0.20038354547462417,0.616086102127287,0.6474440174728083,0.5692344159026523,0.22732455616767772,0.17565743672231465,0.45249123925022416,0.49310110206484603,0.25277941600543996,0.15043305596665177,0.4120242339017134,0.44477106787901344,0.19935855647618603,0.7301994387200299,0.6817163361785619,0.5583936171789028,0.13518496619003614,0.9836348453593371,0.095446499178422,0.4098840291160897,0.8623903419655433,0.6044176409224787,0.6047313503474895
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.3061233042511199,0.09222004190951094,0.3886640111620383,0.8134676856937775,0.9833919143143721,0.8673112825013014,0.1881908341993635,0.3678488649697421,0.09875051832979977,0.045352919558645545,0.5644962521758234,0.06154538625312566,0.941185200854654,0.7461594507295805,0.945762079448977,0.05492370284464698,0.8321455961875721,0.09398036777652453,0.2925379193775571,0.07549127890008647,0.5521063839813793,0.000667226592527581,0.521772487098255,0.9741429781032989,0.22598490333888765,0.018551358293628722,0.0050471227049315535,0.7022130753134606,0.028345104926262833,0.9123971258131333,0.9499529480253521,0.08399479164842634,0.6886808031375767,0.1965685841985195,0.05926276421501087,0.6522664990807578,0.07518885548065307,0.383974878986425,0.7364043272776963,0.28270806094546996,0.00846218542197498,0.6760942968376369,0.12893535573595868,0.02869032966695353,0.6253536478421728,0.015554544227426926,0.8976755060811221,0.5490295186626076,0.9835701779460466,0.15347767949164576,0.9102608767446001,0.03176341610840895,0.35898787819048983,0.1759321765434811,0.7866854109338526,0.002782181958524287,0.9869694856092276,0.6394757669287503,0.8996913422279229,0.006362048021710465,0.005273294346091618,0.8557783021133518,0.0009407449842031295,0.6692931720398643,0.835818909728707,0.2646098232329338,0.8587663908755668,0.06496410814688533,0.04386815725893811,0.12530261121438657,0.4769706204283948,0.6306257045851893,0.560478353324708,0.4162791868270518
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5207548397293204,0.15703111004895,0.7667416879742508,0.7116678059578834,0.039289191535125625,0.9743870065309377,0.3938807461740602,0.6407597322892419,0.9060284403373555,0.9634784613639286,0.9904594261879403,0.6934332184252817,0.8959816374779705,0.4576091238530978,0.6941054746166821,0.21686052252270746,0.8134222318877681,0.7413457276964286,0.9940695714353003,0.9169182101134126,0.08492010519707043,0.8716008348411861,0.16657018873452978,0.7986880840153734,0.45932008219193265,0.17346668294788423,0.87680450555328,0.05031210986398269,0.19156636831681292,0.6942451171749842,0.7313602064285809,0.14273067093092076,0.7361216551968335,0.9052172177152726,0.7223763065977535,0.07483947844979186,0.678925023187253,0.04928046987688301,0.8200813745813349,0.548505143402684,0.7761743091085671,0.8299467230642883,0.5623959241660972,0.8563544168053389,0.9885869759918133,0.6411050438182528,0.18800904135753038,0.173517037544266,0.5512129257518052,0.4611444468333079,0.9328412354297451,0.8048920097532066,0.8933840032502849,0.2526481979013128,0.04319788757766905,0.8038074816868573,0.15802769339824146,0.9716038124509063,0.3623461462122093,0.07731217630184467,0.7848703552478019,0.010486254360173645,0.07124511184265284,0.8319197920872639,0.9044583946626321,0.08631966499979751,0.4595911791958057,0.4184236758373432,0.4674922661648653,0.3158832627455878,0.9328061095731077,0.9461188784295691,0.8549626341874917
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.29751212825888684,0.8940451488516343,0.6970922356531963,0.18851575684943378,0.6661105221696648,0.6470392856107352,0.837157377927177,0.6933634949593785,0.4839431770580903,0.16702534396547364,0.6435580304792443,0.46540105328200465,0.4417773973851996,0.5161251454292917,0.8298624232171458,0.5507285205390171,0.4441973895346768,0.1117554480926359,0.6440267197571918,0.05564861578441463,0.2752296170641627,0.4035518235106078,0.6955668634783074,0.27361377493034295,0.10197072651455474,0.9013892870125431,0.13509825143274984,0.952035973372787,0.7696529967108859,0.21335387610755618,0.7868752292327282,0.5817613030891047,0.3864373147220811,0.7987870652805678,0.15263887873464999,0.9001907660641988,0.010291795503669003,0.8596570065678371,0.9343776377951927,0.6787096703133907,0.9558926940642205,0.9676670560687091,0.9423408219788297,0.5180557927228544,0.5874217580940666,0.5698292911803667,0.9632071425264728,0.8160639325258522,0.8576003493085652,0.34153598762543436,0.7920164364888221,0.25630909410520847,0.8311674755924318,0.019391590144453637,0.1808390001103697,0.6295777445205377,0.32600357326494844,0.12534667185970672,0.0468062597426527,0.9769059075716695,0.011536766612068275,0.9264060612893887,0.9731813812179207,0.3140947657540545,0.5529912649667863,0.3226919969699551,0.2575493639651284,0.625606616081852,0.8558592070824356,0.9998239559931368,0.7363445106675333,0.9597097862480085
