# File generated on 2024-02-03 12:10:43
# Number of participants: 16
# Number of patients (depression): 8
# Number of controls: 8
# 1 datasets were included:
# - HBN
# Effect size betas (regression coefficient of the linear model including: dx, age, sex, intercept).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.049774688521111124,0.027773775083313208,-0.027399555036052573,-0.13879679371761341,-0.0701896965308349,0.006834796539877623,0.007144805905126343,-0.03065496736195126,0.002807994425738586,-0.14010818050420482,-0.08737692042364094,0.007811932865868905,-0.07651491215518,-0.1117499325458292,-0.014207152948944823,-0.034064861271562025,-0.026648750858216885,-0.03115935350903346,-0.17480282510206907,-0.10031867422450329,-0.06233775669722249,-0.09203580920274189,-0.15960626621333704,0.01720867682442134,-0.14800471869132806,-0.01662131531331517,-0.05371224405246674,-0.19217374619881436,-0.005045258969374555,-0.0613218874909338,0.06647323773154282,-0.062418779083487266,-0.1529339044743888,0.035925566006393045,0.010089831204358425,0.08236449508281843,-0.0644312706284498,-0.09605153704277676,-0.016653750525319665,-0.0536511749865099,-0.00783254074809262,-0.02454295831016033,0.0022537788952237394,-0.02161109448392528,-0.09665709247213779,0.021580874845095122,0.03727246779553741,-0.16331082994968224,0.03916530661690096,-0.14739412205838384,-0.10947226218830455,-0.0263573246536272,-0.25316403611388655,-0.14772251268876374,-0.05528879623337227,-0.09869776480232656,-0.16946092591107953,-0.028099289466350263,-0.09416382697084266,-0.0366087793524434,-0.10822631055226796,-0.13054355542126977,0.10459544328128498,-0.07542323046607417,-0.061955748897722075,-0.0909774438285851,-0.11519575589469531,0.05847954096413287,-0.026794770947339744,0.09311296948340284,-0.09008263172803664,-0.09189280053615634,-0.08230121553403176,-0.10035818846734361,-0.029739586271174134,-0.0889121066025755,0.07673779872472904,0.001547453215794033,-0.04364127478767238,0.0737750422850237,0.005185598027798953
Left-Caudate, nan,nan,-0.03609779034562204,-0.10215644641433926,-0.08167807523455475,0.058568532633985954,-0.12906549340725812,0.03209793312531698,-0.09492808385640678,0.039482391972675265,0.13117113302887534,-0.04228716855093199,0.08953298810144282,0.007543758686067184,-0.06030194856115881,0.03371009747123726,-0.08375525665603681,-0.03447050287264978,-0.06496143097193928,-0.15635811858529194,-0.25002082788310015,-0.1654518041262592,-0.1124483195859362,-0.1289800968363567,-0.09421946680714204,-0.17323924079012112,-0.12852318488920128,-0.19230367659648848,-0.11591147450530186,-0.0897597889258149,-0.008595541281164003,-0.06814767800618637,-0.09187368420127344,-0.11727851387644532,0.005811652199267675,-0.15233531205444115,0.029119141557993555,-0.14069008595713128,-0.09706213512026278,-0.008727812426967182,-0.03678418349038921,-0.10270240532959889,-0.05440236456755343,-0.15364433543891265,-0.10107007817235417,-0.02838886393814065,-0.0607305607325264,0.04376636290265441,-0.23409409215702504,-0.05578529968391448,-0.10961592851402038,-0.11016666556140738,0.014061361596384374,-0.2599896774350191,-0.21856749506343373,-0.15385441269101044,-0.07482436030470124,-0.1551759891924982,-0.1425140751405449,-0.11189119204209164,-0.1690101039264162,-0.2711834948664939,-0.090512716022402,-0.10582278887144461,-0.03117031066571703,-0.15985288125874247,-0.15883434158483856,-0.06410700583042576,-0.0464940053638425,-0.1300729966041189,-0.028070503610037597,-0.09550537334896314,-0.1292819092459109,-0.0575220117805486,-0.09768731460500346,-0.1173810864471219,-0.1662242994106931,-0.11663529879973032,-0.11380278899657313,0.007042198588828235,-0.08965980035134094,-0.004560184127739262
Left-Putamen, nan,nan,nan,-0.03603408969921459,-0.1037428618471483,-0.04040827721981458,-0.011846652912139431,-0.031300265322698036,0.009852117440629877,-0.008173154764013067,-0.0781031946787774,-0.08638271263515396,0.0711606849119819,0.10058523423224827,-0.10245764913360024,0.02204380797482089,-0.045932189293596576,0.008802172160645489,-0.1463705108571626,-0.17528921775307976,-0.14731563909843082,-0.09181849815137831,-0.10894553495640201,-0.17218717269870779,-0.03502767392286777,-0.21644647179038262,-0.04459665834272084,-0.13900315610511296,-0.13853601852877498,-0.049007689932690904,-0.04198209045607091,-0.023227998864768354,-0.09001980778073575,-0.1866755239754367,0.10149555970606233,-0.09300495692139968,0.08129882218158915,-0.04627224983972826,-0.10736494554586395,0.03926812180946448,-0.09422969865839732,0.007736194032609541,-0.07194827452381969,-0.09561769684853733,-0.12795567992461798,-0.09890887064619115,-0.015165516427961465,0.047900875904769456,-0.2204919408549644,-0.03774193289289422,-0.13286838854554417,-0.0771564760777967,-0.05854752464846683,-0.2526281060735403,-0.20480807914409632,-0.04606325685588659,-0.11961250917864048,-0.2031423508352621,-0.06710915647986496,-0.1856706453593463,-0.08670436160048126,-0.17122273454123035,-0.14335088224632778,-0.0844601358528923,-0.023471694120007686,-0.05398464566819772,-0.10239522700075036,-0.16834708882426042,-0.001118292283033809,-0.09027989701263858,-0.0036585543068358524,-0.08761089307906675,-0.0878975434189207,-0.015941021302971946,-0.1386615565809983,-0.047182634703396,-0.11076351679668091,-0.0685115308480737,-0.07319929686901717,-0.1467520914468539,-0.10753623291159393,-0.004921467475755873
Left-Pallidum, nan,nan,nan,nan,-0.10748523427370862,-0.05386937406893934,-0.16339731781466652,-0.05724683053552341,-0.03090079474217959,-0.1135686565829319,-0.1751209091672114,-0.11554612054888491,-0.12023434211443391,0.049825987711062295,-0.18474548349852338,-0.12332608789807203,-0.10993875595537926,-0.003190574181682254,-0.1749793537862295,-0.19076373158322496,-0.1435190652563856,-0.14668479950055852,-0.114893539959279,-0.14443466725272974,-0.11704518157862343,-0.13590731643780307,-0.07761848739464981,-0.22963247441833487,-0.09352762103013344,-0.04942492255871225,-0.15871072347291165,-0.12323695706199825,-0.16693201370296482,-0.13384953118454024,-0.1270934236502185,-0.15382029202384992,-0.12588925005913035,-0.03905250256330247,-0.1357230586129683,-0.07875498680939631,-0.14380919421867347,-0.042176223336668685,-0.12307555002893092,-0.17589878642235884,0.04394338878300051,-0.09386550078880658,-0.10778526727745806,-0.18245444692163987,-0.1514977951823583,-0.13176290175626806,-0.12401903089783856,-0.039775324292499616,-0.144745471371868,-0.23375405146611544,-0.20210708200749522,-0.16769687543530246,-0.10183465732675583,-0.18580437082613996,-0.14797552990840862,-0.1262768152775588,-0.041662724898576135,-0.16076548888268982,-0.15012065747327474,-0.018481275968893932,-0.1879644079064528,-0.14125071485521826,-0.1777591530569623,-0.14699497107130427,-0.06680496204582174,-0.13456459772148882,-0.10885996279774396,-0.04678192642546339,-0.10963223010169004,-0.12653706926986524,-0.14834390896849114,-0.10350795731021743,-0.0845873607425813,-0.12846964941780012,0.05880400430534274,-0.09793988684250358,-0.1281712176703321,-0.17731789063961895
Left-Hippocampus, nan,nan,nan,nan,nan,-0.12380901331945189,-0.08204372236193191,-0.10134587197711113,-0.12649441144182175,-0.03712371874436577,-0.09037215008862977,-0.0784946543466134,-0.06081782216495776,-0.0418793698901429,-0.09217435881607576,-0.0946170849649582,-0.07479073840607244,-0.01512738082580485,-0.057319992373166796,-0.08043023178028512,-0.18511331045287066,-0.089604300554348,-0.04115911795160123,-0.1453716960041468,-0.004187876851917355,-0.08381748624045049,0.0028618770549206007,-0.016157676805629226,0.0010265782477563354,-0.11845968376310576,-0.10012452259113676,0.05307707627830923,-0.09931066300316847,-0.09242182591652731,-0.061939592591740644,-0.15236644199643093,-0.0644464695222525,-0.11711779770051696,-0.06729816032329056,-0.05436607733281741,-0.09253945585631808,-0.06213303787856268,-0.05484936215700168,-0.14441149317003021,-0.09360710448148234,-0.02399400631203059,-0.03697313662492043,-0.025440987855351063,-0.17217658960822943,-0.09285188222594215,-0.19898451163970293,-0.06600648481296,-0.0385554178506879,-0.11070596625127797,-0.14213940937961705,-0.030221592774502426,-0.07245008085140879,-0.12936150964611365,0.016485089625213882,-0.04678212310606994,0.01791498105780149,-0.0957160452165958,0.025213746116268598,-0.09710646591245092,-0.07966653321816754,-0.007747176294586753,-0.0483952747292781,-0.07403723782296576,-0.04083266246862126,-0.15516845842762275,-0.09164310603537221,-0.11158562785723426,-0.03191168190609401,-0.10098547873502857,-0.12827086280132197,-0.05893377897737426,-0.12463663499075196,-0.08109659185906434,-0.0657730504459536,-0.10119060793276709,-0.04298025083306669,-0.02547203096815109
Left-Amygdala, nan,nan,nan,nan,nan,nan,0.07311601344540694,-0.0822529566081645,0.01934511846380474,-0.008796431429369558,-0.10152552580410532,-0.10192867741068747,-0.0027235629508175966,0.057199111575547405,-0.07380747654196669,-0.0856115634153325,-0.010972730769234326,-0.005344844149521746,-0.07882612357302006,-0.01809799570114514,-0.013314461515686302,-0.03058382837801022,-0.04152043708468493,-0.11588704390850585,0.051060478553610004,-0.063143193771018,0.033250156361501436,0.05659851445679231,-0.09835892369461345,0.05748350630273658,-0.033667392817438024,0.0720686918037847,-0.06416068783442198,-0.03232737702255626,0.015082384858646361,-0.10120212939910786,0.05467917681131046,-0.061153323788633245,-0.0971602503892623,-0.015713564570540135,-0.017270966500958485,0.029301869993548533,-0.01213233962390443,0.02518658680360718,-0.12264590676700288,-0.14085729692003549,0.024860236063312533,0.07912923341037702,-0.041109786763535466,-0.015812517377073752,-0.0735848473334586,-0.017596554590396198,-0.043672242561960076,-0.09043924376479258,-0.07999796704175613,-0.020552683015256118,-0.07266890897118995,-0.12492410141868664,0.02246839132342777,0.009037106821943489,0.016139741362589336,-0.027369740714606686,-0.08734859429516244,0.056930829673451366,0.027253252670258157,-0.03499061066733698,-0.05006962957933825,-0.033088678363710156,0.07344818255409837,-0.10456748906125611,0.08642284485600453,-0.04346376181586823,-0.09370080240915464,-0.08059034139823798,-0.04137734724602436,0.061248775077616585,-0.025756309670508758,0.04387706316808655,-0.13739981197983211,-0.12852734246838463,0.022171957824329187,-0.025154170548670644
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,-0.07018874200614769,-0.08286586468194965,0.03828457047008337,0.0033509123612316376,-0.01747099040584166,0.05584750682027566,-0.07784141180120888,-0.1753772516605636,-0.09141108641272448,-0.20711510812099868,-0.15072303815908814,-0.020124420170462665,-0.10226076344482254,-0.2519506565317367,-0.17041906381368344,-0.1936584713244187,-0.1797890213001366,-0.14955574116068404,-0.2038999645756196,-0.15638227712654262,-0.19928019409561246,-0.12067482048309161,-0.17424160881802936,-0.14779388776130806,-0.09846569224588217,-0.08511500870113181,-0.18473216325722847,-0.14204958394801628,-0.2383899285201838,-0.11352677349340194,-0.15814309480766778,-0.1304553286587018,-0.12443179700498214,-0.1430158305360245,-0.23851724412865508,-0.05002024348037424,-0.23997330380195556,-0.1495145297672499,0.07198038228579368,-0.031108248568835536,0.005289510970340866,-0.14251931360130057,-0.09477531504845942,-0.18062764954903468,-0.18619583253999675,0.007673427445879918,-0.2030475628094886,-0.1727512067228058,-0.17068542044390686,-0.1642479447566807,-0.1933506361767277,-0.20341292158178106,-0.16068172732989683,-0.1484997880280324,-0.20186611532463303,-0.12850059059372956,-0.18477322692151635,-0.13945289306748537,-0.08954345969815619,-0.13554220838063225,-0.1329148854010928,-0.17847720655667548,-0.26532708744831324,-0.18721229281739254,-0.12222518030696981,-0.060423730487438536,-0.12991245780914012,-0.16345025168924468,-0.25158432698144395,-0.12142975509684345,-0.2232552073831402,-0.18755746537747947,0.08401674654180274,-0.09444261971378333,-0.08746396363590517
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.05285696262047362,-0.008193136360150094,-0.07249201380459865,-0.11780792601492548,-0.010482779930597185,0.04644134094402186,-0.12182362671956237,0.0025059031271688265,-0.029467602600234198,-0.08186864205620605,-0.028133112091122,-0.2254594847954585,-0.09317191970509035,-0.1969885447628456,-0.040996549153851175,-0.18782008425106403,0.049338468864433466,-0.19784502094175124,0.0307801549760331,-0.09994163271267598,-0.21846444262112985,-0.12388252349999812,-0.08530594240818314,0.07671471557722108,-0.03392819730752701,-0.21100787472906174,-0.05795117136282549,0.011127956888732748,-0.061733114925429884,-0.0895013095116592,0.021471027563841952,0.010819208981544605,-0.03452518352673116,-0.185058523859983,-0.06716851961812097,-0.06069207820745047,-0.01960788914894506,-0.15789354116572998,0.06679075604768754,-0.01175687297076401,-0.1615885985279064,0.05811620591134694,-0.10171096892469825,-0.10225141167306061,-0.11102591698571637,-0.2100069820311607,-0.19453185702232031,-0.04298168022276546,-0.0163425365856598,-0.22157042379610672,0.10953989904529993,-0.15117314561434894,0.0636227340190712,-0.1461658802055458,-0.12234270334667344,0.014551762652350383,-0.06320563641234277,0.00278976079741716,-0.0654930901496427,-0.15376931963943488,-0.07648034925852497,0.07315368750665477,-0.03299833872753446,-0.1174554669903546,0.04429757863241871,0.04215285849441097,0.011558699049456745,-0.21144365904971404,-0.10042524556463905,-0.03905866575192121,0.07541609090677888,-0.13375517444634358,-0.005479743266522756,-0.07916410530204948
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.07092354752419813,0.09017459707606246,-0.0776939834879633,0.09423707180506534,0.0695068035144557,-0.0866857845409856,0.10125228895771202,-0.08467637990265912,0.009603090165813514,0.008401225782422398,-0.15343006623209024,-0.16536588266919286,-0.18190555083290724,-0.06012046999613489,-0.1369542344495721,-0.03898112578581851,-0.07705869609098853,-0.05663826055538339,-0.16746039277662988,-0.09779027042720695,-0.0847227584918957,-0.037334128669404665,-0.027802824033271552,-0.07709189818507359,-0.04585619263081855,0.01791807558375125,-0.11920437106556053,0.04536073438986971,-0.04310124923941793,-0.004441451205439565,-0.010505888582633457,0.00322059242614645,-0.06241364326613337,-0.04075155784348452,-0.11481201811455041,-0.10965580771947388,-0.025958137611400197,-0.056009330541622826,0.06498646795431363,-0.18929679812679112,0.03725556681386897,-0.12283757259027596,-0.07523085530696687,-0.040065048528594334,-0.20148048660164944,-0.19383351959488304,-0.15226322294677974,-0.0004887556169976936,-0.16486631862089288,-0.09082634877167665,-0.0350674534027856,-0.07967628444285754,-0.18803157710269341,-0.05487321114527897,-0.06309591724182018,-0.050761486672370425,-0.07064602989082427,-0.12005628670672971,0.0036362470645327554,-0.008094815132681638,-0.07204289863957594,0.00985518092014559,-0.019941432865882687,-0.032383306021173945,-0.03811553907726283,-0.024229805953853416,-0.07905735201966622,-0.11265230424693554,-0.09834733164249197,-0.13555502517115478,0.022761173114890856,-0.07903542703653867,-0.03027476325935969
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.14615230632087503,-0.09532501267907799,0.01606206091931607,0.20870571560360085,-0.04642268371724715,0.004617814057238856,-0.03075578876188904,-0.0883635183293765,-0.03997084918408524,-0.19202516836776357,-0.09647969944289583,-0.0767471514144382,-0.0023107873214601787,-0.15515964739045396,0.03493105640433391,-0.19962256072431966,0.1245272686716689,-0.05356083894753659,-0.11352925536066788,0.047436993317246,-0.10614912776631254,0.07029237340917444,-0.053326844645876115,-0.1787038830823714,0.005519109722763943,0.030634436428896458,-0.005794773577455965,-0.011053912004081037,-0.0022206824036270873,0.04624049571753715,0.010128803703016656,-0.06899085340270407,-0.08377313281319111,-0.08913893727320188,-0.06051399257857012,-0.13242268886024144,0.043099387065909434,-0.062395200191957656,-0.21226477047253672,0.018264086088171955,-0.10147314927487958,-0.1101383340598129,-0.052552195497189785,-0.22024721547577467,-0.15639259261126875,-0.008217973892383507,-0.0041540330358521985,-0.18493943733492912,0.004743178544175967,-0.1855386047006079,0.05998378424068263,-0.039504958405985564,-0.13084457204482783,0.051454691434664766,-0.11418676510878276,-0.0433740544638294,-0.08571520995346452,-0.15668539582649596,-0.00741846623570252,0.05743902326644152,-0.03012068167801763,-0.07539433346622261,-0.01774701808431871,-0.02572403370378577,-0.029391961234310916,-0.11972405657824757,-0.03813416966792221,-0.050108404683396605,0.023149092088021662,-0.16721698296074047,-0.035548859396935875,-0.11229689859675646
