# File generated on 2024-02-03 12:10:47
# Number of participants: 808
# Number of patients (depression): 404
# Number of controls: 404
# 1 datasets were included:
# - MuensterFOR2017
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.14355540275482892,0.015948467460853964,-0.18818653968823792,0.07108137824342695,0.12813185571208538,0.043092568717430786,-0.12401845665035682,-0.08079977045200998,-0.02389214845674187,-0.13790889445192,0.07192396467634452,0.16942094370828614,0.08936912273948444,0.14550472238399756,0.031116475382668266,-0.015523457236703214,0.09956235349498244,0.04580508229291001,0.021064881017239964,-0.06309219861250379,0.01877185109150672,0.006964661325341617,0.16616709612074865,0.05491636418766372,0.11279325438849401,0.10705357157994866,0.04761993271701161,-0.15975580197682349,0.20097904758149363,0.039572427302482276,0.023101654953774853,0.06643191028374817,0.006511447302807586,0.21547811801912473,0.039345627174064465,0.1515826882995758,0.048920321175805734,-0.001540712602188565,0.01633692518685236,0.0799460631714581,0.11262825137050612,0.20315411565228178,-0.005498410579648572,-0.06068956728718911,0.13295417090575204,0.2703822021651741,0.10064812895010211,0.17158203466186928,-0.0011210402489962956,-0.04050118291442609,0.09850665328330772,-0.11818181024371092,0.0638265165630149,-0.08945139900942145,0.016858763920444688,0.02511389217652864,0.11062411362886053,0.09962277379021256,0.1625653537349981,0.06731479969399795,0.04102671026646274,-0.10414756075247829,0.1998903440188224,0.07519063742514065,0.04015842384845632,0.05626130487559251,-0.02265898448656624,0.2406752343936729,0.04990772291850696,0.16473652617347828,-0.003942797439558596,-0.060419153310361205,0.0019134885492227698,0.016953809009662816,0.13240032896270257,0.2463267814070034,0.06792803633382492,-0.049693665070863494,0.06537678908652866,0.2715750455086097,0.12653748974002102
Left-Caudate, nan,nan,-0.07281390012597079,-0.2631777466006774,0.1129889984490278,0.027139566164111693,0.037793634412689,-0.12448497828087222,-0.1032404326210095,-0.0820862999306307,-0.20775461218383556,0.057963197759266706,0.06016210907548071,0.07317284692497601,0.06177010916878636,0.08136793093915565,-0.009837446110923723,0.0714057938893502,0.11295046931240862,0.13062968553963594,-0.005313708141277043,0.08250090754078518,0.05883044592553303,0.1339577930469321,0.037024221685821285,0.13174612803757912,0.07703430403284761,0.10219289909689998,0.07479297084741622,0.06554181415743483,-0.020763981031068735,0.08241522909348932,0.038500403935620216,0.03652456363341694,0.061633357663311676,0.02577413675113758,0.010109411219716188,0.07480263378281463,0.11300919248944473,0.00013701985657103786,0.0005987451652834632,0.09369412312213546,0.10654676822424886,-0.0393759180501863,-0.018938548557169015,0.05673277997834542,0.1399489445652626,0.10750789889669507,0.13168030610944387,0.027498529500650973,-0.0025711980147533277,0.059663438040169485,-0.09331714655280299,0.07137142123653942,-0.038194790000632695,0.04737843494630843,0.07297978062307522,0.09559667215062889,0.10146138444760541,0.1460766954286904,0.0045429646101503565,0.03679049868700253,0.029795990286015487,0.045183561747867355,0.0967825563445217,0.06032246918455453,-0.008662339424836695,0.04424669494794819,0.09214075561192794,0.04434352272458796,0.03690667661317339,0.004178997275960867,0.016014556329468275,0.019732742623937132,0.008604218231072968,0.08944773478828716,0.1209071451725596,0.024473875631059006,-0.01303844165546597,0.03429240671441674,0.11786818126778723,0.07882853001902702
Left-Putamen, nan,nan,nan,-0.1843121285555032,0.03587417211691612,-0.0012189126992590033,0.026712236890054863,-0.019536201927497387,0.004231138048666099,-0.13430252271050921,-0.12466824215908061,0.025991384012279264,-0.013275946704411937,0.04742582174430202,-0.0038530720838005758,0.1473224643370887,-0.009633545288965017,-0.03255781262684875,0.119240076313917,0.11928290890314092,-0.03340346206047245,0.07746044016981804,0.04777344837397449,0.08742869753526923,0.08794524783105004,0.06901784180213232,0.06422328329292433,0.04625534869649185,-0.021402764048277366,0.07910002266430902,-0.09696518868198939,0.05692128799752122,-0.019033236530085606,-0.050848293374396565,0.0547510163984817,0.04465846742091224,0.015841631431555862,0.0958179343964581,0.060233174958624465,0.014188951147145815,0.013378228030069132,0.020230402941752886,0.08750879531237948,-0.02739613894074341,-0.061159340624391066,0.11859971413356137,0.09381575026194147,0.09599919311015377,0.007322990143258566,0.10252269995755466,-0.0020262718457464885,-0.011072033979239617,-0.057559168798578565,0.10976304004197052,0.021040636830176783,0.039428262137580605,0.08528330985543854,0.0886413962502664,0.12580835202461127,0.10915665702389786,0.03884818130462473,0.04053009964424879,-0.0037931723109817313,0.04505511462085968,0.042536322074415815,0.11494413576787982,0.0395570288226752,-0.05572203848276888,0.07872997124824792,0.04401189587357016,0.0400263620234611,0.10920841513301918,0.08326001578592346,0.04459196285426333,0.04859736887988334,0.07536437411744232,0.12708114390930933,0.0603453421103377,0.014243761897841812,0.12886171743601307,0.09278607208470044,0.10243456448471851
Left-Pallidum, nan,nan,nan,nan,-0.04201454326866891,0.02233653575948608,-0.17415390756332985,-0.222452041918225,-0.20042399869285749,-0.19517081767870248,-0.0641304909189623,-0.07504576161477701,-0.010692776588846077,-0.15799773268344483,-0.10946057814991521,-0.1721908229470473,-0.1575312867932579,-0.05550423718205414,-0.00011477434410804777,-0.09340536221762119,-0.1483621718422738,-0.08261303919828779,-0.07806733001308254,-0.06766918834905188,-0.16126198837600605,-0.09645253713620693,-0.14687082690459413,-0.09021798507030779,-0.10894385920912981,0.06613427717125019,-0.18681453601961198,-0.15951656377092366,-0.1317516179831323,-0.14248708438846291,0.01790028521982729,-0.06661526610760096,-0.0634672433865086,-0.06027827937329248,-0.12569479805130546,-0.16707794676835744,-0.14960047864882414,-0.061115908590801786,-0.08413904570086422,-0.15008113515598556,-0.0593662093625652,0.01769637759880002,-0.0031030621846168103,-0.05607018396026312,-0.07659308276450179,-0.17057009913637505,-0.14117646329813258,-0.02846638651167535,-0.08662351308490682,-0.08828879677810712,-0.12956953821206127,-0.11343089797122966,-0.06960729667843057,-0.10167537014933206,-0.14156603552425337,-0.07227286078784635,-0.09312945432565736,-0.09826256644269632,-0.14923308530058244,0.06598611872314425,-0.1246886112862409,-0.1297392939786571,-0.1620386471643069,-0.11517642226915377,0.059236360954300356,-0.039368707474419146,-0.03070999112088401,-0.03892058193433751,-0.14869975354467155,-0.1725980513078268,-0.1579503296542005,-0.05885922833463276,-0.015654615117245713,-0.0689917904351126,-0.0521415467239669,-0.0339579521903708,0.05477042737736364,-0.032462453112168256
Left-Hippocampus, nan,nan,nan,nan,nan,0.10506281915286345,-0.01567164433871948,0.04699604724857755,0.10997428913168392,-0.022706715946796997,-0.06420888244239424,-0.04788662270460356,0.09123024420538016,-0.014551001135158123,0.05472680534891203,-0.11668151249612349,0.020817460251820782,0.009124354319292084,0.03906955212676802,0.07234210100939731,0.04827528628723737,0.19719466476844486,-0.09902342797258683,0.14772527387627496,0.07804616258380186,0.0757956019957947,0.03209974338752453,0.13343574555246554,-0.03205756063032451,-0.019565827557889565,0.013721682326628508,0.1374106187329021,0.03199857705518634,-0.02659676738528581,-0.0318297459013639,-0.11795908046439924,-0.026023117797817793,-0.0370666036638811,-0.15620407315660637,0.1279752025718799,-0.08695019974477908,0.08540406352837958,-0.05791908781356755,0.0057778352769734835,-0.007808725709939034,0.01689301020557214,-0.015001877327897171,-0.03183247072620617,0.009396374544268426,-0.09583470192077921,0.059640775525401354,0.0018367215202630812,0.093195691317813,0.07577145274200353,0.035762145671451785,0.19829626193287497,-0.07386963086295979,0.10319189945339426,0.15979496872128074,0.09556314584779668,-0.0156177020320387,0.18450655283485778,0.01365786549246232,-0.11378694857761296,0.007572944558231359,0.15201614647136297,0.05580724139126494,-0.02802218354548244,-0.003258487835171019,-0.09996556205725216,-0.011382979875230325,-0.027315073895157565,-0.16917503996046718,0.15938005714033157,-0.05929054022532996,0.07817870834661707,-0.0523804889328484,-0.01715107472952956,0.11738597998270707,0.0665553850138136,-0.04700584873526993,-0.07947893646178848
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.005445608036324032,0.09001435776444759,0.04207398386035159,-0.0379104117893696,-0.025295238092714677,0.08022468269612153,0.0077258595335874276,-0.0800641512866836,0.03543478025923743,0.009650858023717906,0.10885057668345455,-0.04905439773719234,0.0997264427085995,0.07590852034719182,0.10446277621357071,0.24150817045398254,-0.05739304201846964,0.1568518011896419,0.12998326909731847,-0.005801822991501052,0.012128335785269477,0.13665623576805078,0.059539647645240404,-0.06130934986956025,0.051445408477206245,0.09398096398743491,0.020671963927581204,0.08511026758636257,-0.036213456608641184,-0.023313422364054655,-0.011853993328256979,0.0789923492884079,-0.12068502220375427,0.1638483146353214,-0.043518103887316285,0.10585133526159024,-0.05264821216288166,0.09004657217160543,0.06977515865090932,0.0813148196847713,-0.014030461193915496,0.07429241679469668,0.008309035338326337,0.05170213962851524,0.1324924288002987,-0.07247568103829634,0.20446127343805376,0.08557201772148121,0.12034634884172597,0.2502577287233809,-0.023580978004630878,0.10173408491999282,0.1721084313755759,0.027134925005717018,0.018916188775933842,0.18138007046542687,0.13211715661754497,-0.13731847999217606,0.046404566948170356,0.12920134678514678,0.08313961312169504,0.07080344167553752,-0.04789241122856038,0.017820916192701795,-0.0202248483577906,0.12173027647248379,-0.0944714860044798,0.2175268996593205,0.026946105306621105,0.07289298403575081,-0.04413485056191518,0.03420541815331934,0.16091231460760252,0.0946023703553274,-0.047443337406794295,0.050999446648782844
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.054784489761237,0.05819838619162182,-0.00033749517454181676,-0.11573376263967115,-0.041263659314627804,-0.054591299853539665,0.12770949191618716,0.051663991415481884,0.08112817296723265,0.1302273238667424,-0.04609034600269456,-0.006748743526624276,0.03125431503349658,0.06710349133234715,0.05690672687199755,-0.07064496734629823,0.0766166378407409,0.029344116854280712,-0.00024647417823596765,-0.03481691001169056,0.034522286247901324,0.009897989531316776,0.041763080536047305,0.12705961475660707,0.1532960916125605,0.06405392884517329,-0.015527369064357713,0.07454735334167333,0.1302159273295944,0.09355795543608163,0.02022360312078498,-0.018237837793995244,0.16900311601321918,0.00943025714092052,0.06908047830899329,0.006587047187651936,0.1355085262870721,-0.036905688803482536,-0.01220732543152017,0.0028782551079800595,0.04268776078137997,-0.07291992653702505,0.04750311291043652,0.06111361837557463,-0.008958048940845835,-0.04462965656311487,-0.022595908554029136,-0.000941260457027401,0.054643774708513504,-0.10793455598155183,0.03709344396810885,0.007316208525390745,0.007514318271870079,0.010197020990322712,0.04312234664747752,0.08751281290461575,-0.031230285354998163,0.09811651449379263,0.14166659953726063,0.047053392316424754,-0.012976485009320306,0.012406524240679105,0.08762692873102335,0.04285131831266584,-0.04412982624178663,-0.04797182551860075,0.0870828258781728,-0.006241685629954359,0.019923717042915755,-0.04098892653175806,0.047711763113415,0.1170009165868946,-0.0855124685609157,-0.021550940483198996,-0.005166369013226495
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,-0.09836121817630182,-0.0702393436272671,-0.17065609643405913,0.06515395475279304,0.1500359817023005,0.05972602253736736,0.1186987822483162,-0.013576792170883987,-0.05159726081012327,0.07500008983532035,0.04206393093344453,0.016687960677122516,-0.053091054743472525,0.005147726450055284,0.05421820144000277,0.15299318006846582,0.011417250486684901,0.11921868896252916,0.09675800581389057,0.037167831142032676,-0.0780476747689013,0.16257775647240755,0.003156514271274161,-0.008038843329756578,0.048479006851289023,-0.01383423651150479,0.18525383317657831,-0.01715391025810353,0.1275370915784446,0.07307385103320531,-0.024967522601907717,-0.026047874080782227,0.0423071531485635,0.10352845473607583,0.16636655352025956,-0.03598334605746707,-0.09451994263521937,0.11135663377218605,0.25754716772727626,0.08372629892607106,0.14889604903239967,-0.045852130723686726,-0.05613520166361648,0.0722352256290803,-0.0812735501878575,0.0935138546534654,-0.07008573725062231,0.023622164024238435,0.07365632358336656,0.1182646812975548,0.06818556373134138,0.14665267818915148,0.05372685510589451,0.053496404470881366,-0.04786297992522499,0.17301933372051204,0.0530839486449238,0.02719227692225177,0.005213602937929784,-0.03234841955577674,0.19526794968800273,0.01831741806397776,0.13247266377799735,0.03161172107936796,-0.06281894210437342,-0.024073997280128653,-0.015211774189221384,0.11832668668351619,0.22107689476191397,0.027892823109685914,-0.06876647865747806,0.07612344352650585,0.2525869884152188,0.09116018913873541
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.056784378151584075,-0.1969099940986672,0.06491732628455057,0.015287731674751085,0.06736902873065177,0.10334896098943654,0.1478778202405047,-0.021707111881442833,0.047766815380295355,0.12352901758925422,0.05380235445546586,0.005116206307305792,0.08184694910466869,0.0924457835353319,0.09471632625629606,0.11135906310352787,0.10229530022133246,0.13566518335258143,0.07853599745692351,0.020578043197351816,0.15104300157494358,0.004505903232406306,0.06063164408184824,0.03283883666748255,0.027776676475116224,0.08629955539917954,0.10655053329964051,0.05148023693315463,0.08866359501098185,0.1718455460422728,0.0400602176497281,0.08137224292419674,0.0780147127664545,0.1055914409530744,-0.03615336030506811,-0.08622941787744043,0.06609321393057899,0.1431599085131586,0.13370805704182456,0.1616978196290473,0.07276479481819817,0.009206680938158253,0.07136114186696962,-0.02548306892804313,0.03579695333692351,-0.007586096859502331,0.08427792956025239,0.09376200648618677,0.0871323983705969,0.12501371147565726,0.13776153426136814,0.09210434561414331,0.07872543073398987,-0.051388584421717974,0.08791296563799332,0.1064821634404766,0.0865710602940854,0.035807591544034775,0.030384079075833095,0.12466858898687602,0.09956960943447267,0.04641139347750125,0.023770995852556247,0.05423248936534663,0.002621349565485845,0.062111213231889624,0.10470681390011674,0.1178062819305412,0.02217528370847143,-0.08025103042991626,0.01550445448917309,0.10787247497429958,0.05513102230886529
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.13083260899842386,-0.013111323389727439,-0.03994175418087425,0.07992335197756595,-0.005994004924648341,0.10103480025350614,-0.045336470974453605,-0.04346280149093792,0.1333413827744087,0.07419225427185372,-0.05510789155530593,0.036166156205011984,0.05343179005650952,0.031350265746571765,0.05013848786070749,0.044249337253066526,0.03297081796283847,0.015233628831692799,-0.0035213993723365858,0.039337819472732634,-0.0956992445018583,0.021338611617295805,-0.009926562447001191,-0.05178137549969189,0.04340777593974775,-0.016208548068555286,-0.006638863018619651,0.08203663012161778,0.06699788361100405,-0.02838373563846552,-0.02638924613013663,-0.016534522464809208,0.07905098398321775,-0.09406354946969209,-0.08118270395457497,0.06250886311674973,0.06894865487018201,0.08708493766378353,-0.003862945696282636,0.04361638320583624,-0.03944386334396705,-0.052653724748359124,-0.06665673539992392,0.079150817495027,-0.03598402204253476,-0.006810257650966782,0.08117202044855755,0.008236096274608076,0.09321592395096828,0.05998265198600939,0.037502366905827506,0.0008154576697023541,-0.026550438986596814,0.0418622286267996,0.013902072481962978,0.06458232090947688,0.01821164615693911,-0.060262099433752186,0.050168963330841185,-0.015357752358230722,0.013749278097957876,0.07925903254360751,0.09214336651269774,0.008381365281743419,-0.00812356314856986,0.0250366711663829,0.09188324471069513,-0.01902282937745577,-0.012230992068263667,0.13902895673464305,0.0705950737342454,0.0732652538538711
