# File generated on 2024-02-06 23:09:40
# Number of participants: 366
# Number of patients (depression): 183
# Number of controls: 183
# 1 datasets were included:
# - NKI-Enhanced-all_parts
# Effect size betas (regression coefficient of the linear model including: dx, age, sex, intercept).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.01953569802735996,-0.01157429082568563,-0.028291898517104824,0.004817600354790114,-0.014152008164448879,0.016701011538435655,0.01738783387294635,-0.010557514513644615,-0.0035355271144638096,0.0017242992767890957,0.006688871410776553,-0.005271279387717149,0.022161397865549468,-0.02359722293422496,-0.010869755637433816,0.0015479878961131446,0.006451165144327457,-0.02386036220677987,0.012270104585144265,0.010080573403728331,0.0037748013551131988,0.014508310530990462,0.028320641348894234,-0.0027108033858792746,-0.008636211021204408,0.0027895605352260882,0.0008451774770534044,0.027285666690165196,0.0351250105964583,-0.01697236726950839,0.007465177193460304,-0.017740519731150175,-0.007648868813808834,0.02935557141228637,-0.00396768267265997,0.02882796649626997,0.0018649686533493688,-0.010746362107183497,-0.025368332594075317,0.007478356694303039,0.021327250106398733,-0.007276442948245859,-0.006104008939626745,-0.006781388424425993,0.008432084011744341,0.007269835633940172,-0.003785900640029283,-0.01901475882349207,-0.0048814491174173445,-0.02589817413666993,0.02131071453217449,-0.018455704881655283,0.013593133663378673,0.0041924562663615645,0.017248774361735546,0.004107657161641327,0.031571250893653605,0.004004737437436868,0.0033840635157633093,0.000800685425833634,0.0024559547570013047,0.012764802993225945,0.043712516422430014,-0.027990930589617206,-0.004168363899322552,-0.015049562296244165,-0.009541262976504481,0.02436304042484654,-0.007234732525685488,0.03153053075678566,-0.0029053464012859785,-0.00916467557810609,-0.026771244371763585,-0.005189531577407464,0.026893669582237597,0.01574553225956164,-0.0044716817613990045,0.0023986710520535986,0.017907682663784806,0.00855643964947013,0.004687507554220768
Left-Caudate, nan,nan,-0.007867246633771032,-0.009829489589618065,-0.0021034840207972737,0.02137285082960072,-0.031239558553088603,-0.00991834962763415,0.026476495913001975,-0.0008003242478762225,0.0013493808554939097,0.019343897783212806,0.0198731714083286,0.00807316667532742,0.010745981038006773,-0.017717591574299116,0.022312670387365948,0.0026516226737445516,0.001989542618437513,0.012059711333157816,0.006318414232958789,0.017942016039552294,-0.0023447047893288392,0.0362007771567018,-0.00045929628659769327,0.013155181923419678,0.023804423516761354,0.009934467915408455,0.01125583890553874,-0.005514099991981618,0.007311270029511957,0.015106986602837732,0.010152859101733244,0.020535284018811904,-0.004482112325832357,-0.01716051133693583,-0.012346639273525402,-0.0007198768323611046,-0.013858534258964527,-0.011390184718528984,-0.002225167116537712,0.0027366272695965262,0.001449128747487869,-0.0036951063964982336,0.008241082051624776,0.002043230657312016,0.0054029170819600994,-0.02292836171456045,-0.007545485722291531,-0.02040039821160437,0.0112288878489089,0.0026831189152969745,-0.0015463834915428437,0.02146840996389388,0.013156638673400587,0.01031988381604722,-0.007494968439121899,0.02192285010813436,-0.0046561591897553226,0.007647323951933641,0.0026885090142899845,-0.0013409529407372915,0.0037356570658023374,-0.003436963328913845,0.004208103524061686,0.0051179073808356595,0.010167457753939636,-0.007631298887231949,0.007057020204151532,-0.022330036461421326,0.007150500855737417,-0.005681089206828295,-0.017559705047469988,-0.0037438658414239334,-0.01968395610876182,0.015039862090661629,0.016045775753354086,-0.003026117327763995,0.013452685820845212,0.0003673032904116039,0.00038020618065310533,-0.018283945377525056
Left-Putamen, nan,nan,nan,-0.017262092528942292,-0.005922668021436439,0.012081752129878887,-0.019263721007122092,-0.005827598826333628,-0.02434547395803023,0.030737295634780917,-0.0067469652528358084,0.013458110599480773,0.019564270446064548,0.013886228255533192,0.005526934992827929,-0.010643769962534423,-0.020906248252674006,0.01244049420456062,0.00294100176903106,0.017579195856166924,0.003394114297801825,0.03180894474182595,-0.009990606129339608,0.04714442014574602,-0.03297164250135364,0.014400170989729061,-0.02635569040310538,-0.0025629788844028635,-0.020735076237083268,0.017232150685958184,-0.027327343715463037,-0.023248132003943926,-0.015208773537382902,-0.0006562138225091607,0.010318183465527788,-0.015252605249861259,0.0017483151294484154,0.0016246046663522002,-0.03475464928696956,-0.023403528972080135,-0.02415844286870164,0.036889666125908216,-0.004552285708846023,0.0019444785842354442,-0.005820574592118616,-0.02749879097556265,0.006609323923177815,-0.016706581504654143,0.0030572217952255392,-0.011416616438803465,-0.019802221914698024,0.01995882420744911,0.009690983860949604,0.02311674250210594,-0.005134094870436913,0.030923292182153433,-0.018954602040510585,0.05450310392856811,-0.022423580379039038,0.018348643560617727,-0.029984289245982485,0.0015742420975835218,0.0007207084923053048,0.027143611783803097,-0.015125949761684111,-0.030653199322374692,-0.01807899981900071,-0.00561615684262727,0.019957851115452376,-0.003712136103194935,0.014344275539378684,-0.004418764319060179,-0.0248562876087714,-0.013669061474646894,-0.03578821432326892,0.03254479363719778,0.003942629742784261,-0.0012987485470897695,-0.000813092991565148,0.018607720523587782,0.0039782797332882,-0.0232498130287197
Left-Pallidum, nan,nan,nan,nan,-0.03927363617271079,-0.03397557137594331,-0.0228307146305418,-0.010355003000179221,-0.026969971362797406,-0.013379219413428706,0.001535876969625318,-0.04494836266441894,-0.023009734559492477,0.014372109867145698,-0.005034982343880415,-0.020449235988842962,-0.017704063058712364,0.00879127193421462,-0.007141970451353274,0.012457177333699285,-0.0003743355335993268,-0.004401379171904538,-0.0019772367097782295,0.01587309705147236,-0.008319933266799775,0.008836164116700832,-0.02254899264718927,-0.005819945413021949,-0.005006281862890273,0.00418719327535438,-0.02406628748844655,0.010911204696992985,-0.012670835620638915,0.02662268271733037,-0.027130462541455826,-0.013160267241894268,-0.024876328449949858,0.00912842727464951,-0.019915021072648337,-0.01029521183726402,-0.015556040554226155,0.01345039347469923,-0.02669863652979991,-0.02321479029350173,-0.012325662837133402,-0.004419808440387006,-0.00491231975813868,-0.02084957614566586,-0.016963224703069765,-0.027312554703272086,-0.01226277774658352,0.0250923091112652,0.003180416594306598,-0.0054510381225689715,-0.012244147272374255,0.020555200281430583,-0.015517845345997004,0.022252856378859515,0.004932111626519668,0.0048206453891344505,-0.011818668078961307,-0.008971518663879593,-0.011003604887044929,0.007981197562980972,-0.02546809744054977,-0.0015404022404028356,-0.007939644461448452,0.018759288021011,-0.019070096137399028,-0.013043453468795577,-0.010198180193491828,-0.006341742457900096,-0.03033557839766827,-0.002501426004097439,-0.02040792010535347,0.014897106547357533,-0.02404223311547787,-0.016519086465533375,-0.020441464073436194,0.007355380180336775,-0.01756028986680436,-0.031154478397901156
Left-Hippocampus, nan,nan,nan,nan,nan,0.015416212979435635,0.01357948667027133,-0.0017493029134358314,-0.0006331521461488281,0.008794869135814329,-0.01931973788254982,0.016643598776164475,0.022052896041536447,0.008277060610520533,-0.010627858387444776,-0.01845789962137705,0.01381904325046127,-0.00821361358906442,-0.018562032594412425,-0.029286626736350428,0.015458796829487509,-0.013936519275520995,0.020225967038091,0.005431875267450155,-0.0013419670857806767,-0.010261447496291458,0.01750564436775965,0.006980809596514266,0.011184210823998926,0.016407986340303358,-0.008217351683094506,0.009915586412153028,-0.010606109778164568,0.006955456596932752,0.008792309555810252,0.012734637776080538,-0.014534180155043958,0.017229096765016196,0.018436513406352075,-0.004384763798508765,0.014895010356267889,-0.011604602265328315,0.006415843603203393,-0.019864456234519243,0.006415430469002637,-0.009210256829875915,-0.013585974754816982,-0.04203916529364293,-0.03500827690498814,-0.01656024961159094,-0.023809684829979985,-0.0020634995419039526,0.0020571240026815364,-0.02567432236925375,0.014246395840695333,-0.02839975464040244,0.0028548536885807502,0.0056040863700184155,0.010379549919751662,0.009283287732845437,0.02306454753750595,0.014523466996485724,-0.004667052973936516,0.008410025407056496,-0.04008576483601032,-0.004894403502289609,-0.033312428825469254,0.0006083540708278751,-0.012963989859738094,-0.0036090251307643877,-0.03586620842053738,-0.006189641921890379,0.007772011872923288,-0.02519750594090488,-0.005350805903777059,-0.030017097783626413,0.001665809650010816,-0.03740087434020997,-0.014228283777232151,0.01543599485098919,-0.006456202303165629,-0.03884091676526027
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.006489151876002847,-0.013715302436367583,0.02425999149923367,0.030671527174890315,-0.0054218814334473075,0.029294654489509603,0.024819448981718555,-0.007587312747817432,-0.029543592645019892,-0.022391030752573524,-0.03745471928944423,-0.012165295099015727,-0.028457355243293927,-0.021181733137250854,-0.008128324691878016,-0.0010120196358693447,-0.01954130217112697,-0.013417917083716716,-0.021088759831914845,-0.012127569914223117,-0.007198840438442667,-0.01713183896620559,-0.010866375525249073,0.003033234228987581,-0.014870878717183001,-0.022291618471442943,-0.02711525870076074,-0.018512205876675968,0.001432194195910487,-0.015516802013284056,-0.012458990728581313,-0.028981710814937015,-0.01503555681366455,-0.05304175936687834,-0.033657698213457224,-0.015998804601100085,-0.012178643887751188,-0.016458879346201077,-0.039188655926423545,-0.06003617142169832,-0.02478181409584415,-0.013806153514848608,-0.026045530691839004,-0.011790591935493755,-0.023859192428165713,-0.005282239432995189,-0.007579851038033956,-0.021425178368443508,-0.007335070216609389,-0.029506547511892814,-0.03276631718994758,-0.012631408374601019,-0.015860581712474366,-0.00041153870598793427,0.01506552535707675,0.007653865718621965,-0.017711997471211032,-0.00158205533717705,-0.030164499971273906,-0.022709615389507082,-0.03138075836137749,-0.01847147955922188,-0.010311951507409243,-0.0041328580866963035,-0.030360645823837695,-0.021617044850897507,-0.034099614144943335,-0.048337353974884985,-0.031078433919455577,-0.028658336025362014,-0.011469762055480004,-0.02501155143714606,-0.034601184742274665,-0.0126637678786645,-0.015488878279369825,-0.021874846522815863
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.022498320308599794,-0.035804327320381,-0.004628515422937929,0.029620901726453812,0.016084225163101297,0.0019011048394033123,0.005444909791658279,-0.0032580764497038934,0.002565552369578013,0.006256339848244591,0.005073619437337929,0.0036090756326726935,-0.013123441640388757,0.003634778386391794,-0.007433576597749823,0.011780298210677224,-0.0026723086015293853,-0.0076339028669507964,0.01641821557598684,0.005226597975640856,-0.0026932166752667115,0.00037797268429086466,0.03464498571717272,-0.018607515240886233,-0.007511228075159014,-0.016771270601164682,0.031083003289380205,0.03349282937927238,0.019412759102054825,0.011556833487820769,0.03609824099567497,0.010859088941392005,-0.0041954211013522525,-0.005542714378687956,0.016638611583056295,-0.007104303763249044,-0.009949160992946147,0.011352678639322163,-0.027537209329702994,0.014622918757924394,2.2976353613871998e-05,-0.004867568440223196,-0.005835214654160413,0.0035658102218384365,0.014814093290409239,0.03598707566356089,0.009369457063304833,0.019823412922654653,0.018138325358028333,0.010801065315304087,0.004923530271585739,0.023887036491453576,0.017388865510480075,0.00944306994524699,0.0384668304827156,0.0261300444636851,0.03649136046422322,-0.0011691905748940335,-0.011968713032103617,-0.018937829866254186,0.012824183614519135,0.03528694609508084,0.025423716660221283,0.021092814534486998,0.03207400507737641,-0.011357003352324745,-0.01249580615438981,0.0050566887990541225,0.023563041037352562,0.012373343186102106,0.003953961309820609,0.0054693292578655035,0.00010413847862084116,0.02312240173370019,-0.000641112566961322
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,-0.0025120372932433124,0.0010948246302213492,-0.007004229923013815,-0.006824742222725885,-0.009344977355299775,0.017150758213176458,-0.007601251224671151,-0.00764188639985578,-0.005236269651229166,-0.003850612004801717,-0.015224810623775543,0.0073538330907107,0.00017496265956680053,0.006212587527619957,0.0050206719753076315,0.018830678885968375,-0.013739402399630755,-0.007002604313511554,-0.016646854415134506,0.005380891426574861,-0.005054078222601398,0.020742483770785632,-0.011495334851255814,0.012568150495510305,-0.01887017851008478,-0.005067116120778939,0.016603570693766764,0.002510687405084634,0.01288509669392683,-0.012778534801522148,-0.01866877953479548,-0.023180313740877753,-0.008769000786366676,0.008677398014466344,-0.0066602035059646625,0.0069142521117510885,-0.04363214267323595,0.021539200678244778,0.01081934050598101,0.0014203054837086109,-0.010667099461791507,0.008813929560737744,-0.02086794735088402,0.0036159190555509115,-0.012377361508725652,0.0014121815519274206,-0.00460231805911965,0.02257550678814195,-0.012007183097100449,0.03260111316460667,-0.00421516928743516,0.005596011200134337,-0.011475878903026164,0.00036996012001254966,-0.004034552342238973,0.02890015702116383,-0.016928435288439726,0.004187174019082314,-0.003052834508084479,-0.005801448681349724,0.01679445343092118,-0.0051186749092667514,0.01817422714564786,-0.017675963738954394,-0.029257182800061923,-0.01101240349232093,-0.009034412492170695,0.011245298864067589,0.010068929388583446,0.0006690955120324405,-0.018300148646768162,0.01962704609289873,0.025286518521012796,0.008424712253520646
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.002197838804729558,-0.008396928871744118,0.007452675233524701,0.028412595288187157,0.013349261678361533,0.013355795079893882,-0.021946109899621584,0.013809898492853636,-0.004561999302831711,-0.013415046195699103,0.016671650754716723,-0.007369997249550081,0.03169888879158906,-0.009745123965030645,0.050875750141348326,-0.0006775715219700624,0.011544870674369124,0.02035149075631436,0.013447929971391635,-0.006202218002411746,0.005683480978612795,0.005404482757298205,0.012595750855845118,0.010352096857501143,0.013566492293089547,0.01260695366671648,-0.01724049697793796,-0.0011379440225071462,-0.008931682909372508,-0.02713580735303868,-0.010720776198252468,-0.007058499123903101,0.012694709072025776,0.011194242776118244,-0.0021752121913434386,0.0012524859707552644,-0.016260534539357458,0.007441926176513629,-0.028431512520680772,0.006915512967972239,-0.024555293013600918,0.002526117112240255,0.011371941546230814,0.009961372466086364,0.02493796290816259,-8.83263980875323e-05,0.01797896302730776,-0.01826344861874567,0.03713810430468282,0.0047900262118431005,0.00855732422282391,0.013072656719161687,0.013488613381345828,-0.0020158593633544854,0.001856441972467731,0.0016016333767398577,-0.0009477935566577418,-0.0044391612419339525,-0.009296452712776335,0.020290291156395402,-0.013216456380897173,0.009908387463900473,-0.013908006781994494,-0.0185867163434338,0.007189293693286857,-0.018166975173103266,0.017235779660407742,0.01566054199967695,-0.00498300113449153,-0.00032929037757727553,-0.0035854941983935523,0.007884654208444896,-0.030794232472203333
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.004223624487639868,0.010643356852675461,0.027437231187364394,0.01932002766977795,-0.006936660392181599,-0.0038017249180829858,0.002901662723990921,0.03236257232242643,0.00965841029627032,0.013294518689984965,0.01152477971351726,0.027492737341952178,-0.003825386578156883,0.054535218149342285,-0.031047030685091924,0.01978601103220692,-0.008076824093086903,0.012534227071136116,-0.022095496841524245,0.027403306038430438,-0.001012913786675916,-0.0014919405398314818,0.006592109748338182,0.002156893373196666,0.013099287339259986,-0.006948847085388826,0.024552927952950148,-0.02602367144959436,-0.02807387176408473,-0.022816525518539726,-0.013036384908013593,0.0218633283685104,-0.009136048974629144,0.01070442238325553,0.0022997724697155215,0.0030185635165534764,0.008927375975344824,0.0059074502414639424,-0.017021628686543673,-0.0023095005616980704,-0.013620951177752619,0.019098473323652387,-0.021491235761767497,0.028063170799973773,0.010036760498141582,0.03121575445849168,-0.008791957616594551,0.06186318520966224,-0.03775970540643959,0.023445031148473534,-0.03376487941659644,0.011520627785350481,-0.002589267674718082,0.03330655094488606,-0.00952207197917902,-0.0008693496396235508,-0.0018912106650548805,0.010926768899164918,0.02118404335803424,-0.010184605396969608,0.028214957773445383,-0.019448107271700432,-0.03419814931758196,-0.029486187434222846,-0.02316477348125114,0.016088108604666723,0.006481570682326486,0.005690464480728958,0.022945862478896784,0.017930483991720148,-0.0017125443750961925,-0.006385857691460849
