# File generated on 2024-02-06 23:09:25
# Number of participants: 498
# Number of patients (depression): 249
# Number of controls: 249
# 1 datasets were included:
# - SRPBS1600
# Effect size betas (regression coefficient of the linear model including: dx, age, sex, intercept).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,-0.04547392090462306,-0.03290564116374922,-0.04749438991298745,0.03574078244945504,0.011136580138938305,-0.049919930947780855,-0.05877543828890133,-0.020639167837821097,-0.031037830428157515,-0.0449311864533833,0.02440886219472799,0.03579181520842419,-0.022391485320788364,0.029150209070874677,-0.04116320607888206,-0.007838488048997184,0.014507839445456252,0.003535875334484605,-0.01319021715695875,-0.012596840474540068,-0.0069094968079614245,-0.02939110136342178,-0.0013260629312726812,-0.03942390746059365,-0.006384978138462514,-0.03237078307780641,-0.0025520983686672253,-0.02461555743476668,0.05438249818454605,-0.00749958594713311,-0.0005790211037777695,-0.011024298510582045,-0.03224375776680625,0.08590482191783023,-0.05528172268116555,0.05270914578862981,-0.016193016519805887,-0.03385332634230523,-0.02422091435678137,-0.010199878439306512,0.011674337311884686,0.029414749030051566,-0.015181743154123913,-0.017370272553699908,-0.005001186146482665,-0.007094357459075028,-0.008164015040257468,0.0008275744396616962,-0.05423183567810924,-0.007353724104268345,0.015877855515342036,-0.030719589811462337,-0.009171481352903013,-0.007924627108622413,-0.006335011333072531,-0.026416666653762244,-0.017783793142268134,-0.020241851767706605,0.0009586131234790089,-0.01965521571138714,-0.009361117520600147,0.012821196972026494,0.045498977044972334,-0.020998050084430973,-0.004197863063444565,-0.017918946908335138,-0.03297485121496075,0.07872412942012262,-0.059938548816609594,0.048448736223574124,-0.016025608668486686,-0.03351327849012995,-0.019795162239754308,-0.01489928028970816,0.020290858934986698,0.024653522949184176,-0.03164947301763474,-0.017893459007040438,-0.021645772203895287,-0.04002360845986205,-0.018989648085710555
Left-Caudate, nan,nan,-0.04996097540934699,-0.0286842734898038,0.03075427003789991,-0.013360002208405887,-0.021689659759535986,-0.043080402242956305,-0.032788141349249664,-0.05584931337067294,-0.023092757746748384,0.020819533825830697,-0.008961195480728917,-0.026089700916048366,0.0022127613013542594,-0.014912585118245414,-0.001279972067007377,-0.0031121279108065475,0.01652576763804974,-0.0042897098804817214,0.0054321631811699725,-0.01332949550459045,0.029801018799902566,0.01892328208115289,-0.030498726755280873,0.010707880746951094,-0.011170256406048726,0.009261568944438508,-0.015398049206188731,0.0019712690826728797,-0.029216768533598232,0.013748894209867968,-0.0062160470197834185,-0.0014081723159474172,0.04775442023776818,-0.009156151803467533,0.0004863640273271999,0.03622953988993399,-0.011752549185700395,-0.009865699917930392,0.011983124808838237,-0.01483737002381225,0.02704220972914559,-0.010232014868340352,0.011057820879747257,0.012572497597441615,-0.00554318054842838,-0.019004713519888135,-0.02331383446259822,-0.024745147841060557,-0.03060582843987761,-0.0027563898669366424,0.010183097426881418,0.00046374757679235084,-0.005791395710925525,-0.008538487322329544,0.023633954445987076,0.018811324296355285,-0.015197828492872921,0.006349783921356508,-0.0025557399033894713,-0.008716673674089223,0.018644756041000292,0.004282476312328041,-0.07201121399451357,0.00526687917825772,-0.03782618190427446,-0.004530705606117608,0.042148935664811184,-0.01714161903572146,0.00015565112217878963,0.012558304212564774,-0.012302907223522813,-0.03135576684838009,-0.01326426395670757,-0.021067113735609662,0.011073884246497204,-0.04089509868823436,-0.006033919961237253,0.006991019810956794,-0.014003809581991529,-0.04214884065981315
Left-Putamen, nan,nan,nan,-0.05549402300795426,-0.03713335409770876,-0.04764906153009474,-0.025085033007938337,-0.02737483731400886,-0.031813111308929685,-0.04965118376906921,-0.03576099134849988,-0.034592654011419366,-0.013538167360534266,-0.010369420713267432,-0.012946888974585695,0.001881032190564065,-0.050452304498548525,0.022280780279547264,0.0021013652462942337,-0.00015127521384161418,-0.04726064429633269,-0.025094471960260295,-0.01706335688707761,0.030963595231110596,-0.039061848197987116,0.025501844893918067,-0.05094101529683264,-0.042249397352583845,-0.01824044702018832,0.012707210411123639,-0.0490047040322193,-0.005231139675451642,-0.03964127806279649,0.026624796711651532,0.058478795643887076,-0.05340267042324199,0.021551184925667127,-0.009500330157989869,-0.04983342162869143,-0.022108724649361516,-0.04746573764436651,0.028374540956513674,-0.017798535399830527,-0.03307600840988064,-0.009448905712948591,0.005978784059952308,-0.02411992016269485,-0.022170260865170856,-0.020861348757543474,-0.010191156932984289,-0.037549321134179574,0.021019939259569895,-0.02443504844662593,0.003495182297934499,-0.02705047260654211,-0.005787045102144521,-0.007567340316666295,0.036113003589590124,-0.015137106088462835,0.02641112353227603,-0.04032984748992111,-0.03350595456871836,0.0004646056932356059,0.03673521976487424,-0.03128167481092525,-0.004592094075919471,-0.02718810644955179,0.005077312515538113,0.07036892490170772,-0.026140186545437847,0.03480275124117024,0.0001625815555121707,-0.03867589912860013,-0.01898232702854379,-0.041688773738055504,0.03755094455831612,-0.010653210201825043,-0.008190455526508562,0.002870064749287055,-0.009838351440360707,-0.03507012323454763,-0.029627832062646138
Left-Pallidum, nan,nan,nan,nan,-0.031020334344597705,-0.011632706736974687,-0.02229530053532489,-0.04723208469796447,-0.029282820167875076,-0.06291828892431042,-0.068734645906506,-0.01916096820535619,-0.013935597244665964,-0.03157678155215416,0.004069590623010588,-0.048209599665964414,-0.021836635879571208,-0.011101186255745923,-0.030814919024533573,-0.024776826425103912,-0.020138532370144173,-0.04100955332494138,-0.018958271476900344,-0.004663081546547981,-0.058667516579507244,-0.01706055980191245,-0.036149062666501856,-0.028340380464224466,-0.02736068125491303,0.02414194830435764,-0.015785738891480255,-0.01795267825905397,-0.02609474014522035,-0.02681386050151619,0.0602916202375704,-0.058383662877916825,0.02958584722676922,-0.010359066163586133,-0.03151977515914114,-0.034265689583601155,-0.018939529070800615,0.005381278495620668,-0.004441787483066444,-0.04088887102947076,0.0013214314503954326,-0.01689079199552195,-0.019392865104912546,-0.03508784542236432,-0.007257945055405418,-0.04703051360501785,-0.02610454521591046,-0.013048345089848678,-0.016731293329073558,-0.021844806451486353,-0.006398049131050162,-0.022383393875971207,-0.015357151614644071,0.005009209107562263,-0.04475948283654573,-0.004987441932019335,-0.04360476715079672,-0.0280909781471596,0.0005515380570040848,0.03559846113243018,-0.039561626391445906,-0.038976777348877376,-0.027039180254591493,-0.03360010071001891,0.0488190371261862,-0.04479868800925003,0.01959659922552725,-0.00692814190768341,-0.041360344279137345,-0.05746559502545703,-0.030590963320374434,0.007326970274841705,-0.02127048164339325,-0.03800450009656565,-0.018097786783500755,-0.03273473165616861,-0.025359365588763276,-0.04307588261165759
Left-Hippocampus, nan,nan,nan,nan,nan,-0.04308851831687639,-0.027026465593615646,0.04060705932828832,0.03669541926426735,-0.044822611490615116,-0.027020060191185923,-0.014111964867055337,-0.04013768923179407,-0.03472599059893618,-0.03082291508966428,-0.026435960967339425,0.011411094915580603,-0.010310403774121233,-0.04185549331484251,-0.015343835654402777,0.022440584764709393,-0.00024320009172723765,0.01069702298976233,-0.003421544344822457,-0.016300351206152898,0.00321047263786582,0.009548572062617323,0.011216484700086163,-0.04244458087234586,-0.06570011646543264,-0.026466943518586243,0.0147912389424609,-0.016506787495824887,0.012195896155086145,-0.06200154955483162,-0.03518078482350063,-0.05873188794534295,-0.006760890792696922,-0.004158908291189923,0.013125524905836041,-0.03951326751713821,-0.02655110172110711,-0.03678116761177694,-0.020955071190048795,-0.019670093694710615,-0.012556023242409498,-0.057772742833599726,-0.06067796800964105,-0.05805552107592634,-0.04896523833776832,0.012127440821754085,-0.0007151749269339426,-0.030288556812123526,-0.008927560544349514,0.03791146286301863,0.002805380332261931,8.851994059312536e-05,-0.008235104703162724,-0.023349597308830374,-0.006379837304960499,0.0018482955452187996,0.003792536961900825,-0.017998053559674213,-0.07099633882924754,-0.02328322658784479,0.026084552271613833,-0.0019300085710892408,0.015330250058100115,-0.04736093317483624,-0.050013032475403646,-0.056216144644073436,-0.0004230017153685369,-0.015812134437488207,0.014864421818638847,-0.02825484129384546,-0.03481007023848566,-0.05517742821039974,-0.03477148594899644,-0.006190074099863616,0.005429996846060497,-0.059408367151687944,-0.06497362492018281
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.02393181603372585,0.010056682460298906,-0.004340059028289812,-0.045774613322518434,-0.020379273785147322,-0.025780502533949114,-0.04275721245874332,-0.01443605435211577,-0.031267790383544145,-0.03178815084474529,-0.012321408751581529,-0.016842165118491844,-0.0320203216504429,-0.033493657452644,-0.000678160295594123,-0.017241276431372847,-0.016421089928874553,-0.016068700261108095,-0.029041526559948086,-0.00565908137625445,-0.002297499341656538,-0.017220561807571092,-0.020855976187354335,-0.05325850518274522,-0.04620587218485762,-0.02931084403146955,-0.0452138099210934,0.007542073226964609,-0.034421119427974475,-0.048015849088256915,-0.04102003305100195,-0.015764008964878104,-0.016242966787981417,-0.03053702689204983,-0.05948688698252058,-0.01832271342226404,-0.03366529802900579,-0.03113360491564824,-0.02319735785918328,-0.004727595607760363,-0.03513645237264019,-0.041272139809703734,-0.03372902140410434,-0.04033267712311565,0.011590829101258701,-0.02067388627338349,-0.029042342412923316,-0.03160243125074722,0.02389433444823216,-0.014269140820999258,-0.01255791075713737,-0.02362637482181013,-0.03300793095155362,-0.018898590446396794,0.0035071625492251847,-0.01899850490038878,-0.027020423679448572,-0.04283287815306788,-0.013176333414045487,-0.011311117134727003,-0.0168056170850397,-0.0017344736830420405,-0.02047759688336381,-0.03262512262298237,-0.03433404359485837,2.8214101845141866e-05,-0.010674923718783652,0.007336967573326733,-0.034294185637236914,-0.025025396991220146,-0.04090340752701987,-0.013846949280575959,0.00437164291021469,-0.005823621631594583,-0.03280528706992855,-0.03363784902771048
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,-0.05235118498638088,-0.0012285606546970707,-0.043986941823137025,-0.039008212672066,-0.03802298841452177,-0.033153853237018714,-0.05626449050180964,-0.013907897041414954,-0.009664533312241234,-0.045525384445339656,-0.000511490831594656,-0.024169361483010153,-0.009725447995797085,-0.03003177542303989,-0.0167048858016019,-0.005727146768948036,0.012703986301166401,-0.05609519935183486,0.014220999233491604,-0.05493837090438729,-0.03126996944112243,-0.011781244070844648,-0.01507922595960218,-0.040532859797080656,-0.015060727823821382,-0.04222959449998223,0.01840246107209967,-0.0034362912557272837,-0.02726394001052924,-0.009629651065709167,-0.007730431227592498,-0.02999158776513013,-0.020257505383472704,-0.036931190361638805,-0.005287366594607982,-0.01424856638286523,-0.011589725706190004,-0.005710275869308387,-0.045767494091885,-0.0013588289521111307,-0.040738623242386945,-0.02345813594099266,-0.01612408383535481,-0.029096380438554163,-0.002235115666134571,-0.013192534236460671,-0.017004526957985544,-0.019202190769319803,-0.0012683130196300995,-0.011705591474121218,0.006217003537080696,-0.04117203606063058,0.004047929275335754,-0.04807415877742182,-0.031905870164217566,-0.009311251070922542,-0.005099289984884812,-0.03297382137847863,-0.014082519350883596,-0.03208612090974479,0.012672920863660312,0.0003261411895297786,-0.01126824374461307,-0.0192298754805824,-0.0025875421414690686,-0.054658321825999556,-0.007456295532680639,-0.03367232025110765,-0.012748269102721197,-0.031830908310920336,-0.02748208242674048,0.0013372713503948172,-0.015918244183033673,-0.021017646146897696,-0.04065306102187529
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,-0.02805832799295664,-0.028262118514318257,-0.05142284672873929,0.039639020713631935,0.04467990694711673,-0.021528378964212808,0.03263978852965964,-0.03495830329830715,0.006937604603605333,0.023924237395166043,0.0022297709559652465,-0.014865526834608815,-4.912064004457087e-05,-0.01749621576528035,0.0018520150849822164,-0.00045682434531165914,-0.03235031750273174,0.01655672706172474,-0.015492148104933517,0.010249293993523388,-0.019914666396566028,0.06252371787388628,-0.014577409810866408,0.006817350127697203,-0.01410566115538123,-0.011960036195728014,0.09973673911286528,-0.05839132034834093,0.06017304870188938,0.0107542976392371,-0.03909752216919481,-0.02545298933996696,-0.004268485654059828,0.01697463280156706,0.040929973755093586,-0.01662783405216238,0.002335286121656529,-0.0011593080935561795,0.0022140238247577277,-0.0022899673379388028,0.017394659879463818,-0.05257113770217574,0.0014318670839922145,0.017591402553804408,-0.02722862653846885,0.0030396654906591713,0.0033885566414782035,-0.016113040942616178,-0.0006357824367742218,-0.006525574958214478,-0.0009313368404860567,0.007388352026492342,0.0005222885128627331,-0.0014925643163829765,0.0034758028023571187,0.05017642436716548,-0.02855312319717651,0.004993045847587474,-0.010914114269291349,-0.020521107166422976,0.09291585629058823,-0.07341566559991061,0.0616680574514741,0.004749490336957163,-0.0469401340870845,-0.02508208505995391,-0.01938707323438666,0.01995218001639653,0.04859183034699949,-0.03151247602732286,-0.0018668820200565363,-0.02435650640405574,-0.018980424332627498,-0.01713947386755209
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.038790499493476634,-0.037009940859883086,0.0358923193260672,0.0007839729424272886,-0.007300792940063109,0.01439339332026478,0.000810741141315079,0.010279818166688427,0.008687990422795775,0.011747057660175614,-0.003608767781248098,0.01719233788153001,-0.005860579823857712,0.055648057172277075,0.021226892294272853,-0.00955471107000084,0.023872194269704373,-0.004968061004952812,0.008800535264382856,-0.022441393582247244,0.007721755281562536,-0.022085798965919685,0.013950237478263839,-0.00366954375622648,0.01594439756863102,0.05331463360115727,-0.014875804683923096,0.012546904127369153,0.04681782134397369,0.006174705870557952,-0.0013069346801946563,0.00948367152963468,-0.00029121184098706947,0.0209915017579703,-0.0029978484225754694,0.009650911946438911,0.009457042599273019,-0.011381968739855195,-0.016952520393190312,-0.010639626460596243,-0.02095157991296693,0.0011677884525040437,0.004288589866196403,0.010838657679182673,0.012273561035026765,0.002893008421974867,0.0010130290224360373,0.033196474052661885,0.02282669457616477,0.01080254746939426,0.02011194934223969,0.009808528196962398,0.01041825818457572,0.01678063331108939,0.01945282895960078,-0.05686682946423543,0.023299828160638934,-0.018689451026712222,0.004226995323885874,0.0501015201708786,-0.015973870964450156,0.008545426666021766,0.020939943447381947,0.005089029927665165,-0.012856866848474627,0.004203886949621026,-0.016556552112723843,0.02697942509283702,-0.03265302270177358,0.0032550184500789304,-0.0010262781225601864,-0.0038266783662036603,-0.028380765159739352
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.04665171613832524,-0.050412184854017515,-0.029846002583567698,-0.030511270153019694,-0.024919189590013525,0.0007806227940640895,-0.05308878290512827,0.021271923999473922,0.0017728186609581905,-0.002901797909126275,-0.04761477840550662,-0.029223658530170116,-0.02432215353838066,0.027738790471316117,-0.05372024604703268,0.02650983755265535,-0.0603362222299245,-0.04053859102563694,-0.016713291502592667,0.010107258839528125,-0.04764447446126126,-0.017978913735202207,-0.04367210328297769,0.019031799592030465,0.04914443412513971,-0.04260696647875443,0.019297164894786636,-0.01675417452696869,-0.061544252892066394,-0.034981306599873106,-0.04295061522793554,0.02564434325278921,-0.025044444223944244,-0.028406010094769677,-0.005575303086602015,-0.014687653647586604,-0.02317955899831281,-0.03039390251203005,-0.01552148646006559,-0.021619663826524166,-0.046138647276069755,0.024517551702114997,-0.027768475591383346,-0.007437377530811294,-0.043022730189011475,-0.01714413425512874,-0.024009998766448597,0.029634221499652065,-0.02774775685903924,0.022756453769678376,-0.056292843521982876,-0.039327071033008296,-0.01838968922551216,0.0297272702104676,-0.025436408281588847,-0.008447717522279165,-0.02765762483817082,0.007140889267797013,0.05817098476658594,-0.018650365437897876,0.031848716468177336,-0.012827894537844655,-0.05793560101821097,-0.020775602276233224,-0.0446903732918942,0.030659302894728933,-0.012583607614018772,-0.014086478576478394,0.0007444481109379818,-0.024160944393398935,-0.03998685277559929,-0.02656402589407756
