# File generated on 2024-02-04 11:33:04
# Number of participants: 1948
# Number of patients (depression): 974
# Number of controls: 974
# 7 datasets were included:
# - SCZIowa
# - SRPBS1600
# - Depression_Bezmaternykh
# - HBN
# - MuensterFOR2017
# - MuensterMNC
# - NKI-Enhanced-all_parts
# P-value.
region,volume,surface area,thickness
Left-Thalamus-Proper, nan,nan,nan
Left-Caudate, 0.00249497383774365,nan,nan
Left-Putamen, 0.1337713107799764,nan,nan
Left-Pallidum, 0.5754768059809081,nan,nan
Left-Hippocampus, 0.11987763209500982,nan,nan
Left-Amygdala, 0.03736260767012972,nan,nan
Left-Accumbens-area, 0.01581794268597857,nan,nan
Right-Thalamus-Proper, nan,nan,nan
Right-Caudate, 0.0016046039752669495,nan,nan
Right-Putamen, 0.10644270611052403,nan,nan
Right-Pallidum, 0.14309704220808742,nan,nan
Right-Hippocampus, 0.12101671220629803,nan,nan
Right-Amygdala, 0.4315774920086026,nan,nan
Right-Accumbens-area, 0.20163090518508078,nan,nan
ctx-lh-bankssts, 0.021174932791879344,0.11251503132559844,0.6351708312759681
ctx-lh-caudalanteriorcingulate, 0.06385822025025088,0.1043677388232169,0.7805139956166897
ctx-lh-caudalmiddlefrontal, 0.05511726253371035,0.2171164368001487,0.18708160749126881
ctx-lh-cuneus, 0.06303768721104072,0.024055814713568203,0.9265224783762369
ctx-lh-entorhinal, 0.30280428550695593,0.1924675598641261,0.6882673077164299
ctx-lh-fusiform, 0.2335932425938732,0.1780096646171565,0.8497390784463036
ctx-lh-inferiorparietal, 2.364602272917838e-05,0.00023810502244742528,0.739410916297394
ctx-lh-inferiortemporal, 0.10668689440899497,0.2297763640817693,0.2697880212323724
ctx-lh-isthmuscingulate, 0.022510913602133167,0.07536155296179918,0.7188977305642765
ctx-lh-lateraloccipital, 0.0042065078418026544,0.0025947718783385916,0.8583395318808507
ctx-lh-lateralorbitofrontal, 0.02526819510693638,0.14287852213254082,0.6665396479189927
ctx-lh-lingual, 0.009733450311472406,0.010864977928240926,0.19092274681352886
ctx-lh-medialorbitofrontal, 0.15249121824024986,0.530595852814588,0.14994922502179
ctx-lh-middletemporal, 0.0010730243959175495,0.01756963558331432,0.22907754205872766
ctx-lh-parahippocampal, 0.32045016119767106,0.3309209351366439,0.6828011489462942
ctx-lh-paracentral, 0.00028715113537727143,0.0047375887512181285,0.0915671147079413
