# File generated on 2024-02-04 11:33:05
# Number of participants: 502
# Number of patients (depression): 251
# Number of controls: 251
# 1 datasets were included:
# - SRPBS1600
# Effect size cohen d (regression coefficient normalized by the pooled SD).
region,volume,surface area,thickness
Left-Thalamus-Proper, nan,nan,nan
Left-Caudate, -0.08978062194842744,nan,nan
Left-Putamen, -0.09363971590212891,nan,nan
Left-Pallidum, 0.051297541401669894,nan,nan
Left-Hippocampus, -0.10576485803464684,nan,nan
Left-Amygdala, -0.22784688139554748,nan,nan
Left-Accumbens-area, -0.16251135784949858,nan,nan
Right-Thalamus-Proper, nan,nan,nan
Right-Caudate, -0.1165333807419167,nan,nan
Right-Putamen, -0.0900796710317398,nan,nan
Right-Pallidum, -0.01233720561885129,nan,nan
Right-Hippocampus, -0.054509382807291215,nan,nan
Right-Amygdala, -0.0905701805839728,nan,nan
Right-Accumbens-area, -0.0810199596095072,nan,nan
ctx-lh-bankssts, -0.10942241825471158,-0.013418914412702349,-0.16046144679446744
ctx-lh-caudalanteriorcingulate, -0.17247079413739094,-0.1744354574812672,-0.009567455959195044
ctx-lh-caudalmiddlefrontal, -0.2481853819747478,-0.18403652117820687,-0.21664053436035338
ctx-lh-cuneus, -0.18051735858562298,-0.13849235882997946,-0.10057648914309693
ctx-lh-entorhinal, 0.022714200015220603,-0.005300797729468248,0.038190023102968505
ctx-lh-fusiform, -0.13214926735129368,-0.08969997135306182,-0.046790302254926995
ctx-lh-inferiorparietal, -0.27865241003064384,-0.19330022510789965,-0.11385500238125272
ctx-lh-inferiortemporal, -0.14785946656976356,-0.11618374735084613,-0.0007453414465049627
ctx-lh-isthmuscingulate, -0.29020220594397983,-0.21757377215189486,-0.1506908896468666
ctx-lh-lateraloccipital, -0.2980276481057998,-0.27553245006726007,-0.0367442930329834
ctx-lh-lateralorbitofrontal, -0.3179003866677616,-0.22393981345264852,-0.19776891080689843
ctx-lh-lingual, -0.17451180176892392,-0.16134085540896378,-0.09166253681085283
ctx-lh-medialorbitofrontal, -0.09583840535580126,-0.1615060665150173,0.028549463420969326
ctx-lh-middletemporal, -0.1572031456774506,-0.07778381770811707,-0.1074934108345229
ctx-lh-parahippocampal, 0.010160988143753161,-0.09723461529211226,0.15837989688983475
ctx-lh-paracentral, -0.1978896407712796,-0.20619317372322288,-0.048724497047698254
ctx-lh-parsopercularis, -0.027819254850479973,0.04602474866736421,-0.16819262812099342
ctx-lh-parsorbitalis, -0.2479805545344801,-0.1886018683814472,-0.08802628348887384
ctx-lh-parstriangularis, -0.15630034750886077,-0.10895858751302397,-0.10187426919373578
ctx-lh-pericalcarine, -0.22162912324547004,-0.228016722809088,-0.047947931458665924
ctx-lh-postcentral, -0.17433002597566746,-0.17033516193598,0.001208640631986713
ctx-lh-posteriorcingulate, -0.19223893042636195,-0.18339890279441334,-0.09699099531134078
ctx-lh-precentral, -0.31285012010740887,-0.22458120283803928,-0.181536839394479
ctx-lh-precuneus, -0.238858690702643,-0.2578664834108901,0.05748883258719203
ctx-lh-rostralanteriorcingulate, -0.383400913937796,-0.3085492826849833,-0.15889273322729686
ctx-lh-rostralmiddlefrontal, -0.2604422074338974,-0.201259762595611,-0.16771282301034404
ctx-lh-superiorfrontal, -0.2619095714014249,-0.23837975208632578,-0.12343479691320121
ctx-lh-superiorparietal, -0.24834703296285432,-0.23762829060404778,-2.0061333798087295e-05
ctx-lh-superiortemporal, -0.23562443732010102,-0.18568210273810817,-0.08148747192044745
ctx-lh-supramarginal, -0.10439775404951228,-0.09363128090357853,-0.026567210099438073
ctx-lh-frontalpole, -0.10891480585336574,-0.18024211382054467,-0.03040539787155421
ctx-lh-temporalpole, 0.057239660783878786,-0.09098140656780579,0.155534999856996
ctx-lh-transversetemporal, -0.15878479969131015,-0.1579355690295165,-0.01131592218259098
ctx-lh-insula, -0.3464349975254628,-0.24631246412022065,-0.055576673227606795
ctx-rh-bankssts, -0.21252529826641636,-0.2047366104111343,-0.07258751216761243
ctx-rh-caudalanteriorcingulate, -0.1522212878113535,-0.13402422763543184,-0.045055834658961375
ctx-rh-caudalmiddlefrontal, -0.23892388955719376,-0.18521690719980796,-0.15938419086204378
ctx-rh-cuneus, -0.18943286055532108,-0.1814386178628585,-0.07407906353284688
ctx-rh-entorhinal, 0.0368779472936122,0.06667145173079238,0.003885284509025061
ctx-rh-fusiform, -0.16829637882156026,-0.1974554278384317,0.033084336658499795
ctx-rh-inferiorparietal, -0.32230507337588854,-0.28055760921248474,-0.053464383402252895
ctx-rh-inferiortemporal, -0.215428676266438,-0.18939716784685545,-0.02556008244841225
ctx-rh-isthmuscingulate, -0.015445510768130083,0.006094303907494977,-0.114858771928149
ctx-rh-lateraloccipital, -0.21833852493427924,-0.2460807813141211,0.06638530187532235
ctx-rh-lateralorbitofrontal, -0.3289786144485341,-0.282158180837563,-0.049030305958155246
ctx-rh-lingual, 0.015607938947460494,-0.009733897089269987,-0.03203038199414915
ctx-rh-medialorbitofrontal, -0.20427309336947408,-0.22681897603074047,0.05911330544789488
ctx-rh-middletemporal, -0.24028065803117918,-0.20352548574524665,-0.04676056783536509
ctx-rh-parahippocampal, -0.11036156082646523,-0.2249173503464237,0.19441614255521997
ctx-rh-paracentral, -0.17586105990445,-0.1667237672029515,-0.056895973831595184
ctx-rh-parsopercularis, -0.1499437869120635,-0.1245953847659624,-0.016257532019152195
ctx-rh-parsorbitalis, -0.17450312891863368,-0.15073095504037645,-0.0008881641934330799
ctx-rh-parstriangularis, -0.15275118770131632,-0.11605009285210624,-0.026837034939581915
ctx-rh-pericalcarine, -0.19040540428409847,-0.19417227244489849,-0.049560692238725765
ctx-rh-postcentral, -0.17062831971726536,-0.13263907311694279,-0.07828975033891322
ctx-rh-posteriorcingulate, -0.3448298595823984,-0.29893405688354124,-0.16417352751720504
ctx-rh-precentral, -0.1776395131835454,-0.20863983623493748,0.0337843675770899
ctx-rh-precuneus, -0.055914889353792796,-0.06435946748592095,0.03737299633620393
ctx-rh-rostralanteriorcingulate, -0.1598723042897145,-0.14308719125320515,0.05211640072938994
ctx-rh-rostralmiddlefrontal, -0.22731114032173316,-0.17461147192113796,-0.10055359293625342
ctx-rh-superiorfrontal, -0.3606021193661339,-0.3440186202706822,-0.07235920310114609
ctx-rh-superiorparietal, -0.12150275588261741,-0.1331509049127353,0.028687385396356554
ctx-rh-superiortemporal, -0.13447758211934613,-0.15705782426869483,0.04853479181200138
ctx-rh-supramarginal, 0.007845415717923828,0.06201958499148487,-0.11001933781994615
ctx-rh-frontalpole, -0.10862904995960447,-0.1878595064349699,-0.016302324771826904
ctx-rh-temporalpole, -0.011966175237917731,-0.06878750987209642,0.1368488146124927
ctx-rh-transversetemporal, -0.053196149619497625,-0.06767683735196077,-0.0013017236447495748
ctx-rh-insula, -0.2248622054968961,-0.08618997970467793,-0.12651125802245838
