# File generated on 2024-02-04 08:55:09
# Number of participants: 94
# Number of patients (depression): 47
# Number of controls: 47
# 1 datasets were included:
# - MuensterMNC
# Effect size cohen d (regression coefficient normalized by the pooled SD).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.0742311483636047,0.19666837762284306,0.2595720647826907,0.14305610205543462,0.1235481530717106,-0.11540814385732064,0.061192414657273556,0.34291814901886997,0.027505336100501668,0.15121633450745825,0.05779342204216527,-0.34334471772196723,-0.3284713906661888,nan,0.6285246029898794,nan,nan,-0.10181689067976292,0.37434300351920863,-0.02675073530224096,0.22814738637666535,0.14940194369958348,-0.05067306302216625,0.40526849615236465,-0.05795757730020721,-0.2223023580805748,0.20820790293248784,0.0075968057382630565,0.13199075200321958,-0.16050576480210899,0.5242867156122669,0.4046523535844021,0.03484283668940381,0.17832959563606052,-0.04020922960147684,0.19859247868749003,0.19621986806389802,-0.07195100923464666,0.3626237969654173,-0.030838693441930676,0.1510407758654292,0.17267560952033,nan,0.2676064315261204,0.13920169352080408,nan,0.1871228985103481,nan,0.0630884393140892,nan,nan,nan,-0.23798049749927028,nan,0.05359972544670769,-0.17301578771126513,0.34703542965607026,0.052060850352425254,0.32780356144216777,0.010163156949506848,0.4771284950658464,nan,-0.06416025525081617,nan,0.7997325920290392,-1.4184528402308088,0.23679833148798138,0.4283404970640234,0.1287810260939228,0.16183457164671838,0.0016565973068285065,-0.5751729261510596,0.2764128494817282,0.15427489922503232,0.13285583551095184,-0.19743875512883757,nan,-0.09905456467288754,-0.507264501117839,nan,-0.01881908364108557
Left-Caudate, nan,nan,0.1666931854855975,-0.08482336006104797,-0.05391256973298255,0.4037448537805919,-0.11251955281982391,0.20162822844918357,-0.18492228375158304,0.19981426650075793,0.13310906098886624,0.38255582566630963,-0.002329198969863976,-0.5765282850497143,nan,0.28769205073607496,nan,nan,0.09745795944530315,0.12709567380524164,0.3433959346147074,0.34095040433781976,-0.019136482693995586,0.22042644683483603,0.24762251703230612,0.3037563377071752,0.06519630978410947,0.17732487572100494,0.3772232239632221,-0.13417211654105507,nan,0.3939733396679019,-0.5504354248833506,0.15501530564393753,-0.06442865042404985,0.05769421627923378,-0.12687479081725933,0.4551258648479387,-0.07288602773270146,0.2098636213679713,-0.01776588974545642,0.006856799457971784,0.7458359263709794,nan,0.13811632588769027,0.31279678013784795,nan,0.2692913862700918,nan,0.283806748641646,nan,nan,nan,1.028243555153659,nan,1.8987628516526818,-0.05003978322132636,0.14257635176966948,0.4942064006671381,nan,-0.1288373318352657,nan,nan,0.15247734811731017,nan,nan,-1.6014181973189574,nan,0.1349046663804165,0.3943625620429944,0.10143730191288564,0.3924825999466939,-0.006069390584252469,0.22634551449984827,0.4814622626061744,0.3365914903647184,-0.9770023883123603,nan,0.10020807756309803,0.4024637473844795,nan,0.48572898010900967
Left-Putamen, nan,nan,nan,-0.03016498013477297,0.20068786995806806,0.010676286246521845,0.07895467851954657,0.01244310644842455,0.042979604879922056,-0.05644509401817961,-0.41650562689561,0.43600014351022315,0.052610519152474396,0.12707246968633826,0.11302200741430032,-0.36005962382901974,0.2318185678585284,-0.1153087759589818,-0.2604969091572049,-0.021610120638701182,-0.04116534970832125,-0.2702397606097586,-0.3762910078741354,-0.0986518016721356,0.18414433691258328,0.09441908626873322,0.1208976112377286,-0.31302409000552445,0.26418526700100725,-0.0666183326433224,0.022223557556121532,0.4619393674931161,0.4033911413359038,-0.03403290309574656,0.010754584362201213,0.5281527379161324,0.15766547565050318,-0.19098931883431033,0.1411506701945899,0.2829481782086077,0.13139757820757167,-0.2001382099313001,0.24864624935259566,0.18282845854382207,0.1632265637661952,-0.03112332802044265,0.026014669062394264,0.10558310101947004,nan,0.0672099161401298,nan,0.4070180667303986,nan,0.7515242762255094,0.7471061892124652,0.659346959226126,0.14824529801248013,-0.20528267814800247,0.4879950462343189,0.20880968349181703,0.1350295406660049,0.6450348719314128,nan,nan,-0.2889181983534234,0.3120076425641274,-1.1100938324139398,-0.3226320909040107,0.27395265243077793,nan,0.7163367676601672,0.29976393697278414,0.09493140016801474,-0.11994545075123815,0.16414044455420976,0.3674431165418034,-0.011630751059021364,nan,-0.1853694451147719,-0.18375700324450356,nan,-0.10018423122060266
Left-Pallidum, nan,nan,nan,nan,0.22319409310335497,0.1581094708313191,-0.1548493930135059,0.09001652298378238,-0.05814813301687944,0.14640315905490775,-0.19345852695129914,1.074064485999798,-0.27646708184273266,-0.634084263859661,0.20317694339911208,-0.2356705470496577,0.22252024944446644,nan,-0.11405957182671597,-0.007695882615170112,0.07425885686976634,-0.3996534926028342,-0.22000395890226512,0.09908840598175414,0.3028845719188449,-0.001776954275585561,-0.06004925993199237,-0.3606043618988392,0.16347158153921995,-0.07812048801545396,0.1015935107074438,0.13646412756271445,0.3287974785592332,0.29919545426926214,0.1735118639821988,0.04031281534010914,0.11808126166474164,0.38559770794158144,-0.043627166534931816,0.12174116642075992,-0.02295948295270184,0.11043213138645733,-0.053602451046167794,0.3621331609906756,0.07787762745327646,0.19800692848383855,-0.4132220450605158,0.21477429155695857,nan,-0.15884506681146082,nan,nan,nan,nan,nan,-0.04079124941056696,0.03937489264352853,0.26900361816902274,0.43613328568926907,nan,-0.1809260281939266,-0.009997242795879534,nan,0.029872033030571354,-0.40965096526237066,0.8590832029363092,nan,nan,nan,-0.15051594803819313,0.574059318690011,0.5779007801117443,-0.3089544091900982,0.4427513434359688,-0.08060642387215416,0.9222817877930564,0.17815460974837247,nan,-0.12122191641114806,nan,nan,0.47337309785148096
Left-Hippocampus, nan,nan,nan,nan,nan,-0.0787468101249117,0.22670805424381063,-0.3859166093841186,0.07889622661621713,0.2730438135702224,0.06834314828869704,-0.5075588649531868,0.3674141187035599,-1.1877906179001474,nan,0.3480515078248599,nan,0.08485489939550517,-0.15606605784506863,0.7224123898486605,-0.40315831125971,0.4711041125134286,0.06671425515766641,0.025423978156506225,0.5167171198234026,-0.020529262206575357,0.18123899442153307,0.22607896050627002,0.001875115812678547,nan,nan,-0.7625086642983456,-0.7683212538502172,0.0796917529037663,0.22756408088788124,nan,0.6653382319620222,-0.36165404168603904,0.4458543745539253,-0.14402302792542723,0.1926412112331291,0.047206054025304624,0.3985059465271121,nan,0.29511252037387214,0.20716557434152139,nan,0.19396479455073948,nan,nan,nan,-0.0013133445355423144,nan,-0.4608590680608437,nan,-0.45270920766661743,-0.4687212866727322,-0.7096985928213436,-0.1587682737213012,-0.5107032849488611,-0.6553496153454577,nan,-0.025300728557863448,nan,nan,nan,nan,-0.3349719956727004,nan,nan,nan,-0.08023153156434545,0.5658060747305736,-0.42804661048105797,0.5752650256911053,-0.4738608846093611,0.10820223597259876,nan,0.16266076321605025,-0.43932187608969686,nan,-0.5500855730015429
Left-Amygdala, nan,nan,nan,nan,nan,nan,-0.17619623048932512,0.13435639914034594,nan,0.19842279050798353,0.06861777382687673,0.037199245065724085,0.3955781025819195,nan,-0.6428415865851975,nan,nan,-2.4085972751809472,-0.19793197175073174,-0.04235577078762298,-0.00025126879222923465,-0.13227799793309242,-0.15016125804065045,-0.006825194986840512,0.32094286921857984,-0.699998049084023,0.2083122253341653,-0.26847277031308286,-0.1559949855307983,nan,nan,nan,nan,nan,0.15371794751428447,nan,-0.20998146917822288,-0.4509935554453774,0.057397331140469805,0.02632387363781904,0.06848465990838613,-0.32455116491815694,-0.03778904403479752,nan,0.8433846995749694,-0.0776410842438556,nan,0.2112386038007823,nan,nan,nan,nan,nan,nan,nan,nan,-0.05913589004588328,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.06205025776114146,nan,nan,nan,0.10130733059330693,0.5144446653262783,nan,nan,nan,nan,-0.6532019891081515
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,0.060198364821116165,0.23255497840418676,0.08284782572172356,-0.6832590712640949,0.19980426095969234,nan,0.21114791864400867,nan,nan,nan,nan,-0.042992822219336965,0.13246845755445577,0.5401261220674805,-0.09434167510787195,-0.20106302908929055,-0.004286447213428517,-0.3793742613469409,-0.21901065481329846,-0.09307796704874172,-0.25906783327688165,-0.06208599883209697,nan,nan,nan,nan,0.10875483400195589,-0.12579932860751716,nan,0.18167314193379874,-0.03761081687226232,-0.13017992910877954,-0.06856726445122692,0.28845257522648043,0.12390839784790306,0.46090597891040996,nan,-0.11352266028922539,0.2722954191938787,nan,-0.04688932461327008,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.6156123796247759,1.6021961531520916,nan,0.26914795358509347,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4085682755745797,0.4552859837783091,0.31248248533048756,0.11682183342697289,nan,nan,0.6392641488088548,nan,nan,0.21825551507242
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.2133871917651616,0.13799956292568713,-0.0796869750309336,-0.11548731983809624,0.3048267162247954,0.1570364265499255,nan,0.39114662567157527,nan,nan,nan,-0.07179661258396867,-0.9203190202175152,0.09514854875898474,-0.2110392502644026,-0.544150839113736,-0.0016976497363815973,-0.23396572093774093,-0.01605843454619869,0.5335592899828105,-0.42369316377800526,-0.19183259768810876,0.18951873883880027,0.6483861112549717,nan,-0.5246211768427702,0.27742850154262905,0.1290171955646909,0.18025564960357326,0.18347090292304707,-0.6828130618314798,-0.03532581378209905,0.20141406337967455,0.2523541749109879,0.061121318691289284,nan,-0.05154508089838907,0.006109571828193407,nan,0.06242579817374254,nan,1.28575118921639,0.20891626218106837,0.3664392327848595,-0.18805707529358437,0.23544030855664788,0.050954744909785764,-0.4709160343038808,-0.17646628026231503,-0.2983424964889977,-0.09905621641602966,-0.006203977163371958,-0.32475343013737523,0.25232012222891026,-0.10371959472868075,-0.042626765352146524,nan,0.33847669357665416,0.2387178386883455,0.016433114612391744,0.030151393967393428,0.1984308928417935,0.16870715596193367,-0.11896611272982764,0.5897782448808592,0.22991661324944565,0.25215002981807716,0.13837046249747642,0.06252294161381439,nan,0.03439906001110337,-0.02343017947952726,nan,0.04346666837769197
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.08778983181561356,-0.007996310980095657,-0.035470218116087505,-0.4783647948770664,-0.26370263363196955,nan,nan,nan,nan,nan,0.32881430155586977,nan,nan,-0.022545339827769975,-0.33951875507056173,0.892826715865752,nan,0.041909231176408185,nan,nan,-0.24385378142809783,nan,nan,nan,nan,0.24472556410836754,0.18969551479844346,0.4613152627123704,0.17642088149790686,-0.11872642817260771,0.2599665650602373,0.11849121606574989,0.03891493959673526,0.7465031639358368,nan,-0.4355915464603046,nan,nan,0.2510071496657496,nan,0.28977626626055775,nan,nan,0.18716464166076233,-0.02025110630554784,0.06418864481213919,-0.21590173587977807,-0.40635171387826774,-0.055625176885138586,0.013539795385121622,-0.3753093037387928,-0.001025102143678693,0.303435973873189,0.16450895984696612,0.049384012181825754,nan,-0.0700726112025108,0.014446227424581308,-0.1710088108992816,0.09125797907281676,0.05368785879160981,0.08639362978920712,-0.441194657063503,0.12270930817351308,-0.14045655834435414,0.19027715595291442,-0.1077588237170472,-0.3519364755263594,nan,-0.040813370591729445,-0.13951634793087306,nan,0.122377968572774
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002289270593148455,0.30222851928944827,-0.16464281669405875,-0.23455233115131843,nan,0.4120232224679285,nan,-0.2177184318367741,nan,0.21118600805179344,-0.4193257631132364,0.005917169601948496,-0.005871174531465707,-0.14150983371597337,-0.15920548468070894,-0.8488982639786868,-0.5220264345131895,0.527040984775674,nan,nan,0.13574350534565277,0.65367850947079,0.5989320978070295,-0.6848628311089662,-0.1784628193946468,nan,0.03039163997841853,0.2778713639764717,-0.23460238262501568,0.09488587349677356,0.15700288430421264,0.2665808146823655,0.04619097519450542,nan,0.006625474479327489,0.5773177146010382,nan,0.1276481963592201,0.34053738933166816,0.1749140530608105,-0.03698152133309942,-0.3090830405559936,-0.334947849052637,0.07745432036074462,-0.03531575733307725,-0.04602392664898945,0.029730842732372007,-0.0981807744381852,0.0553081116019837,-0.247883550073517,0.13032387261082443,0.1340867021034822,-0.5335149331792398,-0.5733645229794545,-0.22724863188375943,0.17881605688420055,0.018245464545240654,-0.6846919569482124,-0.14836015962011298,-1.0668924272501916,-0.17767095919970247,-0.28221413082013924,0.11275584042980646,-0.0003356961915851725,-0.06303380184872592,-0.10411811339213799,0.3137939459321728,0.24249167290318155,-0.008711851202070254,-0.16795952251636728,0.2200734554466269,0.33980270675469537
