# File generated on 2024-02-04 08:55:21
# Number of participants: 32
# Number of patients (ftd): 16
# Number of controls: 16
# 2 datasets were included:
# - NIFD
# - OASIS3
# Effect size betas (regression coefficient of the linear model including: dx, age, sex, intercept).
x,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
Left-Thalamus-Proper, nan,0.026750665135283232,-0.046248121228702053,-0.05230016511776921,-0.10809939561333154,-0.06997442238677287,-0.04545895489807861,-0.016298858057084482,-0.010452572681533647,0.0197582509699803,0.045937796562389985,-0.0010848676009582183,-0.057522937970576095,nan,nan,nan,nan,nan,-0.06596186986501935,nan,nan,nan,0.06688239443481782,-0.008344694862730394,-0.04584417416214858,0.0195557113182647,-0.11272364232979777,nan,nan,0.03944818864614784,nan,nan,nan,-0.03438118452898885,0.0442746181902346,0.015161871145646766,0.027648642400625197,0.028323217101368703,nan,-0.04311292569541502,-0.004416421315621505,0.02555278785682209,nan,nan,-0.021924889055238934,-0.06611627617133968,nan,-0.1244469907508125,nan,nan,nan,nan,nan,nan,nan,nan,0.039392079817892674,nan,nan,nan,nan,nan,nan,0.028803474361892813,nan,nan,0.001331802205090061,nan,-0.017773123117842096,-0.008409167119197232,0.0201886722359987,-0.006365704149608988,nan,0.001279671023512565,-0.004122047100595074,-0.011676771150479834,0.00959080893387974,nan,nan,nan,nan,0.015240107547841684
Left-Caudate, nan,nan,-0.02379900901235174,0.008084953960815627,-0.045639062437976746,nan,-0.14202288452883763,-0.0430981952634193,-0.10069523072580254,0.012283425433113976,0.0077531601208461,nan,nan,-0.07321132266023041,nan,-0.04393199890092477,nan,nan,nan,nan,nan,-0.029008390616742947,-0.012408565897588942,-0.03352580864998402,-0.055768905508789796,nan,-0.09708505136757986,nan,nan,0.026450898643877545,nan,nan,nan,nan,0.002279689981484182,-0.053031766206816044,0.016264218707116102,0.04402897007119775,-0.1195764962629041,-0.04559271210242279,-0.026585521538366953,-0.03758284472509785,-0.03862056960130162,nan,-0.04814500111846267,-0.037279542840937624,nan,-0.07522859304002463,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.061376687934589905,nan,-0.08674025198006548,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.1652926438694411,0.02996061052172742,0.00306411779241819,-0.02177580371858651,nan,nan,-0.06966069875716073,nan,nan,0.1125679080412131
Left-Putamen, nan,nan,nan,0.04644306470945694,0.01612341243531074,-0.04519579248357112,-0.04082695419308984,0.00041795817706952615,0.011935562724258898,0.037690700526012706,0.02042237003779313,nan,-0.04425797018783934,0.02788515146191959,-0.019854872228814855,-0.03441730334657826,-0.012940732441030368,-0.06160258168449034,-0.008998297954496304,0.001993941757344655,-0.02942776927024533,0.0018720466071376815,-0.01088455037332543,-0.04469987737844478,-0.06016185024926211,-0.030218873999417716,-0.10110119189469352,-0.04403268360163763,nan,0.01819837184296237,-0.04562419297136532,-0.05037115443060273,-0.054764291622533386,-0.02835577835306103,0.0376187995825573,0.007791986219026654,0.046730194733719886,-0.014603236087490323,-0.006122854353559688,-0.03179837965174932,-0.0019381809068603048,-0.002351229753842506,-0.018361186302174103,-0.0017465017498489023,-0.048091995238694916,-0.031152320518544434,0.007715021397579569,-0.06281643783703993,nan,-0.019837909959770795,nan,nan,nan,nan,nan,nan,0.027532799254029905,nan,0.05517237062696959,nan,0.057027399037342635,nan,nan,nan,0.030998686941437398,-0.027103480708093788,0.020844158467869238,nan,nan,nan,nan,0.004474139318102258,nan,0.006286851526655065,-0.0065498967552229835,-0.007228940277424281,0.028334724495930688,nan,nan,nan,nan,0.04361896545380806
Left-Pallidum, nan,nan,nan,nan,-0.01192188681933355,-0.06937492888352358,-0.06961122856164056,0.0005595058095511483,0.011437313688226258,0.050038046321044485,0.043127488573732005,nan,nan,-0.03939848026304768,nan,nan,nan,-0.06527713226312752,0.00025714969057554805,0.00724803534441127,-0.007599410195569997,-0.016117619392768037,0.0007350297940587075,-0.03155409963530225,-0.05369924489817725,nan,-0.08718373528827819,-0.05371486341706075,nan,0.004783200093421869,nan,-0.047744759624440775,-0.0236128815957772,nan,0.034129410714270336,nan,0.035028737891506685,0.006906300804647203,nan,-0.02973556101638091,0.013837730462864711,0.01376397070479522,-0.05402202612674692,nan,-0.03793038289245125,-0.049229760762819735,nan,-0.0943477215526025,nan,nan,nan,nan,nan,nan,nan,nan,0.004903872663792491,nan,-0.0033490213755575917,nan,0.012374183528311109,nan,nan,-0.00807754663188343,0.01116536960242788,nan,nan,nan,nan,nan,-0.0006535141574551367,-0.007171079185828754,nan,-0.01723433580426844,0.003781347356587319,-0.03545800070792756,0.009299747913238694,nan,nan,nan,nan,0.04186058683702672
Left-Hippocampus, nan,nan,nan,nan,nan,-0.017355056350918163,nan,-0.1351994548731785,nan,-0.0818671998573617,nan,nan,nan,nan,nan,nan,nan,-0.05888756510452429,-0.06209291328432961,-0.09780712989011317,nan,-0.07507481066857971,-0.11255380793398695,-0.07757827117108551,nan,-0.07232796123014304,-0.004050611628538788,nan,-0.08549435305704682,nan,nan,nan,nan,-0.0926152036506029,nan,nan,nan,-0.0327293954128179,nan,-0.029966126894923537,-0.029971798073568274,-0.028909234357900507,nan,nan,nan,-0.028586464864503183,nan,-0.007917435917471821,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Left-Amygdala, nan,nan,nan,nan,nan,nan,nan,nan,nan,0.02530636158964869,0.03867567033391968,nan,nan,nan,nan,nan,nan,nan,-0.03763802442638852,0.031488566622833364,nan,-0.043238429795132406,0.04756566491880086,-0.0032471019525567276,nan,nan,-0.056253934253316644,nan,-0.028900805253118184,nan,nan,nan,nan,nan,nan,nan,nan,0.014617123904826456,nan,nan,nan,-0.0029420974542532638,-0.035463917383223104,nan,nan,-0.058035753853987515,nan,0.004542013738198324,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Left-Accumbens-area, nan,nan,nan,nan,nan,nan,nan,nan,-0.12865477926577618,0.08183681190314353,nan,nan,nan,-0.12099026528876154,nan,-0.053911134412289556,nan,nan,nan,nan,nan,nan,nan,nan,-0.08745458378729667,nan,-0.06576884207692268,nan,nan,nan,nan,nan,nan,nan,nan,-0.05507463939836597,nan,-0.037921503536708284,-0.06065590312120423,nan,nan,-0.05389913412433182,-0.07795614072075603,nan,nan,-0.065076424611868,nan,-0.06246136377807251,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.030834669552253793,nan,-0.1561599703249942,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.29197477008501893,nan,nan,nan,nan,nan,nan,nan,nan,nan
Right-Thalamus-Proper, nan,nan,nan,nan,nan,nan,nan,nan,0.02097857221796284,0.020394412736032944,-0.07701601821632599,-0.08231147171469518,-0.09363579614949963,-0.09867284975767984,nan,nan,nan,nan,nan,nan,nan,nan,0.005074687255026869,nan,nan,nan,nan,nan,nan,-0.01478031351977514,nan,nan,nan,nan,0.029799644142554267,-0.0009720497747494458,0.01526242078808493,-0.04589166906721416,nan,-0.05276934659211144,0.012128028793232251,-0.019806118866888146,nan,nan,nan,nan,nan,-0.02607202445313793,nan,nan,nan,nan,nan,-0.026096424690676093,nan,-0.022558038534956564,0.034181933307745355,0.004973136926514646,-0.10746277619827255,0.04500608709449058,-0.14030437565643594,nan,nan,0.0161632046362829,nan,-0.01956090917112092,-0.01834133761265967,-0.006703452540987392,-0.020607816265023005,-0.022447248238881858,0.012195370475498664,0.029036245949612082,nan,-0.034119931119534194,0.021501893316069772,0.017251229777020954,nan,nan,-0.051796277652476276,nan,nan,-0.02820818434079285
Right-Caudate, nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.007659907015437133,0.004149657921755453,-0.07760956907923502,-0.04375729862844293,-0.048996162639648774,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.046776981555863295,nan,-0.07253651709173599,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.18068519082971507,-0.018954162830465734,-0.0035730639937450554,nan,nan,nan,-0.04226655624587125,nan,nan,0.0032395571590114114,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.05369910100881974,-0.1092204860289352,nan,-0.11290364477098654,nan,nan,0.004047824380976073,nan,nan,nan,nan,nan,nan,0.006662755957344279,0.0034499630236723266,-0.12115675869393507,-0.04541956686081507,-0.015140089961937019,-0.0011476855756927088,nan,nan,-0.05584582749537823,-0.01379133923322139,nan,-0.03418632015307822
Right-Putamen, nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.016216933340050074,-0.03381808663373595,-0.012971709201082884,0.015755438259739588,nan,nan,nan,nan,nan,nan,nan,nan,-0.013247179980023891,-0.010420445981292535,0.10146325502743749,nan,0.056427288465285115,nan,nan,nan,nan,nan,-0.03072561749631485,-0.030402187177978553,nan,nan,nan,0.017334750278510187,nan,nan,0.004882659691551786,0.03583878308636182,-0.017112717512686396,nan,nan,nan,nan,0.020552499253480416,-0.023793793310831545,-0.05042844972399871,0.00360972995566136,0.008395294242276828,nan,-0.06948041370207789,-0.016741772296562523,-0.012288902693499689,0.019255266761848234,-0.029436367910770807,-0.07392101315332929,-0.011304784516212371,-0.12681751750362436,-0.022351362960555194,0.005460505849693709,0.0562595338392144,-0.04905506914400003,-0.03511851546123779,-0.03662725847614782,-0.02802746737479665,0.015348625643089439,nan,0.034375728630868053,-0.009462538650812013,nan,-0.03924811477799296,0.01306376279110326,-0.001305310695641937,-0.0017568446951596866,-0.015024774334680187,-0.05491500000746219,-0.0379268013790428,-0.00923871556192436,-0.05633878415834755
