,ctx-lh-FA,ctx-lh-FB,ctx-lh-FBA,ctx-lh-FC,ctx-lh-FCBm,ctx-lh-FDdelta,ctx-lh-FDL,ctx-lh-FDm,ctx-lh-FDp,ctx-lh-FE,ctx-lh-FF,ctx-lh-FG,ctx-lh-FH,ctx-lh-FL,ctx-lh-H,ctx-lh-IA,ctx-lh-IB,ctx-lh-LA,ctx-lh-LC1,ctx-lh-LC2,ctx-lh-LE,ctx-lh-OA,ctx-lh-OB,ctx-lh-OC,ctx-lh-PB,ctx-lh-PC,ctx-lh-PEm,ctx-lh-PEp,ctx-lh-PF,ctx-lh-PFD,ctx-lh-PG,ctx-lh-PH,ctx-lh-TA,ctx-lh-TB,ctx-lh-TE1,ctx-lh-TE2,ctx-lh-TF,ctx-lh-TG,ctx-rh-FA,ctx-rh-FB,ctx-rh-FBA,ctx-rh-FC,ctx-rh-FCBm,ctx-rh-FDdelta,ctx-rh-FDL,ctx-rh-FDm,ctx-rh-FDp,ctx-rh-FE,ctx-rh-FF,ctx-rh-FG,ctx-rh-FH,ctx-rh-FL,ctx-rh-H,ctx-rh-IA,ctx-rh-IB,ctx-rh-LA,ctx-rh-LC1,ctx-rh-LC2,ctx-rh-LE,ctx-rh-OA,ctx-rh-OB,ctx-rh-OC,ctx-rh-PB,ctx-rh-PC,ctx-rh-PEm,ctx-rh-PEp,ctx-rh-PF,ctx-rh-PFD,ctx-rh-PG,ctx-rh-PH,ctx-rh-TA,ctx-rh-TB,ctx-rh-TE1,ctx-rh-TE2,ctx-rh-TF,ctx-rh-TG
ctx-lh-FA,,-0.06,-0.404,-0.261,-0.398,-0.328,-0.278,-0.402,-0.284,-0.19,-0.286,-0.236,-0.262,-0.075,-0.301,-0.46,-0.475,-0.35,-0.189,-0.146,-0.346,-0.348,-0.33,-0.46,-0.385,-0.338,0.029,0.01,-0.005,-0.417,0.025,-0.414,-0.488,-0.52,-0.341,-0.216,-0.269,-0.225,-0.454,-0.068,-0.294,-0.183,-0.264,-0.205,-0.536,-0.304,-0.265,-0.221,-0.318,-0.205,-0.299,-0.144,-0.188,-0.3,-0.369,-0.291,-0.203,-0.228,-0.361,-0.362,-0.408,-0.425,-0.38,-0.307,-0.135,-0.117,-0.147,-0.475,-0.054,-0.444,-0.484,-0.434,-0.321,-0.135,-0.265,-0.164
ctx-lh-FB,,,-0.241,-0.405,-0.542,-0.416,-0.199,-0.45,-0.459,-0.302,-0.511,-0.269,-0.193,0.044,-0.29,-0.308,-0.264,-0.152,-0.318,-0.342,-0.355,-0.197,-0.17,-0.291,-0.09,-0.061,-0.251,-0.37,-0.409,-0.193,-0.368,-0.322,-0.405,-0.444,-0.494,-0.342,-0.377,-0.298,-0.182,-0.234,-0.2,-0.305,-0.31,-0.167,-0.495,-0.222,-0.279,-0.334,-0.35,-0.108,-0.182,-0.164,-0.164,-0.188,-0.215,-0.172,-0.355,-0.291,-0.255,-0.28,-0.247,-0.309,-0.198,-0.08,-0.265,-0.33,-0.237,-0.35,-0.372,-0.363,-0.358,-0.437,-0.389,-0.242,-0.274,-0.26
ctx-lh-FBA,,,,-0.238,-0.339,-0.181,0.02,-0.187,-0.285,-0.191,-0.429,-0.106,-0.174,-0.141,-0.347,-0.708,-0.557,-0.36,0.099,0.06,-0.02,-0.213,-0.181,-0.185,-0.391,-0.369,-0.229,-0.112,-0.47,-0.229,0.055,-0.297,-0.571,-0.498,-0.329,-0.386,-0.447,-0.518,-0.436,-0.305,-0.624,-0.15,-0.496,-0.047,-0.088,-0.283,-0.121,-0.225,-0.349,0.088,-0.193,-0.073,-0.272,-0.63,-0.679,-0.397,0.033,0.095,-0.052,-0.144,-0.121,-0.223,-0.455,-0.386,-0.409,-0.178,-0.391,-0.572,0.057,-0.222,-0.572,-0.498,-0.294,-0.155,-0.306,-0.381
ctx-lh-FC,,,,,-0.338,-0.027,-0.121,-0.272,-0.332,-0.284,-0.521,-0.132,-0.205,0.117,-0.121,-0.094,-0.199,-0.109,-0.312,-0.382,-0.286,-0.24,-0.217,-0.19,-0.298,-0.331,-0.315,-0.32,-0.485,-0.221,-0.337,-0.38,-0.439,-0.34,-0.493,-0.299,-0.348,-0.237,-0.345,-0.332,-0.294,-0.109,-0.245,0.02,-0.311,-0.089,-0.131,-0.28,-0.279,-0.015,-0.055,-0.072,-0.051,-0.128,-0.226,-0.047,-0.198,-0.293,-0.263,-0.297,-0.19,-0.223,-0.237,-0.187,-0.308,-0.316,-0.407,-0.442,-0.254,-0.382,-0.456,-0.469,-0.39,-0.322,-0.256,-0.19
ctx-lh-FCBm,,,,,,-0.232,-0.157,-0.312,-0.382,-0.142,-0.477,-0.184,-0.259,-0.086,-0.366,-0.46,-0.24,-0.215,-0.141,-0.209,-0.239,-0.328,-0.279,-0.3,-0.32,-0.299,-0.273,-0.323,-0.419,-0.237,-0.267,-0.336,-0.56,-0.447,-0.618,-0.309,-0.31,-0.427,-0.408,-0.379,-0.389,-0.104,-0.37,0.014,-0.177,-0.213,-0.203,-0.228,-0.368,0.026,-0.136,-0.22,-0.3,-0.383,-0.503,-0.199,-0.088,-0.045,-0.211,-0.353,-0.292,-0.307,-0.324,-0.278,-0.357,-0.298,-0.326,-0.488,-0.143,-0.378,-0.508,-0.555,-0.439,-0.162,-0.268,-0.361
ctx-lh-FDdelta,,,,,,,0.009,-0.033,-0.16,-0.175,-0.379,-0.094,-0.086,0.089,-0.091,-0.135,-0.237,-0.209,-0.171,-0.19,-0.127,-0.178,-0.141,-0.103,-0.26,-0.266,-0.444,-0.329,-0.382,-0.329,-0.263,-0.263,-0.441,-0.281,-0.481,-0.252,-0.211,-0.229,-0.309,-0.368,-0.353,0.057,-0.235,0.006,0.118,0.04,0.111,-0.175,-0.196,0.06,0.061,0.001,-0.015,-0.129,-0.167,-0.108,-0.11,-0.145,-0.023,-0.259,-0.13,-0.121,-0.312,-0.183,-0.382,-0.278,-0.359,-0.409,-0.172,-0.371,-0.446,-0.433,-0.353,-0.184,-0.185,-0.2
ctx-lh-FDL,,,,,,,,-0.185,-0.044,-0.182,-0.258,-0.048,-0.22,0.152,-0.197,0.047,-0.187,-0.261,-0.198,-0.137,-0.188,0.018,-0.181,0.003,-0.266,-0.202,-0.202,0.057,-0.036,-0.189,-0.093,-0.103,-0.35,-0.089,-0.259,-0.203,-0.184,-0.277,-0.217,-0.262,-0.174,-0.036,-0.052,0.112,-0.281,-0.172,0.122,-0.28,-0.179,0.091,-0.144,-0.002,-0.169,0.022,-0.135,-0.254,-0.115,-0.288,-0.263,-0.06,-0.058,-0.045,-0.228,-0.137,-0.104,-0.019,-0.161,-0.336,-0.019,-0.049,-0.441,-0.423,-0.242,-0.084,-0.087,-0.154
ctx-lh-FDm,,,,,,,,,-0.218,-0.344,-0.482,-0.125,-0.167,0.043,-0.121,-0.107,-0.279,-0.346,-0.349,-0.247,-0.197,-0.281,-0.267,-0.22,-0.348,-0.413,-0.406,-0.19,-0.39,-0.243,-0.277,-0.328,-0.525,-0.335,-0.483,-0.293,-0.28,-0.31,-0.444,-0.436,-0.318,-0.102,-0.264,-0.078,-0.254,-0.213,-0.187,-0.378,-0.313,-0.083,-0.107,-0.082,-0.123,-0.156,-0.23,-0.242,-0.136,-0.335,-0.189,-0.338,-0.219,-0.249,-0.366,-0.313,-0.334,-0.228,-0.404,-0.478,-0.171,-0.396,-0.533,-0.584,-0.358,-0.266,-0.255,-0.237
ctx-lh-FDp,,,,,,,,,,-0.122,-0.425,-0.193,-0.203,0.148,-0.24,-0.048,-0.043,-0.016,-0.018,-0.149,-0.11,-0.184,-0.17,-0.124,-0.207,-0.211,-0.27,-0.157,-0.337,-0.14,-0.155,-0.217,-0.362,-0.215,-0.51,-0.299,-0.34,-0.375,-0.292,-0.376,-0.209,-0.178,-0.185,0.101,0.049,-0.042,0.082,-0.057,-0.241,0.078,-0.102,-0.102,-0.127,-0.12,-0.196,0.052,0.061,-0.085,-0.095,-0.247,-0.114,-0.189,-0.229,-0.172,-0.28,-0.146,-0.223,-0.352,-0.067,-0.222,-0.442,-0.402,-0.324,-0.102,-0.176,-0.233
ctx-lh-FE,,,,,,,,,,,-0.141,-0.345,-0.175,0.096,-0.291,0.188,-0.073,-0.168,-0.35,-0.297,-0.272,-0.101,-0.114,0.036,-0.132,-0.159,-0.242,-0.049,-0.104,-0.223,-0.299,-0.143,-0.208,-0.027,-0.324,-0.192,-0.312,-0.207,-0.231,-0.257,-0.132,-0.231,0.017,0.011,-0.261,-0.203,-0.105,-0.186,-0.094,-0.035,-0.279,-0.078,-0.242,0.185,-0.058,-0.086,-0.24,-0.338,-0.335,-0.156,-0.103,-0.06,-0.241,-0.053,-0.047,0.008,-0.042,-0.254,-0.142,-0.055,-0.111,-0.185,-0.137,-0.087,-0.167,-0.126
