,ctx-lh-FA,ctx-lh-FB,ctx-lh-FBA,ctx-lh-FC,ctx-lh-FCBm,ctx-lh-FDdelta,ctx-lh-FDL,ctx-lh-FDm,ctx-lh-FDp,ctx-lh-FE,ctx-lh-FF,ctx-lh-FG,ctx-lh-FH,ctx-lh-FL,ctx-lh-H,ctx-lh-IA,ctx-lh-IB,ctx-lh-LA,ctx-lh-LC1,ctx-lh-LC2,ctx-lh-LE,ctx-lh-OA,ctx-lh-OB,ctx-lh-OC,ctx-lh-PB,ctx-lh-PC,ctx-lh-PEm,ctx-lh-PEp,ctx-lh-PF,ctx-lh-PFD,ctx-lh-PG,ctx-lh-PH,ctx-lh-TA,ctx-lh-TB,ctx-lh-TE1,ctx-lh-TE2,ctx-lh-TF,ctx-lh-TG,ctx-rh-FA,ctx-rh-FB,ctx-rh-FBA,ctx-rh-FC,ctx-rh-FCBm,ctx-rh-FDdelta,ctx-rh-FDL,ctx-rh-FDm,ctx-rh-FDp,ctx-rh-FE,ctx-rh-FF,ctx-rh-FG,ctx-rh-FH,ctx-rh-FL,ctx-rh-H,ctx-rh-IA,ctx-rh-IB,ctx-rh-LA,ctx-rh-LC1,ctx-rh-LC2,ctx-rh-LE,ctx-rh-OA,ctx-rh-OB,ctx-rh-OC,ctx-rh-PB,ctx-rh-PC,ctx-rh-PEm,ctx-rh-PEp,ctx-rh-PF,ctx-rh-PFD,ctx-rh-PG,ctx-rh-PH,ctx-rh-TA,ctx-rh-TB,ctx-rh-TE1,ctx-rh-TE2,ctx-rh-TF,ctx-rh-TG
ctx-lh-FA,,-0.099,-0.126,-0.095,0.175,0.167,-0.036,-0.028,0.072,-0.04,0.053,0.326,0.32,-0.098,0.325,0.121,0.224,0.056,-0.044,-0.183,-0.274,-0.077,0.054,0.034,-0.13,-0.108,0.198,0.099,0.18,-0.07,0.017,0.051,0.112,0.018,0.027,0.112,0.154,-0.022,-0.165,0.018,-0.071,-0.12,0.058,0.011,-0.153,-0.073,-0.031,-0.11,-0.049,0.078,0.158,-0.079,-0.017,0.149,0.04,-0.026,0.007,-0.139,-0.078,-0.035,-0.026,0.013,-0.03,-0.291,0.166,0.117,0.053,-0.168,0.043,0.057,0.145,0.182,-0.056,0.232,-0.042,-0.063
ctx-lh-FB,,,-0.26,0.036,0.219,0.244,0.026,0.037,0.129,0.02,0.194,0.175,0.215,0.038,0.109,0.013,0.204,0.036,-0.027,-0.062,-0.2,-0.096,-0.014,0.082,-0.274,0.061,0.23,0.195,0.169,-0.02,-0.016,-0.112,-0.03,-0.089,0.1,0.147,0.065,-0.064,-0.243,-0.336,-0.213,-0.277,-0.182,-0.121,-0.165,-0.2,-0.169,-0.098,-0.113,-0.148,0.192,-0.04,-0.117,-0.009,-0.051,-0.121,-0.016,-0.086,0.023,-0.052,0.089,0.094,-0.23,-0.18,0.087,0.154,-0.118,-0.085,-0.016,-0.08,0.097,0.025,-0.149,0.12,-0.186,-0.18
ctx-lh-FBA,,,,-0.216,-0.346,0.071,-0.111,-0.112,-0.075,-0.017,-0.077,0.337,0.163,-0.152,0.136,0.14,0.174,0.1,-0.064,-0.071,-0.162,0.186,0.296,0.18,-0.033,0.179,0.294,0.308,0.071,-0.093,0.097,0.112,-0.215,-0.091,-0.205,0.056,0.049,-0.135,0.068,-0.146,-0.049,-0.244,-0.167,-0.113,-0.191,-0.252,-0.073,-0.095,-0.141,-0.088,0.121,-0.071,-0.044,0.111,-0.013,-0.112,-0.029,-0.189,0.018,0.149,0.243,0.164,0.12,0.023,0.202,0.284,0.088,0.077,-0.008,0.154,-0.169,-0.026,-0.248,0.145,-0.162,-0.298
ctx-lh-FC,,,,,-0.002,0.037,0.178,0.051,0.144,-0.009,0.104,0.179,0.254,-0.045,0.064,-0.073,-0.053,-0.059,0.245,0.172,0.02,0.043,0.029,0.068,-0.105,-0.1,0.121,0.218,-0.119,-0.103,0.32,-0.094,0.052,-0.119,0.182,-0.052,-0.051,0.093,-0.168,-0.341,-0.309,-0.288,-0.234,-0.009,0.158,-0.149,-0.038,-0.051,-0.053,-0.003,0.379,-0.096,-0.021,-0.278,-0.23,-0.207,-0.01,0.004,0.12,0.013,0.099,0.042,-0.211,-0.246,0.008,0.191,-0.275,-0.173,0.132,-0.033,-0.099,-0.021,-0.001,-0.006,-0.104,0.092
ctx-lh-FCBm,,,,,,0.386,0.111,0.148,0.222,0.144,0.257,0.372,0.386,-0.025,-0.122,-0.202,-0.053,0.267,0.088,0.097,-0.025,0.323,0.346,0.348,0.1,0.137,0.382,0.348,0.078,-0.065,0.176,0.212,-0.131,-0.324,0.157,0.053,0.04,-0.073,0.174,-0.139,-0.149,-0.253,-0.053,-0.016,0.023,-0.005,-0.16,-0.038,-0.134,-0.01,0.246,-0.068,-0.201,-0.227,-0.191,0.017,-0.057,-0.134,0.052,0.319,0.36,0.316,0.082,0.023,0.248,0.334,-0.098,-0.027,0.081,0.396,-0.014,-0.044,0.026,0.282,-0.043,-0.185
ctx-lh-FDdelta,,,,,,,-0.121,-0.083,-0.035,-0.087,0.053,0.202,0.263,0.013,0.035,0.252,0.173,0.136,0.056,0.059,0.003,0.048,-0.033,0.124,0.078,0.108,0.217,0.161,0.264,0.152,-0.037,0.021,0.199,0.09,0.053,-0.031,-0.082,-0.045,0.024,0.043,0.052,-0.132,0.067,0.115,-0.08,-0.033,-0.079,-0.091,0.03,0.206,0.209,0.059,-0.084,0.085,-0.025,0.18,-0.029,-0.11,-0.001,0.09,0.138,0.165,0.031,-0.014,0.114,0.181,0.135,-0.134,0.123,0.144,0.122,0.144,0.002,0.154,-0.01,-0.125
ctx-lh-FDL,,,,,,,,0.065,-0.063,-0.208,-0.055,-0.077,0.011,-0.056,-0.013,0.142,-0.221,-0.044,0.182,0.221,0.107,0.049,-0.058,-0.002,0.007,-0.142,0.095,0.157,0.008,-0.066,0.226,-0.03,-0.19,-0.182,-0.121,-0.061,-0.162,-0.024,-0.009,-0.169,-0.061,-0.247,-0.066,-0.161,-0.129,-0.191,-0.324,-0.261,-0.168,-0.231,-0.061,-0.317,0.008,-0.044,-0.195,-0.009,-0.079,-0.115,0.022,0.032,-0.022,-0.055,-0.123,-0.123,0.056,0.092,-0.023,-0.138,0.035,0.135,-0.073,-0.042,-0.025,-0.016,0.041,0.117
ctx-lh-FDm,,,,,,,,,-0.103,-0.16,0.029,0.067,0.199,-0.15,0.022,0.04,-0.063,-0.021,0.203,0.244,0.126,0.157,0.113,0.137,-0.002,-0.101,0.112,0.195,-0.107,-0.074,0.257,-0.013,0.016,-0.103,0.015,-0.185,-0.143,-0.045,-0.123,-0.231,-0.13,-0.366,-0.149,-0.247,-0.008,-0.229,-0.241,-0.225,-0.104,-0.129,0.175,-0.198,-0.083,-0.131,-0.127,-0.113,-0.032,-0.116,0.059,0.218,0.182,0.151,-0.109,-0.203,0.024,0.197,-0.155,-0.18,0.075,0.182,-0.03,0.107,-0.009,-0.074,-0.078,-0.035
ctx-lh-FDp,,,,,,,,,,-0.131,-0.067,0.268,0.258,-0.08,0.01,-0.222,-0.134,-0.127,0.084,0.111,0.008,-0.064,-0.035,0.035,-0.019,-0.084,-0.057,0.04,-0.031,-0.04,-0.074,-0.121,0.211,-0.16,0.216,-0.107,-0.067,-0.033,-0.082,-0.211,-0.104,-0.272,-0.102,-0.068,0.013,-0.106,-0.138,-0.282,-0.21,-0.016,0.155,-0.013,-0.072,-0.145,-0.184,-0.094,-0.082,-0.067,0.049,-0.041,0.033,-0.011,-0.116,-0.245,-0.034,0.026,-0.118,-0.274,0.032,-0.05,0.043,-0.024,0.019,-0.082,-0.168,-0.181
ctx-lh-FE,,,,,,,,,,,-0.109,0.048,-0.2,0.091,-0.044,-0.071,-0.042,-0.069,-0.124,-0.114,-0.296,-0.131,-0.196,-0.103,-0.254,-0.24,-0.225,-0.048,-0.052,-0.014,-0.143,-0.143,-0.064,-0.186,-0.147,-0.19,-0.231,0.06,-0.249,-0.247,-0.099,-0.33,-0.105,-0.369,-0.195,-0.304,-0.381,-0.459,-0.244,-0.166,-0.143,-0.184,-0.125,0.021,-0.145,-0.117,-0.385,-0.378,-0.326,-0.148,-0.166,-0.114,-0.304,-0.43,-0.273,-0.058,-0.206,-0.308,-0.115,-0.12,-0.178,-0.029,-0.159,-0.247,-0.347,-0.179
