,ctx-lh-BA1_3,ctx-lh-BA2,ctx-lh-BA4,ctx-lh-BA5,ctx-lh-BA6,ctx-lh-BA7,ctx-lh-BA8,ctx-lh-BA9,ctx-lh-BA10,ctx-lh-BA11,ctx-lh-BA13,ctx-lh-BA16,ctx-lh-BA17,ctx-lh-BA18,ctx-lh-BA19,ctx-lh-BA20,ctx-lh-BA21,ctx-lh-BA22,ctx-lh-BA23,ctx-lh-BA24,ctx-lh-BA25,ctx-lh-BA26_29_30,ctx-lh-BA27,ctx-lh-BA28,ctx-lh-BA31,ctx-lh-BA32,ctx-lh-BA33,ctx-lh-BA34,ctx-lh-BA35_36,ctx-lh-BA37,ctx-lh-BA38,ctx-lh-BA39,ctx-lh-BA40,ctx-lh-BA41_42_52,ctx-lh-BA43,ctx-lh-BA44,ctx-lh-BA45,ctx-lh-BA46,ctx-lh-BA47,ctx-rh-BA1_3,ctx-rh-BA2,ctx-rh-BA4,ctx-rh-BA5,ctx-rh-BA6,ctx-rh-BA7,ctx-rh-BA8,ctx-rh-BA9,ctx-rh-BA10,ctx-rh-BA11,ctx-rh-BA13,ctx-rh-BA16,ctx-rh-BA17,ctx-rh-BA18,ctx-rh-BA19,ctx-rh-BA20,ctx-rh-BA21,ctx-rh-BA22,ctx-rh-BA23,ctx-rh-BA24,ctx-rh-BA25,ctx-rh-BA26_29_30,ctx-rh-BA27,ctx-rh-BA28,ctx-rh-BA31,ctx-rh-BA32,ctx-rh-BA33,ctx-rh-BA34,ctx-rh-BA35_36,ctx-rh-BA37,ctx-rh-BA38,ctx-rh-BA39,ctx-rh-BA40,ctx-rh-BA41_42_52,ctx-rh-BA43,ctx-rh-BA44,ctx-rh-BA45,ctx-rh-BA46,ctx-rh-BA47
ctx-lh-BA1_3,,-0.176,-0.029,-0.092,-0.153,-0.144,-0.189,-0.199,-0.17,-0.027,-0.05,-0.033,0.024,-0.221,-0.257,-0.034,-0.147,-0.159,-0.214,-0.005,-0.106,-0.189,-0.089,-0.175,-0.156,-0.164,-0.05,-0.1,-0.138,-0.167,-0.163,-0.123,-0.059,-0.045,-0.117,-0.128,-0.148,-0.148,-0.121,-0.047,-0.163,0.002,-0.08,-0.094,-0.193,-0.101,-0.153,-0.068,-0.001,-0.024,0.049,-0.036,-0.274,-0.235,-0.03,-0.149,-0.123,-0.151,-0.132,-0.015,-0.162,-0.147,-0.228,-0.148,-0.037,0.04,-0.052,-0.205,-0.211,-0.078,-0.196,-0.085,-0.096,-0.12,-0.038,-0.115,-0.161,-0.059
ctx-lh-BA2,,,-0.041,-0.01,-0.025,0.004,-0.117,-0.119,-0.07,-0.005,0.069,0.055,0.107,-0.118,-0.11,-0.058,-0.186,-0.127,-0.194,0.063,-0.096,-0.16,-0.079,-0.14,-0.079,-0.095,0.021,-0.068,-0.038,-0.006,-0.178,-0.098,0.073,-0.004,-0.021,0.013,-0.089,-0.122,-0.055,-0.156,-0.089,-0.043,0.035,0.012,-0.066,-0.03,-0.112,0.038,0.053,0.04,0.128,0.085,-0.176,-0.121,-0.047,-0.138,-0.102,-0.155,-0.005,-0.011,-0.15,-0.176,-0.154,-0.086,0.037,0.131,-0.055,-0.167,-0.09,-0.112,-0.108,0.051,-0.083,-0.137,0.091,-0.058,-0.042,0.079
ctx-lh-BA4,,,,-0.048,-0.164,-0.078,-0.124,-0.151,-0.117,0.012,0.01,-0.04,0.038,-0.173,-0.179,-0.039,-0.137,-0.143,-0.202,0.013,-0.08,-0.181,-0.109,-0.196,-0.144,-0.132,0.029,-0.18,-0.079,-0.088,-0.116,-0.12,-0.045,-0.057,-0.131,-0.085,-0.117,-0.137,-0.035,-0.12,-0.17,-0.069,-0.069,-0.098,-0.137,-0.077,-0.164,-0.005,0.066,-0.019,0.025,0.009,-0.208,-0.166,-0.059,-0.127,-0.092,-0.177,-0.125,0.002,-0.179,-0.156,-0.216,-0.159,-0.008,0.023,0.013,-0.185,-0.148,-0.037,-0.203,-0.039,-0.091,-0.182,0.002,-0.063,-0.077,0.038
ctx-lh-BA5,,,,,-0.008,-0.088,-0.001,-0.009,0.016,0.041,0.112,-0.016,-0.009,-0.19,-0.176,0.069,-0.025,-0.044,-0.118,0.01,-0.052,-0.088,-0.104,-0.118,-0.01,-0.056,0.045,-0.17,0.011,-0.044,-0.031,0.031,0.129,0.037,-0.068,-0.005,-0.003,0.008,0.046,-0.094,-0.105,0.0,-0.008,-0.014,-0.12,0.079,-0.006,0.078,0.01,0.052,0.088,-0.049,-0.196,-0.148,0.115,0.037,-0.001,-0.059,0.006,-0.007,-0.109,-0.153,-0.189,0.004,0.092,0.084,-0.008,-0.116,-0.091,0.015,-0.044,0.051,0.003,-0.113,0.03,0.072,0.055,0.126
ctx-lh-BA6,,,,,,-0.009,-0.048,-0.081,0.032,0.031,0.015,-0.211,0.055,-0.061,-0.112,-0.058,-0.142,-0.093,-0.161,-0.022,-0.07,-0.122,-0.105,-0.204,-0.072,-0.08,0.024,0.009,-0.169,-0.051,-0.288,-0.062,0.008,-0.077,-0.174,-0.066,-0.001,0.05,0.078,-0.126,-0.041,-0.071,-0.041,-0.071,-0.08,0.052,-0.038,0.172,0.113,-0.091,-0.006,0.072,-0.142,-0.111,-0.055,-0.088,-0.076,-0.123,-0.051,-0.026,-0.123,-0.136,-0.21,-0.086,0.062,0.076,-0.06,-0.234,-0.122,-0.098,-0.137,-0.023,-0.127,-0.196,-0.006,-0.019,0.064,0.167
ctx-lh-BA7,,,,,,,-0.008,-0.019,0.01,0.043,-0.029,-0.136,0.037,-0.05,-0.105,-0.068,-0.125,-0.068,-0.068,0.021,-0.025,-0.019,-0.124,-0.128,-0.002,-0.019,0.053,-0.021,-0.183,-0.041,-0.262,-0.012,0.081,0.029,-0.109,-0.035,-0.073,-0.016,0.032,-0.113,-0.04,-0.026,-0.001,0.025,-0.012,0.138,0.111,0.212,0.101,-0.078,-0.006,0.068,-0.069,-0.05,-0.022,0.041,-0.019,-0.06,0.121,-0.106,-0.022,-0.078,-0.14,0.002,0.13,0.26,-0.105,-0.192,-0.045,-0.153,-0.029,0.025,-0.057,-0.136,-0.004,0.005,0.133,0.174
ctx-lh-BA8,,,,,,,,0.02,0.078,0.067,-0.068,-0.268,-0.051,-0.034,-0.03,0.049,0.073,-0.006,0.032,-0.047,-0.033,0.022,0.078,0.025,-0.009,-0.06,-0.028,0.092,-0.077,-0.045,0.007,0.08,0.014,-0.153,-0.161,-0.094,-0.025,0.235,0.129,-0.197,-0.114,-0.109,-0.1,-0.093,-0.034,-0.013,0.071,0.151,0.15,-0.13,-0.149,-0.007,-0.091,-0.028,0.131,0.03,-0.064,0.061,-0.028,-0.002,0.036,0.006,-0.109,0.011,-0.012,-0.007,-0.051,-0.167,-0.074,0.063,0.009,-0.034,-0.228,-0.173,-0.066,-0.021,0.063,0.176
ctx-lh-BA9,,,,,,,,,0.045,0.028,-0.063,-0.272,-0.012,-0.066,-0.02,0.103,0.016,-0.054,-0.019,-0.037,-0.03,-0.064,0.005,-0.046,-0.059,-0.031,0.057,-0.017,-0.077,-0.054,-0.087,0.026,0.001,-0.109,-0.194,-0.102,-0.06,0.13,0.105,-0.183,-0.121,-0.113,-0.042,-0.126,-0.046,-0.041,0.002,0.115,0.098,-0.137,-0.131,-0.002,-0.107,-0.064,0.028,0.009,-0.158,0.023,0.016,-0.045,-0.05,0.0,-0.178,-0.069,0.009,0.026,-0.099,-0.181,-0.11,-0.025,-0.063,-0.03,-0.222,-0.249,-0.051,-0.079,0.004,0.133
ctx-lh-BA10,,,,,,,,,,0.106,-0.03,-0.163,-0.06,-0.076,-0.02,0.102,0.086,-0.04,-0.039,0.011,-0.032,-0.104,0.01,-0.021,-0.059,-0.013,-0.005,-0.03,-0.029,0.037,-0.03,0.062,0.072,-0.112,-0.148,0.022,0.044,0.219,0.209,-0.169,-0.046,-0.085,0.009,-0.07,-0.02,-0.02,-0.02,0.056,0.166,-0.082,-0.087,-0.002,-0.058,-0.041,0.081,0.0,-0.119,-0.004,0.037,-0.017,-0.035,0.002,-0.119,-0.042,-0.062,0.012,-0.033,-0.087,-0.021,-0.001,-0.037,-0.057,-0.177,-0.157,-0.036,0.02,0.033,0.225
ctx-lh-BA11,,,,,,,,,,,-0.077,-0.101,0.021,-0.059,0.0,0.006,0.008,-0.126,-0.104,-0.08,-0.108,-0.249,-0.064,-0.013,-0.087,-0.075,0.026,-0.143,-0.032,-0.027,-0.111,0.111,0.103,-0.103,-0.047,0.002,-0.029,0.155,0.022,-0.109,-0.016,-0.014,-0.041,-0.035,-0.001,0.035,0.01,0.067,-0.014,-0.031,-0.035,0.065,-0.047,-0.028,-0.027,-0.103,-0.202,-0.092,-0.078,-0.061,-0.144,-0.023,-0.159,0.006,-0.052,0.064,0.043,-0.093,-0.053,-0.123,0.036,0.022,-0.206,-0.074,-0.031,-0.101,0.02,-0.032
