,ctx-lh-BA1_3,ctx-lh-BA2,ctx-lh-BA4,ctx-lh-BA5,ctx-lh-BA6,ctx-lh-BA7,ctx-lh-BA8,ctx-lh-BA9,ctx-lh-BA10,ctx-lh-BA11,ctx-lh-BA13,ctx-lh-BA16,ctx-lh-BA17,ctx-lh-BA18,ctx-lh-BA19,ctx-lh-BA20,ctx-lh-BA21,ctx-lh-BA22,ctx-lh-BA23,ctx-lh-BA24,ctx-lh-BA25,ctx-lh-BA26_29_30,ctx-lh-BA27,ctx-lh-BA28,ctx-lh-BA31,ctx-lh-BA32,ctx-lh-BA33,ctx-lh-BA34,ctx-lh-BA35_36,ctx-lh-BA37,ctx-lh-BA38,ctx-lh-BA39,ctx-lh-BA40,ctx-lh-BA41_42_52,ctx-lh-BA43,ctx-lh-BA44,ctx-lh-BA45,ctx-lh-BA46,ctx-lh-BA47,ctx-rh-BA1_3,ctx-rh-BA2,ctx-rh-BA4,ctx-rh-BA5,ctx-rh-BA6,ctx-rh-BA7,ctx-rh-BA8,ctx-rh-BA9,ctx-rh-BA10,ctx-rh-BA11,ctx-rh-BA13,ctx-rh-BA16,ctx-rh-BA17,ctx-rh-BA18,ctx-rh-BA19,ctx-rh-BA20,ctx-rh-BA21,ctx-rh-BA22,ctx-rh-BA23,ctx-rh-BA24,ctx-rh-BA25,ctx-rh-BA26_29_30,ctx-rh-BA27,ctx-rh-BA28,ctx-rh-BA31,ctx-rh-BA32,ctx-rh-BA33,ctx-rh-BA34,ctx-rh-BA35_36,ctx-rh-BA37,ctx-rh-BA38,ctx-rh-BA39,ctx-rh-BA40,ctx-rh-BA41_42_52,ctx-rh-BA43,ctx-rh-BA44,ctx-rh-BA45,ctx-rh-BA46,ctx-rh-BA47
ctx-lh-BA1_3,,-0.167,-0.11,-0.082,0.212,0.055,-0.007,0.059,0.095,-0.016,0.01,-0.074,-0.102,-0.21,-0.291,0.119,-0.004,-0.067,0.115,0.144,0.056,-0.03,0.046,0.007,0.178,0.17,-0.044,0.016,0.019,-0.037,-0.083,-0.002,0.265,-0.106,-0.118,0.094,0.024,0.006,0.164,-0.129,-0.175,-0.094,-0.037,0.003,-0.049,0.078,0.105,0.153,-0.069,0.128,0.128,-0.092,-0.262,-0.305,0.093,0.052,-0.056,0.06,0.101,0.088,-0.045,0.009,-0.036,0.346,0.021,-0.044,0.047,-0.03,-0.088,0.008,-0.057,0.126,-0.054,-0.211,0.122,0.01,0.099,0.096
ctx-lh-BA2,,,-0.165,-0.033,0.036,-0.017,0.069,0.038,-0.002,0.049,0.009,-0.101,-0.087,-0.237,-0.303,-0.052,-0.129,-0.104,0.13,-0.095,0.088,-0.012,0.089,0.119,0.109,-0.041,-0.005,0.134,-0.076,-0.251,-0.078,0.105,0.146,-0.288,-0.093,0.189,0.051,-0.004,0.135,-0.166,-0.225,-0.212,-0.079,0.003,-0.096,0.247,0.233,0.101,-0.018,-0.047,0.019,-0.091,-0.305,-0.289,0.271,0.209,-0.053,0.116,0.001,0.111,-0.021,0.006,0.099,0.128,-0.002,-0.101,0.12,0.162,-0.099,0.244,0.057,-0.049,-0.029,-0.3,0.003,-0.013,-0.014,0.128
ctx-lh-BA4,,,,-0.111,0.121,0.044,0.006,0.04,-0.046,-0.094,-0.002,-0.077,-0.006,-0.14,-0.125,0.083,-0.028,0.065,0.03,-0.169,-0.003,-0.017,0.03,0.058,0.179,-0.051,0.126,0.099,0.068,0.058,-0.07,0.11,0.213,-0.09,-0.081,-0.028,-0.068,-0.007,0.078,-0.157,-0.135,-0.177,0.007,-0.017,0.065,0.041,0.073,0.047,-0.04,0.098,0.183,-0.056,-0.18,-0.17,0.245,0.163,-0.04,0.016,0.023,-0.053,0.038,0.021,0.096,0.331,-0.061,0.027,0.077,0.122,-0.012,0.005,0.074,0.105,0.041,-0.238,0.033,-0.062,0.066,0.122
ctx-lh-BA5,,,,,0.006,0.002,0.0,-0.007,0.022,-0.079,0.062,-0.143,-0.085,-0.144,-0.152,0.021,0.005,0.049,0.212,0.119,-0.019,-0.052,0.02,0.042,0.215,0.144,0.104,0.168,-0.072,-0.15,-0.162,0.169,0.127,-0.199,-0.007,0.04,0.13,0.063,0.081,-0.029,-0.035,-0.077,-0.057,-0.057,-0.05,0.085,0.088,0.123,0.072,-0.042,0.087,-0.099,-0.122,-0.071,0.18,0.196,0.008,0.188,0.031,0.208,-0.041,0.002,0.001,0.29,0.01,0.086,-0.034,0.167,-0.003,0.017,0.122,-0.048,-0.023,-0.343,-0.095,-0.086,-0.034,0.028
ctx-lh-BA6,,,,,,-0.014,0.06,-0.014,-0.203,-0.029,0.03,0.129,0.135,-0.007,-0.005,0.22,0.035,0.139,0.144,0.098,0.014,0.02,-0.055,-0.045,0.189,0.066,0.247,-0.02,0.053,0.105,-0.115,-0.086,0.038,0.105,0.154,-0.098,-0.065,-0.05,-0.082,0.146,0.023,0.142,0.178,0.047,0.071,0.015,0.004,-0.036,0.052,0.259,0.168,0.001,-0.016,0.008,0.142,0.108,0.155,0.046,0.111,-0.032,0.11,0.041,0.2,0.263,0.075,0.137,-0.085,0.103,0.156,-0.054,-0.075,0.129,0.071,0.001,0.082,0.046,0.037,0.023
ctx-lh-BA7,,,,,,,0.013,0.153,0.067,0.063,-0.01,-0.094,-0.151,-0.177,-0.022,0.071,0.04,0.148,-0.058,0.082,0.108,-0.186,-0.005,-0.053,0.093,0.04,0.048,0.196,-0.137,-0.233,0.031,0.158,0.186,-0.044,0.017,0.022,0.202,0.06,0.056,0.162,0.002,0.088,0.021,-0.015,-0.061,0.128,0.104,0.061,0.084,0.002,0.199,-0.114,-0.049,0.025,0.099,0.193,0.0,-0.1,-0.095,0.163,-0.218,0.007,-0.132,0.04,-0.075,0.002,-0.002,0.059,0.003,0.05,0.017,0.063,0.127,-0.163,-0.033,-0.016,-0.079,-0.058
ctx-lh-BA8,,,,,,,,-0.098,-0.084,0.112,0.118,0.197,0.064,-0.058,-0.044,0.079,-0.117,-0.023,-0.121,0.144,0.026,-0.122,-0.112,-0.085,-0.026,0.094,0.227,-0.08,0.043,0.117,0.031,-0.262,-0.103,0.12,0.163,0.046,0.002,-0.128,0.059,-0.021,-0.14,0.028,0.03,0.101,0.069,0.039,0.078,0.046,0.128,0.134,0.141,-0.035,-0.092,-0.034,0.034,0.062,0.106,-0.134,0.099,0.052,-0.084,-0.06,0.098,0.144,0.118,0.262,0.005,0.041,0.113,0.107,-0.095,0.123,0.02,-0.06,0.059,0.166,0.076,0.176
ctx-lh-BA9,,,,,,,,,-0.056,0.071,0.131,0.102,0.056,-0.006,-0.062,0.124,-0.024,0.111,-0.031,0.085,0.049,-0.124,-0.209,-0.113,0.05,-0.01,0.162,-0.07,0.029,0.16,-0.011,-0.102,-0.011,0.09,0.085,0.026,0.086,0.018,-0.088,0.052,-0.03,0.039,0.056,0.096,0.127,0.033,0.052,0.101,0.126,0.215,0.017,-0.039,0.0,-0.082,0.077,-0.046,0.047,-0.09,0.077,0.055,0.022,-0.189,-0.043,0.234,0.047,0.334,-0.096,-0.112,0.003,-0.039,0.018,0.154,-0.041,-0.004,0.065,0.104,0.127,0.05
ctx-lh-BA10,,,,,,,,,,0.092,0.177,0.122,-0.01,0.016,0.061,0.078,-0.031,-0.022,-0.074,0.004,-0.058,-0.086,-0.093,0.098,-0.014,-0.077,0.093,0.057,0.121,0.154,0.188,-0.122,-0.131,0.129,0.088,-0.045,0.075,-0.072,0.049,0.002,0.042,0.038,0.072,-0.056,0.099,-0.036,-0.034,0.048,0.124,0.16,-0.027,-0.116,-0.108,-0.135,0.102,-0.118,0.116,-0.098,-0.004,-0.028,0.055,-0.019,0.099,0.055,-0.011,0.059,-0.08,-0.017,-0.094,0.064,-0.01,0.094,-0.036,-0.014,0.127,0.209,0.217,0.147
ctx-lh-BA11,,,,,,,,,,,0.033,-0.002,0.058,0.038,-0.063,-0.162,0.004,-0.058,-0.036,-0.089,-0.114,-0.064,-0.064,0.033,-0.094,0.043,-0.072,-0.18,-0.062,-0.017,-0.016,-0.097,-0.044,0.132,-0.199,-0.007,0.045,0.032,-0.026,-0.181,-0.061,-0.059,0.011,-0.103,-0.058,0.011,0.076,0.159,-0.007,0.043,0.104,-0.019,-0.05,-0.124,-0.0,-0.105,0.016,0.071,-0.078,0.08,-0.104,-0.134,-0.103,0.043,-0.095,-0.016,0.062,-0.052,-0.111,-0.021,-0.078,-0.075,-0.053,-0.1,0.067,0.091,0.137,0.074
