,ctx-lh-BA1_3,ctx-lh-BA2,ctx-lh-BA4,ctx-lh-BA5,ctx-lh-BA6,ctx-lh-BA7,ctx-lh-BA8,ctx-lh-BA9,ctx-lh-BA10,ctx-lh-BA11,ctx-lh-BA13,ctx-lh-BA16,ctx-lh-BA17,ctx-lh-BA18,ctx-lh-BA19,ctx-lh-BA20,ctx-lh-BA21,ctx-lh-BA22,ctx-lh-BA23,ctx-lh-BA24,ctx-lh-BA25,ctx-lh-BA26_29_30,ctx-lh-BA27,ctx-lh-BA28,ctx-lh-BA31,ctx-lh-BA32,ctx-lh-BA33,ctx-lh-BA34,ctx-lh-BA35_36,ctx-lh-BA37,ctx-lh-BA38,ctx-lh-BA39,ctx-lh-BA40,ctx-lh-BA41_42_52,ctx-lh-BA43,ctx-lh-BA44,ctx-lh-BA45,ctx-lh-BA46,ctx-lh-BA47,ctx-rh-BA1_3,ctx-rh-BA2,ctx-rh-BA4,ctx-rh-BA5,ctx-rh-BA6,ctx-rh-BA7,ctx-rh-BA8,ctx-rh-BA9,ctx-rh-BA10,ctx-rh-BA11,ctx-rh-BA13,ctx-rh-BA16,ctx-rh-BA17,ctx-rh-BA18,ctx-rh-BA19,ctx-rh-BA20,ctx-rh-BA21,ctx-rh-BA22,ctx-rh-BA23,ctx-rh-BA24,ctx-rh-BA25,ctx-rh-BA26_29_30,ctx-rh-BA27,ctx-rh-BA28,ctx-rh-BA31,ctx-rh-BA32,ctx-rh-BA33,ctx-rh-BA34,ctx-rh-BA35_36,ctx-rh-BA37,ctx-rh-BA38,ctx-rh-BA39,ctx-rh-BA40,ctx-rh-BA41_42_52,ctx-rh-BA43,ctx-rh-BA44,ctx-rh-BA45,ctx-rh-BA46,ctx-rh-BA47
ctx-lh-BA1_3,,-0.112,-0.131,-0.136,-0.003,0.033,-0.012,0.032,-0.047,-0.05,0.068,-0.013,0.041,-0.049,-0.08,0.012,-0.023,-0.148,-0.087,0.051,-0.001,-0.043,-0.06,-0.02,-0.053,0.006,0.014,-0.001,0.036,-0.075,0.017,-0.039,-0.015,-0.183,-0.116,0.061,0.054,-0.012,0.033,-0.207,-0.127,-0.152,-0.154,0.052,0.003,0.06,0.086,0.027,-0.01,-0.009,-0.084,0.041,-0.055,-0.067,0.063,0.005,-0.146,-0.049,0.023,-0.023,-0.021,-0.076,-0.009,0.018,0.091,0.006,0.05,-0.038,-0.011,0.039,0.032,0.009,-0.24,-0.151,0.092,0.107,0.035,0.054
ctx-lh-BA2,,,-0.046,-0.036,-0.004,0.109,-0.022,0.011,-0.069,-0.062,0.087,0.016,0.044,-0.041,-0.051,-0.051,-0.039,-0.156,-0.066,0.062,-0.05,-0.023,-0.042,-0.05,0.034,0.006,0.048,-0.02,-0.035,-0.155,-0.027,-0.02,-0.009,-0.122,-0.054,0.041,0.004,-0.042,0.024,-0.113,-0.077,-0.025,-0.033,0.051,0.043,0.022,0.036,0.016,-0.046,-0.002,-0.064,0.057,-0.032,-0.061,0.01,-0.034,-0.182,-0.023,0.045,-0.045,-0.019,-0.068,-0.001,0.053,0.086,0.031,0.012,-0.095,-0.101,-0.017,0.019,-0.006,-0.171,-0.092,0.061,0.028,-0.045,0.01
ctx-lh-BA4,,,,-0.055,-0.04,0.024,-0.05,-0.002,-0.066,-0.028,0.113,0.044,0.051,-0.049,-0.082,0.022,-0.031,-0.167,-0.11,0.048,-0.015,-0.056,-0.064,-0.014,-0.042,0.009,0.025,0.0,-0.01,-0.128,0.051,-0.085,-0.047,-0.163,-0.034,0.053,0.053,-0.091,0.054,-0.13,-0.024,-0.108,-0.043,0.069,0.005,0.037,0.026,0.011,-0.001,0.068,-0.019,0.055,-0.043,-0.069,0.037,0.022,-0.144,-0.068,0.027,-0.035,-0.062,-0.064,0.02,0.007,0.09,0.011,0.109,-0.038,-0.022,0.087,-0.019,0.067,-0.16,-0.051,0.077,0.056,-0.026,0.078
ctx-lh-BA5,,,,,0.061,0.052,-0.011,-0.012,-0.122,-0.075,0.127,0.035,0.077,0.004,-0.003,-0.017,-0.049,-0.12,-0.07,0.017,-0.047,-0.056,0.006,-0.005,-0.015,0.013,0.014,0.013,0.002,-0.027,-0.014,-0.037,0.031,-0.072,-0.016,0.084,0.027,-0.062,-0.045,-0.121,-0.07,-0.034,-0.068,0.118,0.002,0.041,0.013,-0.043,-0.08,0.045,0.017,0.048,-0.015,-0.04,-0.001,-0.056,-0.153,-0.068,0.049,-0.034,-0.069,0.024,0.02,-0.003,0.09,0.043,-0.016,-0.015,-0.017,0.007,-0.042,0.074,-0.101,-0.007,0.133,0.049,-0.04,0.016
ctx-lh-BA6,,,,,,-0.004,0.026,0.095,0.031,0.021,0.02,0.038,-0.022,-0.014,-0.036,-0.054,0.003,-0.022,-0.023,0.135,-0.005,0.015,-0.045,-0.041,0.091,0.101,0.095,-0.005,-0.063,-0.139,0.085,-0.048,-0.041,-0.026,-0.029,0.036,-0.018,-0.067,0.046,0.011,0.096,0.006,0.052,-0.05,-0.036,0.033,0.038,0.07,0.001,0.031,0.021,-0.001,-0.025,-0.031,0.009,0.034,-0.022,-0.015,0.126,-0.037,-0.023,-0.017,-0.036,0.019,0.112,0.078,0.097,-0.073,-0.103,0.112,-0.052,0.013,-0.016,-0.002,-0.018,-0.069,-0.065,0.013
ctx-lh-BA7,,,,,,,-0.01,0.009,0.007,-0.016,0.064,0.09,0.088,0.052,0.041,-0.069,-0.086,-0.035,0.053,0.084,-0.065,0.023,0.04,-0.025,0.115,0.086,0.082,-0.003,-0.047,-0.074,-0.04,-0.031,0.089,0.123,0.044,0.036,-0.031,-0.011,-0.02,0.06,0.1,0.059,0.167,-0.013,-0.032,-0.014,-0.02,-0.012,-0.074,0.04,0.058,0.058,0.019,0.043,-0.103,-0.116,-0.085,-0.009,0.151,-0.01,-0.035,0.104,-0.068,-0.001,0.081,0.094,-0.029,-0.105,-0.149,-0.026,-0.099,0.034,0.115,0.05,0.029,-0.035,-0.039,-0.046
ctx-lh-BA8,,,,,,,,0.065,-0.006,-0.064,0.082,0.031,0.035,0.092,0.113,-0.09,-0.111,-0.02,-0.047,0.05,-0.015,-0.008,-0.065,-0.042,-0.035,0.015,0.016,-0.009,-0.062,0.064,-0.075,-0.045,0.02,0.001,0.026,0.037,-0.026,0.046,-0.024,-0.027,-0.023,-0.062,-0.018,0.032,0.01,-0.02,0.007,0.032,0.009,0.059,0.011,0.026,0.069,0.064,-0.085,-0.084,0.058,-0.053,0.077,-0.078,-0.074,-0.022,0.018,-0.004,0.024,0.002,0.058,-0.011,0.098,-0.09,-0.071,0.109,-0.007,0.003,0.052,0.028,0.101,0.044
ctx-lh-BA9,,,,,,,,,-0.048,-0.076,0.071,0.068,0.009,0.037,0.1,-0.053,-0.079,0.021,-0.082,0.006,0.003,-0.075,-0.073,-0.061,-0.052,-0.008,0.007,-0.012,-0.045,0.082,-0.117,0.016,0.032,0.03,0.077,0.085,0.028,0.121,-0.057,0.029,-0.001,-0.005,0.004,0.055,0.035,-0.017,-0.062,-0.044,-0.005,0.086,0.05,-0.024,0.028,0.037,-0.12,-0.11,0.084,-0.098,0.035,-0.068,-0.105,0.003,-0.016,-0.07,-0.012,-0.043,0.005,-0.02,0.063,-0.145,-0.054,0.071,-0.002,0.05,0.082,0.013,0.118,0.029
ctx-lh-BA10,,,,,,,,,,-0.064,0.101,0.029,0.023,0.058,0.116,-0.039,-0.105,-0.041,-0.054,-0.039,0.029,-0.032,0.029,-0.005,-0.057,-0.011,-0.044,-0.036,0.04,0.067,-0.105,0.004,0.028,0.009,0.083,0.075,-0.004,0.108,-0.034,-0.043,-0.114,-0.121,-0.099,0.019,0.046,-0.033,-0.075,0.037,0.016,0.043,0.006,0.006,0.048,0.09,-0.046,-0.075,-0.005,-0.061,-0.006,-0.018,-0.057,0.074,0.061,-0.027,-0.022,0.002,-0.016,0.053,0.03,-0.096,-0.022,0.078,-0.034,-0.022,0.088,0.037,0.098,0.073
ctx-lh-BA11,,,,,,,,,,,0.041,0.025,0.025,0.007,0.009,-0.001,-0.089,-0.083,-0.077,-0.023,0.048,-0.068,0.085,0.046,-0.123,-0.053,-0.002,0.009,0.097,0.066,0.006,-0.039,-0.043,-0.01,0.011,0.064,0.029,0.099,-0.008,-0.024,-0.065,-0.075,-0.074,0.017,-0.0,-0.07,-0.082,-0.046,0.072,0.056,0.037,0.019,0.0,0.01,-0.022,-0.046,-0.022,-0.067,-0.078,0.039,-0.006,0.032,0.105,-0.019,-0.054,-0.021,-0.006,0.096,0.083,-0.033,-0.027,0.035,-0.041,-0.016,0.006,0.053,0.071,0.077
