,ctx-lh-prefrontal,ctx-lh-frontal,ctx-lh-inter_precentral,ctx-lh-precentral,ctx-lh-postcentral,ctx-lh-inter_postcentral,ctx-lh-parietal,ctx-lh-visuopsychic,ctx-lh-visuosensory,ctx-lh-temporal,ctx-lh-audiopsychic,ctx-lh-audiosensory,ctx-lh-olfactory,ctx-lh-limbicA,ctx-lh-limbicB,ctx-lh-limbicC,ctx-lh-insula,ctx-rh-prefrontal,ctx-rh-frontal,ctx-rh-inter_precentral,ctx-rh-precentral,ctx-rh-postcentral,ctx-rh-inter_postcentral,ctx-rh-parietal,ctx-rh-visuopsychic,ctx-rh-visuosensory,ctx-rh-temporal,ctx-rh-audiopsychic,ctx-rh-audiosensory,ctx-rh-olfactory,ctx-rh-limbicA,ctx-rh-limbicB,ctx-rh-limbicC,ctx-rh-insula
ctx-lh-prefrontal,,-0.005,-0.021,-0.029,-0.013,-0.105,-0.153,0.003,-0.032,-0.081,-0.006,-0.235,-0.2,-0.022,-0.085,-0.082,-0.067,-0.078,-0.012,-0.024,0.045,0.033,-0.059,-0.18,-0.019,-0.063,-0.106,-0.079,-0.157,-0.137,-0.01,0.032,-0.128,-0.117
ctx-lh-frontal,,,-0.045,0.056,0.099,0.056,-0.005,0.099,0.082,-0.063,-0.028,-0.22,-0.156,0.04,-0.023,0.045,-0.098,-0.086,-0.069,-0.019,0.124,0.081,0.049,-0.026,0.136,0.102,-0.049,-0.029,-0.196,-0.16,0.03,0.014,-0.001,-0.075
ctx-lh-inter_precentral,,,,-0.059,0.004,-0.034,-0.088,0.022,0.012,-0.168,-0.065,-0.357,-0.124,-0.093,-0.048,-0.09,-0.17,-0.149,-0.119,-0.164,0.003,-0.032,-0.019,-0.119,0.059,0.057,-0.153,-0.143,-0.324,-0.114,-0.1,-0.015,-0.131,-0.138
ctx-lh-precentral,,,,,-0.242,-0.163,-0.026,0.12,0.181,0.035,-0.14,-0.213,-0.01,-0.102,-0.079,-0.068,0.074,-0.036,0.126,0.09,-0.221,-0.247,-0.149,-0.007,0.081,0.213,0.091,-0.102,-0.17,0.02,0.031,0.002,-0.087,0.093
ctx-lh-postcentral,,,,,,-0.239,-0.024,0.076,0.152,-0.024,-0.175,-0.169,-0.023,-0.136,-0.069,-0.151,0.198,-0.01,0.195,0.174,-0.274,-0.279,-0.212,0.027,0.018,0.144,0.058,-0.12,-0.151,-0.047,0.033,-0.04,-0.159,0.235
ctx-lh-inter_postcentral,,,,,,,-0.026,0.051,0.151,0.041,-0.192,-0.169,-0.034,-0.136,-0.06,-0.152,0.192,-0.122,0.087,0.095,-0.165,-0.227,-0.158,-0.024,0.02,0.197,0.044,-0.139,-0.151,0.043,-0.012,-0.034,-0.15,0.162
ctx-lh-parietal,,,,,,,,0.074,0.041,-0.074,-0.155,-0.188,-0.174,-0.141,-0.046,-0.121,-0.058,-0.191,-0.03,-0.029,-0.086,-0.031,-0.049,-0.044,0.076,0.1,-0.066,-0.116,-0.251,-0.077,-0.107,-0.098,-0.152,-0.039
ctx-lh-visuopsychic,,,,,,,,,0.063,0.061,-0.013,0.023,-0.039,0.019,0.057,-0.065,0.105,0.041,0.148,0.069,0.14,0.004,0.033,0.004,-0.215,0.031,0.062,-0.022,0.065,0.044,0.139,0.032,-0.044,0.113
ctx-lh-visuosensory,,,,,,,,,,0.018,0.04,-0.088,-0.144,-0.03,0.064,-0.108,0.021,-0.017,0.1,0.089,0.18,0.096,0.113,0.002,0.032,-0.131,0.022,-0.001,-0.072,-0.109,0.078,0.0,-0.114,0.088
ctx-lh-temporal,,,,,,,,,,,-0.25,-0.268,0.001,-0.124,-0.016,-0.074,-0.121,-0.146,-0.08,-0.096,0.057,-0.022,0.025,-0.106,0.043,0.056,-0.182,-0.327,-0.261,-0.009,-0.119,0.011,-0.13,-0.107
ctx-lh-audiopsychic,,,,,,,,,,,,-0.384,-0.018,-0.124,-0.057,-0.118,0.022,-0.06,0.004,-0.078,-0.099,-0.16,-0.153,-0.172,-0.079,0.064,-0.241,-0.362,-0.307,-0.027,-0.07,0.053,-0.141,0.016
ctx-lh-audiosensory,,,,,,,,,,,,,-0.069,-0.307,-0.068,-0.245,-0.079,-0.256,-0.056,-0.213,-0.174,-0.177,-0.09,-0.109,-0.034,-0.034,-0.177,-0.302,-0.256,0.008,-0.223,-0.092,-0.202,0.007
ctx-lh-olfactory,,,,,,,,,,,,,,-0.16,-0.095,-0.123,-0.117,-0.18,-0.155,-0.134,-0.034,-0.063,-0.025,-0.142,-0.038,-0.107,-0.008,-0.119,-0.15,0.088,-0.189,-0.06,-0.123,-0.153
ctx-lh-limbicA,,,,,,,,,,,,,,,-0.118,-0.087,-0.171,0.009,0.09,-0.045,-0.074,-0.111,-0.103,-0.114,0.021,-0.004,-0.072,-0.086,-0.296,-0.129,-0.11,-0.142,-0.088,-0.119
ctx-lh-limbicB,,,,,,,,,,,,,,,,-0.004,-0.098,-0.061,-0.017,-0.056,-0.074,-0.113,-0.115,-0.051,0.04,0.043,-0.015,-0.062,-0.075,0.006,-0.133,-0.132,0.004,-0.149
ctx-lh-limbicC,,,,,,,,,,,,,,,,,-0.172,-0.101,0.085,-0.088,-0.098,-0.098,-0.123,-0.109,-0.029,-0.104,-0.027,-0.111,-0.197,-0.086,-0.075,-0.072,-0.032,-0.141
ctx-lh-insula,,,,,,,,,,,,,,,,,,-0.203,-0.225,-0.268,0.115,0.194,0.232,-0.019,0.145,0.068,-0.143,0.028,-0.02,-0.043,-0.245,-0.097,-0.102,-0.216
ctx-rh-prefrontal,,,,,,,,,,,,,,,,,,,-0.026,-0.101,0.032,-0.001,-0.048,-0.194,0.007,-0.072,-0.147,-0.092,-0.248,-0.159,-0.042,0.019,-0.078,-0.169
ctx-rh-frontal,,,,,,,,,,,,,,,,,,,,-0.042,0.157,0.134,0.107,0.004,0.132,0.077,-0.026,0.006,-0.136,-0.168,0.054,0.041,0.101,-0.176
ctx-rh-inter_precentral,,,,,,,,,,,,,,,,,,,,,0.159,0.129,0.175,-0.022,0.068,0.102,-0.038,-0.025,-0.247,-0.095,-0.086,-0.047,-0.051,-0.288
ctx-rh-precentral,,,,,,,,,,,,,,,,,,,,,,-0.25,-0.18,-0.071,0.119,0.216,0.117,-0.025,-0.129,0.001,0.053,0.04,-0.124,0.101
ctx-rh-postcentral,,,,,,,,,,,,,,,,,,,,,,,-0.24,0.001,-0.016,0.122,0.017,-0.096,-0.123,-0.022,0.024,-0.023,-0.18,0.191
ctx-rh-inter_postcentral,,,,,,,,,,,,,,,,,,,,,,,,-0.019,0.001,0.154,0.078,-0.084,-0.109,0.067,0.041,0.023,-0.14,0.221
ctx-rh-parietal,,,,,,,,,,,,,,,,,,,,,,,,,-0.028,0.016,-0.031,-0.12,-0.192,-0.051,-0.07,-0.11,-0.121,-0.02
ctx-rh-visuopsychic,,,,,,,,,,,,,,,,,,,,,,,,,,0.036,0.061,-0.047,0.017,0.047,0.131,0.045,-0.022,0.112
ctx-rh-visuosensory,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036,0.01,-0.018,-0.036,0.084,-0.02,-0.124,0.093
ctx-rh-temporal,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.25,-0.195,-0.014,-0.053,-0.042,-0.048,-0.133
ctx-rh-audiopsychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.267,-0.049,-0.05,-0.022,-0.127,0.058
ctx-rh-audiosensory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.045,-0.292,-0.035,-0.187,0.027
ctx-rh-olfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.156,-0.06,-0.076,-0.043
ctx-rh-limbicA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.219,-0.029,-0.229
ctx-rh-limbicB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.039,-0.137
ctx-rh-limbicC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.049
ctx-rh-insula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
