,ctx-lh-prefrontal,ctx-lh-frontal,ctx-lh-inter_precentral,ctx-lh-precentral,ctx-lh-postcentral,ctx-lh-inter_postcentral,ctx-lh-parietal,ctx-lh-visuopsychic,ctx-lh-visuosensory,ctx-lh-temporal,ctx-lh-audiopsychic,ctx-lh-audiosensory,ctx-lh-olfactory,ctx-lh-limbicA,ctx-lh-limbicB,ctx-lh-limbicC,ctx-lh-insula,ctx-rh-prefrontal,ctx-rh-frontal,ctx-rh-inter_precentral,ctx-rh-precentral,ctx-rh-postcentral,ctx-rh-inter_postcentral,ctx-rh-parietal,ctx-rh-visuopsychic,ctx-rh-visuosensory,ctx-rh-temporal,ctx-rh-audiopsychic,ctx-rh-audiosensory,ctx-rh-olfactory,ctx-rh-limbicA,ctx-rh-limbicB,ctx-rh-limbicC,ctx-rh-insula
ctx-lh-prefrontal,,0.011,0.076,0.049,0.001,0.053,0.094,0.076,0.183,-0.2,-0.034,0.155,-0.023,-0.127,-0.058,-0.173,0.311,-0.035,0.294,0.212,-0.001,-0.029,0.033,0.208,-0.007,0.15,0.069,0.087,-0.029,-0.017,0.004,-0.08,-0.175,0.255
ctx-lh-frontal,,,-0.125,0.161,0.137,0.153,-0.024,-0.085,0.126,-0.187,-0.063,0.081,0.093,0.241,0.071,0.014,0.053,0.187,0.257,0.071,0.03,0.029,0.173,0.103,-0.095,0.086,0.048,0.043,-0.132,0.206,0.35,0.046,0.057,0.021
ctx-lh-inter_precentral,,,,0.076,0.133,0.192,0.275,-0.135,-0.054,-0.152,-0.191,-0.142,-0.005,0.207,0.213,0.016,-0.243,0.23,0.274,-0.029,-0.006,0.004,0.147,0.2,-0.157,-0.086,0.074,-0.042,-0.239,0.176,0.256,0.119,0.088,-0.257
ctx-lh-precentral,,,,,-0.307,-0.19,0.23,-0.246,-0.244,0.195,-0.197,-0.273,0.037,-0.034,0.081,0.053,-0.323,0.037,0.247,-0.096,-0.353,-0.348,-0.268,0.053,-0.275,-0.275,0.162,-0.134,-0.236,0.112,-0.044,-0.024,0.025,-0.233
ctx-lh-postcentral,,,,,,-0.523,0.332,-0.344,-0.367,0.266,-0.188,-0.256,0.011,-0.057,0.133,-0.027,-0.087,0.048,0.299,0.067,-0.431,-0.405,-0.439,0.169,-0.362,-0.401,0.291,-0.148,-0.248,0.185,-0.058,-0.02,-0.186,-0.026
ctx-lh-inter_postcentral,,,,,,,0.146,-0.286,-0.213,0.276,-0.29,-0.287,0.121,-0.221,0.145,-0.063,-0.269,0.016,0.195,0.05,-0.365,-0.486,-0.337,-0.07,-0.311,-0.298,0.219,-0.261,-0.292,0.22,-0.183,-0.136,-0.157,-0.029
ctx-lh-parietal,,,,,,,,-0.067,-0.074,0.315,-0.007,-0.194,0.238,-0.076,0.053,-0.15,-0.141,-0.051,0.05,0.1,0.273,0.297,0.136,-0.129,-0.024,-0.081,0.106,0.066,-0.078,0.129,-0.097,0.022,-0.099,0.048
ctx-lh-visuopsychic,,,,,,,,,-0.15,0.422,-0.13,-0.039,0.161,-0.134,0.077,0.118,-0.198,0.034,0.085,0.103,-0.215,-0.272,-0.185,-0.03,-0.202,-0.134,0.469,-0.173,-0.109,0.266,-0.014,0.113,0.077,-0.037
ctx-lh-visuosensory,,,,,,,,,,0.435,-0.088,-0.014,0.151,-0.136,0.17,0.066,0.036,0.199,0.249,0.222,-0.208,-0.308,-0.268,-0.1,-0.117,-0.214,0.475,-0.107,-0.032,0.366,0.04,0.172,0.061,0.111
ctx-lh-temporal,,,,,,,,,,,0.144,0.158,-0.194,-0.05,0.007,0.115,-0.058,-0.147,-0.152,0.254,0.158,0.224,0.179,0.342,0.353,0.37,-0.041,-0.01,0.184,0.045,0.103,0.167,0.152,0.081
