,ctx-lh-prefrontal,ctx-lh-frontal,ctx-lh-inter_precentral,ctx-lh-precentral,ctx-lh-postcentral,ctx-lh-inter_postcentral,ctx-lh-parietal,ctx-lh-visuopsychic,ctx-lh-visuosensory,ctx-lh-temporal,ctx-lh-audiopsychic,ctx-lh-audiosensory,ctx-lh-olfactory,ctx-lh-limbicA,ctx-lh-limbicB,ctx-lh-limbicC,ctx-lh-insula,ctx-rh-prefrontal,ctx-rh-frontal,ctx-rh-inter_precentral,ctx-rh-precentral,ctx-rh-postcentral,ctx-rh-inter_postcentral,ctx-rh-parietal,ctx-rh-visuopsychic,ctx-rh-visuosensory,ctx-rh-temporal,ctx-rh-audiopsychic,ctx-rh-audiosensory,ctx-rh-olfactory,ctx-rh-limbicA,ctx-rh-limbicB,ctx-rh-limbicC,ctx-rh-insula
ctx-lh-prefrontal,,0.084,0.103,-0.033,-0.062,-0.112,-0.048,0.014,-0.007,0.0,0.081,-0.153,-0.099,0.05,-0.07,0.002,0.035,0.017,0.09,0.084,0.057,0.035,-0.068,-0.111,-0.046,-0.062,0.019,-0.038,-0.08,-0.071,0.079,0.039,-0.035,-0.02
ctx-lh-frontal,,,0.029,-0.036,0.02,0.024,0.079,0.088,0.073,-0.035,0.069,-0.15,-0.072,0.176,0.037,0.21,-0.024,0.058,-0.028,0.022,0.047,0.032,0.005,0.011,0.123,0.074,0.01,0.034,-0.13,-0.102,0.159,0.128,0.199,0.005
ctx-lh-inter_precentral,,,,-0.116,-0.033,-0.039,0.065,0.038,0.085,-0.078,0.039,-0.28,-0.021,0.08,-0.046,0.115,-0.126,-0.018,-0.058,-0.085,-0.036,-0.02,-0.019,-0.021,0.083,0.122,-0.08,-0.057,-0.217,-0.038,0.019,0.092,0.067,-0.085
ctx-lh-precentral,,,,,-0.277,-0.222,-0.117,0.017,0.149,-0.167,-0.211,-0.227,0.012,-0.135,-0.087,-0.084,0.121,-0.007,0.087,0.059,-0.289,-0.312,-0.211,-0.11,-0.037,0.163,-0.108,-0.219,-0.148,-0.002,0.009,0.023,-0.115,0.111
ctx-lh-postcentral,,,,,,-0.326,-0.124,-0.06,0.123,-0.269,-0.266,-0.168,0.014,-0.205,-0.07,-0.18,0.197,-0.008,0.184,0.175,-0.374,-0.327,-0.303,-0.042,-0.136,0.097,-0.128,-0.237,-0.139,-0.058,0.02,-0.022,-0.188,0.234
ctx-lh-inter_postcentral,,,,,,,-0.127,-0.068,0.09,-0.13,-0.302,-0.223,-0.017,-0.184,-0.04,-0.171,0.187,-0.11,0.091,0.13,-0.239,-0.317,-0.221,-0.094,-0.111,0.125,-0.153,-0.243,-0.145,0.012,-0.036,-0.01,-0.185,0.175
ctx-lh-parietal,,,,,,,,0.066,0.034,-0.048,-0.155,-0.082,-0.097,-0.088,-0.023,-0.035,0.038,-0.07,0.013,0.019,-0.221,-0.151,-0.177,-0.047,0.062,0.113,-0.069,-0.08,-0.121,-0.004,-0.047,-0.044,-0.041,0.04
ctx-lh-visuopsychic,,,,,,,,,0.028,-0.008,-0.07,0.07,-0.021,-0.014,0.089,-0.066,0.094,0.081,0.155,0.04,0.012,-0.094,-0.115,-0.023,-0.281,-0.029,-0.026,-0.047,0.142,0.083,0.158,0.049,-0.063,0.127
ctx-lh-visuosensory,,,,,,,,,,0.018,0.117,0.01,-0.066,-0.034,0.1,-0.14,0.044,0.055,0.106,0.134,0.109,0.06,0.015,-0.002,-0.032,-0.174,-0.024,0.077,0.029,-0.088,0.075,-0.011,-0.136,0.147
ctx-lh-temporal,,,,,,,,,,,-0.284,-0.166,0.167,-0.07,0.001,0.076,-0.06,-0.009,-0.044,-0.089,-0.193,-0.201,-0.231,-0.093,-0.054,0.058,-0.029,-0.346,-0.116,0.175,-0.084,0.03,0.047,-0.044
ctx-lh-audiopsychic,,,,,,,,,,,,-0.286,0.115,-0.094,-0.059,-0.066,0.126,0.059,0.159,0.015,-0.182,-0.231,-0.238,-0.146,-0.14,0.117,-0.262,-0.303,-0.249,0.017,-0.018,0.091,-0.114,0.104
ctx-lh-audiosensory,,,,,,,,,,,,,0.093,-0.264,-0.052,-0.155,0.034,-0.089,0.125,-0.081,-0.199,-0.17,-0.11,0.061,0.002,0.069,-0.024,-0.212,-0.156,0.089,-0.128,-0.073,-0.102,0.149
ctx-lh-olfactory,,,,,,,,,,,,,,-0.079,-0.078,-0.06,-0.023,-0.061,-0.051,-0.062,-0.028,-0.015,0.002,-0.042,-0.012,-0.062,0.13,-0.049,-0.001,0.095,-0.09,-0.023,-0.032,-0.038
ctx-lh-limbicA,,,,,,,,,,,,,,,-0.092,-0.013,-0.136,0.105,0.242,0.019,-0.129,-0.155,-0.149,-0.038,0.003,-0.034,0.034,-0.064,-0.278,-0.111,-0.057,-0.122,0.004,-0.074
ctx-lh-limbicB,,,,,,,,,,,,,,,,0.046,-0.075,-0.059,0.026,-0.064,-0.077,-0.166,-0.085,-0.054,0.064,0.044,-0.021,-0.132,-0.053,-0.02,-0.133,-0.101,0.035,-0.15
ctx-lh-limbicC,,,,,,,,,,,,,,,,,-0.1,0.025,0.273,0.02,-0.15,-0.152,-0.163,-0.026,-0.029,-0.14,0.144,-0.054,-0.102,-0.045,0.011,-0.071,0.021,-0.062
ctx-lh-insula,,,,,,,,,,,,,,,,,,-0.087,-0.181,-0.252,0.143,0.283,0.254,0.139,0.141,0.072,-0.119,0.145,0.076,0.008,-0.248,-0.093,0.001,-0.222
ctx-rh-prefrontal,,,,,,,,,,,,,,,,,,,0.125,0.013,0.067,0.031,-0.019,-0.057,0.034,-0.035,-0.005,-0.011,-0.144,-0.092,0.074,0.0,0.019,-0.053
ctx-rh-frontal,,,,,,,,,,,,,,,,,,,,-0.039,0.111,0.121,0.124,0.067,0.125,0.033,-0.007,0.135,0.014,-0.103,0.162,0.116,0.268,-0.147
ctx-rh-inter_precentral,,,,,,,,,,,,,,,,,,,,,0.16,0.186,0.241,0.064,0.036,0.122,-0.08,0.076,-0.109,-0.074,-0.089,-0.022,0.057,-0.271
ctx-rh-precentral,,,,,,,,,,,,,,,,,,,,,,-0.327,-0.219,-0.169,-0.035,0.132,-0.066,-0.089,-0.127,-0.004,-0.001,0.074,-0.192,0.117
ctx-rh-postcentral,,,,,,,,,,,,,,,,,,,,,,,-0.314,-0.071,-0.15,0.07,-0.119,-0.151,-0.091,0.01,0.011,-0.027,-0.264,0.26
ctx-rh-inter_postcentral,,,,,,,,,,,,,,,,,,,,,,,,-0.101,-0.157,0.05,-0.099,-0.158,-0.122,0.041,0.023,0.045,-0.202,0.243
ctx-rh-parietal,,,,,,,,,,,,,,,,,,,,,,,,,-0.072,0.01,-0.014,-0.056,0.011,0.055,0.015,-0.042,-0.027,0.086
ctx-rh-visuopsychic,,,,,,,,,,,,,,,,,,,,,,,,,,-0.053,-0.035,-0.073,0.061,0.098,0.138,0.055,-0.026,0.113
ctx-rh-visuosensory,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.028,0.063,0.083,-0.018,0.064,-0.035,-0.148,0.138
ctx-rh-temporal,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.246,-0.09,0.131,-0.009,-0.061,0.102,-0.18
ctx-rh-audiopsychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,-0.032,-0.004,-0.016,-0.089,0.167
ctx-rh-audiosensory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.008,-0.245,-0.001,-0.084,0.157
ctx-rh-olfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.131,-0.052,-0.015,0.03
ctx-rh-limbicA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.245,0.072,-0.265
ctx-rh-limbicB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.029,-0.137
ctx-rh-limbicC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039
ctx-rh-insula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
