,ctx-lh-CT1,ctx-lh-CT1_2_fro_inf,ctx-lh-CT1_2_mof,ctx-lh-CT1_2_pref_ins_postc,ctx-lh-CT1_2_temp,ctx-lh-CT2_fro,ctx-lh-CT2_par,ctx-lh-CT3_fro,ctx-lh-CT3_par,ctx-lh-CT4_occ,ctx-lh-CT4_dmpf,ctx-lh-CT5_cen,ctx-lh-CT5_ins,ctx-lh-CT5_med,ctx-lh-CT5_occ,ctx-rh-CT1,ctx-rh-CT1_2_fro_inf,ctx-rh-CT1_2_mof,ctx-rh-CT1_2_pref_ins_postc,ctx-rh-CT1_2_temp,ctx-rh-CT2_fro,ctx-rh-CT2_par,ctx-rh-CT3_fro,ctx-rh-CT3_par,ctx-rh-CT4_occ,ctx-rh-CT4_dmpf,ctx-rh-CT5_cen,ctx-rh-CT5_ins,ctx-rh-CT5_med,ctx-rh-CT5_occ
ctx-lh-CT1,,-0.02,-0.159,0.041,-0.055,-0.024,-0.036,0.042,-0.119,-0.047,-0.053,-0.005,-0.049,-0.17,-0.009,-0.067,0.045,-0.125,0.022,-0.125,-0.007,-0.059,0.019,-0.121,-0.112,0.021,0.004,-0.016,-0.167,-0.032
ctx-lh-CT1_2_fro_inf,,,-0.041,0.002,-0.075,-0.064,-0.112,0.048,-0.087,-0.181,-0.127,-0.061,-0.118,-0.083,-0.096,-0.086,0.064,-0.077,-0.019,-0.047,-0.039,-0.102,-0.087,-0.108,-0.169,-0.004,-0.046,-0.087,-0.08,-0.12
ctx-lh-CT1_2_mof,,,,-0.087,-0.073,-0.161,-0.058,0.054,-0.023,-0.018,-0.049,-0.114,0.027,0.025,-0.019,-0.109,-0.002,0.01,-0.119,-0.016,-0.119,-0.033,-0.017,-0.043,-0.038,0.014,-0.078,0.002,0.018,-0.051
ctx-lh-CT1_2_pref_ins_postc,,,,,-0.011,0.035,-0.083,0.063,-0.115,-0.036,-0.028,-0.086,-0.056,-0.122,0.015,-0.032,0.073,-0.07,0.013,-0.077,0.052,-0.093,0.054,-0.122,-0.11,0.036,-0.022,-0.058,-0.1,-0.014
ctx-lh-CT1_2_temp,,,,,,-0.04,-0.024,0.062,-0.029,-0.004,-0.065,-0.044,-0.126,-0.024,0.016,-0.055,0.008,-0.123,-0.033,-0.061,-0.001,-0.04,-0.011,-0.068,-0.033,-0.013,-0.06,-0.093,-0.077,0.019
ctx-lh-CT2_fro,,,,,,,-0.09,0.088,-0.033,-0.048,-0.075,0.033,-0.071,-0.075,-0.031,-0.05,0.097,-0.066,0.028,-0.044,0.049,-0.089,-0.012,-0.079,-0.073,0.046,0.05,-0.067,-0.094,-0.054
ctx-lh-CT2_par,,,,,,,,0.011,-0.039,-0.003,-0.036,-0.005,-0.014,-0.061,0.015,-0.04,0.011,-0.043,-0.008,0.0,0.024,0.042,0.002,0.033,-0.051,-0.018,0.019,-0.011,-0.061,-0.012
ctx-lh-CT3_fro,,,,,,,,,0.066,-0.055,0.067,0.019,-0.032,-0.009,-0.038,0.002,-0.0,0.026,0.042,0.054,0.09,0.01,-0.043,0.015,-0.055,0.059,0.075,-0.036,0.002,-0.048
ctx-lh-CT3_par,,,,,,,,,,-0.003,-0.016,-0.058,-0.033,-0.041,0.028,-0.103,0.025,-0.06,-0.014,-0.064,0.04,-0.03,0.014,-0.064,-0.065,0.005,-0.007,-0.037,-0.085,0.032
ctx-lh-CT4_occ,,,,,,,,,,,-0.079,-0.039,-0.077,-0.029,0.11,-0.044,-0.091,0.01,-0.036,-0.054,-0.03,-0.002,-0.079,-0.039,0.033,-0.062,-0.058,-0.074,-0.056,0.115
ctx-lh-CT4_dmpf,,,,,,,,,,,,-0.102,-0.096,-0.141,-0.064,-0.1,-0.095,-0.11,-0.02,-0.067,-0.053,-0.023,0.026,-0.057,-0.103,-0.006,-0.057,-0.112,-0.091,-0.058
ctx-lh-CT5_cen,,,,,,,,,,,,,0.005,-0.076,0.088,-0.019,-0.014,-0.103,-0.09,-0.142,0.009,-0.042,0.058,-0.09,-0.084,-0.038,-0.128,0.033,-0.069,0.07
ctx-lh-CT5_ins,,,,,,,,,,,,,,-0.081,-0.058,-0.003,-0.023,-0.052,-0.02,-0.113,-0.049,-0.005,-0.039,-0.028,-0.103,-0.057,0.002,-0.113,-0.13,-0.059
ctx-lh-CT5_med,,,,,,,,,,,,,,,-0.009,-0.187,-0.013,0.046,-0.104,-0.016,0.01,-0.062,-0.038,-0.042,-0.022,-0.045,-0.04,-0.145,-0.057,-0.056
ctx-lh-CT5_occ,,,,,,,,,,,,,,,,-0.017,-0.033,0.033,0.015,-0.049,-0.021,-0.024,-0.087,-0.01,0.061,-0.036,0.073,-0.059,-0.068,0.019
ctx-rh-CT1,,,,,,,,,,,,,,,,,-0.035,-0.105,-0.058,-0.137,-0.053,-0.047,-0.004,-0.139,-0.108,-0.04,0.03,0.024,-0.182,-0.046
ctx-rh-CT1_2_fro_inf,,,,,,,,,,,,,,,,,,-0.063,-0.003,-0.022,-0.049,-0.012,-0.161,-0.034,-0.05,-0.076,0.042,-0.025,-0.041,-0.061
ctx-rh-CT1_2_mof,,,,,,,,,,,,,,,,,,,-0.127,-0.104,-0.109,-0.052,-0.068,-0.083,0.017,-0.088,-0.059,-0.058,0.051,0.002
ctx-rh-CT1_2_pref_ins_postc,,,,,,,,,,,,,,,,,,,,-0.113,0.024,-0.011,0.011,-0.072,-0.08,-0.006,-0.065,-0.02,-0.11,-0.017
ctx-rh-CT1_2_temp,,,,,,,,,,,,,,,,,,,,,-0.072,-0.014,-0.072,-0.076,-0.037,-0.028,-0.109,-0.091,-0.078,-0.037
ctx-rh-CT2_fro,,,,,,,,,,,,,,,,,,,,,,0.003,-0.122,-0.045,-0.012,-0.075,0.048,-0.077,-0.042,-0.044
ctx-rh-CT2_par,,,,,,,,,,,,,,,,,,,,,,,-0.011,0.026,-0.057,0.001,-0.018,-0.003,-0.073,-0.062
ctx-rh-CT3_fro,,,,,,,,,,,,,,,,,,,,,,,,-0.039,-0.086,-0.05,0.08,-0.007,-0.075,-0.108
ctx-rh-CT3_par,,,,,,,,,,,,,,,,,,,,,,,,,-0.091,-0.027,-0.006,-0.0,-0.077,-0.014
ctx-rh-CT4_occ,,,,,,,,,,,,,,,,,,,,,,,,,,-0.048,-0.086,-0.065,-0.043,0.1
ctx-rh-CT4_dmpf,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,-0.049,-0.045,-0.053
