,ctx-lh-CT1,ctx-lh-CT1_2_fro_inf,ctx-lh-CT1_2_mof,ctx-lh-CT1_2_pref_ins_postc,ctx-lh-CT1_2_temp,ctx-lh-CT2_fro,ctx-lh-CT2_par,ctx-lh-CT3_fro,ctx-lh-CT3_par,ctx-lh-CT4_occ,ctx-lh-CT4_dmpf,ctx-lh-CT5_cen,ctx-lh-CT5_ins,ctx-lh-CT5_med,ctx-lh-CT5_occ,ctx-rh-CT1,ctx-rh-CT1_2_fro_inf,ctx-rh-CT1_2_mof,ctx-rh-CT1_2_pref_ins_postc,ctx-rh-CT1_2_temp,ctx-rh-CT2_fro,ctx-rh-CT2_par,ctx-rh-CT3_fro,ctx-rh-CT3_par,ctx-rh-CT4_occ,ctx-rh-CT4_dmpf,ctx-rh-CT5_cen,ctx-rh-CT5_ins,ctx-rh-CT5_med,ctx-rh-CT5_occ
ctx-lh-CT1,,-0.124,-0.039,-0.188,-0.019,-0.106,-0.023,0.021,-0.01,0.129,-0.043,-0.08,-0.307,-0.075,0.118,-0.03,-0.051,-0.034,-0.155,-0.012,-0.079,-0.003,0.034,-0.003,0.128,-0.023,-0.131,-0.24,-0.029,0.193
ctx-lh-CT1_2_fro_inf,,,0.001,-0.122,-0.152,-0.117,-0.028,-0.052,-0.093,0.035,-0.056,-0.014,-0.299,0.02,-0.002,-0.119,-0.091,-0.102,-0.116,-0.017,-0.089,-0.058,-0.137,-0.151,0.006,-0.051,-0.019,-0.246,-0.034,0.005
ctx-lh-CT1_2_mof,,,,-0.057,-0.0,-0.018,-0.019,0.017,0.02,0.029,-0.001,-0.072,-0.008,0.095,-0.009,0.017,0.001,-0.008,0.011,0.075,0.017,-0.011,0.036,0.026,0.014,-0.001,-0.106,-0.002,0.007,-0.038
ctx-lh-CT1_2_pref_ins_postc,,,,,-0.082,-0.045,-0.031,0.046,-0.043,0.071,-0.045,-0.078,-0.315,-0.147,0.096,-0.104,-0.032,-0.096,-0.161,-0.109,-0.068,-0.039,0.031,-0.06,0.099,-0.034,-0.106,-0.27,-0.119,0.168
ctx-lh-CT1_2_temp,,,,,,-0.051,-0.049,-0.039,-0.073,0.145,-0.051,-0.035,-0.249,0.009,0.068,-0.06,-0.11,-0.109,-0.081,-0.13,-0.09,-0.104,-0.119,-0.173,0.11,-0.069,-0.004,-0.16,-0.053,0.125
ctx-lh-CT2_fro,,,,,,,-0.006,0.019,0.014,0.03,-0.142,0.044,-0.269,-0.049,0.043,-0.082,-0.01,-0.081,-0.022,-0.009,-0.05,-0.059,-0.067,-0.099,0.031,-0.087,0.056,-0.229,-0.058,0.082
ctx-lh-CT2_par,,,,,,,,0.122,0.174,0.021,-0.007,0.052,-0.172,-0.195,0.024,0.0,0.013,-0.049,-0.047,-0.037,-0.021,-0.056,0.099,0.087,0.067,0.032,0.015,-0.171,-0.12,0.078
ctx-lh-CT3_fro,,,,,,,,,0.134,0.05,-0.08,0.191,-0.053,-0.044,0.093,0.103,-0.053,-0.026,0.101,-0.038,0.001,0.088,-0.097,0.04,0.055,-0.061,0.176,-0.039,-0.083,0.072
ctx-lh-CT3_par,,,,,,,,,,-0.068,-0.042,0.014,-0.216,-0.053,0.029,-0.004,-0.057,-0.075,-0.059,-0.015,-0.015,0.101,0.063,-0.169,-0.056,0.03,0.028,-0.144,-0.037,0.099
ctx-lh-CT4_occ,,,,,,,,,,,-0.01,0.083,0.029,-0.054,0.038,0.147,0.027,0.014,0.075,0.167,0.068,0.024,0.104,-0.05,-0.121,0.068,0.064,0.084,-0.034,0.077
ctx-lh-CT4_dmpf,,,,,,,,,,,,0.013,-0.068,-0.133,-0.011,-0.036,-0.108,-0.086,-0.026,-0.089,-0.113,-0.012,-0.09,-0.09,-0.06,0.002,-0.065,-0.123,-0.069,-0.038
ctx-lh-CT5_cen,,,,,,,,,,,,,-0.107,-0.166,0.096,0.028,0.091,0.017,-0.026,0.02,0.134,0.09,0.255,0.076,0.051,0.01,-0.193,-0.073,-0.103,0.173
ctx-lh-CT5_ins,,,,,,,,,,,,,,-0.204,-0.082,-0.242,-0.155,-0.102,-0.209,-0.168,-0.173,-0.097,0.007,-0.16,-0.0,-0.042,-0.103,-0.232,-0.108,-0.031
ctx-lh-CT5_med,,,,,,,,,,,,,,,-0.112,-0.143,0.045,-0.027,-0.09,0.054,-0.014,-0.156,-0.07,-0.073,-0.03,-0.086,-0.107,-0.201,-0.001,-0.096
