,ctx-lh-CT1,ctx-lh-CT1_2_fro_inf,ctx-lh-CT1_2_mof,ctx-lh-CT1_2_pref_ins_postc,ctx-lh-CT1_2_temp,ctx-lh-CT2_fro,ctx-lh-CT2_par,ctx-lh-CT3_fro,ctx-lh-CT3_par,ctx-lh-CT4_occ,ctx-lh-CT4_dmpf,ctx-lh-CT5_cen,ctx-lh-CT5_ins,ctx-lh-CT5_med,ctx-lh-CT5_occ,ctx-rh-CT1,ctx-rh-CT1_2_fro_inf,ctx-rh-CT1_2_mof,ctx-rh-CT1_2_pref_ins_postc,ctx-rh-CT1_2_temp,ctx-rh-CT2_fro,ctx-rh-CT2_par,ctx-rh-CT3_fro,ctx-rh-CT3_par,ctx-rh-CT4_occ,ctx-rh-CT4_dmpf,ctx-rh-CT5_cen,ctx-rh-CT5_ins,ctx-rh-CT5_med,ctx-rh-CT5_occ
ctx-lh-CT1,,0.037,0.053,0.052,-0.017,0.021,0.082,0.069,-0.068,-0.025,0.004,-0.026,-0.129,-0.006,-0.015,-0.038,0.03,0.104,0.092,-0.042,0.069,0.012,0.103,-0.212,-0.068,-0.041,-0.048,-0.187,-0.07,-0.007
ctx-lh-CT1_2_fro_inf,,,-0.042,0.016,-0.046,-0.018,0.085,0.009,-0.003,-0.01,-0.055,0.035,-0.099,-0.007,-0.027,-0.022,0.075,-0.029,-0.127,-0.056,0.024,-0.059,-0.007,-0.041,0.065,-0.028,-0.009,-0.086,-0.031,0.011
ctx-lh-CT1_2_mof,,,,0.079,-0.076,0.027,0.004,0.006,-0.01,-0.011,0.039,0.146,0.154,-0.039,0.046,0.099,-0.041,0.021,-0.052,-0.03,-0.084,0.014,-0.041,-0.025,0.039,-0.038,0.136,0.079,0.04,0.094
ctx-lh-CT1_2_pref_ins_postc,,,,,-0.039,0.026,-0.005,0.076,0.018,0.118,0.048,0.01,-0.11,-0.012,0.091,-0.025,0.058,0.084,0.013,-0.057,0.06,-0.063,0.076,-0.168,0.074,-0.006,-0.028,-0.175,-0.088,0.111
ctx-lh-CT1_2_temp,,,,,,-0.044,0.103,0.078,-0.038,-0.019,-0.029,-0.031,-0.07,0.078,0.005,-0.11,-0.076,0.017,-0.171,-0.038,-0.088,0.01,-0.024,-0.046,0.008,-0.046,-0.045,-0.01,0.106,0.082
ctx-lh-CT2_fro,,,,,,,0.077,0.051,-0.003,-0.038,0.027,-0.063,-0.123,0.006,-0.02,-0.014,0.075,0.065,-0.025,-0.056,0.094,-0.049,0.063,-0.02,0.004,0.054,-0.094,-0.096,0.002,-0.057
ctx-lh-CT2_par,,,,,,,,0.011,0.102,-0.053,-0.006,0.041,0.143,0.041,-0.04,0.012,0.062,0.012,-0.042,0.066,-0.02,-0.159,-0.094,-0.018,-0.112,-0.048,0.075,0.123,0.061,-0.06
ctx-lh-CT3_fro,,,,,,,,,0.103,-0.033,0.031,-0.024,-0.039,-0.002,0.089,-0.013,0.077,0.06,-0.045,-0.027,-0.029,-0.088,-0.095,-0.076,-0.01,0.063,-0.025,-0.037,-0.03,-0.019
ctx-lh-CT3_par,,,,,,,,,,-0.043,-0.001,0.007,0.222,0.1,-0.022,-0.09,0.005,0.033,-0.044,-0.008,0.032,0.049,0.027,-0.101,-0.086,0.097,-0.005,0.131,0.081,-0.002
ctx-lh-CT4_occ,,,,,,,,,,,-0.014,-0.014,0.146,0.077,0.048,0.077,-0.106,-0.171,0.119,-0.04,-0.029,-0.009,-0.044,0.124,-0.043,0.025,0.028,0.179,0.04,0.018
